symbol,exchange,security_name,source
ACCS,A,ACCESS Newswire Inc. Common Stock,nasdaq
ACDC,Q,ProFrac Holding Corp. - Class A Common Stock,nasdaq
ACEL,N,"Accel Entertainment, Inc. ",nasdaq
ACET,Q,"Adicet Bio, Inc. - Common Stock",nasdaq
ACFN,Q,"Acorn Energy, Inc. - Common Stock",nasdaq
ACGC,Q,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,nasdaq
ACGL,Q,Arch Capital Group Ltd. - Common Stock,nasdaq
ACH,N,"Accendra Health, Inc. Common Stock",nasdaq
ACHC,Q,"Acadia Healthcare Company, Inc. - Common Stock",nasdaq
ACHR,N,Archer Aviation Inc. Class A Common Stock,nasdaq
ACHV,Q,"Achieve Life Sciences, Inc.  - Common Shares",nasdaq
ACI,N,"Albertsons Companies, Inc. Class A Common Stock",nasdaq
ACIC,Q,American Coastal Insurance Corporation - Common Stock,nasdaq
ACIU,Q,AC Immune SA - Common Stock,nasdaq
ACIW,Q,"ACI Worldwide, Inc. - Common Stock",nasdaq
ACLS,Q,"Axcelis Technologies, Inc. - Common Stock",nasdaq
ACM,N,AECOM Common Stock,nasdaq
ACMR,Q,"ACM Research, Inc. - Class A Common Stock",nasdaq
ACN,N,Accenture plc Class A Ordinary Shares (Ireland),nasdaq
ACNB,Q,ACNB Corporation - Common Stock,nasdaq
ACNT,Q,Ascent Industries Co. - Common Stock,nasdaq
ACOG,Q,Alpha Cognition Inc. - Common Stock,nasdaq
ACON,Q,"Aclarion, Inc. - Common Stock",nasdaq
ACP,N,abrdn Income Credit Strategies Fund Common Shares,nasdaq
ACR,N,ACRES Commercial Realty Corp. Common Stock,nasdaq
ACRE,N,Ares Commercial Real Estate Corporation Common Stock,nasdaq
ACRS,Q,"Aclaris Therapeutics, Inc. - Common Stock",nasdaq
ACRV,Q,"Acrivon Therapeutics, Inc. - Common Stock",nasdaq
ACT,Q,"Enact Holdings, Inc. - Common Stock",nasdaq
ACTG,Q,Acacia Research Corporation - Common Stock,nasdaq
ACTU,Q,"Actuate Therapeutics, Inc. - Common stock",nasdaq
ACU,A,Acme United Corporation. Common Stock,nasdaq
ACV,N,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,nasdaq
ACVA,N,ACV Auctions Inc. Class A Common Stock,nasdaq
ACXP,Q,"Acurx Pharmaceuticals, Inc. - Common Stock",nasdaq
AD,N,"Array Digital Infrastructure, Inc. Common Shares",nasdaq
ADAC,Q,American Drive Acquisition Company - Class A Ordinary Shares,nasdaq
ADAG,Q,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",nasdaq
ADAM,Q,"Adamas Trust, Inc. - Common Stock",nasdaq
ADAMG,Q,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",nasdaq
ADAMH,Q,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",nasdaq
ADAMI,Q,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",nasdaq
ADAMO,Q,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",nasdaq
ADBE,Q,Adobe Inc. - Common Stock,nasdaq
ADC,N,Agree Realty Corporation Common Stock,nasdaq
ADCT,N,ADC Therapeutics SA Common Shares,nasdaq
ADEA,Q,Adeia Inc.  - Common Stock,nasdaq
ADGM,Q,"Adagio Medical Holdings, Inc - Common Stock",nasdaq
ADI,Q,"Analog Devices, Inc. - Common Stock",nasdaq
ADIL,Q,"Adial Pharmaceuticals, Inc - Common Stock",nasdaq
ADM,N,Archer-Daniels-Midland Company Common Stock,nasdaq
ADMA,Q,ADMA Biologics Inc - Common Stock,nasdaq
ADNT,N,Adient plc Ordinary Shares ,nasdaq
ADP,Q,"Automatic Data Processing, Inc. - Common Stock",nasdaq
ADPT,Q,Adaptive Biotechnologies Corporation - Common Stock,nasdaq
ADSE,Q,ADS-TEC ENERGY PLC - Ordinary Shares,nasdaq
ADSK,Q,"Autodesk, Inc. - Common Stock",nasdaq
ADT,N,ADT Inc. Common Stock,nasdaq
ADTN,Q,"ADTRAN Holdings, Inc. - Common Stock",nasdaq
ADUR,Q,Aduro Clean Technologies Inc. - Common Stock,nasdaq
ADUS,Q,Addus HomeCare Corporation - Common Stock,nasdaq
ADV,Q,Advantage Solutions Inc.  - Class A Common Stock,nasdaq
ADVB,Q,Advanced Biomed Inc. - Common Stock,nasdaq
ADX,N,Adams Diversified Equity Fund Inc.,nasdaq
ADXN,Q,Addex Therapeutics Ltd - American Depositary Shares,nasdaq
AEAQ,Q,Activate Energy Acquisition Corp. - Class A Ordinary Share,nasdaq
AEBI,Q,Aebi Schmidt Holding AG - Common Stock,nasdaq
AEC,Q,Anfield Energy Inc. - Common Shares,nasdaq
AEE,N,Ameren Corporation Common Stock,nasdaq
AEF,A,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",nasdaq
AEFC,N,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,nasdaq
AEG,N,Aegon Ltd. New York Registry Shares,nasdaq
AEHL,Q,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,nasdaq
AEHR,Q,Aehr Test Systems - Common Stock,nasdaq
AEI,Q,Alset Inc. - Common Stock,nasdaq
AEIS,Q,"Advanced Energy Industries, Inc. - Common Stock",nasdaq
AEM,N,Agnico Eagle Mines Limited Common Stock,nasdaq
AEMD,Q,"Aethlon Medical, Inc. - Common Stock",nasdaq
AENT,Q,Alliance Entertainment Holding Corporation - common stock,nasdaq
AEO,N,"American Eagle Outfitters, Inc. Common Stock",nasdaq
AEON,A,"AEON Biopharma, Inc. Class A Common Stock",nasdaq
AEP,Q,"American Electric Power Company, Inc. - Common Stock",nasdaq
AER,N,AerCap Holdings N.V. Ordinary Shares,nasdaq
AERO,N,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",nasdaq
AERT,Q,"Aeries Technology, Inc. - Class A Ordinary Share",nasdaq
AES,N,The AES Corporation Common Stock,nasdaq
AESI,N,Atlas Energy Solutions Inc. Common Stock,nasdaq
AESP,Q,Aeon Acquisition I Corp. - Class A Ordinary Shares,nasdaq
AESPR,Q,Aeon Acquisition I Corp. - Rights,nasdaq
AEVA,Q,"Aeva Technologies, Inc. - Common Stock",nasdaq
AEXA,N,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,nasdaq
AEYE,Q,"AudioEye, Inc. - Common Stock",nasdaq
AFB,N,AllianceBernstein National Municipal Income Fund Inc,nasdaq
AFBI,Q,"Affinity Bancshares, Inc. - Common Stock",nasdaq
AFCG,Q,Advanced Flower Capital Inc. - Common Stock,nasdaq
AFG,N,"American Financial Group, Inc. Common Stock",nasdaq
AFGB,N,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",nasdaq
AFGC,N,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",nasdaq
AFGD,N,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",nasdaq
AFGE,N,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",nasdaq
AFJK,Q,"Aimei Health Technology Co., Ltd - Ordinary Share",nasdaq
AFJKR,Q,"Aimei Health Technology Co., Ltd - Right",nasdaq
AFL,N,AFLAC Incorporated Common Stock,nasdaq
AFRI,Q,Forafric Global PLC - Ordinary Shares,nasdaq
AFRM,Q,"Affirm Holdings, Inc. - Class A Common Stock",nasdaq
AFYA,Q,Afya Limited - Class A Common Shares,nasdaq
AG,N,First Majestic Silver Corp. Ordinary Shares (Canada),nasdaq
AGBK,N,AGI Inc Class A Common Shares,nasdaq
AGCC,Q,Agencia Comercial Spirits Ltd - Class A Ordinary Share,nasdaq
AGCO,N,AGCO Corporation Common Stock,nasdaq
AGD,N,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,nasdaq
AGEN,Q,Agenus Inc. - Common Stock,nasdaq
AGI,N,Alamos Gold Inc. Class A Common Shares,nasdaq
AGIG,A,Abundia Global Impact Group Inc. Common stock,nasdaq
AGIO,Q,"Agios Pharmaceuticals, Inc. - Common Stock",nasdaq
AGL,N,"agilon health, inc. Common Stock",nasdaq
AGM,N,Federal Agricultural Mortgage Corporation Common Stock,nasdaq
AGM.A,N,Federal Agricultural Mortgage Corporation Common Stock,nasdaq
AGMB,Q,AgomAb Therapeutics NV - ADRs representing one common share.,nasdaq
AGMH,Q,AGM Group Holdings Inc. - Class A Ordinary Shares,nasdaq
AGNC,Q,AGNC Investment Corp. - Common Stock,nasdaq
AGNT,Q,"AGNT, Inc. - Common Stock",nasdaq
AGO,N,Assured Guaranty Ltd. Common Stock,nasdaq
AGPU,Q,Axe Compute Inc. - Common Stock,nasdaq
AGRO,N,Adecoagro S.A. Common Shares,nasdaq
AGRZ,Q,Agroz Inc. - Class A Ordinary Shares,nasdaq
AGX,N,"Argan, Inc. Common Stock",nasdaq
AGYS,Q,"Agilysys, Inc. - Common Stock",nasdaq
AHCO,Q,AdaptHealth Corp.  - Common Stock,nasdaq
AHG,Q,Akso Health Group - American Depositary Shares,nasdaq
AHL$D,N,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,nasdaq
AHL$E,N,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares",nasdaq
AHL$F,N,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1,000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share",nasdaq
AHMA,Q,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,nasdaq
AHR,N,"American Healthcare REIT, Inc. Common Stock",nasdaq
AHRT,N,"AH Realty Trust, Inc. Common Stock",nasdaq
AHT,N,Ashford Hospitality Trust Inc Common Stock,nasdaq
AI,N,"C3.ai, Inc. Class A Common Stock",nasdaq
AIAI,Q,AIAI Holdings Corporation - Class A common stock,nasdaq
AIB,A,AIB Data Centers Inc. Common Stock,nasdaq
AIBZ,Q,Bitzero Holdings Inc. - Common Shares,nasdaq
AIDX,Q,"20/20 Biolabs, Inc. - Common Stock",nasdaq
AIFA,Q,"All In FutureTech Alliance, Inc. - Common Stock",nasdaq
AIFC,Q,AI Financial Corporation - Common Stock,nasdaq
AIFF,Q,"Firefly Neuroscience, Inc.  - Common Stock",nasdaq
AIFU,Q,AIFU Inc. - Class A Ordinary Share,nasdaq
AIG,N,"American International Group, Inc. New Common Stock",nasdaq
AIHS,Q,Senmiao Technology Limited - Common Stock,nasdaq
AII,N,"American Integrity Insurance Group, Inc. Common Stock",nasdaq
AIIA,N,AI Infrastructure Acquisition Corp. Class A Ordinary Shares,nasdaq
AIIA.R,N,"AI Infrastructure Acquisition Corp. Rights, each entitling the holder to receive one-fifth (1/5) of one Class A Ordinary Share",nasdaq
AIIO,Q,Robo.ai Inc. - Class B Ordinary Shares,nasdaq
AIIR,Q,Air Global PLC - Ordinary shares,nasdaq
AIM,A,AIM ImmunoTech Inc. Common Stock,nasdaq
AIMD,Q,"Ainos, Inc. - Common Stock",nasdaq
AIN,N,Albany International Corporation Common Stock,nasdaq
AIO,N,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,nasdaq
AIOS,Q,AIOS Tech Inc. - Class A Common Shares,nasdaq
AIOT,Q,"PowerFleet, Inc. - Common Stock",nasdaq
AIP,Q,"Arteris, Inc.  - Common Stock",nasdaq
AIR,N,AAR Corp. Common Stock,nasdaq
AIRE,Q,reAlpha Tech Corp. - Common Stock,nasdaq
AIRG,Q,"Airgain, Inc. - Common Stock",nasdaq
AIRI,A,Air Industries Group Common Stock,nasdaq
AIRJ,Q,AirJoule Technologies Corporation - Class A Common Stock,nasdaq
AIRO,Q,"AIRO Group Holdings, Inc. - Common Stock",nasdaq
AIRS,Q,"AirSculpt Technologies, Inc. - Common Stock",nasdaq
AIRT,Q,"Air T, Inc. - Common Stock",nasdaq
AISP,Q,"Airship AI Holdings, Inc - Class A Common Stock",nasdaq
AIT,N,"Applied Industrial Technologies, Inc. Common Stock",nasdaq
AIV,N,Apartment Investment and Management Company Common Stock,nasdaq
AIXC,Q,"AIxCrypto Holdings, Inc. - Common Stock",nasdaq
AIXI,Q,XIAO-I Corporation - American Depositary Shares,nasdaq
AIZ,N,"Assurant, Inc. Common Stock",nasdaq
AIZN,N,"Assurant, Inc. 5.25% Subordinated Notes due 2061",nasdaq
AJG,N,Arthur J. Gallagher & Co. Common Stock,nasdaq
AKA,N,a.k.a. Brands Holding Corp. Common Stock,nasdaq
AKAM,Q,"Akamai Technologies, Inc. - Common Stock",nasdaq
AKAN,Q,Akanda Corp. - Common Shares,nasdaq
AKBA,Q,"Akebia Therapeutics, Inc. - Common Stock",nasdaq
AKO.A,N,Embotelladora Andina S.A. Common Stock,nasdaq
AKO.B,N,Embotelladora Andina S.A. Common Stock,nasdaq
AKR,N,Acadia Realty Trust Common Stock,nasdaq
AKTS,Q,"Aktis Oncology, Inc. - Common stock",nasdaq
AKTX,Q,Akari Therapeutics Plc - American Depositary Shares,nasdaq
ALAB,Q,"Astera Labs, Inc. - Common Stock",nasdaq
ALAR,Q,Alarum Technologies Ltd. - American Depositary Shares,nasdaq
ALB,N,Albemarle Corporation Common Stock,nasdaq
ALC,N,Alcon Inc. Ordinary Shares,nasdaq
ALCO,Q,"Alico, Inc. - Common Stock",nasdaq
ALDF,Q,Aldel Financial II Inc. - Class A Ordinary Shares,nasdaq
ALDX,Q,"Aldeyra Therapeutics, Inc. - Common Stock",nasdaq
ALEC,Q,"Alector, Inc. - Common Stock",nasdaq
ALF,Q,Centurion Acquisition Corp. - Class A Ordinary Shares,nasdaq
ALG,N,"Alamo Group, Inc. Common Stock",nasdaq
ALGM,Q,"Allegro MicroSystems, Inc. - Common Stock",nasdaq
ALGN,Q,"Align Technology, Inc. - Common Stock",nasdaq
ALGS,Q,"Aligos Therapeutics, Inc. - Common stock",nasdaq
ALGT,Q,Allegiant Travel Company - Common Stock,nasdaq
ALH,N,Alliance Laundry Holdings Inc. Common Stock,nasdaq
ALHC,Q,"Alignment Healthcare, Inc. - Common Stock",nasdaq
ALIS,Q,Calisa Acquisition Corp - Ordinary shares,nasdaq
ALISR,Q,Calisa Acquisition Corp - Right,nasdaq
ALIT,N,"Alight, Inc. Class A Common Stock",nasdaq
ALK,N,"Alaska Air Group, Inc. Common Stock",nasdaq
ALKS,Q,Alkermes plc - Ordinary Shares,nasdaq
ALKT,Q,"Alkami Technology, Inc. - Common Stock",nasdaq
ALL,N,Allstate Corporation (The) Common Stock,nasdaq
ALL$B,N,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,nasdaq
ALLE,N,Allegion plc Ordinary Shares,nasdaq
ALLO,Q,"Allogene Therapeutics, Inc. - Common Stock",nasdaq
ALLR,Q,"Allarity Therapeutics, Inc. - Common stock",nasdaq
ALLT,Q,Allot Ltd. - Ordinary Shares,nasdaq
ALLY,N,Ally Financial Inc. Common Stock,nasdaq
ALM,Q,Almonty Industries Inc. - Common Shares,nasdaq
ALMR,Q,"Alamar Biosciences, Inc. - Class A common stock",nasdaq
ALMS,Q,Alumis Inc. - Common Stock,nasdaq
ALMU,Q,"Aeluma, Inc. - Common Stock",nasdaq
ALNT,Q,Allient Inc. - Common Stock,nasdaq
ALNY,Q,"Alnylam Pharmaceuticals, Inc. - Common Stock",nasdaq
ALOT,Q,"AstroNova, Inc. - Common Stock",nasdaq
ALOV,Q,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",nasdaq
ALOY,Q,REalloys Inc. - Common Stock,nasdaq
ALP,Q,Alpha Compute Corp  - Common Stock,nasdaq
ALPS,Q,ALPS Group Inc - Ordinary Share,nasdaq
ALPX,Q,Alpex Acquisition Corporation - Class A Ordinary Shares,nasdaq
ALPXR,Q,Alpex Acquisition Corporation - Rights,nasdaq
ALRM,Q,"Alarm.com Holdings, Inc. - Common Stock",nasdaq
ALRS,Q,Alerus Financial Corporation - Common Stock,nasdaq
ALSN,N,"Allison Transmission Holdings, Inc. Common Stock",nasdaq
ALT,Q,"Altimmune, Inc. - Common Stock",nasdaq
ALTG,N,Alta Equipment Group Inc. Class A Common Stock,nasdaq
ALTI,Q,"AlTi Global, Inc. - Class A Common Stock",nasdaq
ALTO,Q,"Alto Ingredients, Inc. - Common Stock",nasdaq
ALUB,N,Alussa Energy Acquisition Corp. II Class A Ordinary Shares,nasdaq
ALV,N,"Autoliv, Inc. Common Stock",nasdaq
ALVO,Q,Alvotech - Ordinary Shares,nasdaq
ALX,N,"Alexander's, Inc. Common Stock",nasdaq
ALXO,Q,ALX Oncology Holdings Inc. - Common Stock,nasdaq
ALZN,Q,"Alzamend Neuro, Inc. - Common Stock",nasdaq
AM,N,Antero Midstream Corporation Common Stock,nasdaq
AMAL,Q,Amalgamated Financial Corp. - Common Stock,nasdaq
AMAN,Q,Amanat Acquisition Corp - Class A Ordinary Shares,nasdaq
AMAT,Q,"Applied Materials, Inc. - Common Stock",nasdaq
AMBA,Q,"Ambarella, Inc. - Ordinary Shares",nasdaq
AMBO,A,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),nasdaq
AMBP,N,Ardagh Metal Packaging S.A. Ordinary Shares,nasdaq
AMBQ,N,"Ambiq Micro, Inc. Common Stock",nasdaq
AMBR,Q,Amber International Holding Limited - American Depositary Shares,nasdaq
AMC,N,"AMC Entertainment Holdings, Inc. Class A Common Stock",nasdaq
AMCI,Q,AMC Robotics Corporation - Common Stock,nasdaq
AMCR,N,Amcor plc Ordinary Shares,nasdaq
AMCX,Q,AMC Global Media Inc. - Class A Common Stock,nasdaq
AMD,Q,"Advanced Micro Devices, Inc. - Common Stock",nasdaq
AME,N,"AMETEK, Inc.",nasdaq
AMG,N,"Affiliated Managers Group, Inc. Common Stock",nasdaq
AMGN,Q,Amgen Inc. - Common Stock,nasdaq
AMH,N,American Homes 4 Rent Common Shares of Beneficial Interest,nasdaq
AMIX,Q,"Autonomix Medical, Inc. - Common Stock",nasdaq
AMKR,Q,"Amkor Technology, Inc. - Common Stock",nasdaq
AMLX,Q,"Amylyx Pharmaceuticals, Inc. - Common Stock",nasdaq
AMN,N,AMN Healthcare Services Inc,nasdaq
AMOD,Q,"Alpha Modus Holdings, Inc. - Class A Common Stock",nasdaq
AMP,N,"Ameriprise Financial, Inc. Common Stock",nasdaq
AMPG,Q,"Amplitech Group, Inc. - Common Stock",nasdaq
AMPGZ,Q,"Amplitech Group, Inc. - Series B Right",nasdaq
AMPH,Q,"Amphastar Pharmaceuticals, Inc. - Common Stock",nasdaq
AMPL,Q,"Amplitude, Inc. - Class A Common Stock",nasdaq
AMPX,N,"Amprius Technologies, Inc. Common Stock",nasdaq
AMPY,N,Amplify Energy Corp. Common Stock,nasdaq
AMR,N,"Alpha Metallurgical Resources, Inc. Common Stock",nasdaq
AMRC,N,"Ameresco, Inc. Class A Common Stock",nasdaq
AMRN,Q,Amarin Corporation plc - American Depositary Shares,nasdaq
AMRX,Q,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",nasdaq
AMRZ,N,Amrize Ltd Ordinary Shares,nasdaq
AMS,A,American Shared Hospital Services Common Stock,nasdaq
AMSC,Q,American Superconductor Corporation - Common Stock,nasdaq
AMSF,Q,"AMERISAFE, Inc. - Common Stock",nasdaq
AMSS,Q,AMASS Brands Inc. - Common Stock,nasdaq
AMST,Q,Amesite Inc. - Common Stock,nasdaq
AMT,N,American Tower Corporation (REIT) Common Stock,nasdaq
AMTB,N,Amerant Bancorp Inc. Class A Common Stock,nasdaq
AMTD,N,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",nasdaq
AMTM,N,"Amentum Holdings, Inc. Common Stock",nasdaq
AMTX,Q,"Aemetis, Inc - Common Stock",nasdaq
AMUB,P,"ETRACS Alerian MLP Index ETN Series B due July 18, 2042",nasdaq
AMWL,N,American Well Corporation Class A Common Stock,nasdaq
AMX,N,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",nasdaq
AMZE,A,"Amaze Holdings, Inc. Common Stock",nasdaq
AMZN,Q,"Amazon.com, Inc. - Common Stock",nasdaq
AN,N,"AutoNation, Inc. Common Stock",nasdaq
ANAB,Q,"AnaptysBio, Inc. - Common Stock",nasdaq
ANDE,Q,"The Andersons, Inc. - Common Stock",nasdaq
ANDG,N,Andersen Group Inc. Class A Common Stock,nasdaq
ANET,N,"Arista Networks, Inc. Common Stock",nasdaq
ANF,N,Abercrombie & Fitch Company Common Stock,nasdaq
ANGH,Q,Anghami Inc. - Ordinary Shares,nasdaq
ANGI,Q,Angi Inc. - Class A Common Stock,nasdaq
ANGO,Q,"AngioDynamics, Inc. - Common Stock",nasdaq
ANGX,N,"Angel Studios, Inc. Class A Common Stock",nasdaq
ANIK,Q,Anika Therapeutics Inc. - Common Stock,nasdaq
ANIP,Q,"ANI Pharmaceuticals, Inc. - Common Stock",nasdaq
ANIX,Q,"Anixa Biosciences, Inc. - Common Stock",nasdaq
ANL,Q,Adlai Nortye Ltd. - American Depositary Shares,nasdaq
ANNA,Q,"AleAnna, Inc. - Class A Common Stock",nasdaq
ANNX,Q,"Annexon, Inc. - common stock",nasdaq
ANPA,Q,Rich Sparkle Holdings Limited - Ordinary Shares,nasdaq
ANRO,N,"Alto Neuroscience, Inc. Common Stock",nasdaq
ANSC,Q,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,nasdaq
ANTA,Q,Antalpha Platform Holding Company - Class A Ordinary Shares,nasdaq
ANTX,Q,"AN2 Therapeutics, Inc. - Common Stock",nasdaq
ANVS,N,"Annovis Bio, Inc. Common Stock",nasdaq
ANY,Q,Sphere 3D Corp. - Common Shares,nasdaq
AOD,N,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,nasdaq
AOMD,N,"Angel Oak Mortgage REIT, Inc. 9.750% Senior Notes due 2030",nasdaq
AOMN,N,"Angel Oak Mortgage REIT, Inc. 9.500% Senior Notes due 2029",nasdaq
AOMR,N,"Angel Oak Mortgage REIT, Inc. Common Stock",nasdaq
AON,N,Aon plc Class A Ordinary Shares (Ireland),nasdaq
AORT,N,"Artivion, Inc. Common Stock",nasdaq
AOS,N,A.O. Smith Corporation Common Stock,nasdaq
AOSL,Q,Alpha and Omega Semiconductor Limited - Common Shares,nasdaq
AOUT,Q,"American Outdoor Brands, Inc. - Common Stock",nasdaq
AP,N,Ampco-Pittsburgh Corporation Common Stock,nasdaq
APA,Q,APA Corporation - Common Stock,nasdaq
APAC,Q,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,nasdaq
APACR,Q,StoneBridge Acquisition II Corporation - Rights,nasdaq
APAM,N,Artisan Partners Asset Management Inc. Class A Common Stock,nasdaq
APC,Q,ARKO Petroleum Corp. - Class A Common Stock,nasdaq
APD,N,"Air Products and Chemicals, Inc. Common Stock",nasdaq
APEI,Q,"American Public Education, Inc. - Common Stock",nasdaq
APG,N,APi Group Corporation Common Stock,nasdaq
APGE,Q,"Apogee Therapeutics, Inc. - Common Stock",nasdaq
APH,N,Amphenol Corporation Common Stock,nasdaq
API,Q,"Agora, Inc. - ADS",nasdaq
APLD,Q,Applied Digital Corporation - Common Stock,nasdaq
APLE,N,"Apple Hospitality REIT, Inc. Common Shares",nasdaq
APLM,Q,Apollomics Inc. - Class A Ordinary Shares,nasdaq
APMC,Q,AmperCap Acquisition Company - Ordinary Shares,nasdaq
APMCR,Q,AmperCap Acquisition Company - Right,nasdaq
APO,N,"Apollo Global Management, Inc. (New) Common Stock",nasdaq
APOG,Q,"Apogee Enterprises, Inc. - Common Stock",nasdaq
APOS,N,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",nasdaq
APP,Q,Applovin Corporation - Class A Common Stock,nasdaq
APPF,Q,"AppFolio, Inc. - Class A Common Stock",nasdaq
APPN,Q,Appian Corporation - Class A Common Stock,nasdaq
APPS,Q,"Digital Turbine, Inc. - Common Stock",nasdaq
APRE,Q,"Aprea Therapeutics, Inc. - Common Stock",nasdaq
APT,A,"Alpha Pro Tech, Ltd. Common Stock",nasdaq
APTV,N,Aptiv PLC Ordinary Shares,nasdaq
APUR,Q,Aperture AC - Class A Ordinary Shares,nasdaq
APURR,Q,Aperture AC - Rights,nasdaq
APUS,A,"Apimeds Pharmaceuticals US, Inc. Common Stock",nasdaq
APVO,Q,Aptevo Therapeutics Inc. - Common Stock,nasdaq
