fact_unit,2014-11-14,2015-03-03,2015-05-08,2015-08-07,2015-11-06,2016-02-26,2016-05-09,2016-08-05,2016-11-04,2017-02-24,2017-05-04,2017-08-03,2017-11-03,2018-02-22,2018-05-09,2018-08-06,2018-11-07,2019-02-21,2019-05-08,2019-08-06,2019-11-06,2020-02-24,2020-05-07,2020-08-06,2020-11-04,2021-02-23,2021-05-05,2021-08-03,2021-11-03,2022-02-23,2022-05-04,2022-08-03,2022-11-04,2023-02-17,2023-05-10,2023-08-08,2023-11-06,2024-02-16,2024-05-06,2024-08-06,2024-11-04,2025-02-13,2025-05-01,2025-08-04,2025-11-03
CommonStockValue / USD,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,7000000.0,7000000.0,7000000.0
ComprehensiveIncomeNetOfTax / USD,-3905000000.0,859000000.0,271000000.0,769000000.0,881000000.0,-3762000000.0,341000000.0,412000000.0,732000000.0,1141000000.0,374000000.0,694000000.0,963000000.0,825000000.0,305000000.0,713000000.0,1073000000.0,764000000.0,63000000.0,423000000.0,758000000.0,1645000000.0,737000000.0,1495000000.0,1992000000.0,1445000000.0,530000000.0,792000000.0,1022000000.0,2471000000.0,260000000.0,938000000.0,1341000000.0,1408000000.0,-1173000000.0,-1769000000.0,-2738000000.0,1714000000.0,1128000000.0,986000000.0,736000000.0,-1822000000.0,-72000000.0,349000000.0,1940000000.0
ContractualObligation / USD,56840000000.0,56840000000.0,58435000000.0,58435000000.0,58435000000.0,58435000000.0,58746000000.0,58746000000.0,58746000000.0,58746000000.0,62918000000.0,62918000000.0,62918000000.0,62918000000.0,65159000000.0,65159000000.0,65159000000.0,65159000000.0,71739000000.0,71739000000.0,71739000000.0,71739000000.0,75040000000.0,75040000000.0,75040000000.0,75040000000.0,76580000000.0,76580000000.0,76580000000.0,76580000000.0,86351000000.0,86351000000.0,86351000000.0,86351000000.0,98314000000.0,98314000000.0,98314000000.0,98314000000.0,96295000000.0,96295000000.0,96295000000.0,96295000000.0,95413000000.0,95413000000.0,95413000000.0
CurrentFederalTaxExpenseBenefit / USD,,19000000.0,,,,3000000.0,,,,224000000.0,,,,162000000.0,,,,292000000.0,,,,376000000.0,,,,271000000.0,,,,323000000.0,,,,377000000.0,,,,871000000.0,,,,355000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,75000000.0,,,,11000000.0,,,,262000000.0,,,,174000000.0,,,,336000000.0,,,,396000000.0,,,,365000000.0,,,,396000000.0,,,,479000000.0,,,,1087000000.0,,,,525000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,56000000.0,,,,8000000.0,,,,38000000.0,,,,12000000.0,,,,44000000.0,,,,20000000.0,,,,94000000.0,,,,73000000.0,,,,102000000.0,,,,216000000.0,,,,170000000.0,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000000.0,85000000.0,85000000.0,74000000.0,74000000.0,74000000.0,74000000.0,85000000.0,85000000.0,85000000.0
DebtInstrumentUnusedBorrowingCapacityAmount / USD,,,,,,,,,,,,,,,40200000000.0,39100000000.0,36300000000.0,36200000000.0,42500000000.0,42800000000.0,42800000000.0,38900000000.0,37000000000.0,61800000000.0,61700000000.0,64600000000.0,66600000000.0,64300000000.0,63600000000.0,63000000000.0,63200000000.0,61500000000.0,62600000000.0,63300000000.0,59400000000.0,69000000000.0,61300000000.0,69000000000.0,70600000000.0,69900000000.0,72300000000.0,74000000000.0,77400000000.0,75700000000.0,78000000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,,8145000000.0,8145000000.0,15196000000.0,15196000000.0,15196000000.0,15196000000.0,0.0,,,,,,,1236000000.0,1236000000.0,1236000000.0,1236000000.0,1236000000.0,5634000000.0,5634000000.0,5634000000.0,5634000000.0,20505000000.0,20505000000.0,20505000000.0,20505000000.0,17108000000.0,17108000000.0,17108000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,,232000000.0,232000000.0,654000000.0,654000000.0,654000000.0,654000000.0,0.0,,,,,,,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,1099000000.0,1099000000.0,1099000000.0,1099000000.0,1999000000.0,1999000000.0,1999000000.0,1999000000.0,1992000000.0,1992000000.0,1992000000.0
