fact_unit,2023-11-09,2024-02-08,2024-05-29,2024-08-01,2024-11-07,2025-02-05,2025-05-28,2025-07-30,2025-11-05
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue / USD,,,,0.0,0.0,0.0,0.0,98000000.0,98000000.0
EquitySecuritiesFvNiGainLoss / USD,,,,0.0,0.0,0.0,0.0,27000000.0,29000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,122000000.0,122000000.0,122000000.0,157000000.0,157000000.0,157000000.0,157000000.0,151000000.0,151000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount / USD,1000000.0,1000000.0,3000000.0,0.0,0.0,0.0,8000000.0,1000000.0,1000000.0
FinanceLeaseLiabilityCurrent / USD,,2000000.0,2000000.0,5000000.0,5000000.0,5000000.0,5000000.0,10000000.0,10000000.0
FinanceLeaseRightOfUseAsset / USD,,,,,,,,40000000.0,40000000.0
FinancingReceivableAllowanceForCreditLosses / USD,22000000.0,22000000.0,22000000.0,19000000.0,19000000.0,19000000.0,19000000.0,20000000.0,20000000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,490000000.0,,,,516000000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,64000000.0,,,,65000000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,13000000.0,,,,5000000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,26000000.0,,,,16000000.0,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,36000000.0,,,,58000000.0,,
FiniteLivedIntangibleAssetsGross / USD,,,628000000.0,,,,667000000.0,,
FiniteLivedIntangibleAssetsNet / USD,,,138000000.0,,,,151000000.0,,
GainLossOnInvestments / USD,-74000000.0,-80000000.0,141000000.0,-7000000.0,-12000000.0,-13000000.0,-45000000.0,24000000.0,14000000.0
GainLossOnTerminationOfLease / USD,,,0.0,,,,-4400000.0,,
Goodwill / USD,1620000000.0,1620000000.0,1620000000.0,1625000000.0,1625000000.0,1625000000.0,1625000000.0,1620000000.0,1620000000.0
GoodwillImpairmentLoss / USD,,,0.0,,,,0.0,,
GrossProfit / USD,1272000000.0,1967000000.0,2572000000.0,644000000.0,1404000000.0,2192000000.0,2573000000.0,906000000.0,1718000000.0
ImpairmentOfIntangibleAssetsExcludingGoodwill / USD,,,5000000.0,,,,0.0,,
ImpairmentOfLongLivedAssetsHeldForUse / USD,,,23500000.0,,,,0.0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,608000000.0,,,,427000000.0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,438000000.0,666000000.0,786000000.0,127000000.0,8000000.0,154000000.0,671000000.0,244000000.0,308000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,178000000.0,,,,244000000.0,,
IncomeLossFromContinuingOperationsPerBasicShare / USD/shares,0.33,0.51,0.66,0.1,0.0,0.08,0.51,0.21,0.32
IncomeLossFromContinuingOperationsPerDilutedShare / USD/shares,0.33,0.51,0.66,0.1,0.0,0.08,0.51,0.21,0.31
IncomeLossFromEquityMethodInvestments / USD,-80000000.0,-82000000.0,112000000.0,-10000000.0,-14000000.0,-15000000.0,-41000000.0,0.0,-12000000.0
IncomeTaxExpenseBenefit / USD,99000000.0,145000000.0,109700000.0,22000000.0,13000000.0,72000000.0,146800000.0,21000000.0,-22000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,-22000000.0,,,,5000000.0,,
IncomeTaxReconciliationChangeInEnactedTaxRate / USD,,,64000000.0,,,,2000000.0,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,-8000000.0,,,,2000000.0,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,149000000.0,,,,127000000.0,,
IncomeTaxReconciliationNondeductibleExpense / USD,,,-3000000.0,,,,3000000.0,,
IncomeTaxReconciliationTaxContingencies / USD,,,,,,,0.0,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,25000000.0,,,,37000000.0,,
IncomeTaxesPaid / USD,,,141000000.0,,,,157000000.0,,
IncreaseDecreaseInAccountsReceivable / USD,209000000.0,152000000.0,219000000.0,-102000000.0,-135000000.0,-200000000.0,-125000000.0,23000000.0,225000000.0
IncreaseDecreaseInAccruedIncomeTaxesPayable / USD,39000000.0,87000000.0,112000000.0,12000000.0,-64000000.0,-46000000.0,35000000.0,-4000000.0,-68000000.0
