fact_unit,2009-08-06,2009-11-06,2010-02-26,2010-04-28,2010-08-03,2010-10-29,2011-02-24,2011-04-29,2011-07-29,2011-10-28,2012-02-24,2012-04-27,2012-07-27,2012-10-25,2013-02-28,2013-04-25,2013-07-25,2013-10-24,2014-02-21,2014-04-24,2014-07-24,2014-10-23,2015-02-13,2015-04-23,2015-07-23,2015-10-22,2016-02-19,2016-04-28,2016-07-28,2016-10-27,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-26,2018-07-26,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-24,2020-02-14,2020-04-23,2020-07-23,2020-10-22,2021-02-19,2021-04-22,2021-07-22,2021-10-28,2022-02-18,2022-04-28,2022-07-28,2022-10-27,2023-02-17,2023-04-27,2023-07-27,2023-10-26,2024-02-15,2024-04-25,2024-07-25,2024-10-24,2025-02-13,2025-04-24,2025-07-24,2025-10-23
CommonStockSharesIssued / shares,,,,,,,183299463.0,172736281.0,313313000.0,313313000.0,313313000.0,316781000.0,316781000.0,316781000.0,316781000.0,318722000.0,318722000.0,318722000.0,318722000.0,320358000.0,320358000.0,320358000.0,320358000.0,321699000.0,321699000.0,321699000.0,321699000.0,322990000.0,322990000.0,322990000.0,322990000.0,324118000.0,324118000.0,324118000.0,324118000.0,325218000.0,325218000.0,325218000.0,325218000.0,352325000.0,352325000.0,352325000.0,352325000.0,353157000.0,353157000.0,353157000.0,353157000.0,353789000.0,353789000.0,353789000.0,353789000.0,354200000.0,354200000.0,354200000.0,354200000.0,354500000.0,354500000.0,354500000.0,354500000.0,354900000.0,354900000.0,354900000.0,354900000.0,355200000.0,355200000.0,355200000.0
CommonStockSharesOutstanding / shares,191547795.0,191547795.0,191547795.0,183299463.0,183299463.0,183299463.0,183299463.0,172736281.0,172736000.0,172736000.0,172736000.0,159422000.0,159422000.0,159422000.0,159422000.0,153392000.0,153392000.0,153392000.0,153392000.0,133724000.0,133724000.0,133724000.0,133724000.0,118452000.0,118452000.0,118452000.0,118452000.0,110072000.0,110072000.0,110072000.0,110072000.0,103091000.0,103091000.0,103091000.0,103091000.0,97591000.0,97591000.0,97591000.0,97591000.0,120037000.0,120037000.0,120037000.0,120037000.0,116715000.0,116715000.0,116715000.0,116715000.0,113470000.0,113470000.0,113470000.0,113470000.0,110500000.0,110500000.0,110500000.0,110500000.0,105300000.0,105300000.0,105300000.0,105300000.0,101300000.0,101300000.0,101300000.0,101300000.0,95000000.0,95000000.0,95000000.0
CommonStocksIncludingAdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14990011000.0,14990011000.0,14990011000.0,14990011000.0,14275160000.0,14275160000.0,14275160000.0,14275160000.0,13620100000.0,13620100000.0,13620100000.0,13620100000.0,12644500000.0,12644500000.0,12644500000.0,12644500000.0,11808000000.0,11808000000.0,11808000000.0,11808000000.0,10645300000.0,10645300000.0,10645300000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,91314000.0,865389000.0,,,,,821974000.0,,,,,84226000.0,168498000.0,249482000.0,,94436000.0,194577000.0,289824000.0,,88321000.0,181119000.0,274115000.0,,108325000.0,222470000.0,336401000.0,,116758000.0,240075000.0,354710000.0,,134506000.0,262874000.0,400232000.0,,162576000.0,310145000.0,464366000.0,,336379000.0,486858000.0,657454000.0,,150400000.0,298000000.0,454700000.0,,157300000.0,324700000.0,494400000.0,,178700000.0,363700000.0,552600000.0,,193900000.0,392700000.0,594400000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,86717000.0,147054000.0,-136142000.0,,,,-362475000.0,,95495000.0,857642000.0,237735000.0,40314000.0,29431000.0,87227000.0,814235000.0,67999000.0,136483000.0,216872000.0,141141000.0,,,,322728000.0,,,,541753000.0,,,,355347000.0,,,,374241000.0,,,,441185000.0,,,,457760000.0,,,,582619000.0,,,,612489000.0,,,,814800000.0,,,,784800000.0,,,,673900000.0,,,
ConstructionInProgressGross / USD,,,,,,,,,,,5121000.0,,,,6157000.0,,,,11393000.0,,,,16213000.0,,,,7520000.0,,,,5406000.0,,,,4246000.0,,,,4024000.0,,,,2013000.0,,,,6779000.0,,,,4330000.0,,,,3100000.0,,,3600000.0,3600000.0,,,,16100000.0,,,
CostOfRevenue / USD,115233000.0,172498000.0,240119000.0,62879000.0,88221000.0,130380000.0,160845000.0,38814000.0,78660000.0,118411000.0,166705000.0,40869000.0,81536000.0,123230000.0,156676000.0,41256000.0,84100000.0,125560000.0,165246000.0,47254000.0,93884000.0,140438000.0,167600000.0,48026000.0,94015000.0,140948000.0,187013000.0,48353000.0,96574000.0,143792000.0,188425000.0,50582000.0,99335000.0,149142000.0,192788000.0,50669000.0,98313000.0,145646000.0,198242000.0,48152000.0,95517000.0,143766000.0,193326000.0,45504000.0,89570000.0,134013000.0,192134000.0,45573000.0,89181000.0,134205000.0,180467000.0,47000000.0,94800000.0,142600000.0,180200000.0,50700000.0,100200000.0,150200000.0,191900000.0,49900000.0,100200000.0,148800000.0,200700000.0,49100000.0,96200000.0,143000000.0
CostsAndExpenses / USD,465754000.0,644515000.0,1082027000.0,178700000.0,227796000.0,350515000.0,584908000.0,107479000.0,224538000.0,336952000.0,455989000.0,116013000.0,223798000.0,331816000.0,448295000.0,106796000.0,213958000.0,321424000.0,442589000.0,103183000.0,210434000.0,321399000.0,416265000.0,109211000.0,216472000.0,331994000.0,436855000.0,114185000.0,227759000.0,339077000.0,445690000.0,115109000.0,225308000.0,338086000.0,453420000.0,113343000.0,226935000.0,338304000.0,455595000.0,113869000.0,223311000.0,334091000.0,457373000.0,106156000.0,210752000.0,313557000.0,447577000.0,106260000.0,213845000.0,325075000.0,425534000.0,113200000.0,229600000.0,342600000.0,440900000.0,122100000.0,238000000.0,358100000.0,460800000.0,123100000.0,246400000.0,368400000.0,481800000.0,125400000.0,246300000.0,367600000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,,,,7685000.0,,,,-91305000.0,,,,30325000.0,,,,13553000.0,,,,1104000.0,,,,4643000.0,,,,13601000.0,,,,34842000.0,,,,16870000.0,,,,99127000.0,,,,74283000.0,,,,-124000000.0,,,,97500000.0,,,,145100000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,,,,4591000.0,,,,8474000.0,,,,1146000.0,,,,8498000.0,,,,13613000.0,,,,69614000.0,,,,17241000.0,,,,19268000.0,,,,15539000.0,,,,76199000.0,,,,31385000.0,,,,29200000.0,,,,29800000.0,,,,26300000.0,,,
