fact_unit,2024-05-10,2024-08-09,2024-11-08,2025-02-28,2025-05-09,2025-08-08,2025-11-06
CommercialPaper / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0,750000000.0
CommonStockSharesIssued / shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockSharesOutstanding / shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockValue / USD,,0.0,0.0,0.0,2000000.0,2000000.0,2000000.0
ComprehensiveIncomeNetOfTax / USD,361000000.0,704000000.0,1030000000.0,1046000000.0,151000000.0,252000000.0,552000000.0
ContractWithCustomerLiabilityCurrent / USD,574000000.0,574000000.0,574000000.0,574000000.0,572000000.0,572000000.0,572000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,205000000.0,360000000.0,475000000.0,540000000.0,240000000.0,390000000.0,500000000.0
CostsAndExpenses / USD,1646000000.0,3305000000.0,4875000000.0,,,,
CurrentFederalTaxExpenseBenefit / USD,,,,355000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,82000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,53000000.0,,,
DebtCurrent / USD,,,0.0,0.0,200000000.0,200000000.0,200000000.0
DebtInstrumentCarryingAmount / USD,8380000000.0,8380000000.0,8180000000.0,8080000000.0,7980000000.0,7880000000.0,5183000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-127000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-6000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,-34000000.0,-69000000.0,-99000000.0,-141000000.0,-25000000.0,-56000000.0,-93000000.0
DeferredIncomeTaxLiabilities / USD,,,,448000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,231000000.0,231000000.0,231000000.0,231000000.0,225000000.0,225000000.0,225000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-8000000.0,,,
DeferredTaxAssetInterestCarryforward / USD,,,,0.0,,,
DeferredTaxAssetsGross / USD,,,,593000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,89000000.0,,,
DeferredTaxAssetsNet / USD,,,,537000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,95000000.0,,,
DeferredTaxAssetsOther / USD,,,,37000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,,,,52000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,102000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,,52000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,56000000.0,56000000.0,56000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,324000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,108000000.0,,,
DefinedBenefitPlanContributionsByEmployer / USD,1000000.0,,,4000000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,18000000.0,,,
Depreciation / USD,,79000000.0,124000000.0,177000000.0,44000000.0,84000000.0,121000000.0
DepreciationDepletionAndAmortization / USD,145000000.0,278000000.0,422000000.0,578000000.0,139000000.0,272000000.0,405000000.0
DerivativeFairValueOfDerivativeAsset / USD,,,0.0,0.0,,,
DerivativeLiabilityFairValueGrossLiabilityIncludingNotSubjectToMasterNettingArrangement / USD,,,0.0,0.0,,,
DerivativeNotionalAmount / USD,,,0.0,0.0,,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent / USD,,,,,0.0,0.0,
EarningsPerShareBasic / USD/shares,1.7,3.56,6.22,7.78,1.37,1.89,2.59
EarningsPerShareDiluted / USD/shares,1.7,3.56,6.22,7.78,1.37,1.88,2.58
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,0.0,0.0,1000000.0,4000000.0,0.0,0.0,1000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.193,0.209,0.158,0.206,0.28,0.233,0.243
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.007,,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,,,-0.003,,,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,0.025,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,-0.017,,,
EffectiveIncomeTaxRateReconciliationGiltiPercent / pure,,,,0.007,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseRestructuringCharges / pure,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,0.018,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.021,,,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,,,,0.006,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,0.018,,,
EmployeeRelatedLiabilitiesCurrent / USD,209000000.0,209000000.0,209000000.0,209000000.0,309000000.0,281000000.0,281000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,6000000.0,8000000.0,9000000.0,-2000000.0,8000000.0,13000000.0
EntityCommonStockSharesOutstanding / shares,172709505.0,172710593.0,172754070.0,172990490.0,173012922.0,173387798.0,173447557.0
EntityPublicFloat / USD,,,,9100000000.0,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,2459000000.0,2459000000.0,2459000000.0,2459000000.0,2800000000.0,2800000000.0,2800000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,1008000000.0,1008000000.0,1014000000.0,1006000000.0,832000000.0,836000000.0,836000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,318000000.0,324000000.0,326000000.0,324000000.0,306000000.0,306000000.0,305000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,259000000.0,176000000.0,88000000.0,,228000000.0,153000000.0,77000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,272000000.0,272000000.0,274000000.0,272000000.0,151000000.0,153000000.0,152000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,307000000.0,310000000.0,312000000.0,309000000.0,256000000.0,257000000.0,257000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,308000000.0,315000000.0,316000000.0,314000000.0,294000000.0,296000000.0,296000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,313000000.0,319000000.0,321000000.0,319000000.0,298000000.0,301000000.0,300000000.0
FiniteLivedIntangibleAssetsGross / USD,5336000000.0,5336000000.0,5336000000.0,5336000000.0,5344000000.0,5344000000.0,5344000000.0
FiniteLivedIntangibleAssetsNet / USD,2877000000.0,2877000000.0,2877000000.0,2877000000.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,27000000.0,,,
GainLossOnSaleOfBusiness / USD,,,56000000.0,0.0,,,0.0
Goodwill / USD,6535000000.0,6535000000.0,6535000000.0,6434000000.0,6377000000.0,6377000000.0,6377000000.0
GoodwillAcquiredDuringPeriod / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoodwillForeignCurrencyTranslationGainLoss / USD,-67000000.0,-88000000.0,57000000.0,105000000.0,108000000.0,287000000.0,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,,,,4000000.0,,,1389000000.0
GrossProfit / USD,1137000000.0,2326000000.0,3535000000.0,4695000000.0,1172000000.0,2309000000.0,3474000000.0
GuaranteeObligationsCurrentCarryingValue / USD,,,,40000000.0,40000000.0,40000000.0,40000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,1276000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,363000000.0,776000000.0,1276000000.0,1692000000.0,329000000.0,425000000.0,592000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,416000000.0,,,
IncomeTaxExpenseBenefit / USD,70000000.0,162000000.0,202000000.0,349000000.0,92000000.0,99000000.0,144000000.0
IncomeTaxesPaidNet / USD,,,,0.0,,,
IncreaseDecreaseInAccountsPayable / USD,26000000.0,30000000.0,48000000.0,25000000.0,115000000.0,132000000.0,200000000.0
IncreaseDecreaseInAccountsReceivable / USD,-32000000.0,30000000.0,24000000.0,32000000.0,-78000000.0,-70000000.0,-14000000.0
IncreaseDecreaseInAccruedSalaries / USD,,,,,-46000000.0,45000000.0,53000000.0
IncreaseDecreaseInDueFromRelatedParties / USD,,0.0,0.0,0.0,0.0,-131000000.0,-200000000.0
IncreaseDecreaseInDueToRelatedParties / USD,,0.0,0.0,0.0,0.0,-169000000.0,-321000000.0
IncreaseDecreaseInInventories / USD,6000000.0,5000000.0,7000000.0,82000000.0,52000000.0,57000000.0,99000000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,0.0,0.0,0.0,0.0,200000.0,300000.0
IndefiniteLivedIntangibleAssetsExcludingGoodwill / USD,25000000.0,25000000.0,25000000.0,25000000.0,,,
IntangibleAssetsNetExcludingGoodwill / USD,2902000000.0,2902000000.0,2902000000.0,2902000000.0,2544000000.0,2544000000.0,2544000000.0
InterestIncomeExpenseNonoperatingNet / USD,0.0,0.0,0.0,0.0,-39000000.0,-153000000.0,-260000000.0
InterestPaidNet / USD,,,,0.0,,,
InterestPayableCurrent / USD,,0.0,0.0,0.0,114000000.0,114000000.0,114000000.0
InventoryFinishedGoodsNetOfReserves / USD,453000000.0,453000000.0,453000000.0,453000000.0,539000000.0,539000000.0,539000000.0
InventoryNet / USD,857000000.0,857000000.0,857000000.0,857000000.0,965000000.0,965000000.0,965000000.0
InventoryRawMaterialsAndSuppliesNetOfReserves / USD,233000000.0,233000000.0,233000000.0,233000000.0,236000000.0,236000000.0,236000000.0
InventoryWorkInProcessNetOfReserves / USD,171000000.0,171000000.0,171000000.0,171000000.0,190000000.0,190000000.0,190000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,176000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,7000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,89000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,4000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,10000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,22000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,44000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,3000000.0,,,
Liabilities / USD,2277000000.0,2277000000.0,2277000000.0,2277000000.0,11498000000.0,11498000000.0,11498000000.0
LiabilitiesAndStockholdersEquity / USD,13943000000.0,13943000000.0,13943000000.0,13943000000.0,14457000000.0,14457000000.0,14457000000.0
LiabilitiesCurrent / USD,1728000000.0,1728000000.0,1728000000.0,1728000000.0,2703000000.0,2703000000.0,2703000000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,0.0,0.0,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent / USD,,,,,0.0,0.0,
LongTermDebt / USD,8303000000.0,8306000000.0,8109000000.0,0.0,8010000000.0,8010000000.0,8010000000.0
LongTermDebtCurrent / USD,0.0,0.0,300000000.0,200000000.0,200000000.0,200000000.0,200000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,4400000000.0,4400000000.0,4400000000.0,4400000000.0,4400000000.0,4400000000.0,3920000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,500000000.0,500000000.0,300000000.0,200000000.0,0.0,0.0,0.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,1500000000.0,1500000000.0,1500000000.0,1500000000.0,0.0,0.0,0.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,0.0,0.0,0.0,0.0,1500000000.0,1500000000.0,703000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,1980000000.0,1980000000.0,1980000000.0,1980000000.0,0.0,0.0,0.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,0.0,0.0,0.0,0.0,1980000000.0,1980000000.0,560000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear / USD,0.0,0.0,0.0,,100000000.0,0.0,0.0
LongTermDebtNoncurrent / USD,0.0,0.0,0.0,0.0,7810000000.0,7810000000.0,7810000000.0
LossContingencyAccrualAtCarryingValue / USD,23000000.0,23000000.0,23000000.0,23000000.0,25000000.0,25000000.0,25000000.0
LossContingencyLossInPeriod / USD,-1000000.0,1000000.0,1000000.0,9000000.0,0.0,5000000.0,8000000.0
NetCashProvidedByUsedInFinancingActivities / USD,-462000000.0,-761000000.0,-1246000000.0,-1460000000.0,462000000.0,66000000.0,-136000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-65000000.0,-136000000.0,-142000000.0,-253000000.0,-102000000.0,-160000000.0,-253000000.0
NetCashProvidedByUsedInOperatingActivities / USD,509000000.0,875000000.0,1368000000.0,1679000000.0,442000000.0,797000000.0,966000000.0
NetIncomeLoss / USD,293000000.0,614000000.0,1074000000.0,1343000000.0,237000000.0,326000000.0,448000000.0
NoncurrentAssets / USD,,,,1620000000.0,,,
NumberOfBusinessesAcquired / business,,,,,0.0,0.0,0.0
NumberOfOperatingSegments / operatingSegment,4.0,4.0,4.0,4.0,4.0,4.0,
OciBeforeReclassificationsBeforeTaxAttributableToParent / USD,68000000.0,,,,,-23000000.0,43000000.0
OperatingIncomeLoss / USD,365000000.0,782000000.0,1286000000.0,1693000000.0,381000000.0,625000000.0,900000000.0
OperatingLeaseCost / USD,,,,32000000.0,,,
OperatingLeaseLeaseIncome / USD,145000000.0,298000000.0,458000000.0,603000000.0,146000000.0,294000000.0,442000000.0
OperatingLeaseLiability / USD,,,,98000000.0,,,
OperatingLeaseLiabilityCurrent / USD,,,,29000000.0,,,
OperatingLeaseLiabilityNoncurrent / USD,,,,69000000.0,,,
OperatingLeasePayments / USD,,,,31000000.0,,,
OperatingLeaseRightOfUseAsset / USD,,,,98000000.0,,,
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,0.029,,,
OtherAccruedLiabilitiesCurrent / USD,262000000.0,262000000.0,156000000.0,156000000.0,350000000.0,378000000.0,378000000.0
OtherAssetsCurrent / USD,155000000.0,155000000.0,155000000.0,155000000.0,293000000.0,293000000.0,293000000.0
OtherAssetsNoncurrent / USD,530000000.0,530000000.0,530000000.0,530000000.0,665000000.0,665000000.0,665000000.0
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent / USD,0.0,0.0,0.0,-34000000.0,0.0,-10000000.0,-20000000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent / USD,68000000.0,90000000.0,-44000000.0,-331000000.0,-86000000.0,-85000000.0,94000000.0
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent / USD,68000000.0,,,,,16000000.0,107000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent / USD,,0.0,0.0,0.0,0.0,1000000.0,-10000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,68000000.0,90000000.0,-44000000.0,-297000000.0,-86000000.0,-74000000.0,104000000.0
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1 / USD,0.0,,,,,4000000.0,3000000.0
OtherLiabilitiesCurrent / USD,677000000.0,677000000.0,677000000.0,677000000.0,1041000000.0,1041000000.0,1041000000.0
OtherLiabilitiesNoncurrent / USD,152000000.0,152000000.0,152000000.0,152000000.0,410000000.0,410000000.0,410000000.0
OtherNonoperatingIncomeExpense / USD,-2000000.0,-6000000.0,-10000000.0,-1000000.0,-13000000.0,-47000000.0,-48000000.0
OtherOperatingActivitiesCashFlowStatement / USD,25000000.0,10000000.0,-53000000.0,-113000000.0,-17000000.0,24000000.0,42000000.0
OtherReceivablesNetCurrent / USD,,0.0,0.0,0.0,185000000.0,185000000.0,185000000.0
PaymentsForLegalSettlements / USD,,,6000000.0,6000000.0,3000000.0,16000000.0,6000000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,,,2000000.0,0.0,0.0,0.0
PaymentsForRestructuring / USD,,,,1000000.0,1000000.0,1000000.0,1000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,65000000.0,136000000.0,202000000.0,251000000.0,102000000.0,160000000.0,253000000.0
PensionAndOtherPostretirementBenefitsExpenseReversalOfExpenseNoncash / USD,10000000.0,21000000.0,31000000.0,64000000.0,9000000.0,19000000.0,30000000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent / USD,166000000.0,166000000.0,166000000.0,166000000.0,350000000.0,350000000.0,350000000.0
ProceedsFromDebtNetOfIssuanceCosts / USD,0.0,0.0,0.0,0.0,8303000000.0,8303000000.0,8303000000.0
ProceedsFromDivestitureOfBusinesses / USD,,,60000000.0,0.0,,,0.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,-2000000.0,0.0,2000000.0,-4000000.0,10000000.0,10000000.0,8000000.0
PropertyPlantAndEquipmentGross / USD,,3338000000.0,3338000000.0,3338000000.0,3610000000.0,3610000000.0,3610000000.0
PropertyPlantAndEquipmentNet / USD,1457000000.0,1457000000.0,1457000000.0,1457000000.0,1622000000.0,1622000000.0,1622000000.0
ReclassificationFromAociCurrentPeriodBeforeTaxAttributableToParent / USD,0.0,,,,,-39000000.0,-64000000.0
RepaymentsOfDebt / USD,,,0.0,0.0,0.0,0.0,200000000.0
ResearchAndDevelopmentExpense / USD,195000000.0,388000000.0,568000000.0,767000000.0,195000000.0,387000000.0,576000000.0
RestructuringCharges / USD,,,,62000000.0,62000000.0,62000000.0,62000000.0
RestructuringReserve / USD,,,,53000000.0,53000000.0,53000000.0,53000000.0
RestructuringReserveSettledWithoutCash2 / USD,,,,8000000.0,8000000.0,8000000.0,8000000.0
RetainedEarningsAccumulatedDeficit / USD,,0.0,0.0,0.0,242000000.0,242000000.0,242000000.0
Revenues / USD,2011000000.0,4087000000.0,6161000000.0,8130000000.0,2016000000.0,4097000000.0,6179000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,,14000000.0,,,
SellingGeneralAndAdministrativeExpense / USD,577000000.0,1156000000.0,1681000000.0,2235000000.0,596000000.0,1297000000.0,1998000000.0
ShareBasedCompensation / USD,18000000.0,26000000.0,32000000.0,37000000.0,4000000.0,60000000.0,87000000.0
ShortTermBorrowings / USD,,,,0.0,,,
StockIssuedDuringPeriodSharesNewIssues / shares,,172709505.0,172709505.0,172709505.0,172709505.0,172709505.0,172709505.0
StockIssuedDuringPeriodValueNewIssues / USD,,0.0,0.0,0.0,,0.0,0.0
StockholdersEquity / USD,11742000000.0,11742000000.0,11742000000.0,12059000000.0,11666000000.0,11666000000.0,11666000000.0
TaxCreditCarryforwardAmount / USD,,,,37000000.0,,,
TaxesPayableCurrent / USD,,,106000000.0,106000000.0,122000000.0,122000000.0,122000000.0
UndistributedEarningsOfForeignSubsidiaries / USD,,,,2000000000.0,,,
UnrecognizedTaxBenefits / USD,,,,308000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,,,19000000.0,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued / USD,,,,4500000.0,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense / USD,,,,3900000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition / USD,,,,0.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,,,18000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,,,17000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,,0.0,,,
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations / USD,,,,10000000.0,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,,,141000000.0,,,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,172700000.0,172700000.0,172700000.0,172700000.0,172700000.0,173100000.0,173400000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,172700000.0,172700000.0,172700000.0,172700000.0,172700000.0,172900000.0,173100000.0
