fact_unit,2009-08-26,2009-11-04,2010-02-16,2010-05-04,2010-05-05,2010-08-05,2010-11-02,2011-02-18,2011-05-02,2011-05-12,2011-07-28,2011-10-27,2012-02-15,2012-04-25,2012-05-14,2012-07-25,2012-10-24,2013-02-12,2013-04-24,2013-05-28,2013-07-24,2013-10-23,2014-02-13,2014-05-01,2014-08-05,2014-08-07,2014-11-04,2015-02-13,2015-05-06,2015-08-05,2015-11-04,2016-02-23,2016-05-06,2016-08-05,2016-11-04,2017-02-21,2017-05-05,2017-08-04,2017-11-03,2018-02-16,2018-05-04,2018-08-03,2018-11-02,2019-02-15,2019-05-03,2019-08-02,2019-10-31,2020-02-14,2020-05-08,2020-08-07,2020-10-30,2021-02-12,2021-05-06,2021-08-05,2021-11-04,2022-02-16,2022-05-12,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-11-07,2025-02-14,2025-05-01,2025-08-07,2025-10-30
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,,,94000000.0,28000000.0,28000000.0,53000000.0,84000000.0,101000000.0,30000000.0,30000000.0,61000000.0,92000000.0,117000000.0,31000000.0,43000000.0,97000000.0,63000000.0,97000000.0,19000000.0,37000000.0,51000000.0,83000000.0,14000000.0,27000000.0,39000000.0,64000000.0,12000000.0,24000000.0,36000000.0,54000000.0,11000000.0,22000000.0,33000000.0,47000000.0,13000000.0,26000000.0,40000000.0,44000000.0,21000000.0,47000000.0,71000000.0,55000000.0,31000000.0,58000000.0,83000000.0,96000000.0,23000000.0,52000000.0,80000000.0,99000000.0,29000000.0,64000000.0,100000000.0,114000000.0,44000000.0,86000000.0,127000000.0,138000000.0,45000000.0,95000000.0,143000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,142000000.0,75000000.0,75000000.0,49000000.0,16000000.0,49000000.0,49000000.0,49000000.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,56000000.0,53000000.0,50000000.0,53000000.0,53000000.0,35000000.0,35000000.0,35000000.0,35000000.0,28000000.0,28000000.0,28000000.0,28000000.0,44000000.0,44000000.0,44000000.0,44000000.0,45000000.0,45000000.0,45000000.0,45000000.0,51000000.0,51000000.0,51000000.0,51000000.0,63000000.0,63000000.0,63000000.0,63000000.0,75000000.0,75000000.0,75000000.0,75000000.0,70000000.0,70000000.0,70000000.0,70000000.0,61000000.0,61000000.0,61000000.0,61000000.0,69000000.0,69000000.0,69000000.0,69000000.0,83000000.0,83000000.0,83000000.0
AllowanceForDoubtfulAccountsReceivableNoncurrent / USD,,,,,,9000000.0,9000000.0,9000000.0,1000000.0,7000000.0,1000000.0,1000000.0,1000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2000000.0,2000000.0,,2000000.0,,,,2000000.0,,,,3000000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,141000000.0,209000000.0,294000000.0,51000000.0,227000000.0,101000000.0,152000000.0,218000000.0,50000000.0,50000000.0,100000000.0,150000000.0,203000000.0,6000000.0,6000000.0,12000000.0,18000000.0,200000000.0,6000000.0,0.0,5000000.0,1000000.0,1000000.0,1000000.0,2000000.0,3000000.0,1000000.0,2000000.0,4000000.0,6000000.0,4000000.0,13000000.0,52000000.0,83000000.0,8000000.0,36000000.0,73000000.0,111000000.0,113000000.0,41000000.0,94000000.0,140000000.0,151000000.0,50000000.0,102000000.0,154000000.0,188000000.0,53000000.0,104000000.0,158000000.0,208000000.0,58000000.0,116000000.0,172000000.0,215000000.0,66000000.0,131000000.0,194000000.0,236000000.0,55000000.0,98000000.0,137000000.0,257000000.0,39000000.0,76000000.0,114000000.0
AssetImpairmentCharges / USD,,,,,,,,1634000000.0,,1564000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,5000000.0,5000000.0,,0.0,0.0,0.0,0.0,,,147000000.0,0.0,,,,147000000.0,,,
Assets / USD,27869000000.0,27869000000.0,27869000000.0,25603000000.0,27869000000.0,25603000000.0,25603000000.0,27869000000.0,25577000000.0,27869000000.0,25577000000.0,25577000000.0,25603000000.0,13929000000.0,13929000000.0,13929000000.0,13929000000.0,25577000000.0,12679000000.0,12679000000.0,12679000000.0,12679000000.0,13929000000.0,11851000000.0,11851000000.0,12679000000.0,11851000000.0,11851000000.0,10423000000.0,10423000000.0,10423000000.0,10423000000.0,8346000000.0,8346000000.0,8346000000.0,8346000000.0,8463000000.0,8463000000.0,8463000000.0,8346000000.0,8208000000.0,8208000000.0,8208000000.0,8463000000.0,9409000000.0,9409000000.0,9409000000.0,8208000000.0,10642000000.0,10642000000.0,10642000000.0,9409000000.0,10876000000.0,10876000000.0,10876000000.0,10642000000.0,12189000000.0,12189000000.0,12189000000.0,10876000000.0,12814000000.0,12814000000.0,12814000000.0,12189000000.0,13336000000.0,13336000000.0,13336000000.0,12814000000.0,14595000000.0,14595000000.0,14595000000.0
AssetsCurrent / USD,17363000000.0,17363000000.0,17363000000.0,16032000000.0,17363000000.0,16032000000.0,16032000000.0,16032000000.0,17154000000.0,16032000000.0,17154000000.0,17154000000.0,17154000000.0,8768000000.0,8768000000.0,8768000000.0,8768000000.0,8768000000.0,7401000000.0,7401000000.0,7401000000.0,7401000000.0,7401000000.0,7020000000.0,7020000000.0,7402000000.0,7020000000.0,7020000000.0,6879000000.0,6879000000.0,6879000000.0,6879000000.0,4619000000.0,4619000000.0,4619000000.0,4619000000.0,3468000000.0,3468000000.0,3468000000.0,3468000000.0,3950000000.0,3950000000.0,3950000000.0,3950000000.0,4272000000.0,4272000000.0,4272000000.0,4272000000.0,4178000000.0,4178000000.0,4178000000.0,4178000000.0,4327000000.0,4327000000.0,4327000000.0,4327000000.0,5412000000.0,5412000000.0,5412000000.0,5412000000.0,5255000000.0,5255000000.0,5255000000.0,5255000000.0,5725000000.0,5725000000.0,5725000000.0,5725000000.0,6479000000.0,6479000000.0,6479000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,13000000.0,13000000.0,13000000.0,0.0,1000000.0,1000000.0,1000000.0,13000000.0,17000000.0,17000000.0,17000000.0,1000000.0,2000000.0,2000000.0,4000000.0,24000000.0,2000000.0,3000000.0,8000000.0,3000000.0,1000000.0,4000000.0,6000000.0,9000000.0,10000000.0,14000000.0,16000000.0,15000000.0,2000000.0,2000000.0,3000000.0,23000000.0,4000000.0,7000000.0,11000000.0
CapitalizedContractCostAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,23000000.0,34000000.0,44000000.0,12000000.0,23000000.0,34000000.0,44000000.0,11000000.0,22000000.0,32000000.0,44000000.0,11000000.0,22000000.0,35000000.0,42000000.0,13000000.0,25000000.0,37000000.0,49000000.0,17000000.0,26000000.0,41000000.0,52000000.0,17000000.0,35000000.0,35000000.0,62000000.0,13000000.0,25000000.0,38000000.0
CapitalizedContractCostNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000000.0,30000000.0,30000000.0,30000000.0,30000000.0,24000000.0,24000000.0,24000000.0,30000000.0,23000000.0,23000000.0,23000000.0,24000000.0,30000000.0,30000000.0,30000000.0,23000000.0,61000000.0,61000000.0,61000000.0,30000000.0,56000000.0,56000000.0,56000000.0,61000000.0,70000000.0,70000000.0,70000000.0
CapitalizedContractCostNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,98000000.0,98000000.0,98000000.0,98000000.0,107000000.0,107000000.0,107000000.0,98000000.0,105000000.0,105000000.0,105000000.0,107000000.0,124000000.0,124000000.0,124000000.0,105000000.0,130000000.0,130000000.0,130000000.0,124000000.0,119000000.0,119000000.0,119000000.0,130000000.0,141000000.0,141000000.0,141000000.0
CashAndCashEquivalentsAtCarryingValue / USD,2752000000.0,2752000000.0,2816000000.0,3064000000.0,2816000000.0,3064000000.0,3064000000.0,2752000000.0,2869000000.0,2752000000.0,2869000000.0,2869000000.0,3064000000.0,4208000000.0,4208000000.0,4208000000.0,4208000000.0,2869000000.0,1881000000.0,1881000000.0,1881000000.0,1881000000.0,4208000000.0,1468000000.0,1468000000.0,4208000000.0,1468000000.0,1881000000.0,3225000000.0,3225000000.0,3225000000.0,1468000000.0,3954000000.0,3954000000.0,3954000000.0,3225000000.0,967000000.0,967000000.0,967000000.0,967000000.0,1205000000.0,1205000000.0,1205000000.0,1205000000.0,1246000000.0,1246000000.0,1246000000.0,1257000000.0,1001000000.0,1001000000.0,1001000000.0,1001000000.0,1254000000.0,1254000000.0,1254000000.0,1254000000.0,1874000000.0,1874000000.0,1874000000.0,1874000000.0,1325000000.0,1325000000.0,1325000000.0,1325000000.0,1705000000.0,1705000000.0,1705000000.0,1705000000.0,2102000000.0,2102000000.0,2102000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980000000.0,1980000000.0,3954000000.0,1030000000.0,1030000000.0,1030000000.0,1980000000.0,1268000000.0,1268000000.0,1268000000.0,1030000000.0,1257000000.0,1257000000.0,1257000000.0,1268000000.0,1001000000.0,1001000000.0,1001000000.0,1257000000.0,1254000000.0,1254000000.0,1254000000.0,1001000000.0,1874000000.0,1874000000.0,1874000000.0,1254000000.0,1325000000.0,1325000000.0,1325000000.0,1874000000.0,1705000000.0,1705000000.0,1705000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-435000000.0,-293000000.0,,-201000000.0,-225000000.0,-313000000.0,-950000000.0,-410000000.0,-327000000.0,-417000000.0,238000000.0,-360000000.0,-293000000.0,-117000000.0,-11000000.0,671000000.0,340000000.0,6000000.0,-256000000.0,66000000.0,667000000.0,399000000.0,253000000.0,-996000000.0,-1157000000.0,-1052000000.0,620000000.0,-303000000.0,-615000000.0,-415000000.0,-549000000.0,-193000000.0,-324000000.0,-301000000.0
CashSurrenderValueOfLifeInsurance / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000000.0,135000000.0,135000000.0,135000000.0,141000000.0,141000000.0,141000000.0,141000000.0,75000000.0,75000000.0,75000000.0,75000000.0,74000000.0,74000000.0,74000000.0,74000000.0,77000000.0,77000000.0,77000000.0,77000000.0,81000000.0,81000000.0,81000000.0,81000000.0,69000000.0,69000000.0,69000000.0,69000000.0,74000000.0,74000000.0,74000000.0,74000000.0,75000000.0,75000000.0,75000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,0.2,,0.2,,,,,,,,0.0,0.22,0.22,0.22,0.0,0.0,0.22,0.22,0.44,0.7,0.22,0.26,0.52,0.22,0.83,0.96,0.31,0.62,0.96,1.14,0.34,0.68,1.02,1.3,0.41,0.82,1.23,1.43,0.47,0.94,1.41,1.7,0.52,0.52,0.52,1.93,0.57,0.57,0.57,2.13,0.64,0.64,0.64,2.35,0.71,0.71,0.71,2.63,0.79,0.79,0.79,2.92,0.88,0.88,0.88,3.25,0.98,0.98,0.98
CommonStockParOrStatedValuePerShare / USD/shares,,3.0,3.0,0.01,3.0,0.01,0.01,3.0,0.01,3.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,,4200000000.0,4200000000.0,4200000000.0,4200000000.0,4200000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
CommonStockSharesIssued / shares,2276.9,2276900000.0,2276900000.0,2314200000.0,2276900000.0,2314200000.0,2314200000.0,330600000.0,337200000.0,330600000.0,337200000.0,337200000.0,337200000.0,320000000.0,320000000.0,320000000.0,320000000.0,320000000.0,277300000.0,277300000.0,277300000.0,277300000.0,277300000.0,255500000.0,255500000.0,277300000.0,255500000.0,255500000.0,220500000.0,220500000.0,220500000.0,220500000.0,174500000.0,174500000.0,174500000.0,174500000.0,165500000.0,165500000.0,165500000.0,165500000.0,161600000.0,161600000.0,161600000.0,161600000.0,164000000.0,164000000.0,164000000.0,164000000.0,171000000.0,171000000.0,171000000.0,171000000.0,170200000.0,170200000.0,170200000.0,170200000.0,169600000.0,169600000.0,169600000.0,169600000.0,168500000.0,168500000.0,168500000.0,168500000.0,167400000.0,167400000.0,167400000.0,167400000.0,168600000.0,168600000.0,168600000.0
CommonStockSharesOutstanding / shares,2276.5,2276500000.0,2276500000.0,2312100000.0,2276500000.0,2312100000.0,2312100000.0,330300000.0,336300000.0,330300000.0,336300000.0,336300000.0,336300000.0,318800000.0,318800000.0,318800000.0,318800000.0,318800000.0,276100000.0,276100000.0,276100000.0,276100000.0,276100000.0,254500000.0,254500000.0,276100000.0,254500000.0,254500000.0,219800000.0,219800000.0,219800000.0,219800000.0,174300000.0,174300000.0,174300000.0,174300000.0,164700000.0,164700000.0,164700000.0,164700000.0,161200000.0,161200000.0,161200000.0,161200000.0,163500000.0,163500000.0,163500000.0,163500000.0,170500000.0,170500000.0,170500000.0,170500000.0,169400000.0,169400000.0,169400000.0,169400000.0,168700000.0,168700000.0,168700000.0,168700000.0,167500000.0,167500000.0,167500000.0,167500000.0,166200000.0,166200000.0,166200000.0,166200000.0,167100000.0,167100000.0,167100000.0
CommonStockValue / USD,6831000000.0,6831000000.0,6831000000.0,23000000.0,6831000000.0,23000000.0,23000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,579000000.0,579000000.0,928000000.0,1042000000.0,697000000.0,206000000.0,206000000.0,422000000.0,768000000.0,504000000.0,173000000.0,441000000.0,504000000.0,785000000.0,457000000.0,144000000.0,993000000.0,760000000.0,2112000000.0,16000000.0,87000000.0,180000000.0,1731000000.0,38000000.0,102000000.0,252000000.0,599000000.0,130000000.0,326000000.0,611000000.0,109000000.0,171000000.0,279000000.0,535000000.0,-400000000.0,192000000.0,386000000.0,631000000.0,763000000.0,71000000.0,297000000.0,544000000.0,1193000000.0,280000000.0,595000000.0,874000000.0,943000000.0,262000000.0,383000000.0,515000000.0,1312000000.0,326000000.0,737000000.0,1143000000.0,1207000000.0,-52000000.0,395000000.0,1036000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,909000000.0,,909000000.0,,,,,,,,,573000000.0,573000000.0,920000000.0,1036000000.0,714000000.0,,,422000000.0,768000000.0,498000000.0,,445000000.0,498000000.0,790000000.0,457000000.0,144000000.0,993000000.0,761000000.0,2118000000.0,17000000.0,88000000.0,182000000.0,1732000000.0,38000000.0,103000000.0,253000000.0,602000000.0,131000000.0,328000000.0,613000000.0,111000000.0,171000000.0,280000000.0,537000000.0,-396000000.0,193000000.0,388000000.0,634000000.0,766000000.0,72000000.0,299000000.0,547000000.0,1196000000.0,281000000.0,598000000.0,878000000.0,947000000.0,263000000.0,385000000.0,518000000.0,1317000000.0,327000000.0,740000000.0,1147000000.0,1211000000.0,-51000000.0,398000000.0,1040000000.0
ConstructionContractorReceivableRetainage / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,47000000.0,,47000000.0,47000000.0,40000000.0,40000000.0,40000000.0,40000000.0,44000000.0,44000000.0,44000000.0
ContractWithCustomerAssetCreditLossExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
