fact_unit,2019-04-24,2020-04-24,2020-11-16,2021-04-30,2022-04-25,2023-04-26,2024-04-25,2025-04-28
DeferredTaxLiabilities / CNY,,,,,0.0,31291000.0,47672000.0,170750000.0
DeferredTaxLiabilities / USD,,,,,4910000.0,6911000.0,24050000.0,34135000.0
DefinedContributionPlanCostRecognized / CNY,11791000.0,30795000.0,,133699000.0,334434000.0,277429000.0,829440000.0,1131829000.0
DefinedContributionPlanCostRecognized / USD,19446000.0,48038000.0,,42518000.0,130157000.0,164100000.0,217793000.0,259621000.0
DepositLiabilityCurrent / CNY,1778085000.0,4188273000.0,7840912000.0,7840912000.0,10926319000.0,13577552000.0,15058229000.0,16878746000.0
DepositLiabilityCurrent / USD,609159000.0,1126277000.0,1557464000.0,1674532000.0,2130614000.0,2183238000.0,2377322000.0,2255093000.0
Depreciation / CNY,756000.0,2265000.0,,5934000.0,18098000.0,27999000.0,911964000.0,1615551000.0
Depreciation / USD,863000.0,2600000.0,,4291000.0,143107000.0,234233000.0,94652000.0,96594000.0
DepreciationAndAmortization / CNY,756000.0,2265000.0,472483000.0,497003000.0,637831000.0,651523000.0,1495380000.0,2224169000.0
DepreciationAndAmortization / USD,72286000.0,91619000.0,71032000.0,99850000.0,234658000.0,322474000.0,110739000.0,97100000.0
DilutedEarningsPerShareProForma / CNY/shares,,,,,,0.17,0.17,0.17
DilutedEarningsPerShareProForma / USD/shares,,,,,,0.02,,
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther / CNY,,,,,,51655000.0,51655000.0,51655000.0
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther / USD,,,,,,7489000.0,6195000.0,0.0
DueFromRelatedPartiesCurrent / CNY,442912000.0,1019033000.0,2365528000.0,2365528000.0,4240069000.0,4250155000.0,,
DueFromRelatedPartiesCurrent / USD,148212000.0,339787000.0,508001000.0,649819000.0,666942000.0,916144000.0,,
DueToRelatedPartiesCurrent / CNY,76057000.0,478113000.0,1502892000.0,1502892000.0,3385863000.0,1963007000.0,,
DueToRelatedPartiesCurrent / USD,69539000.0,215877000.0,485856000.0,518906000.0,308039000.0,243054000.0,,
