fact_unit,2013-05-08,2013-08-09,2013-11-12,2014-02-21,2014-05-09,2014-08-07,2014-11-07,2015-02-20,2015-05-08,2015-08-07,2015-11-06,2016-02-19,2016-05-06,2016-08-05,2016-11-07,2017-02-17,2017-05-05,2017-08-07,2017-11-07,2018-02-16,2018-05-04,2018-08-07,2018-11-07,2019-02-27,2019-05-03,2019-08-05,2019-11-06,2020-02-21,2020-05-08,2020-08-04,2020-11-04,2021-02-19,2021-05-07,2021-08-02,2021-11-02,2022-02-18,2022-05-06,2022-08-04,2022-11-04,2023-02-17,2023-05-05,2023-08-07,2023-11-06,2024-02-20,2024-05-03,2024-08-07,2024-11-04,2025-02-14,2025-05-09,2025-08-04,2025-11-04
ComprehensiveIncomeNetOfTax / USD,1103000000.0,1850000000.0,3716000000.0,3120000000.0,763000000.0,1899000000.0,3051000000.0,5246000000.0,996000000.0,2100000000.0,2113000000.0,4698000000.0,586000000.0,2045000000.0,3159000000.0,185000000.0,1492000000.0,3135000000.0,4783000000.0,4614000000.0,1755000000.0,3664000000.0,5230000000.0,5928000000.0,2880000000.0,4854000000.0,7681000000.0,5168000000.0,2420000000.0,3186000000.0,5033000000.0,5934000000.0,2909000000.0,2433000000.0,4917000000.0,6766000000.0,3375000000.0,4333000000.0,7459000000.0,5095000000.0,4405000000.0,5117000000.0,8819000000.0,11760000000.0,206000000.0,2210000000.0,3887000000.0,12536000000.0,1220000000.0,2531000000.0,4271000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1000000.0,4000000.0,0.0,2000000.0,5000000.0,6000000.0,6000000.0,3000000.0,7000000.0,10000000.0,7000000.0,2000000.0,5000000.0,8000000.0,9000000.0,3000000.0,6000000.0,9000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3186000000.0,5033000000.0,5934000000.0,2909000000.0,2432000000.0,4921000000.0,6766000000.0,3377000000.0,4338000000.0,7465000000.0,5101000000.0,4408000000.0,5124000000.0,8829000000.0,11767000000.0,208000000.0,2215000000.0,3895000000.0,12545000000.0,1223000000.0,2537000000.0,4280000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,4761000000.0,5832000000.0,1927000000.0,3861000000.0,5696000000.0,7042000000.0,1694000000.0,3513000000.0,5433000000.0,7718000000.0,1942000000.0,5653000000.0,10703000000.0,7439000000.0,4213000000.0,8736000000.0,13126000000.0,15387000000.0,4052000000.0,8222000000.0,13244000000.0,17446000000.0,3986000000.0,8226000000.0,14711000000.0,17414000000.0,4094000000.0,8296000000.0,12508000000.0
CostsAndExpenses / USD,3195000000.0,6266000000.0,9178000000.0,13824000000.0,3024000000.0,6263000000.0,9550000000.0,12563000000.0,3212000000.0,6623000000.0,10682000000.0,13126000000.0,3353000000.0,6976000000.0,11035000000.0,16549000000.0,3680000000.0,7745000000.0,11816000000.0,15322000000.0,4131000000.0,8413000000.0,12714000000.0,16298000000.0,5031000000.0,10547000000.0,15624000000.0,18671000000.0,4818000000.0,9673000000.0,15535000000.0,26370000000.0,5016000000.0,14689000000.0,24336000000.0,20283000000.0,8907000000.0,18425000000.0,28461000000.0,34441000000.0,8821000000.0,20109000000.0,30318000000.0,38273000000.0,9457000000.0,18809000000.0,30455000000.0,39937000000.0,9512000000.0,19976000000.0,30605000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,177000000.0,,,,94000000.0,,,,226000000.0,,,,634000000.0,,,,1036000000.0,,,,2229000000.0,,,,6204000000.0,,,,593000000.0,,,,102000000.0,,,,907000000.0,,,,1987000000.0,,,,2647000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,390000000.0,,,,252000000.0,,,,354000000.0,,,,341000000.0,,,,313000000.0,,,,498000000.0,,,,376000000.0,,,,434000000.0,,,,320000000.0,,,,194000000.0,,,,351000000.0,,,,916000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,567000000.0,,,,346000000.0,,,,580000000.0,,,,975000000.0,,,,1349000000.0,,,,2727000000.0,,,,6580000000.0,,,,1027000000.0,,,,422000000.0,,,,1101000000.0,,,,2338000000.0,,,,3563000000.0,,,
DebtAndCapitalLeaseObligations / USD,14623000000.0,,,14652000000.0,,,,14310000000.0,,,,14552000000.0,,,,31265000000.0,,,,36465000000.0,,,,36968000000.0,,,,36611000000.0,,,,66728000000.0,,,,86022000000.0,,,,76670000000.0,,,,63270000000.0,,,,59385000000.0,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,22000000.0,15000000.0,15000000.0,12000000.0,12000000.0,201000000.0,231000000.0,233000000.0,246000000.0,31000000.0,38000000.0,272000000.0,550000000.0,486000000.0,311000000.0,41000000.0,193000000.0,54000000.0,50000000.0,156000000.0,138000000.0,68000000.0,116000000.0,116000000.0,258000000.0,225000000.0,244000000.0,145000000.0,141000000.0,162000000.0,110000000.0,603000000.0,620000000.0,476000000.0,162000000.0,162000000.0,58000000.0,40000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-198000000.0,,,,89000000.0,,,,678000000.0,,,,-301000000.0,,,,141000000.0,,,,-792000000.0,,,,-4898000000.0,,,,-1497000000.0,,,,-137000000.0,,,,-58000000.0,,,,-839000000.0,,,,-1512000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-134000000.0,,,,15000000.0,,,,-54000000.0,,,,-79000000.0,,,,11000000.0,,,,-4000000.0,,,,736000000.0,,,,-20000000.0,,,,259000000.0,,,,-2267000000.0,,,,-59000000.0,,,,-419000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,,-332000000.0,,,,104000000.0,,,,624000000.0,,,,-380000000.0,,,,152000000.0,,,,-796000000.0,,,,-4162000000.0,,72000000.0,-77000000.0,-1517000000.0,-181000000.0,-257000000.0,-498000000.0,122000000.0,-28000000.0,-119000000.0,-153000000.0,-2325000000.0,-194000000.0,-794000000.0,-1415000000.0,-898000000.0,-267000000.0,-635000000.0,-1498000000.0,-1931000000.0,-389000000.0,-405000000.0,-682000000.0
DeferredIncomeTaxLiabilities / USD,,,,500000000.0,,,,1114000000.0,,,,657000000.0,,,,7417000000.0,,,,9036000000.0,,,,4146000000.0,,,,3401000000.0,,,,3401000000.0,,,,6591000000.0,,,,5923000000.0,,,,4702000000.0,,,,2655000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130000000.0,1130000000.0,1130000000.0,1130000000.0,3646000000.0,3646000000.0,3646000000.0,3646000000.0,3009000000.0,3009000000.0,3009000000.0,3009000000.0,2190000000.0,2190000000.0,2190000000.0,2190000000.0,1952000000.0,1952000000.0,1952000000.0,1952000000.0,2579000000.0,2579000000.0,2579000000.0
DeferredTaxAssetsDeferredIncome / USD,,,,283000000.0,,,,348000000.0,,,,382000000.0,,,,372000000.0,,,,391000000.0,,,,219000000.0,,,,867000000.0,,,,615000000.0,,,,324000000.0,,,,809000000.0,,,,547000000.0,,,,298000000.0,,,
DeferredTaxAssetsGross / USD,,,,1544000000.0,,,,1580000000.0,,,,2152000000.0,,,,2439000000.0,,,,2447000000.0,,,,2032000000.0,,,,2765000000.0,,,,3517000000.0,,,,6562000000.0,,,,14579000000.0,,,,15159000000.0,,,,19936000000.0,,,
DeferredTaxAssetsNet / USD,,,,1537000000.0,,,,1537000000.0,,,,1980000000.0,,,,2369000000.0,,,,2371000000.0,,,,1924000000.0,,,,2662000000.0,,,,2786000000.0,,,,5359000000.0,,,,5188000000.0,,,,5532000000.0,,,,6458000000.0,,,
DeferredTaxAssetsOther / USD,,,,274000000.0,,,,122000000.0,,,,292000000.0,,,,316000000.0,,,,289000000.0,,,,429000000.0,,,,353000000.0,,,,406000000.0,,,,1371000000.0,,,,1234000000.0,,,,1710000000.0,,,,2259000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,,,190000000.0,,,,279000000.0,,,,627000000.0,,,,584000000.0,,,,718000000.0,,,,556000000.0,,,,529000000.0,,,,810000000.0,,,,1109000000.0,,,,937000000.0,,,,497000000.0,,,,519000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,173000000.0,,,,252000000.0,,,,376000000.0,,,,368000000.0,,,,425000000.0,,,,315000000.0,,,,371000000.0,,,,371000000.0,,,,438000000.0,,,,667000000.0,,,,1023000000.0,,,,1113000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,7000000.0,,,,43000000.0,,,,172000000.0,,,,70000000.0,,,,76000000.0,,,,108000000.0,,,,103000000.0,,,,731000000.0,,,,1203000000.0,,,,9391000000.0,,,,9627000000.0,,,,13478000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,500000000.0,,,,508000000.0,,,,331000000.0,,,,4459000000.0,,,,5487000000.0,,,,3762000000.0,,,,2940000000.0,,,,2712000000.0,,,,5274000000.0,,,,4711000000.0,,,,3590000000.0,,,,1535000000.0,,,
DeferredTaxLiabilitiesInvestments / USD,,,,,,,,,,,,326000000.0,,,,2958000000.0,,,,3367000000.0,,,,181000000.0,,,,211000000.0,,,,249000000.0,,,,335000000.0,,,,308000000.0,,,,340000000.0,,,,374000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,,,,,,,,,,,,,,182000000.0,,,,203000000.0,,,,250000000.0,,,,440000000.0,,,,982000000.0,,,,904000000.0,,,,772000000.0,,,,746000000.0,,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,,,,,,,,,,,,,4800000000.0,,,,5300000000.0,,,,6300000000.0,,,,6000000000.0,,,,7600000000.0,,,,10500000000.0,,,,10500000000.0,,,,7700000000.0,,,,8600000000.0,,,
DefinedBenefitPlanPensionPlanWithProjectedBenefitObligationInExcessOfPlanAssetsPlanAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4895000000.0,,,,6066000000.0,,,,5447000000.0,,,,4580000000.0,,,,5552000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,,,,,,,,,,,,,,,3200000000.0,,,,3800000000.0,,,,4000000000.0,,,,5800000000.0,,,,5752000000.0,,,,7527000000.0,,,,6395000000.0,,,,1211000000.0,,,,1410000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,,,,,,,,,,,,,,,2200000000.0,,,,2500000000.0,,,,3300000000.0,,,,4800000000.0,,,,4820000000.0,,,,6066000000.0,,,,5412000000.0,,,,746000000.0,,,,890000000.0,,,
