fact_unit,2019-05-31,2019-08-06,2019-10-31,2020-02-14,2020-05-07,2020-08-06,2020-11-05,2021-02-11,2021-05-05,2021-08-06,2021-11-04,2022-02-10,2022-05-05,2022-08-05,2022-11-04,2023-02-09,2023-05-04,2023-08-04,2023-11-09,2024-02-08,2024-05-02,2024-08-01,2024-11-07,2025-02-14,2025-05-08,2025-08-07,2025-11-05
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,80000000.0,105000000.0,127000000.0,148000000.0,152000000.0,170000000.0,174000000.0,174000000.0,174000000.0,174000000.0,208000000.0,208000000.0,208000000.0,208000000.0,208000000.0,210000000.0,210000000.0,210000000.0,210000000.0,194000000.0,194000000.0,194000000.0,194000000.0,205000000.0,205000000.0,205000000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease / USD,,,,,,-7000000.0,-12000000.0,-11000000.0,,-7000000.0,9000000.0,,17000000.0,11000000.0,9000000.0,,17000000.0,11000000.0,-1000000.0,,3000000.0,8000000.0,-3000000.0,0.0,-30000000.0,-43000000.0,-48000000.0
AmortizationOfIntangibleAssets / USD,315000000.0,196000000.0,284000000.0,40000000.0,101000000.0,214000000.0,314000000.0,391000000.0,163000000.0,339000000.0,501000000.0,475000000.0,183000000.0,363000000.0,543000000.0,682000000.0,179000000.0,358000000.0,536000000.0,722000000.0,160000000.0,334000000.0,508000000.0,702000000.0,177000000.0,351000000.0,521000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,,,,,,,,,,,,,2200000.0,,2700000.0,2500000.0,2400000.0,,3600000.0,3900000.0,3400000.0
Assets / USD,101025000000.0,116129000000.0,109648000000.0,108683000000.0,110102000000.0,43922000000.0,43235000000.0,108683000000.0,42978000000.0,42180000000.0,41690000000.0,42649000000.0,42549000000.0,41496000000.0,41122000000.0,42344000000.0,42633000000.0,40906000000.0,40651000000.0,42618000000.0,45500000000.0,44189000000.0,43110000000.0,42996000000.0,43625000000.0,41464000000.0,41908000000.0
AssetsCurrent / USD,18606000000.0,24641000000.0,23340000000.0,22972000000.0,24061000000.0,14445000000.0,14117000000.0,13519000000.0,14679000000.0,14422000000.0,14088000000.0,14768000000.0,15036000000.0,14285000000.0,14146000000.0,15546000000.0,15878000000.0,14764000000.0,15045000000.0,16795000000.0,18329000000.0,17207000000.0,16333000000.0,16260000000.0,17163000000.0,15359000000.0,15649000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,,,,,,,,,,,,,,,,27000000.0,,,55000000.0,125000000.0,103000000.0,103000000.0,103000000.0,103000000.0,28000000.0,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,,,,,65000000.0,,,,53000000.0,0.0,24000000.0,,,,,,,81000000.0,90000000.0,97000000.0,99000000.0,27000000.0,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,,,,,,,,,,,,60000000.0,65000000.0,86000000.0,,83000000.0,44000000.0,85000000.0,85000000.0,,,17000000.0,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,,,,,,,,,60000000.0,65000000.0,86000000.0,,,,,,,21000000.0,16000000.0,,,,
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,-45000000.0,2000000.0,5000000.0,6000000.0
CashAndCashEquivalentsAtCarryingValue / USD,4466000000.0,2696000000.0,1657000000.0,2270000000.0,1759000000.0,2077000000.0,1980000000.0,1764000000.0,1963000000.0,2809000000.0,2768000000.0,3526000000.0,2404000000.0,2861000000.0,2779000000.0,4459000000.0,2031000000.0,2401000000.0,2199000000.0,3191000000.0,1646000000.0,2563000000.0,2254000000.0,2644000000.0,1505000000.0,1839000000.0,2421000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,7808000000.0,7914000000.0,,2730000000.0,,,,2173000000.0,,,,3873000000.0,,,,4836000000.0,,,,3618000000.0,,,,3158000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,5011000000.0,7914000000.0,4548000000.0,5024000000.0,5024000000.0,5024000000.0,7914000000.0,2173000000.0,2173000000.0,2173000000.0,5024000000.0,3873000000.0,3873000000.0,3873000000.0,2173000000.0,4836000000.0,4836000000.0,4836000000.0,3873000000.0,3618000000.0,3618000000.0,3618000000.0,4836000000.0,3158000000.0,3158000000.0,3158000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-2179000000.0,-2903000000.0,-3786000000.0,-543000000.0,-711000000.0,-2511000000.0,-2624000000.0,-2890000000.0,167000000.0,998000000.0,949000000.0,-2851000000.0,-1143000000.0,-701000000.0,-733000000.0,1700000000.0,-2451000000.0,-2066000000.0,-2217000000.0,963000000.0,-1550000000.0,-655000000.0,-842000000.0,-1218000000.0,-1144000000.0,-1017000000.0,-402000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,-42000000.0,-9000000.0,-19000000.0,-30000000.0,-40000000.0,-3000000.0,-159000000.0,-157000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,0.13,0.13,1.14,0.13,0.13,0.13,0.26,0.13,0.13,0.13,0.26,0.13,0.13,0.13,0.52,0.14,0.14,0.14,0.52,0.14,0.15,0.15,0.58,0.16,0.16,0.16
CommonStockParOrStatedValuePerShare / USD/shares,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1800000000.0,1666666667.0,1666666667.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0,1666667000.0
CommonStockSharesOutstanding / shares,,,748390000.0,748815000.0,748577000.0,748815000.0,748390000.0,748815000.0,748369000.0,748485000.0,747492000.0,748815000.0,747492000.0,734421000.0,730267000.0,748577000.0,725320000.0,725320000.0,716225000.0,743458000.0,710678000.0,709516000.0,704880000.0,726527000.0,697800000.0,693617000.0,689170000.0
CommonStockValue / USD,0.0,0.0,0.0,0.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0
ComprehensiveIncomeNetOfTax / USD,744000000.0,-421000000.0,-5628000000.0,3023000000.0,90000000.0,-673000000.0,-1459000000.0,-7248000000.0,-391000000.0,457000000.0,114000000.0,-2083000000.0,123000000.0,1215000000.0,845000000.0,1061000000.0,641000000.0,1208000000.0,508000000.0,1751000000.0,662000000.0,1438000000.0,793000000.0,1239000000.0,86000000.0,825000000.0,739000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,7000000.0,24000000.0,29000000.0,27000000.0,12000000.0,26000000.0,15000000.0,38000000.0,10000000.0,16000000.0,18000000.0,18000000.0,3000000.0,6000000.0,8000000.0,20000000.0,3000000.0,6000000.0,9000000.0,10000000.0,4000000.0,7000000.0,10000000.0,11000000.0,4000000.0,7000000.0,10000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,751000000.0,-397000000.0,-5599000000.0,3050000000.0,102000000.0,-647000000.0,-1444000000.0,-7210000000.0,-381000000.0,473000000.0,132000000.0,-2065000000.0,126000000.0,1221000000.0,853000000.0,1081000000.0,644000000.0,1214000000.0,517000000.0,1761000000.0,666000000.0,1445000000.0,803000000.0,1250000000.0,90000000.0,832000000.0,749000000.0
ContractWithCustomerAssetNetCurrent / USD,48000000.0,17000000.0,18000000.0,18000000.0,18000000.0,19000000.0,20000000.0,20000000.0,20000000.0,21000000.0,21000000.0,22000000.0,22000000.0,23000000.0,24000000.0,24000000.0,24000000.0,24000000.0,25000000.0,26000000.0,26000000.0,27000000.0,27000000.0,27000000.0,28000000.0,29000000.0,29000000.0
ContractWithCustomerAssetNetNoncurrent / USD,,44000000.0,47000000.0,46000000.0,46000000.0,48000000.0,49000000.0,49000000.0,49000000.0,51000000.0,52000000.0,54000000.0,53000000.0,56000000.0,60000000.0,58000000.0,58000000.0,61000000.0,62000000.0,64000000.0,63000000.0,66000000.0,67000000.0,67000000.0,67000000.0,71000000.0,73000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,3406000000.0,2694000000.0,413000000.0,429000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,108000000.0,104000000.0,110000000.0,115000000.0
CostOfGoodsAndServicesSold / USD,4847000000.0,6439000000.0,7924000000.0,3409000000.0,2211000000.0,5258000000.0,6607000000.0,9948000000.0,2269000000.0,5098000000.0,6395000000.0,8575000000.0,2420000000.0,5430000000.0,6988000000.0,8507000000.0,2724000000.0,6047000000.0,7926000000.0,9220000000.0,2771000000.0,5908000000.0,7554000000.0,10436000000.0,2550000000.0,5468000000.0,7033000000.0
DebtCurrent / USD,2160000000.0,3715000000.0,4371000000.0,2154000000.0,3201000000.0,2058000000.0,3604000000.0,7000000.0,1996000000.0,1529000000.0,2142000000.0,3000000.0,1250000000.0,677000000.0,1372000000.0,17000000.0,1018000000.0,712000000.0,1576000000.0,24000000.0,3787000000.0,3023000000.0,3609000000.0,198000000.0,2148000000.0,2253000000.0,3741000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,3000000.0,3000000.0,2000000.0,,0.0,0.0,0.0,,,,11000000.0,11000000.0,10000000.0,10000000.0,10000000.0,9000000.0,8000000.0,8000000.0,7000000.0,7000000.0,18000000.0,17000000.0,16000000.0,15000000.0,14000000.0,13000000.0
DebtSecuritiesAvailableForSaleUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,,,,-22000000.0,-1000000.0,-1000000.0,-6000000.0,-4000000.0,-1000000.0,
DeferredIncomeTaxAssetsNet / USD,303000000.0,419000000.0,366000000.0,304000000.0,294000000.0,325000000.0,270000000.0,287000000.0,273000000.0,290000000.0,289000000.0,464000000.0,433000000.0,442000000.0,448000000.0,438000000.0,471000000.0,449000000.0,407000000.0,479000000.0,508000000.0,524000000.0,554000000.0,584000000.0,551000000.0,538000000.0,564000000.0
DeferredIncomeTaxLiabilities / USD,,,,3172000000.0,,,,3146000000.0,,,,2715000000.0,,,,2611000000.0,,,,2582000000.0,,,,2544000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,5381000000.0,1387000000.0,1594000000.0,1480000000.0,1523000000.0,1430000000.0,1328000000.0,920000000.0,911000000.0,752000000.0,740000000.0,893000000.0,902000000.0,935000000.0,930000000.0,1220000000.0,1203000000.0,1165000000.0,1123000000.0,1119000000.0,1255000000.0,1134000000.0,1070000000.0,899000000.0,753000000.0,607000000.0,496000000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,,,,,,,,-149000000.0,,-85000000.0,-129000000.0,-268000000.0,-288000000.0,-152000000.0,-303000000.0,-422000000.0
DeferredRevenue / USD,,,,,,,,,1996000000.0,431000000.0,402000000.0,2662000000.0,2247000000.0,748000000.0,692000000.0,3201000000.0,2435000000.0,740000000.0,860000000.0,3388000000.0,2712000000.0,656000000.0,552000000.0,,2694000000.0,413000000.0,429000000.0
DeferredRevenueCurrent / USD,,,,,,,,,,,,2662000000.0,,,,3201000000.0,,,,3388000000.0,,,,3406000000.0,,,
DeferredRevenueRevenueRecognized1 / USD,460000000.0,1895000000.0,2013000000.0,1967000000.0,677000000.0,1895000000.0,2013000000.0,2146000000.0,822000000.0,2271000000.0,2195000000.0,2146000000.0,924000000.0,2464000000.0,2454000000.0,2540000000.0,1339000000.0,2992000000.0,3049000000.0,2613000000.0,1201000000.0,3201000000.0,3287000000.0,3150000000.0,1205000000.0,3150000000.0,3314000000.0
DeferredTaxAssetsGross / USD,,,,2665000000.0,,,,2970000000.0,,,,2739000000.0,,,,2195000000.0,,,,2284000000.0,,,,2739000000.0,,,
DeferredTaxAssetsInventory / USD,,,,25000000.0,,,,25000000.0,,,,127000000.0,,,,153000000.0,,,,198000000.0,,,,193000000.0,,,
DeferredTaxAssetsInvestments / USD,,,,7000000.0,,,,53000000.0,,,,56000000.0,,,,36000000.0,,,,40000000.0,,,,39000000.0,,,
DeferredTaxAssetsNet / USD,,,,1996000000.0,,,,2513000000.0,,,,2286000000.0,,,,1829000000.0,,,,1942000000.0,,,,2229000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,637000000.0,,,,531000000.0,,,,442000000.0,,,,333000000.0,,,,285000000.0,,,,406000000.0,,,
DeferredTaxAssetsOther / USD,,,,137000000.0,,,,148000000.0,,,,91000000.0,,,,42000000.0,,,,40000000.0,,,,55000000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,205000000.0,,,,230000000.0,,,,55000000.0,,,,131000000.0,,,,78000000.0,,,,133000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,,,1392000000.0,,,,1717000000.0,,,,1415000000.0,,,,904000000.0,,,,680000000.0,,,,703000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,,263000000.0,,,,135000000.0,,,,365000000.0,,,,372000000.0,,,,545000000.0,,,,603000000.0,,,
DeferredTaxAssetsUnrealizedCurrencyLosses / USD,,,,,,,,0.0,,,,2000000.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,-669000000.0,,,,-457000000.0,,,,-453000000.0,,,,-366000000.0,,,,342000000.0,,,,510000000.0,,,
DeferredTaxLiabilities / USD,,,,-1176000000.0,,,,-633000000.0,,,,-429000000.0,,,,-782000000.0,,,,640000000.0,,,,315000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,,2648000000.0,,,,2738000000.0,,,,2418000000.0,,,,2260000000.0,,,,2106000000.0,,,,2153000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,344000000.0,,,,369000000.0,,,,297000000.0,,,,341000000.0,,,,447000000.0,,,,353000000.0,,,
DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains / USD,,,,140000000.0,,,,39000000.0,,,,0.0,,,,10000000.0,,,,29000000.0,,,,38000000.0,,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,23200000000.0,,,,21000000000.0,,,,21600000000.0,,,,19700000000.0,,,,14000000000.0,,,,13400000000.0,,,
DefinedBenefitPlanPlanAssetsTargetAllocationPercentage / pure,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
Depreciation / USD,,256000000.0,383000000.0,154000000.0,,,,518000000.0,,,,525000000.0,,,,495000000.0,,,,521000000.0,,,,521000000.0,,,
DepreciationDepletionAndAmortization / USD,647000000.0,452000000.0,667000000.0,2790000000.0,258000000.0,485000000.0,,2790000000.0,,,,1599000000.0,,,,1177000000.0,,,,1243000000.0,287000000.0,593000000.0,899000000.0,1223000000.0,307000000.0,619000000.0,925000000.0
DerivativeAssetFairValueGrossAssetIncludingNotSubjectToMasterNettingArrangement / USD,72000000.0,157000000.0,55000000.0,72000000.0,45000000.0,36000000.0,74000000.0,25000000.0,266000000.0,120000000.0,126000000.0,55000000.0,90000000.0,37000000.0,57000000.0,71000000.0,45000000.0,93000000.0,216000000.0,96000000.0,43000000.0,40000000.0,53000000.0,88000000.0,25000000.0,141000000.0,110000000.0
DerivativeAssetFairValueGrossLiabilityAndObligationToReturnCashOffset / USD,-35000000.0,-35000000.0,-39000000.0,-35000000.0,-11000000.0,-33000000.0,-6000000.0,-18000000.0,-110000000.0,-57000000.0,-75000000.0,-40000000.0,-32000000.0,-20000000.0,-23000000.0,-20000000.0,28000000.0,38000000.0,58000000.0,-40000000.0,35000000.0,35000000.0,-39000000.0,-33000000.0,-17000000.0,-77000000.0,-61000000.0
DerivativeAssets / USD,37000000.0,122000000.0,16000000.0,37000000.0,34000000.0,3000000.0,68000000.0,7000000.0,156000000.0,63000000.0,51000000.0,15000000.0,58000000.0,17000000.0,34000000.0,51000000.0,17000000.0,55000000.0,158000000.0,56000000.0,8000000.0,5000000.0,14000000.0,55000000.0,8000000.0,64000000.0,49000000.0
DerivativeLiabilities / USD,6000000.0,44000000.0,36000000.0,6000000.0,0.0,21000000.0,27000000.0,27000000.0,5000000.0,9000000.0,28000000.0,95000000.0,32000000.0,73000000.0,17000000.0,6000000.0,169000000.0,23000000.0,7000000.0,30000000.0,67000000.0,180000000.0,61000000.0,42000000.0,50000000.0,15000000.0,30000000.0
DerivativeLiabilityFairValueGrossAssetAndRightToReclaimCashOffset / USD,15000000.0,-9000000.0,18000000.0,-15000000.0,10000000.0,27000000.0,-7000000.0,-16000000.0,-103000000.0,-56000000.0,-69000000.0,-40000000.0,-30000000.0,-20000000.0,-23000000.0,-20000000.0,28000000.0,38000000.0,58000000.0,40000000.0,35000000.0,35000000.0,39000000.0,33000000.0,17000000.0,77000000.0,61000000.0
DerivativeLiabilityFairValueGrossLiabilityIncludingNotSubjectToMasterNettingArrangement / USD,21000000.0,35000000.0,54000000.0,21000000.0,10000000.0,48000000.0,20000000.0,43000000.0,108000000.0,65000000.0,97000000.0,135000000.0,62000000.0,93000000.0,40000000.0,26000000.0,197000000.0,61000000.0,65000000.0,70000000.0,102000000.0,215000000.0,100000000.0,75000000.0,67000000.0,92000000.0,91000000.0
DerivativeLiabilityNotionalAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,1600000000.0,,,
DerivativeNotionalAmount / USD,,,,,,,,,,,,,,,,,,,,2559000000.0,3684000000.0,2889000000.0,2199000000.0,,365000000.0,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare / USD/shares,,0.89,1.59,1.6,0.48,-0.96,-0.93,2.32,0.0,0.0,0.0,-0.9,-0.01,-0.07,-0.08,-0.07,-0.01,-0.06,-0.06,-0.07,-0.01,-0.24,-0.24,-0.08,0.07,0.07,0.06
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare / USD/shares,,0.89,1.59,1.59,0.48,-0.96,-0.93,2.32,0.0,0.0,0.0,-0.9,-0.01,-0.07,-0.08,-0.07,-0.01,-0.05,-0.06,-0.07,-0.01,-0.24,-0.24,-0.08,0.07,0.07,0.06
DividendsCommonStock / USD,,-97000000.0,-97000000.0,-995000000.0,-97000000.0,-97000000.0,-97000000.0,-194000000.0,-97000000.0,-97000000.0,-97000000.0,-194000000.0,-97000000.0,-97000000.0,-97000000.0,-388000000.0,102000000.0,102000000.0,102000000.0,397000000.0,107000000.0,107000000.0,107000000.0,418000000.0,,111000000.0,111000000.0
EarningsPerShareBasic / USD/shares,,0.78,-6.05,2.0,0.22,-0.59,-1.25,-6.76,0.36,1.37,0.85,-1.28,0.81,2.12,2.17,0.91,0.78,2.11,1.67,2.39,0.84,1.84,1.4,1.59,0.6,2.11,1.36
EarningsPerShareDiluted / USD/shares,,0.78,-6.05,1.99,0.22,-0.59,-1.25,-6.76,0.36,1.37,0.85,-1.28,0.8,2.11,2.15,0.91,0.78,2.11,1.66,2.37,0.83,1.83,1.39,1.58,0.6,2.1,1.35
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,108000000.0,-103000000.0,-187000000.0,187000000.0,20000000.0,-64000000.0,-118000000.0,-244000000.0,-117000000.0,-95000000.0,-64000000.0,-88000000.0,-50000000.0,-14000000.0,-78000000.0,7000000.0,-31000000.0,-116000000.0,-295000000.0,-136000000.0,-2000000.0,9000000.0,-68000000.0,-278000000.0,-31000000.0,-72000000.0,-45000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,,,,,,,,,,,0.173,0.22,0.228,,0.218,0.201,0.172,,0.22,0.213,0.231
EntityCommonStockSharesOutstanding / shares,100.0,748893017.0,748400792.0,749403000.0,748370000.0,748569000.0,745016000.0,744062000.0,737101000.0,734185000.0,728909000.0,727021000.0,723700000.0,718600000.0,714492000.0,712823000.0,710873000.0,709764000.0,704729000.0,701783000.0,696976000.0,692247000.0,687293000.0,685556000.0,682170000.0,679100000.0,675732000.0
EntityPublicFloat / USD,,,,22100000000.0,,,,20000000000.0,,,,20000000000.0,,,,38900000000.0,,,,40.6,,,,37.4,,,
EquityMethodInvestments / USD,1381000000.0,195000000.0,144000000.0,138000000.0,77000000.0,64000000.0,70000000.0,66000000.0,64000000.0,62000000.0,62000000.0,66000000.0,64000000.0,68000000.0,67000000.0,76000000.0,91000000.0,93000000.0,91000000.0,102000000.0,87000000.0,83000000.0,106000000.0,115000000.0,123000000.0,113000000.0,128000000.0
FinanceLeaseLiability / USD,126000000.0,24000000.0,10000000.0,9000000.0,,,,9000000.0,,,,5000000.0,,,,4000000.0,,,,3000000.0,,,,2000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,6000000.0,6000000.0,25000000.0,36000000.0,18000000.0,4000000.0,,2000000.0,2000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,67000000.0,,6000000.0,6000000.0,5000000.0,,,,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,3000000.0,2000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0
FinanceLeasePrincipalPayments / USD,20000000.0,8000000.0,8000000.0,9000000.0,,,,9000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,,,,,,,,,,,,,,,,3000000.0,,,,1000000.0,,,
FinanceLeaseRightOfUseAssetAmortization / USD,35000000.0,9000000.0,9000000.0,10000000.0,,,,10000000.0,,,,2000000.0,,,,2000000.0,,,,1000000.0,,,,1000000.0,,,
