fact_unit,2016-05-06,2016-08-04,2016-11-02,2017-02-27,2017-05-04,2017-08-02,2017-11-08,2018-02-27,2018-05-02,2018-08-01,2018-11-07,2019-02-27,2019-05-01,2019-08-01,2019-11-06,2020-02-26,2020-05-06,2020-08-05,2020-11-05,2021-02-23,2021-05-06,2021-08-02,2021-11-04,2022-02-24,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-08-03,2023-11-02,2024-02-22,2024-05-02,2024-08-01,2024-11-07,2025-02-24,2025-05-01,2025-08-07,2025-11-06
Assets / USD,894772000.0,894772000.0,894772000.0,894772000.0,1211362000.0,1211362000.0,1211362000.0,1211362000.0,2187270000.0,2187270000.0,2187270000.0,2187270000.0,3281023000.0,3281023000.0,3281023000.0,3281023000.0,4551258000.0,4551258000.0,4551258000.0,4551258000.0,9869550000.0,9869550000.0,9869550000.0,9869550000.0,13925764000.0,15026360000.0,15026360000.0,15026360000.0,31364340000.0,31364340000.0,31364340000.0,31364340000.0,34069893000.0,34069893000.0,34069893000.0,33031308000.0,36777595000.0,36777595000.0,36777595000.0
AssetsCurrent / USD,705563000.0,705563000.0,705563000.0,705563000.0,1001425000.0,1001425000.0,1001425000.0,1001425000.0,1778294000.0,1778294000.0,1778294000.0,1778294000.0,2111905000.0,2111905000.0,2111905000.0,2111905000.0,3219801000.0,3219801000.0,3219801000.0,3219801000.0,7761629000.0,7761629000.0,7761629000.0,7761629000.0,10520928000.0,11621524000.0,11621524000.0,11621524000.0,15623405000.0,15623405000.0,15623405000.0,15623405000.0,18857282000.0,18857282000.0,18857282000.0,17818697000.0,19880201000.0,19880201000.0,19880201000.0
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis / USD,43437000.0,60957000.0,76408000.0,59920000.0,186776000.0,203331000.0,209974000.0,169877000.0,200455000.0,233490000.0,449284000.0,541684000.0,565719000.0,571213000.0,557380000.0,490299000.0,520017000.0,712025000.0,760203000.0,692901000.0,643058000.0,1014007000.0,868162000.0,869525000.0,801257000.0,950631000.0,1072163000.0,1100805000.0,1039183000.0,1137190000.0,1174196000.0,859198000.0,577048000.0,659416000.0,503871000.0,402814000.0,354234000.0,312830000.0,370004000.0
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue / USD,43447000.0,60991000.0,76427000.0,59901000.0,186756000.0,203287000.0,209959000.0,169576000.0,200048000.0,233599000.0,448986000.0,540991000.0,566539000.0,572206000.0,557656000.0,492456000.0,521840000.0,714348000.0,762434000.0,695112000.0,644454000.0,1014903000.0,868809000.0,869283000.0,796749000.0,938998000.0,1052973000.0,1081851000.0,1024110000.0,1121830000.0,1161144000.0,851901000.0,573390000.0,658001000.0,504986000.0,403426000.0,354841000.0,313411000.0,370772000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis / USD,29649000.0,19556000.0,15465000.0,27424000.0,62672000.0,124194000.0,191520000.0,204980000.0,177455000.0,168019000.0,537995000.0,464545000.0,478866000.0,458926000.0,564889000.0,533853000.0,528798000.0,444558000.0,398217000.0,461455000.0,521782000.0,947209000.0,1452070000.0,1536331000.0,1368925000.0,1055244000.0,838908000.0,600305000.0,429093000.0,306824000.0,430112000.0,249608000.0,187760000.0,361959000.0,427385000.0,470808000.0,272007000.0,196010000.0,176279000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue / USD,29715000.0,19602000.0,15478000.0,27366000.0,62711000.0,124099000.0,191335000.0,203667000.0,176672000.0,168150000.0,537663000.0,464680000.0,481063000.0,460827000.0,564508000.0,537303000.0,529460000.0,446685000.0,399122000.0,463950000.0,522542000.0,947093000.0,1451107000.0,1526430000.0,1333139000.0,1019340000.0,802880000.0,573429000.0,412747000.0,297230000.0,426202000.0,251127000.0,187922000.0,361757000.0,432176000.0,471977000.0,273614000.0,196572000.0,176784000.0
CashAcquiredInExcessOfPaymentsToAcquireBusiness / USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0,539474000.0,539453000.0,539453000.0,570703000.0,539474000.0,539453000.0,539453000.0,,,,539453000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,225300000.0,225300000.0,225300000.0,166176000.0,452030000.0,452030000.0,452030000.0,452030000.0,696474000.0,696474000.0,696474000.0,696474000.0,583173000.0,583173000.0,583173000.0,583173000.0,521676000.0,617282000.0,612048000.0,1047118000.0,1962316000.0,1972762000.0,2118808000.0,1047118000.0,3022485000.0,4581234000.0,4514609000.0,3158058000.0,3993565000.0,4020466000.0,4331787000.0,4443669000.0,5061091000.0,4745884000.0,5112293000.0,4544202000.0,5753436000.0,7799093000.0,8299804000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,489552000.0,489552000.0,248659000.0,488745000.0,488745000.0,488745000.0,489552000.0,735081000.0,735081000.0,735081000.0,488745000.0,632847000.0,632847000.0,632847000.0,735081000.0,1098706000.0,1098706000.0,1098706000.0,866902000.0,4793171000.0,4793171000.0,4793171000.0,1536967000.0,6975090000.0,6975090000.0,6975090000.0,4793171000.0,8435906000.0,8435906000.0,8435906000.0,6975090000.0,9009087000.0,9009087000.0,9009087000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,-116653000.0,-43402000.0,240893000.0,252245000.0,264956000.0,204765000.0,-807000.0,40995000.0,693291000.0,29989000.0,246336000.0,-63518000.0,30016000.0,21023000.0,-102234000.0,911211000.0,907502000.0,1061360000.0,670065000.0,924166000.0,2227015000.0,1992568000.0,3256204000.0,390532000.0,179439000.0,659404000.0,2181919000.0,910275000.0,272563000.0,234824000.0,1460816000.0,1522436000.0,3009777000.0,3925350000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,-114632000.0,-70573000.0,,25879000.0,227196000.0,209071000.0,,27429000.0,-830121000.0,-1465588000.0,119063000.0,46357000.0,-23838000.0,-382486000.0,-1059660000.0,188924000.0,506630000.0,1130223000.0
CostOfGoodsAndServicesSoldAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,9705000.0,16056000.0,11174000.0,15469000.0,33368000.0,51874000.0,22645000.0,18508000.0,36900000.0,54780000.0,70194000.0,18027000.0,35616000.0,52802000.0
CostOfRevenue / USD,176272000.0,395943000.0,631821000.0,624118000.0,269029000.0,558603000.0,847291000.0,897088000.0,288123000.0,632199000.0,998742000.0,1132683000.0,413433000.0,912555000.0,1442003000.0,1374947000.0,562605000.0,1270998000.0,2037435000.0,1994477000.0,842608000.0,2169470000.0,4408889000.0,2823815000.0,4093769000.0,7633377000.0,10344889000.0,6764169000.0,2665685000.0,5600536000.0,8548988000.0,13241380000.0,3275547000.0,6944403000.0,10663447000.0,11539695000.0,3862655000.0,7784738000.0,11510854000.0
CostsAndExpenses / USD,,,,,,,,,,,,,,,,893512000.0,418796000.0,885484000.0,1353427000.0,1340314000.0,628789000.0,1248604000.0,1993717000.0,1863128000.0,895765000.0,1911835000.0,3022054000.0,2752224000.0,1521749000.0,3205170000.0,4821048000.0,4258711000.0,1720756000.0,3718964000.0,5627321000.0,6616424000.0,1844730000.0,3771648000.0,5698324000.0
CryptoAssetAddition / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11398000.0,11398000.0,31466000.0,9519000.0,11398000.0,11398000.0
CryptoAssetFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102303000.0,102303000.0,102303000.0,339898000.0,339898000.0,339898000.0
CryptoAssetFairValueRestricted / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10941000.0,,,
CryptoAssetFairValueUnrestricted / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339898000.0,,,
CryptoAssetNumberOfUnits / bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8038.0,8038.0,8038.0,8038.0,8038.0,8038.0
CryptoAssetRealizedGainLossNonoperating / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96088000.0,96088000.0,0.0,233404000.0,233404000.0,233404000.0
CurrentFederalTaxExpenseBenefit / USD,,,,2746000.0,,,,1662000.0,,,,63000.0,,,,-1192000.0,,,,-4000.0,,,,114000.0,,,,0.0,,,,201000.0,,,,14352000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,827000.0,,,,1222000.0,,,,1269000.0,,,,1987000.0,,,,2224000.0,,,,3099000.0,,,,6862000.0,,,,5684000.0,,,,25425000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,4104000.0,,,,3720000.0,,,,1859000.0,,,,1534000.0,,,,2972000.0,,,,4143000.0,,,,10878000.0,,,,9071000.0,,,,57281000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,531000.0,,,,836000.0,,,,527000.0,,,,739000.0,,,,752000.0,,,,930000.0,,,,4016000.0,,,,3186000.0,,,,17504000.0,,,
CustomerFunds / USD,,,,9446000.0,43574000.0,43574000.0,43574000.0,43574000.0,103042000.0,103042000.0,103042000.0,103042000.0,334017000.0,334017000.0,334017000.0,334017000.0,676292000.0,676292000.0,676292000.0,676292000.0,2037832000.0,2037832000.0,2037832000.0,2037832000.0,2830995000.0,2830995000.0,2830995000.0,2830995000.0,3180324000.0,3180324000.0,3180324000.0,3180324000.0,3170430000.0,3170430000.0,3170430000.0,3170430000.0,4182872000.0,4182872000.0,4182872000.0
DebtConversionConvertedInstrumentAmount1 / USD,,,,,,,,,,,0.0,0.0,,,189916000.0,0.0,0.0,0.0,0.0,571408000.0,77614000.0,77614000.0,323891000.0,0.0,37204000.0,394560000.0,742174000.0,1398829000.0,2496000.0,2551000.0,2551000.0,1258562000.0,,,,2523000.0,,,
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4150000000.0,4150000000.0,4150000000.0,,6150000000.0,6150000000.0,6150000000.0
DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604308000.0,1108806000.0,764808000.0,1021375000.0,931256000.0,873622000.0,626241000.0,508840000.0,546283000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587346000.0,1103028000.0,761312000.0,1019758000.0,937162000.0,875403000.0,628455000.0,509983000.0,547556000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081851000.0,1081851000.0,851901000.0,851901000.0,851901000.0,851901000.0,403426000.0,403426000.0,403426000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterestNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573429000.0,573429000.0,251127000.0,251127000.0,251127000.0,251127000.0,471977000.0,471977000.0,471977000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-2503000.0,,,,67000.0,,,,173000.0,,,,-1169000.0,,,,-404000.0,,,,-777000.0,,,,-970000.0,,,,-1463000.0,,,,-59909000.0,,,
DeferredFinanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27347000.0,29909000.0,29909000.0,,44564000.0,44564000.0,44564000.0
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,0.0,,,,-52000.0,,,,-133000.0,,,,-273000.0,,,,-277000.0,,,,-200000.0,,,,-6815000.0,,,,-8448000.0,,,,-2007000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,306000.0,,,306000.0,306000.0,519000.0,519000.0,519000.0,,,,,,,,,,,,,,,,,,,,,,,,,9397000.0,1800994000.0,1800994000.0,1800994000.0
DeferredIncomeTaxExpenseBenefit / USD,-207000.0,-207000.0,-207000.0,-2664000.0,78000.0,63000.0,-104000.0,26000.0,99000.0,99000.0,133000.0,58000.0,-654000.0,-688000.0,-563000.0,-1385000.0,-754000.0,-2229000.0,-1054000.0,-646000.0,-984000.0,-1024000.0,-3375000.0,-1376000.0,-60000.0,-473000.0,-5224000.0,-8016000.0,-7653000.0,-21374000.0,-47503000.0,-10435000.0,1353000.0,39919000.0,-86642000.0,-69593000.0,-7984000.0,3528000.0,5368000.0
DeferredIncomeTaxLiabilities / USD,,,,2333000.0,,,,163000.0,,,,476000.0,,,,644000.0,,,,7115000.0,,,,199120000.0,,,,418388000.0,,,,689256000.0,,,,448441000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,476000.0,,,,476000.0,,,,0.0,,,,,,,,,,,,,15236000.0,15236000.0,15236000.0,15236000.0,,,,132498000.0,,,,35695000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-161000.0,,,,11000.0,,,,18000.0,,,,57000.0,,,,35000.0,,,,-399000.0,,,,-231000.0,,,,-524000.0,,,,-7677000.0,,,
DeferredTaxAssetsDeferredIncome / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,11266000.0,,,,11665000.0,,,,6943000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,17600000.0,,,,30273000.0,,,,0.0,,,
DeferredTaxAssetsGross / USD,,,,127701000.0,,,,195155000.0,,,,255204000.0,,,,409562000.0,,,,867658000.0,,,,1444908000.0,,,,2305573000.0,,,,2671032000.0,,,,2423581000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,,,,446000.0,,,,446000.0,,,,979000.0,,,,7778000.0,,,,74000.0,,,,,,,,1638559000.0,,,
DeferredTaxAssetsNet / USD,122000.0,130000.0,301000.0,2333000.0,,,,52000.0,,,,306000.0,,,,519000.0,,,,8094000.0,,,,206898000.0,,,,418462000.0,,,,570649000.0,,,,422143000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,54528000.0,,,,36633000.0,,,,65507000.0,,,,244197000.0,,,,575245000.0,,,,962069000.0,,,,1276561000.0,,,,1172880000.0,,,,935289000.0,,,
DeferredTaxAssetsOther / USD,,,,542000.0,,,,1469000.0,,,,1640000.0,,,,2519000.0,,,,3424000.0,,,,0.0,,,,7740000.0,,,,6199000.0,,,,61489000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,11662000.0,,,,25349000.0,,,,38927000.0,,,,60567000.0,,,,183977000.0,,,,254789000.0,,,,378682000.0,,,,501185000.0,,,,529314000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,13153000.0,,,,36689000.0,,,,52091000.0,,,,35728000.0,,,,38427000.0,,,,40784000.0,,,,50431000.0,,,,72128000.0,,,,45153000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,19714000.0,,,,27964000.0,,,,29421000.0,,,,23553000.0,,,,33044000.0,,,,47653000.0,,,,62707000.0,,,,129695000.0,,,,173556000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,125368000.0,,,,195103000.0,,,,254898000.0,,,,409043000.0,,,,859564000.0,,,,1238010000.0,,,,1887111000.0,,,,2100383000.0,,,,2001438000.0,,,
DeferredTaxLiabilities / USD,299000.0,285000.0,285000.0,0.0,476000.0,476000.0,476000.0,111000.0,644000.0,644000.0,644000.0,170000.0,,,,125000.0,,,,,,,,,,,,118607000.0,,,,118607000.0,35695000.0,35695000.0,35695000.0,26298000.0,162435000.0,162435000.0,162435000.0
DeferredTaxLiabilitiesInvestments / USD,,,,,,,,,,,,,,,,,,,,0.0,,,,73425000.0,,,,4712000.0,,,,29554000.0,,,,25618000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,0.0,,,,111167000.0,,,,108747000.0,,,,96894000.0,,,,60600000.0,,,
DepositsAssetsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25555000.0,397630000.0,397630000.0,397630000.0,397630000.0,87968000.0,87968000.0,87968000.0
Depreciation / USD,4500000.0,9200000.0,14200000.0,16500000.0,6400000.0,13300000.0,20900000.0,20100000.0,7300000.0,14500000.0,21800000.0,28700000.0,8300000.0,17500000.0,29200000.0,29700000.0,15500000.0,30300000.0,45600000.0,46800000.0,15900000.0,32800000.0,48200000.0,60600000.0,22300000.0,41500000.0,68400000.0,65000000.0,,,,94200000.0,,,,131500000.0,,,
DepreciationDepletionAndAmortization / USD,5546000.0,11956000.0,18526000.0,18586000.0,9118000.0,18136000.0,27817000.0,27626000.0,9437000.0,18562000.0,27647000.0,37745000.0,10160000.0,22488000.0,38323000.0,37279000.0,18971000.0,37754000.0,56879000.0,60961000.0,20061000.0,41117000.0,61741000.0,75598000.0,29201000.0,57595000.0,95707000.0,84212000.0,70056000.0,160895000.0,249616000.0,134757000.0,93173000.0,187718000.0,303236000.0,340523000.0,97640000.0,194543000.0,287249000.0
EarningsPerShareBasic / USD/shares,-0.33,-0.53,-0.88,-1.08,-0.29,-0.37,-0.46,-1.24,-0.04,-0.08,-0.13,-0.5,-0.06,-0.07,-0.03,-0.17,-0.09,-0.11,-0.04,-0.09,-0.24,-0.27,-0.18,0.88,0.09,0.53,0.53,0.48,-0.38,-0.73,-0.75,0.36,0.16,-0.01,-0.15,-0.93,0.77,1.08,1.54
EarningsPerShareDiluted / USD/shares,-0.33,-0.53,-0.88,-1.08,-0.29,-0.37,-0.46,-1.24,-0.04,-0.08,-0.13,-0.5,-0.06,-0.07,-0.03,-0.17,-0.09,-0.11,-0.04,-0.09,-0.24,-0.27,-0.18,0.81,0.08,0.48,0.48,0.44,-0.38,-0.73,-0.75,0.33,0.16,-0.01,-0.15,-0.93,0.74,1.05,1.5
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,1397000.0,-3505000.0,-4154000.0,4303000.0,1277000.0,2340000.0,-673000.0,-7221000.0,-13588000.0,-5182000.0,772000.0,3841000.0,-8206000.0,-7092000.0,-14311000.0,12995000.0,-948000.0,-35442000.0,-94972000.0,-7066000.0,1033000.0,6955000.0,-28455000.0,-38363000.0,-41755000.0,-39771000.0,13600000.0
EffectiveIncomeTaxRateContinuingOperations / pure,-0.009,-0.021,-0.019,-0.01,-0.004,0.005,-0.006,-0.021,-0.035,-0.033,-0.007,-0.011,-0.007,-0.027,-0.22,-0.002,-0.003,0.008,,-0.064,,,,0.007,,,,0.013,,,,-0.009,,,,0.022,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.34,,,,0.34,,,,0.34,,,,0.34,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,-0.35,,,,-0.386,,,,-0.374,,,,-1.195,,,,-7.185,,,,0.349,,,,1.539,,,,2.904,,,,-0.467,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,-0.015,,,,-0.018,,,,-0.024,,,,-0.149,,,,-0.147,,,,0.014,,,,0.04,,,,0.104,,,,-0.02,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther / pure,,,,,,,,,,,,-0.008,,,,-0.007,,,,-0.009,,,,0.005,,,,0.027,,,,0.044,,,,-0.012,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseRestructuringCharges / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,0.007,,,,0.001,,,,0.002,,,,-0.012,,,,0.023,,,,-0.005,,,,0.022,,,,0.016,,,,0.006,,,
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.009,,,,0.021,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,,,,,,,,,-0.024,,,,2.435,,,,5.49,,,,-0.458,,,,-1.554,,,,-2.75,,,,0.075,,,
