fact_unit,2015-07-29,2015-10-29,2016-02-11,2016-04-28,2016-07-26,2016-10-25,2017-02-08,2017-04-27,2017-07-27,2017-10-24,2018-02-07,2018-04-26,2018-07-26,2018-10-23,2019-02-07,2019-04-25,2019-07-25,2019-09-16,2019-10-24,2020-02-06,2020-05-07,2020-07-30,2020-11-03,2021-02-05,2021-05-06,2021-07-29,2021-11-09,2022-02-03,2022-04-28,2022-08-03,2022-11-04,2023-02-10,2023-05-09,2023-08-03,2023-11-02,2024-02-08,2024-04-30,2024-07-30,2024-10-29,2025-02-04,2025-04-29,2025-07-29,2025-10-28
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,18000000.0,48000000.0,47000000.0,96000000.0,90000000.0,106000000.0,84000000.0,77000000.0,73000000.0,62000000.0,64000000.0,36000000.0,78000000.0,405000000.0,602000000.0,1583000000.0,2843000000.0,3052000000.0,2965000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,,,,,,,,,,,,,,,10746000000.0,11083000000.0,,9137000000.0,9966000000.0,9407000000.0,15291000000.0,18106000000.0,17416000000.0,15557000000.0,13865000000.0,12198000000.0,10496000000.0,10306000000.0,13172000000.0,13266000000.0,11591000000.0,13117000000.0,13639000000.0,13950000000.0,14971000000.0,14127000000.0,13538000000.0,11806000000.0,11392000000.0,12094000000.0,10994000000.0,9386000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,1846000000.0,2419000000.0,2000000000.0,2167000000.0,2684000000.0,3317000000.0,3021000000.0,2400000000.0,2436000000.0,2178000000.0,2302000000.0,2830000000.0,1798000000.0,1119000000.0,390000000.0,10748000000.0,11092000000.0,390000000.0,9140000000.0,9966000000.0,9429000000.0,15312000000.0,18116000000.0,17421000000.0,15561000000.0,13867000000.0,12198000000.0,10491000000.0,10273000000.0,13064000000.0,13119000000.0,11470000000.0,12977000000.0,13466000000.0,13782000000.0,14862000000.0,14083000000.0,13505000000.0,11804000000.0,11392000000.0,12097000000.0,10995000000.0,9388000000.0
Cash / USD,,,,,,,987000000.0,1300000000.0,1300000000.0,,,,,2100000000.0,2100000000.0,3900000000.0,3900000000.0,2100000000.0,3900000000.0,3900000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,3900000000.0,3900000000.0,3900000000.0,3900000000.0,4800000000.0,4800000000.0,4800000000.0,4800000000.0,6800000000.0,6800000000.0,6800000000.0,6800000000.0,8100000000.0,8100000000.0,8100000000.0,8100000000.0,6500000000.0,,
CashAndCashEquivalentsAtCarryingValue / USD,1604000000.0,1604000000.0,1414000000.0,2201000000.0,2201000000.0,2201000000.0,1604000000.0,1393000000.0,1393000000.0,1393000000.0,2201000000.0,1240000000.0,1271000000.0,2330000000.0,1590000000.0,2879000000.0,2840000000.0,1590000000.0,8147000000.0,2883000000.0,4515000000.0,4909000000.0,6877000000.0,7575000000.0,7854000000.0,6353000000.0,6112000000.0,7349000000.0,5717000000.0,5745000000.0,7782000000.0,4794000000.0,4861000000.0,4583000000.0,6659000000.0,5197000000.0,7101000000.0,5504000000.0,6816000000.0,7776000000.0,9693000000.0,7801000000.0,7372000000.0
CashAndCashEquivalentsFairValueDisclosure / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600000000.0,6600000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,6119000000.0,6119000000.0,6119000000.0,6827000000.0,8285000000.0,8285000000.0,6827000000.0,8285000000.0,6119000000.0,13233000000.0,13233000000.0,13233000000.0,8285000000.0,15743000000.0,15743000000.0,15743000000.0,13233000000.0,18040000000.0,18040000000.0,18040000000.0,15743000000.0,18029000000.0,18029000000.0,18029000000.0,18040000000.0,19156000000.0,19156000000.0,19156000000.0,18029000000.0,21834000000.0,21834000000.0,21834000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,-535000000.0,-289000000.0,1517000000.0,-708000000.0,442000000.0,-363000000.0,-708000000.0,5484000000.0,2166000000.0,-2330000000.0,-1259000000.0,1751000000.0,4948000000.0,999000000.0,2261000000.0,1379000000.0,2510000000.0,960000000.0,978000000.0,1929000000.0,2297000000.0,-186000000.0,-1345000000.0,-1305000000.0,-11000000.0,-1462000000.0,-3541000000.0,-2573000000.0,1127000000.0,441000000.0,-2376000000.0,-300000000.0
CommonStockParOrStatedValuePerShare / USD/shares,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
CommonStockSharesAuthorized / shares,,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0
CommonStockSharesOutstanding / shares,,1218000000.0,1218000000.0,1224000000.0,1224000000.0,1224000000.0,1224000000.0,1207000000.0,1207000000.0,1207000000.0,1207000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1174000000.0,1174000000.0,1200000000.0,1174000000.0,1174000000.0,1173000000.0,1173000000.0,1173000000.0,1173000000.0,1172000000.0,1172000000.0,1172000000.0,1172000000.0,1168000000.0,1168000000.0,1168000000.0,1168000000.0,1136000000.0,1136000000.0,1136000000.0,1136000000.0,1072000000.0,1072000000.0,1072000000.0,1072000000.0,993000000.0,993000000.0,993000000.0
CommonStockValue / USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ComprehensiveIncomeNetOfTax / USD,-85000000.0,264000000.0,923000000.0,287000000.0,474000000.0,754000000.0,590000000.0,347000000.0,749000000.0,1059000000.0,1109000000.0,327000000.0,638000000.0,974000000.0,1469000000.0,484000000.0,1215000000.0,1469000000.0,1681000000.0,1594000000.0,564000000.0,1384000000.0,1822000000.0,2277000000.0,137000000.0,1617000000.0,2476000000.0,2208000000.0,1228000000.0,2473000000.0,3728000000.0,3891000000.0,201000000.0,-260000000.0,953000000.0,4517000000.0,825000000.0,1756000000.0,2920000000.0,1627000000.0,975000000.0,2069000000.0,3145000000.0
ContractWithCustomerAssetNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000000.0,207000000.0,207000000.0,207000000.0
CurrentFederalTaxExpenseBenefit / USD,,,45000000.0,,,,90000000.0,,,,34000000.0,,,,44000000.0,,,44000000.0,,1522000000.0,,,,180000000.0,,,,132000000.0,,,,310000000.0,,,,6000000.0,,,,688000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,30000000.0,,,,59000000.0,,,,104000000.0,,,,115000000.0,,,115000000.0,,146000000.0,,,,278000000.0,,,,629000000.0,,,,245000000.0,,,,326000000.0,,,,966000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,77000000.0,,,,162000000.0,,,,133000000.0,,,,178000000.0,,,178000000.0,,1704000000.0,,,,490000000.0,,,,808000000.0,,,,698000000.0,,,,412000000.0,,,,1758000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,2000000.0,,,,13000000.0,,,,-5000000.0,,,,19000000.0,,,19000000.0,,36000000.0,,,,32000000.0,,,,47000000.0,,,,143000000.0,,,,80000000.0,,,,104000000.0,,,
CustomerSecuritiesForWhichEntityHasRightToSellOrRepledgeFairValueOfSecuritiesSoldOrRepledged / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,,,5000000000.0,5000000000.0,,9000000000.0,9000000000.0,9000000000.0,9000000000.0,9000000000.0,9000000000.0,9000000000.0,9000000000.0,10418000000.0,10418000000.0,10418000000.0,10418000000.0,10622000000.0,10603000000.0,10638000000.0,10595000000.0,11809000000.0,11883000000.0,10574000000.0,12101000000.0,10915000000.0,10904000000.0
DebtSecuritiesAvailableForSaleAccruedInterestAfterAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,42000000.0,42000000.0,,36000000.0,36000000.0,36000000.0,36000000.0,65000000.0,65000000.0,65000000.0,65000000.0,101000000.0,101000000.0,101000000.0,101000000.0,140000000.0,140000000.0,140000000.0
DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,21584000000.0,21584000000.0,21584000000.0,23232000000.0,23232000000.0,23232000000.0,23232000000.0,22869000000.0,22869000000.0,22869000000.0,23780000000.0,22639000000.0,22639000000.0,22639000000.0,22639000000.0,21278000000.0,21278000000.0,21278000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,207000000.0,207000000.0,207000000.0,969000000.0,969000000.0,207000000.0,969000000.0,969000000.0,74000000.0,74000000.0,74000000.0,74000000.0,0.0,0.0,0.0,0.0,20000000.0,20000000.0,20000000.0,20000000.0,10282000000.0,10282000000.0,10282000000.0,10282000000.0,8472000000.0,8472000000.0,8472000000.0,8472000000.0,942000000.0,942000000.0,942000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,-13000000.0,-13000000.0,,13000000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442000000.0,442000000.0,442000000.0,442000000.0,147000000.0,147000000.0,147000000.0,147000000.0,5000000.0,5000000.0,5000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,,,,,3156000000.0,3156000000.0,,3156000000.0,3156000000.0,4581000000.0,4581000000.0,4581000000.0,4581000000.0,2585000000.0,2585000000.0,2585000000.0,2585000000.0,17989000000.0,17989000000.0,17989000000.0,17989000000.0,10155000000.0,10155000000.0,10155000000.0,10703000000.0,5939000000.0,5939000000.0,5939000000.0,5939000000.0,5636000000.0,5636000000.0,5636000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,,,,,-2000000.0,-2000000.0,,2000000.0,2000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,87000000.0,87000000.0,87000000.0,87000000.0,150000000.0,150000000.0,150000000.0,150000000.0,11000000.0,11000000.0,11000000.0,11000000.0,10000000.0,10000000.0,10000000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,21595000000.0,21595000000.0,21595000000.0,23145000000.0,23145000000.0,23145000000.0,23145000000.0,22278000000.0,22278000000.0,22278000000.0,23189000000.0,22505000000.0,22505000000.0,22505000000.0,22505000000.0,21292000000.0,21292000000.0,21292000000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3604000000.0,2593000000.0,2593000000.0,2593000000.0,2593000000.0,4848000000.0,4848000000.0,4848000000.0,4848000000.0,4154000000.0,4154000000.0,
DebtSecuritiesAvailableForSaleExcludingAccruedInterestNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545000000.0,2817000000.0,2817000000.0,2817000000.0,2817000000.0,1391000000.0,1391000000.0,1391000000.0,1391000000.0,3002000000.0,3002000000.0,3002000000.0
DebtSecuritiesAvailableForSaleRealizedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,25000000.0,25000000.0,26000000.0,25000000.0,25000000.0,25000000.0,26000000.0,,,
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,,,,,2800000000.0,4125000000.0,4125000000.0,2800000000.0,4125000000.0,4125000000.0,4655000000.0,4655000000.0,4655000000.0,4655000000.0,2585000000.0,2585000000.0,2585000000.0,2585000000.0,18009000000.0,18009000000.0,18009000000.0,18009000000.0,20437000000.0,20437000000.0,20437000000.0,20985000000.0,14411000000.0,14411000000.0,14411000000.0,14411000000.0,6578000000.0,6578000000.0,6578000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,,,,,,,,,,,,,,,-15000000.0,-15000000.0,,15000000.0,15000000.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,87000000.0,87000000.0,87000000.0,87000000.0,592000000.0,592000000.0,592000000.0,592000000.0,158000000.0,158000000.0,158000000.0,158000000.0,15000000.0,15000000.0,15000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,72000000.0,,,,699000000.0,,,,126000000.0,,,,90000000.0,,,90000000.0,,-1304000000.0,,,,-115000000.0,,,,-107000000.0,,,,259000000.0,,,,-401000000.0,,,,-563000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,-17000000.0,,,,-16000000.0,,,,0.0,,,,-3000000.0,,,-3000000.0,,8000000.0,,,,-21000000.0,,,,-123000000.0,,,,-62000000.0,,,,-36000000.0,,,,-147000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,695000000.0,677000000.0,52000000.0,49000000.0,92000000.0,87000000.0,680000000.0,22000000.0,88000000.0,71000000.0,127000000.0,53000000.0,102000000.0,13000000.0,52000000.0,91000000.0,89000000.0,52000000.0,-34000000.0,-1299000000.0,74000000.0,35000000.0,-122000000.0,-171000000.0,-79000000.0,31000000.0,-6000000.0,-269000000.0,0.0,-103000000.0,-175000000.0,165000000.0,-16000000.0,-457000000.0,-538000000.0,-482000000.0,-67000000.0,-146000000.0,-439000000.0,-811000000.0,52000000.0,29000000.0,8000000.0
DeferredIncomeTaxLiabilities / USD,,,1093000000.0,,,,1479000000.0,,,,1569000000.0,,,,233000000.0,,,233000000.0,,281000000.0,,,,307000000.0,,,,775000000.0,,,,780000000.0,,,,794000000.0,,,,933000000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,-3000000.0,,,,-3000000.0,,,,1000000.0,,,,-35000000.0,,,-35000000.0,,-3000000.0,,,,-35000000.0,,,,-39000000.0,,,,-32000000.0,,,,-45000000.0,,,,-101000000.0,,,
