fact_unit,2014-06-12,2014-08-08,2014-11-07,2015-02-26,2015-05-13,2015-08-07,2015-11-06,2016-02-22,2016-05-05,2016-08-03,2016-11-03,2017-02-21,2017-05-04,2017-08-02,2017-11-02,2018-02-14,2018-05-03,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-01,2019-10-31,2020-02-13,2020-04-30,2020-08-06,2020-11-05,2021-02-18,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-03,2023-02-16,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-10-31,2025-02-20,2025-05-08,2025-08-07,2025-11-06
CommonStockSharesOutstanding / shares,45708573.0,45708573.0,45708573.0,45708573.0,53832782.0,53832782.0,53832782.0,53832782.0,57119873.0,57119873.0,57119873.0,57119873.0,57331022.0,57331022.0,57331022.0,57331022.0,57788573.0,57788573.0,57788573.0,57788573.0,57276992.0,57277000.0,57277000.0,57277000.0,57660000.0,57660000.0,57660000.0,57660000.0,57739000.0,57739000.0,57739000.0,57739000.0,58012000.0,58012000.0,58012000.0,58012000.0,57867000.0,57867000.0,57867000.0,57867000.0,56528000.0,56528000.0,56528000.0,56500000.0,55900000.0,55900000.0,55900000.0
CommonStockValue / USD,457000.0,457000.0,457000.0,457000.0,538000.0,538000.0,538000.0,538000.0,571000.0,571000.0,571000.0,571000.0,585000.0,585000.0,585000.0,585000.0,601000.0,601000.0,601000.0,601000.0,607000.0,607000.0,607000.0,607000.0,613000.0,613000.0,613000.0,613000.0,618000.0,618000.0,618000.0,618000.0,623000.0,623000.0,623000.0,623000.0,625000.0,625000.0,625000.0,625000.0,627000.0,627000.0,627000.0,600000.0,600000.0,600000.0,600000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64616000.0,116894000.0,147273000.0,143453000.0,90811000.0,147685000.0,197625000.0,195960000.0,120146000.0,184522000.0,260553000.0,277700000.0,247700000.0,315900000.0,389300000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,51624000.0,51624000.0,51624000.0,51624000.0,51624000.0,51624000.0,64651000.0,64651000.0,64651000.0,64651000.0,76244000.0,76244000.0,76244000.0,76244000.0,86826000.0,86826000.0,86826000.0,86826000.0,101426000.0,101426000.0,101426000.0,101426000.0,117416000.0,117416000.0,117416000.0,117400000.0,130500000.0,130500000.0,130500000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,14902000.0,20925000.0,3943000.0,9259000.0,14902000.0,20925000.0,5561000.0,11020000.0,8937000.0,11695000.0,3674000.0,7843000.0,11181000.0,18423000.0,4795000.0,9866000.0,15020000.0,13298000.0,4221000.0,8842000.0,13548000.0,15949000.0,5086000.0,10593000.0,16185000.0,19100000.0,5700000.0,16000000.0,27600000.0
CostOfGoodsAndServicesSoldDepreciationAndAmortization / USD,,,,,,,,,,,,,,,,,,,6829000.0,5798000.0,3037000.0,6291000.0,10258000.0,9590000.0,4542000.0,9492000.0,14796000.0,14532000.0,5930000.0,12231000.0,18865000.0,20411000.0,7200000.0,14837000.0,22751000.0,25768000.0,9992000.0,20470000.0,31405000.0,31411000.0,12147000.0,24958000.0,38299000.0,42900000.0,15000000.0,31400000.0,48900000.0
CostOfRevenue / USD,4845000.0,9613000.0,14953000.0,16326000.0,6922000.0,13287000.0,19723000.0,20891000.0,8281000.0,16302000.0,25211000.0,27318000.0,11971000.0,23836000.0,38584000.0,35473000.0,17146000.0,35022000.0,52848000.0,54066000.0,23605000.0,44536000.0,66661000.0,72028000.0,29318000.0,54557000.0,80949000.0,90763000.0,30046000.0,59604000.0,90516000.0,109747000.0,36273000.0,72683000.0,115363000.0,123546000.0,48484000.0,98566000.0,153670000.0,161886000.0,65232000.0,132660000.0,201601000.0,212700000.0,78700000.0,162500000.0,250900000.0
CostsAndExpenses / USD,,,,,,64056000.0,95976000.0,98129000.0,44684000.0,82849000.0,131334000.0,135229000.0,61422000.0,119298000.0,196041000.0,190218000.0,66998000.0,146433000.0,225713000.0,227401000.0,102896000.0,188659000.0,285702000.0,303337000.0,137455000.0,253882000.0,378332000.0,392621000.0,153104000.0,308115000.0,470611000.0,511447000.0,177652000.0,372708000.0,585597000.0,655311000.0,227252000.0,471863000.0,731765000.0,801957000.0,291205000.0,605078000.0,914480000.0,996500000.0,214100000.0,556400000.0,903500000.0
CurrentFederalTaxExpenseBenefit / USD,,,,1330000.0,,,,1330000.0,,,,1330000.0,,,,11308000.0,,,,12207000.0,,,,10136000.0,,,,12414000.0,,,,17812000.0,,,,14680000.0,,,,17557000.0,,,,81300000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,80000.0,,,,275000.0,,,,1718000.0,,,,13600000.0,,,,15251000.0,,,,11927000.0,,,,16569000.0,,,,24500000.0,,,,21102000.0,,,,27096000.0,,,,111400000.0,,,
