fact_unit,2020-11-13,2021-02-26,2021-05-12,2021-08-12,2021-11-09,2022-02-24,2022-05-09,2022-08-08,2022-11-07,2023-02-21,2023-05-09,2023-08-08,2023-11-03,2024-02-20,2024-05-07,2024-08-06,2024-11-05,2025-02-18,2025-05-06,2025-08-05,2025-11-04
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,0.0,,,,9600000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,1313907439.0,1327748971.0,1480368000.0,1455123000.0,810283000.0,1498714000.0,670378000.0,597463000.0,553630000.0,743313000.0,496310000.0,484379000.0,472345000.0,516768000.0,198569000.0,191577000.0,187074000.0,466381000.0,3500000.0,,
Assets / USD,1594025000.0,1594025000.0,2690504000.0,2690504000.0,2690504000.0,2690504000.0,3247450000.0,3247450000.0,3247450000.0,3247450000.0,3461239000.0,3461239000.0,3461239000.0,3461239000.0,4522425000.0,4522425000.0,4522425000.0,4522425000.0,6340884000.0,6340884000.0,6340884000.0
AssetsCurrent / USD,1214153000.0,1214153000.0,2257429000.0,2257429000.0,2257429000.0,2257429000.0,2863250000.0,2863250000.0,2863250000.0,2863250000.0,3041577000.0,3041577000.0,3041577000.0,3041577000.0,4138618000.0,4138618000.0,4138618000.0,4138618000.0,5934289000.0,5934289000.0,5934289000.0
AssetsFairValueDisclosure / USD,754382000.0,754382000.0,1149880000.0,1149880000.0,1149880000.0,1149880000.0,793362000.0,793362000.0,793362000.0,793362000.0,1209935000.0,1209935000.0,1209935000.0,1209935000.0,3435491000.0,3435491000.0,3435491000.0,3435491000.0,4959335000.0,4959335000.0,4959335000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,304000.0,145000.0,123000.0,4520000.0,4520000.0,4520000.0,4520000.0,4520000.0,1022000.0,1022000.0,1022000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,19000.0,917000.0,726000.0,1085000.0,1085000.0,1085000.0,1085000.0,1085000.0,613000.0,613000.0,613000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,1822231000.0,2031587000.0,2375747000.0,2831505000.0,2831505000.0,2831505000.0,2831505000.0,2831505000.0,3110278000.0,3110278000.0,3110278000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,2834940000.0,2834940000.0,2834940000.0,2834940000.0,3110687000.0,3110687000.0,3110687000.0
CashAndCashEquivalentsAtCarryingValue / USD,507319000.0,1116342000.0,809530000.0,1497591000.0,1800190000.0,1079154000.0,2339437000.0,2341156000.0,2335068000.0,2011323000.0,2269411000.0,2358393000.0,2411290000.0,2290674000.0,1264738000.0,1055923000.0,1040310000.0,2598540000.0,520388000.0,512659000.0,768710000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,1266835000.0,1270180000.0,1401962000.0,1401962000.0,1401962000.0,1266835000.0,2128146000.0,2128146000.0,2128146000.0,1401962000.0,2366914000.0,2366914000.0,2366914000.0,2128146000.0,2627335000.0,2627335000.0,2627335000.0,2366914000.0,850107000.0,850107000.0,850107000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-573421000.0,-3345000.0,-289333000.0,235053000.0,528371000.0,135127000.0,320330000.0,311674000.0,295029000.0,726184000.0,-34477000.0,48251000.0,85835000.0,238768000.0,-1338556000.0,-1553310000.0,-1565449000.0,260421000.0,-310442000.0,-318032000.0,-61651000.0
CommonStockSharesAuthorized / shares,4000000000.0,4000000000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0,22701005000.0
CommonStockSharesIssued / shares,587889687.0,587889687.0,1792140000.0,1792140000.0,1792140000.0,1792140000.0,2027474000.0,2027474000.0,2027474000.0,2027474000.0,2099075000.0,2099075000.0,2099075000.0,2099075000.0,2200128000.0,2200128000.0,2200128000.0,2200128000.0,2338795000.0,2338795000.0,2338795000.0
CommonStockSharesOutstanding / shares,581497116.0,581497116.0,1792140000.0,1792140000.0,1792140000.0,1792140000.0,2027474000.0,2027474000.0,2027474000.0,2027474000.0,2099075000.0,2099075000.0,2099075000.0,2099075000.0,2200128000.0,2200128000.0,2200128000.0,2200128000.0,2338795000.0,2338795000.0,2338795000.0
CommonStockValue / USD,588000.0,588000.0,1792000.0,1792000.0,1792000.0,1792000.0,2027000.0,2027000.0,2027000.0,2027000.0,2099000.0,2099000.0,2099000.0,2099000.0,2200000.0,2200000.0,2200000.0,2200000.0,2339000.0,2339000.0,2339000.0
ComprehensiveIncomeNetOfTax / USD,-420789000.0,-581072000.0,-53248000.0,-163126000.0,-1016177000.0,-581111000.0,-119864000.0,-259244000.0,-363141000.0,-1168433000.0,-103074000.0,-285033000.0,-412069000.0,-519983000.0,18102000.0,45053000.0,114562000.0,-376689000.0,99009000.0,233920000.0,387305000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,2349000.0,2094000.0,4028000.0,2611000.0,541000.0,1878000.0,7815000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,-1168433000.0,-103074000.0,-285033000.0,-412069000.0,-519983000.0,,47147000.0,118590000.0,-374078000.0,99550000.0,235798000.0,395120000.0
ContractWithCustomerLiability / USD,794811000.0,657112000.0,531900000.0,531900000.0,531900000.0,531900000.0,463300000.0,463300000.0,463300000.0,463300000.0,339200000.0,339200000.0,339200000.0,339200000.0,486300000.0,486300000.0,486300000.0,486300000.0,566400000.0,566400000.0,566400000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,-770582000.0,-742555000.0,181200000.0,301300000.0,406400000.0,477700000.0,169500000.0,285400000.0,347700000.0,378400000.0,187000000.0,299200000.0,353800000.0,384300000.0,192400000.0,270200000.0,314900000.0,329400000.0,244300000.0,362400000.0,440900000.0
CostOfRevenue / USD,166471000.0,165401000.0,64294000.0,132704000.0,282044000.0,242373000.0,74111000.0,165037000.0,251841000.0,352547000.0,94403000.0,196627000.0,304238000.0,339404000.0,107645000.0,214544000.0,322466000.0,408549000.0,116256000.0,244818000.0,391457000.0
CurrentFederalTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
CurrentForeignTaxExpenseBenefit / USD,,15945000.0,,,,19435000.0,,,,7249000.0,,,,-11343000.0,,,,9476000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,16087000.0,,,,19574000.0,,,,7749000.0,,,,-11431000.0,,,,10241000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,142000.0,,,,139000.0,,,,500000.0,,,,-88000.0,,,,765000.0,,,
DebtAndEquitySecuritiesUnrealizedGainLoss / USD,,,,,,,,,,,,,-260720000.0,-73311000.0,-8508000.0,,-11810000.0,-272108000.0,-12354000.0,,-26021000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerNumberOfPositions / security,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerNumberOfPositions / vote,,,,,,,,,,,,,,,0.0,,,,0.0,,
DebtSecuritiesAvailableForSaleRealizedLoss / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,369800000.0,1100000000.0,1400000000.0,236000000.0,236000000.0,236000000.0,236000000.0,236000000.0,700000000.0,700000000.0,700000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,-111000.0,,,,0.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-6985000.0,,,,-7199000.0,,,,-20385000.0,,,,43427000.0,,,,-174000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,-6985000.0,,,,-7199000.0,1846000.0,-2162000.0,337000.0,-20385000.0,,,,43316000.0,,,,-174000.0,,,
DeferredRevenueCurrent / USD,186105000.0,186105000.0,189520000.0,189520000.0,189520000.0,189520000.0,227816000.0,227816000.0,227816000.0,227816000.0,183350000.0,183350000.0,183350000.0,183350000.0,246901000.0,246901000.0,246901000.0,246901000.0,259624000.0,259624000.0,259624000.0
DeferredRevenueNoncurrent / USD,77030000.0,77030000.0,50525000.0,50525000.0,50525000.0,50525000.0,40217000.0,40217000.0,40217000.0,40217000.0,9965000.0,9965000.0,9965000.0,9965000.0,28047000.0,28047000.0,28047000.0,28047000.0,39885000.0,39885000.0,39885000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredTaxAssetsGross / USD,,840921000.0,,,,1311065000.0,,,,2025650000.0,,,,2102722000.0,,,,2145337000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,0.0,,,,70839000.0,,,,214848000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,570583000.0,,,,853861000.0,,,,1497774000.0,,,,1436957000.0,,,,1317684000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,23709000.0,,,,28970000.0,,,,35176000.0,,,,29665000.0,,,,14413000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,28459000.0,,,,68626000.0,,,,177402000.0,,,,226565000.0,,,,277060000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,181901000.0,,,,246380000.0,,,,212163000.0,,,,203735000.0,,,,139419000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,36269000.0,,,,55685000.0,,,,43348000.0,,,,76905000.0,,,,99105000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,819738000.0,,,,1220093000.0,,,,1977565000.0,,,,2051655000.0,,,,2102251000.0,,,
DeferredTaxLiabilities / USD,,,,,,,,,,1580000.0,,,,11965000.0,,,,8063000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,,,,,,,,0.0,,,,10225000.0,,,,8428000.0,,,
Depreciation / USD,9500000.0,13800000.0,3700000.0,6800000.0,9300000.0,12200000.0,3200000.0,6300000.0,9300000.0,13900000.0,3900000.0,8400000.0,13900000.0,12800000.0,5900000.0,11900000.0,18200000.0,19500000.0,6000000.0,12100000.0,18200000.0
DepreciationDepletionAndAmortization / USD,9450000.0,13910000.0,3671000.0,7793000.0,10308000.0,12255000.0,3237000.0,7999000.0,11057000.0,13871000.0,4312000.0,9207000.0,15149000.0,14897000.0,8320000.0,16719000.0,25382000.0,22522000.0,8438000.0,16494000.0,24581000.0
DividendsCommonStock / USD,,,,,,,,,,,,,,,,,,,0.0,,
DividendsPayableCurrentAndNoncurrent / USD,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
EarningsPerShareBasic / USD/shares,-0.73,-1.11,-0.09,-0.27,-1.43,-1.02,-0.07,-0.14,-0.19,-1.19,-0.05,-0.14,-0.2,-0.27,0.01,0.02,0.05,-0.18,0.05,0.11,0.17
EarningsPerShareDiluted / USD/shares,-0.73,-1.17,-0.1,-0.28,-1.43,-1.02,-0.07,-0.14,-0.19,-1.2,-0.05,-0.14,-0.2,-0.27,0.01,0.02,0.05,-0.18,0.04,0.1,0.16
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-2992000.0,-3703000.0,-1627000.0,-197000.0,-678000.0,-2227000.0,-2197000.0,-1496000.0,-3638000.0,1259000.0,-727000.0,-6341000.0,-12470000.0,-3918000.0,2676000.0,-1855000.0,-2113000.0,-3885000.0,-4024000.0,-4948000.0,960000.0
EffectiveIncomeTaxRateReconciliationBeatAmount / USD,,,,,,,,,,0.0,,,,0.0,,,,25200000.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,31355000.0,31355000.0,85466000.0,85466000.0,85466000.0,85466000.0,60732000.0,60732000.0,60732000.0,60732000.0,43495000.0,43495000.0,43495000.0,43495000.0,83094000.0,83094000.0,83094000.0,83094000.0,306939000.0,306939000.0,306939000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,,,,,0.0,,,,0.0,,,
EntityPublicFloat / USD,,13300000000.0,,,,45400000000.0,,,,16600000000.0,,,,29300000000.0,,,,51500000000.0,,,
EquitySecuritiesFvNiCost / USD,,,,,,326000000.0,326000000.0,326000000.0,326000000.0,326000000.0,124500000.0,124500000.0,124500000.0,,,,0.0,,,,0.0
EquitySecuritiesFvNiGainLoss / USD,,,,,,,,,,0.0,-62843000.0,-201341000.0,,,,-11078000.0,,,,-20042000.0,
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,,,,,,,,,,,,,,24400000.0,32600000.0,32600000.0,32600000.0,32600000.0,64900000.0,64900000.0,64900000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,,,,,,,,,,,,,,,,,,,4700000.0,,0.0
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,,,,,,,,,,,,,,,,,,,4700000.0,,30700000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,,,,1881000.0,4897000.0,4897000.0,4897000.0,4897000.0,13041000.0,13041000.0,13041000.0,13041000.0,9960000.0,9960000.0,9960000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,4614000.0,,,,2097000.0,,,,0.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,,,,9637000.0,7844000.0,7844000.0,7844000.0,7844000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,,,,,7228000.0,4819000.0,2410000.0,,5435000.0,3416000.0,1429000.0,,3448000.0,2299000.0,1150000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,,,,4250000.0,,,,2517000.0,,,,2097000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,,,,,4597000.0,4250000.0,4250000.0,4250000.0,4250000.0,2517000.0,2517000.0,2517000.0,2517000.0,2097000.0,2097000.0,2097000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,,,,,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4250000.0,4250000.0,4250000.0,4250000.0,2517000.0,2517000.0,2517000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,,,,,7844000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4597000.0,4250000.0,4250000.0,4250000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,,5717000.0,40436000.0,40436000.0,40436000.0,40436000.0,38943000.0,38943000.0,38943000.0,38943000.0,28018000.0,28018000.0,28018000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,,,,,,3836000.0,35539000.0,35539000.0,35539000.0,35539000.0,25902000.0,25902000.0,25902000.0,25902000.0,18058000.0,18058000.0,18058000.0
GeneralAndAdministrativeExpense / USD,208736000.0,306235000.0,70765000.0,164056000.0,503033000.0,320943000.0,146569000.0,304530000.0,454054000.0,669444000.0,142307000.0,297792000.0,446471000.0,611532000.0,136233000.0,268881000.0,397054000.0,596333000.0,133984000.0,272627000.0,411335000.0
GrossProfit / USD,346726000.0,430008000.0,165033000.0,348512000.0,488538000.0,500182000.0,267123000.0,551839000.0,857181000.0,740126000.0,351954000.0,722740000.0,1093009000.0,1202485000.0,417541000.0,843959000.0,1294196000.0,1497322000.0,518082000.0,1067654000.0,1646531000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,-411834000.0,-570925000.0,-51717000.0,-161229000.0,-1023091000.0,-567271000.0,-120372000.0,-264613000.0,-365312000.0,-1179027000.0,-99356000.0,-276097000.0,-398876000.0,-488494000.0,20832000.0,50875000.0,130844000.0,-361027000.0,110726000.0,251485000.0,408635000.0
IncomeTaxExpenseBenefit / USD,8485000.0,9102000.0,2557000.0,3500000.0,-5043000.0,12375000.0,3102000.0,-2559000.0,-1121000.0,-12636000.0,2023000.0,4611000.0,5707000.0,31885000.0,1681000.0,3852000.0,10382000.0,10067000.0,4655000.0,9844000.0,17653000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,126395000.0,,,,112149000.0,,,,373632000.0,,,,616572000.0,,,,49833000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,8028000.0,,,,25430000.0,,,,-4131000.0,,,,870000.0,,,,832000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,-119894000.0,,,,-119127000.0,,,,-247596000.0,,,,-102584000.0,,,,-75592000.0,,,
IncomeTaxReconciliationNondeductibleExpense / USD,,,,,,,,,,,,,,0.0,,,,0.0,,,
IncomeTaxReconciliationNondeductibleExpenseOther / USD,,0.0,,,,0.0,,,,76093000.0,,,,428682000.0,,,,40629000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,2629000.0,,,,-6069000.0,,,,-194730000.0,,,,-817839000.0,,,,1374000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,6466000.0,,,,1959000.0,,,,9890000.0,,,,863000.0,,,,1571000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,142000.0,,,,139000.0,,,,500000.0,,,,-88000.0,,,,766000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,4565000.0,,,,2106000.0,,,,26294000.0,,,,94591000.0,,,,34546000.0,,,
IncomeTaxesPaidNet / USD,1981000.0,17098000.0,7665000.0,8144000.0,9143000.0,8579000.0,878000.0,3425000.0,3588000.0,14283000.0,659000.0,,,4131000.0,,,,2904000.0,,,
IncreaseDecreaseInAccountsPayable / USD,-21133000.0,10968000.0,-40790000.0,-35012000.0,-29372000.0,23424000.0,51000.0,14589000.0,1158000.0,-34681000.0,-47404000.0,-19985000.0,-15165000.0,57767000.0,-39921000.0,-39057000.0,-32387000.0,-29859000.0,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities / USD,,,,,,,,,,,,,,,,,,,4704000.0,22824000.0,49859000.0
IncreaseDecreaseInAccountsReceivable / USD,96142000.0,10483000.0,51403000.0,56583000.0,112723000.0,23905000.0,-4480000.0,83883000.0,15412000.0,108476000.0,65867000.0,75739000.0,154591000.0,35237000.0,-2709000.0,113663000.0,159752000.0,72819000.0,121884000.0,298311000.0,311699000.0
IncreaseDecreaseInAccruedLiabilities / USD,12105000.0,26424000.0,-39368000.0,-30366000.0,42138000.0,3733000.0,44488000.0,9070000.0,20360000.0,38505000.0,-5334000.0,28850000.0,-828000.0,15245000.0,4271000.0,13780000.0,2552000.0,5527000.0,,,
IncreaseDecreaseInContractWithCustomerLiability / USD,102100000.0,126028000.0,-132077000.0,-124434000.0,-140162000.0,279226000.0,20825000.0,28668000.0,-16227000.0,-230873000.0,59822000.0,-19314000.0,44263000.0,-104944000.0,43631000.0,40144000.0,84272000.0,-49471000.0,-6849000.0,33269000.0,132340000.0
IncreaseDecreaseInDeferredRevenue / USD,-226829000.0,173744000.0,8599000.0,19645000.0,-30937000.0,-134396000.0,-11952000.0,-3679000.0,-3781000.0,-30905000.0,-16335000.0,-11681000.0,-44912000.0,24732000.0,43238000.0,115868000.0,64464000.0,-61154000.0,,,
IncreaseDecreaseInIncomeTaxes / USD,,,,,,,-1100000.0,7200000.0,6800000.0,,,,4700000.0,,3000000.0,6000000.0,7300000.0,,,,-4700000.0
IncreaseDecreaseInOtherNoncurrentAssets / USD,6393000.0,3424000.0,8403000.0,9937000.0,20944000.0,22251000.0,6711000.0,7360000.0,7032000.0,8605000.0,-2891000.0,-8087000.0,-10490000.0,3345000.0,4551000.0,3485000.0,-1941000.0,-6033000.0,,,
IncreaseDecreaseInOtherNoncurrentLiabilities / USD,-6836000.0,0.0,0.0,921000.0,6393000.0,-3414000.0,-3000.0,0.0,-226000.0,3505000.0,-75000.0,-114000.0,-195000.0,-3185000.0,20000.0,17000.0,184000.0,-73000.0,,,
IncreaseDecreaseInOtherOperatingLiabilities / USD,,,,,,,,,,,,,,,,,,,-15515000.0,-17272000.0,-29262000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,8045000.0,19361000.0,7974000.0,3220000.0,11598000.0,-18809000.0,9753000.0,-12770000.0,7872000.0,18565000.0,4320000.0,34820000.0,4497000.0,10974000.0,-1252000.0,-1091000.0,75000.0,24811000.0,-22924000.0,-2797000.0,15491000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,,,,,,,,,0.0,0.0,0.0,109659000.0,132638000.0,147302000.0,0.0,186562000.0,184833000.0,193074000.0
InvestmentIncomeInterest / USD,12953000.0,10500000.0,3267000.0,3818000.0,4312000.0,15090000.0,376000.0,748000.0,1127000.0,4680000.0,547000.0,2019000.0,7559000.0,1607000.0,20853000.0,51163000.0,88027000.0,20309000.0,43352000.0,89945000.0,142065000.0
LeaseCost / USD,,52182000.0,,,,52182000.0,,,,43056000.0,,,,52737000.0,,,,52788000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,336444000.0,,,,323062000.0,,,,313884000.0,,,,276751000.0,,,,308052000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,124935000.0,,,,92365000.0,,,,82738000.0,,,,62116000.0,,,,106554000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,44630000.0,,,,53258000.0,,,,58843000.0,,,,67420000.0,,,,61509000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,40066000.0,,,,37045000.0,,,,27548000.0,,,,21816000.0,,,,18796000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,41629000.0,,,,42163000.0,,,,39173000.0,,,,28278000.0,,,,25449000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,45085000.0,,,,44025000.0,,,,50910000.0,,,,40068000.0,,,,41709000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,40099000.0,,,,54206000.0,,,,54672000.0,,,,57053000.0,,,,54035000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,76483000.0,,,,62989000.0,,,,56034000.0,,,,47359000.0,,,,68833000.0,,,
LessorOperatingLeasePaymentsToBeReceived / USD,,,,,,,,,,120809000.0,,,,102352000.0,,,,86223000.0,,,
LessorOperatingLeasePaymentsToBeReceivedFiveYears / USD,,,,,,,,,,14423000.0,,,,12470000.0,,,,10254000.0,,,
LessorOperatingLeasePaymentsToBeReceivedFourYears / USD,,,,,,,,,,13748000.0,,,,14423000.0,,,,12470000.0,,,
LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths / USD,,,,,,,,,,18458000.0,,,,16593000.0,,,,14783000.0,,,
LessorOperatingLeasePaymentsToBeReceivedThereafter / USD,,,,,,,,,,43231000.0,,,,30761000.0,,,,20507000.0,,,
LessorOperatingLeasePaymentsToBeReceivedThreeYears / USD,,,,,,,,,,14356000.0,,,,13748000.0,,,,14423000.0,,,
LessorOperatingLeasePaymentsToBeReceivedTwoYears / USD,,,,,,,,,,16593000.0,,,,14357000.0,,,,13786000.0,,,
Liabilities / USD,1447436000.0,1447436000.0,1167954000.0,1167954000.0,1167954000.0,1167954000.0,956420000.0,956420000.0,956420000.0,956420000.0,818802000.0,818802000.0,818802000.0,818802000.0,961460000.0,961460000.0,961460000.0,961460000.0,1246477000.0,1246477000.0,1246477000.0
