fact_unit,2014-09-05,2014-10-31,2015-02-23,2015-05-01,2015-07-31,2015-10-30,2016-02-25,2016-04-28,2016-07-28,2016-10-27,2017-02-23,2017-05-01,2017-07-28,2017-10-26,2018-02-22,2018-04-26,2018-07-27,2018-10-25,2019-02-15,2019-04-25,2019-07-25,2019-10-25,2020-02-13,2020-04-22,2020-07-23,2020-10-22,2021-02-11,2021-04-27,2021-07-22,2021-10-21,2022-02-10,2022-04-21,2022-07-21,2022-10-25,2023-02-09,2023-04-20,2023-07-21,2023-10-24,2024-02-08,2024-04-25,2024-07-19,2024-10-23,2025-02-07,2025-04-24,2025-07-23,2025-10-22
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis / USD,,,,,,,,,,,,,,346000000.0,883000000.0,1061000000.0,815000000.0,652000000.0,373000000.0,467000000.0,518000000.0,495000000.0,515000000.0,762000000.0,775000000.0,999000000.0,2485000000.0,2025000000.0,1739000000.0,1269000000.0,1231000000.0,1565000000.0,1670000000.0,1640000000.0,1055000000.0,412000000.0,652000000.0,835000000.0,719000000.0,766000000.0,730000000.0,747000000.0,1064000000.0,999000000.0,1334000000.0,1055000000.0
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue / USD,,,,,,,,,,,,,,346000000.0,880000000.0,1053000000.0,807000000.0,644000000.0,372000000.0,467000000.0,519000000.0,496000000.0,516000000.0,758000000.0,781000000.0,1004000000.0,2492000000.0,2029000000.0,1742000000.0,1271000000.0,1227000000.0,1528000000.0,1625000000.0,1542000000.0,989000000.0,394000000.0,637000000.0,824000000.0,722000000.0,766000000.0,729000000.0,755000000.0,1067000000.0,1006000000.0,1344000000.0,1065000000.0
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079000000.0,2724000000.0,2905000000.0,2716000000.0
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109000000.0,2742000000.0,2920000000.0,2726000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7469000000.0,7469000000.0,5283000000.0,5283000000.0,5283000000.0,5283000000.0,4879000000.0,4879000000.0,4879000000.0,4879000000.0,3799000000.0,3799000000.0,3799000000.0,3799000000.0,3079000000.0,3079000000.0,3079000000.0
CashAndCashEquivalentsAtCarryingValue / USD,1334000000.0,1334000000.0,1187000000.0,2319000000.0,2319000000.0,2319000000.0,1334000000.0,11828000000.0,11828000000.0,11828000000.0,2319000000.0,12325000000.0,12325000000.0,12325000000.0,11828000000.0,11392000000.0,12020000000.0,13915000000.0,9321000000.0,13044000000.0,15675000000.0,12068000000.0,11602000000.0,12963000000.0,11755000000.0,11461000000.0,9396000000.0,13704000000.0,16344000000.0,13552000000.0,12147000000.0,16620000000.0,11117000000.0,9806000000.0,11524000000.0,10541000000.0,10682000000.0,11962000000.0,8337000000.0,15303000000.0,12706000000.0,15643000000.0,10294000000.0,20021000000.0,18632000000.0,17934000000.0
CashAndDueFromBanks / USD,,,,,,,,,,,1088000000.0,,,,832000000.0,,,,1400000000.0,,,,1100000000.0,,,,1200000000.0,,,,1400000000.0,,,,1500000000.0,,,,1500000000.0,,,,1400000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,9668000000.0,9668000000.0,9668000000.0,12716000000.0,11817000000.0,11817000000.0,11817000000.0,9668000000.0,10376000000.0,10376000000.0,10376000000.0,11817000000.0,12647000000.0,12647000000.0,12647000000.0,10376000000.0,11604000000.0,11605000000.0,11605000000.0,12647000000.0,8686000000.0,8686000000.0,8686000000.0,11605000000.0,10430000000.0,10430000000.0,10430000000.0,8686000000.0,14421000000.0,14420000000.0,14420000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8686000000.0,,,,10430000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,2031000000.0,3219000000.0,4420000000.0,-3048000000.0,2357000000.0,4073000000.0,454000000.0,2149000000.0,2917000000.0,1769000000.0,1345000000.0,-1441000000.0,1137000000.0,3767000000.0,979000000.0,2271000000.0,5497000000.0,-63000000.0,-1705000000.0,-1042000000.0,2238000000.0,2104000000.0,4375000000.0,-2919000000.0,5490000000.0,2425000000.0,5370000000.0,1744000000.0,5650000000.0,4260000000.0,3561000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.26,0.41,0.26,0.15,0.15,0.15,0.56,0.21,0.21,0.21,0.72,0.22,0.22,0.22,0.86,0.22,0.22,0.22,0.88,0.22,0.22,0.22,0.88,0.23,0.23,0.23,0.9,0.25,0.25,0.25
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,0.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0
CommonStockSharesIssued / shares,0.0,833764589.0,833764589.0,833764589.0,833764589.0,833764589.0,833764589.0,833828340.0,833828340.0,833828340.0,833828340.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0,833984684.0
CommonStockSharesOutstanding / shares,0.0,705000000.0,705000000.0,833764589.0,833764589.0,833764589.0,705000000.0,833828340.0,833828340.0,833828340.0,705000000.0,817352328.0,817352328.0,817352328.0,817352328.0,770531433.0,770531433.0,770531433.0,770531433.0,718758598.0,718758598.0,718758598.0,718758598.0,615925168.0,615925168.0,615925168.0,615925168.0,584009550.0,584009550.0,584009550.0,584009550.0,526830205.0,526830205.0,526830205.0,526830205.0,438216755.0,438216755.0,438216755.0,438216755.0,406875775.0,406875775.0,406875775.0,406875775.0,388261077.0,388261077.0,388261077.0
CommonStockValue / USD,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
ComprehensiveIncomeNetOfTax / USD,885000000.0,1525000000.0,2123000000.0,561000000.0,1036000000.0,1582000000.0,1964000000.0,548000000.0,1086000000.0,1657000000.0,2112000000.0,592000000.0,1092000000.0,1692000000.0,2183000000.0,497000000.0,999000000.0,1563000000.0,2239000000.0,618000000.0,1307000000.0,1972000000.0,1924000000.0,1126000000.0,1992000000.0,3047000000.0,2792000000.0,295000000.0,355000000.0,674000000.0,3764000000.0,1020000000.0,2262000000.0,3395000000.0,1392000000.0,880000000.0,1656000000.0,2321000000.0,4203000000.0,624000000.0,1199000000.0,1827000000.0,2960000000.0,1292000000.0,1931000000.0,2743000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000000.0,1700000000.0,1900000000.0,1900000000.0,1900000000.0,1900000000.0,1800000000.0,1800000000.0,1800000000.0
CurrentFederalTaxExpenseBenefit / USD,,,1152000000.0,,,,1280000000.0,,,,1320000000.0,,,,1443000000.0,,,,829000000.0,,,,900000000.0,,,,775000000.0,,,,949000000.0,,,,843000000.0,,,,895000000.0,,,,1145000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,7000000.0,,,,5000000.0,,,,7000000.0,,,,11000000.0,,,,15000000.0,,,,12000000.0,,,,17000000.0,,,,1000000.0,,,,4000000.0,,,,5000000.0,,,,5000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,1275000000.0,,,,1400000000.0,,,,1480000000.0,,,,1612000000.0,,,,930000000.0,,,,1004000000.0,,,,907000000.0,,,,1117000000.0,,,,1014000000.0,,,,1063000000.0,,,,1367000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,116000000.0,,,,115000000.0,,,,153000000.0,,,,158000000.0,,,,86000000.0,,,,92000000.0,,,,115000000.0,,,,167000000.0,,,,167000000.0,,,,163000000.0,,,,217000000.0,,,
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,,,,,,,1055000000.0,,642000000.0,642000000.0,642000000.0,,21000000.0,21000000.0,21000000.0,21000000.0,27000000.0,27000000.0,27000000.0,27000000.0,1092000000.0,1092000000.0,1092000000.0,1092000000.0,1006000000.0,1006000000.0,1006000000.0,1006000000.0,286000000.0,286000000.0,286000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,44000000.0,,11000000.0,11000000.0,11000000.0,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,60000000.0,60000000.0,60000000.0,60000000.0,47000000.0,47000000.0,47000000.0,47000000.0,35000000.0,35000000.0,35000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,,,,,,,,,,,4628000000.0,,278000000.0,278000000.0,278000000.0,,251000000.0,251000000.0,251000000.0,251000000.0,2325000000.0,2325000000.0,2325000000.0,2325000000.0,3590000000.0,3590000000.0,3590000000.0,3590000000.0,667000000.0,667000000.0,667000000.0,667000000.0,295000000.0,295000000.0,295000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,4000000.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,62000000.0,62000000.0,62000000.0,62000000.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,2000000.0
DebtSecuritiesAvailableForSaleMaturityRollingAfter10YearsWeightedAverageYield / pure,,,,,,,,,,,,,,,,,,,,,,,0.029,0.029,0.028,0.019,0.018,0.017,0.017,0.017,0.017,0.017,0.017,0.028,0.027,0.018,0.018,0.02,0.02,0.02,0.022,0.022,0.023,0.026,0.027,0.032
DebtSecuritiesAvailableForSaleMaturityRollingAfterFiveThroughTenYearsWeightedAverageYield / pure,,,,,,,,,,,,,,,,,,,,,,,0.032,0.032,0.032,0.025,0.025,0.025,0.021,0.02,0.019,0.019,0.02,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.017
DebtSecuritiesAvailableForSaleMaturityRollingAfterOneThroughFiveYearsWeightedAverageYield / pure,,,,,,,,,,,,,,,,,,,,,,,0.021,0.013,0.009,0.007,0.004,0.004,0.003,0.004,0.005,0.008,0.012,0.011,0.013,0.02,0.035,0.047,0.053,0.052,0.051,0.05,0.046,0.045,0.044,0.043
DebtSecuritiesAvailableForSaleMaturityRollingWithinOneYearWeightedAverageYield / pure,,,,,,,,,,,,,,,,,,,,,,,0.019,0.016,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.005,0.011,0.022,0.024,0.028,0.033,0.027,0.045,0.049,0.048,0.048,0.047,0.048,0.046,0.045
DebtSecuritiesAvailableForSaleUnrealizedLossPositionNumberOfPositions / security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,224.0,224.0,224.0
DebtSecuritiesAvailableForSaleWeightedAverageYield / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.044,0.042,0.042
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,54000000.0,,,,,,96000000.0,51000000.0,65000000.0,76000000.0,86000000.0,53000000.0,53000000.0,70000000.0,79000000.0,77000000.0,88000000.0,99000000.0,107000000.0,56000000.0,70000000.0,86000000.0,104000000.0,61000000.0,75000000.0,73000000.0,74000000.0,72000000.0,31000000.0,31000000.0,39000000.0,39000000.0,39000000.0,35000000.0,36000000.0,33000000.0,33000000.0,33000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,-16000000.0,,,,-215000000.0,,,,-181000000.0,,,,-263000000.0,,,,357000000.0,,,,367000000.0,,,,-55000000.0,,,,19000000.0,,,,-486000000.0,,,,180000000.0,,,,-352000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,0.0,,,,-1000000.0,,,,1000000.0,,,,0.0,,,,-1000000.0,,,,-2000000.0,,,,9000000.0,,,,2000000.0,,,,-1000000.0,,,,-1000000.0,,,,2000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,-215000000.0,-197000000.0,-18000000.0,20000000.0,-58000000.0,-213000000.0,-237000000.0,86000000.0,25000000.0,-32000000.0,-203000000.0,175000000.0,97000000.0,47000000.0,-295000000.0,19000000.0,-181000000.0,186000000.0,389000000.0,19000000.0,-11000000.0,-53000000.0,385000000.0,145000000.0,135000000.0,103000000.0,-53000000.0,-109000000.0,-328000000.0,-468000000.0,23000000.0,114000000.0,184000000.0,230000000.0,-602000000.0,49000000.0,-74000000.0,-185000000.0,219000000.0,-88000000.0,-151000000.0,-271000000.0,-421000000.0,27000000.0,-8000000.0,-80000000.0
DeferredIncomeTaxLiabilities / USD,,,748000000.0,,,,793000000.0,,,,596000000.0,,,,1343000000.0,,,,1314000000.0,,,,1518000000.0,,,,1390000000.0,,,,1239000000.0,,,,1099000000.0,,,,846000000.0,,,,728000000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,-2000000.0,,,,-21000000.0,,,,-23000000.0,,,,-32000000.0,,,,33000000.0,,,,20000000.0,,,,-7000000.0,,,,2000000.0,,,,-115000000.0,,,,40000000.0,,,,-71000000.0,,,
DeferredTaxAssetsGross / USD,,,1156000000.0,,,,1406000000.0,,,,1620000000.0,,,,1981000000.0,,,,1566000000.0,,,,1811000000.0,,,,1656000000.0,,,,2844000000.0,,,,2490000000.0,,,,2687000000.0,,,,2941000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,408000000.0,,,,603000000.0,,,,1015000000.0,,,,633000000.0,,,,252000000.0,,,,293000000.0,,,,266000000.0,,,,1605000000.0,,,,1391000000.0,,,,1828000000.0,,,,2195000000.0,,,
DeferredTaxAssetsNet / USD,,,1156000000.0,,,,1396000000.0,,,,1611000000.0,,,,1976000000.0,,,,1566000000.0,,,,1811000000.0,,,,1656000000.0,,,,2844000000.0,,,,2490000000.0,,,,2674000000.0,,,,2923000000.0,,,
DeferredTaxAssetsOther / USD,,,55000000.0,,,,56000000.0,,,,38000000.0,,,,37000000.0,,,,90000000.0,,,,113000000.0,,,,151000000.0,,,,163000000.0,,,,190000000.0,,,,193000000.0,,,,166000000.0,,,
