fact_unit,2016-08-02,2016-10-27,2017-02-28,2017-04-27,2017-07-27,2017-10-26,2018-02-28,2018-04-26,2018-07-26,2018-10-25,2019-02-28,2019-04-25,2019-07-25,2019-10-25,2020-02-27,2020-04-30,2020-07-28,2020-10-27,2021-02-26,2021-04-29,2021-07-29,2021-10-28,2022-03-01,2022-04-28,2022-07-28,2022-10-26,2023-02-28,2023-04-26,2023-07-26,2023-10-25,2024-02-27,2024-04-24,2024-07-24,2024-10-30,2025-02-25,2025-05-01,2025-07-30,2025-10-29
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,86900000.0,86900000.0,86700000.0,92600000.0,92600000.0,92600000.0,92600000.0,99200000.0,99200000.0,99200000.0,36000000.0,34200000.0,34200000.0,34200000.0,34200000.0,33800000.0,33800000.0,33800000.0,33800000.0,38000000.0,38000000.0,38000000.0,38000000.0,45800000.0,45800000.0,45800000.0,45800000.0,58900000.0,58900000.0,23100000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,64000000.0,84000000.0,119000000.0,114300000.0,178100000.0,219100000.0,226000000.0,126000000.0,209000000.0,314000000.0,291000000.0,123000000.0,188000000.0,270000000.0,307000000.0,154000000.0,256000000.0,319000000.0,363000000.0,-175000000.0,-288000000.0,368000000.0,439000000.0,196000000.0,-317000000.0,-408000000.0,470000000.0,-189000000.0,-317000000.0,-339000000.0
CostOfGoodsAndServicesSold / USD,1582900000.0,2360300000.0,3288000000.0,779500000.0,1566500000.0,2361000000.0,3178800000.0,791200000.0,1614900000.0,2460800000.0,2692700000.0,725900000.0,1496900000.0,2272200000.0,2834700000.0,780200000.0,1740900000.0,2673200000.0,1614200000.0,496100000.0,954900000.0,1463100000.0,2080700000.0,547300000.0,1111500000.0,1666800000.0,2025900000.0,584500000.0,1214300000.0,1824900000.0,2247600000.0,612500000.0,1233500000.0,1835000000.0,2462300000.0,620300000.0,1244400000.0,1084500000.0
CurrentFederalTaxExpenseBenefit / USD,,,243800000.0,,,,310800000.0,,,,197200000.0,,,,170000000.0,,,,25000000.0,,,,23400000.0,,,,59400000.0,,,,21500000.0,,,,75400000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,134400000.0,,,,54300000.0,,,,59500000.0,,,,69800000.0,,,,79900000.0,,,,48700000.0,,,,74300000.0,,,,75000000.0,,,,85300000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,28400000.0,,,,32800000.0,,,,29700000.0,,,,10500000.0,,,,-3400000.0,,,,5000000.0,,,,19400000.0,,,,7800000.0,,,,19700000.0,,,
DebtInstrumentCarryingAmount / USD,,3526900000.0,3000000000.0,,,,3122400000.0,,,,2781000000.0,,,,5264600000.0,,,,4287500000.0,,,,3606500000.0,,,,3971500000.0,3259200000.0,3259200000.0,3259200000.0,3259200000.0,3656900000.0,3656900000.0,3656900000.0,3656900000.0,3718800000.0,3718800000.0,
DebtInstrumentPeriodicPaymentInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92000000.0,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,21400000.0,21000000.0,20100000.0,20100000.0,20100000.0,20100000.0,20100000.0,18200000.0,18200000.0,18200000.0,18000000.0,17000000.0,17000000.0,17000000.0,17000000.0,102000000.0,102000000.0,102000000.0,102000000.0,57000000.0,57000000.0,57000000.0,57000000.0,13000000.0,13000000.0,13000000.0,12500000.0,7900000.0,7900000.0,7900000.0,7900000.0,10700000.0,10700000.0,10700000.0,10700000.0,11500000.0,11500000.0,11500000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000.0,,,
