fact_unit,2013-05-08,2013-07-30,2013-10-31,2014-02-21,2014-05-01,2014-07-31,2014-10-31,2015-02-27,2015-05-08,2015-08-07,2015-11-04,2016-02-29,2016-05-10,2016-08-09,2016-11-09,2017-02-27,2017-05-10,2017-08-09,2017-11-09,2018-02-27,2018-05-07,2018-08-09,2018-11-09,2019-02-27,2019-05-10,2019-08-08,2019-11-08,2020-02-27,2020-05-05,2020-05-15,2020-07-08,2020-08-10,2020-11-09,2021-02-26,2021-05-10,2021-08-09,2021-11-09,2022-02-08,2022-03-01,2022-05-10,2022-08-09,2022-11-08,2023-02-28,2023-05-05,2023-08-08,2023-11-08,2024-02-28,2024-05-07,2024-08-08,2024-11-07,2025-02-27,2025-05-05,2025-08-04,2025-11-04
CommonStockSharesOutstanding / shares,21000000.0,21000000.0,21000000.0,21000000.0,205160340.0,,,205160340.0,,227630430.0,227630430.0,227630430.0,227815301.0,227815301.0,227815301.0,227815301.0,227243976.0,227243976.0,227243976.0,227243976.0,228528562.0,228528562.0,228528562.0,228528562.0,217650644.0,217650644.0,217650644.0,217650644.0,217650644.0,213082411.0,217650644.0,213082411.0,213082411.0,213082411.0,315636032.0,315636032.0,315636032.0,,315636032.0,416891915.0,416891915.0,416891915.0,416891915.0,421413565.0,421413565.0,421413565.0,421413565.0,425546570.0,425546570.0,425546570.0,425546570.0,439861281.0,439861281.0,439861281.0
CommonStockValue / USD,25000.0,25000.0,25000.0,25000.0,205000.0,205000.0,205000.0,205000.0,230000.0,230000.0,230000.0,230000.0,232000.0,232000.0,232000.0,232000.0,232000.0,232000.0,232000.0,232000.0,233000.0,233000.0,233000.0,233000.0,235000.0,235000.0,235000.0,235000.0,235000.0,237000.0,235000.0,237000.0,237000.0,237000.0,316000.0,316000.0,316000.0,,316000.0,417000.0,417000.0,417000.0,417000.0,421000.0,421000.0,421000.0,421000.0,425000.0,425000.0,425000.0,425000.0,440000.0,440000.0,440000.0
ComprehensiveIncomeNetOfTax / USD,21966000.0,-2841000.0,163598000.0,102756000.0,-117320000.0,-135024000.0,50143000.0,170731000.0,36295000.0,156562000.0,322172000.0,102643000.0,,,,112400000.0,,,,,,,,,,354217000.0,829361000.0,1101311000.0,1101311000.0,126404000.0,1101311000.0,340225000.0,580945000.0,766230000.0,-2164731000.0,-2796612000.0,-3350095000.0,,796385000.0,-1421293000.0,-2080767000.0,-2958740000.0,-3957141000.0,-948436000.0,-1584241000.0,-2106845000.0,-4551556000.0,-187606000.0,-103456000.0,293797000.0,-2461902000.0,61368000.0,222905000.0,644483000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1400000000.0,1200000000.0,1400000000.0,1400000000.0,1400000000.0,23100000000.0,23100000000.0,23100000000.0,,23100000000.0,161800000000.0,161800000.0,161800000.0,161800000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,2200000000.0,2200000000.0,2200000000.0,2200000000.0,2200000000.0,2200000000.0,2200000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,1303498000.0,1593219000.0,1593219000.0,1593219000.0,1593219000.0,1593219000.0,1954980000.0,1593219000.0,1954980000.0,1954980000.0,1954980000.0,1109826000.0,1109826000.0,1109826000.0,,1109826000.0,1561336000.0,1561336000.0,1561336000.0,1561336000.0,2516521000.0,2516521000.0,2516521000.0,2516521000.0,3060666000.0,3060666000.0,3060666000.0,3060666000.0,3105964000.0,3105964000.0,3105964000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,800000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,900000000.0,1200000000.0,900000000.0,900000000.0,1000000000.0,900000000.0,900000000.0,900000000.0,,1200000000.0,97000000.0,120200000.0,123100000.0,900000000.0,1400000000.0,1700000000.0,1700000000.0,1700000000.0,1700000000.0,2100000000.0,2100000000.0,2100000000.0,1500000000.0,1900000000.0,1900000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486069000.0,,3663261000.0,200855000.0,450582000.0,890338000.0,1693061000.0,735413000.0,1808729000.0,3047627000.0,1608037000.0,1280418000.0,2664028000.0,4146774000.0,4267086000.0,1387423000.0,2842178000.0,4381117000.0
CostOfPropertyRepairsAndMaintenance / USD,,,,64700000.0,,,,44700000.0,,,,67100000.0,,,,69900000.0,,,,124800000.0,,,,155400000.0,,,,157200000.0,157200000.0,,157200000.0,,,199500000.0,,,,,199700000.0,,,,129900000.0,,,,199700000.0,,,,223500000.0,,,
CurrentFederalTaxExpenseBenefit / USD,,,,8098000.0,,,,8098000.0,,,,-8098000.0,,,,9162000.0,,,,-4621000.0,,,,-8736000.0,,,,1828000.0,1828000.0,,1828000.0,,,-7409000.0,,,,,-975000.0,,,,5853000.0,,,,-85000.0,,,,12706000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,1700000.0,,,,706000.0,,,,8958000.0,,,,-5884000.0,,,,5503000.0,,,,10902000.0,,,,2789000.0,2789000.0,,2789000.0,,,12780000.0,,,,,7269000.0,,,,-351000.0,,,,3349000.0,,,,-5523000.0,,,
DebtAndCapitalLeaseObligations / USD,,,,2985353000.0,,,,3127789000.0,,,,6080023000.0,,,,6397537000.0,,,,6398687000.0,,,,6307765000.0,,,,6492091000.0,6492091000.0,,6492091000.0,,,6801693000.0,,,,,11806119000.0,,,,12446590000.0,,,,13621530000.0,,,,14058925000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,2844000.0,,,,2844000.0,,,,-2844000.0,,,,-3617000.0,,,,-1269000.0,,,,3684000.0,,,,-8439000.0,-8439000.0,,-8439000.0,,,-1912000.0,,,,,25785000.0,,,,-12690000.0,,,,-1867000.0,,,,104000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,2043000.0,2968000.0,11026000.0,2844000.0,2043000.0,2968000.0,11026000.0,2844000.0,1027000.0,2786000.0,-3238000.0,2844000.0,60000.0,424000.0,858000.0,3617000.0,158000.0,388000.0,707000.0,1269000.0,1186000.0,5165000.0,16035000.0,-3684000.0,809000.0,,,7953000.0,7953000.0,,7953000.0,,,1687000.0,,,,,-26132000.0,,,,12818000.0,,,,1918000.0,,,,-1271000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,20888000.0,,,,33862000.0,,,,44398000.0,,,,30869000.0,,,,37448000.0,37448000.0,,37448000.0,,,39571000.0,,,,,41893000.0,,,,41756000.0,,,,42572000.0,,,,53172000.0,,,
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,2844000.0,,,,6187000.0,,,,1269000.0,,,,-2448000.0,,2180000.0,3998000.0,9153000.0,9153000.0,-32094000.0,9153000.0,-29793000.0,-25731000.0,1508000.0,-6120000.0,-14458000.0,-17852000.0,,-26134000.0,,,,12765000.0,,,,,,,,-155114000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,-204000.0,,,,-204000.0,,,,,,,,,,,,,,,,,,,,12497000.0,12497000.0,,12497000.0,,,12497000.0,,,,,,,,,891000.0,,,,891000.0,,,,754000.0,,,
DeferredTaxAssetsNet / USD,,,,6163000.0,,,,6163000.0,,,,14256000.0,,,,25962000.0,,,,40182000.0,,,,18741000.0,,,,23812000.0,23812000.0,,23812000.0,,,52068000.0,,,,,41625000.0,,,,41410000.0,,,,43463000.0,,,,53926000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,30945000.0,,,,28351000.0,,,,77031000.0,,,,85939000.0,,,,103191000.0,,,,58789000.0,,,,63201000.0,63201000.0,,63201000.0,,,54342000.0,,,,,77411000.0,,,,113886000.0,,,,155386000.0,,,,714095000.0,,,
DeferredTaxAssetsOther / USD,,,,535000.0,,,,2920000.0,,,,1121000.0,,,,1460000.0,,,,1564000.0,,,,2106000.0,,,,2535000.0,2535000.0,,2535000.0,,,3573000.0,,,,,7090000.0,,,,15373000.0,,,,27810000.0,,,,34596000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,113195000.0,,,,84695000.0,,,,81704000.0,,,,61437000.0,,,,64573000.0,,,,42154000.0,,,,41924000.0,41924000.0,,41924000.0,,,5847000.0,,,,,42876000.0,,,,87849000.0,,,,139733000.0,,,,694765000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,6367000.0,,,,6367000.0,,,,20888000.0,,,,33862000.0,,,,44398000.0,,,,30869000.0,,,,37448000.0,37448000.0,,37448000.0,,,39571000.0,,,,,41893000.0,,,,41756000.0,,,,42572000.0,,,,53172000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesAfterTax / USD,,,,1612000.0,,,,3320000.0,,,,1160000.0,,,,3849000.0,,,,3126000.0,,,,3008000.0,,,,3426000.0,3426000.0,,3426000.0,,,1105000.0,,,,,3413000.0,,,,3446000.0,,,,3431000.0,,,,-5080000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditAfterTax / USD,,,,-6805000.0,,,,-6427000.0,,,,-6049000.0,,,,-5671000.0,,,,-5293000.0,,,,-4915000.0,,,,-4537000.0,-4537000.0,,-4537000.0,,,-4159000.0,,,,,-3781000.0,,,,-3403000.0,,,,-3025000.0,,,,-2647000.0,,,
DefinedBenefitPlanActuarialGainLoss / USD,,,,2993000.0,,,,1721000.0,,,,-2070000.0,,,,2689000.0,,,,-625000.0,,,,-65000.0,,,,458000.0,458000.0,,458000.0,,,-2271000.0,,,,,2308000.0,,,,62000.0,,,,-8511000.0,,,,-8511000.0,,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,,,-13000.0,,,,-13000.0,,,,-90000.0,,,,-99000.0,,,,-99000.0,,,,-54000.0,,,,-40000.0,-40000.0,,-40000.0,,,-51000.0,,,,,-29000.0,,,,-29000.0,,,,-15000.0,,,,123000.0,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit / USD,,,,378000.0,,,,378000.0,,,,378000.0,,,,378000.0,,,,378000.0,,,,378000.0,,,,378000.0,378000.0,,378000.0,,,378000.0,,,,,378000.0,,,,378000.0,,,,378000.0,,,,378000.0,,,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,,,,,,,,,,,,,,,,,,,,21078000.0,,,,22605000.0,,,,24587000.0,24587000.0,,24587000.0,,,24318000.0,,,,,28695000.0,,,,31619000.0,,,,34688000.0,,,,28765000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,,,,0.055,,,,0.047,,,,0.038,,,,0.048,,,,0.038,,,,0.043,,,,0.04,0.04,,0.04,,,0.036,,,,,0.042,,,,0.032,,,,0.023,,,,0.028,,,
DefinedBenefitPlanBenefitObligation / USD,,,,9478000.0,,,,16221000.0,,,,16221000.0,,,,15570000.0,,,,19730000.0,,,,21078000.0,,,,22605000.0,22605000.0,,22605000.0,,,24587000.0,,,,,24318000.0,,,,28695000.0,,,,31619000.0,,,,34688000.0,,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,,558000.0,,,,1145000.0,,,,1350000.0,1350000.0,,1350000.0,,,1022000.0,,,,,1067000.0,,,,698000.0,,,,550000.0,,,,1082000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,,,,6169000.0,,,,4843000.0,,,,7750000.0,,,,8185000.0,,,,8691000.0,,,,9810000.0,,,,10585000.0,10585000.0,,10585000.0,,,11004000.0,,,,,12202000.0,,,,15040000.0,,,,18126000.0,,,,18434000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,,,,790000.0,,,,937000.0,,,,1128000.0,,,,1182000.0,,,,1050000.0,,,,986000.0,,,,922000.0,922000.0,,922000.0,,,918000.0,,,,,1098000.0,,,,1442000.0,,,,1467000.0,,,,1740000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,,,,944000.0,,,,902000.0,,,,1211000.0,,,,1231000.0,,,,1217000.0,,,,1333000.0,,,,1340000.0,1340000.0,,1340000.0,,,1339000.0,,,,,1536000.0,,,,2017000.0,,,,2479000.0,,,,2891000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,,,,880000.0,,,,868000.0,,,,1170000.0,,,,1154000.0,,,,1126000.0,,,,1179000.0,,,,1208000.0,1208000.0,,1208000.0,,,1224000.0,,,,,1382000.0,,,,1693000.0,,,,2129000.0,,,,2450000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,,,,816000.0,,,,876000.0,,,,1092000.0,,,,1144000.0,,,,1035000.0,,,,1076000.0,,,,1045000.0,1045000.0,,1045000.0,,,1118000.0,,,,,1311000.0,,,,1541000.0,,,,1786000.0,,,,2151000.0,,,
