fact_unit,2011-11-07,2012-02-06,2012-05-07,2012-09-13,2012-11-07,2013-02-06,2013-05-10,2013-09-11,2013-11-07,2014-02-07,2014-05-07,2014-09-15,2014-11-06,2015-02-09,2015-05-07,2015-09-10,2015-11-16,2016-02-04,2016-05-06,2016-08-26,2016-11-07,2017-02-07,2017-05-10,2019-05-17,2019-12-19,2019-12-20,2020-02-07,2020-05-11,2020-08-31,2020-11-06,2021-02-05,2021-05-07,2021-08-27,2021-11-05,2022-02-04,2022-05-06,2022-08-29,2022-11-04,2023-02-03,2023-05-05,2023-08-28,2023-11-03,2024-02-02,2024-05-06,2025-02-25,2025-05-12,2025-08-28,2025-11-07
AdvertisingExpense / USD,,,,2038000.0,,,,3670000.0,,,,4382000.0,,,,4085000.0,4085000.0,,,5183000.0,,,,2989000.0,5400000.0,,,,3500000.0,,,,2400000.0,,,,3000000.0,,,,4100000.0,,,,,,2000000.0,
AllocatedShareBasedCompensationExpense / USD,,,,6457000.0,2330000.0,4837000.0,7430000.0,8056000.0,2903000.0,5812000.0,8662000.0,10252000.0,2589000.0,5377000.0,8183000.0,11361000.0,11361000.0,6161000.0,9727000.0,11062000.0,3876000.0,7882000.0,11768000.0,14436000.0,19665000.0,5874000.0,11121000.0,16081000.0,24656000.0,5054000.0,10018000.0,14823000.0,21184000.0,7170000.0,13623000.0,21117000.0,20189000.0,7015000.0,16191000.0,23932000.0,28549000.0,11014000.0,27995000.0,41647000.0,32816000.0,156547000.0,54433000.0,64014000.0
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,5405000.0,2099000.0,4299000.0,6098000.0,6644000.0,2675000.0,5403000.0,8213000.0,8670000.0,2301000.0,4708000.0,6037000.0,10813000.0,10813000.0,4769000.0,6980000.0,8636000.0,3591000.0,5783000.0,8478000.0,10189000.0,13719000.0,4632000.0,8797000.0,12742000.0,17754000.0,3911000.0,7735000.0,9681000.0,16835000.0,5215000.0,9936000.0,15037000.0,13375000.0,5127000.0,11993000.0,15855000.0,19975000.0,9675000.0,23275000.0,33482000.0,20596000.0,83906000.0,36327000.0,48141000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,2591000.0,,1753000000.0,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,1062000.0,1062000.0,1062000.0,1062000.0,1106000.0,1106000.0,1106000.0,1106000.0,1966000.0,1966000.0,1966000.0,1966000.0,1922000.0,1922000.0,1922000.0,1922000.0,1922000.0,1628000.0,1628000.0,1628000.0,2721000.0,2721000.0,2721000.0,2413000.0,1945000.0,8906000.0,8906000.0,8906000.0,8906000.0,4586000.0,4586000.0,4586000.0,4586000.0,,,,2591000.0,,,,1753000.0,82000.0,82000.0,82000.0,82000.0,73000.0,73000.0,0.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1921000.0
Assets / USD,464620000.0,464620000.0,464620000.0,464620000.0,589103000.0,589103000.0,589103000.0,589103000.0,632257000.0,632257000.0,632257000.0,632257000.0,796325000.0,796325000.0,796325000.0,796325000.0,796325000.0,1089809000.0,1089809000.0,1089809000.0,1165600000.0,1165600000.0,1165600000.0,1191483000.0,1769505000.0,1682594000.0,1682594000.0,1682594000.0,1682594000.0,1918646000.0,1918646000.0,1918646000.0,1918646000.0,2241964000.0,2241964000.0,2241964000.0,2241964000.0,3205077000.0,3205077000.0,3205077000.0,3205077000.0,3674729000.0,3674729000.0,3674729000.0,3674729000.0,9826092000.0,9826092000.0,14018429000.0
AssetsCurrent / USD,369622000.0,369622000.0,369622000.0,369622000.0,481912000.0,481912000.0,481912000.0,481912000.0,523192000.0,523192000.0,523192000.0,523192000.0,654081000.0,654081000.0,654081000.0,654081000.0,654081000.0,914415000.0,914415000.0,914415000.0,938002000.0,938002000.0,938002000.0,954328000.0,1530878000.0,1421771000.0,1421771000.0,1421771000.0,1421771000.0,1592761000.0,1592761000.0,1592761000.0,1592761000.0,1867259000.0,1867259000.0,1867259000.0,1867259000.0,2806315000.0,2806315000.0,2806315000.0,2806315000.0,3179426000.0,3179426000.0,3179426000.0,3179426000.0,8931960000.0,8931960000.0,12301654000.0
CapitalExpendituresIncurredButNotYetPaid / USD,568000.0,971000.0,822000.0,491000.0,1824000.0,2114000.0,874000.0,1482000.0,1166000.0,1080000.0,180000.0,797000.0,1836000.0,2891000.0,2055000.0,1871000.0,1871000.0,7874000.0,12511000.0,2021000.0,5735000.0,5366000.0,7316000.0,7062000.0,5056000.0,5823000.0,5015000.0,9039000.0,2285000.0,6413000.0,9222000.0,12609000.0,9232000.0,6661000.0,11596000.0,7662000.0,12051000.0,13063000.0,11140000.0,7464000.0,9003000.0,6599000.0,3333000.0,2885000.0,7825000.0,9345000.0,2181000.0,21190000.0
CashAndCashEquivalentsAtCarryingValue / USD,72644000.0,72644000.0,72644000.0,70295000.0,69943000.0,69943000.0,69943000.0,72644000.0,80826000.0,80826000.0,80826000.0,69943000.0,93038000.0,93038000.0,93038000.0,80826000.0,80826000.0,96872000.0,96872000.0,93038000.0,95442000.0,95442000.0,95442000.0,95482000.0,115377000.0,248164000.0,248164000.0,248164000.0,248164000.0,210533000.0,210533000.0,210533000.0,210533000.0,232266000.0,232266000.0,232266000.0,232266000.0,267397000.0,267397000.0,267397000.0,267397000.0,440459000.0,440459000.0,440459000.0,440459000.0,1669766000.0,1669766000.0,5169911000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,180671000.0,120382000.0,120382000.0,120382000.0,112797000.0,262140000.0,262140000.0,262140000.0,120382000.0,212390000.0,212390000.0,212390000.0,262140000.0,233449000.0,233449000.0,233449000.0,212390000.0,268559000.0,268559000.0,268559000.0,233449000.0,440960000.0,268559000.0,1670273000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,-67874000.0,-3234000.0,2371000.0,68888000.0,7585000.0,-9518000.0,61913000.0,57124000.0,141758000.0,89562000.0,105094000.0,-33318000.0,-49750000.0,37778000.0,15136000.0,15146000.0,21059000.0,-29813000.0,36529000.0,94741000.0,35110000.0,1675022000.0,172401000.0,418958000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,40727562.0,40727562.0,40727562.0,40727562.0,42034416.0,42034416.0,42034416.0,42034416.0,42744500.0,42744500.0,42744500.0,42744500.0,45739936.0,45739936.0,45739936.0,45739936.0,45739936.0,47873744.0,47873744.0,47873744.0,48999717.0,48999717.0,48999717.0,48999717.0,50273527000.0,51289413.0,51289413.0,51289413.0,51289413.0,53741828.0,53741828.0,53741828.0,53741828.0,50582078.0,50582000.0,50582000.0,50582000.0,52311000.0,52311000.0,52311000.0,52311000.0,52901000.0,52901000.0,52901000.0,529014000.0,588087000.0,588087000.0,594137000.0
CommonStockSharesOutstanding / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,49956288.0,49956288.0,52408703.0,52408703.0,52408703.0,52408703.0,50582078.0,50582000.0,50582000.0,50582000.0,52311000.0,52311000.0,52311000.0,52311000.0,52901000.0,52901000.0,52901000.0,529014000.0,588087000.0,588087000.0,594137000.0
CommonStocksIncludingAdditionalPaidInCapital / USD,,,,,,,,143806000.0,157712000.0,157712000.0,157712000.0,157712000.0,199062000.0,199062000.0,199062000.0,199062000.0,199062000.0,247081000.0,247081000.0,247081000.0,277339000.0,277339000.0,277339000.0,279465000.0,331550000.0,349683000.0,349683000.0,349683000.0,349683000.0,389972000.0,389972000.0,389972000.0,389972000.0,438012000.0,438012000.0,438012000.0,438012000.0,481741000.0,481741000.0,481741000.0,481741000.0,538352000.0,538352000.0,538352000.0,538352000.0,2830820000.0,2830820000.0,2866449000.0
ComprehensiveIncomeNetOfTax / USD,,,29482000.0,27512000.0,8587000.0,17361000.0,24438000.0,,903000.0,5837000.0,12868000.0,29981000.0,7703000.0,21033000.0,37603000.0,21286000.0,21286000.0,52089000.0,75150000.0,54163000.0,13681000.0,48372000.0,65038000.0,92538000.0,66862000.0,19111000.0,37325000.0,48031000.0,46407000.0,26205000.0,49996000.0,65772000.0,71673000.0,26848000.0,54823000.0,73217000.0,84236000.0,25433000.0,67465000.0,144442000.0,112470000.0,184019000.0,360284000.0,446201000.0,285621000.0,855332000.0,639726000.0,424421000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,143500000.0,203400000.0,,,,203800000.0,203800000.0,203800000.0,203800000.0,202300000.0,202300000.0,202300000.0,202300000.0,233800000.0,233800000.0,233800000.0,233800000.0,304400000.0,304400000.0,304400000.0,233800000.0,304400000.0,304400000.0,416400000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,70036000.0,94153000.0,94153000.0,94153000.0,94153000.0,106157000.0,106157000.0,106157000.0,106157000.0,101479000.0,101479000.0,101479000.0,101479000.0,111313000.0,111313000.0,111313000.0,111313000.0,134667000.0,134667000.0,134667000.0,134667000.0,193052000.0,193052000.0,368737000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,97721000.0,109266000.0,109266000.0,109266000.0,109266000.0,97612000.0,97612000.0,97612000.0,97612000.0,100838000.0,100838000.0,100838000.0,100838000.0,122548000.0,122548000.0,122548000.0,122548000.0,169781000.0,169781000.0,169781000.0,169781000.0,223324000.0,223324000.0,362645000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,11800000.0,25500000.0,48700000.0,71600000.0,91900000.0,28600000.0,55400000.0,79600000.0,101600000.0,30000000.0,56700000.0,79700000.0,100200000.0,33500000.0,61000000.0,86200000.0,109000000.0,43700000.0,75200000.0,104100000.0,109000000.0,104100000.0,130700000.0,68200000.0
ConvertibleLongTermNotesPayable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1697716000.0,1697716000.0,4645178000.0
ConvertibleNotesPayable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CostOfRevenue / USD,174141000.0,374775000.0,571207000.0,606446000.0,208259000.0,415560000.0,615009000.0,791478000.0,235692000.0,487057000.0,726198000.0,848457000.0,262224000.0,563494000.0,879985000.0,1002508000.0,1002508000.0,792691000.0,1187096000.0,1241657000.0,447403000.0,980005000.0,1433574000.0,1647769000.0,2134971000.0,847879000.0,1651466000.0,2282638000.0,2930498000.0,668875000.0,1401414000.0,2040462000.0,3004838000.0,632335000.0,1326546000.0,2099410000.0,2813071000.0,894591000.0,1903267000.0,3047982000.0,3022884000.0,1504595000.0,2970368000.0,4027305000.0,4396098000.0,8119281000.0,5840470000.0,5161676000.0
CurrentFederalTaxExpenseBenefit / USD,,,,15460000.0,,,,16240000.0,,,,17210000.0,,,,7904000.0,7904000.0,,,20102000.0,,,,33765000.0,26033000.0,,,,11090000.0,,,,12308000.0,,,,4568000.0,,,,3406000.0,,,,34711000.0,,149217000.0,
CurrentForeignTaxExpenseBenefit / USD,,,,474000.0,,,,816000.0,,,,1206000.0,,,,3806000.0,3806000.0,,,5252000.0,,,,10953000.0,4001000.0,,,,12984000.0,,,,16531000.0,,,,10399000.0,,,,10843000.0,,,,20495000.0,,31063000.0,
CurrentIncomeTaxExpenseBenefit / USD,,,,17957000.0,,,,17369000.0,,,,19233000.0,,,,12394000.0,12394000.0,,,25978000.0,,,,44085000.0,30729000.0,,,,24889000.0,,,,31756000.0,,,,16694000.0,,,,15326000.0,,,,59533000.0,,203376000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,2023000.0,,,,313000.0,,,,817000.0,,,,684000.0,684000.0,,,624000.0,,,,-633000.0,695000.0,,,,815000.0,,,,2917000.0,,,,1727000.0,,,,1077000.0,,,,4327000.0,,23096000.0,
CustomerRefundLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42455000.0,42370000.0,32858000.0
DebtLongtermAndShorttermCombinedAmount / USD,,,,,,,,,35171000.0,35171000.0,35171000.0,35171000.0,46287000.0,46287000.0,46287000.0,46287000.0,46287000.0,94412000.0,94412000.0,94412000.0,93589000.0,93589000.0,93589000.0,93589000.0,,,,,23647000.0,29401000.0,29401000.0,29401000.0,29401000.0,98190000.0,98190000.0,98190000.0,98190000.0,596764000.0,596764000.0,596764000.0,596764000.0,290302000.0,290302000.0,290302000.0,290302000.0,476429000.0,476429000.0,112475000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,3400000.0,4800000.0,3200000.0,5500000.0,1200000.0,1200000.0,1200000.0,1200000.0,1000000.0,1000000.0,1000000.0,1000000.0,1400000.0,3000000.0,3000000.0,3000000.0,3000000.0,3200000.0,3200000.0,3200000.0,3200000.0,3700000.0,4100000.0,5500000.0
DeferredCosts / USD,,,,,,,,,,,,,,,,1490000.0,1490000.0,,,1490000.0,3498000.0,3498000.0,3498000.0,3497000.0,3583000.0,3572000.0,3572000.0,3572000.0,3572000.0,4632000.0,4632000.0,4632000.0,4632000.0,5421000.0,5421000.0,5421000.0,5421000.0,6316000.0,6316000.0,6316000.0,,,,,,,11035000.0,10713000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-3044000.0,,,,304000.0,,,,-2862000.0,,,,-5984000.0,-5984000.0,,,122000.0,,,,-5492000.0,-6782000.0,,,,14304000.0,,,,-13078000.0,,,,-10108000.0,,,,-5489000.0,,,,-4030000.0,,-80975000.0,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,0.0,,,,0.0,0.0,,,-191000.0,,,,-917000.0,134000.0,,,,-1015000.0,,,,-906000.0,,,,-2043000.0,,,,-2492000.0,,,,-2370000.0,,-2102000.0,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,33678000.0,25583000.0,41126000.0,41126000.0,41126000.0,41126000.0,54898000.0,54898000.0,54898000.0,54898000.0,63288000.0,63288000.0,63288000.0,63288000.0,69929000.0,69929000.0,69929000.0,69929000.0,162654000.0,162654000.0,162654000.0,162654000.0,365172000.0,365172000.0,607416000.0
DeferredIncomeTaxExpenseBenefit / USD,2745000.0,3327000.0,2359000.0,-4407000.0,-170000.0,-421000.0,-2082000.0,491000.0,,,,-3735000.0,,,,-7077000.0,-7077000.0,,,-541000.0,,,,-4003000.0,-6295000.0,,,,13554000.0,,,,-16872000.0,,,,-13772000.0,,,,-8390000.0,,,,-6657000.0,,-92710000.0,
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,1539000.0,-2870000.0,-3982000.0,-6205000.0,-3137000.0,91000.0,242000.0,-3847000.0,-7010000.0,-7010000.0,121000.0,-4197000.0,65000.0,-2221000.0,-4380000.0,-2657000.0,-3576000.0,-5434000.0,-4275000.0,-7979000.0,-9751000.0,13570000.0,-585000.0,-889000.0,-4436000.0,-17100000.0,-224000.0,-883000.0,-2726000.0,-13772000.0,19000.0,1451000.0,-3230000.0,-8390000.0,-19226000.0,-25812000.0,-78629000.0,-6817000.0,-144485000.0,-92969000.0,-46552000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-1363000.0,,,,187000.0,,,,-873000.0,,,,-1093000.0,-1093000.0,,,-472000.0,,,,2406000.0,353000.0,,,,265000.0,,,,-2888000.0,,,,-1621000.0,,,,-409000.0,,,,-257000.0,,-9633000.0,
DeferredTaxAssetsDeferredIncome / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32376000.0,,35815000.0,
DeferredTaxAssetsGross / USD,,,,15044000.0,,,,18427000.0,,,,23323000.0,,,,23640000.0,23640000.0,,,22988000.0,,,,36726000.0,47368000.0,,,,67499000.0,,,,87829000.0,,,,100169000.0,,,,113772000.0,,,,208593000.0,,438762000.0,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,10000.0,16281000.0,,,,20858000.0,,,,24304000.0,,,,30540000.0,,,,33080000.0,,,,34722000.0,,56707000.0,
DeferredTaxAssetsInventory / USD,,,,5508000.0,,,,7990000.0,,,,10313000.0,,,,9472000.0,9472000.0,,,10158000.0,,,,12329000.0,7354000.0,,,,11856000.0,,,,13946000.0,,,,13831000.0,,,,16792000.0,,,,23022000.0,,33255000.0,
DeferredTaxAssetsLiabilitiesNet / USD,,,,13060000.0,,,,16091000.0,,,,23061000.0,,,,22996000.0,22996000.0,,,22360000.0,,,,33678000.0,25583000.0,,,,41126000.0,,,,54898000.0,,,,63288000.0,,,,69929000.0,,,,162654000.0,,365172000.0,
DeferredTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171914000.0,,378921000.0,
DeferredTaxAssetsOther / USD,,,,3138000.0,,,,2656000.0,,,,4216000.0,,,,1501000.0,1501000.0,,,1003000.0,,,,2821000.0,3644000.0,,,,3276000.0,,,,3652000.0,,,,4460000.0,,,,5169000.0,,,,5978000.0,,4910000.0,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,2488000.0,,,,3122000.0,,,,3889000.0,,,,4114000.0,4114000.0,,,4800000.0,,,,5610000.0,5119000.0,,,,6080000.0,,,,4075000.0,,,,3868000.0,,,,3762000.0,,,,4589000.0,,16389000.0,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283000.0,,,,1917000.0,,,,1668000.0,,,,1183000.0,,,,910000.0,,2597000.0,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves / USD,,,,1730000.0,,,,1971000.0,,,,2204000.0,,,,2459000.0,2459000.0,,,2493000.0,,,,2213000.0,1669000.0,,,,1948000.0,,,,2051000.0,,,,2154000.0,,,,2134000.0,,,,3038000.0,,3737000.0,
DeferredTaxAssetsValuationAllowance / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,16281000.0,,,,20967000.0,,,,24891000.0,,,,29913000.0,,,,33665000.0,,,,36679000.0,,59841000.0,
DeferredTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9260000.0,,13749000.0,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3612000.0,,,,2831000.0,,,,3919000.0,,,,3044000.0,,7005000.0,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6216000.0,,6744000.0,
DepositAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4508000.0,4980000.0
DepreciationDepletionAndAmortization / USD,1282000.0,2604000.0,3990000.0,4619000.0,1535000.0,3147000.0,5114000.0,5453000.0,1955000.0,3974000.0,5900000.0,7071000.0,1393000.0,2920000.0,4590000.0,7835000.0,7835000.0,3845000.0,5930000.0,6364000.0,2753000.0,5953000.0,9538000.0,8094000.0,16357000.0,5946000.0,12109000.0,18185000.0,21846000.0,6826000.0,13889000.0,20972000.0,24202000.0,7517000.0,14427000.0,21304000.0,28472000.0,7548000.0,15681000.0,24049000.0,28185000.0,8547000.0,17196000.0,25932000.0,24800000.0,21900000.0,26900000.0,9000000.0
EarningsPerShareBasic / USD/shares,0.19,0.49,0.77,0.73,0.21,0.42,0.59,1.04,0.02,0.14,0.31,0.72,0.18,0.49,0.87,0.5,0.5,1.14,1.63,1.24,0.29,1.02,1.36,1.99,1.38,0.39,0.75,0.97,0.94,0.52,1.0,1.3,1.44,0.51,1.05,1.41,1.65,0.5,1.32,2.82,2.19,3.51,6.84,8.42,0.55,1.57,1.21,0.72
EarningsPerShareDiluted / USD/shares,0.17,0.45,0.69,0.65,0.19,0.39,0.55,0.93,0.02,0.13,0.29,0.67,0.17,0.47,0.82,0.48,0.48,1.03,1.47,1.16,0.27,0.94,1.26,1.85,1.29,0.37,0.73,0.94,0.89,0.51,0.97,1.26,1.39,0.49,1.0,1.35,1.6,0.48,1.27,2.7,2.09,3.35,6.51,8.0,0.53,1.45,1.14,0.67
