fact_unit,2021-06-09,2021-08-27,2021-12-03,2022-03-10,2022-05-27,2022-08-26,2022-12-02,2023-03-09,2023-05-26,2023-08-25,2023-12-01,2024-03-13,2024-05-31,2024-08-30,2024-12-04,2025-03-12,2025-05-30,2025-08-29,2025-12-03
CapitalExpendituresIncurredButNotYetPaid / USD,,,,23015000.0,,,,10100000.0,,,,20700000.0,,,,63200000.0,,,
Cash / USD,,,,633822000.0,,,,435900000.0,,,,760300000.0,,,,948200000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,748467000.0,748467000.0,748467000.0,748467000.0,613500000.0,613500000.0,613500000.0,613500000.0,911000000.0,911000000.0,911000000.0,911000000.0,950800000.0,950800000.0,950800000.0,950800000.0,948300000.0,948300000.0,948300000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,647604000.0,647604000.0,647604000.0,582410000.0,748500000.0,748500000.0,748500000.0,647600000.0,613500000.0,613500000.0,613500000.0,748500000.0,911000000.0,911000000.0,911000000.0,613500000.0,950800000.0,950800000.0,950800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,19944000.0,183930000.0,184437000.0,65194000.0,-226000000.0,-188900000.0,-225000000.0,100900000.0,-148500000.0,3600000.0,109900000.0,-135000000.0,117300000.0,-487600000.0,-185400000.0,297500000.0,-103100000.0,-142100000.0,-82700000.0
CashEquivalentsAtCarryingValue / USD,,,,114600000.0,,,,177600000.0,,,,150700000.0,,,,2600000.0,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1 / USD/shares,,,,,,,,,,,,,,,,87.77,87.77,87.77,87.77
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights / shares,,,,9000000.0,,,,,,,,,,,,4200000.0,4200000.0,4200000.0,4200000.0
CommonStockDividendsPerShareCashPaid / USD/shares,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06
CommonStockDividendsPerShareDeclared / USD/shares,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06,0.24,0.06,0.06,0.06
CommonStockParOrStatedValuePerShare / USD/shares,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
CommonStockSharesAuthorized / shares,,,,1250000000.0,,,,1250000000.0,,,,1300000000.0,,,,1300000000.0,,,
CommonStockSharesIssued / shares,,,,675402000.0,,,,846700000.0,,,,856100000.0,,,,865500000.0,,,
CommonStockSharesOutstanding / shares,,,,675402000.0,,,,846700000.0,,,,856100000.0,,,,865500000.0,,,
CommonStockValue / USD,1350000.0,1350000.0,1350000.0,1350000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0,1700000.0
ComprehensiveIncomeNetOfTax / USD,-112165000.0,-270476000.0,-293834000.0,1584391000.0,-88200000.0,-364600000.0,-427200000.0,-277300000.0,-165700000.0,-161400000.0,-148900000.0,-421000000.0,-169800000.0,-377400000.0,-542100000.0,-163500000.0,-216300000.0,-410400000.0,-1086600000.0
CostOfGoodsAndServicesSold / USD,366739000.0,734780000.0,1103863000.0,1342220000.0,414100000.0,1118200000.0,1741600000.0,1480600000.0,696000000.0,1426900000.0,2186900000.0,2398200000.0,764500000.0,1584300000.0,2451700000.0,2932100000.0,633100000.0,1318400000.0,2485100000.0
CostsAndExpenses / USD,422898000.0,933421000.0,1323871000.0,1600299000.0,500500000.0,1139000000.0,1760200000.0,1746700000.0,681100000.0,1428000000.0,2099500000.0,2411900000.0,739600000.0,1466400000.0,2163900000.0,2749500000.0,680100000.0,1368100000.0,2420300000.0
CurrentFederalTaxExpenseBenefit / USD,,,,5223000.0,,,,3200000.0,,,,0.0,,,,57800000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,-4137000.0,,,,-12000000.0,,,,30700000.0,,,,137100000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,-851000.0,,,,-5400000.0,,,,31400000.0,,,,198200000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,-1937000.0,,,,3400000.0,,,,700000.0,,,,3300000.0,,,
DebtInstrumentCarryingAmount / USD,1200000000.0,1200000000.0,1200000000.0,1200000000.0,4588000000.0,4588000000.0,4588000000.0,4588000000.0,4522400000.0,4522400000.0,4522400000.0,4522400000.0,4199900000.0,4199900000.0,4199900000.0,4199900000.0,4090500000.0,4090500000.0,4090500000.0
DebtWeightedAverageInterestRate / pure,,,,,,0.01485,0.01485,0.01485,0.04448,0.04448,0.04448,0.04448,0.0683,0.0683,0.0683,0.0683,0.05785,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-125892000.0,,,,-14400000.0,,,,-83400000.0,,,,-118800000.0,,,
DeferredFinanceCostsNet / USD,7189000.0,7189000.0,7189000.0,7189000.0,40000000.0,40000000.0,40000000.0,40000000.0,30300000.0,30300000.0,30300000.0,30300000.0,34000000.0,34000000.0,34000000.0,34000000.0,26700000.0,26700000.0,26700000.0
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-649884000.0,,,,-26000000.0,,,,-1300000.0,,,,186700000.0,,,
DeferredIncomeTaxAssetsNet / USD,672424000.0,672424000.0,672424000.0,672424000.0,493500000.0,493500000.0,493500000.0,493500000.0,465900000.0,465900000.0,465900000.0,465900000.0,311900000.0,311900000.0,311900000.0,311900000.0,401200000.0,401200000.0,401200000.0
DeferredIncomeTaxExpenseBenefit / USD,2372000.0,-444000.0,415000.0,-785158000.0,-22600000.0,-51600000.0,-67600000.0,-39500000.0,165000000.0,178400000.0,53600000.0,-93900000.0,-139100000.0,-226700000.0,-283700000.0,50400000.0,-22200000.0,-58300000.0,-106200000.0
DeferredIncomeTaxLiabilities / USD,,,,124437000.0,,,,519300000.0,,,,732300000.0,,,,523600000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,22359000.0,22359000.0,22359000.0,22359000.0,34500000.0,34500000.0,34500000.0,34500000.0,64200000.0,64200000.0,64200000.0,64200000.0,58700000.0,58700000.0,58700000.0,58700000.0,33800000.0,33800000.0,33800000.0
DeferredRevenueCurrent / USD,16146000.0,16146000.0,16146000.0,16146000.0,39000000.0,39000000.0,39000000.0,39000000.0,45200000.0,45200000.0,,45200000.0,43200000.0,43200000.0,43200000.0,43200000.0,22100000.0,22100000.0,22100000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-9382000.0,,,,900000.0,,,,-9200000.0,,,,-17500000.0,,,
DeferredTaxAssetsGross / USD,,,,1523970000.0,,,,1981700000.0,,,,2095700000.0,,,,1875800000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,650065000.0,213600000.0,213600000.0,213600000.0,459000000.0,213600000.0,213600000.0,213600000.0,401700000.0,,,,253200000.0,,,
DeferredTaxAssetsNet / USD,,,,774502000.0,,,,978300000.0,,,,1134000000.0,,,,776800000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,78253000.0,,,,281400000.0,,,,124900000.0,,,,107900000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,65200000.0,,,,86400000.0,,,
