fact_unit,2018-06-14,2018-09-13,2018-12-21,2019-03-15,2019-06-14,2019-09-13,2019-12-20,2020-03-13,2020-06-12,2020-06-26,2020-09-11,2020-12-18,2021-03-12,2021-06-11,2021-09-09,2021-12-17,2022-03-10,2022-06-09,2022-09-08,2022-12-16,2023-03-08,2023-06-07,2023-09-06,2023-12-14,2024-03-14,2024-06-13,2024-09-11,2024-12-20,2025-03-12,2025-06-11,2025-09-10
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,5055000000.0,12163000000.0,12163000000.0,12163000000.0,7618000000.0,12416000000.0,12416000000.0,12416000000.0,12163000000.0,14189000000.0,14189000000.0,14189000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,8107000000.0,801000000.0,1036000000.0,8107000000.0,1170000000.0,-6912000000.0,1389000000.0,4152000000.0,3802000000.0,763000000.0,1934000000.0,1900000000.0,3487000000.0,2563000000.0,-1944000000.0,-3158000000.0,-2186000000.0,4545000000.0,231000000.0,-863000000.0,-361000000.0,253000000.0,-2325000000.0,-4380000000.0,-4237000000.0
CommercialPaper / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
CommonStockDividendsPerShareCashPaid / USD/shares,2.04,3.06,1.94,1.75,3.5,5.25,4.08,2.65,5.3,4.08,7.95,7.0,3.25,6.5,9.75,10.6,3.6,7.2,10.8,13.0,4.1,8.2,12.3,14.4,4.6,9.2,1.38,1.64,0.525,1.05,1.575
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,2900000000.0,29000000000.0,2900000000.0,29000000000.0,29000000000.0,29000000000.0
CommonStockSharesIssued / shares,408732155.0,408732155.0,408732155.0,407637618.0,407637618.0,407637618.0,407637618.0,397560810.0,397560810.0,407637618.0,398000000.0,398000000.0,407000000.0,407000000.0,407000000.0,407000000.0,413000000.0,413000000.0,413000000.0,413000000.0,418000000.0,418000000.0,418000000.0,418000000.0,414000000.0,414000000.0,4139000000.0,4139000000.0,4686000000.0,4686000000.0,4686000000.0
CommonStockSharesOutstanding / shares,408732155.0,408732155.0,278000000.0,407637618.0,407637618.0,407637618.0,407637618.0,397560810.0,397560810.0,407637618.0,398000000.0,398000000.0,407000000.0,407000000.0,407000000.0,407000000.0,413000000.0,413000000.0,413000000.0,413000000.0,418000000.0,418000000.0,418000000.0,418000000.0,414000000.0,414000000.0,4139000000.0,4139000000.0,4686000000.0,4686000000.0,4686000000.0
CommonStockValue / USD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,4000000.0,5000000.0,5000000.0,5000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,717000000.0,1224000000.0,-1922000000.0,6575000000.0,10300000000.0,11496000000.0,1827000000.0,471000000.0,1162000000.0,1827000000.0,1877000000.0,12602000000.0,385000000.0,949000000.0,1637000000.0,2700000000.0,1379000000.0,2873000000.0,4749000000.0,2984000000.0,2473000000.0,5063000000.0,8138000000.0,6728000000.0,3648000000.0,7127000000.0,10658000000.0,11557000000.0,1325000000.0,3446000000.0,1572000000.0
ConstructionInProgressGross / USD,,,411000000.0,,,,67000000.0,,,67000000.0,,85000000.0,,,,113000000.0,,,,38000000.0,,,,63000000.0,,,,63000000.0,,,
ContractWithCustomerAssetNet / USD,,,,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,259000000.0,158000000.0,158000000.0,158000000.0,158000000.0,126000000.0,126000000.0,126000000.0,126000000.0,128000000.0,128000000.0,128000000.0,128000000.0,955000000.0,955000000.0,955000000.0,955000000.0,4402000000.0,4402000000.0,4402000000.0
ContractWithCustomerAssetNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,499000000.0,499000000.0,1916000000.0,1916000000.0,1916000000.0
ContractWithCustomerLiability / USD,,,,272000000.0,272000000.0,272000000.0,272000000.0,272000000.0,272000000.0,272000000.0,272000000.0,1808000000.0,3443000000.0,3443000000.0,3443000000.0,3443000000.0,3185000000.0,3185000000.0,3185000000.0,3185000000.0,3341000000.0,3341000000.0,3341000000.0,3341000000.0,2786000000.0,2786000000.0,2786000000.0,2786000000.0,14495000000.0,14495000000.0,14495000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,164000000.0,164000000.0,164000000.0,164000000.0,1501000000.0,1501000000.0,164000000.0,1501000000.0,1501000000.0,2620000000.0,2620000000.0,2620000000.0,2620000000.0,2619000000.0,2619000000.0,2619000000.0,2619000000.0,2931000000.0,2931000000.0,2931000000.0,2931000000.0,2487000000.0,2487000000.0,2487000000.0,2487000000.0,9395000000.0,9395000000.0,9395000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,66000000.0,66000000.0,66000000.0,,307000000.0,307000000.0,,307000000.0,307000000.0,823000000.0,823000000.0,823000000.0,823000000.0,,,,566000000.0,,,,410000000.0,299000000.0,299000000.0,299000000.0,299000000.0,5100000000.0,5100000000.0,5100000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,93000000.0,144000000.0,173000000.0,200000000.0,93000000.0,144000000.0,200000000.0,173000000.0,200000000.0,669000000.0,1059000000.0,1315000000.0,1450000000.0,1132000000.0,1853000000.0,2330000000.0,2617000000.0,1216000000.0,1974000000.0,2482000000.0,2615000000.0,1435000000.0,2287000000.0,2677000000.0,2915000000.0,1313000000.0,1965000000.0,2280000000.0
ConversionOfStockSharesIssued1 / shares,,,,,,,,,,,,,,,,,,,,12000000.0,,,,12000000.0,,,,116000000.0,,,
CostOfRevenue / USD,,,,2699000000.0,5162000000.0,7606000000.0,9127000000.0,2581000000.0,5009000000.0,9127000000.0,7490000000.0,10115000000.0,2594000000.0,5147000000.0,7652000000.0,10114000000.0,2703000000.0,5256000000.0,7837000000.0,10372000000.0,2657000000.0,5321000000.0,8104000000.0,10606000000.0,2911000000.0,5529000000.0,8241000000.0,11108000000.0,4586000000.0,9297000000.0,14013000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,112000000.0,,,112000000.0,,255000000.0,,,,-49000000.0,,,,7000000.0,,,,446000000.0,,,,174000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,165000000.0,,,,158000000.0,,,158000000.0,,171000000.0,,,,342000000.0,,,,506000000.0,,,,534000000.0,,,,762000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,224000000.0,,,,270000000.0,,,270000000.0,,464000000.0,,,,277000000.0,,,,564000000.0,,,,1026000000.0,,,,984000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,0.0,,,0.0,,38000000.0,,,,-16000000.0,,,,51000000.0,,,,46000000.0,,,,48000000.0,,,
DebtCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271000000.0,1271000000.0,1271000000.0
DebtInstrumentCarryingAmount / USD,17689000000.0,17689000000.0,17689000000.0,17609000000.0,17609000000.0,17609000000.0,17609000000.0,33059000000.0,33059000000.0,17609000000.0,33059000000.0,,41498000000.0,41498000000.0,41498000000.0,41498000000.0,41499000000.0,41499000000.0,41499000000.0,41499000000.0,41218000000.0,41218000000.0,41218000000.0,41218000000.0,40815000000.0,40815000000.0,40815000000.0,40815000000.0,69847000000.0,69847000000.0,69847000000.0
DebtInstrumentRedemptionPricePercentage / pure,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,1.01,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,141000000.0,141000000.0,141000000.0,116000000.0,116000000.0,116000000.0,116000000.0,261000000.0,261000000.0,116000000.0,261000000.0,261000000.0,504000000.0,504000000.0,504000000.0,504000000.0,1834000000.0,1834000000.0,1834000000.0,1834000000.0,1762000000.0,1762000000.0,1762000000.0,1762000000.0,1635000000.0,1635000000.0,-1635000000.0,1635000000.0,-2320000000.0,-2320000000.0,-2320000000.0
DebtLongtermAndShorttermCombinedAmount / USD,17727000000.0,17727000000.0,17609000000.0,37859000000.0,37859000000.0,37859000000.0,33059000000.0,45022000000.0,46176000000.0,33059000000.0,44498000000.0,41498000000.0,42426000000.0,41499000000.0,41499000000.0,,,,,,,,,,,,,,69847000000.0,69847000000.0,69847000000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,468000000.0,124000000.0,123000000.0,126000000.0,154000000.0,168000000.0,154000000.0,154000000.0,263000000.0,261000000.0,233000000.0,277000000.0,277000000.0,289000000.0,271000000.0,281000000.0,390000000.0,163000000.0,197000000.0,329000000.0,427000000.0,499000000.0,697000000.0,702000000.0,722000000.0,3580000000.0,3474000000.0,3466000000.0,3500000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,-1000000.0,,,-1000000.0,,-8666000000.0,,,,-497000000.0,,,,-627000000.0,,,,-876000000.0,,,,68000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,409000000.0,,,,-234000000.0,,,-234000000.0,,221000000.0,,,,-177000000.0,,,,-294000000.0,,,,-7000000.0,,,,-98000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,418000000.0,,,,-235000000.0,,,-235000000.0,,-8548000000.0,,,,-787000000.0,,,,-1082000000.0,,,,-997000000.0,,,,-45000000.0,,,
DeferredIncomeTaxLiabilities / USD,,,11310000000.0,,,,344000000.0,,,344000000.0,,2498000000.0,,,,1646000000.0,,,,1294000000.0,,,,785000000.0,,,,547000000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,0.0,,,0.0,,-103000000.0,,,,-113000000.0,,,,-161000000.0,,,,-114000000.0,,,,-15000000.0,,,
DeferredTaxAndOtherLiabilitiesNoncurrent / USD,,,,,,,,,,,,1531000000.0,,,,,,,,,,,,,99000000.0,99000000.0,99000000.0,99000000.0,4703000000.0,4703000000.0,4703000000.0
DeferredTaxAssetsDeferredIncome / USD,,,,,,,0.0,,,0.0,,316000000.0,,,,529000000.0,,,,1332000000.0,,,,645000000.0,,,,208000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,156000000.0,,,,223000000.0,,,
DeferredTaxAssetsGross / USD,,,2759000000.0,,,,1806000000.0,,,1806000000.0,,2580000000.0,,,,3024000000.0,,,,3744000000.0,,,,3135000000.0,,,,3034000000.0,,,
DeferredTaxAssetsNet / USD,,,1312000000.0,,,,459000000.0,,,459000000.0,,1017000000.0,,,,1317000000.0,,,,1962000000.0,,,,1358000000.0,,,,1245000000.0,,,
DeferredTaxAssetsOther / USD,,,70000000.0,,,,226000000.0,,,226000000.0,,313000000.0,,,,449000000.0,,,,446000000.0,,,,343000000.0,,,,329000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,180000000.0,,,,159000000.0,,,159000000.0,,218000000.0,,,,273000000.0,,,,192000000.0,,,,183000000.0,,,,190000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,1447000000.0,,,,1347000000.0,,,1347000000.0,,1563000000.0,,,,1707000000.0,,,,1782000000.0,,,,1777000000.0,,,,1789000000.0,,,
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts / USD,,,,,,,,,,,,,,,,57000000.0,,,,374000000.0,,,,322000000.0,,,,302000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,,,,,316000000.0,,,316000000.0,,2360000000.0,,,,1477000000.0,,,,847000000.0,,,,341000000.0,,,,97000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,12000000.0,,,,12000000.0,,,12000000.0,,,,,,,,,,0.0,,,,36000000.0,,,,62000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,10392000000.0,10392000000.0,11202000000.0,,,,16000000.0,,,16000000.0,,138000000.0,,,,112000000.0,,,,73000000.0,,,,86000000.0,,,,86000000.0,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,,,281000000.0,281000000.0,,,281000000.0,,281000000.0,,,,241000000.0,,,,222000000.0,,,,206000000.0,,,,187000000.0,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,,43000000.0,,,,61000000.0,,,61000000.0,,73000000.0,,,,89000000.0,,,,99000000.0,,,,94000000.0,,,,96000000.0,,,
Depreciation / USD,,334000000.0,402000000.0,126000000.0,254000000.0,383000000.0,451000000.0,143000000.0,285000000.0,451000000.0,426000000.0,515000000.0,146000000.0,293000000.0,431000000.0,569000000.0,138000000.0,271000000.0,405000000.0,570000000.0,136000000.0,271000000.0,400000000.0,539000000.0,127000000.0,256000000.0,378000000.0,529000000.0,139000000.0,288000000.0,437000000.0
DerivativeNotionalAmount / USD,,,,,,,,,,,,,,,,,,,,1300000000.0,1300000000.0,1300000000.0,1300000000.0,1300000000.0,,,,5500000000.0,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax / USD,-9000000.0,,,,,,,,,,,,,,,,,,,,,,,,58000000.0,69000000.0,-31000000.0,-12000000.0,,69000000.0,-31000000.0
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,51000000.0,51000000.0,-392000000.0,-273000000.0,51000000.0,51000000.0,-392000000.0
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod / USD,,,,,,,,,,,,,,,,,,,,,,,,,-7000000.0,-18000000.0,-361000000.0,261000000.0,,-18000000.0,-361000000.0
DisposalGroupIncludingDiscontinuedOperationConsideration / USD,,,,,,,,,,,,,,,,,,,,,,,,,3800000000.0,3800000000.0,3500000000.0,,3500000000.0,3500000000.0,3500000000.0
DisposalGroupIncludingDiscontinuedOperationRevenue / USD,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,350000000.0,680000000.0,858000000.0,858000000.0,350000000.0,680000000.0,858000000.0
DividendsCommonStockCash / USD,717000000.0,2198000000.0,716000000.0,717000000.0,717000000.0,717000000.0,1653000000.0,1067000000.0,1067000000.0,1653000000.0,1067000000.0,2921000000.0,1297000000.0,1297000000.0,1297000000.0,4235000000.0,1468000000.0,1468000000.0,1468000000.0,5235000000.0,1689000000.0,1689000000.0,1689000000.0,5913000000.0,1926000000.0,1926000000.0,1926000000.0,6733000000.0,2435000000.0,2435000000.0,2435000000.0
EarningsPerShareBasic / USD/shares,1.69,2.88,-4.75,15.2,23.97,26.53,4.18,1.17,2.91,4.18,4.7,29.33,0.78,2.0,3.52,6.77,3.2,6.67,11.06,6.62,5.82,11.98,19.39,15.7,9.03,17.4,2.54,2.74,0.29,0.75,0.34
EarningsPerShareDiluted / USD/shares,1.63,2.77,-4.86,14.62,22.99,25.74,4.02,1.12,2.77,4.02,4.47,28.44,0.74,1.91,3.36,6.43,3.05,6.34,10.54,6.33,5.59,11.53,18.7,15.0,8.8,16.95,2.47,2.65,0.28,0.73,0.33
EffectiveIncomeTaxRateContinuingOperations / Rate,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,0.075,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / Rate,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / Rate,,,,,,,,,,,,,,,,,,,,,,,,-0.228,,,,-0.191,,,
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / Rate,,,,,,,,,,,,,,,,,,,,,,,,-0.002,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings / Rate,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,0.08,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / Rate,,,,,,,,,,,,,,,,,,,,,,,,-0.046,,,,-0.03,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / Rate,,,,,,,,,,,,,,,,,,,,,,,,-0.008,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / Rate,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,0.014,,,
EmployeeRelatedLiabilitiesCurrent / USD,626000000.0,626000000.0,626000000.0,715000000.0,715000000.0,715000000.0,715000000.0,641000000.0,641000000.0,715000000.0,641000000.0,641000000.0,877000000.0,877000000.0,877000000.0,877000000.0,1066000000.0,1066000000.0,1066000000.0,1066000000.0,1202000000.0,1202000000.0,1202000000.0,1202000000.0,935000000.0,935000000.0,935000000.0,935000000.0,1971000000.0,1971000000.0,1971000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,,2479000000.0,6704000000.0,6238000000.0,6108000000.0,5641000000.0,5454000000.0,5049000000.0,5641000000.0,4534000000.0,4021000000.0,3637000000.0,3716000000.0,3334000000.0,2967000000.0,2692000000.0,3309000000.0,2993000000.0,2704000000.0,2763000000.0,7357000000.0,6878000000.0,6375000000.0,12132000000.0,13811000000.0,12900000000.0,11259000000.0,10745000000.0,27020000000.0,25057000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,181000000.0,56000000.0,89000000.0,,,,249000000.0,,,249000000.0,,195000000.0,,,,400000000.0,,,,345000000.0,,,,283000000.0,,,,255000000.0,,,
EntityCommonStockSharesOutstanding / shares,431680880.0,413446755.0,407270901.0,395845660.0,398073576.0,396670773.0,397792289.0,399791345.0,402185283.0,,404501331.0,406713118.0,408302326.0,410260560.0,411616288.0,412873968.0,408281170.0,403817700.0,405001456.0,417886140.0,416923664.0,412685405.0,412735504.0,468140569.0,463421237.0,465488374.0,4670576083.0,4687356156.0,4701948717.0,4703470979.0,4722365022.0
EntityPublicFloat / USD,,,97800000000.0,,,,122700000000.0,,,,,101800000000.0,,,,182800000000.0,,,,220100000000.0,,,,253700000000.0,,,,583100000000.0,,,
FinanceLeaseLiability / USD,,,,,,,,55000000.0,55000000.0,,67000000.0,68000000.0,,,,65000000.0,,,,59000000.0,,,,49000000.0,,,,39000000.0,,,
FinanceLeaseLiabilityCurrent / USD,,,,,,,,11000000.0,12000000.0,,15000000.0,20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,26000000.0,26000000.0,26000000.0,26000000.0,37000000.0,37000000.0,37000000.0,37000000.0,45000000.0,45000000.0,45000000.0,45000000.0,26000000.0,26000000.0,26000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,,44000000.0,43000000.0,,52000000.0,48000000.0,48000000.0,48000000.0,48000000.0,48000000.0,39000000.0,39000000.0,39000000.0,39000000.0,22000000.0,22000000.0,22000000.0,22000000.0,4000000.0,4000000.0,4000000.0,4000000.0,13000000.0,13000000.0,13000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,60000000.0,60000000.0,,72000000.0,72000000.0,,,,68000000.0,,,,60000000.0,,,,49000000.0,,,,41000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,17000000.0,21000000.0,,,,28000000.0,,,,38000000.0,,,,45000000.0,,,,26000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,12000000.0,13000000.0,,,0.0,,,,2000000.0,,,,0.0,,,,0.0,,,,2000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,13000000.0,13000000.0,,17000000.0,17000000.0,,,,2000000.0,,,,2000000.0,,,,0.0,,,,2000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,13000000.0,13000000.0,,17000000.0,17000000.0,,,,18000000.0,,,,2000000.0,,,,2000000.0,,,,3000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,13000000.0,13000000.0,,17000000.0,17000000.0,,,,18000000.0,,,,18000000.0,,,,2000000.0,,,,8000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,5000000.0,5000000.0,,5000000.0,4000000.0,,,,3000000.0,,,,1000000.0,,,,0.0,,,,2000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,,,,55000000.0,53000000.0,,65000000.0,62000000.0,,,,62000000.0,,,,55000000.0,,,,40000000.0,,,,22000000.0,,,
