fact_unit,2024-11-06,2025-02-25,2025-05-07,2025-08-06,2025-11-05
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0
CommonStockSharesIssued / shares,172075373.0,172075373.0,155318170.0,155318170.0,155318170.0
CommonStockSharesOutstanding / shares,148500074.0,148500074.0,154947813.0,154947813.0,154947813.0
CommonStockValue / USD,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
ComprehensiveIncomeNetOfTax / USD,4127000000.0,4627000000.0,1480000000.0,2930000000.0,4907000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,60000000.0,-184000000.0,50000000.0,92000000.0,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,4187000000.0,4443000000.0,1530000000.0,3022000000.0,5059000000.0
CurrentFederalTaxExpenseBenefit / USD,,255000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,448000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,694000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,-9000000.0,,,
DebtInstrumentFaceAmount / USD,12481000000.0,12425000000.0,12456000000.0,12874000000.0,12875000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,111000000.0,111000000.0,107000000.0,112000000.0,109000000.0
DeferredCompensationArrangementWithIndividualCompensationExpense / USD,,224000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,562000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-24000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,41000000.0,602000000.0,-41000000.0,-80000000.0,-95000000.0
DeferredIncomeTaxLiabilities / USD,3506000000.0,3506000000.0,3334000000.0,3334000000.0,3334000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,64000000.0,,,
DeferredTaxAssetsGross / USD,,1511000000.0,,,
DeferredTaxAssetsNet / USD,,1452000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,95000000.0,,,
DeferredTaxAssetsOther / USD,,825000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,,0.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,375000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,59000000.0,,,
DeferredTaxLiabilities / USD,,3298000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,4299000000.0,,,
DeferredTaxLiabilitiesOther / USD,,340000000.0,,,
DepreciationAmortizationAndAccretionNet / USD,316000000.0,418000000.0,111000000.0,219000000.0,329000000.0
DepreciationAndAmortization / USD,,251000000.0,,,
DerivativeGainLossOnDerivativeNet / USD,43000000.0,-103000000.0,-37000000.0,-31000000.0,16000000.0
DerivativeNotionalAmount / USD,204000000.0,204000000.0,197000000.0,197000000.0,197000000.0
DerivativesUsedInNetInvestmentHedgeTaxExpenseBenefit / USD,,12000000.0,,,
DividendsCash / USD,2292000000.0,2990000000.0,795000000.0,1553000000.0,2310000000.0
EarningsPerShareBasic / USD/shares,27.6,34.31,10.58,20.65,31.67
EarningsPerShareDiluted / USD/shares,27.36,33.97,10.48,20.47,31.37
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-5000000.0,-291000000.0,-27000000.0,-60000000.0,82000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,0.2,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,0.0,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,0.0,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,0.0,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,-87000000.0,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,-0.01,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,0.02,,,
EmployeeRelatedLiabilitiesCurrentAndNoncurrent / USD,2393000000.0,2393000000.0,2964000000.0,2964000000.0,2964000000.0
EntityCommonStockSharesOutstanding / shares,154878930.0,155253443.0,154926181.0,,
EntityPublicFloat / USD,,118000000000.0,,,
EquityMethodInvestmentDividendsOrDistributions / USD,32000000.0,50000000.0,8000000.0,26000000.0,41000000.0
EquitySecuritiesFvNi / USD,1585000000.0,1585000000.0,1950000000.0,1950000000.0,1950000000.0
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss / USD,3000000.0,6000000.0,-6000000.0,-3000000.0,3000000.0
FairValueInvestmentsEntitiesThatCalculateNetAssetValuePerShareUnfundedCommittments / USD,725000000.0,725000000.0,1215000000.0,1215000000.0,1215000000.0
FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLoss / USD,,35000000.0,-96000000.0,178000000.0,270000000.0
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3 / USD,,0.0,0.0,0.0,0.0
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3 / USD,,0.0,0.0,0.0,0.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1 / USD,3000000.0,20000000.0,-6000000.0,-3000000.0,3000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases / USD,246000000.0,197000000.0,397000000.0,471000000.0,475000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales / USD,40000000.0,76000000.0,17000000.0,354000000.0,442000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3 / USD,33000000.0,38000000.0,3000000.0,9000000.0,11000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3 / USD,14000000.0,20000000.0,3000000.0,3000000.0,7000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue / USD,300000000.0,300000000.0,337000000.0,337000000.0,337000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings / USD,,35000000.0,-96000000.0,178000000.0,270000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchases / USD,,0.0,0.0,0.0,0.0
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue / USD,,279000000.0,4431000000.0,4431000000.0,4431000000.0
FairValueOfSecuritiesReceivedAsCollateralThatHaveBeenResoldOrRepledged / USD,0.0,0.0,0.0,0.0,0.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,618000000.0,618000000.0,782000000.0,782000000.0,782000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,429000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,271000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,283000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,384000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,457000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,5000000.0,1298000000.0,,,
FiniteLivedIntangibleAssetsNet / USD,680000000.0,680000000.0,3215000000.0,3215000000.0,3215000000.0
FinitelivedIntangibleAssetsAcquired1 / USD,37000000.0,,1222000000.0,1182000000.0,4922000000.0
GainLossOnInvestments / USD,434000000.0,-35000000.0,171000000.0,333000000.0,510000000.0
GeneralAndAdministrativeExpense / USD,1506000000.0,2057000000.0,529000000.0,1063000000.0,1625000000.0
Goodwill / USD,15524000000.0,15341000000.0,25949000000.0,25949000000.0,25949000000.0
GoodwillAcquiredDuringPeriod / USD,131000000.0,184000000.0,2344000000.0,2377000000.0,9413000000.0
GoodwillImpairmentLoss / USD,0.0,0.0,,,0.0
GoodwillOtherIncreaseDecrease / USD,10000000.0,-1000000.0,5000000.0,2000000.0,-6000000.0
HeldToMaturitySecurities / USD,617000000.0,617000000.0,547000000.0,547000000.0,547000000.0
HeldToMaturitySecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,318000000.0,326000000.0,350000000.0,383000000.0,345000000.0
HeldToMaturitySecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,8000000.0,24000000.0,17000000.0,17000000.0,25000000.0
HeldToMaturitySecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,230000000.0,188000000.0,163000000.0,143000000.0,162000000.0
HeldToMaturitySecuritiesDebtMaturitiesWithinOneYearFairValue / USD,10000000.0,9000000.0,,8000000.0,
ImpairmentOfIntangibleAssetsExcludingGoodwill / USD,0.0,0.0,,,0.0
ImpairmentOfIntangibleAssetsFinitelived / USD,0.0,0.0,,,50000000.0
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill / USD,50000000.0,0.0,0.0,0.0,50000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,5228000000.0,6290000000.0,1913000000.0,3927000000.0,6192000000.0
IncomeLossFromEquityMethodInvestments / USD,304000000.0,29000000.0,48000000.0,92000000.0,119000000.0
IncomeTaxExpenseBenefit / USD,1041000000.0,1296000000.0,290000000.0,767000000.0,1341000000.0
IncomeTaxReceivable / USD,,252000000.0,,,
IncomeTaxReconciliationChangeInEnactedTaxRate / USD,,-25000000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,23000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,1360000000.0,,,
IncomeTaxReconciliationOtherReconcilingItems / USD,,53000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,115000000.0,,,
IncomeTaxesPaidNet / USD,,1067000000.0,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities / USD,-67000000.0,-151000000.0,196000000.0,96000000.0,225000000.0
IncreaseDecreaseInAccountsReceivable / USD,607000000.0,-416000000.0,73000000.0,100000000.0,410000000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,-479000000.0,-711000000.0,-1339000000.0,-948000000.0,-297000000.0
IncreaseDecreaseInOtherOperatingAssets / USD,1410000000.0,166000000.0,796000000.0,1064000000.0,561000000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,1332000000.0,-481000000.0,876000000.0,1048000000.0,488000000.0
IncreaseDecreaseInTradingSecurities / USD,-52000000.0,-196000000.0,9000000.0,40000000.0,34000000.0
IndefiniteLivedIntangibleAssetsExcludingGoodwill / USD,17578000000.0,17578000000.0,17528000000.0,17528000000.0,17528000000.0
IndefinitelivedIntangibleAssetsAcquired / USD,0.0,,0.0,0.0,3000000000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,18876000000.0,,,
IntangibleAssetsNetExcludingGoodwill / USD,18258000000.0,18258000000.0,20743000000.0,20743000000.0,20743000000.0
InterestExpenseNonoperating / USD,210000000.0,212000000.0,92000000.0,218000000.0,372000000.0
InterestPaidNet / USD,,177000000.0,,,
InvestmentIncomeInterestAndDividend / USD,314000000.0,152000000.0,141000000.0,319000000.0,555000000.0
Investments / USD,9740000000.0,9740000000.0,9769000000.0,9769000000.0,9769000000.0
LaborAndRelatedExpense / USD,4276000000.0,5681000000.0,1580000000.0,3083000000.0,4661000000.0
LeaseCost / USD,179000000.0,255000000.0,59000000.0,118000000.0,179000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,2327000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,1439000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,198000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,156000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,170000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,179000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,185000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,419000000.0,,,
Liabilities / USD,81971000000.0,81971000000.0,89260000000.0,89260000000.0,89260000000.0
LiabilitiesAndStockholdersEquity / USD,123211000000.0,123211000000.0,138615000000.0,138615000000.0,138615000000.0
LongTermDebt / USD,7918000000.0,7918000000.0,12314000000.0,12314000000.0,12314000000.0
LongTermDebtFairValue / USD,7400000000.0,7400000000.0,11700000000.0,11700000000.0,11700000000.0
MinorityInterest / USD,153000000.0,153000000.0,169000000.0,169000000.0,169000000.0
NetCashProvidedByUsedInFinancingActivities / USD,-1489000000.0,-5442000000.0,1095000000.0,454000000.0,2814000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-773000000.0,-1130000000.0,-22000000.0,141000000.0,67000000.0
NetCashProvidedByUsedInOperatingActivities / USD,2167000000.0,4956000000.0,-408000000.0,957000000.0,2338000000.0
NetIncomeLoss / USD,4127000000.0,5178000000.0,1573000000.0,3068000000.0,4699000000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,60000000.0,-184000000.0,50000000.0,92000000.0,
NoncurrentAssets / USD,16636000000.0,16636000000.0,27052000000.0,27052000000.0,27052000000.0
NonoperatingIncomeExpense / USD,538000000.0,-95000000.0,220000000.0,434000000.0,693000000.0
NumberOfOperatingSegments / Segment,1.0,1.0,1.0,1.0,1.0
OperatingExpenses / USD,8538000000.0,11488000000.0,3035000000.0,6040000000.0,9231000000.0
OperatingIncomeLoss / USD,4690000000.0,6385000000.0,1693000000.0,3493000000.0,5499000000.0
OperatingLeaseCost / USD,144000000.0,216000000.0,45000000.0,91000000.0,136000000.0
OperatingLeaseLiability / USD,1784000000.0,1784000000.0,1908000000.0,1908000000.0,1908000000.0
OperatingLeasePayments / USD,109000000.0,162000000.0,44000000.0,89000000.0,136000000.0
OperatingLeaseRightOfUseAsset / USD,1421000000.0,1421000000.0,1519000000.0,1519000000.0,1519000000.0
OperatingLeaseRightOfUseAssetAmortizationExpense / USD,108000000.0,165000000.0,32000000.0,64000000.0,96000000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,0.03,0.03,0.03,0.03,0.03
OtherAssets / USD,3848000000.0,3848000000.0,3596000000.0,3596000000.0,3596000000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,0.0,-551000000.0,-93000000.0,-138000000.0,208000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,0.0,-551000000.0,-93000000.0,-138000000.0,208000000.0
OtherFiniteLivedIntangibleAssetsGross / USD,5000000.0,,2000000.0,6000000.0,4000000.0
OtherIndefiniteLivedIntangibleAssets / USD,0.0,,0.0,0.0,0.0
OtherLiabilities / USD,4474000000.0,4375000000.0,4032000000.0,4032000000.0,4032000000.0
OtherNoncashIncome / USD,0.0,268000000.0,24000000.0,59000000.0,128000000.0
PaymentsForRepurchaseOfCommonStock / USD,1500000000.0,2332000000.0,634000000.0,1153000000.0,
PaymentsForRestructuring / USD,56000000.0,58000000.0,,,21000000.0
PaymentsOfDividends / USD,2292000000.0,2990000000.0,795000000.0,1553000000.0,
PaymentsToAcquireBusinessesGross / USD,,9200000.0,,,
PaymentsToAcquireBusinessesNetOfCashAcquired / USD,189000000.0,0.0,0.0,74000000.0,74000000.0
PaymentsToAcquireInvestments / USD,681000000.0,824000000.0,324000000.0,517000000.0,586000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,220000000.0,533000000.0,64000000.0,71000000.0,165000000.0
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital / USD,26000000.0,70000000.0,162000000.0,317000000.0,344000000.0
ProceedsFromIssuanceOfLongTermDebt / USD,1238000000.0,0.0,2979000000.0,2979000000.0,5474000000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,20000000.0,27000000.0,-15000000.0,-9000000.0,-19000000.0
ProceedsFromPaymentsToMinorityShareholders / USD,1032000000.0,618000000.0,430000000.0,955000000.0,1991000000.0
ProceedsFromSaleMaturityAndCollectionsOfInvestments / USD,270000000.0,242000000.0,210000000.0,520000000.0,646000000.0
ProceedsFromStockOptionsExercised / USD,51000000.0,11000000.0,144000000.0,163000000.0,247000000.0
ProfitLoss / USD,4187000000.0,4994000000.0,1623000000.0,3160000000.0,4851000000.0
PropertyPlantAndEquipmentGross / USD,,2551000000.0,,,
PropertyPlantAndEquipmentNet / USD,1112000000.0,1112000000.0,1103000000.0,1103000000.0,1103000000.0
RepaymentsOfLongTermDebt / USD,0.0,750000000.0,1000000000.0,1000000000.0,1000000000.0
RestrictedCash / USD,17000000.0,17000000.0,17000000.0,17000000.0,17000000.0
RestrictedStockExpense / USD,,686000000.0,,,
RestructuringCharges / USD,91000000.0,91000000.0,,0.0,0.0
RestructuringReserve / USD,58000000.0,58000000.0,,0.0,0.0
RetainedEarningsUnappropriated / USD,32343000000.0,32343000000.0,35611000000.0,35611000000.0,35611000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,13228000000.0,17873000000.0,4728000000.0,9533000000.0,14730000000.0
Revenues / USD,,11061000000.0,,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,20000000.0,115000000.0,27000000.0,110000000.0,104000000.0
SecuritiesBorrowedFairValueOfCollateral / USD,4558000000.0,4558000000.0,6059000000.0,6059000000.0,6059000000.0
SecuritiesLoanedOrSoldUnderAgreementsToRepurchaseFairValueDisclosure / USD,9300000000.0,9300000000.0,9900000000.0,9900000000.0,9900000000.0
SeparateAccountAssets / USD,56098000000.0,56098000000.0,52811000000.0,52811000000.0,52811000000.0
SeparateAccountsLiability / USD,56098000000.0,56098000000.0,52811000000.0,52811000000.0,52811000000.0
SeveranceCosts1 / USD,58000000.0,47000000.0,,27000000.0,27000000.0
ShareBasedCompensation / USD,469000000.0,708000000.0,176000000.0,355000000.0,511000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod / shares,74291.0,12365.0,6180.0,23254.0,25274.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue / USD/shares,745.32,784.44,812.93,809.88,816.37
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod / shares,864219.0,376136.0,136133.0,136902.0,168731.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue / USD/shares,801.96,824.94,999.36,999.09,991.2
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue / USD/shares,757.49,767.69,806.71,806.71,806.71
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsPeriodIncreaseDecrease / shares,,-42579.0,-71866.0,-71866.0,71866.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod / shares,760294.0,116029.0,54212.0,54212.0,54212.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue / USD/shares,760.09,739.32,832.07,832.07,832.07
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber / shares,1772639.0,456384.0,661547.0,661547.0,661547.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized / shares,,48500000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,2115960.0,1692481.0,1562089.0,1413229.0,1287788.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue / USD,222000000.0,320000000.0,228000000.0,233000000.0,214000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue / USD,753000000.0,695000000.0,511000000.0,601000000.0,687000000.0
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions / shares,509416.0,625825.0,525977.0,434811.0,327679.0
SponsorFees / USD,1549000000.0,2179000000.0,518000000.0,1057000000.0,1606000000.0
StockIssued1 / USD,554000000.0,,392000000.0,417000000.0,439000000.0
StockIssuedDuringPeriodSharesAcquisitions / shares,,,9200000.0,,
StockIssuedDuringPeriodValueAcquisitions / USD,,0.0,,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan / USD,79000000.0,38000000.0,151000000.0,176000000.0,267000000.0
StockIssuedDuringPeriodValueShareBasedCompensation / USD,,576000000.0,,,
StockOptionPlanExpense / USD,,22000000.0,,,
StockholdersEquity / USD,39347000000.0,39347000000.0,47495000000.0,47495000000.0,47495000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,37876000000.0,37806000000.0,39500000000.0,39500000000.0,39500000000.0
TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests / USD,1740000000.0,1740000000.0,1691000000.0,1691000000.0,
TierOneLeverageCapital / USD,,771000000.0,,,
TierOneLeverageCapitalRequiredForCapitalAdequacy / USD,,47000000.0,,,
TierOneLeverageCapitalRequiredForCapitalAdequacyToAverageAssets / pure,,0.04,,,
TierOneLeverageCapitalRequiredToBeWellCapitalized / USD,,59000000.0,,,
TierOneLeverageCapitalRequiredToBeWellCapitalizedToAverageAssets / pure,,0.05,,,
TierOneLeverageCapitalToAverageAssets / pure,,0.659,,,
TierOneRiskBasedCapital / USD,,771000000.0,,,
TierOneRiskBasedCapitalRequiredForCapitalAdequacy / USD,,32000000.0,,,
TierOneRiskBasedCapitalRequiredForCapitalAdequacyToRiskWeightedAssets / pure,,0.06,,,
TierOneRiskBasedCapitalRequiredToBeWellCapitalized / USD,,43000000.0,,,
TierOneRiskBasedCapitalRequiredToBeWellCapitalizedToRiskWeightedAssets / pure,,0.08,,,
TierOneRiskBasedCapitalToRiskWeightedAssets / pure,,1.451,,,
TradingSecuritiesDebt / USD,1871000000.0,1871000000.0,1823000000.0,1823000000.0,1751000000.0
TradingSecuritiesDebtAmortizedCost / USD,1911000000.0,1911000000.0,1847000000.0,1847000000.0,1757000000.0
TranslationAdjustmentForNetInvestmentHedgeIncreaseDecreaseNetOfTax / USD,5000000.0,37000000.0,13000000.0,18000000.0,-6000000.0
TreasuryStockCommonShares / shares,23575299.0,23575299.0,370357.0,370357.0,370357.0
TreasuryStockRetiredCostMethodAmount / USD,,0.0,,,
TreasuryStockRetiredParValueMethodAmount / USD,,0.0,,,
TreasuryStockValue / USD,11991000000.0,11991000000.0,386000000.0,386000000.0,386000000.0
TreasuryStockValueAcquiredCostMethod / USD,1131000000.0,1875000000.0,375000000.0,875000000.0,1250000000.0
UnrecognizedTaxBenefits / USD,,1022000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,,75000000.0,,,
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,103000000.0,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued / USD,,160000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition / USD,,0.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,,55000000.0,,,
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,,13000000.0,,,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate / USD,,497000000.0,,,
VariableLeaseCost / USD,35000000.0,39000000.0,14000000.0,27000000.0,43000000.0
WeightedAverageNumberOfDilutedSharesOutstanding / shares,150862023.0,152440471.0,150125182.0,149891535.0,149795958.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,149553652.0,150921161.0,148689172.0,148566061.0,148392684.0
