fact_unit,2009-07-29,2009-10-27,2010-02-17,2010-04-28,2010-07-23,2010-10-21,2011-01-28,2011-04-29,2011-07-22,2011-10-21,2012-01-31,2012-04-20,2012-07-19,2012-10-19,2013-02-01,2013-04-19,2013-07-19,2013-10-18,2014-01-31,2014-05-01,2014-07-18,2014-10-16,2015-02-06,2015-04-23,2015-07-21,2015-10-28,2016-02-01,2016-04-27,2016-07-21,2016-10-20,2017-02-06,2017-04-20,2017-07-21,2017-10-20,2018-02-05,2018-04-26,2018-07-19,2018-10-31,2019-01-30,2019-04-24,2019-07-18,2019-10-24,2020-01-31,2020-04-29,2020-04-30,2020-07-29,2020-10-29,2021-02-04,2021-04-29,2021-08-12,2021-10-28,2022-02-24,2022-05-05,2022-05-10,2022-08-04,2022-11-03,2023-02-23,2023-04-27,2023-05-12,2023-07-27,2023-11-08,2024-02-28,2024-05-02,2024-05-29,2024-08-01,2024-10-31,2025-02-27,2025-05-01,2025-05-09,2025-05-30,2025-07-31,2025-10-30
CommonStockSharesAuthorized / shares,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,3580000000,,3580000000,3580000000,3580000000,3580000000,,3580000000,3580000000,3580000000,3580000000,,3580000000,3580000000,3580000000,3580000000,3580000000,,3580000000,3580000000
CommonStockSharesOutstanding / shares,1282025000,1282025000,1282025000,1297799000,1297799000,1297799000,1350219000,1297710000,1297710000,1297710000,1297710000,1286000000,1286000000,1286000000,1286000000,1294000000,1294000000,1294000000,1294000000,1294000000,1294000000,1294000000,1294000000,1224000000,1224000000,1224000000,1224000000,1184000000,1184000000,1184000000,1184000000,1087000000,1087000000,1087000000,1087000000,1029000000,1029000000,1029000000,1029000000,915000000,915000000,915000000,915000000,,796000000,796000000,796000000,796000000,684000000,684000000,684000000,684000000,594000000,,594000000,594000000,594000000,539000000,,539000000,539000000,539000000,517000000,,517000000,517000000,517000000,471000000,471000000,,471000000,471000000
CommonStockValue / USD,1470000,1470000,1470000,1486000,1486000,1486000,1486000,1513000,1513000,1513000,1513000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,,2000000,2000000,2000000,2000000,,2000000,2000000,,2000000,,2000000,2000000,2000000,2000000,2000000,,2000000,2000000
ComprehensiveIncomeNetOfTax / USD,948371000,792115000,1353330000,-27733000,646024000,1383337000,981683000,254049000,152874000,1281744000,2303716000,863000000,1299000000,1172000000,1733000000,885000000,1177000000,1959000000,3028000000,545000000,3028000000,2355000000,2916000000,-2398000000,-1575000000,-910000000,3156000000,435000000,480000000,532000000,61000000,641000000,1220000000,2008000000,1092000000,1324000000,1625000000,2246000000,6616000000,490000000,913000000,1603000000,-176000000,,484000000,886000000,1093000000,2311000000,3313000000,4095000000,4849000000,1672000000,578000000,,11319000000,11545000000,5899000000,-1397000000,,-1947000000,-1999000000,13390000000,539000000,,646000000,1963000000,-1408000000,424000000,424000000,,642000000,1343000000
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137000000,137000000,170000000,170000000,170000000,170000000,,135000000,135000000,129000000,129000000,110000000,98000000,98000000,98000000,79000000,,79000000,79000000,79000000,34000000,,34000000,34000000,34000000,34000000,,34000000,34000000,34000000,32000000,32000000,,32000000,32000000
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000000,86000000,90000000,95000000,96000000,,68000000,69000000,64000000,65000000,75000000,64000000,64000000,64000000,44000000,,46000000,47000000,47000000,37000000,,37000000,37000000,38000000,31000000,,31000000,32000000,33000000,28000000,28000000,,30000000,31000000
CostOfRevenue / USD,1087515000,1648478000,1762972000,573386000,1165159000,1809067000,2228069000,606555000,1221926000,1862194000,2479762000,729000000,1502000000,2426000000,2564000000,983000000,1970000000,2992000000,3461000000,1152000000,3461000000,3587000000,4216000000,1351000000,2330000000,1221000000,1492000000,411000000,845000000,1278000000,1663000000,477000000,970000000,1468000000,1771000000,514000000,1074000000,1764000000,2004000000,559000000,1156000000,1764000000,2221000000,,539000000,1092000000,1580000000,2023000000,502000000,771000000,1249000000,1585000000,606000000,,1278000000,1956000000,1797000000,689000000,,1352000000,1999000000,2650000000,700000000,,1418000000,2123000000,2680000000,700000000,700000000,,1435000000,2162000000
DebtAndCapitalLeaseObligations / USD,,,,,,,1794227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760000000,7758000000,,7763000000,7746000000,7746000000,,9082000000,,9082000000,9082000000,,8871000000,,8871000000,8871000000,,7723000000,,7723000000,7723000000,7723000000,7425000000,7425000000,,7425000000,7425000000
DebtCurrent / USD,,,,,,,,,,,,565000000,565000000,565000000,,413000000,413000000,413000000,,6000000,6000000,6000000,6000000,850000000,850000000,,,,,,,,,,,,,,,,,,,,,1022000000,1020000000,,18000000,6000000,6000000,,1355000000,,1355000000,1355000000,,1150000000,,1150000000,1150000000,1150000000,750000000,,750000000,750000000,750000000,1673000000,1673000000,,1673000000,1673000000
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360000000,,2700000000,2700000000,2700000000,,,92000000,92000000,92000000,92000000,0,0,0,0,0,,0,0,0,952000000,,952000000,952000000,952000000,1100000000,,1100000000,1100000000,,361000000,361000000,,361000000,361000000
