fact_unit,2009-08-03,2009-11-02,2010-02-22,2010-05-03,2010-07-30,2010-11-02,2011-02-18,2011-05-09,2011-08-08,2011-11-04,2012-02-23,2012-05-04,2012-08-01,2012-10-31,2013-02-19,2013-04-29,2013-07-29,2013-10-28,2014-02-14,2014-04-25,2014-07-25,2014-10-29,2015-02-13,2015-04-27,2015-06-05,2015-07-27,2015-10-28,2016-02-12,2016-05-02,2016-08-01,2016-10-31,2017-02-17,2017-04-27,2017-07-27,2017-10-26,2018-02-16,2018-04-27,2018-07-27,2018-10-26,2019-02-01,2019-04-26,2019-07-26,2019-10-25,2020-01-24,2020-04-24,2020-07-24,2020-10-23,2021-01-22,2021-04-23,2021-07-23,2021-10-22,2022-01-27,2022-04-29,2022-07-29,2022-10-28,2023-01-27,2023-04-28,2023-07-28,2023-10-27,2024-01-26,2024-04-26,2024-08-02,2024-11-01,2025-01-31,2025-04-25,2025-07-24,2025-11-06
AvailableForSaleSecuritiesDebtSecuritiesCurrent / USD,5331000000.0,5331000000.0,5331000000.0,5285000000.0,5285000000.0,5285000000.0,5285000000.0,11294000000.0,11294000000.0,11294000000.0,11294000000.0,5181000000.0,5181000000.0,5181000000.0,5181000000.0,3999000000.0,3999000000.0,3999000000.0,3999000000.0,5972000000.0,5972000000.0,5972000000.0,5972000000.0,2430000000.0,5972000000.0,2430000000.0,2430000000.0,2430000000.0,2682000000.0,2682000000.0,2682000000.0,2682000000.0,3225000000.0,3225000000.0,3225000000.0,3225000000.0,1814000000.0,1814000000.0,1814000000.0,1814000000.0,2788000000.0,2788000000.0,2788000000.0,2788000000.0,1082000000.0,1082000000.0,1082000000.0,1082000000.0,2292000000.0,2292000000.0,2292000000.0,2292000000.0,24426000000.0,24426000000.0,24426000000.0,24426000000.0,17194000000.0,17194000000.0,17194000000.0,17194000000.0,17955000000.0,17955000000.0,17955000000.0,17955000000.0,13813000000.0,13813000000.0,13813000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000000.0,985000000.0,1083000000.0,1479000000.0,1505000000.0,392000000.0,1448000000.0,1686000000.0,1736000000.0,979000000.0,2904000000.0,2789000000.0,1988000000.0,1417000000.0,2259000000.0,2678000000.0,2376000000.0,2340000000.0,2294000000.0,2836000000.0,2752000000.0,1761000000.0,2472000000.0,2426000000.0,2693000000.0,2973000000.0,2949000000.0,3286000000.0,3386000000.0,1619000000.0,4711000000.0,5113000000.0,5234000000.0,5431000000.0,5167000000.0,5544000000.0,6595000000.0
CashAndCashEquivalentsAtCarryingValue / USD,7307000000.0,7307000000.0,6598000000.0,3350000000.0,3350000000.0,3350000000.0,7307000000.0,3987000000.0,3987000000.0,3987000000.0,3350000000.0,5498000000.0,5498000000.0,5498000000.0,3987000000.0,5065000000.0,5065000000.0,5065000000.0,5498000000.0,8478000000.0,8478000000.0,8478000000.0,5065000000.0,5674000000.0,5065000000.0,5674000000.0,5674000000.0,8478000000.0,2561000000.0,2561000000.0,2561000000.0,5674000000.0,15308000000.0,15308000000.0,15308000000.0,2561000000.0,5560000000.0,5560000000.0,5560000000.0,15308000000.0,3433000000.0,3433000000.0,3433000000.0,,3019000000.0,3019000000.0,3019000000.0,,4194000000.0,4194000000.0,4194000000.0,,,,,,,,,,,,,,,8249000000.0,8249000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560000000.0,,,,3433000000.0,,,,3019000000.0,5865000000.0,5865000000.0,5865000000.0,4194000000.0,4827000000.0,4827000000.0,4827000000.0,5865000000.0,11144000000.0,11144000000.0,11144000000.0,4827000000.0,7079000000.0,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7079000000.0,7079000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2127000000.0,135000000.0,-152000000.0,916000000.0,-414000000.0,7186000000.0,4542000000.0,-838000000.0,1175000000.0,-673000000.0,-1119000000.0,2005000000.0,1671000000.0,1388000000.0,-437000000.0,-298000000.0,-1038000000.0,-2912000000.0,-2795000000.0,-3523000000.0,6317000000.0,-156000000.0,4208000000.0,1706000000.0
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-3000000.0,0.0,-162000000.0,-222000000.0,-188000000.0,13000000.0,14000000.0,-82000000.0,-67000000.0,171000000.0,258000000.0,371000000.0,601000000.0,68000000.0,-485000000.0,-1039000000.0,-1312000000.0,138000000.0,-954000000.0,-1032000000.0,-996000000.0,-1071000000.0,512000000.0,477000000.0,532000000.0,-817000000.0,711000000.0,947000000.0,1536000000.0,723000000.0,-192000000.0,21000000.0,189000000.0,1551000000.0,144000000.0,120000000.0,-225000000.0
CommercialPaper / USD,,,,,,,,,,,200000000.0,200000000.0,200000000.0,,200000000.0,,,,,,,,0.0,,0.0,500000000.0,500000000.0,500000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1000000000.0,3900000000.0,3900000000.0,3900000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
CommonStockDividendsPerShareDeclared / USD/shares,0.268,0.548,0.45,0.28,0.28,0.56,0.5475,0.315,0.315,0.63,0.56,0.3624,0.3624,0.7824,0.63,0.42,0.42,0.87,,0.45,0.45,0.9,,0.45,,0.45,0.9,,0.48,0.48,0.96,,0.52,0.52,1.04,,0.5325,0.5325,1.0775,,,,0.6,,,,,,,,,,,,,,,,,,,,0.62,1.46,0.13,0.25,0.38
CommonStockParOrStatedValuePerShare / USD/shares,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,0.001,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,,0.001,,,
CommonStockSharesAuthorized / shares,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,10000000000.0,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,,10000000000.0,,,
CommonStockSharesIssued / shares,5562000000.0,5562000000.0,5562000000.0,5523000000.0,5523000000.0,5523000000.0,5523000000.0,5581000000.0,5581000000.0,5581000000.0,5581000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,4944000000.0,4944000000.0,4944000000.0,4944000000.0,4967000000.0,4967000000.0,4967000000.0,4967000000.0,4752000000.0,4967000000.0,4752000000.0,4752000000.0,4752000000.0,4725000000.0,4725000000.0,4725000000.0,4725000000.0,4730000000.0,4730000000.0,4730000000.0,4730000000.0,4687000000.0,4687000000.0,4687000000.0,4687000000.0,4516000000.0,4516000000.0,4516000000.0,4516000000.0,4290000000.0,4290000000.0,4290000000.0,4290000000.0,4062000000.0,4062000000.0,4062000000.0,4062000000.0,4070000000.0,4070000000.0,4070000000.0,4070000000.0,4137000000.0,4137000000.0,4137000000.0,4137000000.0,4228000000.0,4228000000.0,4228000000.0,4228000000.0,4330000000.0,4330000000.0,4330000000.0
CommonStockSharesOutstanding / shares,5562000000.0,5562000000.0,5562000000.0,5523000000.0,5523000000.0,5523000000.0,5523000000.0,5511000000.0,5511000000.0,5511000000.0,5511000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,4944000000.0,4944000000.0,4944000000.0,4944000000.0,4967000000.0,4967000000.0,4967000000.0,4967000000.0,4748000000.0,4967000000.0,4748000000.0,4748000000.0,4748000000.0,4725000000.0,4725000000.0,4725000000.0,4725000000.0,4730000000.0,4730000000.0,4730000000.0,4730000000.0,4687000000.0,4687000000.0,4687000000.0,4687000000.0,4516000000.0,4516000000.0,4516000000.0,4516000000.0,4290000000.0,4290000000.0,4290000000.0,4290000000.0,4062000000.0,4062000000.0,4062000000.0,4062000000.0,4070000000.0,4070000000.0,4070000000.0,4070000000.0,4137000000.0,4137000000.0,4137000000.0,4137000000.0,4228000000.0,4228000000.0,4228000000.0,4228000000.0,4330000000.0,4330000000.0,4330000000.0
