fact_unit,2013-05-14,2013-08-01,2013-10-31,2014-02-13,2014-05-01,2014-07-31,2014-10-30,2015-02-12,2015-04-29,2015-07-29,2015-10-28,2016-02-11,2016-05-03,2016-07-27,2016-11-03,2017-02-16,2017-05-08,2017-08-04,2017-10-27,2018-02-16,2018-05-04,2018-07-27,2018-10-25,2019-02-19,2019-05-02,2019-07-24,2019-11-01,2020-02-18,2020-04-30,2020-07-23,2020-10-22,2021-02-12,2021-04-23,2021-07-28,2021-10-22,2022-02-16,2022-04-28,2022-07-22,2022-10-27,2023-02-15,2023-04-28,2023-08-01,2023-11-01,2024-02-15,2024-05-02,2024-07-22,2024-10-31,2025-02-13,2025-05-06,2025-07-22,2025-10-28
AmortizationOfIntangibleAssets / USD,,,,35549000.0,,,,46440000.0,,,,51450000.0,,,,58000000.0,,,,67000000.0,,,,210000000.0,,,,886000000.0,,,,1016000000.0,,,,1074000000.0,,,,1153000000.0,,,,1117000000.0,,,,970000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,1929000.0,1631000.0,1424000.0,1635000.0,2363000.0,766000.0,,,1765000.0,1043000.0,1112000.0,1076000.0,1200000.0,1400000.0,1600000.0,1400000.0,1100000.0,1600000.0,2000000.0,1700000.0,1200000.0,1800000.0,2200000.0,1900000.0,1400000.0,1900000.0,2100000.0,2000000.0,1700000.0,2400000.0,2600000.0,2500000.0,2000000.0,1000000.0,1000000.0,900000.0,2400000.0,300000.0,500000.0,500000.0,100000.0,1000000.0,1100000.0,1000000.0,500000.0,800000.0,1000000.0,1000000.0
AociTaxAttributableToParent / USD,,,,,,,,,,,-30499000.0,-29693000.0,-33428000.0,-33428000.0,-33428000.0,-26000000.0,-22000000.0,-22000000.0,-22000000.0,-31000000.0,-219000000.0,-219000000.0,-219000000.0,-22000000.0,-177000000.0,-177000000.0,-177000000.0,-22000000.0,-156000000.0,-156000000.0,-156000000.0,-219000000.0,-323000000.0,-323000000.0,-323000000.0,-177000000.0,-180000000.0,-180000000.0,-180000000.0,-156000000.0,-62000000.0,-62000000.0,-62000000.0,-323000000.0,-133000000.0,-133000000.0,-133000000.0,-180000000.0,-44000000.0,-44000000.0,-44000000.0
AssetImpairmentCharges / USD,,,,12295000.0,,,,0.0,,,,0.0,,,27937000.0,0.0,,40000000.0,28000000.0,2000000.0,,40000000.0,40000000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
Assets / USD,2499153000.0,2499153000.0,2499153000.0,2322917000.0,3066797000.0,3066797000.0,3066797000.0,2499153000.0,3305832000.0,3295953000.0,3295953000.0,3054223000.0,3926316000.0,3926316000.0,3926316000.0,3926000000.0,21208000000.0,21208000000.0,21208000000.0,21208000000.0,22857000000.0,22857000000.0,22857000000.0,22857000000.0,22549000000.0,22549000000.0,22549000000.0,22549000000.0,23251000000.0,23251000000.0,23251000000.0,23251000000.0,24564000000.0,24564000000.0,24564000000.0,24564000000.0,24689000000.0,24689000000.0,24689000000.0,24689000000.0,25337000000.0,25337000000.0,25337000000.0,25337000000.0,26681000000.0,26681000000.0,26681000000.0,26681000000.0,26899000000.0,26899000000.0,26899000000.0
AssetsCurrent / USD,1509994000.0,1509994000.0,1509994000.0,1509994000.0,1945688000.0,1945688000.0,1945688000.0,1945688000.0,2146083000.0,2146083000.0,2146083000.0,2146083000.0,2411985000.0,2411985000.0,2411985000.0,2412000000.0,3337000000.0,3337000000.0,3337000000.0,3337000000.0,3554000000.0,3554000000.0,3554000000.0,3554000000.0,3874000000.0,3874000000.0,3874000000.0,3874000000.0,4126000000.0,4126000000.0,4126000000.0,4126000000.0,5090000000.0,5090000000.0,5090000000.0,5090000000.0,4763000000.0,4763000000.0,4763000000.0,4763000000.0,4981000000.0,4981000000.0,4981000000.0,4981000000.0,5596000000.0,5596000000.0,5596000000.0,5596000000.0,5829000000.0,5829000000.0,5829000000.0
BilledContractReceivables / USD,346732000.0,346732000.0,346732000.0,346732000.0,408959000.0,408959000.0,408959000.0,408959000.0,444941000.0,444941000.0,444941000.0,444941000.0,553652000.0,553652000.0,553652000.0,554000000.0,998000000.0,998000000.0,998000000.0,998000000.0,1229000000.0,1229000000.0,1229000000.0,1229000000.0,1279000000.0,1279000000.0,1279000000.0,1279000000.0,1312000000.0,1312000000.0,1312000000.0,1312000000.0,1181000000.0,1181000000.0,1181000000.0,1181000000.0,1275000000.0,1275000000.0,1275000000.0,1275000000.0,1329000000.0,1329000000.0,1329000000.0,1329000000.0,1473000000.0,1473000000.0,1473000000.0,1473000000.0,1390000000.0,1390000000.0,1390000000.0
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,,,,,33000000.0,,,,38000000.0,,,,44000000.0,,,,134000000.0,,,,179000000.0,,,,196000000.0,,,,267000000.0,,,,211000000.0,,,,419000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,516299000.0,516299000.0,516299000.0,646615000.0,567728000.0,567728000.0,567728000.0,516299000.0,778143000.0,778143000.0,778143000.0,567728000.0,867358000.0,867358000.0,867358000.0,777000000.0,977000000.0,977000000.0,977000000.0,867000000.0,1198000000.0,1198000000.0,1198000000.0,977000000.0,959000000.0,959000000.0,891000000.0,891000000.0,837000000.0,837000000.0,837000000.0,837000000.0,1814000000.0,1814000000.0,1814000000.0,1814000000.0,1366000000.0,1366000000.0,1366000000.0,1366000000.0,1216000000.0,1216000000.0,1216000000.0,1216000000.0,1376000000.0,1376000000.0,1376000000.0,1376000000.0,1702000000.0,1702000000.0,1702000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891000000.0,891000000.0,,837000000.0,837000000.0,837000000.0,,1814000000.0,1814000000.0,1814000000.0,,1366000000.0,1366000000.0,1366000000.0,,1216000000.0,1216000000.0,1216000000.0,,1376000000.0,1376000000.0,1376000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,959000000.0,1198000000.0,891000000.0,,,959000000.0,,,,891000000.0,,,,837000000.0,,,,1814000000.0,,,,1366000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,-132000000.0,-239000000.0,45000000.0,47000000.0,-28000000.0,-68000000.0,90000000.0,272000000.0,627000000.0,-54000000.0,491000000.0,-7000000.0,-344000000.0,977000000.0,21000000.0,62000000.0,-92000000.0,-448000000.0,278000000.0,166000000.0,8000000.0,-150000000.0,68000000.0,169000000.0,196000000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,150000000.0,150000000.0,150000000.0,150000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,300000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0
CommonStockSharesIssued / shares,115764000.0,115764000.0,115764000.0,115764000.0,129652000.0,129652000.0,129652000.0,129652000.0,124129000.0,124129000.0,124129000.0,124129000.0,119378000.0,119378000.0,119378000.0,119400000.0,248300000.0,248300000.0,248300000.0,248300000.0,249500000.0,249500000.0,249500000.0,249500000.0,251500000.0,251500000.0,251500000.0,251500000.0,253000000.0,253000000.0,253000000.0,253000000.0,254700000.0,254700000.0,254700000.0,254700000.0,255800000.0,255800000.0,255800000.0,255800000.0,256400000.0,256400000.0,256400000.0,256400000.0,257200000.0,257200000.0,257200000.0,257200000.0,258200000.0,258200000.0,258200000.0
CommonStockSharesOutstanding / shares,115764000.0,115764000.0,115764000.0,116399585.0,129652000.0,129652000.0,129652000.0,115966141.0,124129000.0,124129000.0,124129340.0,115763510.0,119378000.0,119378000.0,119378000.0,119400000.0,248300000.0,,,,,,,,,,,197500000.0,192300000.0,192300000.0,192300000.0,192300000.0,191200000.0,191200000.0,191200000.0,191200000.0,190600000.0,190600000.0,190600000.0,190600000.0,185700000.0,185700000.0,185700000.0,185700000.0,181500000.0,181500000.0,181500000.0,181500000.0,176100000.0,176100000.0,176100000.0
CommonStocksIncludingAdditionalPaidInCapital / USD,,,,,,,,,143828000.0,143828000.0,143828000.0,143828000.0,8784000.0,8784000.0,8784000.0,9000000.0,10602000000.0,10602000000.0,10602000000.0,10602000000.0,10782000000.0,10782000000.0,10782000000.0,10782000000.0,10901000000.0,10901000000.0,10901000000.0,10901000000.0,11049000000.0,11049000000.0,11049000000.0,11049000000.0,11095000000.0,11095000000.0,11095000000.0,11095000000.0,10777000000.0,10777000000.0,10777000000.0,10777000000.0,10898000000.0,10898000000.0,10898000000.0,10898000000.0,11028000000.0,11028000000.0,11028000000.0,11028000000.0,11143000000.0,11143000000.0,11143000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,41609000.0,78471000.0,136550000.0,219066000.0,32076000.0,60636000.0,141524000.0,161481000.0,90187000.0,177935000.0,241387000.0,217969000.0,56566000.0,161627000.0,241281000.0,298000000.0,112000000.0,165000000.0,265000000.0,332000000.0,227000000.0,508000000.0,757000000.0,-383000000.0,282000000.0,-13000000.0,-64000000.0,1916000000.0,30000000.0,147000000.0,51000000.0,8000000.0,-87000000.0,-68000000.0,171000000.0,142000000.0,46000000.0,280000000.0,423000000.0,417000000.0,312000000.0,290000000.0,372000000.0,780000000.0,285000000.0,553000000.0,713000000.0,770000000.0,244000000.0,569000000.0,977000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,985000000.0,1007000000.0,1007000000.0,1007000000.0,1007000000.0,1014000000.0,1014000000.0,1014000000.0,1014000000.0,1252000000.0,1252000000.0,1252000000.0,1252000000.0,1825000000.0,1825000000.0,1825000000.0,1825000000.0,1797000000.0,1797000000.0,1797000000.0,1797000000.0,1799000000.0,1799000000.0,1799000000.0,1799000000.0,1779000000.0,1779000000.0,1779000000.0
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,5004000000.0,6301000000.0,1748000000.0,3547000000.0,5399000000.0,6746000000.0,1824000000.0,3528000000.0,5328000000.0,7300000000.0,2293000000.0,4616000000.0,6869000000.0,7500000000.0,2323000000.0,4654000000.0,6975000000.0,9233000000.0,2398000000.0,4841000000.0,7267000000.0,9382000000.0,2444000000.0,4932000000.0,7450000000.0
CurrentFederalStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,62000000.0,,,,51000000.0,,,,64000000.0,,,,-3000000.0,,,,17000000.0,,,,11000000.0,,,,0.0,,,,16000000.0,,,,24000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,70905000.0,,,,58712000.0,,,,83744000.0,,,,95000000.0,,,,109000000.0,,,,129000000.0,,,,222000000.0,,,,233000000.0,,,,248000000.0,,,,244000000.0,,,,293000000.0,,,,358000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,85104000.0,,,,78332000.0,,,,118008000.0,,,,157000000.0,,,,160000000.0,,,,193000000.0,,,,219000000.0,,,,250000000.0,,,,259000000.0,,,,244000000.0,,,,309000000.0,,,,382000000.0,,,
DebtInstrumentCarryingAmount / USD,2400000000.0,300000000.0,300000000.0,,,,,,,,,,,,,,,,7219000000.0,7219000000.0,10269000000.0,10269000000.0,10269000000.0,10269000000.0,11056000000.0,11056000000.0,11056000000.0,11056000000.0,11705000000.0,11705000000.0,11705000000.0,11705000000.0,12600000000.0,12600000000.0,12600000000.0,12600000000.0,12185000000.0,12185000000.0,12185000000.0,12185000000.0,12797000000.0,12797000000.0,12797000000.0,12797000000.0,13752000000.0,13752000000.0,13752000000.0,13752000000.0,14045000000.0,14045000000.0,14045000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,19000000.0,19000000.0,44000000.0,44000000.0,44000000.0,44000000.0,49000000.0,49000000.0,49000000.0,49000000.0,60000000.0,60000000.0,60000000.0,60000000.0,67000000.0,67000000.0,67000000.0,67000000.0,60000000.0,60000000.0,60000000.0,60000000.0,50000000.0,50000000.0,50000000.0,50000000.0,79000000.0,79000000.0,79000000.0,79000000.0,62000000.0,62000000.0,62000000.0
DeferredFederalStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,,-15807000.0,,,,-5000000.0,,,,5000000.0,,,,151000000.0,,,,-1167000000.0,,,,-170000000.0,,,,-109000000.0,,,,-161000000.0,,,,-106000000.0,,,,-94000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-22482000.0,,,,-991000.0,,,,-6236000.0,,,,-3000000.0,,,,-6000000.0,,,,-19000000.0,,,,-44000000.0,,,,-21000000.0,,,,-34000000.0,,,,-11000000.0,,,,-40000000.0,,,,-28000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119000000.0,119000000.0,119000000.0,119000000.0,114000000.0,114000000.0,114000000.0,114000000.0,124000000.0,124000000.0,124000000.0,124000000.0,118000000.0,118000000.0,118000000.0,118000000.0,166000000.0,166000000.0,166000000.0,166000000.0,194000000.0,194000000.0,194000000.0
DeferredIncomeTaxExpenseBenefit / USD,3836000.0,7885000.0,2525000.0,-73216000.0,11164000.0,-12041000.0,-15883000.0,16595000.0,-1587000.0,-1173000.0,-11529000.0,-24236000.0,-884000.0,-375000.0,23252000.0,-6000000.0,5000000.0,-3000000.0,-4000000.0,18000000.0,-52000000.0,-198000000.0,-137000000.0,115000000.0,-26000000.0,-114000000.0,-183000000.0,-1221000000.0,-12000000.0,-66000000.0,-154000000.0,-177000000.0,-40000000.0,-102000000.0,-160000000.0,-157000000.0,-39000000.0,-43000000.0,-83000000.0,-176000000.0,-10000000.0,-28000000.0,-52000000.0,-138000000.0,-27000000.0,-70000000.0,-117000000.0,-115000000.0,-66000000.0,-80000000.0,-114000000.0
DeferredIncomeTaxLiabilities / USD,,,,122529000.0,,,,109579000.0,,,,108677000.0,,,,102000000.0,,,,2780000000.0,,,,1385000000.0,,,,1247000000.0,,,,1279000000.0,,,,1221000000.0,,,,1068000000.0,,,,976000000.0,,,,766000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,2044000000.0,,,,2044000000.0,,,,786000000.0,,,,627000000.0,646000000.0,646000000.0,646000000.0,646000000.0,338000000.0,338000000.0,338000000.0,338000000.0,410000000.0,410000000.0,410000000.0,410000000.0,464000000.0,464000000.0,464000000.0,464000000.0,202000000.0,202000000.0,202000000.0,202000000.0,196000000.0,196000000.0,196000000.0
DeferredTaxAssetsGross / USD,,,,216660000.0,,,,195777000.0,,,,225584000.0,,,,202000000.0,,,,889000000.0,,,,799000000.0,,,,846000000.0,,,,1018000000.0,,,,1303000000.0,,,,1076000000.0,,,,887000000.0,,,,896000000.0,,,
DeferredTaxAssetsNet / USD,,,,249004000.0,,,,225278000.0,,,,200889000.0,,,,180000000.0,,,,736000000.0,,,,599000000.0,,,,620000000.0,,,,752000000.0,,,,997000000.0,,,,782000000.0,,,,630000000.0,,,,730000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,82745000.0,,,,49308000.0,,,,43535000.0,,,,26000000.0,,,,242000000.0,,,,278000000.0,,,,244000000.0,,,,246000000.0,,,,231000000.0,,,,212000000.0,,,,145000000.0,,,,132000000.0,,,
DeferredTaxAssetsOther / USD,,,,10347000.0,,,,20215000.0,,,,17784000.0,,,,13000000.0,,,,32000000.0,,,,82000000.0,,,,51000000.0,,,,63000000.0,,,,64000000.0,,,,64000000.0,,,,52000000.0,,,,81000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,,,,,,,,,,,,16000000.0,,,,267000000.0,,,,170000000.0,,,,300000000.0,,,,332000000.0,,,,369000000.0,,,,375000000.0,,,,295000000.0,,,,254000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,,,,,,,,,,,130217000.0,,,,124000000.0,,,,273000000.0,,,,189000000.0,,,,181000000.0,,,,168000000.0,,,,228000000.0,,,,212000000.0,,,,202000000.0,,,,202000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,32344000.0,,,,29501000.0,,,,24695000.0,,,,22000000.0,,,,153000000.0,,,,200000000.0,,,,226000000.0,,,,266000000.0,,,,306000000.0,,,,294000000.0,,,,257000000.0,,,,166000000.0,,,
DeferredTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527000000.0,,,,224000000.0,,,,286000000.0,,,,346000000.0,,,,36000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,12984000.0,,,,12700000.0,,,,15346000.0,,,,12000000.0,,,,164000000.0,,,,30000000.0,,,,38000000.0,,,,27000000.0,,,,50000000.0,,,,53000000.0,,,,63000000.0,,,,72000000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,,,,33000000.0,,,,32000000.0,,,,31000000.0,,,,30000000.0,,,
DefinedContributionPlanCostRecognized / USD,,,,19900000.0,,,,24300000.0,,,,26100000.0,,,,31000000.0,,,,36000000.0,,,,39000000.0,,,,47000000.0,,,,49000000.0,,,,56000000.0,,,,48000000.0,,,,60000000.0,,,,74000000.0,,,
Depreciation / USD,,,,,,,,,,,,,,,,,,,,61000000.0,,,,79000000.0,,,,125000000.0,,,,125000000.0,,,,128000000.0,,,,134000000.0,,,,147000000.0,,,,160000000.0,,,
DepreciationDepletionAndAmortization / USD,23271000.0,46990000.0,72717000.0,92004000.0,24640000.0,49626000.0,76950000.0,98288000.0,29088000.0,58933000.0,89113000.0,107504000.0,30329000.0,60340000.0,93224000.0,121000000.0,32000000.0,64000000.0,98000000.0,128000000.0,232000000.0,477000000.0,733000000.0,289000000.0,282000000.0,564000000.0,847000000.0,1011000000.0,295000000.0,589000000.0,888000000.0,1141000000.0,316000000.0,624000000.0,943000000.0,1202000000.0,323000000.0,666000000.0,1002000000.0,1287000000.0,255000000.0,525000000.0,773000000.0,1264000000.0,253000000.0,512000000.0,809000000.0,1130000000.0,264000000.0,533000000.0,811000000.0
DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,6000000.0,6000000.0,6000000.0,6000000.0,9000000.0,9000000.0,9000000.0,9000000.0,4000000.0,4000000.0,4000000.0,4000000.0,5000000.0,5000000.0,5000000.0,5000000.0,4000000.0,4000000.0,4000000.0,4000000.0,44000000.0,44000000.0,44000000.0,44000000.0,15000000.0,15000000.0,15000000.0,15000000.0,39000000.0,39000000.0,39000000.0
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,11000000.0,25000000.0,25000000.0,25000000.0,25000000.0,13000000.0,13000000.0,13000000.0,13000000.0,17000000.0,17000000.0,17000000.0,17000000.0,30000000.0,30000000.0,30000000.0,30000000.0,56000000.0,56000000.0,56000000.0,56000000.0,27000000.0,27000000.0,27000000.0,27000000.0,2000000.0,2000000.0,2000000.0,2000000.0,159000000.0,159000000.0,159000000.0,159000000.0,7000000.0,7000000.0,7000000.0
EarningsPerShareBasic / USD/shares,0.37,0.78,1.23,2.08,0.42,0.73,1.25,1.53,0.69,1.35,2.08,1.83,0.69,1.38,2.28,2.78,0.89,1.62,2.45,3.15,0.43,0.72,1.13,0.48,0.33,0.63,0.93,5.86,0.29,0.6,0.89,1.27,0.43,0.31,0.84,0.98,1.11,2.02,3.38,1.46,1.71,3.07,4.59,5.05,1.56,3.17,4.82,5.82,1.58,3.58,5.14
EarningsPerShareDiluted / USD/shares,0.37,0.77,1.21,2.05,0.41,0.71,1.22,1.51,0.68,1.32,2.03,1.77,0.68,1.35,2.24,2.72,0.88,1.59,2.41,3.08,0.43,0.71,1.11,0.47,0.32,0.62,0.91,5.74,0.29,0.59,0.87,1.24,0.42,0.3,0.82,0.96,1.09,1.99,3.32,1.43,1.68,3.02,4.52,4.95,1.53,3.12,4.76,5.72,1.56,3.53,5.08
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,-19000000.0,-60000000.0,-30000000.0,-28000000.0,-3000000.0,-5000000.0,-32000000.0,-21000000.0,-41000000.0,31000000.0,-18000000.0,-78000000.0,-127000000.0,-52000000.0,-4000000.0,-17000000.0,-41000000.0,-75000000.0,-34000000.0,-40000000.0,2000000.0
