fact_unit,2017-06-06,2017-08-08,2017-11-07,2018-03-06,2018-05-09,2018-08-08,2018-11-07,2019-02-27,2019-05-08,2019-08-07,2019-11-06,2020-02-26,2020-05-06,2020-08-05,2020-10-29,2021-02-25,2021-05-06,2021-08-05,2021-11-04,2022-02-24,2022-05-10,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-07-19,2023-11-02,2024-02-22,2024-05-01,2024-07-31,2024-10-30,2025-02-19,2025-05-07,2025-07-30,2025-10-29
AdvertisingExpense / USD,,,,10700000.0,,,,27000000.0,,,,55700000.0,,,,111200000.0,,,,204000000.0,,,,286000000.0,,,,479000000.0,,,,490000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,283000.0,421000.0,490000.0,158000.0,2158000.0,4045000.0,555000.0,1510000.0,4093000.0,17981000.0,5611000.0,6834000.0,13910000.0,21707000.0,20319000.0,6000000.0,12000000.0,18000000.0,28000000.0,8000000.0,18000000.0,28000000.0,25000000.0,28000000.0,42000000.0,56000000.0,39000000.0,15000000.0,34000000.0,52000000.0,69000000.0,22000000.0,45000000.0,69000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,600000.0,,,,400000.0,,,,400000.0,,,,3200000.0,,,,5000000.0,,,,20000000.0,,,,12000000.0,,,,9000000.0,,,
AllowanceForNotesAndLoansReceivableCurrent / USD,,,,200000.0,,,,900000.0,,,,1800000.0,,,,7300000.0,,,,16000000.0,,,,21000000.0,,,,36000000.0,,,,59000000.0,,,
AmortizationOfFinancingCosts / USD,,0.0,0.0,0.0,181000.0,1250000.0,1407000.0,0.0,323000.0,649000.0,,,,,,,,,,,,,,,,,,,,14000000.0,20000000.0,27000000.0,5000000.0,9000000.0,13000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,700000.0,1100000.0,0.0,,,1100000.0,,,,1100000.0,,,,2000000.0,,,,2000000.0,,,,2000000.0,,9000000.0,13000000.0,16000000.0,4000000.0,9000000.0,13000000.0
Assets / USD,,335833000.0,335833000.0,335833000.0,641137000.0,641137000.0,641137000.0,641137000.0,991013000.0,991013000.0,991013000.0,991013000.0,2057748000.0,2057748000.0,2057748000.0,2057748000.0,3035000000.0,3035000000.0,3035000000.0,3035000000.0,7015000000.0,7015000000.0,7015000000.0,7015000000.0,8698000000.0,8698000000.0,8698000000.0,8698000000.0,7071000000.0,7071000000.0,7071000000.0,7071000000.0,8484000000.0,8484000000.0,8484000000.0
AssetsCurrent / USD,,275241000.0,275241000.0,275241000.0,489718000.0,489718000.0,489718000.0,489718000.0,662854000.0,662854000.0,662854000.0,662854000.0,1359422000.0,1359422000.0,1359422000.0,1359422000.0,1923000000.0,1923000000.0,1923000000.0,1923000000.0,4892000000.0,4892000000.0,4892000000.0,4892000000.0,4594000000.0,4594000000.0,4594000000.0,4594000000.0,3321000000.0,3321000000.0,3321000000.0,3321000000.0,4869000000.0,4869000000.0,4869000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,311000000.0,311000000.0,,365000000.0,365000000.0,365000000.0,,460000000.0,460000000.0,460000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,98780000.0,98780000.0,98780000.0,131000000.0,131000000.0,131000000.0,131000000.0,382000000.0,382000000.0,382000000.0,382000000.0,321000000.0,321000000.0,321000000.0,321000000.0,366000000.0,366000000.0,366000000.0,366000000.0,464000000.0,464000000.0,464000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,1089000.0,3284000.0,0.0,6220000.0,7601000.0,11006000.0,3172000.0,8035000.0,6970000.0,8538000.0,8619000.0,11246000.0,9717000.0,14983000.0,9384000.0,36000000.0,31000000.0,34000000.0,25000000.0,25000000.0,37000000.0,74000000.0,36000000.0,73000000.0,49000000.0,43000000.0,102000000.0,3000000.0,3000000.0,2000000.0,18000000.0,,,
CapitalLeaseObligationsIncurred / USD,,,,,,,0.0,0.0,0.0,0.0,3369000.0,0.0,11395000.0,16552000.0,24253000.0,16543000.0,18000000.0,23000000.0,37000000.0,36000000.0,26000000.0,53000000.0,81000000.0,78000000.0,149000000.0,232000000.0,300000000.0,152000000.0,19000000.0,36000000.0,46000000.0,326000000.0,0.0,0.0,0.0
CashAndCashEquivalentsAtCarryingValue / USD,,43134000.0,43134000.0,6929000.0,39184000.0,39184000.0,39184000.0,39184000.0,172680000.0,172680000.0,172680000.0,172680000.0,78861000.0,78861000.0,78861000.0,78861000.0,76000000.0,76000000.0,76000000.0,76000000.0,370000000.0,201000000.0,297000000.0,301000000.0,247000000.0,1047000000.0,316000000.0,403000000.0,488000000.0,541000000.0,544000000.0,434000000.0,252000000.0,542000000.0,871000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,49450000.0,49450000.0,49450000.0,45249000.0,187123000.0,187123000.0,187123000.0,49450000.0,88709000.0,88709000.0,88709000.0,187123000.0,118000000.0,118000000.0,118000000.0,88000000.0,329000000.0,329000000.0,329000000.0,118000000.0,636000000.0,636000000.0,636000000.0,329000000.0,628000000.0,628000000.0,628000000.0,636000000.0,594000000.0,594000000.0,594000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,-29655000.0,105322000.0,65759000.0,4201000.0,-47198000.0,30425000.0,271142000.0,137673000.0,18346000.0,-46313000.0,19765000.0,-98414000.0,27000000.0,248000000.0,78000000.0,30000000.0,86000000.0,-19000000.0,75000000.0,211000000.0,-94000000.0,561000000.0,-159000000.0,307000000.0,66000000.0,49000000.0,-12000000.0,-8000000.0,-267000000.0,13000000.0,338000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,2890000.0,2890000.0,6379000.0,6379000.0,6379000.0,6379000.0,17000000.0,17000000.0,17000000.0,17000000.0,34000000.0,34000000.0,34000000.0,34000000.0,23000000.0,23000000.0,23000000.0,23000000.0,30000000.0,30000000.0,30000000.0,30000000.0,63000000.0,63000000.0,63000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,752439000.0,1230054000.0,790779000.0,666702000.0,1515130000.0,2472441000.0,1758758000.0,960000000.0,1928000000.0,3210000000.0,3433000000.0,1907000000.0,4691000000.0,7648000000.0,4793000000.0,3199000000.0,6687000000.0,9714000000.0,10885000000.0,2265000000.0,4734000000.0,7025000000.0,12358000000.0,2470000000.0,5165000000.0,8013000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,2000000.0,,,,2000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DebtInstrumentUnamortizedPremium / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,37000000.0,37000000.0,37000000.0,37000000.0,27000000.0,27000000.0,27000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,-1000000.0,,,,-1000000.0,,,
DeferredFinanceCostsNet / USD,,,,0.0,,,,305000.0,,,,,,,,,,,,21000000.0,34000000.0,34000000.0,34000000.0,34000000.0,82000000.0,82000000.0,82000000.0,82000000.0,60000000.0,60000000.0,60000000.0,60000000.0,46000000.0,46000000.0,46000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredTaxAssetsGross / USD,,,,0.0,,,,16612000.0,,,,126562000.0,,,,214853000.0,,,,677000000.0,,,,1639000000.0,,,,2060000000.0,,,,1967000000.0,,,
DeferredTaxAssetsInvestmentInSubsidiaries / USD,,,,0.0,,,,12757000.0,,,,100977000.0,,,,155775000.0,,,,555000000.0,,,,1391000000.0,,,,1471000000.0,,,,1362000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1000000.0,,,,5000000.0,,,
DeferredTaxAssetsNet / USD,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,1000000.0,,,,2000000.0,,,,5000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,0.0,,,,3855000.0,,,,23323000.0,,,,44771000.0,,,,99000000.0,,,,193000000.0,,,,451000000.0,,,,299000000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,,,,,,,,0.0,,,,1000000.0,,,,2000000.0,,,,9000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,,,,,,,,0.0,,,,586000.0,,,,2000000.0,,,,4000000.0,,,,6000000.0,,,,4000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves / USD,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeferredTaxAssetsValuationAllowance / USD,,,,0.0,,,,16612000.0,,,,126562000.0,,,,214853000.0,,,,677000000.0,,,,1638000000.0,,,,2058000000.0,,,,1962000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,,,,0.0,,,,2217000.0,,,,1808000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,0.0,,,
DefinedContributionPlanCostRecognized / USD,,,,100000.0,,,,300000.0,,,,700000.0,,,,1100000.0,,,,2000000.0,,,,3000000.0,,,,5000000.0,,,,8000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercent / pure,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,,,,0.4,,,,0.4,,,,0.4,,,,0.4,,,,0.4,,,,0.4,,,,0.4,,,,0.4,,,
DerivativeCapInterestRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,
DerivativeGainLossOnDerivativeNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther / USD,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,-214000000.0,0.0,21000000.0,,
EarningsPerShareBasic / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,-7.88,-1.63,-1.51,,,-15.74,,,
EarningsPerShareDiluted / USD/shares,,,,,,,,,,,,,,,,,-1.19,,,-2.45,,,,-2.63,,-5.2,-7.88,-1.63,-1.51,,,-15.74,,,
EffectiveIncomeTaxRateContinuingOperations / pure,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,-0.001,-0.001,0.0,-0.001,0.001,0.002,0.001,0.001,0.002,0.001,-0.003,-0.007,-0.006,0.071,0.0,-0.011,0.0,-0.004
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.35,,,,0.35,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.0,,,,0.0,,,,0.024,,,,-0.058,,,,-0.049,,,,-0.12,,,,-0.185,,,,-0.137,,,
EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense / pure,,,,0.0,,,,0.0,,,,0.32,,,,0.161,,,,0.144,,,,0.135,,,,0.112,,,,0.095,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,,,,,,,,,,,,,0.0,,,,0.002,,,,0.011,,,,0.056,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,,,,,0.0,,,,0.003,,,,0.009,,,,0.008,,,,0.02,,,,0.028,,,,0.022,,,
EffectiveIncomeTaxRateReconciliationTaxCredits / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,,3398000.0,3398000.0,3398000.0,5054000.0,5054000.0,5054000.0,5054000.0,13477000.0,13477000.0,13477000.0,13477000.0,21726000.0,21726000.0,21726000.0,21726000.0,34000000.0,34000000.0,34000000.0,34000000.0,45000000.0,45000000.0,45000000.0,45000000.0,65000000.0,65000000.0,65000000.0,65000000.0,41000000.0,41000000.0,41000000.0,41000000.0,92000000.0,92000000.0,92000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,,,19373000.0,17900000.0,27800000.0,34900000.0,43781000.0,52800000.0,57200000.0,54100000.0,55425000.0,75800000.0,70900000.0,66400000.0,67535000.0,106000000.0,98000000.0,103000000.0,103000000.0,186000000.0,210000000.0,167000000.0,140000000.0,253000000.0,223000000.0,198000000.0,176000000.0,264000000.0,235000000.0,209000000.0,187000000.0,250000000.0,220000000.0,191000000.0
EntityPublicFloat / USD,,,,278700000.0,,,,1300000000.0,,,,3100000000.0,,,,8200000000.0,,,,24600000000.0,,,,2200000000.0,,,,2500000000.0,,,,14700000000.0,,,
ExtinguishmentOfDebtAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,5500000000.0,5500000000.0,,,,5500000000.0,,,
FairValueAdjustmentOfWarrants / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,77000000.0,24000000.0,0.0,0.0,-3000000.0,80000000.0,-75000000.0,-53000000.0,-27000000.0
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,321000000.0,,,,366000000.0,,,
FederalIncomeTaxExpenseBenefitContinuingOperations / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1000000.0,,,,1000000.0,,,
FinanceLeaseInterestExpense / USD,,,,,,,,,331000.0,845000.0,1392000.0,2014000.0,331000.0,845000.0,1392000.0,2014000.0,1000000.0,2000000.0,3000000.0,2000000.0,2000000.0,3000000.0,5000000.0,4000000.0,3000000.0,8000000.0,13000000.0,8000000.0,5000000.0,10000000.0,14000000.0,19000000.0,4000000.0,7000000.0,10000000.0
FinanceLeaseInterestPaymentOnLiability / USD,,,,,,,,,331000.0,845000.0,1392000.0,2014000.0,331000.0,845000.0,1392000.0,2014000.0,1000000.0,2000000.0,3000000.0,2000000.0,2000000.0,3000000.0,5000000.0,4000000.0,3000000.0,8000000.0,13000000.0,8000000.0,5000000.0,10000000.0,14000000.0,19000000.0,4000000.0,7000000.0,10000000.0
FinanceLeaseLiability / USD,,,,,,,,,34161000.0,37164000.0,42560000.0,51473000.0,65730000.0,66097000.0,75441000.0,110015000.0,126000000.0,142000000.0,157000000.0,206000000.0,322000000.0,373000000.0,401000000.0,374000000.0,358000000.0,327000000.0,294000000.0,267000000.0,244000000.0,223000000.0,203000000.0,183000000.0,166000000.0,156000000.0,160000000.0
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,,38769000.0,41973000.0,47822000.0,57590000.0,73468000.0,73551000.0,83850000.0,122591000.0,140000000.0,158000000.0,174000000.0,230000000.0,359000000.0,417000000.0,448000000.0,418000000.0,399000000.0,363000000.0,325000000.0,294000000.0,267000000.0,243000000.0,220000000.0,197000000.0,179000000.0,168000000.0,174000000.0
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,,1224000.0,1785000.0,3030000.0,578000.0,2308000.0,,,2043000.0,,,,4000000.0,,,,4000000.0,,,,0.0,,,,0.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,,,,,13985000.0,,18085000.0,21395000.0,31426000.0,34000000.0,40000000.0,46000000.0,61000000.0,87000000.0,104000000.0,117000000.0,115000000.0,104000000.0,101000000.0,97000000.0,95000000.0,85000000.0,85000000.0,85000000.0,84000000.0,71000000.0,73000000.0,79000000.0
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,,7061000.0,8064000.0,9649000.0,5010000.0,8238000.0,,,12231000.0,,,,23000000.0,,,,31000000.0,,,,7000000.0,,,,0.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,,7628000.0,8666000.0,10308000.0,12022000.0,15360000.0,9120000.0,11801000.0,20044000.0,16000000.0,21000000.0,25000000.0,38000000.0,46000000.0,60000000.0,71000000.0,74000000.0,34000000.0,35000000.0,35000000.0,35000000.0,7000000.0,7000000.0,7000000.0,8000000.0,1000000.0,3000000.0,9000000.0
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,,7953000.0,9040000.0,10701000.0,12800000.0,16471000.0,16269000.0,19119000.0,27810000.0,24000000.0,29000000.0,34000000.0,48000000.0,64000000.0,79000000.0,91000000.0,91000000.0,76000000.0,75000000.0,73000000.0,72000000.0,34000000.0,34000000.0,34000000.0,34000000.0,8000000.0,10000000.0,16000000.0
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,,8227000.0,9381000.0,11174000.0,13195000.0,17058000.0,17412000.0,20320000.0,29037000.0,33000000.0,38000000.0,43000000.0,56000000.0,77000000.0,93000000.0,105000000.0,103000000.0,93000000.0,91000000.0,87000000.0,85000000.0,71000000.0,71000000.0,71000000.0,71000000.0,35000000.0,37000000.0,43000000.0
FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear / USD,,,,,,,,,6676000.0,5037000.0,2960000.0,,14033000.0,9842000.0,5799000.0,,28000000.0,22000000.0,13000000.0,,72000000.0,58000000.0,32000000.0,,87000000.0,55000000.0,26000000.0,,70000000.0,46000000.0,23000000.0,,64000000.0,44000000.0,22000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,4608000.0,4809000.0,5262000.0,6117000.0,7738000.0,7454000.0,8409000.0,12576000.0,14000000.0,16000000.0,17000000.0,24000000.0,37000000.0,44000000.0,47000000.0,44000000.0,41000000.0,36000000.0,31000000.0,27000000.0,23000000.0,20000000.0,17000000.0,14000000.0,13000000.0,12000000.0,14000000.0
FinanceLeasePrincipalPayments / USD,,,,,,,,,1208000.0,3275000.0,5581000.0,8425000.0,1208000.0,3275000.0,5581000.0,8425000.0,4000000.0,8000000.0,13000000.0,8000000.0,11000000.0,22000000.0,35000000.0,20000000.0,34000000.0,65000000.0,106000000.0,56000000.0,32000000.0,64000000.0,91000000.0,139000000.0,21000000.0,41000000.0,61000000.0
FinanceLeaseRightOfUseAssetAmortization / USD,,,,,,,,,1267000.0,3255000.0,5477000.0,8116000.0,1267000.0,3255000.0,5477000.0,8116000.0,3000000.0,7000000.0,11000000.0,8000000.0,7000000.0,15000000.0,26000000.0,17000000.0,17000000.0,41000000.0,68000000.0,38000000.0,28000000.0,56000000.0,82000000.0,95000000.0,26000000.0,51000000.0,72000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,,0.056,0.056,0.055,0.054,0.056,0.056,0.055,0.054,0.054,0.054,0.053,0.054,0.053,0.053,0.054,0.053,0.053,0.055,0.056,0.054,0.058,0.058,0.059,0.057,0.06,0.06,0.059
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000000.0,39000000.0,39000000.0,57000000.0,57000000.0,57000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,2893000.0,2893000.0,1585000.0,,1586000.0,1585000.0,350000.0,,0.0,0.0,0.0,,,,0.0,,,,8000000.0,,,,5000000.0,,,,3000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,,1494000.0,,,,1590000.0,,1389000.0,1389000.0,1389000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,18000000.0,,,,18000000.0,,14000000.0,14000000.0,14000000.0,7000000.0,7000000.0,7000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,747000.0,374000.0,,1120000.0,800000.0,448000.0,,1042000.0,694000.0,347000.0,,1000000.0,1000000.0,1000000.0,,1000000.0,,,,,,,,,9000000.0,5000000.0,,9000000.0,6000000.0,3000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,1494000.0,1494000.0,1308000.0,1308000.0,1279000.0,1279000.0,1235000.0,1235000.0,351000.0,351000.0,351000.0,,,,0.0,,,,5000000.0,,,,3000000.0,,,,2000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,1494000.0,1494000.0,1494000.0,1494000.0,1389000.0,1389000.0,1279000.0,1279000.0,1235000.0,1235000.0,1235000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,,,7000000.0,,,,5000000.0,,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,1494000.0,1494000.0,1494000.0,1494000.0,1442000.0,1389000.0,1389000.0,1389000.0,1279000.0,1279000.0,1279000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,14000000.0,,,,7000000.0,,5000000.0,5000000.0,5000000.0,3000000.0,3000000.0,3000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,1494000.0,1494000.0,1494000.0,1494000.0,1600000.0,1590000.0,1389000.0,1389000.0,1389000.0,1389000.0,1389000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,18000000.0,,,,14000000.0,,7000000.0,7000000.0,7000000.0,5000000.0,5000000.0,5000000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,92000000.0,92000000.0,,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0,91000000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,,0.0,0.0,0.0,8869000.0,8869000.0,8869000.0,8869000.0,7232000.0,7232000.0,7232000.0,7232000.0,6000000.0,6000000.0,6000000.0,6000000.0,4000000.0,4000000.0,4000000.0,4000000.0,70000000.0,70000000.0,70000000.0,70000000.0,52000000.0,52000000.0,52000000.0,52000000.0,29000000.0,26000000.0,23000000.0
GainLossOnDispositionOfAssets / USD,,0.0,0.0,0.0,-200000.0,-565000.0,-882000.0,0.0,-103000.0,-267000.0,-542000.0,-958000.0,-49000.0,-653000.0,-1046000.0,-575000.0,,-5000000.0,-6000000.0,-2000000.0,0.0,-1000000.0,-1000000.0,-6000000.0,-1000000.0,-2000000.0,-3000000.0,-1000000.0,-1000000.0,-6000000.0,-8000000.0,-14000000.0,-1000000.0,-2000000.0,-3000000.0
GainLossOnSalesOfConsumerLoans / USD,,3792000.0,6169000.0,0.0,2942000.0,8390000.0,14982000.0,7446000.0,9891000.0,22313000.0,35655000.0,21697000.0,19200000.0,59573000.0,99408000.0,51729000.0,13000000.0,52000000.0,129000000.0,137000000.0,138000000.0,338000000.0,528000000.0,218000000.0,105000000.0,235000000.0,361000000.0,717000000.0,64000000.0,214000000.0,360000000.0,411000000.0,144000000.0,317000000.0,541000000.0
