fact_unit,2009-10-29,2010-01-28,2010-01-29,2010-04-30,2010-08-13,2010-10-28,2011-01-28,2011-04-29,2011-08-10,2011-10-27,2012-01-27,2012-02-10,2012-04-27,2012-08-08,2012-10-25,2013-01-25,2013-04-24,2013-08-08,2013-10-25,2013-10-28,2014-01-24,2014-04-23,2014-08-08,2014-10-24,2015-01-27,2015-04-23,2015-08-07,2015-10-23,2015-10-26,2016-01-26,2016-04-26,2016-08-09,2016-10-25,2017-01-20,2017-04-26,2017-08-07,2017-10-20,2018-01-23,2018-04-19,2018-08-07,2018-10-19,2018-10-22,2019-01-23,2019-04-23,2019-08-06,2019-10-22,2020-01-23,2020-04-20,2020-08-06,2020-08-07,2020-10-20,2021-01-20,2021-04-20,2021-08-06,2021-10-19,2022-01-19,2022-04-20,2022-08-05,2022-10-19,2023-01-19,2023-04-21,2023-08-04,2023-10-18,2024-01-23,2024-04-19,2024-08-05,2024-10-18,2025-01-22,2025-04-24,2025-08-04,2025-10-24
CommonStockValue / USD,4007000000.0,4007000000.0,4002000000.0,4007000000.0,4007000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4008000000.0,4009000000.0,4008000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0,4009000000.0
ComprehensiveIncomeNetOfTax / USD,,,11808000000.0,,15204000000.0,4702000000.0,9088000000.0,9860000000.0,6332000000.0,5896000000.0,,,,,88000000.0,403000000.0,4121000000.0,17552000000.0,3959000000.0,17552000000.0,8499000000.0,10484000000.0,3501000000.0,3790000000.0,7577000000.0,9918000000.0,13142000000.0,-141000000.0,13142000000.0,769000000.0,326000000.0,11472000000.0,1635000000.0,4253000000.0,7695000000.0,1918000000.0,2678000000.0,9974000000.0,13063000000.0,7381000000.0,3193000000.0,7381000000.0,5809000000.0,8600000000.0,16601000000.0,3141000000.0,6312000000.0,9245000000.0,9633000000.0,9633000000.0,3231000000.0,7304000000.0,9247000000.0,4036000000.0,4561000000.0,9205000000.0,12076000000.0,11798000000.0,3794000000.0,8515000000.0,11986000000.0,16727000000.0,3317000000.0,7555000000.0,11192000000.0,16297000000.0,4157000000.0,8041000000.0,11592000000.0,14622000000.0,4965000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,28000000.0,47000000.0,107000000.0,143000000.0,48000000.0,143000000.0,69000000.0,87000000.0,124000000.0,35000000.0,85000000.0,111000000.0,94000000.0,12000000.0,94000000.0,-6000000.0,91000000.0,150000000.0,34000000.0,56000000.0,89000000.0,108000000.0,43000000.0,64000000.0,98000000.0,96000000.0,17000000.0,96000000.0,83000000.0,112000000.0,85000000.0,8000000.0,31000000.0,65000000.0,109000000.0,109000000.0,20000000.0,44000000.0,73000000.0,70000000.0,36000000.0,71000000.0,50000000.0,60000000.0,14000000.0,33000000.0,41000000.0,50000000.0,19000000.0,42000000.0,70000000.0,43000000.0,33000000.0,58000000.0,85000000.0,78000000.0,28000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,,,8948000000.0,6418000000.0,13715000000.0,8382000000.0,116000000.0,450000000.0,4228000000.0,17695000000.0,4007000000.0,17695000000.0,8568000000.0,10571000000.0,3625000000.0,3825000000.0,7662000000.0,10029000000.0,13236000000.0,-129000000.0,13236000000.0,763000000.0,417000000.0,11622000000.0,1669000000.0,4309000000.0,7784000000.0,2026000000.0,2721000000.0,10038000000.0,13161000000.0,7477000000.0,3210000000.0,7477000000.0,5892000000.0,8712000000.0,16686000000.0,3149000000.0,6343000000.0,9310000000.0,9742000000.0,9742000000.0,3251000000.0,7348000000.0,9320000000.0,4106000000.0,4597000000.0,9276000000.0,12126000000.0,11858000000.0,3808000000.0,8548000000.0,12027000000.0,16777000000.0,3336000000.0,7597000000.0,11262000000.0,16340000000.0,4190000000.0,8100000000.0,11677000000.0,14700000000.0,4994000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8269000000.0,,16978000000.0,25362000000.0,32638000000.0,8484000000.0,17403000000.0,25830000000.0,34432000000.0,34432000000.0,8723000000.0,17592000000.0,26308000000.0,34768000000.0,9142000000.0,18395000000.0,27317000000.0,35250000000.0,10365000000.0,21029000000.0,31355000000.0,37108000000.0,10846000000.0,21743000000.0,32147000000.0,42157000000.0,10501000000.0,20645000000.0,30500000000.0,42760000000.0,10421000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,670000000.0,,,,1619000000.0,,,1619000000.0,,2118000000.0,,,,1770000000.0,,1770000000.0,,,1837000000.0,,,,1745000000.0,,1629000000.0,,,1399000000.0,,,,2127000000.0,,,,1673000000.0,,1673000000.0,,,1531000000.0,,,,3965000000.0,3965000000.0,,,,1064000000.0,,,,1266000000.0,,,,1663000000.0,,,,1916000000.0,,,,2303000000.0,
CurrentForeignTaxExpenseBenefit / USD,,,,,1515000000.0,,,,1268000000.0,,,1268000000.0,,1581000000.0,,,,1149000000.0,,1149000000.0,,,1357000000.0,,,,1502000000.0,,1452000000.0,,,1252000000.0,,,,1142000000.0,,,,1483000000.0,,1483000000.0,,,1243000000.0,,,,1131000000.0,1131000000.0,,,,1259000000.0,,,,1769000000.0,,,,1534000000.0,,,,1333000000.0,,,,1412000000.0,
CurrentIncomeTaxExpenseBenefit / USD,,,,,2373000000.0,,,,3116000000.0,,,3116000000.0,,3984000000.0,,,,3175000000.0,,3175000000.0,,,3440000000.0,,,,3525000000.0,,3359000000.0,,,2888000000.0,,,,3521000000.0,,,,3380000000.0,,3380000000.0,,,3015000000.0,,,,5309000000.0,5309000000.0,,,,2514000000.0,,,,3327000000.0,,,,3521000000.0,,,,3604000000.0,,,,4068000000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,188000000.0,,,,229000000.0,,,229000000.0,,285000000.0,,,,256000000.0,,256000000.0,,,246000000.0,,,,278000000.0,,278000000.0,,,237000000.0,,,,252000000.0,,,,224000000.0,,224000000.0,,,241000000.0,,,,213000000.0,213000000.0,,,,191000000.0,,,,292000000.0,,,,324000000.0,,,,355000000.0,,,,353000000.0,
DebtCurrent / USD,16320000000.0,16320000000.0,13084000000.0,16320000000.0,16320000000.0,8472000000.0,8472000000.0,8472000000.0,8472000000.0,9981000000.0,9981000000.0,8472000000.0,9981000000.0,9981000000.0,8698000000.0,8698000000.0,8698000000.0,8698000000.0,12432000000.0,8698000000.0,12432000000.0,12432000000.0,12432000000.0,15606000000.0,15606000000.0,15606000000.0,15606000000.0,12018000000.0,15600000000.0,12018000000.0,12018000000.0,12018000000.0,11653000000.0,11653000000.0,11653000000.0,11653000000.0,13554000000.0,13554000000.0,13554000000.0,13554000000.0,10423000000.0,13554000000.0,10423000000.0,10423000000.0,10423000000.0,9697000000.0,9697000000.0,9697000000.0,9697000000.0,9697000000.0,11183000000.0,11183000000.0,11183000000.0,11183000000.0,8889000000.0,8889000000.0,8889000000.0,8889000000.0,8645000000.0,8645000000.0,8645000000.0,8645000000.0,10229000000.0,10229000000.0,10229000000.0,10229000000.0,7191000000.0,7191000000.0,7191000000.0,7191000000.0,9513000000.0
