fact_unit,2016-06-10,2016-09-06,2016-12-09,2017-03-31,2017-06-09,2017-09-08,2017-12-12,2018-03-29,2018-06-12,2018-08-06,2018-09-11,2018-12-10,2019-03-29,2019-06-10,2019-09-10,2019-12-09,2020-03-27,2020-06-08,2020-09-04,2020-12-07,2021-03-26,2021-06-07,2021-09-03,2021-12-03,2022-03-24,2022-06-06,2022-09-01,2022-12-05,2023-03-30,2023-06-12,2023-09-12,2023-12-08,2024-03-25,2024-06-11,2024-09-10,2024-12-10,2025-03-25,2025-06-10,2025-09-08
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,54000000.0,55000000.0,,,,,,,,,,,,6000000.0,1000000.0,0.0,,6000000.0,1000000.0,0.0,,8000000.0,6000000.0,1000000.0,,0.0,0.0,0.0,0.0,1000000.0,8000000.0,11000000.0,0.0,16000000.0,8000000.0,5000000.0,9000000.0,0.0,0.0
Assets / USD,45122000000.0,45122000000.0,45122000000.0,45122000000.0,118206000000.0,118206000000.0,118206000000.0,118206000000.0,124193000000.0,119672000000.0,124193000000.0,124193000000.0,124193000000.0,111820000000.0,111820000000.0,111820000000.0,111820000000.0,118861000000.0,118861000000.0,118861000000.0,118861000000.0,123415000000.0,123415000000.0,123415000000.0,123415000000.0,92735000000.0,92735000000.0,92735000000.0,92735000000.0,89611000000.0,89611000000.0,89611000000.0,89611000000.0,82089000000.0,82089000000.0,82089000000.0,82126000000.0,79746000000.0,79746000000.0
AssetsCurrent / USD,21455000000.0,23573000000.0,23573000000.0,23573000000.0,30773000000.0,30773000000.0,30773000000.0,30773000000.0,40328000000.0,31905000000.0,40328000000.0,40328000000.0,40328000000.0,36138000000.0,36138000000.0,36138000000.0,36138000000.0,36868000000.0,36868000000.0,36868000000.0,36868000000.0,43567000000.0,43567000000.0,43567000000.0,43567000000.0,45033000000.0,45033000000.0,45033000000.0,45033000000.0,42351000000.0,42351000000.0,42351000000.0,42351000000.0,35947000000.0,35947000000.0,35947000000.0,35984000000.0,36229000000.0,36229000000.0
AssetsFairValueDisclosure / USD,,,,,,,,,,,,,14677000000.0,5652000000.0,5652000000.0,5652000000.0,5652000000.0,4714000000.0,4714000000.0,4714000000.0,4714000000.0,9399000000.0,9399000000.0,9399000000.0,5491000000.0,4076000000.0,4076000000.0,4076000000.0,4076000000.0,4629000000.0,4629000000.0,4629000000.0,4629000000.0,3284000000.0,3284000000.0,3284000000.0,3284000000.0,881000000.0,881000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,1721000000.0,4372000000.0,4333000000.0,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,4852000000.0,,,,,,0.0,,,,,0.0,0.0,668000000.0,668000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,144000000.0,79000000.0,79000000.0,79000000.0,79000000.0,17000000.0,17000000.0,17000000.0,17000000.0,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0,24000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,42000000.0,119000000.0,119000000.0,119000000.0,119000000.0,40000000.0,40000000.0,40000000.0,40000000.0,26000000.0,26000000.0,26000000.0,26000000.0,27000000.0,27000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,5190000000.0,4723000000.0,5306000000.0,5562000000.0,5672000000.0,5542000000.0,5672000000.0,5184000000.0,4357000000.0,,,,,,,,,,,,,185000000.0,126000000.0,126000000.0,126000000.0,126000000.0,56000000.0,56000000.0,56000000.0,56000000.0,12000000.0,12000000.0,12000000.0,12000000.0,11000000.0,11000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,5153000000.0,4698000000.0,5295000000.0,5544000000.0,5624000000.0,5475000000.0,5624000000.0,5126000000.0,4295000000.0,,,,,,,,,,,,,287000000.0,86000000.0,86000000.0,86000000.0,86000000.0,33000000.0,33000000.0,33000000.0,33000000.0,10000000.0,10000000.0,10000000.0,10000000.0,8000000.0,8000000.0
CapitalizedComputerSoftwareAmortization1 / USD,,,400000.0,,,,,0.0,,0.0,,,82000000.0,,,,82000000.0,,,,211000000.0,,,,273000000.0,,,,315000000.0,,,,263000000.0,,,,317000000.0,,
CapitalizedComputerSoftwareNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646000000.0,,
CashAndCashEquivalentsAtCarryingValue / USD,5398000000.0,5999000000.0,5654000000.0,5398000000.0,5871000000.0,7226000000.0,8822000000.0,6322000000.0,13942000000.0,9474000000.0,13942000000.0,13942000000.0,13942000000.0,9676000000.0,9676000000.0,9676000000.0,9676000000.0,9302000000.0,9302000000.0,9302000000.0,9302000000.0,14201000000.0,14201000000.0,14201000000.0,9508000000.0,9477000000.0,9477000000.0,9477000000.0,9477000000.0,8607000000.0,8607000000.0,8607000000.0,8607000000.0,7366000000.0,7366000000.0,7366000000.0,7366000000.0,3633000000.0,3633000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,9832000000.0,9832000000.0,9832000000.0,9832000000.0,6892000000.0,14378000000.0,14378000000.0,14378000000.0,9832000000.0,10240000000.0,10240000000.0,10240000000.0,14378000000.0,10151000000.0,10151000000.0,10151000000.0,7120000000.0,9593000000.0,6705000000.0,10816000000.0,10414000000.0,10082000000.0,10082000000.0,10082000000.0,15184000000.0,8894000000.0,8894000000.0,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,6892000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,8894000000.0,10082000000.0,7507000000.0,7507000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,143000000.0,2940000000.0,-214000000.0,2326000000.0,2940000000.0,1467000000.0,1427000000.0,1298000000.0,4546000000.0,-531000000.0,-305000000.0,-899000000.0,-4138000000.0,2847000000.0,1902000000.0,2006000000.0,-89000000.0,76000000.0,-2557000000.0,8185000000.0,5033000000.0,-2806000000.0,-3989000000.0,-4858000000.0,-5102000000.0,-967000000.0,-244000000.0,,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-446000000.0,-1188000000.0,-1545000000.0,-2836000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.37,0.37,0.37,1.32,0.445,0.445
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,700000000.0,700000000.0,700000000.0,700000000.0,2143000000.0,2143000000.0,2143000000.0,2143000000.0,9143000000.0,2143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,9143000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0,8800000000.0
CommonStockSharesIssued / shares,405000000.0,405000000.0,405000000.0,405000000.0,792000000.0,792000000.0,792000000.0,792000000.0,794000000.0,792000000.0,794000000.0,794000000.0,794000000.0,721000000.0,721000000.0,721000000.0,721000000.0,745000000.0,745000000.0,745000000.0,745000000.0,761000000.0,761000000.0,761000000.0,761000000.0,777000000.0,777000000.0,777000000.0,777000000.0,798000000.0,798000000.0,798000000.0,798000000.0,821000000.0,821000000.0,821000000.0,821000000.0,834000000.0,834000000.0
CommonStockSharesOutstanding / shares,405000000.0,405000000.0,405000000.0,405000000.0,778000000.0,778000000.0,778000000.0,778000000.0,769000000.0,778000000.0,769000000.0,768000000.0,769000000.0,719000000.0,719000000.0,719000000.0,719000000.0,743000000.0,743000000.0,743000000.0,743000000.0,753000000.0,753000000.0,753000000.0,753000000.0,757000000.0,757000000.0,757000000.0,757000000.0,716000000.0,716000000.0,716000000.0,716000000.0,705000000.0,705000000.0,705000000.0,705000000.0,696000000.0,696000000.0
CommonStocksIncludingAdditionalPaidInCapital / USD,5727000000.0,5727000000.0,5727000000.0,5727000000.0,20199000000.0,20199000000.0,20199000000.0,20199000000.0,19889000000.0,20199000000.0,19889000000.0,19889000000.0,19889000000.0,16114000000.0,16114000000.0,16114000000.0,16114000000.0,16091000000.0,16091000000.0,16091000000.0,16091000000.0,16849000000.0,16849000000.0,16849000000.0,16849000000.0,7898000000.0,7898000000.0,7898000000.0,7898000000.0,8424000000.0,8424000000.0,8424000000.0,8424000000.0,8926000000.0,8926000000.0,8926000000.0,8926000000.0,9119000000.0,9119000000.0
ComprehensiveIncomeNetOfTax / USD,-727000000.0,-1028000000.0,-1256000000.0,-1165000000.0,23000000.0,644000000.0,-1616000000.0,-1457000000.0,-1129000000.0,-1438000000.0,-1515000000.0,-2380000000.0,-1438000000.0,-829000000.0,-1541000000.0,-2539000000.0,-2124000000.0,235000000.0,3611000000.0,4043000000.0,-2849000000.0,62000000.0,1240000000.0,2179000000.0,4374000000.0,907000000.0,1685000000.0,5481000000.0,3645000000.0,1079000000.0,1309000000.0,1339000000.0,5438000000.0,716000000.0,1289000000.0,2229000000.0,1872000000.0,992000000.0,1820000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,-1028000000.0,-1256000000.0,-1165000000.0,23000000.0,643000000.0,-1628000000.0,-1457000000.0,-1158000000.0,-1432000000.0,-1550000000.0,-2422000000.0,-1432000000.0,-736000000.0,-1409000000.0,-2426000000.0,-2203000000.0,272000000.0,4464000000.0,4948000000.0,-2714000000.0,98000000.0,1329000000.0,2318000000.0,5287000000.0,958000000.0,1785000000.0,5626000000.0,3900000000.0,1076000000.0,1300000000.0,1326000000.0,5582000000.0,711000000.0,1277000000.0,2215000000.0,1851000000.0,987000000.0,1810000000.0
ContractWithCustomerLiability / USD,,,,,,,,,20816000000.0,17815000000.0,20816000000.0,20816000000.0,17815000000.0,20816000000.0,20816000000.0,20816000000.0,20816000000.0,24010000000.0,24010000000.0,24010000000.0,24010000000.0,27800000000.0,27800000000.0,27800000000.0,22539000000.0,25592000000.0,25592000000.0,25592000000.0,25592000000.0,27573000000.0,27573000000.0,27573000000.0,27573000000.0,30286000000.0,30286000000.0,30286000000.0,30286000000.0,29145000000.0,29145000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,11495000000.0,11606000000.0,11606000000.0,11606000000.0,11606000000.0,11495000000.0,11965000000.0,12079000000.0,12944000000.0,13043000000.0,13568000000.0,13787000000.0,14881000000.0,14766000000.0,15341000000.0,15259000000.0,13201000000.0,13641000000.0,13765000000.0,13426000000.0,14261000000.0,14329000000.0,14724000000.0,14106000000.0,15542000000.0,15527000000.0,16174000000.0,15206000000.0,15318000000.0,15034000000.0,14853000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,9464000000.0,9210000000.0,9210000000.0,9210000000.0,9210000000.0,9464000000.0,9735000000.0,10064000000.0,11066000000.0,11135000000.0,11780000000.0,12116000000.0,12919000000.0,12851000000.0,13450000000.0,13422000000.0,12391000000.0,12641000000.0,12903000000.0,12915000000.0,13312000000.0,13074000000.0,13301000000.0,12983000000.0,14744000000.0,14168000000.0,14138000000.0,13847000000.0,13827000000.0,13116000000.0,12859000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,-5194000000.0,-18115000000.0,-10576000000.0,-15299000000.0,15477000000.0,4182000000.0,8429000000.0,12838000000.0,17386000000.0,4732000000.0,9537000000.0,14459000000.0,19676000000.0,5356000000.0,10843000000.0,16418000000.0,17098000000.0,4589000000.0,9329000000.0,14155000000.0,18843000000.0,4980000000.0,9930000000.0,14994000000.0,20288000000.0,5310000000.0,10718000000.0,16484000000.0,22022000000.0,5464000000.0,10822000000.0
ContractWithCustomerReceivableAfterAllowanceForCreditLossCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731000000.0,
CostOfGoodsSoldSalesTypeLease / USD,,,,,,,,,,,,,,81000000.0,260000000.0,475000000.0,582000000.0,81000000.0,260000000.0,475000000.0,582000000.0,159000000.0,333000000.0,435000000.0,582000000.0,163000000.0,305000000.0,467000000.0,578000000.0,204000000.0,368000000.0,532000000.0,583000000.0,196000000.0,388000000.0,564000000.0,727000000.0,618000000.0,1155000000.0
CostOfRevenue / USD,10709000000.0,21509000000.0,32099000000.0,45246000000.0,10048000000.0,20792000000.0,33140000000.0,42524000000.0,13543000000.0,48515000000.0,28096000000.0,42432000000.0,48515000000.0,15478000000.0,32297000000.0,48836000000.0,58503000000.0,15111000000.0,31155000000.0,46873000000.0,65568000000.0,15044000000.0,30621000000.0,46842000000.0,64176000000.0,17326000000.0,36042000000.0,56932000000.0,66530000000.0,20332000000.0,41318000000.0,60332000000.0,79306000000.0,15904000000.0,33451000000.0,50554000000.0,79615000000.0,17393000000.0,37058000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,56000000.0,,,,-174000000.0,,-139000000.0,,,-139000000.0,,,,52000000.0,,,,461000000.0,,,,-144000000.0,,,,-514000000.0,,,,166000000.0,,,,605000000.0,,
CurrentForeignTaxExpenseBenefit / USD,,,,184000000.0,,,,228000000.0,,322000000.0,,,322000000.0,,,,599000000.0,,,,616000000.0,,,,647000000.0,,,,825000000.0,,,,960000000.0,,,,739000000.0,,
CurrentIncomeTaxExpenseBenefit / USD,,,,236000000.0,,,,52000000.0,,229000000.0,,,229000000.0,,,,762000000.0,,,,1151000000.0,,,,544000000.0,,,,289000000.0,,,,1202000000.0,,,,1520000000.0,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,-4000000.0,,,,-2000000.0,,46000000.0,,,46000000.0,,,,111000000.0,,,,74000000.0,,,,41000000.0,,,,-22000000.0,,,,76000000.0,,,,176000000.0,,
DebtCurrent / USD,2981000000.0,2981000000.0,2981000000.0,2981000000.0,6329000000.0,6329000000.0,6329000000.0,6329000000.0,7873000000.0,6329000000.0,7873000000.0,7873000000.0,7873000000.0,4320000000.0,4320000000.0,4320000000.0,4320000000.0,7737000000.0,7737000000.0,7737000000.0,7737000000.0,6362000000.0,6362000000.0,6362000000.0,6357000000.0,5823000000.0,5823000000.0,5823000000.0,5823000000.0,6573000000.0,6573000000.0,6573000000.0,6573000000.0,6982000000.0,6982000000.0,6982000000.0,6982000000.0,5204000000.0,5204000000.0
DebtInstrumentCarryingAmount / USD,13980000000.0,13980000000.0,13980000000.0,13980000000.0,50356000000.0,50356000000.0,50356000000.0,50356000000.0,52694000000.0,50356000000.0,52694000000.0,52694000000.0,52694000000.0,54239000000.0,54239000000.0,54239000000.0,54239000000.0,52665000000.0,52665000000.0,52665000000.0,52665000000.0,48480000000.0,48480000000.0,48480000000.0,39675000000.0,27235000000.0,27235000000.0,27235000000.0,27235000000.0,29867000000.0,29867000000.0,29867000000.0,29867000000.0,26222000000.0,26222000000.0,26222000000.0,26222000000.0,24788000000.0,24788000000.0
DebtInstrumentUnamortizedDiscountPremiumNet / USD,221000000.0,221000000.0,221000000.0,221000000.0,284000000.0,284000000.0,284000000.0,284000000.0,266000000.0,284000000.0,266000000.0,266000000.0,266000000.0,271000000.0,271000000.0,271000000.0,271000000.0,241000000.0,241000000.0,241000000.0,241000000.0,194000000.0,194000000.0,194000000.0,178000000.0,134000000.0,134000000.0,134000000.0,134000000.0,133000000.0,133000000.0,133000000.0,133000000.0,114000000.0,114000000.0,114000000.0,114000000.0,110000000.0,110000000.0
DebtSecuritiesAvailableForSaleAndHeldToMaturityAmortizedCostBeforeAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,639000000.0,719000000.0,719000000.0,719000000.0,719000000.0,770000000.0,770000000.0,770000000.0,770000000.0,744000000.0,744000000.0,744000000.0,744000000.0,750000000.0,750000000.0
DebtSecuritiesAvailableForSaleAndHeldToMaturityCumulativeUnrecognizedGain / USD,,,,,,,,,,,,,,,,,,,,,,,,,563000000.0,979000000.0,979000000.0,979000000.0,979000000.0,668000000.0,668000000.0,668000000.0,668000000.0,1039000000.0,1039000000.0,1039000000.0,1039000000.0,1033000000.0,1033000000.0
DebtSecuritiesAvailableForSaleAndHeldToMaturityCumulativeUnrecognizedLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,53000000.0,171000000.0,171000000.0,171000000.0,171000000.0,140000000.0,140000000.0,140000000.0,140000000.0,480000000.0,480000000.0,480000000.0,480000000.0,288000000.0,288000000.0
DebtSecuritiesAvailableForSaleAndHeldToMaturityFairValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,1149000000.0,1527000000.0,1527000000.0,1527000000.0,1527000000.0,1298000000.0,1298000000.0,1298000000.0,1298000000.0,1303000000.0,1303000000.0,1303000000.0,1303000000.0,1495000000.0,1495000000.0
DeferredCompensationPlanAssets / USD,,,,,,,,,,,,,,,192000000.0,192000000.0,192000000.0,241000000.0,241000000.0,241000000.0,241000000.0,308000000.0,308000000.0,308000000.0,168000000.0,192000000.0,192000000.0,192000000.0,192000000.0,179000000.0,179000000.0,179000000.0,179000000.0,214000000.0,214000000.0,214000000.0,214000000.0,244000000.0,244000000.0
DeferredCostsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,4306000000.0,4996000000.0,4996000000.0,4996000000.0,4996000000.0,5459000000.0,5459000000.0,5459000000.0,5459000000.0,5548000000.0,5548000000.0,5548000000.0,5548000000.0,4129000000.0,4129000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-298000000.0,,,,-119000000.0,,-1510000000.0,,,-1510000000.0,,,,-2368000000.0,,,,-1150000000.0,,,,-404000000.0,,,,-16000000.0,,,,-54000000.0,,,,-483000000.0,,
DeferredFinanceCostsNet / USD,128000000.0,128000000.0,128000000.0,128000000.0,682000000.0,682000000.0,682000000.0,682000000.0,557000000.0,682000000.0,557000000.0,557000000.0,557000000.0,447000000.0,447000000.0,447000000.0,447000000.0,368000000.0,368000000.0,368000000.0,368000000.0,302000000.0,302000000.0,302000000.0,275000000.0,147000000.0,147000000.0,147000000.0,147000000.0,146000000.0,146000000.0,146000000.0,146000000.0,114000000.0,114000000.0,114000000.0,114000000.0,111000000.0,111000000.0
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-26000000.0,,,,-36000000.0,,-34000000.0,,,-34000000.0,,,,-98000000.0,,,,-96000000.0,,,,-622000000.0,,,,-57000000.0,,,,-167000000.0,,,,-131000000.0,,
DeferredIncomeTaxExpenseBenefit / USD,,,,-343000000.0,,,,-170000000.0,,-1649000000.0,,,-1649000000.0,,,,-2605000000.0,,,,-1331000000.0,,,,-1116000000.0,,,,-188000000.0,,,,-221000000.0,,,,-717000000.0,,
DeferredIncomeTaxLiabilities / USD,,,,2099000000.0,,,,8171000000.0,,8264000000.0,,,5009000000.0,,,,4399000000.0,,,,1293000000.0,,,,2053000000.0,,,,1870000000.0,,,,1655000000.0,,,,1487000000.0,,
DeferredIncomeTaxesAndTaxCredits / USD,-5000000.0,-216000000.0,-403000000.0,-465000000.0,-586000000.0,-1619000000.0,-2036000000.0,-205000000.0,-790000000.0,-2052000000.0,-1432000000.0,-1800000000.0,-2052000000.0,-363000000.0,-679000000.0,-864000000.0,-2605000000.0,-813000000.0,-5541000000.0,-5927000000.0,-1331000000.0,-225000000.0,-384000000.0,-219000000.0,-6339000000.0,-170000000.0,-300000000.0,-450000000.0,-399000000.0,-246000000.0,-382000000.0,-745000000.0,-365000000.0,-93000000.0,-194000000.0,-244000000.0,-717000000.0,-327000000.0,-344000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-19000000.0,,,,-15000000.0,,-105000000.0,,,-105000000.0,,,,-139000000.0,,,,-85000000.0,,,,-90000000.0,,,,-115000000.0,,,,0.0,,,,-103000000.0,,
DeferredTaxAssetsGross / USD,,,,2282000000.0,,,,3996000000.0,,3530000000.0,,,2928000000.0,,,,4653000000.0,,,,7918000000.0,,,,3822000000.0,,,,3936000000.0,,,,4550000000.0,,,,4151000000.0,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,263000000.0,,,,302000000.0,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,,,,,,,,,4938000000.0,,,,4938000000.0,,,,472000000.0,,,,643000000.0,,,,1360000000.0,,,,1432000000.0,,
DeferredTaxAssetsNet / USD,,,,1466000000.0,,,,3259000000.0,,2821000000.0,,,2151000000.0,,,,2949000000.0,,,,6231000000.0,,,,2525000000.0,,,,2513000000.0,,,,3015000000.0,,,,2919000000.0,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,744000000.0,,,,372000000.0,,372000000.0,,,509000000.0,,,,466000000.0,,,,580000000.0,,,,438000000.0,,,,379000000.0,,,,467000000.0,,,,619000000.0,,
