fact_unit,2017-11-13,2018-03-28,2018-05-04,2018-08-02,2018-11-01,2019-02-14,2019-05-01,2019-07-31,2019-10-31,2020-02-20,2020-04-30,2020-07-29,2020-10-28,2021-02-18,2021-04-29,2021-07-28,2021-10-27,2022-02-23,2022-05-04,2022-07-27,2022-10-27,2023-02-23,2023-05-01,2023-07-26,2023-10-25,2024-02-22,2024-05-01,2024-07-31,2024-10-31,2025-02-20,2025-04-30,2025-07-30,2025-10-30
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9423000.0,9423000.0,9423000.0,9423000.0,5865000.0,5865000.0,5865000.0
DeferredIncomeTaxExpenseBenefit / USD,,-1912000.0,,,,-1912000.0,,,,-1912000.0,,,,-348000.0,,,,,,,,,,,,346000.0,,,,460000.0,,,
DeferredIncomeTaxLiabilities / USD,,3797000.0,,,,3797000.0,,,,3457000.0,,,,3478000.0,,,,3568000.0,,,,6286000.0,,,,6870000.0,,,,12063000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,3718000.0,3718000.0,3718000.0,3718000.0,3718000.0,3340000.0,3340000.0,3340000.0,3340000.0,3382000.0,3382000.0,3382000.0,3382000.0,3533000.0,3533000.0,3533000.0,3533000.0,3879000.0,3879000.0,3879000.0,3879000.0,4339000.0,4339000.0,4339000.0,4339000.0,4506000.0,4506000.0,4506000.0,4506000.0,3812000.0,3812000.0,3812000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,435000.0,2289000.0,4234000.0
DeferredLongTermLiabilityCharges / USD,,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,,,,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0,73600000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,-3000.0,,,,-3000.0,,,,-3000.0,,,,81000.0,,,,-4000.0,,,,3000.0,,,,-12000.0,,,,-9000.0,,,
DeferredTaxAssetsGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,2531000.0,,,,16980000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,79000.0,,,,79000.0,,,,117000.0,,,,96000.0,,,,35000.0,,,,2407000.0,,,,4917000.0,,,,4917000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration / USD,,,,,,151600000.0,,,,151600000.0,,,,151600000.0,,,,151600000.0,,,,151600000.0,,,,151600000.0,,,,151600000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,24000.0,,,,24000.0,,,,117000.0,,,,96000.0,,,,35000.0,,,,32000.0,,,,221000.0,,,,222000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsProvisionForLoanLosses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,13777000.0,,,
DeferredTaxAssetsUnrealizedCurrencyLosses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,726000.0,,,
DeferredTaxLiabilitiesInvestments / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5080000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,0.0,,,,2375000.0,,,,2310000.0,,,,2255000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,3797000.0,,,,3797000.0,,,,3457000.0,,,,3478000.0,,,,3568000.0,,,,3911000.0,,,,4560000.0,,,,4728000.0,,,
DeferredTaxLiabilitiesUnrealizedCurrencyTransactionGains / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
Depreciation / USD,,751000.0,906000.0,1828000.0,2757000.0,751000.0,906000.0,1828000.0,2757000.0,751000.0,930000.0,1948000.0,2948000.0,3686000.0,867000.0,2080000.0,2990000.0,3831000.0,792000.0,1549000.0,2320000.0,3731000.0,776000.0,1555000.0,2371000.0,3091000.0,814000.0,1701000.0,2712000.0,3182000.0,1133000.0,2125000.0,3133000.0
DerivativeAssets / USD,,,,,,,,,,,,,,,,,,0.0,884000.0,884000.0,884000.0,884000.0,,0.0,0.0,0.0,1563000.0,1563000.0,1563000.0,1563000.0,7717000.0,7717000.0,7717000.0
DerivativeLiabilities / USD,,,,0.0,,0.0,22124000.0,22124000.0,22124000.0,22124000.0,65078000.0,65078000.0,65078000.0,65078000.0,92521000.0,92521000.0,92521000.0,92521000.0,,,,,0.0,0.0,,0.0,11218000.0,11218000.0,11218000.0,11218000.0,,,
DividendsCommonStockCash / USD,,,59221000.0,156384000.0,262825000.0,379185000.0,59221000.0,59221000.0,59221000.0,379185000.0,118154000.0,118154000.0,118154000.0,379185000.0,139413000.0,139413000.0,139413000.0,524991000.0,177217000.0,179288000.0,179288000.0,661361000.0,272703000.0,272703000.0,272703000.0,815586000.0,398688000.0,398688000.0,398688000.0,1392979000.0,440607000.0,440607000.0,440607000.0
DividendsPayableCurrentAndNoncurrent / USD,,,0.0,0.0,0.0,0.0,116287000.0,116287000.0,116287000.0,116287000.0,137056000.0,137056000.0,137056000.0,137056000.0,176992000.0,176992000.0,176992000.0,176992000.0,226309000.0,226309000.0,226309000.0,226309000.0,380178000.0,380178000.0,380178000.0,380178000.0,437599000.0,437599000.0,437599000.0,437599000.0,461954000.0,461954000.0,461954000.0
EarningsPerShareBasic / USD/shares,,0.19,0.33,0.7,1.06,0.19,0.33,0.7,1.06,0.19,0.37,0.74,1.05,1.43,-0.05,0.43,1.22,1.25,0.5,1.06,1.35,1.76,0.35,0.23,0.61,1.8,0.52,1.2,1.75,1.27,0.57,1.28,1.98
EarningsPerShareDiluted / USD/shares,,0.19,0.33,0.7,1.06,0.19,0.33,0.7,1.06,0.19,0.37,0.74,1.04,1.43,-0.05,0.43,1.21,1.24,0.5,1.04,1.31,1.75,0.35,0.23,0.6,1.76,0.52,1.2,1.75,1.27,0.57,1.28,1.98
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,74000.0,192000.0,-122000.0,0.0,-54000.0,207000.0,525000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,-0.043,,,,-0.043,,,,-0.043,,,,0.002,,,,0.003,,,,0.001,,,,0.002,,,,0.003,,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.35,,,,0.35,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
