fact_unit,2019-05-03,2019-07-25,2019-10-25,2020-02-07,2020-05-01,2020-07-24,2020-10-23,2021-02-05,2021-04-23,2021-07-23,2021-10-22,2022-02-04,2022-04-22,2022-07-22,2022-10-21,2023-02-01,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-26,2024-10-25,2025-02-04,2025-04-25,2025-07-25,2025-10-24
AssetRetirementObligationLiabilitiesSettled / USD,,6000000.0,,3000000.0,,,,7000000.0,,,,3000000.0,,,,7000000.0,,,,8000000.0,,,,2000000.0,,,
AssetRetirementObligationRevisionOfEstimate / USD,,-9000000.0,,0.0,,,,3000000.0,,,,7000000.0,,,,-1000000.0,,,,-9000000.0,,,,1000000.0,,,
Assets / USD,77378000000.0,85852000000.0,83699000000.0,83699000000.0,60524000000.0,60524000000.0,60524000000.0,60524000000.0,61470000000.0,61470000000.0,61470000000.0,61470000000.0,62990000000.0,62990000000.0,62990000000.0,61470000000.0,60603000000.0,60603000000.0,60603000000.0,62990000000.0,57967000000.0,57967000000.0,57967000000.0,60603000000.0,57312000000.0,57312000000.0,57312000000.0
AssetsCurrent / USD,25263000000.0,27891000000.0,39370000000.0,39370000000.0,16815000000.0,16815000000.0,16815000000.0,16815000000.0,19084000000.0,19084000000.0,19084000000.0,19084000000.0,20848000000.0,20848000000.0,20848000000.0,20848000000.0,20477000000.0,20477000000.0,20477000000.0,20477000000.0,17614000000.0,17614000000.0,17614000000.0,17614000000.0,16590000000.0,16590000000.0,16590000000.0
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment / USD,21588000000.0,16585000000.0,16585000000.0,,17658000000.0,17658000000.0,17658000000.0,,17580000000.0,17580000000.0,17580000000.0,,15871000000.0,15871000000.0,15871000000.0,,14636000000.0,14636000000.0,14636000000.0,,14842000000.0,14842000000.0,14842000000.0,,14039000000.0,14039000000.0,14039000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,1740000000.0,1341000000.0,1740000000.0,1740000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1495000000.0,1495000000.0,1495000000.0,1495000000.0,1997000000.0,1997000000.0,1997000000.0,1997000000.0,2028000000.0,2025000000.0,2202000000.0,2138000000.0,2248000000.0,2267000000.0,2293000000.0,2275000000.0,2248000000.0,2222000000.0,2221000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost / USD,,717000000.0,,534000000.0,467000000.0,486000000.0,482000000.0,649000000.0,597000000.0,585000000.0,709000000.0,743000000.0,730000000.0,1014000000.0,710000000.0,594000000.0,550000000.0,536000000.0,509000000.0,443000000.0,441000000.0,451000000.0,422000000.0,426000000.0,426000000.0,407000000.0,446000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,,683000000.0,,554000000.0,437000000.0,494000000.0,501000000.0,685000000.0,609000000.0,602000000.0,720000000.0,743000000.0,686000000.0,870000000.0,581000000.0,503000000.0,479000000.0,467000000.0,437000000.0,407000000.0,405000000.0,418000000.0,412000000.0,405000000.0,412000000.0,403000000.0,448000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,,455000000.0,,391000000.0,363000000.0,376000000.0,378000000.0,406000000.0,372000000.0,465000000.0,618000000.0,672000000.0,695000000.0,449000000.0,706000000.0,855000000.0,894000000.0,897000000.0,1117000000.0,1124000000.0,1233000000.0,1215000000.0,1244000000.0,1224000000.0,1188000000.0,1151000000.0,1113000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,444000000.0,,406000000.0,340000000.0,379000000.0,393000000.0,448000000.0,413000000.0,505000000.0,650000000.0,697000000.0,701000000.0,419000000.0,627000000.0,773000000.0,814000000.0,823000000.0,1032000000.0,970000000.0,1132000000.0,1130000000.0,1166000000.0,1118000000.0,1094000000.0,1058000000.0,1039000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost / USD,,444000000.0,,516000000.0,493000000.0,508000000.0,411000000.0,415000000.0,422000000.0,448000000.0,510000000.0,548000000.0,533000000.0,508000000.0,525000000.0,508000000.0,512000000.0,515000000.0,513000000.0,505000000.0,505000000.0,499000000.0,537000000.0,537000000.0,524000000.0,544000000.0,549000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,,432000000.0,,570000000.0,510000000.0,558000000.0,448000000.0,476000000.0,442000000.0,487000000.0,540000000.0,582000000.0,513000000.0,424000000.0,401000000.0,403000000.0,419000000.0,418000000.0,386000000.0,421000000.0,414000000.0,401000000.0,464000000.0,432000000.0,425000000.0,447000000.0,468000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,,124000000.0,,36000000.0,12000000.0,18000000.0,27000000.0,25000000.0,31000000.0,28000000.0,22000000.0,34000000.0,46000000.0,31000000.0,71000000.0,71000000.0,78000000.0,77000000.0,63000000.0,66000000.0,69000000.0,102000000.0,90000000.0,88000000.0,110000000.0,120000000.0,113000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,124000000.0,,39000000.0,11000000.0,18000000.0,24000000.0,25000000.0,31000000.0,29000000.0,23000000.0,37000000.0,46000000.0,28000000.0,66000000.0,68000000.0,76000000.0,74000000.0,59000000.0,62000000.0,65000000.0,90000000.0,79000000.0,78000000.0,100000000.0,113000000.0,108000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,1683000000.0,1372000000.0,1683000000.0,1683000000.0,1569000000.0,1569000000.0,1569000000.0,1569000000.0,1634000000.0,1634000000.0,1634000000.0,1634000000.0,2059000000.0,2059000000.0,2059000000.0,2059000000.0,1747000000.0,1782000000.0,1914000000.0,1860000000.0,2016000000.0,2039000000.0,2121000000.0,2033000000.0,2031000000.0,2021000000.0,2063000000.0
CashAndCashEquivalentsAtCarryingValue / USD,5186000000.0,6607000000.0,3411000000.0,6189000000.0,2904000000.0,2446000000.0,2823000000.0,2724000000.0,3633000000.0,3724000000.0,4549000000.0,2367000000.0,4133000000.0,3491000000.0,2911000000.0,5104000000.0,3143000000.0,2367000000.0,2216000000.0,2988000000.0,3319000000.0,2924000000.0,3080000000.0,3886000000.0,3723000000.0,3341000000.0,2883000000.0
