fact_unit,2022-03-31,2022-06-13,2022-08-19,2022-11-22,2023-04-14,2023-05-18,2023-08-09,2023-11-07,2024-04-29,2024-11-05,2025-03-20,2025-05-06,2025-08-05,2025-11-12
GainsLossesOnDisposalsOfInvestments / USD,,,,,,,,,,,,0.0,0.0,0.0
GainsLossesOnFinancialAssetsAtFairValueThroughProfitOrLoss / USD,-14240000.0,,,,6000000.0,,,,-22000000.0,,-22000000.0,,,
GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeBeforeTax / USD,,,0.0,0.0,0.0,0.0,-3000000.0,-10000000.0,0.0,,-9000000.0,0.0,-4000000.0,11000000.0
GovernmentGrants / USD,194209000.0,,,,169000000.0,,,,176000000.0,,404000000.0,,,
GrossProfit / USD,-532244000.0,99000000.0,330000000.0,630000000.0,-712000000.0,469000000.0,1007000000.0,1617000000.0,1013000000.0,1576000000.0,2239000000.0,393000000.0,788000000.0,1202000000.0
ImpairmentLossRecognisedInProfitOrLossIntangibleAssetsAndGoodwill / USD,,,,,,,,,,,935000000.0,,,
IncomeTaxExpenseContinuingOperations / USD,224061000.0,11000000.0,30000000.0,52000000.0,-12000000.0,29000000.0,59000000.0,78000000.0,78000000.0,45000000.0,86000000.0,21000000.0,33000000.0,50000000.0
IncomeTaxRelatingToComponentsOfOtherComprehensiveIncome / USD,2106000.0,,,,-3000000.0,,,,18000000.0,,-19000000.0,,,
IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss / USD,1081000.0,-1000000.0,-1000000.0,-2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,-3000000.0,0.0,18000000.0,,,
IncomeTaxesPaidRefundClassifiedAsOperatingActivities / USD,,,,,,,,,,5000000.0,4000000.0,3000000.0,17000000.0,17000000.0
IncreaseDecreaseInCashAndCashEquivalents / USD,153337000.0,-273000000.0,-103000000.0,111000000.0,-89000000.0,325000000.0,-465000000.0,-398000000.0,2031000000.0,-472000000.0,-587000000.0,-140000000.0,-203000000.0,-101000000.0
IncreaseDecreaseInWorkingCapital / USD,,,,,,,,,,,166000000.0,,,
IncreaseDecreaseThroughEffectOfChangesInForeignExchangeRatesLiabilitiesArisingFromFinancingActivities / USD,-82989000.0,,,,60000000.0,,,,18000000.0,,-33000000.0,,,
