fact_unit,2009-08-04,2009-10-29,2010-02-24,2010-04-28,2010-08-26,2010-10-28,2011-02-25,2011-04-28,2011-07-28,2011-10-27,2012-02-16,2012-04-26,2012-07-26,2012-10-30,2013-02-27,2013-04-25,2013-07-24,2013-10-24,2014-02-26,2014-04-24,2014-07-22,2014-10-30,2015-02-25,2015-04-23,2015-07-29,2015-10-29,2016-02-25,2016-04-28,2016-07-27,2016-10-27,2017-02-27,2017-05-02,2017-07-27,2017-10-26,2018-02-27,2018-04-26,2018-07-26,2018-10-25,2019-02-26,2019-04-25,2019-07-30,2019-10-31,2020-02-25,2020-04-30,2020-05-19,2020-07-30,2020-10-30,2021-02-26,2021-04-29,2021-05-26,2021-07-29,2021-10-28,2022-02-25,2022-04-28,2022-06-01,2022-07-28,2022-10-27,2023-02-27,2023-04-27,2023-06-01,2023-08-01,2023-10-26,2024-02-27,2024-04-25,2024-06-05,2024-07-31,2024-10-31,2025-02-26,2025-04-29,2025-06-04,2025-07-30,2025-10-30
CommonStockSharesIssued / shares,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0,2805961317.0,2805961317.0,,2805961317.0,2805961317.0
CommonStockSharesOutstanding / shares,,,,,,,2107676762.0,,,,2061371584.0,,,,2076028644.0,,,,2088739666.0,,,,2044419285.0,,,,2009740296.0,,,,1993479282.0,,,,1971474523.0,,,,1960059481.0,,,,1943272224.0,,,,,1901259192.0,,,,,1874057595.0,,,,,1857981554.0,,,,,1858419165.0,,,,,1823175618.0,,,,
CommonStockValue / USD,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0,935000000.0,935000000.0,,935000000.0,935000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,,,,,3360000000.0,2987000000.0,1357000000.0,2361000000.0,3864000000.0,4027000000.0,1235000000.0,2586000000.0,3758000000.0,5197000000.0,755000000.0,2270000000.0,3519000000.0,3766000000.0,1170000000.0,2810000000.0,3965000000.0,4643000000.0,1241000000.0,3604000000.0,5362000000.0,15467000000.0,1864000000.0,4015000000.0,5576000000.0,10377000000.0,950000000.0,,3017000000.0,661000000.0,6721000000.0,1883000000.0,,2585000000.0,1626000000.0,-1610000000.0,1991000000.0,,4312000000.0,1762000000.0,2990000000.0,2053000000.0,,3529000000.0,3747000000.0,3760000000.0,1779000000.0,,3966000000.0,6370000000.0,6049000000.0,2536000000.0,,6322000000.0,8281000000.0
ConstructionInProgressGross / USD,,,370000000.0,,,,220000000.0,,,,94000000.0,,,,70000000.0,,,,114000000.0,,,,107000000.0,,,,153000000.0,,,,207000000.0,,,,121000000.0,,,,165000000.0,,,,218000000.0,,,,,262000000.0,,,,,312000000.0,,,,,235000000.0,,,,,248000000.0,,,,,240000000.0,,,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267000000.0,267000000.0,267000000.0,288000000.0,288000000.0,288000000.0,288000000.0,362000000.0,,362000000.0,362000000.0,362000000.0,301000000.0,,301000000.0,301000000.0,301000000.0,287000000.0,,287000000.0,287000000.0,287000000.0,252000000.0,,252000000.0,252000000.0,252000000.0,258000000.0,,258000000.0,258000000.0,258000000.0,215000000.0,,215000000.0,215000000.0
ConversionOfStockSharesConverted1 / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000.0,,60000000.0,60000000.0,60000000.0,60000000.0,,60000000.0,60000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3767000000.0,5719000000.0,7765000000.0,1734000000.0,3472000000.0,5509000000.0,7531000000.0,1578000000.0,,3452000000.0,5367000000.0,7373000000.0,2173000000.0,,3948000000.0,5909000000.0,7085000000.0,1608000000.0,,3490000000.0,5348000000.0,7818000000.0,1446000000.0,,3154000000.0,4869000000.0,7119000000.0,1434000000.0,,3115000000.0,4693000000.0,6442000000.0,1437000000.0,,3039000000.0,4575000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,1486000000.0,,,,1512000000.0,,,,1430000000.0,,,,2353000000.0,,,,2870000000.0,,,,2066000000.0,,,,2350000000.0,,,,2516000000.0,,,,4093000000.0,,,,2346000000.0,,,,,1911000000.0,,,,,1686000000.0,,,,,2025000000.0,,,,,1965000000.0,,,,,1968000000.0,,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,3000000.0,,,,3000000.0,,,,4000000.0,,,,4000000.0,,,,5000000.0,,,,4000000.0,,,,3000000.0,,,,0.0,,,,6000000.0,,,,15000000.0,,,,,1000000.0,,,,,3000000.0,,,,,22000000.0,,,,,2000000.0,,,,,1000000.0,,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,1837000000.0,,,,1626000000.0,,,,1692000000.0,,,,2632000000.0,,,,3223000000.0,,,,2493000000.0,,,,2833000000.0,,,,2967000000.0,,,,4489000000.0,,,,2727000000.0,,,,,2431000000.0,,,,,2159000000.0,,,,,2600000000.0,,,,,2509000000.0,,,,,2572000000.0,,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,351000000.0,,,,111000000.0,,,,258000000.0,,,,275000000.0,,,,348000000.0,,,,423000000.0,,,,480000000.0,,,,451000000.0,,,,390000000.0,,,,366000000.0,,,,,519000000.0,,,,,470000000.0,,,,,553000000.0,,,,,542000000.0,,,,,603000000.0,,,,
DebtInstrumentCarryingAmount / USD,,,,,12000000000.0,12000000000.0,12000000000.0,12200000000.0,12200000000.0,12200000000.0,12200000000.0,13700000000.0,13700000000.0,13700000000.0,13700000000.0,13900000000.0,13900000000.0,,,,,,,,,,12965000000.0,,,,14017000000.0,,,,14017000000.0,,,,13153000000.0,,,,28275000000.0,,,,,29701000000.0,,,,,28299000000.0,,,,,26912000000.0,,,,,26456000000.0,,,,,25130000000.0,,,,
DebtInstrumentUnamortizedDiscountPremiumNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000.0,,,,59000000.0,,,,55000000.0,,,,51000000.0,,,,79000000.0,,,,,79000000.0,,,,,92000000.0,,,,,84000000.0,,,,,81000000.0,,,,,76000000.0,,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,6000000.0,,140000000.0,140000000.0,116000000.0,77000000.0,21000000.0,7000000.0,5000000.0,16000000.0,39000000.0,-75000000.0,45000000.0,14000000.0,20000000.0,26000000.0,28000000.0,,,3000000.0,8000000.0,8000000.0,,,,,17000000.0,,,,,1000000.0,,,,,15000000.0,,,,,1000000.0,,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,-95000000.0,,,,-14000000.0,,,,120000000.0,,,,-458000000.0,,,,-920000000.0,,,,-77000000.0,,,,-124000000.0,,,,-140000000.0,,,,3102000000.0,,,,-3213000000.0,,,,,-18000000.0,,,,,-78000000.0,,,,,-130000000.0,,,,,-1190000000.0,,,,,-893000000.0,,,,
DeferredFinanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79000000.0,77000000.0,,,,68000000.0,,,,60000000.0,,,,154000000.0,,,,,151000000.0,,,,,163000000.0,,,,,148000000.0,,,,,142000000.0,,,,,128000000.0,,,,
DeferredIncomeTaxExpenseBenefit / USD,91000000.0,128000000.0,101000000.0,81000000.0,336000000.0,486000000.0,-138000000.0,69000000.0,120000000.0,197000000.0,43000000.0,72000000.0,132000000.0,190000000.0,124000000.0,-97000000.0,-971000000.0,-1088000000.0,-443000000.0,16000000.0,50000000.0,-105000000.0,-929000000.0,-13000000.0,-21000000.0,-36000000.0,-86000000.0,-40000000.0,28000000.0,-1000000.0,-129000000.0,-32000000.0,15000000.0,-69000000.0,-132000000.0,-23000000.0,30000000.0,-223000000.0,3119000000.0,54000000.0,64000000.0,215000000.0,-3126000000.0,-72000000.0,,-52000000.0,-261000000.0,-57000000.0,26000000.0,,-4000000.0,-111000000.0,-95000000.0,65000000.0,,64000000.0,-1180000000.0,-164000000.0,43000000.0,,20000000.0,-550000000.0,-1160000000.0,-20000000.0,,-180000000.0,-241000000.0,-947000000.0,-138000000.0,,444000000.0,459000000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,8333000000.0,,,,8059000000.0,,,,7735000000.0,,,,7228000000.0,,,,10840000000.0,,,,6319000000.0,,,,6406000000.0,,,,,6490000000.0,,,,,6027000000.0,,,,,4891000000.0,,,,,4493000000.0,,,,,4919000000.0,,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5247000000.0,5247000000.0,5247000000.0,5172000000.0,5172000000.0,5172000000.0,4993000000.0,5083000000.0,,5083000000.0,5083000000.0,5083000000.0,4532000000.0,,4532000000.0,4532000000.0,4532000000.0,3692000000.0,,3692000000.0,3692000000.0,3692000000.0,2897000000.0,,2897000000.0,2897000000.0,2897000000.0,2799000000.0,,2799000000.0,2799000000.0,2799000000.0,3749000000.0,,3749000000.0,3749000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,-43000000.0,,,,57000000.0,,,,4000000.0,,,,15000000.0,,,,-9000000.0,,,,-9000000.0,,,,-5000000.0,,,,8000000.0,,,,20000000.0,,,,86000000.0,,,,,-42000000.0,,,,,-19000000.0,,,,,-34000000.0,,,,,30000000.0,,,,,-54000000.0,,,,
DeferredTaxAssetsCapitalLossCarryforwards / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000.0,,,,
DeferredTaxAssetsGross / USD,,,,,,,,,,,,,,,,,,,3285000000.0,,,,2636000000.0,,,,3200000000.0,,,,3193000000.0,,,,3016000000.0,,,,1307000000.0,,,,1576000000.0,,,,,3791000000.0,,,,,4411000000.0,,,,,4323000000.0,,,,,4471000000.0,,,,,4404000000.0,,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,39000000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits / USD,,,,,,,,,,,,,,,,,,,1109000000.0,,,,934000000.0,,,,1054000000.0,,,,953000000.0,,,,952000000.0,,,,539000000.0,,,,500000000.0,,,,,491000000.0,,,,,524000000.0,,,,,387000000.0,,,,,303000000.0,,,,,302000000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLegalSettlements / USD,,,,,,,,,,,,,,,,,,,1419000000.0,,,,1338000000.0,,,,1379000000.0,,,,1393000000.0,,,,1446000000.0,,,,614000000.0,,,,864000000.0,,,,,833000000.0,,,,,888000000.0,,,,,835000000.0,,,,,729000000.0,,,,,644000000.0,,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,,,,,,,,,,,,,,,184000000.0,,,,195000000.0,,,,211000000.0,,,,260000000.0,240000000.0,240000000.0,,240000000.0,,,,0.0,,,,240000000.0,,,2324000000.0,2324000000.0,0.0,,,2817000000.0,2817000000.0,71000000.0,,,3097000000.0,3097000000.0,2324000000.0,2800000000.0,,2800000000.0,2800000000.0,2817000000.0,2256000000.0,,2256000000.0,2256000000.0,3097000000.0,,,,668000000.0
DeferredTaxLiabilities / USD,4644000000.0,4644000000.0,4644000000.0,4180000000.0,4180000000.0,4180000000.0,4180000000.0,3880000000.0,3880000000.0,3880000000.0,3880000000.0,2811000000.0,2811000000.0,2811000000.0,2811000000.0,,,,5232000000.0,,,,5618000000.0,,,,4746000000.0,,,,4295000000.0,,,,8064000000.0,,,,5012000000.0,,,,4901000000.0,,,,,5023000000.0,,,,,4433000000.0,,,,,3665000000.0,,,,,2822000000.0,,,,,2771000000.0,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,3787000000.0,,,,3848000000.0,,,,3915000000.0,,,,3968000000.0,,,,4032000000.0,,,,2674000000.0,,,,2689000000.0,,,,,2758000000.0,,,,,2806000000.0,,,,,2802000000.0,,,,,2849000000.0,,,,,3210000000.0,,,,
DeferredTaxLiabilitiesInvestmentInNoncontrolledAffiliates / USD,,,,,,,,,,,,,,,,,,,2198000000.0,,,,2135000000.0,,,,2039000000.0,,,,1794000000.0,,,,5546000000.0,,,,2859000000.0,,,,3038000000.0,,,,,3115000000.0,,,,,2819000000.0,,,,,1695000000.0,,,,,1226000000.0,,,,,1391000000.0,,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,,,,,,,,,,,,,167000000.0,,,,190000000.0,,,,190000000.0,,,,116000000.0,,,,125000000.0,,,,121000000.0,,,,115000000.0,,,,,158000000.0,,,,,12000000.0,,,,,94000000.0,,,,,115000000.0,,,,,0.0,,,,
