fact_unit,2012-04-26,2012-07-31,2012-11-01,2013-02-11,2013-05-01,2013-07-31,2013-11-05,2014-02-10,2014-04-24,2014-07-31,2014-10-24,2015-02-09,2015-04-30,2015-06-05,2015-07-30,2015-10-29,2016-02-08,2016-05-04,2016-08-03,2016-11-02,2017-02-06,2017-05-03,2017-08-02,2017-11-02,2018-02-05,2018-05-02,2018-07-31,2018-10-31,2019-02-04,2019-05-02,2019-07-31,2019-10-30,2020-02-03,2020-05-05,2020-07-30,2020-10-29,2021-02-08,2021-05-06,2021-08-05,2021-11-04,2022-02-07,2022-05-05,2022-08-04,2022-11-03,2023-02-08,2023-05-04,2023-08-03,2023-11-02,2024-02-06,2024-03-28,2024-05-02,2024-08-01,2024-10-31,2025-02-07,2025-05-01,2025-07-31,2025-10-30
AmortizationOfFinancingCosts / USD,4000000.0,1000000.0,6000000.0,0.0,4000000.0,8000000.0,13000000.0,10000000.0,3000000.0,6000000.0,8000000.0,17000000.0,2000000.0,17000000.0,5000000.0,7000000.0,11000000.0,2000000.0,5000000.0,8000000.0,9000000.0,3000000.0,5000000.0,7000000.0,11000000.0,2000000.0,3000000.0,5000000.0,9000000.0,2000000.0,4000000.0,5000000.0,7000000.0,2000000.0,3000000.0,4000000.0,7000000.0,1000000.0,4000000.0,7000000.0,6000000.0,3000000.0,6000000.0,7000000.0,9000000.0,2000000.0,4000000.0,7000000.0,8000000.0,,2000000.0,5000000.0,7000000.0,9000000.0,2000000.0,4000000.0,9000000.0
AmortizationOfIntangibleAssets / USD,18000000.0,37000000.0,56000000.0,70000000.0,21000000.0,40000000.0,60000000.0,79000000.0,26000000.0,52000000.0,79000000.0,84000000.0,24000000.0,76000000.0,47000000.0,71000000.0,97000000.0,24000000.0,47000000.0,70000000.0,94000000.0,33000000.0,67000000.0,101000000.0,70000000.0,29000000.0,58000000.0,87000000.0,117000000.0,30000000.0,60000000.0,91000000.0,117000000.0,34000000.0,77000000.0,111000000.0,154000000.0,36000000.0,71000000.0,107000000.0,146000000.0,37000000.0,74000000.0,111000000.0,144000000.0,37000000.0,75000000.0,112000000.0,148000000.0,,59000000.0,118000000.0,177000000.0,149000000.0,54000000.0,106000000.0,159000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,1.69,1.86,,,2.99,3.16,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3140000.0,13710000.0,,12370000.0,3140000.0,13710000.0,12370000.0,12370000.0,12370000.0,12370000.0,12370000.0,12370000.0,12370000.0,12370000.0,12370000.0,,12370000.0,11680000.0,,12370000.0,,,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9000000.0,-22000000.0,-61000000.0,-43000000.0,-54000000.0,40000000.0,-133000000.0,-181000000.0,-144000000.0,167000000.0,,-180000000.0,78000000.0,4000000.0,-100000000.0,37000000.0,-35000000.0,-68000000.0
AssetImpairmentCharges / USD,,,,,,,,,,-3000000.0,7000000.0,15000000.0,2000000.0,15000000.0,3000000.0,7000000.0,0.0,2000000.0,6000000.0,6000000.0,7000000.0,5000000.0,22000000.0,23000000.0,7000000.0,1000000.0,1000000.0,2000000.0,1000000.0,,1000000.0,2000000.0,9000000.0,,10000000.0,11000000.0,34000000.0,,4000000.0,4000000.0,11000000.0,,3000000.0,8000000.0,10000000.0,,3000000.0,8000000.0,2000000.0,,,14000000.0,17000000.0,8000000.0,5000000.0,14000000.0,17000000.0
Assets / USD,9128000000.0,9128000000.0,9128000000.0,9128000000.0,10176000000.0,10176000000.0,10176000000.0,10176000000.0,11047000000.0,11047000000.0,11047000000.0,11047000000.0,10746000000.0,11047000000.0,10746000000.0,10746000000.0,10721000000.0,11973000000.0,11973000000.0,11973000000.0,11973000000.0,12292000000.0,12292000000.0,12292000000.0,12292000000.0,12169000000.0,12169000000.0,12169000000.0,12169000000.0,12480000000.0,12480000000.0,12480000000.0,12480000000.0,13459000000.0,13459000000.0,13459000000.0,13459000000.0,17522000000.0,17522000000.0,17522000000.0,17522000000.0,18007000000.0,18007000000.0,18007000000.0,18007000000.0,21884000000.0,21884000000.0,21884000000.0,21884000000.0,,24427000000.0,24427000000.0,24427000000.0,24427000000.0,23458000000.0,23458000000.0,23458000000.0
AssetsCurrent / USD,5501000000.0,5501000000.0,5501000000.0,5501000000.0,5227000000.0,5227000000.0,5227000000.0,5227000000.0,5752000000.0,5752000000.0,5752000000.0,5752000000.0,5224000000.0,5752000000.0,5224000000.0,5224000000.0,5224000000.0,5121000000.0,5121000000.0,5121000000.0,5121000000.0,5419000000.0,5419000000.0,5419000000.0,5419000000.0,5641000000.0,5641000000.0,5641000000.0,5641000000.0,4777000000.0,4777000000.0,4777000000.0,4777000000.0,5319000000.0,5319000000.0,5319000000.0,5319000000.0,7465000000.0,7465000000.0,7465000000.0,7465000000.0,8436000000.0,8436000000.0,8436000000.0,8436000000.0,7784000000.0,7784000000.0,7784000000.0,7784000000.0,,8247000000.0,8247000000.0,8247000000.0,8247000000.0,7826000000.0,7826000000.0,7826000000.0
AssetsNoncurrent / USD,3627000000.0,3627000000.0,3627000000.0,3627000000.0,4949000000.0,4949000000.0,4949000000.0,4949000000.0,5295000000.0,5295000000.0,5295000000.0,5295000000.0,5522000000.0,5295000000.0,5522000000.0,5522000000.0,5497000000.0,6852000000.0,6852000000.0,6852000000.0,6852000000.0,6873000000.0,6873000000.0,6873000000.0,6873000000.0,6528000000.0,6528000000.0,6528000000.0,6528000000.0,7703000000.0,7703000000.0,7703000000.0,7703000000.0,8140000000.0,8140000000.0,8140000000.0,8140000000.0,10057000000.0,10057000000.0,10057000000.0,10057000000.0,9571000000.0,9571000000.0,9571000000.0,9571000000.0,14100000000.0,14100000000.0,14100000000.0,14100000000.0,,16180000000.0,16180000000.0,16180000000.0,16180000000.0,15632000000.0,15632000000.0,15632000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8000000.0,8000000.0,8000000.0,8000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,12000000.0,12000000.0,12000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165000000.0,165000000.0,165000000.0,165000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161000000.0,161000000.0,161000000.0,161000000.0
BridgeLoan / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,,,,0.0,,,,0.0,,,,13000000.0,,13000000.0,0.0,0.0,0.0,,1000000.0,12000000.0,6000000.0,,,,40000000.0,0.0,0.0,0.0,0.0,-11000000.0,5000000.0,5000000.0,14000000.0,,,,5000000.0,,,,0.0,,0.0,0.0,0.0,,2000000.0,8000000.0,0.0,,,4000000.0,4000000.0,61000000.0,,,
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000000.0,,,,247000000.0,,,,164000000.0,,,,280000000.0,,219000000.0,217000000.0,203000000.0,300000000.0,214000000.0,167000000.0,170000000.0
CapitalizedContractCostAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,2000000.0,2000000.0,1000000.0,1000000.0,2000000.0,3000000.0,3000000.0,3000000.0,5000000.0,7000000.0,6000000.0,4000000.0,9000000.0,13000000.0,11000000.0,6000000.0,14000000.0,19000000.0,18000000.0,7000000.0,13000000.0,20000000.0,31000000.0,,8000000.0,17000000.0,24000000.0,28000000.0,8000000.0,11000000.0,13000000.0
CapitalizedContractCostNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,36000000.0,36000000.0,36000000.0,36000000.0,72000000.0,72000000.0,72000000.0,72000000.0,99000000.0,99000000.0,99000000.0,99000000.0,116000000.0,116000000.0,116000000.0,116000000.0,92000000.0,92000000.0,92000000.0,92000000.0,78000000.0,78000000.0,78000000.0,78000000.0,,61000000.0,61000000.0,61000000.0,61000000.0,53000000.0,53000000.0,53000000.0
CapitalizedContractCostNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000.0,8000000.0,8000000.0,8000000.0,20000000.0,20000000.0,20000000.0,20000000.0,30000000.0,30000000.0,30000000.0,30000000.0,34000000.0,34000000.0,34000000.0,34000000.0,17000000.0,17000000.0,17000000.0,17000000.0,,12000000.0,12000000.0,12000000.0,12000000.0,10000000.0,10000000.0,10000000.0
CapitalizedContractCostNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64000000.0,64000000.0,64000000.0,64000000.0,79000000.0,79000000.0,79000000.0,79000000.0,86000000.0,86000000.0,86000000.0,86000000.0,58000000.0,58000000.0,58000000.0,58000000.0,61000000.0,61000000.0,61000000.0,61000000.0,,49000000.0,49000000.0,49000000.0,49000000.0,43000000.0,43000000.0,43000000.0
CashAndCashEquivalentsAtCarryingValue / USD,3219000000.0,3219000000.0,3219000000.0,3107000000.0,1363000000.0,1363000000.0,1363000000.0,3219000000.0,1105000000.0,1105000000.0,1105000000.0,1363000000.0,935000000.0,1019000000.0,1122000000.0,1007000000.0,1337000000.0,558000000.0,1171000000.0,434000000.0,859000000.0,838000000.0,838000000.0,838000000.0,427000000.0,1596000000.0,1596000000.0,1596000000.0,1596000000.0,567000000.0,567000000.0,567000000.0,567000000.0,412000000.0,412000000.0,412000000.0,412000000.0,2821000000.0,2821000000.0,2821000000.0,2821000000.0,3139000000.0,2978000000.0,3139000000.0,3139000000.0,1531000000.0,1531000000.0,1531000000.0,1531000000.0,,1640000000.0,1640000000.0,1640000000.0,1640000000.0,1573000000.0,1573000000.0,1573000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,487000000.0,715000000.0,463000000.0,738000000.0,,,,,,,,,,,,,,,2793000000.0,2853000000.0,4877000000.0,4670000000.0,4854000000.0,3139000000.0,,1100000000.0,,,1531000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,61000000.0,78000000.0,891000000.0,101000000.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,26000000.0,24000000.0,0.0,,17000000.0,,,24000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,839000000.0,839000000.0,839000000.0,580000000.0,1597000000.0,1597000000.0,1597000000.0,839000000.0,568000000.0,568000000.0,568000000.0,1597000000.0,429000000.0,429000000.0,429000000.0,568000000.0,2853000000.0,2853000000.0,2853000000.0,429000000.0,3139000000.0,3139000000.0,3139000000.0,2853000000.0,,1555000000.0,1555000000.0,1555000000.0,3139000000.0,1640000000.0,1640000000.0,1640000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-825000000.0,758000000.0,-246000000.0,-187000000.0,-210000000.0,-1029000000.0,1658000000.0,1488000000.0,1725000000.0,-139000000.0,29000000.0,125000000.0,-60000000.0,2424000000.0,1738000000.0,1557000000.0,1739000000.0,286000000.0,,-438000000.0,-253000000.0,253000000.0,-1584000000.0,-699000000.0,-231000000.0,-586000000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0
CommonStockSharesIssued / shares,328244510.0,,,,,,,,,,,306389149.0,,306389149.0,,,291619411.0,,,,278208470.0,,,,269789959.0,,,,265839794.0,,,,259991022.0,,15100000.0,15100000.0,255288240.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,15100000.0,270949579.0,,279033365.0,279033365.0,279033365.0,279033365.0,235035739.0,235035739.0,235035739.0
CommonStockSharesOutstanding / shares,328244510.0,328244510.0,328244510.0,328244510.0,315299183.0,315299183.0,315299183.0,315299183.0,306389149.0,306389149.0,306389149.0,306389149.0,291619411.0,306389149.0,291619411.0,291619411.0,291619411.0,278208470.0,278208470.0,278208470.0,278208470.0,269789959.0,269789959.0,269789959.0,269789959.0,265839794.0,265839794.0,265839794.0,265839794.0,259991022.0,259991022.0,259991022.0,259991022.0,255288240.0,255288240.0,255288240.0,255288240.0,270025374.0,270025374.0,270025374.0,270025374.0,270514140.0,270514140.0,270514140.0,270514140.0,270949579.0,270949579.0,270949579.0,270949579.0,,279033365.0,279033365.0,279033365.0,279033365.0,235035739.0,235035739.0,235035739.0
CommonStockValue / USD,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0
ComprehensiveIncomeNetOfTax / USD,357000000.0,691000000.0,694000000.0,698000000.0,470000000.0,635000000.0,1010000000.0,871000000.0,221000000.0,503000000.0,889000000.0,1023000000.0,278000000.0,1023000000.0,720000000.0,838000000.0,1212000000.0,0.0,698000000.0,984000000.0,847000000.0,489000000.0,737000000.0,1068000000.0,1158000000.0,463000000.0,937000000.0,1401000000.0,1075000000.0,342000000.0,447000000.0,653000000.0,1686000000.0,261000000.0,518000000.0,657000000.0,844000000.0,1300000000.0,1031000000.0,1456000000.0,974000000.0,204000000.0,437000000.0,405000000.0,1978000000.0,96000000.0,-226000000.0,-134000000.0,463000000.0,,271000000.0,530000000.0,2045000000.0,475000000.0,165000000.0,917000000.0,1370000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,21000000.0,41000000.0,59000000.0,75000000.0,22000000.0,40000000.0,64000000.0,83000000.0,22000000.0,44000000.0,69000000.0,85000000.0,17000000.0,85000000.0,43000000.0,60000000.0,93000000.0,18000000.0,41000000.0,44000000.0,80000000.0,19000000.0,29000000.0,43000000.0,69000000.0,18000000.0,38000000.0,59000000.0,60000000.0,13000000.0,17000000.0,22000000.0,83000000.0,6000000.0,2000000.0,5000000.0,32000000.0,-10000000.0,-8000000.0,-1000000.0,16000000.0,4000000.0,8000000.0,10000000.0,20000000.0,-2000000.0,-23000000.0,-20000000.0,19000000.0,,3000000.0,4000000.0,13000000.0,-1000000.0,5000000.0,11000000.0,20000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,378000000.0,732000000.0,753000000.0,773000000.0,492000000.0,675000000.0,1074000000.0,954000000.0,243000000.0,547000000.0,958000000.0,1108000000.0,295000000.0,1108000000.0,763000000.0,898000000.0,1305000000.0,18000000.0,739000000.0,1028000000.0,927000000.0,508000000.0,766000000.0,1111000000.0,1227000000.0,481000000.0,975000000.0,1460000000.0,1135000000.0,355000000.0,464000000.0,675000000.0,1769000000.0,267000000.0,520000000.0,662000000.0,876000000.0,1290000000.0,1023000000.0,1455000000.0,990000000.0,208000000.0,445000000.0,415000000.0,1998000000.0,94000000.0,-249000000.0,-154000000.0,482000000.0,,275000000.0,535000000.0,2055000000.0,475000000.0,168000000.0,924000000.0,1390000000.0
ContractWithCustomerAssetNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67000000.0,67000000.0,67000000.0,67000000.0,,122000000.0,122000000.0,122000000.0,122000000.0,130000000.0,130000000.0,130000000.0
ContractWithCustomerAssetNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24000000.0,24000000.0,24000000.0,24000000.0,,55000000.0,55000000.0,55000000.0,55000000.0,65000000.0,65000000.0,65000000.0
ContractWithCustomerAssetNetNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43000000.0,43000000.0,43000000.0,43000000.0,,67000000.0,67000000.0,67000000.0,67000000.0,65000000.0,65000000.0,65000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,99000000.0,99000000.0,99000000.0,99000000.0,,109000000.0,109000000.0,109000000.0,109000000.0,124000000.0,124000000.0,124000000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000000.0,,,,0.0,90000000.0,90000000.0,90000000.0,90000000.0,,93000000.0,93000000.0,93000000.0,93000000.0,111000000.0,111000000.0,111000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9000000.0,9000000.0,9000000.0,9000000.0,,16000000.0,16000000.0,16000000.0,16000000.0,13000000.0,13000000.0,13000000.0
ConvertiblePreferredStockSharesIssuedUponConversion / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0754,1.0754,1.0754,,1.0754,1.0754,1.0754,1.0754,,,
