fact_unit,2009-08-04,2009-11-04,2010-02-12,2010-05-05,2010-07-30,2010-10-29,2011-02-11,2011-05-10,2011-07-27,2011-10-26,2012-01-26,2012-04-25,2012-07-24,2012-10-30,2013-01-29,2013-04-25,2013-07-25,2013-10-24,2014-02-12,2014-04-24,2014-07-25,2014-10-23,2015-02-09,2015-04-29,2015-07-23,2015-10-29
AssetsNoncurrent / USD,,,,,11330000000.0,11330000000.0,11330000000.0,16289000000.0,16289000000.0,16289000000.0,16289000000.0,19816000000.0,19816000000.0,19816000000.0,19816000000.0,33344000000.0,33344000000.0,33344000000.0,33344000000.0,38034000000.0,38034000000.0,38034000000.0,38034000000.0,50448000000.0,50448000000.0,50448000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,32000000.0,32000000.0,58000000.0,58000000.0,58000000.0
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,358000000.0,358000000.0,292000000.0,292000000.0,292000000.0
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue / USD,,,,,,,,,,6691000000.0,3220000000.0,3220000000.0,3220000000.0,3220000000.0,3220000000.0,4259000000.0,4259000000.0,4259000000.0,4259000000.0,15019000000.0,15019000000.0,15019000000.0,15019000000.0,19121000000.0,19121000000.0,19121000000.0
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,,,,,,,,,,,,,,,,,,,,,326000000.0,326000000.0,234000000.0,234000000.0,234000000.0
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue / USD,,,,,5980000000.0,5980000000.0,5980000000.0,6883000000.0,6883000000.0,6883000000.0,6883000000.0,3178000000.0,3178000000.0,3178000000.0,3178000000.0,4157000000.0,4157000000.0,4157000000.0,4157000000.0,14300000000.0,14300000000.0,14300000000.0,14300000000.0,16337000000.0,16337000000.0,16337000000.0
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue / USD,,,,,,,,,,49000000.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,102000000.0,102000000.0,102000000.0,102000000.0,719000000.0,719000000.0,719000000.0,719000000.0,2784000000.0,2784000000.0,2784000000.0
AvailableForSaleSecuritiesCurrent / USD,,,,,,14287000000.0,14287000000.0,21345000000.0,21345000000.0,21345000000.0,21345000000.0,34643000000.0,34643000000.0,34643000000.0,34643000000.0,33310000000.0,33310000000.0,33310000000.0,33310000000.0,39819000000.0,39819000000.0,39819000000.0,39819000000.0,46048000000.0,46048000000.0,46048000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,,,,,4226000000.0,5618000000.0,5174000000.0,5986000000.0,6457000000.0,6146000000.0,5525000000.0,5619000000.0,5301000000.0,6645000000.0,7296000000.0,7661000000.0,8338000000.0,8375000000.0,6405000000.0,5942000000.0,6044000000.0,6790000000.0,7083000000.0,6943000000.0,7542000000.0,7244000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,6518000000.0,6601000000.0,6836000000.0,6632000000.0,6442000000.0,7272000000.0,7482000000.0,7555000000.0,8300000000.0,11051000000.0,12310000000.0,13487000000.0,17207000000.0,18819000000.0,15601000000.0,15431000000.0,17029000000.0,22010000000.0,24123000000.0,24805000000.0,25388000000.0,27725000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,,,,,6478000000.0,7610000000.0,7722000000.0,8515000000.0,7737000000.0,9179000000.0,8087000000.0,8591000000.0,8215000000.0,8336000000.0,8896000000.0,9049000000.0,8403000000.0,8864000000.0,5866000000.0,6159000000.0,6925000000.0,8192000000.0,8596000000.0,8751000000.0,8890000000.0,10024000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,1910000000.0,2056000000.0,1452000000.0,2953000000.0,7988000000.0,9211000000.0,13242000000.0,4191000000.0,5753000000.0,3407000000.0,4708000000.0,4382000000.0,4085000000.0,4809000000.0,11583000000.0,14828000000.0,11039000000.0,8854000000.0,4547000000.0,6279000000.0,7979000000.0,8525000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,,,,,28624000000.0,31808000000.0,34336000000.0,25956000000.0,27569000000.0,29439000000.0,33210000000.0,34579000000.0,38033000000.0,40867000000.0,39455000000.0,42360000000.0,41037000000.0,45846000000.0,44349000000.0,46778000000.0,49799000000.0,53518000000.0
AvailableForSaleSecuritiesGrossRealizedGainLossNet / USD,,,,,,,,,,,97000000.0,27000000.0,102000000.0,211000000.0,185000000.0,120000000.0,175000000.0,211000000.0,254000000.0,60000000.0,161000000.0,135000000.0,282000000.0,74000000.0,122000000.0,140000000.0
AvailableForSaleSecuritiesGrossRealizedGains / USD,,,,,54000000.0,79000000.0,118000000.0,28000000.0,81000000.0,148000000.0,212000000.0,41000000.0,135000000.0,274000000.0,381000000.0,133000000.0,209000000.0,290000000.0,383000000.0,75000000.0,217000000.0,252000000.0,383000000.0,98000000.0,156000000.0,189000000.0
AvailableForSaleSecuritiesGrossRealizedLosses / USD,,,,,,18000000.0,27000000.0,14000000.0,33000000.0,18000000.0,27000000.0,14000000.0,33000000.0,63000000.0,127000000.0,13000000.0,34000000.0,79000000.0,101000000.0,15000000.0,56000000.0,117000000.0,101000000.0,24000000.0,34000000.0,49000000.0
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,103000000.0,126000000.0,126000000.0
CapitalLeaseObligationsCurrent / USD,,,,,,,,,,,,,,,,,,9000000.0,0.0,9000000.0,9000000.0,9000000.0,9000000.0,10000000.0,10000000.0,10000000.0
CapitalLeaseObligationsIncurred / USD,,,,,,,,,,,,,,,,,,0.0,0.0,,,258000000.0,,,,
CapitalLeaseObligationsNoncurrent / USD,,,,,,,,,,,,,,,,,,248000000.0,0.0,246000000.0,246000000.0,246000000.0,246000000.0,236000000.0,236000000.0,236000000.0
CashAndCashEquivalentsAtCarryingValue / USD,6081593000.0,6081593000.0,3544671000.0,8657000000.0,8657000000.0,8657000000.0,6082000000.0,10198000000.0,10198000000.0,10198000000.0,8657000000.0,13630000000.0,13630000000.0,13630000000.0,10198000000.0,9983000000.0,9983000000.0,9983000000.0,13630000000.0,14778000000.0,14778000000.0,15242000000.0,9983000000.0,16639000000.0,19620000000.0,15605000000.0
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,14778000000.0,,18898000000.0,18898000000.0,18898000000.0
CashAndCashEquivalentsPeriodIncreaseDecrease / USD,1281943000.0,2288876000.0,2536922000.0,1769000000.0,3254000000.0,3430000000.0,2575000000.0,-1006000000.0,515000000.0,1059000000.0,1541000000.0,-1215000000.0,-3310000000.0,-3000000000.0,3432000000.0,13125000000.0,5454000000.0,6277000000.0,-3647000000.0,597000000.0,1386000000.0,464000000.0,4795000000.0,-2099000000.0,882000000.0,-3133000000.0
CashCashEquivalentsAndShortTermInvestments / USD,,,,,24485000000.0,24485000000.0,24485000000.0,34975000000.0,34975000000.0,34975000000.0,34975000000.0,44626000000.0,44626000000.0,44626000000.0,44626000000.0,48088000000.0,48088000000.0,48088000000.0,48088000000.0,58717000000.0,58717000000.0,58717000000.0,58717000000.0,64395000000.0,64395000000.0,64395000000.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,,,,,,,27042948.0,,,,27329837.0,,,,21794492.0,,,,15833050.0,,,,17525225.0,,,
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,,,
CommonStocksIncludingAdditionalPaidInCapital / USD,,,,,,,,,,,,,,,,,22835000000.0,22835000000.0,22835000000.0,25922000000.0,,,25922000000.0,28767000000.0,28767000000.0,28767000000.0
ComprehensiveIncomeNetOfTax / USD,,,4293782000.0,,2762000000.0,4553000000.0,4341000000.0,2013000000.0,4036000000.0,6388000000.0,6398000000.0,2041000000.0,4769000000.0,7127000000.0,8538000000.0,3036000000.0,5483000000.0,7943000000.0,9875000000.0,3164000000.0,5638000000.0,9105000000.0,10999000000.0,3672000000.0,7099000000.0,9254000000.0
ConstructionInProgressGross / USD,,,,,1644000000.0,1644000000.0,1644000000.0,2329000000.0,2329000000.0,2329000000.0,2329000000.0,2128000000.0,2128000000.0,2128000000.0,2128000000.0,2240000000.0,2240000000.0,2240000000.0,2240000000.0,5602000000.0,5602000000.0,5602000000.0,5602000000.0,6555000000.0,,
ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue / USD,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostMethodInvestments / USD,,,,,,,,,,,,,,,,,,,548000000.0,,,,1000000000.0,,,
CostOfRevenue / USD,4258111000.0,6431501000.0,6649085000.0,2102000000.0,4209000000.0,6436000000.0,8622000000.0,2452000000.0,4919000000.0,7471000000.0,8844000000.0,2936000000.0,,,,,,,,5136000000.0,10331000000.0,15740000000.0,17176000000.0,5961000000.0,12075000000.0,18770000000.0
CostsAndExpenses / USD,7429055000.0,11322882000.0,11509586000.0,3625000000.0,7275000000.0,11146000000.0,15164000000.0,4287000000.0,8742000000.0,13482000000.0,15339000000.0,6279000000.0,12424000000.0,19087000000.0,18940000000.0,7256000000.0,15826000000.0,26390000000.0,26163000000.0,9203000000.0,18845000000.0,28838000000.0,32205000000.0,11305000000.0,23002000000.0,35801000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,1348000000.0,,,,1531000000.0,,,,1657000000.0,,,,1724000000.0,,,,2484000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,91000000.0,,,,148000000.0,,,,167000000.0,,,,248000000.0,,,,312000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,1907000000.0,,,,2129000000.0,,,,2282000000.0,,,,2246000000.0,,,,2965000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,468000000.0,,,,450000000.0,,,,458000000.0,,,,274000000.0,,,,169000000.0,,,
DebtCurrent / USD,,,,,,,,,,,,,,,,,,2549000000.0,2549000000.0,3009000000.0,3009000000.0,3009000000.0,3009000000.0,2009000000.0,2009000000.0,2009000000.0
DebtInstrumentUnamortizedDiscount / USD,,,,,,,,,,,,,,,14000000.0,11000000.0,11000000.0,10000000.0,12000000.0,10000000.0,10000000.0,10000000.0,10000000.0,8000000.0,8000000.0,8000000.0
DeferredCompensationArrangementWithIndividualEmployerContribution / USD,,,,,,,73000000.0,,,,83000000.0,,,,100000000.0,,,,136000000.0,,,,164000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,-198000000.0,,,,-273000000.0,,,,-25000000.0,,,,452000000.0,,,,-109000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,-20000000.0,,,,-8000000.0,,,,-13000000.0,,,,0.0,,,,55000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,-105890000.0,-124597000.0,-164212000.0,-13000000.0,-114000000.0,-288000000.0,-225000000.0,-13000000.0,-4000000.0,23000000.0,-268000000.0,289000000.0,464000000.0,526000000.0,9000000.0,354000000.0,191000000.0,23000000.0,343000000.0,202000000.0,265000000.0,125000000.0,-266000000.0,144000000.0,-138000000.0,-498000000.0
DeferredRevenueCurrent / USD,218084000.0,218084000.0,218084000.0,285000000.0,285000000.0,285000000.0,285000000.0,394000000.0,394000000.0,394000000.0,394000000.0,547000000.0,547000000.0,547000000.0,547000000.0,895000000.0,895000000.0,895000000.0,895000000.0,1062000000.0,1062000000.0,1062000000.0,1062000000.0,752000000.0,752000000.0,752000000.0
DeferredRevenueNoncurrent / USD,29818000.0,29818000.0,29818000.0,42000000.0,42000000.0,42000000.0,42000000.0,35000000.0,35000000.0,35000000.0,35000000.0,44000000.0,44000000.0,44000000.0,44000000.0,100000000.0,100000000.0,100000000.0,100000000.0,139000000.0,139000000.0,139000000.0,139000000.0,104000000.0,104000000.0,104000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,-63000000.0,,,,13000000.0,,,,47000000.0,,,,-109000000.0,,,,5000000.0,,,
DeferredTaxAssetsCapitalLossCarryforwards / USD,,,,,,,,,,,,,,,285000000.0,,,,236000000.0,,,,266000000.0,,,
DeferredTaxAssetsGross / USD,,,,,,,1447000000.0,,,,1302000000.0,,,,1331000000.0,,,,4514000000.0,,,,3960000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,907000000.0,,,,524000000.0,,,,-72000000.0,,,,-728000000.0,,,,-357000000.0,,,
DeferredTaxAssetsNet / USD,,,,,,,1120000000.0,,,,1010000000.0,,,,998000000.0,,,,1885000000.0,,,,2061000000.0,,,
DeferredTaxAssetsNetCurrent / USD,286105000.0,286105000.0,286105000.0,644000000.0,644000000.0,644000000.0,644000000.0,259000000.0,259000000.0,259000000.0,259000000.0,215000000.0,215000000.0,215000000.0,215000000.0,1144000000.0,1144000000.0,1144000000.0,1144000000.0,1526000000.0,1526000000.0,1526000000.0,1526000000.0,1322000000.0,1322000000.0,1322000000.0
DeferredTaxAssetsOther / USD,,,,,,,17000000.0,,,,0.0,,,,11000000.0,,,,128000000.0,,,,250000000.0,,,
DeferredTaxAssetsStateTaxes / USD,,,,,,,,,,,,,,,138000000.0,,,,184000000.0,,,,204000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,,,,,,,,,,,,,,,,,,,228000000.0,,,,82000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsOther / USD,,,,,,,,,,,,,,,55000000.0,,,,274000000.0,,,,394000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,,,,,,,,,,,,,,,,323000000.0,,,,477000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,,,,274000000.0,,,,299000000.0,,,,288000000.0,,,,311000000.0,,,,283000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLegalSettlements / USD,,,,,,,39000000.0,,,,39000000.0,,,,35000000.0,,,,28000000.0,,,,45000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,,,,,216000000.0,,,,244000000.0,,,,268000000.0,,,,365000000.0,,,,390000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,,,326000000.0,,,,292000000.0,,,,333000000.0,,,,2629000000.0,,,,1899000000.0,,,
DeferredTaxLiabilities / USD,,,,,,,213000000.0,,,,486000000.0,,,,1070000000.0,,,,2613000000.0,,,,2418000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,,,210000000.0,,,,308000000.0,,,,398000000.0,,,,1496000000.0,,,,1479000000.0,,,
DeferredTaxLiabilitiesNoncurrent / USD,12515000.0,12515000.0,12515000.0,,,,,,0.0,0.0,0.0,287000000.0,287000000.0,287000000.0,287000000.0,1872000000.0,1872000000.0,1872000000.0,1872000000.0,1947000000.0,1947000000.0,1947000000.0,1947000000.0,1971000000.0,1971000000.0,1971000000.0
DeferredTaxLiabilitiesOther / USD,,,,,,,3000000.0,,,,27000000.0,,,,33000000.0,,,,133000000.0,,,,185000000.0,,,
DeferredTaxLiabilitiesOtherComprehensiveIncome / USD,,,,,,,,,,,56000000.0,,,,90000000.0,,,,105000000.0,,,,-6000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,,,,,,,0.0,,,,479000000.0,,,,761000000.0,,,,537000000.0,,,
DepositsReceivedForSecuritiesLoanedAtCarryingValue / USD,,,,,,,,,,,,,,,,1673000000.0,1673000000.0,1673000000.0,1673000000.0,1374000000.0,1374000000.0,1374000000.0,1374000000.0,2778000000.0,2778000000.0,2778000000.0
DerivativeAmountOfHedgedItem / USD,,,,,,,,,,,,,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
DerivativeAssetFairValueGrossLiability / USD,,,,,,,,,,,,,,,,,4000000.0,4000000.0,4000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowed / USD,,,,,,,,,,,,,,,,,1807000000.0,1807000000.0,1807000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,3489000000.0,3489000000.0,3489000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedAmountOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,,122000000.0,122000000.0,122000000.0,143000000.0,143000000.0,143000000.0,143000000.0,188000000.0,188000000.0,188000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedCollateralObligationToReturnCash / USD,,,,,,,,,,,,,,,,,40000000.0,40000000.0,40000000.0,35000000.0,35000000.0,35000000.0,35000000.0,251000000.0,251000000.0,251000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedCollateralObligationToReturnSecurities / USD,,,,,,,,,,,,,,,,,1641000000.0,1641000000.0,1641000000.0,1422000000.0,1422000000.0,1422000000.0,1422000000.0,3049000000.0,3049000000.0,3049000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedGross / USD,,,,,,,,,,,,,,,,,1807000000.0,1807000000.0,1807000000.0,1602000000.0,1602000000.0,1602000000.0,1602000000.0,3489000000.0,3489000000.0,3489000000.0
DerivativeAssetSecuritiesPurchasedUnderAgreementsToResellSecuritiesBorrowedLiability / USD,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeAssets / USD,,,,,,,,,,,,,,,,178000000.0,178000000.0,178000000.0,178000000.0,232000000.0,232000000.0,232000000.0,232000000.0,852000000.0,852000000.0,852000000.0
DerivativeCollateralObligationToReturnCash / USD,,,,,,,,,,,,,,,,40000000.0,40000000.0,40000000.0,40000000.0,35000000.0,35000000.0,35000000.0,35000000.0,251000000.0,251000000.0,251000000.0
DerivativeCollateralObligationToReturnSecurities / USD,,,,,,,,,,,,,,,,,12000000.0,12000000.0,12000000.0,52000000.0,52000000.0,52000000.0,52000000.0,412000000.0,412000000.0,412000000.0
DerivativeCollateralRightToReclaimCash / USD,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeCollateralRightToReclaimSecurities / USD,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeFairValueOfDerivativeAsset / USD,,,,,105000000.0,105000000.0,105000000.0,342000000.0,342000000.0,342000000.0,342000000.0,337000000.0,337000000.0,337000000.0,178000000.0,178000000.0,178000000.0,178000000.0,178000000.0,232000000.0,232000000.0,232000000.0,232000000.0,852000000.0,852000000.0,852000000.0
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,122000000.0,122000000.0,122000000.0,122000000.0,143000000.0,143000000.0,143000000.0,143000000.0,188000000.0,188000000.0,188000000.0
DerivativeFairValueOfDerivativeLiability / USD,,,,,14000000.0,0.0,0.0,8000000.0,8000000.0,8000000.0,8000000.0,6000000.0,6000000.0,6000000.0,,7000000.0,7000000.0,7000000.0,7000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0,2000000.0,3000000.0,3000000.0,3000000.0
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet / USD,,,,,,,,,,,,,,,,,,,,,70000000.0,92000000.0,217000000.0,8000000.0,15000000.0,26000000.0
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet / USD,,,,,,,,,,,,,,,,,,,,-51000000.0,-89000000.0,-224000000.0,-447000000.0,-63000000.0,-130000000.0,-182000000.0
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet / USD,,,,,,,,,,,,,,-54000000.0,331000000.0,-55000000.0,220000000.0,102000000.0,54000000.0,173000000.0,198000000.0,154000000.0,74000000.0,-18000000.0,-9000000.0,427000000.0
DerivativeLiabilities / USD,,,,,,,,,,,,,,,,7000000.0,7000000.0,7000000.0,7000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
DerivativeLiabilityFairValueGrossAsset / USD,,,,,,,,,,,,,,,,,4000000.0,4000000.0,4000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoaned / USD,,,,,,,,,,,,,,,,,1680000000.0,1680000000.0,1680000000.0,1378000000.0,1378000000.0,1378000000.0,1378000000.0,2782000000.0,2782000000.0,2782000000.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedAmountOffsetAgainstCollateral / USD,,,,,,,,,,,,,,,,,3000000.0,3000000.0,3000000.0,19000000.0,19000000.0,19000000.0,19000000.0,41000000.0,41000000.0,41000000.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedAsset / USD,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedCollateralRightToReclaimCash / USD,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedCollateralRightToReclaimSecurities / USD,,,,,,,,,,,,,,,,,1673000000.0,1673000000.0,1673000000.0,1357000000.0,1357000000.0,1357000000.0,1357000000.0,2740000000.0,2740000000.0,2740000000.0
DerivativeLiabilitySecuritiesSoldUnderAgreementsToResellSecuritiesLoanedGross / USD,,,,,,,,,,,,,,,,,1680000000.0,1680000000.0,1680000000.0,1378000000.0,1378000000.0,1378000000.0,1378000000.0,2782000000.0,2782000000.0,2782000000.0
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,-160000000.0,-160000000.0,-160000000.0
