fact_unit,2018-05-24,2018-08-09,2018-10-29,2019-02-28,2019-05-01,2019-05-21,2019-07-30,2019-11-07,2020-02-28,2020-05-06,2020-08-05,2020-11-05,2021-02-26,2021-05-05,2021-08-04,2021-11-03,2022-02-28,2022-05-04,2022-08-03,2022-11-02,2023-03-01,2023-05-03,2023-08-02,2023-11-13,2024-02-28,2024-05-01,2024-07-31,2024-10-30,2025-02-28,2025-05-07,2025-08-06,2025-10-29
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1 / USD,,,,,,,,,,,,,,,,,600000.0,800000.0,2000000.0,3200000.0,600000.0,800000.0,2000000.0,3200000.0,600000.0,3500000.0,7200000.0,11800000.0,4600000.0,,,9000000.0
BusinessDevelopment / USD,12800000.0,20800000.0,31800000.0,43300000.0,13700000.0,43300000.0,28800000.0,43300000.0,43600000.0,15200000.0,31600000.0,49100000.0,59000000.0,17600000.0,34600000.0,57500000.0,67900000.0,25800000.0,57600000.0,94200000.0,83700000.0,40400000.0,80200000.0,125000000.0,134000000.0,51000000.0,100200000.0,153500000.0,169900000.0,53100000.0,111400000.0,166800000.0
CashAndCashEquivalentsAtCarryingValue / USD,131400000.0,120800000.0,120800000.0,,,,,,,,,,217800000.0,188200000.0,188200000.0,188200000.0,188200000.0,367500000.0,367500000.0,367500000.0,367500000.0,431900000.0,431900000.0,431900000.0,431900000.0,570300000.0,570300000.0,570300000.0,570300000.0,579700000.0,579700000.0,579700000.0
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations / USD,,,,,57800000.0,120800000.0,171800000.0,188000000.0,94200000.0,206300000.0,237900000.0,270900000.0,,255300000.0,526900000.0,554600000.0,281300000.0,339600000.0,335200000.0,378800000.0,188200000.0,354800000.0,371200000.0,408400000.0,367500000.0,428600000.0,486600000.0,510300000.0,431900000.0,392500000.0,465400000.0,494100000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,63200000.0,2411800000.0,2674700000.0,2411800000.0,2411800000.0,2068200000.0,1106300000.0,1106300000.0,1106300000.0,,1658600000.0,1658600000.0,1658600000.0,1106300000.0,2228500000.0,2228500000.0,2228500000.0,1658600000.0,1952800000.0,1952800000.0,2643300000.0,2835000000.0,3151200000.0,3151200000.0,3151200000.0,2643300000.0,3421400000.0,3421400000.0,3421400000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,58100000.0,-153300000.0,-644200000.0,-264000000.0,-519800000.0,338400000.0,1812000000.0,1265300000.0,-75900000.0,-1306000000.0,485700000.0,-117600000.0,-28400000.0,552300000.0,634200000.0,-397300000.0,1752300000.0,569900000.0,3706200000.0,1774000000.0,481200000.0,-191700000.0,2190200000.0,290500000.0,465100000.0,507900000.0,1477800000.0,-289200000.0,-1343800000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,150000000.0,150000000.0,150000000.0,100000000.0,500000000.0,100000000.0,500000000.0,500000000.0,100000000.0,500000000.0,500000000.0,500000000.0,100000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0
CommonStockSharesIssued / shares,65285962.0,65285962.0,65285962.0,65285962.0,139453710.0,65285962.0,24150000.0,24150000.0,24150000.0,144386618.0,144386618.0,144386618.0,24150000.0,148571412.0,148571412.0,148571412.0,148571412.0,151995031.0,151995031.0,151995031.0,151995031.0,153856645.0,153856645.0,153856645.0,153900000.0,156300000.0,156300000.0,156300000.0,156300000.0,159000000.0,159000000.0,159000000.0
CommonStockSharesOutstanding / shares,65285962.0,65285962.0,65285962.0,65285962.0,139453710.0,65285962.0,139453710.0,139453710.0,139453710.0,144386618.0,144386618.0,144386618.0,144386618.0,148571412.0,148571412.0,148571412.0,148571412.0,151995031.0,151995031.0,151995031.0,151995031.0,153856645.0,153856645.0,153856645.0,153900000.0,156300000.0,156300000.0,156300000.0,156300000.0,159000000.0,159000000.0,159000000.0
CommonStockValue / USD,700000.0,700000.0,700000.0,700000.0,1400000.0,700000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1400000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1500000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,-3500000.0,-10300000.0,-10100000.0,-65600000.0,-27800000.0,-51900000.0,-101300000.0,-89100000.0,42700000.0,45200000.0,81900000.0,134900000.0,-126700000.0,-20600000.0,24000000.0,37500000.0,143300000.0,-17700000.0,-31700000.0,-75600000.0,58400000.0,-60500000.0,-153100000.0,-244700000.0,-124200000.0,29800000.0,25800000.0,-900000.0,-233600000.0,-18700000.0,-18000000.0,47400000.0
ContractWithCustomerAssetAccumulatedAllowanceForCreditLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,68500000.0,68500000.0,68500000.0,68500000.0,89000000.0,89000000.0,89000000.0
ContractWithCustomerAssetPurchase / USD,,,,,,,,,,,,,,,,,,,,,,,,,,23700000.0,46900000.0,71400000.0,98400000.0,22400000.0,46000000.0,73400000.0
ContractWithCustomerAssetSale / USD,,,,,,,,,,,,,,,,,,,,,,,,,,18900000.0,40100000.0,58200000.0,78600000.0,19500000.0,41400000.0,63800000.0
ContractWithCustomerLiability / USD,,,,,16500000.0,11800000.0,16500000.0,16500000.0,16500000.0,23200000.0,23200000.0,23200000.0,23200000.0,25500000.0,25500000.0,25500000.0,25500000.0,24400000.0,24400000.0,24400000.0,24400000.0,48700000.0,48700000.0,48700000.0,48700000.0,41200000.0,41200000.0,41200000.0,41200000.0,40200000.0,40200000.0,40200000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,41700000.0,204300000.0,119800000.0,198700000.0,252000000.0,63800000.0,157100000.0,258000000.0,-363500000.0,-83600000.0,-197200000.0,-312400000.0,-433900000.0,-95400000.0,-241700000.0,-394000000.0,-556500000.0,-126600000.0,-303500000.0,-486500000.0,-679200000.0,-141700000.0,-333400000.0,-542500000.0,-838100000.0,-215400000.0,-495600000.0,-656600000.0
CostOfGoodsAndServicesSoldDepreciationAndAmortization / USD,,15200000.0,23200000.0,23100000.0,8700000.0,23100000.0,17200000.0,25700000.0,31300000.0,8700000.0,17700000.0,26700000.0,34300000.0,9800000.0,19600000.0,29900000.0,36400000.0,11100000.0,24900000.0,37500000.0,40500000.0,13000000.0,26300000.0,40000000.0,50900000.0,15300000.0,30300000.0,47400000.0,55000000.0,,,
CostOfRevenue / USD,113200000.0,201400000.0,303600000.0,396400000.0,105900000.0,395800000.0,212400000.0,317000000.0,406700000.0,110100000.0,218400000.0,331900000.0,425800000.0,122200000.0,236200000.0,363900000.0,455900000.0,141300000.0,299600000.0,463700000.0,501200000.0,190200000.0,375400000.0,572000000.0,641900000.0,210300000.0,420300000.0,637300000.0,773000000.0,18500000.0,37800000.0,58600000.0
CostsAndExpenses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390800000.0,800000000.0,1219200000.0
CurrentFederalTaxExpenseBenefit / USD,,,,-400000.0,,-400000.0,,,-300000.0,,,,3800000.0,,,,7100000.0,,,,-6500000.0,2700000.0,4500000.0,,900000.0,,,,4500000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,15200000.0,,15100000.0,,,12900000.0,,,,20400000.0,,,,17500000.0,,,,-2600000.0,,,4200000.0,22300000.0,1400000.0,1100000.0,6300000.0,5800000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,15000000.0,,14900000.0,,,12700000.0,,,,24500000.0,-2600000.0,-10600000.0,-16800000.0,25000000.0,-4700000.0,-9100000.0,-12700000.0,-9000000.0,6000000.0,10100000.0,12700000.0,23600000.0,3900000.0,3900000.0,7700000.0,12200000.0,4000000.0,12100000.0,20100000.0
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,200000.0,,200000.0,,,100000.0,,,,300000.0,,,,400000.0,,,,100000.0,,,3800000.0,400000.0,,,,1900000.0,2100000.0,4200000.0,
DebtInstrumentCarryingAmount / USD,,,,,,,,,671500000.0,669800000.0,963100000.0,961400000.0,664700000.0,1238000000.0,1236300000.0,1234600000.0,1232900000.0,1231200000.0,1229500000.0,1227800000.0,1226100000.0,1224400000.0,1222700000.0,1221000000.0,1219300000.0,1225000000.0,1225000000.0,1223400000.0,1221800000.0,1220100000.0,1218500000.0,1216900000.0
DebtInstrumentConvertibleNumberOfEquityInstruments / Unit,,,,,,,,,,,,,,,,,,,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0,4300000.0
DebtInstrumentFairValue / USD,1154100000.0,1154100000.0,1154100000.0,1154100000.0,649500000.0,1154100000.0,649500000.0,649500000.0,649500000.0,675100000.0,675100000.0,675100000.0,675100000.0,657600000.0,657600000.0,657600000.0,657600000.0,1248900000.0,1248900000.0,1248900000.0,1248900000.0,1142300000.0,1142300000.0,1142300000.0,1140000000.0,1163200000.0,1163200000.0,1160000000.0,1160000000.0,1190000000.0,1200000000.0,1200000000.0
DebtInstrumentUnamortizedDiscount / USD,900000.0,900000.0,900000.0,900000.0,1700000.0,900000.0,1700000.0,1700000.0,1700000.0,1400000.0,1400000.0,1400000.0,1400000.0,,,,,,,,,,,,,8900000.0,8900000.0,8900000.0,8900000.0,11900000.0,11900000.0,11900000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,,,,,,,,,,,,,,,,,40800000.0,165800000.0,189800000.0,466900000.0,652200000.0,1213400000.0,1479700000.0,1457200000.0,1389000000.0,1355000000.0,1407800000.0,1131000000.0,1033400000.0,928000000.0,852500000.0,827200000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,,10700000.0,18900000.0,18100000.0,7700000.0,18100000.0,1900000.0,600000.0,300000.0,,100000.0,100000.0,,,,,900000.0,11600000.0,16800000.0,52900000.0,69100000.0,86900000.0,104700000.0,108400000.0,71300000.0,70000000.0,64000000.0,33900000.0,33400000.0,23600000.0,19000000.0,14300000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,,,,,,,,,,,,,,,,,718900000.0,1122600000.0,1660900000.0,1428000000.0,1247500000.0,556000000.0,416800000.0,454900000.0,221900000.0,438800000.0,447600000.0,90200000.0,419900000.0,236900000.0,174200000.0,44600000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,,17700000.0,13800000.0,2400000.0,100000.0,2400000.0,200000.0,800000.0,1400000.0,1300000.0,,,100000.0,2900000.0,2700000.0,4400000.0,10400000.0,48800000.0,76600000.0,70700000.0,50000000.0,8800000.0,9300000.0,11100000.0,1700000.0,5500000.0,4200000.0,400000.0,7100000.0,2000000.0,800000.0,300000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,,,,,,,,,759700000.0,1288400000.0,1850700000.0,1894900000.0,1899700000.0,1769400000.0,1896500000.0,1912100000.0,1610900000.0,1793800000.0,1855400000.0,1221200000.0,1453300000.0,1164900000.0,1026700000.0,871800000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,28400000.0,32700000.0,20500000.0,7800000.0,20500000.0,2100000.0,1400000.0,1700000.0,1300000.0,100000.0,100000.0,100000.0,2900000.0,2700000.0,4400000.0,11300000.0,60400000.0,93400000.0,123600000.0,119100000.0,95700000.0,114000000.0,119500000.0,73000000.0,75500000.0,68200000.0,34300000.0,40500000.0,25600000.0,19800000.0,14600000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-15700000.0,,-15700000.0,,,-60300000.0,,,,-14100000.0,,,,-42600000.0,,,,-1100000.0,,,,-22300000.0,,,,7800000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,7500000.0,,8600000.0,,,-1700000.0,,,,200000.0,,,,-7500000.0,,,,-6000000.0,,,,-11200000.0,,,,-7400000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,-300000.0,-1600000.0,-4400000.0,-8300000.0,-200000.0,-7200000.0,-6400000.0,-9400000.0,-61200000.0,-1900000.0,-4800000.0,-75900000.0,-16100000.0,4100000.0,300000.0,-45000000.0,-69400000.0,600000.0,-29200000.0,-45000000.0,-7000000.0,4500000.0,6400000.0,5100000.0,-38500000.0,6100000.0,5500000.0,13900000.0,-1700000.0,-11800000.0,-17400000.0,-27500000.0
DeferredIncomeTaxLiabilities / USD,,,,92900000.0,,105100000.0,,,81600000.0,,,,89300000.0,,,,116900000.0,,,,129400000.0,,,,113300000.0,,,,107900000.0,,,
DeferredRevenueCurrent / USD,16800000.0,14000000.0,14000000.0,14000000.0,23200000.0,16500000.0,23200000.0,23200000.0,23200000.0,25500000.0,25500000.0,25500000.0,25500000.0,24400000.0,24400000.0,24400000.0,24400000.0,48700000.0,48700000.0,48700000.0,48700000.0,41200000.0,41200000.0,41200000.0,41200000.0,40200000.0,40200000.0,40200000.0,40200000.0,42300000.0,42300000.0,42300000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-100000.0,,-100000.0,,,800000.0,,,,-2200000.0,,,,-19300000.0,,,,100000.0,,,,-5000000.0,,,,-2100000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,10600000.0,,,,13500000.0,,,,15400000.0,,,
DeferredTaxAssetsGross / USD,,,,151500000.0,,151500000.0,,,129700000.0,,,,124600000.0,,,,143400000.0,,,,208800000.0,,,,253400000.0,,,,244400000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,20200000.0,,,,20200000.0,,,,10200000.0,,,,32600000.0,,,,96000000.0,,,,81500000.0,,,
DeferredTaxAssetsNet / USD,,,,60800000.0,,69700000.0,,,45900000.0,,,,109500000.0,,,,127100000.0,,,,162000000.0,,,,209300000.0,,,,189400000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,100300000.0,,100300000.0,,,78200000.0,,,,82700000.0,,,,125900000.0,,,,161500000.0,,,,120800000.0,,,,82700000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign / USD,,,,,,,,,,,,,8500000.0,,,,17800000.0,,,,22100000.0,,,,31100000.0,,,,35900000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal / USD,,,,31000000.0,,31000000.0,,,26300000.0,,,,34200000.0,,,,38700000.0,,,,32500000.0,,,,23200000.0,,,,19000000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,7500000.0,,,,7500000.0,,,,19200000.0,,,,33700000.0,,,,23300000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,200000.0,,200000.0,,,300000.0,,,,300000.0,,,,200000.0,,,,600000.0,,,,300000.0,,,,5000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation / USD,,,,51000000.0,,51000000.0,,,51200000.0,,,,41600000.0,,,,9800000.0,,,,16900000.0,,,,27800000.0,,,,31300000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,90700000.0,,81800000.0,,65800000.0,83800000.0,,,,15100000.0,,,,16300000.0,46200000.0,46000000.0,45400000.0,46800000.0,44500000.0,45200000.0,48100000.0,44100000.0,54200000.0,51700000.0,45900000.0,55000000.0,39400000.0,39400000.0,39500000.0
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,65700000.0,,65700000.0,,,62100000.0,,,,57300000.0,,,,61700000.0,,,,75400000.0,,,,60800000.0,,,,49500000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,5000000.0,,17200000.0,,,19500000.0,,,,32000000.0,,,,27500000.0,,,,24600000.0,,,,19000000.0,,,,12900000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,,,0.25,,0.25,,,0.25,,,,0.25,,,,0.25,,,,0.25,,,,0.25,,,,0.25,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328500000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,300000.0,600000.0,900000.0,3000000.0,600000.0,3000000.0,1200000.0,1800000.0,1500000.0,1300000.0,2600000.0,3900000.0,2700000.0,800000.0,1700000.0,2500000.0,5200000.0,2200000.0,4400000.0,6600000.0,3300000.0,1200000.0,2400000.0,3600000.0,8800000.0,400000.0,700000.0,900000.0,4800000.0,2600000.0,5100000.0,7600000.0
DefinedContributionPlanCostRecognized / USD,,,,7000000.0,,7000000.0,,,7500000.0,,,,8400000.0,,,,9800000.0,,,,11100000.0,,,,15400000.0,,,,23000000.0,,,
Depreciation / USD,8700000.0,16900000.0,25800000.0,34800000.0,,34800000.0,,,35300000.0,,,,38100000.0,,,,40900000.0,,,,48000000.0,,,,53600000.0,,,,58100000.0,,,
DepreciationAmortizationAndAccretionNet / USD,,,,56400000.0,,56400000.0,,,61900000.0,,,,70400000.0,,,,78700000.0,,,,92800000.0,,,,133400000.0,,,,167000000.0,,,
