fact_unit,2018-08-08,2018-11-07,2019-02-22,2019-05-08,2019-08-07,2019-11-06,2020-03-02,2020-05-06,2020-08-05,2020-11-05,2021-02-26,2021-05-06,2021-08-05,2021-11-03,2022-02-25,2022-05-05,2022-08-04,2022-11-04,2023-02-24,2023-05-05,2023-08-04,2023-11-07,2024-02-29,2024-05-09,2024-08-09,2024-11-07,2025-02-27,2025-05-08,2025-08-07,2025-11-06
CurrentIncomeTaxExpenseBenefit / USD,2600000.0,-14100000.0,-700000.0,200000.0,9200000.0,-19600000.0,500000.0,11300000.0,19800000.0,-12200000.0,-65200000.0,2000000.0,-25900000.0,-42700000.0,-24500000.0,3000000.0,5500000.0,1200000.0,-24700000.0,11100000.0,26700000.0,28500000.0,15200000.0,9700000.0,22500000.0,13400000.0,40200000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,400000.0,400000.0,300000.0,0.0,400000.0,1900000.0,400000.0,-600000.0,-800000.0,-1600000.0,2200000.0,-400000.0,-7300000.0,-7700000.0,15000000.0,1900000.0,-500000.0,1700000.0,2100000.0,-400000.0,1700000.0,7700000.0,-400000.0,4700000.0,11900000.0,20100000.0,8300000.0,,,
DebtInstrumentInterestRateStatedPercentage / pure,,,,,,,,,,,,,,,,,,0.0506,0.0506,0.0506,0.0506,0.0506,0.0506,0.0506,0.0506,0.0506,0.0506,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,39300000.0,,,,57200000.0,,,,80700000.0,,,,84900000.0,,,,80500000.0,,,,79600000.0,,,,106000000.0,,,
DecommissioningFundInvestments / USD,237100000.0,237100000.0,237100000.0,472100000.0,472100000.0,472100000.0,472100000.0,573200000.0,573200000.0,573200000.0,573200000.0,652100000.0,652100000.0,652100000.0,652100000.0,768700000.0,768700000.0,768700000.0,768700000.0,653300000.0,653300000.0,653300000.0,653300000.0,766400000.0,766400000.0,766400000.0,766400000.0,879800000.0,879800000.0,879800000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,42900000.0,101700000.0,155200000.0,5900000.0,15400000.0,86000000.0,122800000.0,-7300000.0,2500000.0,78000000.0,160100000.0,6000000.0,36800000.0,83400000.0,93200000.0,17700000.0,32700000.0,94000000.0,73100000.0,-3900000.0,4500000.0,55400000.0,92800000.0,7700000.0,13200000.0,38900000.0,17200000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,55600000.0,128700000.0,188100000.0,9600000.0,-43600000.0,50300000.0,153500000.0,-1000000.0,16000000.0,114500000.0,127800000.0,8800000.0,73000000.0,141100000.0,120700000.0,21500000.0,39700000.0,102600000.0,132900000.0,-700000.0,7500000.0,56800000.0,107500000.0,4400000.0,4300000.0,24100000.0,13800000.0,,,
DeferredIncomeTaxLiabilities / USD,,,1715700000.0,,,,3568800000.0,,,,3468400000.0,,,,3206400000.0,,,,3263900000.0,,,,3287100000.0,,,,3366000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,1599200000.0,1599200000.0,1599200000.0,1744400000.0,1744400000.0,1744400000.0,1744400000.0,1664800000.0,1664800000.0,1664800000.0,1664800000.0,1861900000.0,1861900000.0,1861900000.0,1861900000.0,1996600000.0,1996600000.0,1996600000.0,1996600000.0,2097900000.0,2097900000.0,2097900000.0,2097900000.0,2035700000.0,2035700000.0,2035700000.0
DeferredIncomeTaxesAndTaxCredits / USD,53900000.0,127000000.0,185200000.0,3800000.0,-45000000.0,47800000.0,149600000.0,-2000000.0,13900000.0,111400000.0,124200000.0,8100000.0,69700000.0,136500000.0,121500000.0,20000000.0,37100000.0,98600000.0,126900000.0,400000.0,6900000.0,54600000.0,102200000.0,2700000.0,700000.0,18600000.0,7300000.0,-11000000.0,-13500000.0,24200000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,12700000.0,27000000.0,32900000.0,3700000.0,-59000000.0,-35700000.0,30700000.0,6300000.0,13500000.0,36500000.0,-32300000.0,2800000.0,36200000.0,57700000.0,27500000.0,3800000.0,7000000.0,8600000.0,59800000.0,3200000.0,3000000.0,1400000.0,14700000.0,-3300000.0,-8900000.0,-14800000.0,-3400000.0,,,
DeferredTaxAssetsGross / USD,,,900000000.0,,,,1996900000.0,,,,1741500000.0,,,,1556000000.0,,,,1414800000.0,,,,1303300000.0,,,,1282900000.0,,,
DeferredTaxAssetsNet / USD,,,900000000.0,,,,1969600000.0,,,,1724000000.0,,,,1541600000.0,,,,1402000000.0,,,,1290500000.0,,,,1268100000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic / USD,,,70000000.0,,,,383300000.0,,,,163400000.0,,,,51000000.0,,,,40200000.0,,,,31700000.0,,,,22500000.0,,,
DeferredTaxAssetsOther / USD,,,97900000.0,,,,193500000.0,,,,183200000.0,,,,181000000.0,,,,200000000.0,,,,131700000.0,,,,121700000.0,,,
DeferredTaxAssetsRegulatoryAssetsAndLiabilities / USD,,,230300000.0,,,,478100000.0,,,,,,,,,,,,,,,,,,,,132000000.0,,,
DeferredTaxAssetsStateTaxes / USD,,,63800000.0,,,,62500000.0,,,,64400000.0,,,,145900000.0,,,,146900000.0,,,,145600000.0,,,,141000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness / USD,,,276700000.0,,,,508100000.0,,,,548900000.0,,,,379600000.0,,,,375200000.0,,,,311000000.0,,,,288900000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation / USD,,,95900000.0,,,,215400000.0,,,,197000000.0,,,,227600000.0,,,,158300000.0,,,,86200000.0,,,,101500000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,13200000.0,,,,82600000.0,,,,80400000.0,,,,152700000.0,,,,157600000.0,,,,169700000.0,,,,185900000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,0.0,,,,27300000.0,,,,17500000.0,,,,14400000.0,,,,12800000.0,,,,12800000.0,,,,14800000.0,,,
DeferredTaxLiabilities / USD,,,815700000.0,,,,1599200000.0,,,,1744400000.0,,,,1664800000.0,,,,1861900000.0,,,,1996600000.0,,,,2097900000.0,,,
DeferredTaxLiabilitiesOther / USD,,,59900000.0,,,,131400000.0,,,,119800000.0,,,,128900000.0,,,,136300000.0,,,,126900000.0,,,,108700000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,1483300000.0,,,,3164900000.0,,,,3004800000.0,,,,2693700000.0,,,,2701100000.0,,,,2770900000.0,,,,2818400000.0,,,
DeferredTaxLiabilitiesRegulatoryAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,231300000.0,,,
DefinedContributionPlanCostRecognized / USD,,,9600000.0,,,,9700000.0,,,,16300000.0,,,,17600000.0,,,,17400000.0,,,,25600000.0,,,,25300000.0,,,
Depreciation / USD,,,316700000.0,,,,350000000.0,,,,567900000.0,,,,786300000.0,,,,804700000.0,,,,813600000.0,,,,836100000.0,,,
DepreciationAndAmortization / USD,182700000.0,277300000.0,338500000.0,89600000.0,217700000.0,411600000.0,371700000.0,213600000.0,429000000.0,645100000.0,618800000.0,218500000.0,440100000.0,658100000.0,861700000.0,219300000.0,444500000.0,669500000.0,880100000.0,229000000.0,461100000.0,694300000.0,896400000.0,263400000.0,532800000.0,806100000.0,929400000.0,276100000.0,556200000.0,838500000.0
DerivativeAssetsCurrent / USD,,,,,,,,,,,,,,,,,,,28300000.0,25200000.0,25200000.0,25200000.0,25200000.0,12900000.0,12900000.0,12900000.0,12900000.0,13100000.0,13100000.0,13100000.0
DerivativeAssetsNoncurrent / USD,,,,,,,,,,,,,,,,,,,27100000.0,25100000.0,25100000.0,25100000.0,25100000.0,29800000.0,29800000.0,29800000.0,29800000.0,33900000.0,33900000.0,33900000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,,,,,,,,,,,,,,,,,,,117500000.0,7900000.0,27200000.0,65600000.0,117500000.0,22900000.0,17600000.0,20300000.0,84600000.0,-6000000.0,-9900000.0,-20700000.0
DerivativeLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,14700000.0,25800000.0,25800000.0,25800000.0,25800000.0,11600000.0,11600000.0,11600000.0,11600000.0,6000000.0,6000000.0,6000000.0
DerivativeLiabilitiesNoncurrent / USD,,,,,,,,,,,,,,,,,,,23500000.0,26700000.0,26700000.0,26700000.0,26700000.0,33800000.0,33800000.0,33800000.0,33800000.0,39800000.0,39800000.0,39800000.0
DerivativeNetLiabilityPositionAggregateFairValue / USD,,,,,,,,,,,,,,,,,,,47100000.0,39900000.0,34900000.0,36000000.0,34600000.0,39800000.0,40000000.0,36800000.0,44200000.0,37000000.0,37600000.0,36500000.0
DividendsCommonStockCash / USD,115100000.0,172100000.0,217100000.0,57700000.0,57700000.0,57700000.0,229200000.0,119800000.0,119800000.0,119800000.0,362100000.0,114500000.0,114500000.0,114500000.0,462500000.0,121400000.0,121400000.0,121400000.0,465000000.0,131300000.0,131300000.0,131300000.0,497900000.0,140700000.0,140700000.0,140700000.0,534800000.0,147700000.0,147700000.0,147700000.0
DividendsShareBasedCompensation / USD,,600000.0,1000000.0,,,,1000000.0,700000.0,500000.0,500000.0,1000000.0,700000.0,700000.0,700000.0,1900000.0,200000.0,200000.0,200000.0,2000000.0,800000.0,800000.0,800000.0,1700000.0,400000.0,400000.0,400000.0,2300000.0,400000.0,400000.0,400000.0
EarningsPerShareBasic / USD/shares,0.92,2.03,2.43,0.42,1.0,2.61,2.27,0.39,0.96,2.49,2.5,0.31,0.89,2.5,2.8,0.84,1.65,3.61,2.72,0.53,1.38,3.24,3.84,0.62,1.4,2.93,3.27,0.53,1.43,3.45
EarningsPerShareDiluted / USD/shares,0.92,2.03,2.43,0.42,1.0,2.61,2.27,0.39,0.96,2.49,2.5,0.31,0.89,2.49,2.79,0.84,1.65,3.6,2.72,0.53,1.38,3.23,3.83,0.62,1.4,2.92,3.27,0.53,1.43,3.45
EffectiveIncomeTaxRateContinuingOperations / pure,0.289,0.273,0.338,0.127,-0.272,0.051,0.31,0.082,0.12,0.138,0.097,0.122,0.174,0.14,0.124,0.106,0.1,0.107,0.14,0.084,0.094,0.099,0.116,0.079,0.066,0.045,0.058,0.056,0.042,0.042
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,0.35,0.35,0.21,0.21,0.21,0.35,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,0.0,0.0,0.004,0.021,0.016,0.004,0.003,-0.07,-0.028,-0.011,0.004,,,-0.002,-0.01,,,,-0.002,,0.0,0.0,0.0,,0.002,0.006,0.0,,,
EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense / pure,0.011,0.008,0.009,0.005,0.004,0.004,0.009,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseLifeInsurance / pure,-0.043,0.045,0.042,0.031,0.025,0.024,0.031,0.018,0.018,0.017,0.019,0.016,0.016,0.016,0.018,0.01,0.01,0.01,0.016,0.005,0.005,0.01,0.01,0.014,,,0.012,0.012,0.012,0.012
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,-0.021,-0.01,0.005,0.011,0.019,0.005,0.009,0.001,-0.001,0.002,0.004,-0.001,0.002,0.001,-0.001,-0.002,0.0,0.0,0.001,0.009,0.004,0.002,0.0,-0.001,,,0.002,-0.004,0.0,0.0
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,0.014,-0.007,0.0,-0.005,0.006,0.004,-0.008,0.002,0.002,-0.003,-0.002,-0.002,0.0,0.0,-0.004,-0.016,-0.008,-0.003,-0.002,-0.019,-0.008,-0.002,-0.004,0.001,0.002,0.002,-0.005,0.001,0.003,0.003
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,-0.016,,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,0.043,0.043,0.04,0.042,0.051,0.047,0.041,0.046,0.036,0.039,0.049,0.023,0.032,0.034,0.05,0.019,0.01,0.008,0.043,0.014,0.008,0.007,0.01,0.006,0.002,-0.002,0.003,0.006,0.005,-0.019
EffectiveIncomeTaxRateReconciliationTaxCreditsInvestment / pure,0.005,0.006,0.005,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.006,0.005,0.005,0.007,0.005,0.004,0.004,0.004,0.006,0.002,0.002,0.002,0.004,0.006,0.006,0.007,0.006,0.006,0.006,0.006
EffectiveIncomeTaxRateReconciliationTaxCreditsOther / pure,0.07,0.07,0.018,0.095,0.077,0.075,0.069,0.039,0.039,0.039,0.064,0.045,0.046,0.046,0.049,0.031,0.031,0.031,0.046,0.037,0.039,0.038,0.028,0.035,0.05,0.059,0.04,0.066,0.067,0.067
EmployeeRelatedLiabilitiesCurrent / USD,,,,,,,,59200000.0,59200000.0,59200000.0,59200000.0,55500000.0,55500000.0,55500000.0,55500000.0,51600000.0,51600000.0,51600000.0,51600000.0,81100000.0,81100000.0,81100000.0,81100000.0,74500000.0,74500000.0,74500000.0,74500000.0,73000000.0,73000000.0,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,1800000.0,2600000.0,3700000.0,,,,3500000.0,,,,1400000.0,,,,3000000.0,,,,2200000.0,,,,-100000.0,,,,2600000.0,,,
EnergyRelatedInventory / USD,293600000.0,293600000.0,293600000.0,511000000.0,511000000.0,511000000.0,511000000.0,481600000.0,481600000.0,481600000.0,481600000.0,504500000.0,504500000.0,504500000.0,504500000.0,566700000.0,566700000.0,566700000.0,566700000.0,672900000.0,672900000.0,672900000.0,672900000.0,776200000.0,776200000.0,776200000.0,776200000.0,867400000.0,867400000.0,867400000.0
