fact_unit,2019-02-28,2019-05-02,2019-08-01,2019-10-31,2020-02-27,2020-05-07,2020-08-06,2020-11-05,2021-02-25,2021-05-07,2021-08-05,2021-11-04,2022-02-24,2022-05-06,2022-08-04,2022-11-03,2023-02-23,2023-05-05,2023-08-03,2023-11-02,2024-02-29,2024-05-02,2024-08-01,2024-10-31,2025-02-27,2025-05-02,2025-07-31,2025-10-30
Assets / USD,61759000000.0,153226000000.0,153226000000.0,153226000000.0,153226000000.0,155774000000.0,155774000000.0,155774000000.0,155774000000.0,155451000000.0,155451000000.0,155451000000.0,155451000000.0,154889000000.0,154889000000.0,154889000000.0,154889000000.0,143885000000.0,143885000000.0,143885000000.0,143885000000.0,152761000000.0,152761000000.0,152761000000.0,152761000000.0,155881000000.0,155881000000.0,155881000000.0
AssetsCurrent / USD,9311000000.0,20430000000.0,20430000000.0,20430000000.0,20430000000.0,29845000000.0,29845000000.0,29845000000.0,29845000000.0,27799000000.0,27799000000.0,27799000000.0,27799000000.0,36134000000.0,36134000000.0,36134000000.0,36134000000.0,30122000000.0,30122000000.0,30122000000.0,30122000000.0,37351000000.0,37351000000.0,37351000000.0,37351000000.0,48870000000.0,48870000000.0,48870000000.0
AssetsHeldByInsuranceRegulators / USD,600000000.0,,,,500000000.0,,,,400000000.0,,,,300000000.0,,,,300000000.0,,,,300000000.0,,,,400000000.0,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,0.0,9512000000.0,9512000000.0,9512000000.0,9512000000.0,,,,0.0,10057000000.0,10057000000.0,10057000000.0,10057000000.0,,,,0.0,3068000000.0,3068000000.0,3068000000.0,3068000000.0,7004000000.0,7004000000.0,7004000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,,,,,,,,,1990000000.0,1990000000.0,1990000000.0,1990000000.0,1990000000.0,,,136000000.0,133000000.0,133000000.0,133000000.0,133000000.0,133000000.0,,,,,143000000.0,172000000.0,199000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,53000000.0,53000000.0,53000000.0,53000000.0,53000000.0,,,1276000000.0,1059000000.0,1059000000.0,1059000000.0,1059000000.0,1059000000.0,,,,,558000000.0,456000000.0,384000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost / USD,10205000000.0,9529000000.0,9525000000.0,9394000000.0,,,,,5581000000.0,5769000000.0,5873000000.0,5799000000.0,,,,3723000000.0,3457000000.0,3227000000.0,3069000000.0,3306000000.0,,,,,,2388000000.0,2280000000.0,2103000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue / USD,9992000000.0,9682000000.0,9960000000.0,9964000000.0,,,,,6178000000.0,6110000000.0,6297000000.0,6161000000.0,,,,3230000000.0,3052000000.0,2915000000.0,2732000000.0,2914000000.0,,,,,,2270000000.0,2203000000.0,2052000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost / USD,6452000000.0,6516000000.0,6568000000.0,6957000000.0,,,,,5412000000.0,5394000000.0,5431000000.0,5316000000.0,,,,3745000000.0,3817000000.0,3972000000.0,3892000000.0,3983000000.0,,,,,,3334000000.0,3587000000.0,3649000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,6522000000.0,6684000000.0,6804000000.0,7227000000.0,,,,,5699000000.0,5635000000.0,5682000000.0,5543000000.0,,,,3459000000.0,3583000000.0,3752000000.0,3649000000.0,3710000000.0,,,,,,3224000000.0,3556000000.0,3639000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost / USD,4064000000.0,4231000000.0,4283000000.0,4233000000.0,,,,,3809000000.0,3869000000.0,3947000000.0,3975000000.0,,,,2544000000.0,2497000000.0,2450000000.0,2336000000.0,2294000000.0,,,,,,2036000000.0,2033000000.0,1978000000.0
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue / USD,4577000000.0,4925000000.0,5177000000.0,5304000000.0,,,,,4818000000.0,4507000000.0,4761000000.0,4759000000.0,,,,2200000000.0,2215000000.0,2268000000.0,2131000000.0,1938000000.0,,,,,,1837000000.0,1838000000.0,1842000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost / USD,1323000000.0,1366000000.0,1388000000.0,1125000000.0,,,,,991000000.0,930000000.0,939000000.0,914000000.0,,,,622000000.0,681000000.0,638000000.0,605000000.0,657000000.0,,,,,,622000000.0,620000000.0,653000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,1327000000.0,1370000000.0,1393000000.0,1132000000.0,,,,,1001000000.0,938000000.0,945000000.0,920000000.0,,,,596000000.0,674000000.0,630000000.0,591000000.0,631000000.0,,,,,,555000000.0,543000000.0,573000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost / USD,506000000.0,494000000.0,504000000.0,507000000.0,,,,,427000000.0,461000000.0,472000000.0,457000000.0,,,,392000000.0,390000000.0,381000000.0,406000000.0,394000000.0,,,,,,357000000.0,277000000.0,271000000.0
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue / USD,510000000.0,508000000.0,527000000.0,534000000.0,,,,,435000000.0,459000000.0,477000000.0,474000000.0,,,,345000000.0,348000000.0,344000000.0,365000000.0,346000000.0,,,,,,329000000.0,249000000.0,245000000.0
BenefitsLossesAndExpenses / USD,36750000000.0,10105000000.0,20424000000.0,30749000000.0,37864000000.0,35716000000.0,72372000000.0,108805000000.0,44490000000.0,36408000000.0,73034000000.0,111881000000.0,145489000000.0,39014000000.0,79998000000.0,121992000000.0,152248000000.0,41818000000.0,84925000000.0,128064000000.0,166128000000.0,44502000000.0,90867000000.0,137675000000.0,172068000000.0,54999000000.0,113110000000.0,174228000000.0
CashAndCashEquivalentsAtCarryingValue / USD,1968000000.0,2972000000.0,2972000000.0,2972000000.0,3855000000.0,4619000000.0,3610000000.0,4577000000.0,4619000000.0,4452000000.0,7185000000.0,10182000000.0,10182000000.0,5081000000.0,5081000000.0,5081000000.0,5081000000.0,5924000000.0,5924000000.0,5924000000.0,5924000000.0,7822000000.0,7822000000.0,7822000000.0,7822000000.0,7550000000.0,7550000000.0,7550000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,2972000000.0,4976000000.0,3610000000.0,4577000000.0,3855000000.0,4577000000.0,7503000000.0,5406000000.0,4668000000.0,6544000000.0,3878000000.0,10245000000.0,10245000000.0,4469000000.0,4468000000.0,7117000000.0,5123000000.0,7989000000.0,9636000000.0,8546000000.0,5976000000.0,8484000000.0,6832000000.0,5935000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,0.0,0.0,0.0,0.0,0.0,743000000.0,743000000.0,743000000.0,743000000.0,0.0,0.0,425000000.0,0.0,591000000.0,425000000.0,425000000.0,425000000.0,0.0,0.0,0.0,0.0,1660000000.0,625000000.0,1249000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,3185000000.0,3855000000.0,3855000000.0,3855000000.0,2972000000.0,5411000000.0,5411000000.0,5411000000.0,3855000000.0,10245000000.0,10245000000.0,5548000000.0,5411000000.0,5548000000.0,5548000000.0,5548000000.0,10245000000.0,5976000000.0,5976000000.0,5976000000.0,5548000000.0,8337000000.0,8337000000.0,8337000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,-201000000.0,662000000.0,21060000000.0,-213000000.0,1121000000.0,-245000000.0,722000000.0,883000000.0,-237000000.0,2510000000.0,793000000.0,1556000000.0,-3701000000.0,-6367000000.0,-6705000000.0,4834000000.0,-488000000.0,-625000000.0,1569000000.0,-4697000000.0,2013000000.0,3660000000.0,2570000000.0,428000000.0,1807000000.0,-880000000.0,-1153000000.0
CommercialPaper / USD,100000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,944000000.0,944000000.0,944000000.0,944000000.0,1030000000.0,1030000000.0,1030000000.0,1030000000.0,2027000000.0,2027000000.0,2027000000.0,2027000000.0,,0.0,0.0,0.0,1237000000.0,1237000000.0,1237000000.0,1237000000.0,0.0,,
CommercialPaperAverageRatePaid / pure,,,,,,,,,,,,,0.0026,0.006,0.016,,,,0.0541,0.055,0.0563,0.0554,0.0547,0.0533,0.0465,,0.0451,
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,,,,,0.04,1.0,1.0,1.0,0.04,1.12,1.12,1.12,1.0,1.23,1.23,1.23,1.12,1.4,1.4,1.4
CommonStockDividendsPerShareDeclared / USD/shares,0.04,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,1.0,1.0,1.0,0.04,1.12,1.12,1.12,1.0,1.23,2.46,3.69,4.48,1.4,2.8,4.2
CommonStockParOrStatedValuePerShare / USD/shares,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
CommonStockSharesIssued / shares,0.0,381000000.0,381000000.0,381000000.0,381494000.0,386000000.0,386000000.0,386000000.0,381494000.0,390000000.0,390000000.0,390000000.0,385543000.0,394000000.0,394000000.0,394000000.0,390276000.0,398000000.0,398000000.0,398000000.0,394194000.0,400000000.0,400000000.0,400000000.0,397819000.0,403000000.0,403000000.0,403000000.0
CommonStockSharesOutstanding / shares,0.0,,,,0.0,,,,0.0,,,,380924000.0,,,,372531000.0,,,,354771000.0,,,,322948000.0,,,
CommonStockValue / USD,74000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
ComprehensiveIncomeNetOfTax / USD,1735000000.0,689000000.0,1199000000.0,1957000000.0,2537000000.0,1797000000.0,3522000000.0,4980000000.0,2247000000.0,595000000.0,3088000000.0,4723000000.0,5874000000.0,791000000.0,2412000000.0,3957000000.0,8538000000.0,765000000.0,1479000000.0,4251000000.0,5327000000.0,1156000000.0,2507000000.0,3674000000.0,6114000000.0,-737000000.0,693000000.0,1711000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,-34000000.0,0.0,-6000000.0,-13000000.0,-8000000.0,2000000.0,2000000.0,6000000.0,-6000000.0,4000000.0,8000000.0,14000000.0,11000000.0,6000000.0,14000000.0,27000000.0,23000000.0,13000000.0,25000000.0,47000000.0,36000000.0,39000000.0,89000000.0,130000000.0,76000000.0,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,1701000000.0,689000000.0,1193000000.0,1944000000.0,2529000000.0,,,,,,,,,,,,,,,,,,,,,-672000000.0,839000000.0,1943000000.0
CostOfGoodsAndServicesSold / USD,2468000000.0,561000000.0,1174000000.0,1776000000.0,2456000000.0,24050000000.0,49013000000.0,73565000000.0,4793000000.0,24190000000.0,49801000000.0,76425000000.0,97668000000.0,27235000000.0,56236000000.0,86306000000.0,103484000000.0,29813000000.0,60963000000.0,92740000000.0,117553000000.0,31459000000.0,64901000000.0,98540000000.0,124834000000.0,41431000000.0,85923000000.0,133488000000.0
CurrentFederalTaxExpenseBenefit / USD,935000000.0,,,,974000000.0,,,,804000000.0,,,,1476000000.0,,,,2128000000.0,,,,1267000000.0,,,,1679000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,95000000.0,,,,122000000.0,,,,185000000.0,,,,173000000.0,,,,334000000.0,,,,207000000.0,,,,219000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,1062000000.0,,,,1132000000.0,,,,1036000000.0,,,,1763000000.0,,,,2765000000.0,,,,1586000000.0,,,,2087000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,32000000.0,,,,36000000.0,,,,47000000.0,,,,114000000.0,,,,303000000.0,,,,112000000.0,,,,189000000.0,,,
DebtCurrent / USD,240000000.0,2955000000.0,2955000000.0,2955000000.0,2955000000.0,5514000000.0,5514000000.0,5514000000.0,5514000000.0,3374000000.0,3374000000.0,3374000000.0,3374000000.0,2545000000.0,2545000000.0,2545000000.0,2545000000.0,2993000000.0,2993000000.0,2993000000.0,2993000000.0,2775000000.0,2775000000.0,2775000000.0,2775000000.0,3035000000.0,3035000000.0,3035000000.0
DebtInstrumentRepurchasedFaceAmount / USD,,,,,,3200000000.0,3500000000.0,3500000000.0,3500000000.0,4200000000.0,4500000000.0,4500000000.0,4500000000.0,,,,4500000000.0,,,,,1800000000.0,1800000000.0,1800000000.0,1800000000.0,,,
DebtSecuritiesAvailableForSaleAmortizedCostAllowanceForCreditLossExcludingAccruedInterest / USD,,,,,,,,,,,26000000.0,26000000.0,,,,56000000.0,44000000.0,44000000.0,44000000.0,44000000.0,44000000.0,,,,,107000000.0,124000000.0,118000000.0
DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestBeforeAllowanceForCreditLoss / USD,,,,,,,,,,,16220000000.0,16220000000.0,,,,11026000000.0,10842000000.0,10842000000.0,10842000000.0,10842000000.0,10842000000.0,,,,,8737000000.0,8797000000.0,8654000000.0
DebtSecuritiesAvailableForSaleExcludingAccruedInterest / USD,,,,,,,,,,,18131000000.0,18131000000.0,,,,9830000000.0,9872000000.0,9872000000.0,9872000000.0,9872000000.0,9872000000.0,,,,,8215000000.0,8389000000.0,8351000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,,,,,,,,,1515000000.0,1515000000.0,1515000000.0,1515000000.0,1515000000.0,,,8172000000.0,7901000000.0,7901000000.0,7901000000.0,7901000000.0,7901000000.0,,,,,4930000000.0,4250000000.0,3930000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,,,,,,,,,53000000.0,53000000.0,53000000.0,53000000.0,53000000.0,,,1276000000.0,1059000000.0,1059000000.0,1059000000.0,1059000000.0,1059000000.0,,,,,558000000.0,456000000.0,384000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionNumberOfPositions / position,,,,,,,,,571.0,571.0,571.0,571.0,571.0,,,3686.0,3777.0,3777.0,3777.0,3777.0,3777.0,,,,,2342.0,1560.0,1365.0
DeferredFederalIncomeTaxExpenseBenefit / USD,69000000.0,,,,204000000.0,,,,-75000000.0,,,,-236000000.0,,,,-217000000.0,,,,-163000000.0,,,,-275000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,9000000.0,,,,39000000.0,,,,8000000.0,,,,16000000.0,,,,11000000.0,,,,69000000.0,,,,-28000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,74000000.0,,,,242000000.0,,,,-101000000.0,,,,-313000000.0,,,,-386000000.0,,,,-216000000.0,,,,-472000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,9453000000.0,9387000000.0,9387000000.0,9387000000.0,9387000000.0,8939000000.0,8939000000.0,8939000000.0,8939000000.0,8346000000.0,8346000000.0,8346000000.0,8346000000.0,7786000000.0,7786000000.0,7786000000.0,7786000000.0,7173000000.0,7173000000.0,7173000000.0,7173000000.0,6975000000.0,6975000000.0,6975000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,-4000000.0,,,,-1000000.0,,,,-34000000.0,,,,-93000000.0,,,,-180000000.0,,,,-122000000.0,,,,-169000000.0,,,
DeferredTaxAssetsCapitalLossCarryforwards / USD,,,,,,,,,,,,,,,,,,,,,0.0,,,,584000000.0,,,
DeferredTaxAssetsInvestments / USD,,,,,,,,,,,,,,,,360000000.0,,,,,,,,836000000.0,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses / USD,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
DefinedContributionPlanCostRecognized / USD,113000000.0,,,,122000000.0,,,,196000000.0,,,,256000000.0,,,,243000000.0,,,,268000000.0,,,,274000000.0,,,
DepreciationDepletionAndAmortization / USD,610000000.0,140000000.0,276000000.0,438000000.0,566000000.0,897000000.0,1811000000.0,2724000000.0,695000000.0,693000000.0,1387000000.0,2089000000.0,3651000000.0,715000000.0,1446000000.0,2180000000.0,2802000000.0,717000000.0,1476000000.0,2202000000.0,2923000000.0,749000000.0,1504000000.0,2270000000.0,2937000000.0,741000000.0,1479000000.0,2129000000.0
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,0.0,2922000000.0,2922000000.0,2922000000.0,2922000000.0,,,
DividendsCommonStockCash / USD,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,15000000.0,15000000.0,15000000.0,10000000.0,15000000.0,15000000.0,15000000.0,15000000.0,347000000.0,690000000.0,1021000000.0,15000000.0,356000000.0,709000000.0,1051000000.0,1347000000.0,366000000.0,731000000.0,1093000000.0,1387000000.0,397000000.0,791000000.0,1182000000.0
EarningsPerShareBasic / USD/shares,7.31,3.78,7.1,10.28,8.92,3.61,7.33,10.94,10.69,3.19,7.96,11.77,13.58,3.33,7.62,12.44,23.17,3.76,8.69,17.64,15.89,4.28,9.24,14.03,21.66,-0.97,4.48,7.13
EarningsPerShareDiluted / USD/shares,7.19,3.72,7.01,10.14,8.77,3.56,7.26,10.83,10.54,3.15,7.88,11.66,13.44,3.3,7.54,12.32,22.96,3.73,8.61,17.46,15.75,4.24,9.15,13.89,21.41,-0.97,4.43,7.05
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,55000000.0,-12000000.0,-10000000.0,-27000000.0,-24000000.0,-37000000.0,-15000000.0,-7000000.0,-8000000.0,-26000000.0,-27000000.0,-46000000.0,41000000.0,-23000000.0,-80000000.0,-98000000.0,-65000000.0,5000000.0,9000000.0,2000000.0,-86000000.0,-9000000.0,-12000000.0,6000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.381,0.247,0.256,0.255,0.381,0.233,0.215,0.221,0.261,0.149,0.2,0.208,0.221,0.226,0.224,0.217,0.219,0.227,0.216,0.21,0.202,0.184,0.192,0.199,0.192,3.684,0.315,0.312
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,0.35,,,,0.35,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / pure,0.008,,,,-0.02,,,,0.006,,,,0.002,,,,-0.006,,,,-0.002,,,,-0.002,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,0.006,,,,0.006,,,,0.003,,,,0.005,,,,0.002,,,,-0.001,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationTaxCreditEnergyRelatedAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,14000000.0,,,
EffectiveIncomeTaxRateReconciliationTaxCreditEnergyRelatedPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,57000000.0,,,,79000000.0,,,,36000000.0,,,,59000000.0,,,,63000000.0,,,,73000000.0,,,,80000000.0,,,
EntityCommonStockSharesOutstanding / shares,380058967.0,379457650.0,377609272.0,373425371.0,372043094.0,368980984.0,367200629.0,361267280.0,351845606.0,343145549.0,340107539.0,331427775.0,320953245.0,317273452.0,305116202.0,305739004.0,297059973.0,295872231.0,295980135.0,292619966.0,292355022.0,284074001.0,279548797.0,278152606.0,273678464.0,267142597.0,266928075.0,267125816.0
EntityPublicFloat / USD,41200000000.0,,,,59400000000.0,,,,68900000000.0,,,,80800000000.0,,,,82800000000.0,,,,82800000000.0,,,,92100000000.0,,,
EquityMethodInvestmentDividendsOrDistributions / USD,,,,,,,,,,,,,202000000.0,,,,227000000.0,,,,568000000.0,,,,487000000.0,,,
EquitySecuritiesFvNiCost / USD,433000000.0,,,,433000000.0,,,,180000000.0,180000000.0,180000000.0,180000000.0,238000000.0,,,693000000.0,673000000.0,673000000.0,673000000.0,673000000.0,673000000.0,656000000.0,656000000.0,656000000.0,656000000.0,635000000.0,635000000.0,635000000.0
EquitySecuritiesFvNiCurrentAndNoncurrent / USD,,,,,,,,,,,,,,,,,138000000.0,138000000.0,138000000.0,138000000.0,138000000.0,51000000.0,51000000.0,51000000.0,51000000.0,37000000.0,37000000.0,37000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,89000000.0,,,,89000000.0,,,,255000000.0,255000000.0,255000000.0,255000000.0,255000000.0,,,461000000.0,484000000.0,484000000.0,484000000.0,484000000.0,484000000.0,3311000000.0,3311000000.0,3311000000.0,3311000000.0,524000000.0,524000000.0,524000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,3169000000.0,,,,2466000000.0,,,,2719000000.0,,,,2651000000.0,,,,2804000000.0,,,,2892000000.0,,,,2339000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,1777000000.0,,,,1773000000.0,,,,1760000000.0,,,,1543000000.0,,,,1523000000.0,,,,1484000000.0,,,,1557000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,1844000000.0,,,,1902000000.0,,,,1821000000.0,,,,1792000000.0,,,,1583000000.0,,,,1559000000.0,,,,1943000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,2062000000.0,,,,2061000000.0,,,,2014000000.0,,,,1961000000.0,,,,1988000000.0,,,,1803000000.0,,,,2015000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,2164000000.0,,,,2386000000.0,,,,2236000000.0,,,,2293000000.0,,,,2302000000.0,,,,2357000000.0,,,,2050000000.0,,,
GainLossOnSaleOfBusiness / USD,,,,,,,,,0.0,,,,0.0,,,0.0,4203000000.0,,,1735000000.0,0.0,0.0,0.0,-21000000.0,1662000000.0,-19000000.0,-19000000.0,-106000000.0
Goodwill / USD,5980000000.0,44505000000.0,44505000000.0,44505000000.0,6164000000.0,44602000000.0,44602000000.0,44602000000.0,44505000000.0,44648000000.0,44648000000.0,44648000000.0,44602000000.0,45811000000.0,45811000000.0,45811000000.0,44648000000.0,45811000000.0,45811000000.0,45811000000.0,45811000000.0,44259000000.0,44259000000.0,44259000000.0,45811000000.0,44370000000.0,44370000000.0,44370000000.0
GoodwillAcquiredDuringPeriod / USD,154000000.0,,,,38371000000.0,,,,103000000.0,,,,29000000.0,,,,1438000000.0,,,,,,,,114000000.0,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,,,,,,,,,,,,,,,,,10000000.0,,,,234000000.0,,,,1553000000.0,,,
