fact_unit,2015-08-10,2015-11-06,2016-03-03,2016-05-05,2016-08-05,2016-11-04,2017-02-23,2017-05-04,2017-08-04,2017-11-07,2018-02-16,2018-05-03,2018-08-03,2018-11-02,2019-06-07,2019-08-13,2019-10-31,2020-02-14,2020-05-01,2020-07-31,2020-10-30,2020-11-13,2021-02-17,2021-04-30,2021-08-04,2021-10-28,2022-02-17,2022-04-28,2022-07-28,2022-10-27,2023-02-16,2023-05-03,2023-08-02,2023-11-01,2024-02-15,2024-05-01,2024-07-31,2024-10-30,2025-02-13,2025-04-29,2025-07-30,2025-10-29
DeferredIncomeTaxLiabilities / USD,2226000000.0,,4601000000.0,,,,23678000000.0,,,,22513000000.0,,,,14531000000.0,,,12716000000.0,,,,12716000000.0,12255000000.0,,,,11988000000.0,,,,11525000000.0,,,,11204000000.0,,,,11142000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,21497000000.0,20848000000.0,20848000000.0,20848000000.0,,,,,20873000000.0,14106000000.0,14224000000.0,12202000000.0,11878000000.0,11878000000.0,11878000000.0,12202000000.0,11878000000.0,11462000000.0,11462000000.0,11462000000.0,11462000000.0,10536000000.0,10536000000.0,10536000000.0,10536000000.0,10152000000.0,10152000000.0,10152000000.0,10152000000.0,10201000000.0,10201000000.0,10201000000.0,10201000000.0,9679000000.0,9679000000.0,9679000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,43000000.0,,,,,,-14000000.0,,,,-70000000.0,,,,-63000000.0,,,97000000.0,,,,97000000.0,-121000000.0,,,,-7000000.0,,,,-109000000.0,,,,-211000000.0,,,,-35000000.0,,,
DeferredTaxAssetsDeferredIncome / USD,,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,,369000000.0,,,,356000000.0,,,,270000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
DeferredTaxAssetsGross / USD,1961000000.0,,859000000.0,,,,2334000000.0,,,,1807000000.0,,,,634000000.0,,,642000000.0,,,,642000000.0,586000000.0,,,,758000000.0,,,,1224000000.0,,,,1299000000.0,,,,1204000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign / USD,,,,,,,,,,,,,,,,,,104000000.0,,,,104000000.0,132000000.0,,,,146000000.0,,,,180000000.0,,,,237000000.0,,,,243000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsNotSubjectToExpiration / USD,,,,,,,,,,,,,,,,,,329000000.0,,,,329000000.0,432000000.0,,,,474000000.0,,,,575000000.0,,,,751000000.0,,,,774000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal / USD,,,37000000.0,,,,43000000.0,,,,,,,,,,,73000000.0,,,,73000000.0,44000000.0,,,,57000000.0,,,,22000000.0,,,,21000000.0,,,,21000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration / USD,,,,,,,,,,,,,,,,,,35000000.0,,,,35000000.0,28000000.0,,,,38000000.0,,,,47000000.0,,,,59000000.0,,,,62000000.0,,,
DeferredTaxAssetsOther / USD,497000000.0,,149000000.0,,,,1011000000.0,,,,782000000.0,,,,422000000.0,,,470000000.0,,,,470000000.0,474000000.0,,,,552000000.0,,,,621000000.0,,,,693000000.0,,,,472000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,36000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000.0,,,,43000000.0,,,,39000000.0,,,
