fact_unit,2013-05-15,2013-08-14,2013-11-13,2014-03-26,2014-05-13,2014-08-12,2014-11-10,2015-02-27,2015-05-07,2015-08-06,2015-11-05,2016-02-24,2016-05-06,2016-08-05,2016-11-03,2017-02-16,2017-05-04,2017-08-08,2017-11-02,2018-02-15,2018-05-02,2018-08-02,2018-11-01,2019-02-14,2019-05-02,2019-08-06,2019-08-09,2019-11-07,2020-02-13,2020-05-06,2020-08-06,2020-11-05,2021-02-16,2021-05-06,2021-08-05,2021-11-04,2022-02-15,2022-05-05,2022-08-04,2022-11-03,2023-02-14,2023-05-04,2023-08-08,2023-11-02,2024-02-13,2024-05-02,2024-08-06,2024-11-04,2025-02-13,2025-05-06,2025-08-05,2025-11-04
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,19000000.0,,,,23000000.0,,,,37000000.0,,,,24000000.0,,,,35000000.0,,,,27000000.0,,,,,31000000.0,,,,46000000.0,,,,57000000.0,,,,52000000.0,,,,51000000.0,,,,54000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,49000000.0,49000000.0,49000000.0,49000000.0,31000000.0,31000000.0,31000000.0,31000000.0,32000000.0,32000000.0,32000000.0,32000000.0,34000000.0,34000000.0,34000000.0,34000000.0,30000000.0,30000000.0,30000000.0,30000000.0,25000000.0,25000000.0,25000000.0,25000000.0,24000000.0,24000000.0,,24000000.0,24000000.0,21000000.0,21000000.0,21000000.0,21000000.0,20000000.0,20000000.0,20000000.0,20000000.0,17000000.0,17000000.0,17000000.0,17000000.0,19000000.0,19000000.0,19000000.0,19000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0
AmortizationOfIntangibleAssets / USD,16000000.0,35000000.0,51000000.0,70000000.0,16000000.0,31000000.0,47000000.0,67000000.0,15000000.0,31000000.0,47000000.0,63000000.0,15000000.0,31000000.0,47000000.0,63000000.0,24000000.0,48000000.0,72000000.0,64000000.0,25000000.0,49000000.0,75000000.0,95000000.0,25000000.0,51000000.0,,96000000.0,100000000.0,58000000.0,116000000.0,176000000.0,157000000.0,62000000.0,122000000.0,178000000.0,237000000.0,51000000.0,103000000.0,154000000.0,230000000.0,52000000.0,99000000.0,147000000.0,204000000.0,47000000.0,95000000.0,141000000.0,193000000.0,44000000.0,86000000.0,128000000.0
AssetImpairmentCharges / USD,1000000.0,6000000.0,9000000.0,78000000.0,3000000.0,3000000.0,4000000.0,10000000.0,0.0,1000000.0,8000000.0,15000000.0,1000000.0,38000000.0,48000000.0,10000000.0,,,2000000.0,60000000.0,0.0,0.0,1000000.0,5000000.0,2000000.0,7000000.0,,4000000.0,3000000.0,1000000.0,1000000.0,6000000.0,4000000.0,0.0,9000000.0,12000000.0,7000000.0,1000000.0,14000000.0,19000000.0,43000000.0,1000000.0,2000000.0,7000000.0,47000000.0,1000000.0,13000000.0,27000000.0,53000000.0,2000000.0,13000000.0,16000000.0
AssetRetirementObligationsNoncurrent / USD,,,,15000000.0,,,,12000000.0,,,,13000000.0,,,,14000000.0,,,,12000000.0,,,,19000000.0,,,,,22000000.0,,,,23000000.0,,,,25000000.0,,,,25000000.0,,,,25000000.0,,,,28000000.0,,,
Assets / USD,6262000000.0,6262000000.0,6262000000.0,6262000000.0,6558000000.0,6558000000.0,6558000000.0,6558000000.0,6607000000.0,6607000000.0,6588000000.0,6588000000.0,7913000000.0,7913000000.0,7913000000.0,7913000000.0,7649000000.0,7649000000.0,7649000000.0,7649000000.0,8586000000.0,8586000000.0,8586000000.0,8586000000.0,10777000000.0,10777000000.0,,10777000000.0,10777000000.0,11545000000.0,11545000000.0,11545000000.0,11545000000.0,13609000000.0,13609000000.0,13609000000.0,13609000000.0,13900000000.0,13900000000.0,13900000000.0,13900000000.0,14925000000.0,14925000000.0,14925000000.0,14925000000.0,14286000000.0,14286000000.0,14286000000.0,14286000000.0,14237000000.0,14237000000.0,14237000000.0
AssetsCurrent / USD,2864000000.0,2864000000.0,2864000000.0,2864000000.0,3357000000.0,3357000000.0,3357000000.0,3357000000.0,3465000000.0,3465000000.0,3465000000.0,3465000000.0,3830000000.0,3830000000.0,3830000000.0,3830000000.0,3390000000.0,3390000000.0,3390000000.0,3390000000.0,4217000000.0,4217000000.0,4217000000.0,4217000000.0,4399000000.0,4399000000.0,,4399000000.0,4399000000.0,4748000000.0,4748000000.0,4748000000.0,4748000000.0,6611000000.0,6611000000.0,6611000000.0,6611000000.0,6930000000.0,6930000000.0,6930000000.0,6930000000.0,7506000000.0,7506000000.0,7506000000.0,7506000000.0,6343000000.0,6343000000.0,6343000000.0,6343000000.0,5986000000.0,5986000000.0,5986000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
BuildingsAndImprovementsGross / USD,,,,860000000.0,,,,883000000.0,,,,918000000.0,,,,874000000.0,,,,923000000.0,,,,934000000.0,,,,,929000000.0,,,,983000000.0,,,,1019000000.0,,,,1103000000.0,,,,1197000000.0,,,,1316000000.0,,,
BusinessExitCosts1 / USD,,,,,,,,,,,,,,,3000000.0,1000000.0,,2000000.0,3000000.0,4000000.0,,1000000.0,0.0,4000000.0,,1000000.0,,1000000.0,3000000.0,,,,1000000.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,3000000.0,0.0,,,1000000.0,3000000.0,,,4000000.0,1000000.0,,0.0,0.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,14000000.0,0.0,0.0,0.0,16000000.0,10000000.0,17000000.0,12000000.0,9000000.0,9000000.0,6000000.0,16000000.0,11000000.0,4000000.0,3000000.0,6000000.0,8000000.0,1000000.0,3000000.0,,3000000.0,5000000.0,5000000.0,9000000.0,5000000.0,7000000.0,2000000.0,5000000.0,3000000.0,7000000.0,3000000.0,4000000.0,3000000.0,3000000.0,4000000.0,5000000.0,5000000.0,6000000.0,3000000.0,3000000.0,4000000.0,3000000.0,3000000.0,3000000.0,4000000.0
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,,,,,6000000.0,,,,14000000.0,,,,19000000.0,,,,,21000000.0,,,,23000000.0,,,,27000000.0,,,,46000000.0,,,,52000000.0,,,,69000000.0,,,
CapitalizedComputerSoftwareNet / USD,,,,3000000.0,,,,35000000.0,,,,69000000.0,,,,71000000.0,,,,26000000.0,,,,8000000.0,,,,,18000000.0,,,,74000000.0,,,,59000000.0,,,,73000000.0,,,,57000000.0,,,,35000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,79000000.0,79000000.0,79000000.0,63000000.0,317000000.0,317000000.0,317000000.0,79000000.0,610000000.0,610000000.0,610000000.0,317000000.0,882000000.0,882000000.0,882000000.0,610000000.0,1154000000.0,1154000000.0,1154000000.0,882000000.0,727000000.0,727000000.0,727000000.0,,1564000000.0,1564000000.0,,1564000000.0,,1934000000.0,1934000000.0,1934000000.0,,3604000000.0,3604000000.0,3604000000.0,,3485000000.0,3485000000.0,3485000000.0,,3581000000.0,3581000000.0,3581000000.0,,2041000000.0,2041000000.0,2041000000.0,,1987000000.0,1987000000.0,1987000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,1154000000.0,,,,,727000000.0,1602000000.0,1602000000.0,1602000000.0,1564000000.0,1934000000.0,1934000000.0,1934000000.0,1602000000.0,3604000000.0,3604000000.0,3604000000.0,1934000000.0,3485000000.0,3485000000.0,3485000000.0,3604000000.0,3581000000.0,3581000000.0,3581000000.0,3485000000.0,2041000000.0,2041000000.0,2041000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126000000.0,153000000.0,213000000.0,38000000.0,17000000.0,1419000000.0,1720000000.0,332000000.0,-2000000.0,54000000.0,-330000000.0,1670000000.0,-350000000.0,-833000000.0,-978000000.0,-119000000.0,-1472000000.0,-1864000000.0,-1827000000.0,96000000.0,-66000000.0,-467000000.0,-327000000.0
CommercialPaper / USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockDividendsPerShareCashPaid / USD/shares,0.0,0.0,0.0,0.0,0.065,0.13,,0.0,,,,0.267,,,,0.299,,,,0.344,,,,0.39,,,,,0.441,,,,0.542,,,,0.692,,,,0.85,,,,1.075,,,,1.35,,,
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,0.195,,0.072,0.072,0.144,,0.083,0.083,0.166,,0.095,0.19,0.19,,0.105,0.21,0.21,,0.126,0.252,,0.252,,0.164,0.328,0.328,,0.2,0.4,0.4,,0.25,0.5,0.5,,0.325,0.65,0.65,,0.375,0.75,0.75,,0.432,0.864,0.864
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,5000000000.0,5000000000.0,5000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0,6000000000.0
CommonStockSharesIssued / shares,,500000000.0,500006833.0,500007428.0,500745383.0,500007735.0,500007735.0,500007735.0,500008000.0,500008000.0,500008000.0,500008000.0,501340000.0,501340000.0,501340000.0,500008000.0,501810000.0,501810000.0,501810000.0,501342267.0,501890000.0,501890000.0,501890000.0,501808229.0,501890000.0,501890000.0,,501900000.0,501900000.0,501900000.0,501900000.0,501900000.0,501900000.0,501900000.0,501891243.0,501891243.0,501900000.0,501891243.0,501891243.0,501891243.0,501900000.0,501891243.0,501891243.0,501891243.0,501900000.0,501891243.0,501891243.0,501891243.0,501900000.0,501891243.0,501891243.0,501891243.0
CommonStockSharesOutstanding / shares,,500000000.0,500006833.0,500007428.0,500006833.0,500007428.0,500007428.0,500007428.0,500738620.0,501037794.0,501195696.0,501327524.0,500367604.0,499339397.0,498333086.0,497400113.0,496416809.0,495389702.0,494240780.0,492855297.0,491328479.0,489659511.0,487832003.0,486130461.0,484724245.0,479562326.0,,479562326.0,479562326.0,475582210.0,475582210.0,475528210.0,475528210.0,475317751.0,475317751.0,475317751.0,475317751.0,472574090.0,472574090.0,472574090.0,472574090.0,463808059.0,463808059.0,463808059.0,463808059.0,458367358.0,458367358.0,458367358.0,458367358.0,448743073.0,448743073.0,448743073.0
CommonStockValue / USD,,0.0,0.0,0.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
ComprehensiveIncomeNetOfTax / USD,145000000.0,156000000.0,342000000.0,254000000.0,154000000.0,248000000.0,317000000.0,344000000.0,147000000.0,313000000.0,439000000.0,448000000.0,47000000.0,-14000000.0,118000000.0,452000000.0,208000000.0,494000000.0,779000000.0,78000000.0,284000000.0,541000000.0,926000000.0,843000000.0,428000000.0,698000000.0,,969000000.0,957000000.0,343000000.0,643000000.0,1046000000.0,1304000000.0,368000000.0,670000000.0,1270000000.0,1403000000.0,656000000.0,1178000000.0,1686000000.0,1634000000.0,655000000.0,1166000000.0,1608000000.0,2003000000.0,541000000.0,1145000000.0,1822000000.0,2061000000.0,597000000.0,1217000000.0,1893000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,1000000.0,1000000.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,2000000.0,4000000.0,-1000000.0,1000000.0,1000000.0,-1000000.0,5000000.0,-1000000.0,-1000000.0,0.0,-1000000.0,1000000.0,1000000.0,0.0,-3000000.0,-1000000.0,-4000000.0,,-4000000.0,0.0,,0.0,0.0,-4000000.0,0.0,-1000000.0,-1000000.0,0.0,-1000000.0,-2000000.0,-2000000.0,-2000000.0,-1000000.0,-1000000.0,-2000000.0,-3000000.0,-1000000.0,-2000000.0,-2000000.0,-3000000.0,0.0,0.0,10000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,146000000.0,157000000.0,342000000.0,257000000.0,154000000.0,248000000.0,317000000.0,344000000.0,147000000.0,315000000.0,443000000.0,447000000.0,48000000.0,-13000000.0,117000000.0,457000000.0,207000000.0,493000000.0,779000000.0,77000000.0,285000000.0,542000000.0,926000000.0,840000000.0,427000000.0,694000000.0,,965000000.0,957000000.0,,643000000.0,1046000000.0,1300000000.0,368000000.0,669000000.0,1269000000.0,1403000000.0,655000000.0,1176000000.0,1684000000.0,1632000000.0,654000000.0,1165000000.0,1606000000.0,2000000000.0,540000000.0,1143000000.0,1820000000.0,2058000000.0,597000000.0,1217000000.0,1903000000.0
ConstructionInProgressGross / USD,,,,159000000.0,,,,199000000.0,,,,167000000.0,,,,185000000.0,,,,212000000.0,,,,254000000.0,,,,,454000000.0,,,,553000000.0,,,,673000000.0,,,,742000000.0,,,,814000000.0,,,,1085000000.0,,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,4000000.0,3000000.0,7000000.0,9000000.0,4000000.0,9000000.0,,9000000.0,11000000.0,11000000.0,11000000.0,11000000.0,13000000.0,13000000.0,13000000.0,13000000.0,12000000.0,12000000.0,12000000.0,12000000.0,14000000.0,14000000.0,14000000.0,14000000.0,11000000.0,11000000.0,11000000.0,11000000.0,18000000.0,18000000.0,18000000.0,18000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,3000000.0,8000000.0,4000000.0,5000000.0,2000000.0,2000000.0,3000000.0,5000000.0,1000000.0,3000000.0,4000000.0,4000000.0,2000000.0,3000000.0,4000000.0
CostOfGoodsAndServicesSold / USD,393000000.0,771000000.0,1130000000.0,1652000000.0,402000000.0,818000000.0,1203000000.0,1563000000.0,379000000.0,792000000.0,1226000000.0,1669000000.0,394000000.0,821000000.0,1242000000.0,1717000000.0,389000000.0,788000000.0,1198000000.0,1738000000.0,443000000.0,883000000.0,1318000000.0,1666000000.0,447000000.0,894000000.0,,1367000000.0,1775000000.0,518000000.0,983000000.0,1462000000.0,1911000000.0,459000000.0,910000000.0,1456000000.0,1992000000.0,549000000.0,1117000000.0,1703000000.0,2057000000.0,569000000.0,1194000000.0,1801000000.0,2303000000.0,588000000.0,1195000000.0,1833000000.0,2454000000.0,643000000.0,1311000000.0,2012000000.0
DebtInstrumentCarryingAmount / USD,3650000000.0,3650000000.0,3652000000.0,3652000000.0,3652000000.0,3652000000.0,3652000000.0,3653000000.0,3652000000.0,3652000000.0,3653000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4900000000.0,4500000000.0,4500000000.0,4500000000.0,4500000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,6500000000.0,6500000000.0,,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0,6500000000.0,7250000000.0,7250000000.0,7250000000.0,7250000000.0,6650000000.0,6650000000.0,6650000000.0,6650000000.0,8000000000.0,8000000000.0,8000000000.0,8000000000.0,6650000000.0,6650000000.0,6650000000.0,6650000000.0,6650000000.0,6650000000.0,6650000000.0
DebtInstrumentUnamortizedDiscountPremiumNet / USD,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,9000000.0,9000000.0,-29000000.0,-37000000.0,-37000000.0,-37000000.0,-37000000.0,-37000000.0,-32000000.0,-32000000.0,-32000000.0,-32000000.0,-47000000.0,-47000000.0,-47000000.0,-47000000.0,-57000000.0,-57000000.0,,-57000000.0,-57000000.0,-51000000.0,-51000000.0,-51000000.0,-51000000.0,-66000000.0,-66000000.0,-66000000.0,-66000000.0,-60000000.0,-60000000.0,-60000000.0,-60000000.0,-66000000.0,-66000000.0,-66000000.0,66000000.0,-60000000.0,-60000000.0,-60000000.0,60000000.0,-54000000.0,-54000000.0,-54000000.0
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000000.0,88000000.0,88000000.0,88000000.0,94000000.0,94000000.0,94000000.0,94000000.0,100000000.0,100000000.0,100000000.0,100000000.0,173000000.0,173000000.0,173000000.0,173000000.0,206000000.0,206000000.0,206000000.0,206000000.0,540000000.0,540000000.0,540000000.0
DeferredIncomeTaxExpenseBenefit / USD,-9000000.0,-26000000.0,-81000000.0,65000000.0,7000000.0,-19000000.0,-47000000.0,-74000000.0,2000000.0,-4000000.0,-60000000.0,23000000.0,-3000000.0,-73000000.0,-81000000.0,-49000000.0,-25000000.0,17000000.0,-52000000.0,-85000000.0,24000000.0,13000000.0,-3000000.0,-55000000.0,-141000000.0,-155000000.0,,-155000000.0,127000000.0,-16000000.0,-22000000.0,-30000000.0,-112000000.0,-9000000.0,-38000000.0,-40000000.0,-79000000.0,-13000000.0,-24000000.0,-121000000.0,-62000000.0,-45000000.0,-76000000.0,-110000000.0,-80000000.0,8000000.0,-26000000.0,-40000000.0,-286000000.0,-43000000.0,-144000000.0,-186000000.0
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434000000.0,434000000.0,434000000.0,434000000.0,378000000.0,378000000.0,378000000.0,378000000.0,320000000.0,320000000.0,320000000.0,320000000.0,142000000.0,142000000.0,142000000.0,142000000.0,146000000.0,146000000.0,146000000.0,146000000.0,167000000.0,167000000.0,167000000.0
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,111000000.0,,,,224000000.0,,,
DeferredTaxAssetsInventory / USD,,,,9000000.0,,,,29000000.0,,,,25000000.0,,,,19000000.0,,,,47000000.0,,,,8000000.0,,,,,,,,,15000000.0,,,,10000000.0,,,,22000000.0,,,,30000000.0,,,,30000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000000.0,,,,31000000.0,,,,60000000.0,,,
DeferredTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000000.0,88000000.0,88000000.0,,94000000.0,94000000.0,94000000.0,,100000000.0,100000000.0,100000000.0,,173000000.0,173000000.0,173000000.0,,206000000.0,206000000.0,206000000.0,,540000000.0,540000000.0,540000000.0
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,,,,51000000.0,,,,65000000.0,,,,86000000.0,,,,94000000.0,,,,137000000.0,,,,,128000000.0,,,,122000000.0,,,,127000000.0,,,,132000000.0,,,,112000000.0,,,,133000000.0,,,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,,,,5000000.0,,,,9000000.0,,,,16000000.0,,,,3000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,,,,,11000000.0,,,,19000000.0,,,,48000000.0,,,,63000000.0,,,,53000000.0,,,,,54000000.0,,,,61000000.0,,,,59000000.0,,,,58000000.0,,,,61000000.0,,,,62000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLegalSettlements / USD,,,,,,,,13000000.0,,,,19000000.0,,,,15000000.0,,,,18000000.0,,,,14000000.0,,,,,12000000.0,,,,14000000.0,,,,15000000.0,,,,14000000.0,,,,14000000.0,,,,12000000.0,,,
