fact_unit,2018-03-16,2018-08-10,2019-03-13,2019-08-07,2020-03-10,2020-08-07,2021-03-10,2021-08-06,2022-03-10,2022-08-05,2023-03-08,2023-08-03,2024-03-07,2024-08-02,2025-03-06,2025-08-07
CashFlowsFromUsedInFinancingActivities / USD,-3712000000.0,-1477000000.0,-2490000000.0,-308000000.0,-14936000000.0,-527000000.0,-1201000000.0,-125000000.0,-644000000.0,-627000000.0,-2273000000.0,-588000000.0,-1156000000.0,-2475000000.0,-5626000000.0,-1715000000.0
CashFlowsFromUsedInIncreaseDecreaseInCurrentBorrowings / USD,-1038000000.0,150000000.0,1641000000.0,61000000.0,-1661000000.0,118000000.0,-2000000.0,118000000.0,-2000000.0,,,,1042000000.0,771000000.0,-956000000.0,-139000000.0
CashFlowsFromUsedInInvestingActivities / USD,2186000000.0,-595000000.0,-1047000000.0,-539000000.0,14729000000.0,-153000000.0,-1384000000.0,-342000000.0,-138000000.0,340000000.0,-504000000.0,-433000000.0,-462000000.0,3301000000.0,3513000000.0,955000000.0
CashFlowsFromUsedInInvestingActivitiesContinuingOperations / USD,-972000000.0,-212000000.0,-453000000.0,-293000000.0,-1003000000.0,-182000000.0,-1413000000.0,-342000000.0,-138000000.0,382000000.0,-252000000.0,-417000000.0,-446000000.0,3302000000.0,3514000000.0,
CashFlowsFromUsedInInvestingActivitiesDiscontinuedOperations / USD,3158000000.0,-383000000.0,-594000000.0,-246000000.0,15732000000.0,29000000.0,29000000.0,0.0,0.0,-42000000.0,-252000000.0,-16000000.0,-16000000.0,-1000000.0,-1000000.0,
CashFlowsFromUsedInOperatingActivities / USD,2984000000.0,466000000.0,2029000000.0,1222000000.0,2062000000.0,83000000.0,702000000.0,598000000.0,1745000000.0,842000000.0,1773000000.0,708000000.0,1915000000.0,962000000.0,2341000000.0,1137000000.0
CashFlowsFromUsedInOperatingActivitiesContinuingOperations / USD,2900000000.0,-7000000.0,630000000.0,561000000.0,892000000.0,205000000.0,866000000.0,608000000.0,1762000000.0,888000000.0,1841000000.0,779000000.0,1982000000.0,961000000.0,2327000000.0,1139000000.0
CashFlowsFromUsedInOperatingActivitiesDiscontinuedOperations / USD,84000000.0,473000000.0,1399000000.0,661000000.0,1170000000.0,-122000000.0,-164000000.0,-10000000.0,-17000000.0,-46000000.0,-68000000.0,-71000000.0,-67000000.0,1000000.0,14000000.0,-2000000.0
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities / USD,112000000.0,5000000.0,2000000.0,28000000.0,478000000.0,,998000000.0,122000000.0,167000000.0,3000000.0,18000000.0,171000000.0,191000000.0,523000000.0,1216000000.0,467000000.0
CashOutflowForLeases / USD,,,,,88000000.0,,88000000.0,,96000000.0,,122000000.0,,76000000.0,,73000000.0,
CashTransferred / USD,112000000.0,,,,,,,,2000000.0,,2000000.0,,8000000.0,,,
CommunicationExpense / USD,396000000.0,17000000.0,28000000.0,14000000.0,43000000.0,23000000.0,48000000.0,26000000.0,54000000.0,23000000.0,50000000.0,22000000.0,37000000.0,19000000.0,39000000.0,19000000.0
ComprehensiveIncome / USD,2493000000.0,900000000.0,2065000000.0,239000000.0,6859000000.0,303000000.0,1616000000.0,92000000.0,1278000000.0,6154000000.0,5737000000.0,549000000.0,875000000.0,1813000000.0,2829000000.0,1254000000.0
ComprehensiveIncomeAttributableToNoncontrollingInterests / USD,49000000.0,,,,,,,,,,,,,0.0,0.0,-8000000.0
ComputerSoftware / USD,1394000000.0,1458000000.0,1458000000.0,908000000.0,908000000.0,900000000.0,900000000.0,830000000.0,830000000.0,822000000.0,822000000.0,922000000.0,935000000.0,1236000000.0,1236000000.0,1453000000.0
ContingentLiabilitiesRecognisedAsOfAcquisitionDate / USD,,,,-2000000.0,2000000.0,3000000.0,3000000.0,3000000.0,3000000.0,1000000.0,1000000.0,23000000.0,23000000.0,22000000.0,22000000.0,51000000.0
ContributionsToPlanNetDefinedBenefitLiabilityAsset / USD,88000000.0,,-590000000.0,,68000000.0,,203000000.0,,34000000.0,,41000000.0,,32000000.0,,33000000.0,
CurrentAccruedExpensesAndOtherCurrentLiabilities / USD,2448000000.0,2086000000.0,2086000000.0,1549000000.0,1778000000.0,1373000000.0,1373000000.0,1159000000.0,1159000000.0,1326000000.0,1363000000.0,1222000000.0,1222000000.0,1114000000.0,1114000000.0,1091000000.0
CurrentAssets / USD,4634000000.0,2977000000.0,2977000000.0,4529000000.0,4521000000.0,3071000000.0,3071000000.0,3975000000.0,3975000000.0,2453000000.0,2453000000.0,2811000000.0,2811000000.0,2921000000.0,2921000000.0,3490000000.0
CurrentAssetsRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,6000000.0,58000000.0,53000000.0,43000000.0
CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings / USD,1111000000.0,1644000000.0,1644000000.0,3000000.0,3000000.0,579000000.0,579000000.0,,,,0.0,,1647000000.0,,372000000.0,
CurrentDerivativeFinancialLiabilities / USD,,0.0,0.0,0.0,62000000.0,62000000.0,62000000.0,,,,,,,-31000000.0,21000000.0,21000000.0
CurrentFinancialAssets / USD,188000000.0,98000000.0,98000000.0,76000000.0,76000000.0,533000000.0,533000000.0,612000000.0,612000000.0,108000000.0,108000000.0,204000000.0,204000000.0,66000000.0,66000000.0,35000000.0
CurrentLeaseLiabilities / USD,,,,49000000.0,69000000.0,69000000.0,69000000.0,83000000.0,83000000.0,64000000.0,64000000.0,56000000.0,56000000.0,56000000.0,56000000.0,58000000.0
CurrentLiabilities / USD,4562000000.0,4796000000.0,4796000000.0,2462000000.0,2691000000.0,3219000000.0,3219000000.0,2652000000.0,2652000000.0,2581000000.0,2581000000.0,4891000000.0,4891000000.0,3233000000.0,3233000000.0,3436000000.0
CurrentLiabilitiesRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,5000000.0,77000000.0,68000000.0,72000000.0
CurrentPrepaidExpenses / USD,316000000.0,,391000000.0,,165000000.0,,130000000.0,,126000000.0,,170000000.0,,159000000.0,,161000000.0,
CurrentPrepaymentsAndOtherCurrentAssets / USD,686000000.0,,548000000.0,,426000000.0,,546000000.0,,425000000.0,,510000000.0,,469000000.0,,435000000.0,
CurrentProvisions / USD,273000000.0,166000000.0,166000000.0,203000000.0,203000000.0,119000000.0,119000000.0,111000000.0,111000000.0,107000000.0,107000000.0,108000000.0,108000000.0,92000000.0,92000000.0,63000000.0
CurrentServiceCostNetDefinedBenefitLiabilityAsset / USD,-82000000.0,,60000000.0,,55000000.0,,42000000.0,,45000000.0,,44000000.0,,37000000.0,,5000000.0,
CurrentTaxAssets / USD,,,,,69000000.0,,72000000.0,,65000000.0,,68000000.0,,68000000.0,,72000000.0,
CurrentTaxExpenseIncome / USD,-4000000.0,,152000000.0,,308000000.0,,197000000.0,,302000000.0,,945000000.0,,339000000.0,,805000000.0,
CurrentTaxLiabilities / USD,,,,,,,,,251000000.0,169000000.0,169000000.0,324000000.0,324000000.0,248000000.0,248000000.0,197000000.0
DebtInstrumentsAmountContributedToFairValueOfPlanAssets / USD,3667000000.0,,3930000000.0,,1578000000.0,,1852000000.0,,2036000000.0,,2186000000.0,,1368000000.0,,1166000000.0,
DecreaseThroughPerformanceObligationBeingSatisfiedContractLiabilities / USD,,,727000000.0,,727000000.0,,796000000.0,,786000000.0,,817000000.0,,849000000.0,,838000000.0,
DeferredIncomeIncludingContractLiabilities / USD,,,,,,,,,,,866000000.0,,874000000.0,992000000.0,886000000.0,1062000000.0
DeferredIncomeOtherThanContractLiabilitiesRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,4000000.0,19000000.0,55000000.0,22000000.0
DeferredTaxAssets / USD,51000000.0,79000000.0,79000000.0,31000000.0,31000000.0,1176000000.0,1176000000.0,1204000000.0,1204000000.0,1139000000.0,1139000000.0,1118000000.0,1118000000.0,1104000000.0,1104000000.0,1376000000.0
DeferredTaxExpenseIncome / USD,-11000000.0,,-286000000.0,,-172000000.0,,-1395000000.0,,-231000000.0,,662000000.0,,-80000000.0,,-388000000.0,
DeferredTaxExpenseIncomeRelatingToTaxRateChangesOrImpositionOfNewTaxes / USD,,,,,,,,,,,,,100000000.0,,100000000.0,
DeferredTaxLiabilities / USD,1158000000.0,708000000.0,708000000.0,799000000.0,780000000.0,576000000.0,576000000.0,394000000.0,394000000.0,1005000000.0,1005000000.0,897000000.0,897000000.0,553000000.0,553000000.0,241000000.0
DeferredTaxLiabilitiesRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,10000000.0,43000000.0,51000000.0,38000000.0
DepreciationExpense / USD,313000000.0,62000000.0,113000000.0,59000000.0,110000000.0,72000000.0,154000000.0,83000000.0,184000000.0,88000000.0,177000000.0,76000000.0,140000000.0,59000000.0,116000000.0,57000000.0
DepreciationRightofuseAssets / USD,,,,,54000000.0,,54000000.0,,90000000.0,,81000000.0,,53000000.0,,51000000.0,
DerivativeFinancialAssets / USD,,,,,,17000000.0,100000000.0,100000000.0,100000000.0,99000000.0,99000000.0,42000000.0,42000000.0,65000000.0,65000000.0,
DerivativeFinancialAssetsHeldForHedging / USD,,,,,,,100000000.0,,100000000.0,,99000000.0,,42000000.0,65000000.0,,
DerivativeFinancialLiabilities / USD,327000000.0,246000000.0,246000000.0,76000000.0,76000000.0,62000000.0,62000000.0,,-100000000.0,6700000000.0,-99000000.0,3400000000.0,-42000000.0,,-65000000.0,21000000.0
DerivativeFinancialLiabilitiesHeldForHedging / USD,,,,,,,,,,,,,,,21000000.0,21000000.0
DerivativesAmountContributedToFairValueOfPlanAssets / USD,51000000.0,,375000000.0,,221000000.0,,266000000.0,,679000000.0,,358000000.0,,172000000.0,,242000000.0,
DescriptionOfExpectedVolatilityShareOptionsGranted / pure,0.18,,0.15,,0.15,,0.15,,0.16,,0.21,,0.21,,0.22,
DescriptionOfOptionLifeShareOptionsGranted / Y,,,,,,,,,5.0,,5.0,,5.0,,5.0,
DescriptionOfRiskFreeInterestRateShareOptionsGranted / pure,0.015,,0.021,,0.029,,0.026,,0.009,,0.008,,0.016,,0.042,
DilutedEarningsLossPerShare / USD/shares,4.13,,,0.4,5.88,,3.11,0.64,2.25,12.28,11.5,1.83,2.75,3.49,5.8,2.92
DilutedEarningsLossPerShareFromContinuingOperations / USD/shares,1.34,,,0.44,0.24,,3.12,0.65,2.3,12.28,11.5,1.94,2.86,3.43,5.69,2.89
DilutedEarningsLossPerShareFromDiscontinuedOperations / USD/shares,2.79,,,-0.04,5.64,,-0.01,-0.01,-0.05,-0.01,0.0,-0.11,-0.11,0.06,0.11,0.03
DilutiveEffectOfShareOptionsOnNumberOfOrdinaryShares / shares,1633011.0,1321292.0,1423800.0,581482.0,624332.0,1594354.0,1691447.0,1318061.0,1309714.0,1093324.0,1060473.0,784132.0,1044104.0,1013120.0,795027.0,642293.0
DividendsPaidOrdinaryShares / USD,980000000.0,483000000.0,956000000.0,475000000.0,900000000.0,349000000.0,698000000.0,364000000.0,730000000.0,388000000.0,773000000.0,419000000.0,834000000.0,454000000.0,887000000.0,472000000.0
DividendsRecognisedAsDistributionsToOwnersOfParent / USD,1015000000.0,500000000.0,991000000.0,490000000.0,925000000.0,361000000.0,721000000.0,376000000.0,753000000.0,400000000.0,797000000.0,433000000.0,861000000.0,462000000.0,908000000.0,487000000.0
EffectOfExchangeRateChangesOnCashAndCashEquivalents / USD,-13000000.0,5000000.0,9000000.0,-12000000.0,-20000000.0,2000000.0,5000000.0,-10000000.0,-1000000.0,1000000.0,-5000000.0,-4000000.0,-6000000.0,1000000.0,1000000.0,-5000000.0
EmployeeBenefitsExpense / USD,4600000000.0,1211000000.0,2453000000.0,1273000000.0,2696000000.0,1326000000.0,2617000000.0,1195000000.0,2468000000.0,1300000000.0,2698000000.0,1314000000.0,2636000000.0,1252000000.0,2494000000.0,1275000000.0
Equity / USD,13100000000.0,13256000000.0,13256000000.0,13575000000.0,13575000000.0,9210000000.0,9210000000.0,9560000000.0,9560000000.0,9980000000.0,9980000000.0,13834000000.0,13834000000.0,11885000000.0,11885000000.0,11064000000.0
EquityAndLiabilities / USD,27852000000.0,26480000000.0,26480000000.0,17047000000.0,17018000000.0,17295000000.0,17295000000.0,17881000000.0,17881000000.0,22149000000.0,22149000000.0,21711000000.0,21711000000.0,18684000000.0,18684000000.0,18437000000.0
EquityInstrumentsAmountContributedToFairValueOfPlanAssets / USD,1509000000.0,,1204000000.0,,641000000.0,,771000000.0,,860000000.0,,713000000.0,,400000000.0,,507000000.0,
ExercisePriceShareOptionsGranted2019 / USD/shares,,,,,39.49,,54.48,,75.96,,88.78,,102.0,,121.16,
ExpectedDividendAsPercentageShareOptionsGranted / pure,0.039,,0.037,,0.034,,0.033,,0.031,,0.028,,0.024,,0.021,
ExpenseFromSharebasedPaymentTransactionsWithEmployees / USD,106000000.0,28000000.0,60000000.0,23000000.0,48000000.0,27000000.0,56000000.0,35000000.0,64000000.0,34000000.0,76000000.0,47000000.0,85000000.0,43000000.0,83000000.0,42000000.0
FairValueOfAcquiredReceivables / USD,,,,,,,,,,,,,3000000.0,28000000.0,12000000.0,24000000.0
FinancialAssetsAtFairValue / USD,203000000.0,54000000.0,54000000.0,2430000000.0,2430000000.0,954000000.0,978000000.0,2156000000.0,2156000000.0,791000000.0,791000000.0,943000000.0,943000000.0,1390000000.0,1390000000.0,1554000000.0
FinancialAssetsAtFairValueThroughProfitOrLoss / USD,168000000.0,21000000.0,21000000.0,2407000000.0,2407000000.0,925000000.0,949000000.0,2010000000.0,2010000000.0,624000000.0,624000000.0,840000000.0,840000000.0,1227000000.0,1227000000.0,1455000000.0
FinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome / USD,,23000000.0,23000000.0,23000000.0,23000000.0,29000000.0,29000000.0,46000000.0,46000000.0,68000000.0,68000000.0,61000000.0,61000000.0,98000000.0,98000000.0,99000000.0
FinancialInstrumentsDesignatedAsHedgingInstrumentsAtFairValue / USD,327000000.0,246000000.0,-246000000.0,-76000000.0,-76000000.0,,-62000000.0,100000000.0,,99000000.0,,42000000.0,,,,
FinancialInstrumentsSubjectToEnforceableMasterNettingArrangementOrSimilarAgreementNotSetOffAgainstFinancialAssets / USD,17000000.0,,-8000000.0,,,,,,,,,,0.0,,0.0,
FinancialInstrumentsSubjectToEnforceableMasterNettingArrangementOrSimilarAgreementNotSetOffAgainstFinancialLiabilities / USD,17000000.0,,8000000.0,,,,,,,,,,0.0,,0.0,
FinancialLiabilitiesAtFairValue / USD,373000000.0,326000000.0,-326000000.0,-78000000.0,-78000000.0,72000000.0,-72000000.0,3000000.0,-3000000.0,-20000000.0,-20000000.0,-60000000.0,-60000000.0,-54000000.0,54000000.0,72000000.0
FinancialLiabilitiesAtFairValueThroughProfitOrLoss / USD,46000000.0,80000000.0,-80000000.0,-2000000.0,2000000.0,10000000.0,10000000.0,3000000.0,3000000.0,20000000.0,20000000.0,60000000.0,60000000.0,54000000.0,54000000.0,72000000.0
FinancialLiabilitiesRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,18000000.0,8000000.0,0.0,8000000.0
GainLossOnRemeasurementOfNetDefinedBenefitLiabilityAsset / USD,-67000000.0,,-20000000.0,,104000000.0,,-53000000.0,,78000000.0,,228000000.0,,-162000000.0,,0.0,
GainsLossesOnCashFlowHedgesBeforeTax / USD,,,,,,,,,,,,,,,22000000.0,-33000000.0
GainsLossesOnCashFlowHedgesNetOfTax / USD,42000000.0,31000000.0,78000000.0,-58000000.0,-55000000.0,14000000.0,14000000.0,14000000.0,97000000.0,24000000.0,-1000000.0,-21000000.0,-57000000.0,20000000.0,,
GainsLossesOnChangeInFairValueOfDerivatives / USD,-23000000.0,-25000000.0,-34000000.0,3000000.0,4000000.0,19000000.0,-7000000.0,19000000.0,21000000.0,320000000.0,-19000000.0,320000000.0,328000000.0,-135000000.0,-132000000.0,
GainsLossesOnExchangeDifferencesOnTranslationRecognisedInProfitOrLoss / USD,74000000.0,-63000000.0,-108000000.0,18000000.0,31000000.0,-29000000.0,-37000000.0,15000000.0,9000000.0,-4000000.0,27000000.0,94000000.0,114000000.0,-59000000.0,-65000000.0,31000000.0
GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeBeforeTax / USD,,,,,,,,,,,,,,,12000000.0,9000000.0
GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax / USD,-4000000.0,,-16000000.0,,-6000000.0,,-6000000.0,,-11000000.0,,-11000000.0,,17000000.0,,-8000000.0,
Goodwill / USD,14485000000.0,15042000000.0,15042000000.0,5076000000.0,5076000000.0,5853000000.0,5853000000.0,5976000000.0,5976000000.0,5940000000.0,5940000000.0,5882000000.0,5869000000.0,6719000000.0,6719000000.0,7262000000.0
GoodwillRecognisedAsOfAcquisitionDate / USD,,,,,,,,,,,,,104000000.0,621000000.0,879000000.0,619000000.0
GrossFinancialAssetsSetOffAgainstFinancialLiabilitiesSubjectToOffsettingEnforceableMasterNettingArrangementsOrSimilarAgreements / USD,0.0,,8000000.0,,8000000.0,,,,,,,,0.0,,0.0,
GrossFinancialAssetsSubjectToOffsettingEnforceableMasterNettingArrangementsOrSimilarAgreements / USD,63000000.0,,27000000.0,,10000000.0,,17000000.0,,133000000.0,,137000000.0,,409000000.0,,186000000.0,
GrossFinancialLiabilitiesSetOffAgainstFinancialAssetsSubjectToOffsettingEnforceableMasterNettingArrangementsOrSimilarAgreements / USD,0.0,,-8000000.0,,8000000.0,,,,,,,,0.0,,0.0,
GrossFinancialLiabilitiesSubjectToOffsettingEnforceableMasterNettingArrangementsOrSimilarAgreements / USD,347000000.0,,263000000.0,,87000000.0,,69000000.0,,19000000.0,,19000000.0,,37000000.0,,32000000.0,
GrossLeaseLiabilities / USD,,,,,354000000.0,,354000000.0,,329000000.0,,288000000.0,,263000000.0,,324000000.0,
GrossLoanCommitments / USD,,,,,,,,,,,,,2000000000.0,,2000000000.0,
IdentifiableAssetsAcquiredLiabilitiesAssumed / USD,,,,,,,,,,,,,49000000.0,217000000.0,346000000.0,219000000.0
ImpairmentLossRecognisedInProfitOrLossGoodwill / USD,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
IncomeTaxExpenseContinuingOperations / USD,-15000000.0,26000000.0,-134000000.0,24000000.0,136000000.0,48000000.0,-1198000000.0,63000000.0,71000000.0,1883000000.0,1607000000.0,148000000.0,259000000.0,415000000.0,417000000.0,-335000000.0
IncomeTaxRelatingToCashFlowHedgesOfOtherComprehensiveIncome / USD,,,,,,,,,,,,,,,0.0,0.0
IncomeTaxRelatingToFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome / USD,,,,,,,,,,,,,,,0.0,2000000.0
IncomeTaxRelatingToInvestmentsInEquityInstrumentsOfOtherComprehensiveIncome / USD,,,,,,,,,,,,,,0.0,,
IncomeTaxRelatingToRemeasurementsOfDefinedBenefitPlansOfOtherComprehensiveIncome / USD,-9000000.0,11000000.0,34000000.0,27000000.0,22000000.0,-2000000.0,-12000000.0,2000000.0,17000000.0,37000000.0,58000000.0,-21000000.0,-43000000.0,4000000.0,0.0,6000000.0
IncomeTaxesPaidRefund / USD,347000000.0,56000000.0,191000000.0,95000000.0,308000000.0,169000000.0,314000000.0,34000000.0,164000000.0,589000000.0,1066000000.0,145000000.0,216000000.0,378000000.0,869000000.0,283000000.0
IncomeTaxesPaidRefundClassifiedAsInvestingActivities / USD,240000000.0,,,1000000.0,1000000.0,1000000.0,1000000.0,0.0,114000000.0,444000000.0,850000000.0,0.0,7000000.0,270000000.0,705000000.0,137000000.0
IncomeTaxesPaidRefundClassifiedAsOperatingActivities / USD,48000000.0,19000000.0,57000000.0,43000000.0,270000000.0,114000000.0,268000000.0,36000000.0,52000000.0,101000000.0,172000000.0,129000000.0,193000000.0,107000000.0,163000000.0,146000000.0
