fact_unit,2024-06-07,2024-08-09,2024-11-08,2025-03-07,2025-05-09,2025-08-07,2025-11-07
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,97000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,60000000.0,,,
DeferredTaxLiabilities / USD,,,,140000000.0,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts / USD,,,,0.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,5000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,51000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,313000000.0,,,
DeferredTaxLiabilitiesTaxDeferredIncome / USD,,,,0.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,126000000.0,,,
DeferredTaxesBusinessCombinationValuationAllowanceAvailableToReduceIncomeTaxExpense / USD,,,,0.0,,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,,29000000.0,29000000.0,635000000.0,635000000.0,635000000.0
DefinedContributionPlanCostRecognized / USD,,,,75000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercent / pure,,,,0.025,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,,,,0.05,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent / pure,,,,0.075,,,
Depreciation / USD,,,392000000.0,,,,
DepreciationDepletionAndAmortization / USD,,,430000000.0,564000000.0,148000000.0,308000000.0,872000000.0
Dividends / USD,,,299000000.0,350000000.0,225000000.0,335000000.0,493000000.0
EarningsPerShareBasic / USD/shares,,-5.04,3.01,4.0,0.74,1.25,0.51
EarningsPerShareDiluted / USD/shares,,-5.04,3.0,3.96,0.73,1.24,0.5
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,2.0,2.0,-5000000.0,-126000000.0,-24000000.0,-29000000.0,-25000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,0.249,,0.285,0.289,0.487
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.125,,,
EmployeeRelatedLiabilitiesCurrent / USD,,,438000000.0,438000000.0,882000000.0,882000000.0,882000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,3000000.0,,,
EntityCommonStockSharesOutstanding / shares,100.0,519358323.0,520156112.0,521964165.0,522012629.0,522125044.0,522186327.0
EntityPublicFloat / USD,,,,0.0,,,
FinanceLeaseInterestExpense / USD,,,1000000.0,1000000.0,,,
FinanceLeaseInterestPaymentOnLiability / USD,,,,1000000.0,,,
FinanceLeaseLiability / USD,,,29000000.0,29000000.0,539000000.0,539000000.0,539000000.0
FinanceLeaseLiabilityCurrent / USD,,,3000000.0,3000000.0,,,
FinanceLeaseLiabilityNoncurrent / USD,,,26000000.0,26000000.0,,,
FinanceLeaseLiabilityPaymentsDue / USD,,,,802000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,500000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,49000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,37000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,40000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,127000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,49000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,263000000.0,,,
FinanceLeasePrincipalPayments / USD,,,2000000.0,3000000.0,1000000.0,1000000.0,12000000.0
FinanceLeaseRightOfUseAsset / USD,,,26000000.0,26000000.0,,,
FinanceLeaseRightOfUseAssetAccumulatedAmortization / USD,,,6000000.0,6000000.0,,,
FinanceLeaseRightOfUseAssetAmortization / USD,,,2000000.0,3000000.0,,,
FinanceLeaseRightOfUseAssetBeforeAccumulatedAmortization / USD,,,32000000.0,32000000.0,419000000.0,419000000.0,419000000.0
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,0.036,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,502000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,138000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,96000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,109000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,120000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,131000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,,,,720000000.0,,,
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,-2000000.0,,,
Goodwill / USD,,,2842000000.0,2722000000.0,6822000000.0,6822000000.0,6822000000.0
GoodwillAcquiredDuringPeriod / USD,,,4368000000.0,,,,
GoodwillForeignCurrencyTranslationGainLoss / USD,,,5000000.0,124000000.0,,,
GoodwillGross / USD,,,3106000000.0,,,,
GoodwillImpairedAccumulatedImpairmentLoss / USD,,,264000000.0,264000000.0,,,
GoodwillImpairmentLoss / USD,,,,12000000.0,,,
GrossProfit / USD,,,2353000000.0,3272000000.0,710000000.0,1403000000.0,2753000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,235000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,-12300.0,1035000000.0,1426000000.0,267000000.0,454000000.0,337000000.0
IncomeTaxExpenseBenefit / USD,,,258000000.0,391000000.0,76000000.0,131000000.0,164000000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,32000000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,197000000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,178000000.0,,,
IncomeTaxReconciliationOtherReconcilingItems / USD,,,,-47000000.0,,,
IncomeTaxReconciliationRepatriationOfForeignEarnings / USD,,,,17000000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,0.0,,,
IncomeTaxReconciliationTaxContingencies / USD,,,,10000000.0,,,
IncomeTaxesPaidNet / USD,,,308000000.0,338000000.0,18000000.0,79000000.0,229000000.0
IncreaseDecreaseInAccountsPayable / USD,,12300.0,-438000000.0,-33000000.0,-102000000.0,-12000000.0,-226000000.0
IncreaseDecreaseInAccountsReceivable / USD,,,-63000000.0,91000000.0,196000000.0,236000000.0,422000000.0
IncreaseDecreaseInAccruedLiabilities / USD,,,-20000000.0,79000000.0,-22000000.0,45000000.0,155000000.0
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable / USD,,,-46000000.0,53000000.0,60000000.0,63000000.0,34000000.0
IncreaseDecreaseInInventories / USD,,,-161000000.0,209000000.0,-8000000.0,20000000.0,-120000000.0
IncreaseDecreaseInOtherOperatingAssets / USD,,,-21000000.0,116000000.0,51000000.0,105000000.0,31000000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,1000000.0,3000000.0,1000000.0,1000000.0,2000000.0
IntangibleAssetsNetExcludingGoodwill / USD,,,218000000.0,218000000.0,1117000000.0,1117000000.0,1117000000.0
InterestCostsCapitalized / USD,,,9000000.0,3000000.0,1000000.0,2000000.0,11000000.0
InterestExpenseNonoperating / USD,,,129000000.0,148000000.0,37000000.0,112000000.0,321000000.0
InterestIncomeExpenseNonoperatingNet / USD,,,-109000000.0,-139000000.0,-25000000.0,-58000000.0,-225000000.0
InventoryFinishedGoodsNetOfReserves / USD,,,514000000.0,514000000.0,1374000000.0,1374000000.0,1374000000.0
InventoryNet / USD,,,1203000000.0,1203000000.0,3550000000.0,3550000000.0,3550000000.0
InventoryRawMaterialsNetOfReserves / USD,,,348000000.0,348000000.0,1288000000.0,1288000000.0,1288000000.0
InventoryWorkInProcessNetOfReserves / USD,,,52000000.0,52000000.0,206000000.0,206000000.0,206000000.0
InvestmentIncomeInterest / USD,,,20000000.0,9000000.0,12000000.0,54000000.0,96000000.0
InvestmentTaxCredit / USD,,,,16000000.0,,,
LeaseCost / USD,,,125000000.0,151000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,1155000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,138000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,353000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,75000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,121000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,197000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,271000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,136000000.0,,,
Liabilities / USD,,12300.0,7877000000.0,7877000000.0,26372000000.0,26372000000.0,26372000000.0
LiabilitiesAndStockholdersEquity / USD,,111.0,14051000000.0,14051000000.0,43759000000.0,43759000000.0,43759000000.0
LiabilitiesCurrent / USD,,,3006000000.0,3006000000.0,7333000000.0,7333000000.0,7333000000.0
LongTermDebt / USD,,,,13056000000.0,,,
LongTermDebtAndCapitalLeaseObligations / USD,,,3669000000.0,3669000000.0,12542000000.0,12542000000.0,12542000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,1030000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,1877000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,1105000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,1731000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,30000000.0,,,
MinorityInterest / USD,,,16000000.0,16000000.0,27000000.0,27000000.0,27000000.0
MultiemployerPlanEmployerContributionCost / USD,,,,37000000.0,,,
MultiemployerPlansWithdrawalObligation / USD,,,,169000000.0,131000000.0,131000000.0,131000000.0
NetCashProvidedByUsedInFinancingActivities / USD,0.0,0.0,-378000000.0,-431000000.0,0.0,2382000000.0,869000000.0
NetCashProvidedByUsedInInvestingActivities / USD,0.0,0.0,-677000000.0,-1020000000.0,-207000000.0,-410000000.0,-1595000000.0
NetCashProvidedByUsedInOperatingActivities / USD,0.0,0.0,948000000.0,1433000000.0,42000000.0,382000000.0,702000000.0
NetIncomeLoss / USD,,0.0,777000000.0,1034000000.0,191000000.0,323000000.0,173000000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,,,0.0,1000000.0,0.0,0.0,0.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,777000000.0,1034000000.0,191000000.0,323000000.0,173000000.0
NetIncomeLossAvailableToCommonStockholdersDiluted / USD,,,777000000.0,1034000000.0,191000000.0,323000000.0,173000000.0
NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent / USD,,,29000000.0,8000000.0,10000000.0,39000000.0,31000000.0
NoncashOrPartNoncashAcquisitionDebtAssumed1 / USD,,,,8725000000.0,,,
NoncurrentAssets / USD,,,,6165000000.0,,,
NumberOfCountriesInWhichEntityOperates / country,,,,40.0,,,
NumberOfOperatingSegments / segment,,,3.0,3.0,3.0,3.0,3.0
NumberOfReportableSegments / segment,,,3.0,3.0,3.0,3.0,3.0
OperatingIncomeLoss / USD,,,1192000000.0,1558000000.0,307000000.0,551000000.0,606000000.0
OperatingLeaseCost / USD,,,87000000.0,107000000.0,,,
OperatingLeaseLiability / USD,,,382000000.0,382000000.0,,,
OperatingLeaseLiabilityCurrent / USD,,,113000000.0,113000000.0,,,
OperatingLeaseLiabilityNoncurrent / USD,,,269000000.0,269000000.0,,,
OperatingLeasePayments / USD,,,,107000000.0,,,
OperatingLeaseRightOfUseAsset / USD,,,374000000.0,374000000.0,,,
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,0.036,,,
OperatingLossCarryforwards / USD,,,,2214000000.0,,,
OtherAccruedLiabilitiesCurrent / USD,,,278000000.0,278000000.0,,,
OtherAssetImpairmentCharges / USD,,,2000000.0,159000000.0,,0.0,0.0
OtherAssetsCurrent / USD,,,561000000.0,561000000.0,1533000000.0,1533000000.0,1533000000.0
OtherAssetsNoncurrent / USD,,,601000000.0,601000000.0,2455000000.0,2455000000.0,2455000000.0
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax / USD,,,0.0,,,,
OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodTax / USD,,,0.0,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax / USD,,,119000000.0,-366000000.0,-116000000.0,-267000000.0,-181000000.0
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax / USD,,,-1000000.0,,,,
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax / USD,,,-1000000.0,,,,
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditTax / USD,,,0.0,,,,
OtherComprehensiveIncomeLossBeforeTax / USD,,,139000000.0,-261000000.0,-100000000.0,-213000000.0,-152000000.0
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToNoncontrollingInterest / USD,,,0.0,,,,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent / USD,,,139000000.0,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax / USD,,,3000000.0,-7000000.0,-3000000.0,3000000.0,3000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax / USD,,,3000000.0,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationTax / USD,,,0.0,,,,
OtherComprehensiveIncomeLossFinalizationOfPensionAndNonPensionPostretirementPlanValuationNetOfTax / USD,,,,-20000000.0,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax / USD,,,119000000.0,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,2.0,2.0,119000000.0,,,,
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax / USD,,,0.0,,,,
OtherComprehensiveIncomeLossNetOfTax / USD,,,133000000.0,-263000000.0,-103000000.0,-224000000.0,-164000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest / USD,,,0.0,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,2.0,2.0,133000000.0,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax / USD,,,-11000000.0,-110000000.0,-16000000.0,-40000000.0,-14000000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax / USD,,,0.0,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax / USD,,,-23000000.0,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax / USD,,,-17000000.0,,,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossTax / USD,,,-6000000.0,,,,
OtherComprehensiveIncomeLossTax / USD,,,6000000.0,2000000.0,3000000.0,11000000.0,12000000.0
OtherComprehensiveIncomeLossTaxPortionAttributableToNoncontrollingInterest / USD,,,0.0,,,,
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1 / USD,,,6000000.0,,,,
OtherLiabilitiesCurrent / USD,,,484000000.0,484000000.0,2108000000.0,2108000000.0,2108000000.0
OtherLiabilitiesNoncurrent / USD,,,385000000.0,385000000.0,2191000000.0,2191000000.0,2191000000.0
OtherNonoperatingIncomeExpense / USD,,,-19000000.0,15000000.0,-5000000.0,0.0,-13000000.0
OtherOperatingActivitiesCashFlowStatement / USD,,,-4000000.0,-18000000.0,1000000.0,-1000000.0,14000000.0
OtherRestructuringCosts / USD,,,,,,0.0,19000000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,,-2000000.0,-5000000.0,-1000000.0,0.0,-1000000.0
PaymentsForRepurchaseOfCommonStock / USD,,,30000000.0,32000000.0,27000000.0,27000000.0,27000000.0
PaymentsForRepurchaseOfOtherEquity / USD,,,,42000000.0,,,
PaymentsOfDebtIssuanceCosts / USD,,,0.0,0.0,0.0,29000000.0,44000000.0
PaymentsOfDividends / USD,,,299000000.0,349000000.0,0.0,335000000.0,493000000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,0.0,0.0,0.0,0.0,21000000.0
PaymentsToAcquireBusinessesGross / USD,,,,99000000.0,,,
PaymentsToAcquireBusinessesNetOfCashAcquired / USD,,,29000000.0,93000000.0,0.0,28000000.0,716000000.0
PaymentsToAcquireProductiveAssets / USD,,,661000000.0,930000000.0,208000000.0,385000000.0,897000000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent / USD,,,537000000.0,537000000.0,706000000.0,706000000.0,706000000.0
PreferredStockDividendRatePercentage / pure,,0.08,,0.08,,,
PreferredStockParOrStatedValuePerShare / USD/shares,,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized / shares,,500000000.0,0.0,0.0,500000000.0,500000000.0,500000000.0
PreferredStockSharesOutstanding / shares,,0.0,0.0,0.0,10000.0,10000.0,10000.0
PreferredStockValue / USD,,,0.0,0.0,0.0,0.0,0.0
ProceedsFromIssuanceOfDebt / USD,,,77000000.0,52000000.0,55000000.0,2812000000.0,3127000000.0
ProceedsFromLifeInsurancePolicies / USD,,,0.0,0.0,,,2000000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,,,0.0,-1000000.0,0.0,-1000000.0,-1000000.0
ProceedsFromRepaymentsOfCommercialPaper / USD,,,0.0,0.0,0.0,0.0,-33000000.0
ProceedsFromRepaymentsOfOtherDebt / USD,,,0.0,0.0,0.0,-4000000.0,13000000.0
ProceedsFromSaleOfPropertyPlantAndEquipment / USD,,,11000000.0,13000000.0,,3000000.0,15000000.0
ProfitLoss / USD,,,777000000.0,1035000000.0,191000000.0,323000000.0,173000000.0
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization / USD,,,6514000000.0,6514000000.0,7155000000.0,,
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization / USD,,,5791000000.0,5791000000.0,22675000000.0,22675000000.0,22675000000.0
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization / USD,,,12305000000.0,12305000000.0,,,
ProvisionForDoubtfulAccounts / USD,,,,229000000.0,,,
PurchaseObligation / USD,,,,2397000000.0,,,
PurchaseObligationDueAfterFifthYear / USD,,,,301000000.0,,,
PurchaseObligationDueInFifthYear / USD,,,,143000000.0,,,
PurchaseObligationDueInFourthYear / USD,,,,173000000.0,,,
PurchaseObligationDueInNextTwelveMonths / USD,,,,1136000000.0,,,
PurchaseObligationDueInSecondYear / USD,,,,400000000.0,,,
PurchaseObligationDueInThirdYear / USD,,,,244000000.0,,,
RepaymentsOfDebt / USD,,,120000000.0,56000000.0,27000000.0,33000000.0,1640000000.0
RepaymentsOfLinesOfCredit / USD,,,4000000.0,,,,
RestrictedStockValueSharesIssuedNetOfTaxWithholdings / USD,,,,-22000000.0,-63000000.0,-66000000.0,-21000000.0
RestructuringCosts / USD,,,19000000.0,29000000.0,15000000.0,0.0,19000000.0
RestructuringCostsAndAssetImpairmentCharges / USD,,,,,,0.0,21000000.0
RetainedEarningsAccumulatedDeficit / USD,,-12300.0,3521000000.0,3521000000.0,2950000000.0,2950000000.0,2950000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,,,9231000000.0,13509000000.0,2930000000.0,5899000000.0,13570000000.0
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability / USD,,,0.0,0.0,,,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,68000000.0,111000000.0,,,
SegmentExpenditureAdditionToLongLivedAssets / USD,,,661000000.0,930000000.0,208000000.0,385000000.0,897000000.0
SellingGeneralAndAdministrativeExpense / USD,,,1144000000.0,1543000000.0,380000000.0,769000000.0,1776000000.0
SeveranceCosts1 / USD,,,,,,0.0,0.0
ShareBasedCompensation / USD,,,43000000.0,68000000.0,15000000.0,31000000.0,154000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue / USD,,,,1000000.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod / shares,,,,136.0,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,,,,141990.0,,,
