fact_unit,2023-11-07,2024-02-27,2024-05-08,2024-08-08,2024-11-06,2025-02-26,2025-03-19,2025-05-08,2025-08-06,2025-11-05
DeferredFederalStateAndLocalTaxExpenseBenefit / USD,,492000.0,,,,460000.0,-1234000.0,-1234000.0,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-1340000.0,,,,-142000.0,-5098000.0,-5098000.0,,
DeferredIncomeTaxExpenseBenefit / USD,3627000.0,-848000.0,39600000.0,39200000.0,44000000.0,318000.0,-6332000.0,-6332000.0,39600000.0,44000000.0
DeferredIncomeTaxLiabilitiesNet / USD,376837000.0,372860000.0,372860000.0,372860000.0,372860000.0,372860000.0,59117000.0,425609000.0,360546000.0,360546000.0
DeferredTaxAssetsGross / USD,,2212000.0,,,,81793000.0,17725000.0,104410000.0,,
DeferredTaxAssetsNet / USD,,2118000.0,,,,66104000.0,17189000.0,88244000.0,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,2203000.0,,,,29615000.0,9682000.0,38021000.0,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign / USD,,,,,,,,29600000.0,,
DeferredTaxAssetsOther / USD,,9000.0,,,,3453000.0,2034000.0,10380000.0,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,,,1970000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,,,30880000.0,,0.0,,
DeferredTaxAssetsValuationAllowance / USD,15600000.0,94000.0,,,,15689000.0,536000.0,16166000.0,,
DeferredTaxLiabilities / USD,,1549000.0,,,,437305000.0,73717000.0,511093000.0,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,365751000.0,,,,365751000.0,52085000.0,416618000.0,,
DeferredTaxLiabilitiesInvestments / USD,,592000.0,,,,592000.0,5470000.0,6681000.0,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,34522000.0,,,,34522000.0,0.0,37101000.0,,
DeferredTaxLiabilitiesOther / USD,,,,,,2445000.0,1549000.0,2445000.0,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,33995000.0,,,,33995000.0,0.0,34701000.0,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,2200000.0,,,,800000.0,7400000.0,7400000.0,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,,0.5,,,,0.5,0.5,0.5,,
Depreciation / USD,9900000.0,12900000.0,3500000.0,6800000.0,11900000.0,13300000.0,27000000.0,27000000.0,47600000.0,69700000.0
DepreciationAndAmortization / USD,44945000.0,63250000.0,15152000.0,30202000.0,61900000.0,60032000.0,133619000.0,133619000.0,240981000.0,355860000.0
DepreciationDepletionAndAmortization / USD,44945000.0,63250000.0,15152000.0,30202000.0,61900000.0,60032000.0,133619000.0,133619000.0,240981000.0,355860000.0
DilutiveSecuritiesEffectOnBasicEarningsPerShareOther / USD,,,,,25251000.0,-6613000.0,,-6613000.0,198869000.0,25251000.0
EarningsPerShareBasic / USD/shares,-0.26,-0.43,-1.26,-0.55,-0.26,-0.43,-0.43,-0.43,-0.55,-0.27
EarningsPerShareDiluted / USD/shares,-0.26,-0.43,-1.26,-0.55,-0.26,-0.43,-0.43,-0.43,-0.55,-0.27
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-1033000.0,227000.0,-31000.0,-1132000.0,-1952000.0,-1192000.0,-11595000.0,-11595000.0,-1937000.0,-429000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.038,0.054,0.039,0.037,0.084,0.035,0.043,0.043,-0.005,-0.02
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.21,,,,0.21,,0.21,,
EmployeeBenefitsAndShareBasedCompensation / USD,,,,,,,19900000.0,-4745000.0,-9040000.0,-12353000.0
EmployeeRelatedLiabilitiesCurrent / USD,27271000.0,27271000.0,100982000.0,41634000.0,100982000.0,100982000.0,62791000.0,138101000.0,153014000.0,153014000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,,137531000.0,,,,165780000.0,149539000.0,179891000.0,,
EntertainmentLicenseAgreementForProgramMaterialCapitalizedCost / USD,20548000.0,20548000.0,21413000.0,21413000.0,21413000.0,21413000.0,20548000.0,21413000.0,,
EntityPublicFloat / USD,,0.0,,,,8505980836000.0,,,,
EquityMethodInvestmentUnderlyingEquityInNetAssets / USD,,,,,,,26500000.0,27700000.0,,
EquityMethodInvestments / USD,4917000.0,4917000.0,3775000.0,3775000.0,3775000.0,3775000.0,54947000.0,59655000.0,79934000.0,79934000.0
EquitySecuritiesFvNiCurrentAndNoncurrent / USD,,,,,,,0.0,83000.0,,
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,499000.0,499000.0,12617000.0,12617000.0,12617000.0,12617000.0,6659000.0,18748000.0,21205000.0,21205000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossAnnualAmount / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
