fact_unit,2010-08-09,2010-11-22,2011-02-04,2011-05-09,2011-08-08,2011-11-21,2012-02-03,2012-05-07,2012-08-06,2012-11-19,2013-02-01,2013-05-06,2013-08-05,2013-11-18,2014-01-31,2014-05-05,2014-07-28,2014-08-07,2014-11-17,2015-01-30,2015-05-04,2015-08-03,2015-11-23,2016-02-05,2016-05-09,2016-08-08,2016-11-21,2017-02-06,2017-05-08,2017-08-07,2017-11-13,2018-02-08,2018-05-07,2018-08-06,2018-11-13,2019-02-07,2019-05-06,2019-08-05,2019-11-12,2020-02-06,2020-02-12,2020-02-19,2020-02-21,2020-03-13,2020-04-01,2020-05-04,2020-05-22,2020-06-10,2020-08-03,2020-10-08,2020-11-16,2020-12-21,2021-01-20,2021-02-11,2021-02-17,2021-02-22,2021-03-25,2021-05-10,2021-05-14,2021-06-02,2021-06-25,2021-07-06,2021-08-09,2021-10-04,2021-11-15,2021-12-09,2022-01-12,2022-02-07,2022-02-14,2022-05-09,2022-08-08,2022-08-29,2022-09-27,2022-11-14,2023-01-09,2023-02-06,2023-02-13,2023-05-08,2023-05-15,2023-08-07,2023-08-10,2023-09-07,2023-11-13,2023-12-07,2024-02-05,2024-02-12,2024-05-06,2024-06-12,2024-06-13,2024-06-28,2024-08-05,2024-08-29,2024-11-12,2025-02-03,2025-02-10,2025-02-25,2025-04-18,2025-05-05,2025-05-08,2025-08-04,2025-08-07,2025-09-05,2025-11-10,2025-11-21
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,18000000.0,,,18000000.0,,16000000.0,,,,17000000.0,,,,26000000.0,,,,92000000.0,,,,80000000.0,,,,107000000.0,,,,,,,,,,,,210000000.0,,,210000000.0,,,,,,,,,,,267000000.0,,,,,,,,,278000000.0,,,,,,,,,261000000.0,,,,,,,,,,246000000.0,,,,,,,,,,229000000.0,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,10000000.0,10000000.0,9000000.0,6000000.0,24000000.0,4000000.0,4000000.0,4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,1000000.0,,,1000000.0,,,,,,,,,,,1000000.0,,,,,,,,,2000000.0,,,,,,,,,4000000.0,,,,,,,,,,2000000.0,,,,,,,,,,9000000.0,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15000000.0,,,,,,,,,-13000000.0,,,,,,,,,-12000000.0,,,,,,,,,,-10000000.0,,,,,,,,,,-15000000.0,
Assets / USD,10595000000.0,10595000000.0,10752000000.0,10752000000.0,10752000000.0,10595000000.0,11071000000.0,11071000000.0,11071000000.0,10752000000.0,11896000000.0,11896000000.0,11896000000.0,11071000000.0,12177000000.0,12177000000.0,11071000000.0,12177000000.0,11896000000.0,23956000000.0,23956000000.0,23956000000.0,12177000000.0,23004000000.0,23004000000.0,23004000000.0,23906000000.0,22373000000.0,22373000000.0,22373000000.0,22969000000.0,28066000000.0,28066000000.0,28066000000.0,22373000000.0,29109000000.0,29109000000.0,29109000000.0,28066000000.0,33097000000.0,,,,,,33097000000.0,,,33097000000.0,,29109000000.0,,,28987000000.0,,,,33657000000.0,,,,,34323000000.0,,32918000000.0,,,36309000000.0,,36309000000.0,36309000000.0,,,34456000000.0,,36821000000.0,,36821000000.0,,,36821000000.0,,36309000000.0,,36251000000.0,,36251000000.0,,,,36251000000.0,,36821000000.0,37100000000.0,,,,37100000000.0,,37100000000.0,,,36251000000.0,
AssetsCurrent / USD,4375000000.0,4375000000.0,4618000000.0,4618000000.0,4618000000.0,4618000000.0,4780000000.0,4780000000.0,4780000000.0,4780000000.0,5403000000.0,5403000000.0,5403000000.0,5403000000.0,5604000000.0,5604000000.0,5403000000.0,5604000000.0,5604000000.0,6221000000.0,6221000000.0,6221000000.0,6221000000.0,5381000000.0,5381000000.0,5381000000.0,5381000000.0,4888000000.0,4888000000.0,4888000000.0,4888000000.0,6258000000.0,6258000000.0,6258000000.0,6258000000.0,5688000000.0,5688000000.0,5688000000.0,5688000000.0,7169000000.0,,,,,,7169000000.0,,,7169000000.0,,7169000000.0,,,6151000000.0,,,,6866000000.0,,,,,7464000000.0,,7598000000.0,,,9822000000.0,,9822000000.0,9822000000.0,,,9822000000.0,,9630000000.0,,9630000000.0,,,9630000000.0,,9630000000.0,,8722000000.0,,8722000000.0,,,,8722000000.0,,8722000000.0,9751000000.0,,,,9751000000.0,,9751000000.0,,,9751000000.0,
BusinessExitCosts1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92000000.0,,,,,,,,,,,,,,,,303000000.0,
CashAndCashEquivalentsAtCarryingValue / USD,250000000.0,42000000.0,1004000000.0,1004000000.0,1004000000.0,250000000.0,978000000.0,978000000.0,978000000.0,1004000000.0,716000000.0,716000000.0,716000000.0,978000000.0,1071000000.0,1071000000.0,978000000.0,1071000000.0,716000000.0,1145000000.0,1145000000.0,1145000000.0,1071000000.0,438000000.0,438000000.0,438000000.0,1145000000.0,688000000.0,688000000.0,688000000.0,438000000.0,349000000.0,349000000.0,349000000.0,688000000.0,318000000.0,318000000.0,318000000.0,349000000.0,270000000.0,,,,,,360000000.0,,,406000000.0,,270000000.0,,,270000000.0,,,,437000000.0,,,,,1365000000.0,,484000000.0,,,2406000000.0,,877000000.0,1613000000.0,,,1420000000.0,,2956000000.0,,1151000000.0,,,1056000000.0,,2507000000.0,,654000000.0,,543000000.0,,,,699000000.0,,1031000000.0,1484000000.0,,,,2182000000.0,,2569000000.0,,,573000000.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000000.0,,,270000000.0,,318000000.0,,,318000000.0,,,,484000000.0,,,,,484000000.0,,270000000.0,,,1466000000.0,,1466000000.0,1466000000.0,,,484000000.0,,2637000000.0,,2637000000.0,,,2637000000.0,,1466000000.0,,1031000000.0,,1031000000.0,,,,1031000000.0,,2637000000.0,573000000.0,,,,573000000.0,,573000000.0,,,1031000000.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000000.0,,,136000000.0,,-48000000.0,,,-48000000.0,,,,35000000.0,,,,,963000000.0,,214000000.0,,,969000000.0,,-494000000.0,342000000.0,,,982000000.0,,491000000.0,,-1422000000.0,,,-1581000000.0,,1171000000.0,,-377000000.0,,-488000000.0,,,,-332000000.0,,-1606000000.0,911000000.0,,,,1609000000.0,,1996000000.0,,,-458000000.0,
ComprehensiveIncomeNetOfTax / USD,,,168000000.0,326000000.0,564000000.0,,290000000.0,474000000.0,666000000.0,,160000000.0,361000000.0,404000000.0,671000000.0,162000000.0,238000000.0,671000000.0,458000000.0,599000000.0,246000000.0,472000000.0,739000000.0,733000000.0,332000000.0,618000000.0,952000000.0,825000000.0,453000000.0,895000000.0,1377000000.0,1277000000.0,578000000.0,927000000.0,1373000000.0,1813000000.0,1633000000.0,1950000000.0,2453000000.0,1835000000.0,548000000.0,,,,,,996000000.0,,,1662000000.0,,2980000000.0,,,2926000000.0,,,,768000000.0,,,,,1307000000.0,,1878000000.0,,,544000000.0,,972000000.0,1746000000.0,,,1999000000.0,,1121000000.0,,1978000000.0,,,2617000000.0,,3054000000.0,,398000000.0,,322000000.0,,,,-130000000.0,,3113000000.0,162000000.0,,,,260000000.0,,408000000.0,,,-611000000.0,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,-1000000.0,-4000000.0,-10000000.0,,-4000000.0,-7000000.0,-15000000.0,,0.0,0.0,-3000000.0,-17000000.0,-5000000.0,6000000.0,-17000000.0,2000000.0,-7000000.0,-2000000.0,-5000000.0,-7000000.0,0.0,1000000.0,2000000.0,3000000.0,-8000000.0,0.0,2000000.0,3000000.0,4000000.0,1000000.0,2000000.0,3000000.0,4000000.0,1000000.0,2000000.0,3000000.0,4000000.0,1000000.0,,,,,,5000000.0,,,10000000.0,,3000000.0,,,3000000.0,,,,7000000.0,,,,,7000000.0,,13000000.0,,,5000000.0,,6000000.0,10000000.0,,,10000000.0,,5000000.0,,9000000.0,,,12000000.0,,13000000.0,,4000000.0,,10000000.0,,,,-8000000.0,,11000000.0,15000000.0,,,,11000000.0,,15000000.0,,,-1000000.0,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,167000000.0,322000000.0,554000000.0,,286000000.0,467000000.0,651000000.0,,160000000.0,361000000.0,401000000.0,654000000.0,157000000.0,244000000.0,654000000.0,460000000.0,592000000.0,244000000.0,467000000.0,732000000.0,733000000.0,333000000.0,620000000.0,955000000.0,817000000.0,453000000.0,897000000.0,1380000000.0,1281000000.0,579000000.0,929000000.0,1376000000.0,1817000000.0,1634000000.0,1952000000.0,2456000000.0,1839000000.0,549000000.0,,,,,,1001000000.0,,,1672000000.0,,2983000000.0,,,2929000000.0,,,,775000000.0,,,,,1314000000.0,,1891000000.0,,,549000000.0,,978000000.0,1756000000.0,,,2009000000.0,,1126000000.0,,1987000000.0,,,2629000000.0,,3067000000.0,,402000000.0,,332000000.0,,,,-138000000.0,,3124000000.0,177000000.0,,,,271000000.0,,423000000.0,,,-612000000.0,
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24383000000.0,32184000000.0,8786000000.0,17544000000.0,26296000000.0,33198000000.0,8838000000.0,,,,,,18089000000.0,,,27638000000.0,,34956000000.0,,,34956000000.0,,,,19242000000.0,,,,,27951000000.0,,37383000000.0,,,9283000000.0,,19330000000.0,30188000000.0,,,37801000000.0,,10918000000.0,,22300000000.0,,,34184000000.0,,40523000000.0,,12292000000.0,,24898000000.0,,,,37361000000.0,,46614000000.0,12496000000.0,,,,24702000000.0,,37177000000.0,,,50250000000.0,
CurrentIncomeTaxExpenseBenefit / USD,,33000000.0,,,,40000000.0,,,,420000000.0,,,,254000000.0,,,254000000.0,,211000000.0,,,,421000000.0,,,,501000000.0,,,,659000000.0,,,,742000000.0,,,,889000000.0,,,,,,,,,,,,583000000.0,,,583000000.0,,,,,,,,,,,304000000.0,,,,,,,,,575000000.0,,,,,,,,,1106000000.0,,,,,,,,,,636000000.0,,,,,,,,,,154000000.0,
DebtAndCapitalLeaseObligations / USD,,3477000000.0,2536000000.0,2536000000.0,2536000000.0,2536000000.0,2182000000.0,2182000000.0,2182000000.0,2182000000.0,2432000000.0,2432000000.0,2432000000.0,2432000000.0,2408000000.0,2408000000.0,2432000000.0,2408000000.0,2408000000.0,8178000000.0,8178000000.0,8178000000.0,8178000000.0,6725000000.0,6725000000.0,6725000000.0,6690000000.0,6279000000.0,6279000000.0,6279000000.0,6279000000.0,10203000000.0,10203000000.0,10203000000.0,10203000000.0,9873000000.0,9873000000.0,9873000000.0,9873000000.0,11932000000.0,,,,,,11932000000.0,,,11932000000.0,,11932000000.0,,,11932000000.0,,,,11339000000.0,,,,,11339000000.0,,11339000000.0,,,9348000000.0,,9348000000.0,9348000000.0,,,9348000000.0,,8321000000.0,,8321000000.0,,,8321000000.0,,8321000000.0,,9506000000.0,,9506000000.0,,,,9506000000.0,,9506000000.0,9787000000.0,,,,9787000000.0,,9787000000.0,,,9787000000.0,
DebtCurrent / USD,219000000.0,219000000.0,401000000.0,401000000.0,401000000.0,401000000.0,70000000.0,,,70000000.0,515000000.0,515000000.0,515000000.0,515000000.0,513000000.0,513000000.0,515000000.0,513000000.0,513000000.0,643000000.0,643000000.0,643000000.0,643000000.0,715000000.0,715000000.0,715000000.0,715000000.0,79000000.0,79000000.0,79000000.0,79000000.0,906000000.0,906000000.0,906000000.0,906000000.0,1911000000.0,1911000000.0,1911000000.0,1911000000.0,2102000000.0,,,,,,2102000000.0,,,2102000000.0,,2102000000.0,,,2102000000.0,,,,548000000.0,,,,,548000000.0,,548000000.0,,,1067000000.0,,1067000000.0,1067000000.0,,,1067000000.0,,459000000.0,,459000000.0,,,459000000.0,,459000000.0,,1895000000.0,,1895000000.0,,,,1895000000.0,,1895000000.0,74000000.0,,,,74000000.0,,74000000.0,,,74000000.0,
DebtInstrumentFairValue / USD,,3724000000.0,2770000000.0,2770000000.0,2770000000.0,2770000000.0,2334000000.0,2334000000.0,2334000000.0,2334000000.0,2596000000.0,2596000000.0,2596000000.0,2596000000.0,2541000000.0,2541000000.0,2596000000.0,2541000000.0,2541000000.0,8347000000.0,8347000000.0,8347000000.0,8347000000.0,6900000000.0,6900000000.0,6900000000.0,6900000000.0,6698000000.0,6698000000.0,6698000000.0,6698000000.0,10591000000.0,10591000000.0,10591000000.0,10591000000.0,9775000000.0,9775000000.0,9775000000.0,9775000000.0,12978000000.0,,,,,,12978000000.0,,,12978000000.0,,12978000000.0,,,12978000000.0,,,,12982000000.0,,,,,12982000000.0,,12982000000.0,,,10810000000.0,,10810000000.0,10810000000.0,,,10810000000.0,,7762000000.0,,7762000000.0,,,7762000000.0,,7762000000.0,,8693000000.0,,8693000000.0,,,,8693000000.0,,8693000000.0,9638000000.0,,,,9638000000.0,,9638000000.0,,,9638000000.0,
DebtInstrumentRepurchaseAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,
DebtInstrumentUnamortizedDiscount / USD,,132000000.0,105000000.0,105000000.0,105000000.0,105000000.0,76000000.0,76000000.0,76000000.0,76000000.0,28000000.0,28000000.0,28000000.0,28000000.0,6000000.0,6000000.0,28000000.0,6000000.0,6000000.0,12000000.0,12000000.0,12000000.0,12000000.0,10000000.0,10000000.0,10000000.0,10000000.0,8000000.0,8000000.0,8000000.0,8000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,48000000.0,,,,,,48000000.0,,,48000000.0,,48000000.0,,,48000000.0,,,,45000000.0,,,,,45000000.0,,45000000.0,,,42000000.0,,42000000.0,42000000.0,,,42000000.0,,39000000.0,,39000000.0,,,39000000.0,,39000000.0,,36000000.0,,36000000.0,,,,36000000.0,,36000000.0,36000000.0,,,,36000000.0,,36000000.0,,,36000000.0,
DeferredFinanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,29000000.0,29000000.0,29000000.0,29000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,65000000.0,,,,,,65000000.0,,,65000000.0,,65000000.0,,,65000000.0,,,,60000000.0,,,,,60000000.0,,60000000.0,,,50000000.0,,50000000.0,50000000.0,,,50000000.0,,43000000.0,,43000000.0,,,43000000.0,,43000000.0,,40000000.0,,40000000.0,,,,40000000.0,,40000000.0,46000000.0,,,,46000000.0,,46000000.0,,,46000000.0,
DeferredIncomeTaxExpenseBenefit / USD,-26000000.0,35000000.0,3000000.0,1000000.0,-4000000.0,-33000000.0,39000000.0,60000000.0,51000000.0,18000000.0,24000000.0,53000000.0,75000000.0,86000000.0,-9000000.0,-24000000.0,86000000.0,-21000000.0,140000000.0,-15000000.0,-24000000.0,-64000000.0,-12000000.0,11000000.0,12000000.0,16000000.0,-105000000.0,69000000.0,85000000.0,61000000.0,38000000.0,-4000000.0,-28000000.0,-25000000.0,84000000.0,-967000000.0,-938000000.0,-920000000.0,-39000000.0,18000000.0,,,,,,4000000.0,,,43000000.0,,-865000000.0,,,-874000000.0,,,,32000000.0,,,,,12000000.0,,77000000.0,,,17000000.0,,27000000.0,-3000000.0,,,18000000.0,,77000000.0,,98000000.0,,,149000000.0,,-125000000.0,,8000000.0,,-29000000.0,,,,-54000000.0,,264000000.0,-14000000.0,,,,-21000000.0,,6000000.0,,,-183000000.0,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,3032000000.0,,,,3021000000.0,,,,3095000000.0,,,,3597000000.0,,,,2440000000.0,,,,,,,,,,,,2746000000.0,,,2746000000.0,,,,,,,,,,,2933000000.0,,,,,,,,,2963000000.0,,,,,,,,,3076000000.0,,,,,,,,,,3021000000.0,,,,,,,,,,3126000000.0,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356000000.0,,,2356000000.0,,2356000000.0,,,2291000000.0,,,,2323000000.0,,,,,2308000000.0,,2317000000.0,,,2195000000.0,,2195000000.0,2195000000.0,,,2195000000.0,,2458000000.0,,2458000000.0,,,2458000000.0,,2458000000.0,,2308000000.0,,2308000000.0,,,,2308000000.0,,2308000000.0,2285000000.0,,,,2285000000.0,,2285000000.0,,,2285000000.0,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,
DeferredTaxAssetsGross / USD,,439000000.0,,,,436000000.0,,,,405000000.0,,,,393000000.0,,,393000000.0,,376000000.0,,,,695000000.0,,,,658000000.0,,,,626000000.0,,,,701000000.0,,,,420000000.0,,,,,,,,,,,,480000000.0,,,527000000.0,,,,,,,,,,,756000000.0,,,,,,,,,937000000.0,,,,,,,,,821000000.0,,,,,,,,,,920000000.0,,,,,,,,,,1061000000.0,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,103000000.0,,,,97000000.0,,,,97000000.0,,,,101000000.0,,,101000000.0,,77000000.0,,,,96000000.0,,,,97000000.0,,,,86000000.0,,,,97000000.0,,,,92000000.0,,,,,,,,,,,,99000000.0,,,99000000.0,,,,,,,,,,,137000000.0,,,,,,,,,167000000.0,,,,,,,,,198000000.0,,,,,,,,,,192000000.0,,,,,,,,,,198000000.0,
DeferredTaxAssetsOther / USD,,68000000.0,,,,108000000.0,,,,80000000.0,,,,69000000.0,,,69000000.0,,60000000.0,,,,125000000.0,,,,122000000.0,,,,140000000.0,,,,204000000.0,,,,98000000.0,,,,,,,,,,,,84000000.0,,,131000000.0,,,,,,,,,,,149000000.0,,,,,,,,,79000000.0,,,,,,,,,87000000.0,,,,,,,,,,193000000.0,,,,,,,,,,260000000.0,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,
