fact_unit,2014-05-09,2014-08-01,2014-10-31,2015-02-18,2015-04-29,2015-07-29,2015-10-28,2016-02-26,2016-04-27,2016-07-27,2016-10-26,2017-02-15,2017-05-02,2017-05-24,2017-07-26,2017-10-26,2018-02-14,2018-04-26,2018-07-25,2018-10-24,2019-02-13,2019-05-01,2019-07-24,2019-10-23,2020-02-11,2020-05-07,2020-08-06,2020-11-04,2021-02-17,2021-05-05,2021-07-29,2021-10-27,2022-02-16,2022-05-03,2022-07-27,2022-10-26,2023-02-09,2023-04-26,2023-07-26,2023-10-25,2024-02-07,2024-04-24,2024-08-07,2024-10-23,2025-02-06,2025-04-29,2025-07-23,2025-10-22
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,0.07,0.0,0.07,0.0,0.07,0.0,0.21,0.0,0.0,0.63,0.42,0.15,0.3,0.45,0.84,0.15,0.3,0.45,0.6,0.15,0.3,0.45,0.6,0.15,0.15,0.15,0.6,,0.0,0.0,0.15,0.0,0.15,0.3,0.0,0.15,0.3,0.45,0.45,0.15,0.3,0.45
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0
CommonStockSharesOutstanding / shares,984615364.0,984615364.0,984615364.0,984615364.0,984623863.0,984623863.0,984623863.0,984623863.0,987458360.0,987458360.0,987458360.0,329152787.0,329341992.0,329152787.0,329152787.0,329341992.0,329341992.0,317420933.0,317420933.0,317420933.0,317420933.0,294815890.0,294815890.0,294815890.0,294815890.0,278985125.0,278985125.0,278985125.0,278985125.0,277590904.0,277590904.0,277590904.0,277590904.0,279091009.0,279091009.0,279091009.0,279091009.0,267860301.0,267860301.0,267860301.0,267860301.0,253488288.0,253488288.0,253488288.0,253488288.0,241806421.0,241806421.0,241806421.0
CommonStockValueOutstanding / USD,,,,,,,,,,,,,,,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
ComprehensiveIncomeNetOfTax / USD,-135000000.0,4000000.0,378000000.0,435000000.0,151000000.0,410000000.0,381000000.0,557000000.0,-90000000.0,266000000.0,425000000.0,315000000.0,319000000.0,315000000.0,315000000.0,693000000.0,1248000000.0,67000000.0,267000000.0,473000000.0,121000000.0,222000000.0,377000000.0,535000000.0,1281000000.0,142000000.0,394000000.0,640000000.0,707000000.0,-41000000.0,-453000000.0,-504000000.0,823000000.0,-128000000.0,16000000.0,254000000.0,-735000000.0,271000000.0,645000000.0,1021000000.0,491000000.0,188000000.0,620000000.0,972000000.0,1328000000.0,247000000.0,654000000.0,1020000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,14000000.0,22000000.0,23000000.0,21000000.0,-1000000.0,2000000.0,10000000.0,63000000.0,0.0,6000000.0,10000000.0,14000000.0,-1000000.0,14000000.0,14000000.0,10000000.0,12000000.0,0.0,2000000.0,-3000000.0,-15000000.0,2000000.0,2000000.0,4000000.0,5000000.0,1000000.0,2000000.0,4000000.0,5000000.0,0.0,-2000000.0,-4000000.0,5000000.0,-1000000.0,-3000000.0,-4000000.0,-5000000.0,-1000000.0,-2000000.0,-3000000.0,-2000000.0,3000000.0,4000000.0,6000000.0,2000000.0,3000000.0,3000000.0,5000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,-121000000.0,26000000.0,401000000.0,456000000.0,150000000.0,412000000.0,391000000.0,620000000.0,-90000000.0,272000000.0,435000000.0,329000000.0,318000000.0,329000000.0,329000000.0,703000000.0,1260000000.0,67000000.0,269000000.0,476000000.0,136000000.0,224000000.0,379000000.0,539000000.0,1286000000.0,143000000.0,396000000.0,644000000.0,712000000.0,-41000000.0,-455000000.0,-508000000.0,828000000.0,-129000000.0,13000000.0,250000000.0,-740000000.0,270000000.0,643000000.0,1018000000.0,489000000.0,191000000.0,624000000.0,978000000.0,1330000000.0,250000000.0,657000000.0,1025000000.0
ConstructionInProgressGross / USD,67000000.0,67000000.0,67000000.0,67000000.0,53000000.0,53000000.0,53000000.0,53000000.0,80000000.0,80000000.0,80000000.0,80000000.0,,13000000.0,13000000.0,,14000000.0,,,,17000000.0,,,,24000000.0,,,,20000000.0,,,,7000000.0,,,,14000000.0,,,,24000000.0,,,,37000000.0,,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,1087000000.0,1087000000.0,1087000000.0,1087000000.0,1060000000.0,1060000000.0,1060000000.0,1060000000.0,1041000000.0,1041000000.0,1041000000.0,1041000000.0,1312000000.0,1312000000.0,1312000000.0,1312000000.0,1166000000.0,1166000000.0,1166000000.0,1166000000.0,1331000000.0,1331000000.0,1331000000.0,1331000000.0,1521000000.0,1521000000.0,1521000000.0,1521000000.0,1829000000.0,1829000000.0,1829000000.0
