fact_unit,2021-02-25,2021-05-06,2021-08-05,2021-11-04,2022-02-23,2022-05-04,2022-08-03,2022-11-02,2023-02-22,2023-05-03,2023-08-02,2023-11-01,2024-02-21,2024-05-08,2024-08-07,2024-11-06,2025-02-19,2025-05-07,2025-08-06,2025-11-05
AreaOfRealEstateProperty / acre,51931.0,57041.0,57041.0,57041.0,57041.0,57129.0,57129.0,57129.0,57129.0,57306.0,57306.0,57306.0,57306.0,69447.0,69447.0,69447.0,69447.0,74493.0,74493.0,74493.0
Assets / USD,598176000.0,571635000.0,571635000.0,571635000.0,571635000.0,764064000.0,764064000.0,764064000.0,764064000.0,877427000.0,877427000.0,877427000.0,877427000.0,1156398000.0,1156398000.0,1156398000.0,1156398000.0,1248020000.0,1248020000.0,1248020000.0
AssetsCurrent / USD,,334018000.0,334018000.0,334018000.0,332530000.0,526513000.0,526513000.0,526513000.0,526513000.0,633401000.0,633401000.0,633401000.0,633401000.0,862464000.0,862464000.0,862464000.0,862464000.0,503369000.0,503369000.0,503369000.0
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities / USD,,,,,,,,,,,,,,,,,4885000.0,14670000.0,14670000.0,14670000.0
CapitalizedCostsMineralInterestsInProvedProperties / USD,,,,,,,,,,,,,,,,,29222000.0,150984000.0,150984000.0,150984000.0
CapitalizedCostsMineralInterestsInUnprovedProperties / USD,,,,,,,,,,,,,,,,,22272000.0,296087000.0,296087000.0,296087000.0
CapitalizedCostsOilAndGasProducingActivitiesGross / USD,,,,,,,,,,,,,,,,,51494000.0,447071000.0,447071000.0,447071000.0
CapitalizedCostsOilAndGasProducingActivitiesNet / USD,,,,,,,,,,,,,,,,,46609000.0,432401000.0,432401000.0,432401000.0
CapitalizedCostsProvedProperties / USD,,,,,,,,,,,,,,,,,63500000.0,,,
CapitalizedCostsUnprovedProperties / USD,,,,,,,,,,,,,,,,,56800000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,303645000.0,281046000.0,281046000.0,281046000.0,281046000.0,428242000.0,428242000.0,428242000.0,428242000.0,510834000.0,510834000.0,510834000.0,510834000.0,725169000.0,725169000.0,725169000.0,725169000.0,369835000.0,369835000.0,369835000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,79580000.0,303645000.0,303645000.0,303645000.0,123446000.0,283024000.0,283024000.0,283024000.0,303645000.0,428242000.0,428242000.0,428242000.0,283024000.0,517182000.0,517182000.0,517182000.0,428242000.0,730549000.0,730549000.0,730549000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,43866000.0,-79902000.0,-45281000.0,12114000.0,180199000.0,29609000.0,46856000.0,89737000.0,-20621000.0,79114000.0,-38448000.0,18346000.0,145218000.0,80194000.0,94265000.0,142356000.0,88940000.0,106551000.0,164155000.0,-196635000.0
CommitmentsAndContingencies / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,1.08,4.33,1.17,1.17,1.17
CommonStockDividendsShares / shares,,,,,,,,,,,,,,2.0,2.0,2.0,,,,
CommonStockParOrStatedValuePerShare / USD/shares,0.0333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,7756156.0,46536936.0,46536936.0,46536936.0,7756156.0,46536936.0,46536936.0,46536936.0
CommonStockSharesOutstanding / shares,7756156.0,7756156.0,7754523.0,7748344.0,7744695.0,7744695.0,7744695.0,7744695.0,7744695.0,7695679.0,7695679.0,7695679.0,7695679.0,23007681.0,23007681.0,23007681.0,23007681.0,22971803.0,22971803.0,22971803.0
CommonStockValue / USD,0.0,78000.0,78000.0,0.0,0.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,78000.0,231000.0,231000.0,231000.0
ComprehensiveIncomeNetOfTax / USD,209642000.0,57414000.0,85011000.0,131298000.0,318345000.0,50080000.0,107155000.0,191021000.0,174817000.0,97908000.0,216810000.0,346655000.0,271666000.0,86543000.0,186910000.0,292458000.0,449885000.0,114396000.0,228964000.0,335537000.0
ContractWithCustomerLiabilityCurrent / USD,,3997000.0,3997000.0,3997000.0,3997000.0,3809000.0,3809000.0,3809000.0,3809000.0,4488000.0,4488000.0,4488000.0,4488000.0,6330000.0,6330000.0,6330000.0,6330000.0,6797000.0,6797000.0,6797000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,22171000.0,20449000.0,20449000.0,20449000.0,20449000.0,21708000.0,21708000.0,21708000.0,21708000.0,25006000.0,25006000.0,25006000.0,25006000.0,20636000.0,20636000.0,20636000.0
CostsAndExpenses / USD,39386000.0,26052000.0,48596000.0,66231000.0,90923000.0,22133000.0,46795000.0,67248000.0,85303000.0,23022000.0,47584000.0,76640000.0,88565000.0,41410000.0,81739000.0,112748000.0,105115000.0,38101000.0,77213000.0,123445000.0
CostsIncurredAcquisitionOfOilAndGasProperties / USD,,,,,,,,,,,,,,,,,1662000.0,,,
CostsIncurredAcquisitionOfOilAndGasPropertiesWithProvedReserves / USD,,,,,,,,,,,,,,,,,1258000.0,,,
CostsIncurredAcquisitionOfUnprovedOilAndGasProperties / USD,,,,,,,,,,,,,,,,,404000.0,,,
CurrentFederalTaxExpenseBenefit / USD,35593000.0,,,,55562000.0,,,,44395000.0,,,,90920000.0,,,,117395000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,37200000.0,14022000.0,,,57492000.0,,,,46002000.0,,,,93265000.0,,,,121230000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,1607000.0,,,,1930000.0,,,,1607000.0,,,,2345000.0,,,,3835000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,14814000.0,-55000.0,,,26035000.0,,,,-2389000.0,,,,-228000.0,,,,1263000.0,,,
DeferredIncomeTaxLiabilities / USD,44568000.0,,,,44813000.0,,,,44151000.0,,,,48076000.0,,,,51939000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,40827000.0,38728000.0,38728000.0,38728000.0,38728000.0,38948000.0,38948000.0,38948000.0,38948000.0,41151000.0,41151000.0,41151000.0,41151000.0,42365000.0,42365000.0,42365000.0,42365000.0,47401000.0,47401000.0,47401000.0
DeferredTaxAssetsDeferredIncome / USD,3741000.0,,,,5633000.0,,,,5050000.0,,,,5621000.0,,,,6717000.0,,,
DeferredTaxAssetsGross / USD,3741000.0,,,,6085000.0,,,,5203000.0,,,,6925000.0,,,,9574000.0,,,
DeferredTaxAssetsOther / USD,,,,,0.0,,,,25000.0,,,,48000.0,,,,760000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,,,,,,0.0,,,,1256000.0,,,,2097000.0,,,
DeferredTaxLiabilities / USD,40827000.0,,,,38728000.0,,,,38948000.0,,,,41151000.0,,,,42365000.0,,,
DeferredTaxLiabilitiesOther / USD,10000.0,,,,5000.0,,,,,,,,0.0,,,,425000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,17030000.0,,,,16314000.0,,,,16037000.0,,,,16958000.0,,,,17532000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax / USD,1849000.0,,,,3409000.0,,,,1275000.0,,,,-3189000.0,,,,-2319000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax / USD,-1849000.0,,,,-3409000.0,,,,-1275000.0,,,,3189000.0,,,,2319000.0,,,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,1041000.0,,,,161000.0,,,,874000.0,,,,-947000.0,,,,725000.0,,,
DefinedBenefitPlanActuarialGainLoss / USD,-1208000.0,,,,-1333000.0,,,,1637000.0,,,,6111000.0,,,,658000.0,,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,-64000.0,,,,-46000.0,,,,-66000.0,,,,-144000.0,,,,-41000.0,,,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,38000.0,,,,-2150000.0,,,,-611000.0,,,,3473000.0,,,,3648000.0,,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,38000.0,,,,0.0,,,,0.0,,,,3473000.0,,,,3648000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,0.0425,,,,0.0325,,,,0.0275,,,,0.03,,,,0.0525,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease / pure,0.0729,,,,0.0729,,,,0.0729,,,,0.0729,,,,0.0729,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,0.0375,,,,0.0425,,,,0.0325,,,,0.0275,,,,0.03,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets / pure,0.07,,,,0.07,,,,0.07,,,,0.07,,,,0.07,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease / pure,0.0729,,,,0.0729,,,,0.0729,,,,0.0729,,,,0.0729,,,
DefinedBenefitPlanBenefitObligation / USD,4745000.0,,,,6577000.0,,,,9717000.0,,,,11324000.0,,,,8177000.0,,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,239000.0,,,,238000.0,,,,245000.0,,,,242000.0,,,,242000.0,,,
DefinedBenefitPlanContributionsByEmployer / USD,500000.0,,,,1029000.0,,,,2517000.0,,,,2126000.0,,,,2068000.0,,,
DefinedBenefitPlanCurtailments / USD,,,,,,,,,,,,,,,,,0.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,1430000.0,,,,1541000.0,,,,1873000.0,,,,2059000.0,,,,611000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,260000.0,,,,250000.0,,,,254000.0,,,,261000.0,,,,32000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,244000.0,,,,238000.0,,,,258000.0,,,,329000.0,,,,93000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,249000.0,,,,239000.0,,,,247000.0,,,,263000.0,,,,93000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,254000.0,,,,243000.0,,,,247000.0,,,,257000.0,,,,43000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo / USD,256000.0,,,,246000.0,,,,251000.0,,,,257000.0,,,,37000.0,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,367000.0,,,,364000.0,,,,454000.0,,,,521000.0,,,,741000.0,142000.0,285000.0,428000.0
DefinedBenefitPlanFairValueOfPlanAssets / USD,5313000.0,,,,6615000.0,,,,7567000.0,,,,10713000.0,,,,11650000.0,,,
DefinedBenefitPlanFairValueOfPlanAssetsPeriodIncreaseDecrease / USD,1000000.0,,,,-700000.0,,,,-6000000.0,,,,600000.0,,,,-1900000.0,,,
DefinedBenefitPlanFundedStatusOfPlan / USD,38000.0,,,,-2150000.0,,,,-611000.0,,,,3473000.0,,,,3648000.0,,,
DefinedBenefitPlanInterestCost / USD,183000.0,,,,197000.0,,,,210000.0,,,,264000.0,,,,336000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,37000.0,,,,545000.0,,,,1657000.0,,,,3112000.0,,,,2506000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,5056000.0,,,,6348000.0,,,,7009000.0,,,,5277000.0,,,,6417000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,6615000.0,,,,7567000.0,,,,10713000.0,,,,11650000.0,,,,14201000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation / USD,6577000.0,,,,9717000.0,,,,11324000.0,,,,8177000.0,,,,10553000.0,,,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,239000.0,,,,238000.0,,,,245000.0,,,,242000.0,,,,242000.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments / USD,,,,,,,,,,,,,,,,,0.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1 / USD,,,,,,,,,,,,,,,,,0.0,,,
DefinedBenefitPlanServiceCost / USD,157000.0,,,,666000.0,,,,1835000.0,,,,3225000.0,,,,2870000.0,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,100000.0,,,,300000.0,,,,500000.0,,,,600000.0,,,,700000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch / pure,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,
Depletion / USD,0.0,,,,300000.0,,400000.0,500000.0,400000.0,200000.0,500000.0,700000.0,1300000.0,300000.0,900000.0,1400000.0,1000000.0,500000.0,1000000.0,2900000.0
Depreciation / USD,2600000.0,3200000.0,6800000.0,10300000.0,8500000.0,3600000.0,7200000.0,10900000.0,13800000.0,3800000.0,7700000.0,11400000.0,14800000.0,3000000.0,6300000.0,9300000.0,14200000.0,3100000.0,6200000.0,9700000.0
DepreciationAmortizationAndAccretionNet / USD,2583000.0,3335000.0,7013000.0,10773000.0,8906000.0,3838000.0,7696000.0,11562000.0,14395000.0,4126000.0,8306000.0,12223000.0,16257000.0,3404000.0,7297000.0,10881000.0,15376000.0,3840000.0,,
DepreciationDepletionAndAmortization / USD,2583000.0,3335000.0,7013000.0,10773000.0,8906000.0,3838000.0,7696000.0,11562000.0,14395000.0,4126000.0,8306000.0,12223000.0,16257000.0,3404000.0,7297000.0,10881000.0,15376000.0,3840000.0,7933000.0,13695000.0
DividendsCash / USD,8206000.0,124098000.0,124098000.0,124098000.0,13576000.0,21329000.0,,,77561000.0,,,,85264000.0,,,25061000.0,92737000.0,26907000.0,26907000.0,26907000.0
DividendsPayableCurrent / USD,,,,,,,,,,,,,,,,,,15000.0,,
DividendsStock / USD,,,,,,,,,0.0,,,,0.0,,,,198000.0,,,
EarningsPerShareBasic / USD/shares,,,10.96,16.92,41.09,6.45,13.81,24.62,22.7,12.65,28.02,44.84,34.83,3.75,8.1,12.69,19.27,4.97,9.96,14.6
EarningsPerShareDiluted / USD/shares,,,10.96,16.92,41.09,6.45,13.81,24.62,22.7,12.64,28.01,44.82,34.83,3.75,8.1,12.68,19.26,4.97,9.95,14.58
EffectiveIncomeTaxRateContinuingOperations / pure,,0.196,0.2,0.201,0.208,0.193,0.199,0.196,0.199,0.213,0.217,0.213,0.256,0.215,0.213,0.215,0.215,0.216,0.217,0.216
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions / USD,,,,,,10800000.0,9000000.0,10100000.0,8600000.0,17100000.0,14200000.0,11400000.0,8600000.0,16600000.0,14100000.0,11600000.0,10500000.0,22700000.0,19200000.0,15600000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,300000.0,700000.0,1200000.0,1800000.0,300000.0,700000.0,1200000.0,1800000.0,500000.0,1100000.0,1700000.0,1800000.0,700000.0,1300000.0,1900000.0
EntityCommonStockSharesOutstanding / shares,7756156.0,7756156.0,7752464.0,7746141.0,7745375.0,7741720.0,7722371.0,7704496.0,7695496.0,7692178.0,7677756.0,7674867.0,7668422.0,22989755.0,22980620.0,22974914.0,22984798.0,22987326.0,22987326.0,22979410.0
EntityPublicFloat / USD,4508900000.0,,,,9000000000.0,,,,8500000000.0,,,,7500000000.0,,,,10900000000.0,,,
EscrowDeposit / USD,0.0,1978000.0,1978000.0,1978000.0,1978000.0,,,,0.0,6348000.0,6348000.0,6348000.0,6348000.0,5380000.0,5380000.0,5380000.0,5380000.0,1546000.0,1546000.0,1546000.0
ExtensionsDiscoveriesAdditionsAndImprovedRecoveryLessRelatedCosts / USD,,,,,,,,,,,,,,,,,486327000.0,,,
FairValueOfAssetsAcquired / USD,,,,,,0.0,0.0,0.0,0.0,4174000.0,4174000.0,4174000.0,0.0,,,,4174000.0,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,,,,,,,,0.0,0.0,378000.0,378000.0,378000.0,378000.0,1915000.0,1915000.0,1915000.0
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive / USD,,,,,,,,,,,,15400000.0,15500000.0,14300000.0,14300000.0,23700000.0,23478000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0,2342000.0,2342000.0,2342000.0,2342000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,,,,,,400000.0,,900000.0,600000.0,600000.0,,1756000.0,1171000.0,585000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0,2342000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0,2342000.0,2342000.0,2342000.0,2342000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0,2342000.0,2342000.0,2342000.0,2342000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,,,,,,,,1100000.0,1100000.0,1100000.0,1100000.0,2300000.0,2342000.0,2342000.0,2342000.0,2342000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,,,,,,,,0.0,0.0,21403000.0,21403000.0,21403000.0,21403000.0,37103000.0,37103000.0,37103000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,,,,,,,,0.0,0.0,21025000.0,21025000.0,21025000.0,21025000.0,35188000.0,35188000.0,35188000.0
FutureNetCashFlowsRelatingToProvedOilAndGasReservesCashInflows / USD,,,,,,,,,,,,,,,,,2662176000.0,,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesIncomeTaxExpense / USD,,,,,,,,,,,,,,,,,528926000.0,,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesNetCashFlows / USD,,,,,,,,,,,,,,,,,1927767000.0,,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesProductionCosts / USD,,,,,,,,,,,,,,,,,205483000.0,,,
FutureNetCashFlowsRelatingToProvedOilAndGasReservesTenPercentAnnualDiscountForEstimatedTimingOfCashFlows / USD,,,,,,,,,,,,,,,,,932146000.0,,,
GeneralAndAdministrativeExpense / USD,4685000.0,2959000.0,5407000.0,7290000.0,9540000.0,2806000.0,5647000.0,8491000.0,9751000.0,2967000.0,6641000.0,9761000.0,11638000.0,3552000.0,6879000.0,10738000.0,22020000.0,9231000.0,15211000.0,27731000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,261750000.0,71368000.0,106291000.0,164325000.0,402255000.0,62027000.0,133703000.0,237456000.0,219662000.0,124389000.0,276727000.0,440702000.0,363017000.0,110341000.0,237492000.0,372429000.0,568855000.0,145984000.0,292426000.0,427843000.0
IncomeTaxExpenseBenefit / USD,52014000.0,13967000.0,21307000.0,33067000.0,83527000.0,11975000.0,26605000.0,46521000.0,43613000.0,26489000.0,59933000.0,94071000.0,93037000.0,23773000.0,50531000.0,79894000.0,122493000.0,31567000.0,63420000.0,92243000.0
IncomeTaxReconciliationChangeInEnactedTaxRate / USD,,,,,0.0,,,,0.0,,,,12975000.0,,,,805000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,54968000.0,,,,84473000.0,,,,46129000.0,,,,76234000.0,,,,119460000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,0.0,,,,1302000.0,,,,789000.0,,,,1687000.0,,,,1146000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,-12000.0,,,,503000.0,,,,31000.0,,,,-55000.0,,,,-364000.0,,,
IncomeTaxReconciliationPriorYearIncomeTaxes / USD,0.0,,,,755000.0,,,,7000.0,,,,18000.0,,,,-13000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,1243000.0,,,,1657000.0,,,,1234000.0,,,,1740000.0,,,,3045000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,,,,,,,,,,,0.0,,,
IncomeTaxesPaidNet / USD,45876000.0,4600000.0,25300000.0,35719000.0,44439000.0,0.0,27613000.0,44113000.0,46619000.0,6000000.0,67324000.0,115609000.0,68223000.0,0.0,44396000.0,74984000.0,151956000.0,0.0,66557000.0,96648000.0
IncreaseDecreaseInAccruedIncomeTaxesPayable / USD,756000.0,9426000.0,-3286000.0,-2555000.0,3664000.0,12129000.0,-611000.0,3063000.0,-1217000.0,20897000.0,-6433000.0,-20821000.0,25029000.0,19263000.0,1984000.0,1114000.0,-25916000.0,31808000.0,-3904000.0,-2578000.0
IncreaseDecreaseInContractWithCustomerLiability / USD,5024000.0,,,,4012000.0,,,,8787000.0,,,,-1910000.0,,,,1938000.0,,,
IncreaseDecreaseInDeferredIncomeTaxes / USD,-14789000.0,55000.0,700000.0,86000.0,-25924000.0,147000.0,382000.0,632000.0,2099000.0,406000.0,953000.0,840000.0,-220000.0,306000.0,673000.0,1034000.0,-1263000.0,331000.0,-756000.0,-2163000.0
IncreaseDecreaseInEstimatedFutureDevelopmentCosts / USD,,,,,,,,,,,,,,,,,401411000.0,,,
IncreaseDecreaseInFutureIncomeTaxExpenseEstimatesOnFutureCashFlowsRelatedToProvedOilAndGasReserves / USD,,,,,,,,,,,,,,,,,-103905000.0,,,
IncreaseDecreaseInOtherOperatingAssets / USD,,5377000.0,-17028000.0,-25043000.0,,13657000.0,18126000.0,35377000.0,-18828000.0,12959000.0,35472000.0,45065000.0,47603000.0,2076000.0,14477000.0,19554000.0,13833000.0,-5602000.0,-10016000.0,-5806000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,,3909000.0,-896000.0,-1159000.0,7960000.0,172000.0,814000.0,4961000.0,-6291000.0,-3328000.0,9668000.0,16901000.0,3152000.0,640000.0,8040000.0,9995000.0,10015000.0,-11446000.0,-4328000.0,4423000.0
IncreaseDecreaseInPrepaidTaxes / USD,8196000.0,,,,-9398000.0,,,,0.0,0.0,0.0,0.0,0.0,-4809000.0,-4809000.0,-4809000.0,4809000.0,,,4002000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,,0.0,0.0,0.0,0.0,0.0,1345.0,2333.0,3639.0,27.0,15942.0,15587.0,18882.0,14556.0,17248.0,22827.0,26520.0
IntangibleAssetsNetExcludingGoodwill / USD,,,,,,,,,,,,0.0,0.0,21025000.0,21025000.0,21025000.0,21025000.0,35188000.0,35188000.0,35188000.0
LaborAndRelatedExpense / USD,18433000.0,10620000.0,19557000.0,27235000.0,35041000.0,9979000.0,23250000.0,31792000.0,32173000.0,9385000.0,18973000.0,29670000.0,40012000.0,10593000.0,21189000.0,32688000.0,41402000.0,12461000.0,25232000.0,39262000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,3097000.0,,,,2301000.0,,,,3017000.0,,,,2183000.0,,,,1329000.0,,,25438000.0
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,796000.0,,,,697000.0,,,,834000.0,,,,854000.0,,,,826000.0,,,1613000.0
