fact_unit,2014-08-08,2014-11-07,2015-03-12,2015-05-15,2015-08-07,2015-11-06,2016-02-25,2016-05-05,2016-08-05,2016-11-03,2017-02-17,2017-05-08,2017-08-04,2017-11-03,2018-02-20,2018-05-04,2018-08-08,2018-11-05,2019-02-15,2019-05-06,2019-08-02,2019-11-01,2020-02-14,2020-05-06,2020-08-05,2020-11-03,2021-02-19,2021-05-06,2021-08-03,2021-11-02,2022-02-15,2022-05-03,2022-08-02,2022-11-01,2023-02-14,2023-05-02,2023-08-01,2023-10-31,2024-02-13,2024-05-08,2024-07-31,2024-11-08,2025-02-19,2025-05-07,2025-08-06,2025-11-05
AvailableForSaleSecuritiesDebtSecuritiesCurrent / USD,,,0.0,0.0,209426000.0,209426000.0,209426000.0,0.0,0.0,0.0,0.0,299910000.0,299910000.0,299910000.0,299910000.0,676363000.0,676363000.0,676363000.0,676363000.0,1306197000.0,1306197000.0,1306197000.0,1306197000.0,1613082000.0,1613082000.0,1613082000.0,1613082000.0,1979649000.0,1979649000.0,1979649000.0,1979649000.0,2787502000.0,2787502000.0,2787502000.0,2787502000.0,2352022000.0,2352022000.0,2352022000.0,2352022000.0,3069362000.0,3069362000.0,3069362000.0,3069362000.0,5541100000.0,5541100000.0,5541100000.0
CashAndCashEquivalentsAtCarryingValue / USD,88655000.0,88655000.0,70725000.0,70725000.0,113664000.0,113664000.0,88655000.0,240031000.0,240031000.0,240031000.0,113664000.0,687326000.0,687326000.0,687326000.0,240031000.0,746567000.0,823475000.0,854479000.0,567923000.0,886160000.0,711157000.0,524687000.0,649950000.0,809491000.0,944414000.0,1095265000.0,1111286000.0,893219000.0,893219000.0,893219000.0,893219000.0,620813000.0,620813000.0,620813000.0,620813000.0,671707000.0,671707000.0,671707000.0,671707000.0,1938606000.0,1938606000.0,1938606000.0,1938606000.0,2762400000.0,2762400000.0,2762400000.0
CashAndCashEquivalentsFairValueDisclosure / USD,,,,,,,,,,,,,,,,,713873000.0,713873000.0,713873000.0,472840000.0,322080000.0,322080000.0,566581000.0,566581000.0,566581000.0,566581000.0,566581000.0,,,,,,221382000.0,221382000.0,221382000.0,397261000.0,397261000.0,397261000.0,397261000.0,1017704000.0,1017704000.0,1017704000.0,1017704000.0,1741900000.0,1741900000.0,1741900000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,572168000.0,572168000.0,572168000.0,691367000.0,864697000.0,864697000.0,864697000.0,572168000.0,654164000.0,654164000.0,654164000.0,864697000.0,1115515000.0,1115515000.0,1115515000.0,654164000.0,897454000.0,897454000.0,897454000.0,1115515000.0,625050000.0,625050000.0,625050000.0,897454000.0,675978000.0,675978000.0,675978000.0,625050000.0,1939500000.0,1939500000.0,1939500000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,179896000.0,256806000.0,287813000.0,-119199000.0,26971000.0,-148028000.0,-335800000.0,292529000.0,159545000.0,294472000.0,445327000.0,-210533000.0,-349875000.0,-311026000.0,-140933000.0,461351000.0,-49882000.0,470000.0,-262236000.0,-218061000.0,14233000.0,-127546000.0,95463000.0,-272404000.0,284647000.0,586714000.0,1073698000.0,50928000.0,153500000.0,490400000.0,1237000000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
CommonStockSharesAuthorized / shares,176000000.0,176000000.0,176000000.0,176000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0
CommonStockSharesIssued / shares,31927000.0,31927000.0,31927000.0,31927000.0,65528000.0,65528000.0,65528000.0,68132000.0,68132000.0,68132000.0,68132000.0,70811000.0,70811000.0,70811000.0,70811000.0,73706000.0,73706000.0,73706000.0,73706000.0,75668000.0,75668000.0,75668000.0,75668000.0,76389000.0,76389000.0,76389000.0,76389000.0,76174000.0,76174000.0,76174000.0,304696000.0,307681000.0,307681000.0,307681000.0,307681000.0,306890000.0,306890000.0,306890000.0,306890000.0,312245000.0,312245000.0,312245000.0,1248982000.0,1261300000.0,1261300000.0,1261300000.0
CommonStockSharesOutstanding / shares,31927000.0,31927000.0,31927000.0,31927000.0,65528000.0,65528000.0,65528000.0,68132000.0,68132000.0,68132000.0,68132000.0,70811000.0,70811000.0,70811000.0,70811000.0,73706000.0,73706000.0,73706000.0,73706000.0,75668000.0,75668000.0,75668000.0,75668000.0,76389000.0,76389000.0,76389000.0,76389000.0,76174000.0,76174000.0,76174000.0,304696000.0,307681000.0,307681000.0,307681000.0,307681000.0,306890000.0,306890000.0,306890000.0,306890000.0,312245000.0,312245000.0,312245000.0,1248982000.0,1261300000.0,1261300000.0,1261300000.0
CommonStockValue / USD,3000.0,3000.0,3000.0,3000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,7000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,30000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,31000.0,125000.0,100000.0,100000.0,100000.0
