fact_unit,2010-08-09,2010-11-05,2011-03-01,2011-05-06,2011-08-03,2011-11-01,2012-02-29,2012-04-26,2012-07-26,2012-10-30,2013-03-01,2013-04-25,2013-08-08,2013-11-07,2014-02-25,2014-05-01,2014-07-31,2014-10-28,2015-02-19,2015-04-28,2015-07-30,2015-10-27,2016-02-17,2016-04-26,2016-07-27,2016-10-24,2017-02-14,2017-04-24,2017-07-20,2017-10-23,2018-01-22,2018-02-08,2018-05-01,2018-06-18,2018-08-01,2018-10-30,2019-02-07,2019-04-25,2019-07-26,2019-10-28,2020-02-06,2020-05-06,2020-08-06,2020-08-10,2020-11-05,2021-02-23,2021-05-04,2021-08-03,2021-11-02,2022-02-11,2022-05-06,2022-07-29,2022-10-27,2023-02-14,2023-04-27,2023-07-27,2023-10-25,2024-02-02,2024-04-26,2024-07-31,2024-10-23,2025-01-31,2025-04-24,2025-07-23,2025-10-23
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,,,,,,,,,,,,-0.001,,,,0.007,,,,0.282,,,,0.05,,,,0.05,0.033,,0.033,,,0.0,,,,-0.015,,,,,0.024,,,,0.003,,,,0.003,,,,0.001,,,,0.007,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpense / pure,,,,,,,,,,,,,,,-0.002,,,,-0.001,,,,0.113,,,,0.014,,,,0.014,0.016,,0.016,,,0.006,,,,0.005,,,,,0.007,,,,0.006,,,,0.004,,,,0.003,,,,-0.002,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,0.006,,,,0.023,,,,0.015,,,,0.012,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,-0.022,,,,-0.024,,,,,0.008,,,,0.006,,,,0.025,,,,0.026,,,,-0.012,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,,,,,,,,,,,,0.003,,,,-0.001,,,,-0.052,,,,-0.006,,,,-0.006,-0.01,,-0.01,,,-0.006,,,,0.001,,,,,0.0,,,,-0.001,,,,0.003,,,,-0.001,,,,0.002,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,,,,,,,,,,,,0.025,,,,0.025,,,,-0.318,,,,-0.088,,,,-0.088,-0.011,,-0.011,,,0.032,,,,0.048,,,,,0.048,,,,0.051,,,,0.048,,,,0.045,,,,0.045,,,
EffectiveIncomeTaxRateReconciliationTaxCredits / pure,,,,,,,,,,,,,,,-0.004,,,,0.0,,,,0.0,,,,0.106,,,,0.106,0.095,,0.095,,,0.005,,,,-0.003,,,,,0.029,,,,0.008,,,,0.009,,,,0.025,,,,0.024,,,
EmployeeRelatedLiabilitiesCurrent / USD,,,,,,,43132000.0,,,,40356000.0,,,,351000000.0,,,394000000.0,394000000.0,,,,470000000.0,,,,494000000.0,,,,494000000.0,525000000.0,,525000000.0,,,620000000.0,,,,642000000.0,,682000000.0,,682000000.0,682000000.0,1540000000.0,1540000000.0,1540000000.0,1540000000.0,1830000000.0,1830000000.0,1830000000.0,1830000000.0,1657000000.0,1657000000.0,1657000000.0,1657000000.0,1704000000.0,1704000000.0,1704000000.0,1142000000.0,1072000000.0,1072000000.0,1072000000.0
EntityCommonStockSharesOutstanding / shares,353890321.0,354414781.0,356626174.0,358760901.0,361965610.0,362259788.0,362504956.0,363186192.0,363424295.0,364103435.0,367887191.0,370274013.0,726716596.0,728696706.0,802454478.0,802928895.0,807165830.0,807350358.0,807778654.0,810415343.0,814874652.0,816037384.0,818420728.0,822185586.0,822740120.0,824015429.0,826525821.0,830835887.0,831048573.0,831964098.0,,854428593.0,846845766.0,,847231474.0,848393022.0,850221464.0,854303011.0,854457048.0,855574798.0,856932845.0,1235763488.0,1237808926.0,1237808926.0,1241186776.0,1242804085.0,1246857781.0,1247966318.0,1249053529.0,1249289954.0,1253584833.0,1254041236.0,1244154134.0,1219383110.0,1199892465.0,1176457229.0,1156475060.0,1186867575.0,1171854259.0,1166784033.0,1160486648.0,1141744952.0,1135445108.0,1125419038.0,1118506626.0
EntityPublicFloat / USD,,,2173589153.0,,,,5395061378.0,,,,1909770588.0,,,,4300000000.0,,,,9100000000.0,,,,10900000000.0,,,,12400000000.0,,,,,17800000000.0,,,,,18300000000.0,,,,23200000000.0,,,,,40700000000.0,,,,86100000000.0,,,,80800000000.0,,,,73200000000.0,,,,86000000000.0,,,
