fact_unit,2012-04-12,2013-03-27,2014-02-28,2015-03-06,2016-02-26,2017-03-03,2018-04-11,2019-03-01,2019-10-29,2020-02-27,2020-04-28,2020-07-28,2020-10-27,2021-02-25,2021-04-27,2021-08-03,2021-11-02,2022-02-24,2022-05-03,2022-07-26,2022-11-01,2023-03-01,2023-05-02,2023-07-25,2023-11-07,2024-02-22,2024-04-30,2024-07-23,2024-11-05,2025-02-20,2025-04-29,2025-07-24,2025-10-28
AmortizationOfAcquisitionCosts / USD,,21000000.0,,,232000000.0,152000000.0,223000000.0,1527000000.0,1085000000.0,1448000000.0,357000000.0,712000000.0,1070000000.0,1449000000.0,381000000.0,761000000.0,1179000000.0,1435000000.0,180000000.0,319000000.0,456000000.0,1327000000.0,135000000.0,269000000.0,400000000.0,592000000.0,85000000.0,166000000.0,237000000.0,509000000.0,51000000.0,79000000.0,108000000.0
AmortizationOfDebtDiscountPremium / USD,,,,,3000000.0,3000000.0,39000000.0,34000000.0,31000000.0,40000000.0,11000000.0,22000000.0,34000000.0,42000000.0,,-1000000.0,-1000000.0,42000000.0,0.0,1000000.0,1000000.0,-1000000.0,1000000.0,1000000.0,2000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,2000000.0,2000000.0
AmortizationOfFinancingCosts / USD,,,,,32000000.0,13000000.0,11000000.0,16000000.0,7000000.0,12000000.0,3000000.0,6000000.0,8000000.0,10000000.0,1000000.0,4000000.0,7000000.0,11000000.0,2000000.0,3000000.0,5000000.0,9000000.0,2000000.0,3000000.0,5000000.0,7000000.0,2000000.0,4000000.0,6000000.0,7000000.0,2000000.0,3000000.0,5000000.0
AmortizationOfIntangibleAssets / USD,,281000000.0,291000000.0,262000000.0,186000000.0,255000000.0,1507000000.0,1539000000.0,,1509000000.0,,,,1529000000.0,,,,1398000000.0,,,,674000000.0,,,,644000000.0,,,,454000000.0,,,
Assets / USD,7637000000.0,6612000000.0,6439000000.0,6449000000.0,6850000000.0,26354000000.0,24898000000.0,24049000000.0,21530000000.0,21530000000.0,20016000000.0,20016000000.0,20016000000.0,20016000000.0,19847000000.0,19847000000.0,19847000000.0,19847000000.0,20864000000.0,20864000000.0,20864000000.0,20864000000.0,23236000000.0,23236000000.0,23236000000.0,23236000000.0,24353000000.0,24353000000.0,24353000000.0,24353000000.0,24385000000.0,24385000000.0,24385000000.0
AssetsCurrent / USD,2136000000.0,1966000000.0,1954000000.0,2092000000.0,2630000000.0,4812000000.0,5398000000.0,6044000000.0,5225000000.0,5225000000.0,3267000000.0,3267000000.0,3267000000.0,3267000000.0,4324000000.0,4324000000.0,4324000000.0,4324000000.0,5228000000.0,5228000000.0,5228000000.0,5228000000.0,6935000000.0,6935000000.0,6935000000.0,6935000000.0,7864000000.0,7864000000.0,7864000000.0,7864000000.0,7305000000.0,7305000000.0,7305000000.0
AssetsNoncurrent / USD,5501000000.0,4646000000.0,4485000000.0,4357000000.0,4220000000.0,21542000000.0,19500000000.0,18005000000.0,16305000000.0,16305000000.0,16749000000.0,16749000000.0,16749000000.0,16749000000.0,15523000000.0,15523000000.0,15523000000.0,15523000000.0,15636000000.0,15636000000.0,15636000000.0,15636000000.0,16301000000.0,16301000000.0,16301000000.0,16301000000.0,16489000000.0,16489000000.0,16489000000.0,16489000000.0,17080000000.0,17080000000.0,17080000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,110000000.0,,,13000000.0,15000000.0,15000000.0,1104000000.0,,0.0,0.0,50000000.0,50000000.0,50000000.0,50000000.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,89000000.0,178000000.0,272000000.0,137000000.0,78000000.0,54000000.0,62000000.0,133000000.0,121000000.0,167000000.0,224000000.0,119000000.0,246000000.0,243000000.0,176000000.0,243000000.0,176000000.0,165000000.0,167000000.0,232000000.0,223000000.0,166000000.0,125000000.0
CashAndCashEquivalentsAtCarryingValue / USD,1026000000.0,898000000.0,617000000.0,670000000.0,617000000.0,670000000.0,1185000000.0,1614000000.0,2789000000.0,2789000000.0,1045000000.0,1045000000.0,1045000000.0,1045000000.0,2275000000.0,2275000000.0,2275000000.0,2275000000.0,2830000000.0,2830000000.0,2830000000.0,2830000000.0,3845000000.0,3845000000.0,3845000000.0,3845000000.0,3862000000.0,3862000000.0,3862000000.0,3862000000.0,3292000000.0,3292000000.0,3292000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,3547000000.0,1894000000.0,2789000000.0,2789000000.0,2789000000.0,3547000000.0,1045000000.0,1045000000.0,1045000000.0,2789000000.0,2275000000.0,2275000000.0,2275000000.0,1045000000.0,2830000000.0,2830000000.0,2830000000.0,2275000000.0,3845000000.0,3845000000.0,3845000000.0,2830000000.0,3862000000.0,3862000000.0,3862000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,-1603000000.0,1653000000.0,-597000000.0,241000000.0,748000000.0,-758000000.0,34000000.0,2221000000.0,2521000000.0,-1744000000.0,-433000000.0,635000000.0,28000000.0,1230000000.0,-147000000.0,715000000.0,929000000.0,555000000.0,85000000.0,18000000.0,197000000.0,1015000000.0,-954000000.0,-1003000000.0,-1114000000.0
CommercialPaper / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000000.0,2000000000.0,2000000000.0,2000000000.0
CommercialPaperAverageOutstanding / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,0.25,0.0,0.25,,,0.5,0.375,0.375,0.375,1.25,0.5625,0.5625,0.5625,1.5,0.845,0.845,0.845,2.25,1.014,1.014,1.014,3.38,1.014,1.014,1.014
CommonStockParOrStatedValuePerShare / EUR/shares,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CommonStockSharesAuthorized / shares,430503000.0,430503000.0,430503000.0,430503000.0,430503000.0,430503000.0,430503000.0,430503000.0,,430503000.0,,,,430503000.0,,,,430503000.0,,,,430503000.0,,,,430503000.0,,,,430503000.0,,,
CommonStockSharesIssued / shares,250751500.0,251751500.0,251751500.0,251751500.0,251751500.0,346002862.0,346002862.0,346002862.0,,328702719.0,,,,315519638.0,,,,289519638.0,,,,274519638.0,,,,274519638.0,,,,274519638.0,,,
CommonStockValue / EUR,,,,,,69000000.0,69000000.0,69000000.0,,66000000.0,,,,63000000.0,,,,58000000.0,,,,55000000.0,,,,55000000.0,,,,55000000.0,,,
CommonStockValue / USD,51000000.0,51000000.0,51000000.0,51000000.0,51000000.0,68000000.0,71000000.0,71000000.0,67000000.0,67000000.0,64000000.0,64000000.0,64000000.0,64000000.0,59000000.0,59000000.0,59000000.0,59000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0
ComprehensiveIncomeNetOfTax / USD,-154000000.0,-317000000.0,175000000.0,-138000000.0,395000000.0,402000000.0,1497000000.0,53000000.0,1881000000.0,2358000000.0,-35000000.0,15000000.0,73000000.0,2154000000.0,-82000000.0,-260000000.0,-242000000.0,195000000.0,297000000.0,703000000.0,1197000000.0,94000000.0,635000000.0,1227000000.0,1875000000.0,1802000000.0,637000000.0,1324000000.0,2064000000.0,2815000000.0,593000000.0,1237000000.0,2029000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,-14000000.0,-50000000.0,46000000.0,63000000.0,67000000.0,68000000.0,73000000.0,59000000.0,37000000.0,57000000.0,5000000.0,10000000.0,20000000.0,50000000.0,8000000.0,13000000.0,17000000.0,29000000.0,11000000.0,20000000.0,27000000.0,28000000.0,9000000.0,22000000.0,34000000.0,35000000.0,8000000.0,14000000.0,19000000.0,46000000.0,5000000.0,11000000.0,22000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,-140000000.0,-267000000.0,221000000.0,-75000000.0,462000000.0,470000000.0,1570000000.0,112000000.0,1918000000.0,2415000000.0,-30000000.0,25000000.0,93000000.0,2204000000.0,-74000000.0,-247000000.0,-225000000.0,224000000.0,308000000.0,723000000.0,1224000000.0,122000000.0,644000000.0,1249000000.0,1909000000.0,1837000000.0,645000000.0,1338000000.0,2083000000.0,2861000000.0,598000000.0,1248000000.0,2051000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000000.0,,,
CostOfRevenue / USD,2621000000.0,2579000000.0,2288000000.0,2370000000.0,2638000000.0,3007000000.0,3314000000.0,5429000000.0,3396000000.0,4637000000.0,1022000000.0,2088000000.0,3167000000.0,4556000000.0,1024000000.0,1981000000.0,3158000000.0,4259000000.0,1212000000.0,2386000000.0,3664000000.0,4377000000.0,1359000000.0,2789000000.0,4267000000.0,4996000000.0,1351000000.0,2769000000.0,4238000000.0,5688000000.0,1343000000.0,2678000000.0,4062000000.0
CurrentFederalTaxExpenseBenefit / USD,,12000000.0,3000000.0,1000000.0,10000000.0,7000000.0,13000000.0,7000000.0,,179000000.0,,,,296000000.0,,,,90000000.0,,,,147000000.0,,,,106000000.0,,,,285000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,40000000.0,29000000.0,20000000.0,17000000.0,32000000.0,51000000.0,67000000.0,,135000000.0,,,,91000000.0,,,,105000000.0,,,,119000000.0,,,,186000000.0,,,,480000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,52000000.0,32000000.0,21000000.0,27000000.0,39000000.0,64000000.0,74000000.0,,314000000.0,,,,387000000.0,,,,195000000.0,,,,266000000.0,,,,292000000.0,,,,765000000.0,,,
CustomerFunds / USD,,,,,,,,,,,,,,,,,,,,,,,432000000.0,432000000.0,432000000.0,432000000.0,280000000.0,280000000.0,280000000.0,,131000000.0,,
DebtAndCapitalLeaseObligations / USD,,3764000000.0,3456000000.0,3297000000.0,9206000000.0,,9187000000.0,6565000000.0,7354000000.0,7354000000.0,7365000000.0,7365000000.0,7365000000.0,7365000000.0,7609000000.0,7609000000.0,7609000000.0,7609000000.0,10572000000.0,10572000000.0,10572000000.0,10572000000.0,11165000000.0,11165000000.0,11165000000.0,11165000000.0,11175000000.0,11175000000.0,11175000000.0,,10854000000.0,10854000000.0,10854000000.0
DebtCurrent / USD,,52000000.0,307000000.0,40000000.0,20000000.0,556000000.0,421000000.0,751000000.0,1107000000.0,1107000000.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,500000000.0,500000000.0,500000000.0
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250000000.0,,,
DebtInstrumentFaceAmount / USD,,3033000000.0,3470000000.0,1033000000.0,4198000000.0,9343000000.0,9361000000.0,6650000000.0,7400000000.0,7400000000.0,7400000000.0,7400000000.0,7400000000.0,7400000000.0,7650000000.0,7650000000.0,7650000000.0,7650000000.0,10650000000.0,10650000000.0,10650000000.0,10650000000.0,11250000000.0,11250000000.0,11250000000.0,11250000000.0,11250000000.0,11250000000.0,11250000000.0,10920000000.0,10920000000.0,10920000000.0,10920000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,82000000.0,61000000.0,28000000.0,31000000.0,31000000.0,35000000.0,35000000.0,35000000.0,35000000.0,41000000.0,41000000.0,41000000.0,41000000.0,78000000.0,78000000.0,78000000.0,78000000.0,85000000.0,85000000.0,85000000.0,85000000.0,75000000.0,75000000.0,75000000.0,75000000.0,66000000.0,66000000.0,66000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,-3000000.0,10000000.0,-5000000.0,-1000000.0,-2000000.0,4000000.0,-205000000.0,,259000000.0,,,,-2000000.0,,,,28000000.0,,,,-58000000.0,,,,-10000000.0,,,,10000000.0,,,
DeferredFinanceCostsNet / USD,,,,,,61000000.0,34000000.0,32000000.0,,33000000.0,,,,33000000.0,,,,47000000.0,,,,52000000.0,,,,44000000.0,,,,38000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-25000000.0,-21000000.0,-15000000.0,-6000000.0,3000000.0,-172000000.0,-720000000.0,,-1056000000.0,,,,-209000000.0,,,,-203000000.0,,,,-291000000.0,,,,-10000000.0,,,,-246000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,293000000.0,,,,293000000.0,,,,477000000.0,,,,441000000.0,,,,716000000.0,,,,992000000.0,1251000000.0,1251000000.0,1251000000.0
DeferredIncomeTaxExpenseBenefit / USD,,-28000000.0,-11000000.0,-20000000.0,-7000000.0,1000000.0,-168000000.0,-925000000.0,-159000000.0,-797000000.0,-63000000.0,-93000000.0,-126000000.0,-211000000.0,-75000000.0,-156000000.0,-274000000.0,-175000000.0,12000000.0,12000000.0,6000000.0,-349000000.0,-33000000.0,-98000000.0,-196000000.0,-20000000.0,-62000000.0,-137000000.0,-170000000.0,-236000000.0,-64000000.0,-87000000.0,-127000000.0
DeferredIncomeTaxLiabilities / USD,,,273000000.0,256000000.0,187000000.0,3537000000.0,2932000000.0,1324000000.0,,1010000000.0,,,,748000000.0,,,,307000000.0,,,,211000000.0,,,,205000000.0,,,,208000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,450000000.0,450000000.0,282000000.0,282000000.0,282000000.0,282000000.0,85000000.0,85000000.0,85000000.0,85000000.0,57000000.0,57000000.0,57000000.0,57000000.0,45000000.0,45000000.0,45000000.0,45000000.0,44000000.0,44000000.0,44000000.0,44000000.0,,,
DeferredTaxAssetInterestCarryforward / USD,,,,,,,,,,-479000000.0,,,,276000000.0,,,,78000000.0,,,,173000000.0,,,,130000000.0,,,,155000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,22000000.0,13000000.0,5000000.0,2000000.0,,,,,,,,,,,,,,,,,0.0,,,,331000000.0,,,,600000000.0,,,
DeferredTaxAssetsGross / USD,,819000000.0,808000000.0,808000000.0,765000000.0,1966000000.0,1827000000.0,1087000000.0,,998000000.0,,,,949000000.0,,,,926000000.0,,,,756000000.0,,,,1030000000.0,,,,1300000000.0,,,
DeferredTaxAssetsInventory / USD,,1000000.0,2000000.0,2000000.0,2000000.0,-109000000.0,27000000.0,3000000.0,,2000000.0,,,,4000000.0,,,,8000000.0,,,,5000000.0,,,,14000000.0,,,,16000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,-68000000.0,-54000000.0,-55000000.0,,,,,,11000000.0,,,,11000000.0,,,,392000000.0,,,,384000000.0,,,,671000000.0,,,,948000000.0,,,
DeferredTaxAssetsNet / USD,,,,,,1334000000.0,1700000000.0,947000000.0,,853000000.0,,,,759000000.0,,,,699000000.0,,,,595000000.0,,,,876000000.0,,,,1156000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,659000000.0,963000000.0,1031000000.0,621000000.0,,598000000.0,,,,499000000.0,,,,480000000.0,,,,317000000.0,,,,287000000.0,,,,273000000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,25000000.0,20000000.0,27000000.0,19000000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,8000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions / USD,,,,,,,86000000.0,93000000.0,,83000000.0,,,,95000000.0,,,,121000000.0,,,,104000000.0,,,,51000000.0,,,,63000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,,,73000000.0,58000000.0,25000000.0,,18000000.0,,,,15000000.0,,,,13000000.0,,,,9000000.0,,,,11000000.0,,,,10000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,,,,,,107000000.0,100000000.0,,83000000.0,,,,111000000.0,,,,107000000.0,,,,147000000.0,,,,111000000.0,,,,111000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsRestructuringCharges / USD,,,,,,,40000000.0,16000000.0,,12000000.0,,,,5000000.0,,,,15000000.0,,,,6000000.0,,,,3000000.0,,,,23000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,545000000.0,589000000.0,607000000.0,627000000.0,632000000.0,127000000.0,140000000.0,,145000000.0,,,,190000000.0,,,,227000000.0,,,,161000000.0,,,,154000000.0,,,,144000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill / USD,,,,,,,,,,39000000.0,,,,43000000.0,,,,66000000.0,,,,83000000.0,,,,97000000.0,,,,115000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,0.0,,,,,,0.0,,,,52000000.0,,,,56000000.0,,,,63000000.0,,,,64000000.0,,,,57000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,27000000.0,27000000.0,31000000.0,31000000.0,359000000.0,367000000.0,109000000.0,,96000000.0,,,,99000000.0,,,,54000000.0,,,,38000000.0,,,,33000000.0,,,,36000000.0,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,,,,,,,9000000.0,,,,11000000.0,,,,35000000.0,,,,44000000.0,,,,54000000.0,,,,67000000.0,,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,1000000.0,-1000000.0,-1000000.0,-1000000.0,1000000.0,-3000000.0,-2000000.0,,-4000000.0,,,,-4000000.0,,,,-4000000.0,,,,-8000000.0,,,,-10000000.0,,,,-9000000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,0.044,0.035,0.037,0.026,0.025,0.02,0.019,,0.02,,,,0.012,,,,0.008,,,,0.012,,,,0.033,,,,0.032,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease / pure,,0.031,0.024,0.023,0.018,0.022,0.019,0.018,,0.018,,,,0.015,,,,0.016,,,,0.022,,,,0.022,,,,0.022,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,,0.048,0.043,0.044,0.035,0.037,0.026,0.025,,0.02,,,,0.019,,,,0.02,,,,0.012,,,,0.008,,,,0.012,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets / pure,,0.043,0.042,0.041,0.04,0.042,0.042,0.035,,0.031,,,,0.03,,,,0.027,,,,0.026,,,,0.026,,,,0.026,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease / pure,,0.03,0.031,0.031,0.024,0.023,0.018,0.022,,0.019,,,,0.018,,,,0.018,,,,0.015,,,,0.016,,,,0.019,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,,95000000.0,107000000.0,107000000.0,124000000.0,128000000.0,135000000.0,137000000.0,,147000000.0,,,,170000000.0,,,,162000000.0,,,,160000000.0,,,,184000000.0,,,,161000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,,16000000.0,16000000.0,14000000.0,21000000.0,21000000.0,22000000.0,21000000.0,,21000000.0,,,,24000000.0,,,,22000000.0,,,,21000000.0,,,,24000000.0,,,,25000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,,14000000.0,17000000.0,17000000.0,19000000.0,20000000.0,23000000.0,23000000.0,,27000000.0,,,,28000000.0,,,,28000000.0,,,,26000000.0,,,,31000000.0,,,,28000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,,14000000.0,15000000.0,16000000.0,18000000.0,18000000.0,20000000.0,23000000.0,,24000000.0,,,,28000000.0,,,,25000000.0,,,,27000000.0,,,,29000000.0,,,,28000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,,15000000.0,15000000.0,13000000.0,17000000.0,17000000.0,18000000.0,19000000.0,,24000000.0,,,,26000000.0,,,,25000000.0,,,,24000000.0,,,,28000000.0,,,,26000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo / USD,,13000000.0,14000000.0,13000000.0,14000000.0,16000000.0,17000000.0,18000000.0,,21000000.0,,,,24000000.0,,,,23000000.0,,,,24000000.0,,,,25000000.0,,,,25000000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,,,7000000.0,12000000.0,,14000000.0,,,,9000000.0,,,,12000000.0,,,,19000000.0,,,,15000000.0,,,,14000000.0,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,6000000.0,6000000.0,6000000.0,7000000.0,7000000.0,6000000.0,6000000.0,,6000000.0,,,,6000000.0,,,,6000000.0,,,,5000000.0,,,,6000000.0,,,,5000000.0,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,162000000.0,170000000.0,157000000.0,190000000.0,172000000.0,195000000.0,201000000.0,,203000000.0,,,,224000000.0,,,,222000000.0,,,,202000000.0,,,,213000000.0,,,,201000000.0,,,
DefinedBenefitPlanInterestCost / USD,,15000000.0,15000000.0,14000000.0,15000000.0,13000000.0,11000000.0,14000000.0,,11000000.0,,,,12000000.0,,,,12000000.0,,,,7000000.0,,,,6000000.0,,,,8000000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,20000000.0,20000000.0,18000000.0,21000000.0,15000000.0,16000000.0,26000000.0,,-1000000.0,,,,26000000.0,,,,24000000.0,,,,27000000.0,,,,28000000.0,,,,27000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,407000000.0,,,,459000000.0,,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,84000000.0,,,,87000000.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1 / USD,,1000000.0,1000000.0,2000000.0,6000000.0,6000000.0,6000000.0,1000000.0,,25000000.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DefinedBenefitPlanServiceCost / USD,,12000000.0,12000000.0,11000000.0,12000000.0,10000000.0,12000000.0,17000000.0,,15000000.0,,,,16000000.0,,,,14000000.0,,,,17000000.0,,,,18000000.0,,,,15000000.0,,,
DefinedBenefitPlanWeightedAverageAssetAllocations / pure,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
DefinedContributionPlanCostRecognized / USD,,15000000.0,16000000.0,19000000.0,20000000.0,21000000.0,21000000.0,44000000.0,,42000000.0,,,,49000000.0,,,,47000000.0,,,,47000000.0,,,,52000000.0,,,,62000000.0,,,
DepositsAssetsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,409000000.0,409000000.0,409000000.0,409000000.0,,,0.0
