fact_unit,2016-11-10,2017-02-16,2017-05-11,2017-08-11,2017-11-13,2018-02-28,2018-05-10,2018-08-09,2018-11-09,2019-02-22,2019-05-09,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-19,2021-05-10,2021-08-09,2021-11-08,2022-02-16,2022-05-10,2022-08-09,2022-11-09,2023-02-15,2023-05-10,2023-08-09,2023-11-09,2024-02-15,2024-05-10,2024-08-08,2024-11-07,2025-02-21,2025-05-08,2025-08-07,2025-11-06
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,10399000.0,22550000.0,-63391000.0,-53657000.0,-33786000.0,51282000.0,194335000.0,295468000.0,303495000.0,-76356000.0,34284000.0,39554000.0,139563000.0,306477000.0,90069000.0,178529000.0,240502000.0,316801000.0,-137804000.0,-64675000.0,41258000.0,276352000.0,23071000.0,114234000.0,326346000.0
CommitmentsAndContingencies / USD,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,
CommonStockParOrStatedValuePerShare / USD/shares,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
CommonStockValue / USD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CostOfGoodsAndServicesSold / USD,,,,,,,,27700000.0,45097000.0,39876000.0,22897000.0,49498000.0,78842000.0,66230000.0,33651000.0,68981000.0,108913000.0,114098000.0,40208000.0,82341000.0,127167000.0,156180000.0,50500000.0,101309000.0,154709000.0,178812000.0,63890000.0,131380000.0,201504000.0,221554000.0,84867000.0,171521000.0,264903000.0,281123000.0,103630000.0,214089000.0,336745000.0
CostsAndExpenses / USD,51183000.0,43784000.0,26982000.0,59130000.0,97035000.0,75856000.0,51416000.0,104526000.0,165531000.0,145408000.0,75738000.0,161909000.0,258471000.0,238861000.0,115317000.0,243292000.0,385568000.0,369971000.0,149894000.0,305021000.0,478352000.0,548862000.0,212027000.0,430046000.0,650691000.0,691825000.0,332376000.0,707595000.0,1073564000.0,1071650000.0,406111000.0,828692000.0,1284281000.0,1464141000.0,462596000.0,952426000.0,1471961000.0
CurrentFederalTaxExpenseBenefit / USD,,321000.0,,,,11123000.0,,,,18300000.0,,,,9944000.0,,,,11683000.0,,,,9180000.0,,,,-50096000.0,,,,10332000.0,,,,61904000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,73000.0,,,,140000.0,,,,64000.0,,,,558000.0,,,,1720000.0,,,,1412000.0,,,,2550000.0,,,,2435000.0,,,,3068000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,561000.0,,,,13588000.0,,,,23959000.0,,,,14408000.0,,,,22698000.0,,,,18392000.0,,,,-67196000.0,,,,2350000.0,,,,99769000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,167000.0,,,,2325000.0,,,,5595000.0,,,,3906000.0,,,,9295000.0,,,,7800000.0,,,,-19650000.0,,,,-10417000.0,,,,34797000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,-827000.0,,,,197000.0,,,,-68000.0,,,,-172000.0,,,,-918000.0,,,,-6316000.0,,,,-20900000.0,,,,-21287000.0,,,,-2380000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,-27000.0,,,,-27000.0,,,,-27000.0,,,,-1568000.0,,,,1165000.0,,,,-1239000.0,,,,18000.0,,,,61000.0,,,
