fact_unit,2019-11-13,2020-02-25,2020-05-12,2020-08-07,2020-11-12,2021-03-01,2021-05-07,2021-08-06,2021-11-05,2022-02-25,2022-05-06,2022-08-08,2022-11-04,2023-02-24,2023-05-05,2023-08-09,2023-11-07,2024-02-23,2024-05-08,2024-08-09,2024-11-08,2025-02-20,2025-05-07,2025-08-08,2025-11-07
InvestmentIncomeInterest / USD,,,,,,,,,14734000.0,,,,,,,,,,,,70676000.0,34931000.0,35435000.0,72676000.0,112758000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,69122000.0,66837000.0,65447000.0,76231000.0,72833000.0,75659000.0,70354000.0,65479000.0,81583000.0,80895000.0,80955000.0,82478000.0,126502000.0,126360000.0,137274000.0,194325000.0,196495000.0,208607000.0,284662000.0,285015000.0,289544000.0,290954000.0,339673000.0,356554000.0,380716000.0
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,4017000.0,,2172000.0,15513000.0,,12747000.0,,,,15528000.0,,,,48761000.0,,,,73102000.0,,,,88984000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,14576000.0,,,17627000.0,19072000.0,20023000.0,20099000.0,23813000.0,22907000.0,20217000.0,22901000.0,10406000.0,11510000.0,21323000.0,19030000.0,13369000.0,17995000.0,40865000.0,40665000.0,41953000.0,46445000.0,52257000.0,60012000.0,56261000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,14403000.0,,2572000.0,2572000.0,,2766000.0,,,,6109000.0,,,,14536000.0,,,,24479000.0,,,,31977000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,16589000.0,14569000.0,14820000.0,15006000.0,2572000.0,2572000.0,2766000.0,2766000.0,5203000.0,7633000.0,6698000.0,6693000.0,14385000.0,15110000.0,16906000.0,26081000.0,27182000.0,27747000.0,33775000.0,33764000.0,35584000.0,36071000.0,41877000.0,43356000.0,45427000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,16795000.0,16731000.0,16994000.0,17164000.0,15291000.0,18210000.0,2572000.0,2572000.0,4938000.0,9591000.0,8163000.0,8772000.0,16281000.0,17258000.0,17490000.0,26662000.0,27691000.0,31050000.0,36849000.0,36688000.0,38795000.0,41535000.0,45852000.0,50290000.0,48536000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,14488000.0,16944000.0,17194000.0,17369000.0,17410000.0,20292000.0,17898000.0,17987000.0,20928000.0,19127000.0,10567000.0,13322000.0,17838000.0,19185000.0,19686000.0,28848000.0,30769000.0,34234000.0,40106000.0,39930000.0,42110000.0,45942000.0,51565000.0,59358000.0,57657000.0
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear / USD,2830000.0,,11695000.0,8607000.0,4421000.0,,14349000.0,9309000.0,5063000.0,,17712000.0,13168000.0,6481000.0,,5645000.0,1330000.0,537000.0,,15129000.0,15975000.0,9393000.0,,22863000.0,16455000.0,10959000.0
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,8393000.0,6411000.0,5969000.0,8826000.0,8100000.0,7900000.0,7108000.0,6405000.0,8969000.0,8633000.0,8818000.0,8350000.0,27817000.0,27685000.0,30635000.0,49779000.0,49918000.0,48505000.0,70180000.0,66615000.0,65158000.0,62079000.0,77471000.0,73484000.0,83801000.0
Liabilities / USD,114986000.0,114986000.0,255700000.0,255700000.0,255700000.0,255700000.0,932853000.0,932853000.0,932853000.0,932853000.0,1339591000.0,1339591000.0,1339591000.0,1339591000.0,1594347000.0,1594347000.0,1594347000.0,1594347000.0,1910718000.0,1910718000.0,1910718000.0,1910718000.0,3070976000.0,3070976000.0,3070976000.0
LiabilitiesAndStockholdersEquity / USD,179750000.0,179750000.0,1038041000.0,1038041000.0,1038041000.0,1038041000.0,1890285000.0,1890285000.0,1890285000.0,1890285000.0,2380794000.0,2380794000.0,2380794000.0,2380794000.0,3004852000.0,3004852000.0,3004852000.0,3004852000.0,3936072000.0,3936072000.0,3936072000.0,3936072000.0,5785339000.0,5785339000.0,5785339000.0
LiabilitiesCurrent / USD,112234000.0,112234000.0,200239000.0,200239000.0,200239000.0,200239000.0,297844000.0,297844000.0,297844000.0,297844000.0,528696000.0,528696000.0,528696000.0,528696000.0,759748000.0,759748000.0,759748000.0,759748000.0,1003052000.0,1003052000.0,1003052000.0,1003052000.0,1862713000.0,1862713000.0,1862713000.0
NetCashProvidedByUsedInFinancingActivities / USD,6833000.0,462000.0,1776000.0,5041000.0,715965000.0,7782000.0,2660000.0,654691000.0,659218000.0,714216000.0,3030000.0,15711000.0,20200000.0,670276000.0,4242000.0,20005000.0,21821000.0,34940000.0,2098000.0,27520000.0,37390000.0,36023000.0,2191000.0,26426000.0,27659000.0
NetCashProvidedByUsedInInvestingActivities / USD,-14363000.0,-12760000.0,-4293000.0,-9387000.0,-16871000.0,-17456000.0,-429805000.0,-1095100000.0,-1143933000.0,-202220000.0,90710000.0,-96029000.0,-127705000.0,-1152624000.0,-150354000.0,-269872000.0,-295550000.0,-273740000.0,-256248000.0,-366285000.0,-557328000.0,-384670000.0,-261208000.0,-320919000.0,-627476000.0
NetCashProvidedByUsedInOperatingActivities / USD,15384000.0,13832000.0,3418000.0,2980000.0,6804000.0,10829000.0,24255000.0,48993000.0,85263000.0,24234000.0,51650000.0,103373000.0,170752000.0,109091000.0,147388000.0,220348000.0,303966000.0,286545000.0,133787000.0,286945000.0,439728000.0,418407000.0,212270000.0,376694000.0,605375000.0
NetIncomeLoss / USD,-4175000.0,-2570000.0,-9491000.0,-13440000.0,-17601000.0,-10762000.0,6479000.0,6763000.0,-8387000.0,-16710000.0,-13068000.0,-22430000.0,-27914000.0,-24547000.0,9738000.0,4859000.0,-21126000.0,-20745000.0,-24086000.0,-28055000.0,-5425000.0,-50160000.0,42631000.0,86455000.0,138152000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,,,,,,,-16710000.0,-13068000.0,-22430000.0,-27914000.0,-24547000.0,9738000.0,4859000.0,-21126000.0,-20745000.0,-24086000.0,-28055000.0,-5425000.0,-50160000.0,42631000.0,86455000.0,138152000.0
NetIncomeLossAvailableToCommonStockholdersDiluted / USD,,,,,,,,,,-16710000.0,-13068000.0,-22430000.0,-27914000.0,-24547000.0,9738000.0,4859000.0,-21126000.0,-20745000.0,-24086000.0,-28055000.0,-5425000.0,-50160000.0,42631000.0,86455000.0,138152000.0
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1 / USD,70000.0,25000.0,577000.0,3446000.0,1574000.0,25000.0,610000.0,814000.0,315000.0,315000.0,213000.0,914000.0,1250000.0,234000.0,2994000.0,1078000.0,1662000.0,1746000.0,304000.0,274000.0,5147000.0,972000.0,813000.0,3840000.0,2743000.0
NumberOfOperatingSegments / segment,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
NumberOfReportableSegments / segment,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
OperatingExpenses / USD,110136000.0,80303000.0,60762000.0,127000000.0,203785000.0,162581000.0,100991000.0,211471000.0,341430000.0,293971000.0,164713000.0,351050000.0,563101000.0,487042000.0,278154000.0,605506000.0,979782000.0,813695000.0,416770000.0,846390000.0,1294837000.0,1387052000.0,489159000.0,998321000.0,1530303000.0
OperatingIncomeLoss / USD,-4359000.0,-2956000.0,-9662000.0,-13656000.0,-17874000.0,-11033000.0,3778000.0,4432000.0,-4835000.0,-20140000.0,-12830000.0,-22716000.0,-27611000.0,-13773000.0,10414000.0,7275000.0,-24067000.0,-19156000.0,-34970000.0,-56976000.0,-61206000.0,-58695000.0,11996000.0,24614000.0,44892000.0
OperatingLeaseCost / USD,9715000.0,13636000.0,2969000.0,5830000.0,9715000.0,13636000.0,3960000.0,8070000.0,12322000.0,17081000.0,4755000.0,9520000.0,14765000.0,17081000.0,5237000.0,11265000.0,17703000.0,20198000.0,7380000.0,15450000.0,24779000.0,25212000.0,10530000.0,21063000.0,31613000.0
OperatingLeaseExpense / USD,,3800000.0,,,,10000000.0,,,,16700000.0,,,,20800000.0,,,,23800000.0,,,,34000000.0,,,
OperatingLeaseLiability / USD,51400000.0,51400000.0,59478000.0,67405000.0,64733000.0,67759000.0,63246000.0,59074000.0,72614000.0,72262000.0,72137000.0,74128000.0,98685000.0,98675000.0,106639000.0,144546000.0,146577000.0,160102000.0,214482000.0,218400000.0,224386000.0,228875000.0,262202000.0,283070000.0,296915000.0
OperatingLeaseLiabilityCurrent / USD,10222000.0,11916000.0,11916000.0,11916000.0,11916000.0,11916000.0,16326000.0,16326000.0,16326000.0,16326000.0,20157000.0,20157000.0,20157000.0,20157000.0,22092000.0,22092000.0,22092000.0,22092000.0,21974000.0,21974000.0,21974000.0,21974000.0,31970000.0,31970000.0,31970000.0
OperatingLeaseLiabilityNoncurrent / USD,51684000.0,48510000.0,48510000.0,48510000.0,48510000.0,48510000.0,51433000.0,51433000.0,51433000.0,51433000.0,52106000.0,52106000.0,52106000.0,52106000.0,76582000.0,76582000.0,76582000.0,76582000.0,138128000.0,138128000.0,138128000.0,138128000.0,196905000.0,196905000.0,196905000.0
OperatingLeasePayments / USD,6077000.0,9767000.0,2996000.0,4548000.0,6077000.0,9767000.0,3134000.0,6310000.0,10622000.0,15074000.0,4483000.0,9603000.0,14878000.0,15074000.0,5837000.0,11682000.0,18198000.0,20741000.0,6552000.0,4145000.0,10916000.0,24752000.0,2284000.0,2421000.0,8988000.0
OperatingLeaseRightOfUseAsset / USD,47900000.0,47900000.0,53002000.0,53002000.0,53002000.0,53002000.0,57829000.0,57829000.0,57829000.0,57829000.0,61355000.0,61355000.0,61355000.0,61355000.0,87629000.0,87629000.0,87629000.0,87629000.0,126562000.0,126562000.0,126562000.0,126562000.0,172512000.0,172512000.0,172512000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,0.0503,0.0498,0.0498,0.0478,0.0498,0.0498,0.0471,0.0469,0.0468,0.0471,0.0458,0.0446,0.0506,0.0455,0.0543,0.0591,0.0597,0.0512,0.0644,0.0657,0.0662,0.06,0.0675,0.0669,0.0663
OtherAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,25038000.0,,,,21532000.0,,25919000.0,26751000.0
OtherAssetsNoncurrent / USD,8603000.0,8603000.0,16990000.0,16990000.0,16990000.0,16990000.0,16967000.0,16967000.0,16967000.0,16967000.0,19907000.0,19907000.0,19907000.0,19907000.0,24360000.0,24360000.0,24360000.0,24360000.0,23462000.0,23462000.0,23462000.0,23462000.0,24077000.0,24077000.0,24077000.0
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent / USD,,,,,,,,,,47000.0,-682000.0,-763000.0,-1129000.0,1065000.0,-8186000.0,-11575000.0,-12712000.0,-4264000.0,6008000.0,42000.0,1294000.0,-7270000.0,-3218000.0,-4419000.0,13861000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent / USD,,,,,,,-287000.0,-91000.0,446000.0,55000.0,-853000.0,-692000.0,-1346000.0,1089000.0,-539000.0,-3104000.0,-8782000.0,-1853000.0,641000.0,62000.0,-2761000.0,-1322000.0,-2264000.0,-3079000.0,960000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,,,,,,,-1195000.0,1932000.0,2512000.0,102000.0,-1535000.0,-1455000.0,-2475000.0,2154000.0,-8725000.0,-14679000.0,-21494000.0,-6117000.0,6649000.0,104000.0,-1467000.0,-8592000.0,-5482000.0,-7498000.0,14821000.0
OtherLiabilitiesCurrent / USD,,,,,,,,,,,,,,111284000.0,171158000.0,171158000.0,171158000.0,171158000.0,127631000.0,127631000.0,127631000.0,127631000.0,127136000.0,127136000.0,127136000.0
OtherLiabilitiesNoncurrent / USD,1359000.0,1359000.0,2611000.0,2611000.0,2611000.0,2611000.0,4262000.0,4262000.0,4262000.0,4262000.0,9411000.0,9411000.0,9411000.0,9411000.0,6226000.0,6226000.0,6226000.0,6226000.0,6093000.0,6093000.0,6093000.0,6093000.0,9383000.0,9383000.0,9383000.0
OtherNonoperatingIncomeExpense / USD,612000.0,843000.0,230000.0,556000.0,646000.0,793000.0,2896000.0,3068000.0,-2220000.0,4164000.0,301000.0,529000.0,657000.0,-8449000.0,440000.0,3568000.0,11851000.0,734000.0,14546000.0,35644000.0,-1492000.0,2229000.0,128000.0,-461000.0,-3111000.0
PaymentsToAcquireAvailableForSaleSecuritiesDebt / USD,,176639000.0,427482000.0,1203513000.0,1477063000.0,176639000.0,427482000.0,1203513000.0,1477063000.0,176639000.0,150331000.0,490983000.0,897412000.0,1794562000.0,329706000.0,718785000.0,1067732000.0,1125519000.0,757787000.0,1390334000.0,2011857000.0,1413717000.0,637351000.0,1240301000.0,2145933000.0
PaymentsToAcquireBusinessesNetOfCashAcquired / USD,1618000.0,4957000.0,,2363000.0,2363000.0,1618000.0,0.0,2363000.0,2363000.0,2138000.0,11509000.0,200348000.0,200202000.0,2363000.0,4871000.0,39566000.0,40302000.0,226505000.0,,2025000.0,6369000.0,45878000.0,0.0,444000.0,654000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,8205000.0,2351000.0,2197000.0,4979000.0,9813000.0,9662000.0,1526000.0,2924000.0,4336000.0,13315000.0,998000.0,4227000.0,7551000.0,5415000.0,9514000.0,15501000.0,25207000.0,9956000.0,8739000.0,11078000.0,17191000.0,35261000.0,14158000.0,18573000.0,26958000.0
PaymentsToDevelopSoftware / USD,4540000.0,5452000.0,2096000.0,4408000.0,7058000.0,6176000.0,3417000.0,8154000.0,14371000.0,10128000.0,6183000.0,12392000.0,19364000.0,20468000.0,7973000.0,14780000.0,21592000.0,26069000.0,8711000.0,17798000.0,26279000.0,29628000.0,11365000.0,27594000.0,44286000.0
PrepaidExpenseAndOtherAssetsCurrent / USD,8773000.0,8773000.0,19231000.0,19231000.0,19231000.0,19231000.0,23624000.0,23624000.0,23624000.0,23624000.0,24443000.0,24443000.0,24443000.0,24443000.0,27303000.0,27303000.0,27303000.0,27303000.0,41022000.0,41022000.0,41022000.0,41022000.0,67042000.0,67042000.0,67042000.0
ProceedsFromConvertibleDebt / USD,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities / USD,,,,,268500000.0,506554000.0,2620000.0,121854000.0,268500000.0,0.0,253234000.0,570206000.0,935692000.0,506554000.0,199703000.0,516754000.0,857193000.0,1046560000.0,497648000.0,1018317000.0,1467975000.0,1137724000.0,401666000.0,965985000.0,1590387000.0
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt / USD,,,,,85700000.0,163630000.0,0.0,0.0,85700000.0,0.0,6497000.0,41715000.0,61132000.0,163630000.0,2007000.0,2006000.0,2090000.0,67749000.0,21341000.0,36633000.0,,2090000.0,,,
ProceedsFromStockOptionsExercised / USD,6833000.0,462000.0,1776000.0,5197000.0,7306000.0,7782000.0,2813000.0,7235000.0,12354000.0,7899000.0,3275000.0,6162000.0,10651000.0,15985000.0,4245000.0,6451000.0,8267000.0,14907000.0,2098000.0,7534000.0,17404000.0,10001000.0,2191000.0,3944000.0,5201000.0
ProceedsFromStockPlans / USD,,,,7680000.0,7680000.0,15170000.0,,7680000.0,7680000.0,0.0,,9794000.0,9794000.0,15170000.0,,13557000.0,13557000.0,20278000.0,,19986000.0,19986000.0,26025000.0,,22507000.0,22507000.0
ProfitLoss / USD,-4175000.0,-2570000.0,-9491000.0,-13440000.0,-17601000.0,-10762000.0,6479000.0,6763000.0,-8387000.0,-16710000.0,-13068000.0,-22430000.0,-27914000.0,-24547000.0,9738000.0,4859000.0,-21126000.0,-20745000.0,-24086000.0,-28055000.0,-5425000.0,-50160000.0,42631000.0,86455000.0,138152000.0
PropertyPlantAndEquipmentGross / USD,30715000.0,30715000.0,53487000.0,53487000.0,53487000.0,53487000.0,82718000.0,82718000.0,82718000.0,82718000.0,130338000.0,130338000.0,130338000.0,130338000.0,209264000.0,209264000.0,209264000.0,209264000.0,300740000.0,300740000.0,300740000.0,300740000.0,419777000.0,419777000.0,419777000.0
PropertyPlantAndEquipmentNet / USD,21649000.0,21649000.0,32749000.0,32749000.0,32749000.0,32749000.0,47197000.0,47197000.0,47197000.0,47197000.0,75152000.0,75152000.0,75152000.0,75152000.0,125346000.0,125346000.0,125346000.0,125346000.0,171872000.0,171872000.0,171872000.0,171872000.0,226970000.0,226970000.0,226970000.0
ProvisionForDoubtfulAccounts / USD,285000.0,378000.0,74000.0,553000.0,835000.0,477000.0,1073000.0,2001000.0,2656000.0,1195000.0,25000.0,527000.0,1226000.0,3283000.0,798000.0,1931000.0,3929000.0,2311000.0,3732000.0,6311000.0,9097000.0,5215000.0,2732000.0,6574000.0,10374000.0
PurchaseObligation / USD,,,,,,,,,,688400000.0,,,,721500000.0,,,,485000000.0,,,,1400000000.0,,,
RepaymentsOfConvertibleDebt / USD,,,,,,,,,,,0.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,0.0,,0.0,0.0,3000.0,0.0,25000.0,49000.0
ResearchAndDevelopmentExpense / USD,37456000.0,24734000.0,22815000.0,46847000.0,75531000.0,55176000.0,40824000.0,86488000.0,142928000.0,111425000.0,79266000.0,174045000.0,286720000.0,210626000.0,150608000.0,328307000.0,533695000.0,419769000.0,229478000.0,468972000.0,709197000.0,752351000.0,269988000.0,544587000.0,836389000.0
RestrictedCashAndCashEquivalents / USD,7642000.0,3754000.0,11240000.0,11305000.0,9982000.0,11341000.0,3808000.0,3458000.0,3607000.0,3892000.0,3613000.0,3662000.0,3572000.0,3784000.0,3424000.0,3214000.0,3019000.0,3490000.0,,,,3303000.0,,,
RetainedEarningsAccumulatedDeficit / USD,-106906000.0,-106906000.0,-123616000.0,-123616000.0,-123616000.0,-123616000.0,-148163000.0,-148163000.0,-148163000.0,-148163000.0,-152106000.0,-152106000.0,-152106000.0,-152106000.0,-202266000.0,-202266000.0,-202266000.0,-202266000.0,-153698000.0,-153698000.0,-153698000.0,-153698000.0,30048000.0,30048000.0,30048000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,136467000.0,100761000.0,70050000.0,153272000.0,249136000.0,198077000.0,131248000.0,271260000.0,425935000.0,362780000.0,198549000.0,432098000.0,702586000.0,603466000.0,363030000.0,769168000.0,1205701000.0,1028784000.0,481714000.0,991174000.0,1538710000.0,1675100000.0,611253000.0,1256532000.0,1946548000.0
RevenueRemainingPerformanceObligation / USD,,,,,,,,,,434100000.0,815000000.0,815000000.0,815000000.0,815000000.0,1057200000.0,1057200000.0,1057200000.0,1057200000.0,1839400000.0,1839400000.0,1839400000.0,1839400000.0,2273100000.0,2273100000.0,2273100000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,14618000.0,14618000.0,1862000.0,11581000.0,14618000.0,14618000.0,1862000.0,11581000.0,11581000.0,17379000.0,0.0,0.0,17476000.0,17379000.0,5181000.0,13129000.0,44013000.0,17476000.0,12539000.0,46290000.0,53660000.0,48404000.0,55042000.0,55042000.0,61635000.0
SellingAndMarketingExpense / USD,59747000.0,44213000.0,30107000.0,66225000.0,105061000.0,88849000.0,45215000.0,96484000.0,153626000.0,146657000.0,64353000.0,134765000.0,210592000.0,213660000.0,101166000.0,216436000.0,345929000.0,299497000.0,144971000.0,292426000.0,449296000.0,495288000.0,173881000.0,360886000.0,548658000.0
ShareBasedCompensation / USD,3051000.0,3068000.0,2445000.0,5339000.0,10016000.0,5244000.0,12060000.0,28894000.0,49610000.0,19034000.0,28861000.0,63376000.0,107371000.0,74374000.0,66884000.0,149283000.0,250645000.0,163737000.0,112728000.0,231065000.0,354179000.0,363154000.0,135033000.0,269685000.0,411875000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber / shares,21090498.0,22327967.0,21804073.0,,,22327967.0,16917990.0,16916961.0,16428418.0,16545562.0,16552340.0,16977114.0,17395549.0,17373753.0,16674200.0,15555455.0,13424772.0,12074409.0,10734508.0,9487145.0,8323119.0,6953119.0,5636986.0,4241579.0,3835301.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice / USD/shares,2.24,2.19,2.3,,,2.19,1.58,1.8,1.98,1.39,2.21,2.37,2.54,2.74,3.03,3.19,3.16,3.23,3.43,3.7,4.07,4.55,5.31,6.67,7.05
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue / USD,,,,,,,,,,121300000.0,123600000.0,229600000.0,434100000.0,554300000.0,165500000.0,217000000.0,258400000.0,579600000.0,86300000.0,210400000.0,423000000.0,301600000.0,164700000.0,310700000.0,445100000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod / shares,1078452.0,1623264.0,180499.0,335713.0,511680.0,1452033.0,96151.0,262294.0,495782.0,577770.0,35368.0,101980.0,127640.0,133370.0,5901.0,8622.0,17741.0,18291.0,63.0,1038.0,1277.0,1277.0,0.0,0.0,0.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross / shares,9481530.0,12841968.0,14600.0,14600.0,14600.0,9518730.0,0.0,0.0,0.0,14600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue / USD,,,,1266938000.0,1266938000.0,1266938000.0,2575069000.0,2575069000.0,2575069000.0,1266938000.0,3735819000.0,3735819000.0,3735819000.0,3735819000.0,1303464000.0,1303464000.0,1303464000.0,1303464000.0,1426912000.0,1426912000.0,1426912000.0,1426912000.0,961910000.0,961910000.0,961910000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber / shares,38865057.0,35825160.0,36384767.0,36384767.0,36384767.0,38865057.0,27068323.0,27068323.0,27068323.0,36384767.0,21372561.0,21372561.0,21372561.0,21372561.0,18551857.0,18551857.0,18551857.0,18551857.0,12077635.0,12077635.0,12077635.0,12077635.0,6953119.0,6953119.0,6953119.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice / USD/shares,0.83,0.39,2.96,2.96,2.96,0.83,3.31,3.31,3.31,2.96,3.31,3.31,3.31,3.31,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,4.55,4.55,4.55
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod / shares,,,,,,,,,,,,,,,,130162.0,,,,136079.0,,136079.0,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice / USD/shares,0.72,0.21,1.2,1.4,1.64,0.75,2.49,2.46,2.51,1.83,3.61,3.83,3.95,3.71,1.72,2.74,3.41,3.24,1.62,1.51,1.37,1.45,1.29,1.23,1.47
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice / USD/shares,2.29,0.64,4.58,5.44,4.63,2.54,4.86,4.64,6.84,4.93,5.58,5.94,5.79,5.85,7.87,7.9,5.49,5.5,1.27,5.08,5.2,5.2,0.0,0.0,0.0
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice / USD/shares,9.06,0.89,41.19,41.19,41.19,9.15,0.0,0.0,0.0,41.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1 / USD,3187000.0,3316000.0,2497000.0,5462000.0,10153000.0,5411000.0,12163000.0,29195000.0,51131000.0,19235000.0,31014000.0,67588000.0,114133000.0,77778000.0,70390000.0,156123000.0,261405000.0,173397000.0,116955000.0,239302000.0,365487000.0,378007000.0,137679000.0,276591000.0,423156000.0
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1 / USD,,,,,,1605723000.0,,1730262000.0,2289558000.0,1605723000.0,2470661000.0,1576610000.0,1500215000.0,1229289000.0,1160959000.0,1480763000.0,1180435000.0,1426607000.0,1289952000.0,1195264000.0,923771000.0,961910000.0,529327000.0,541486000.0,519104000.0
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1 / USD,,,,,,,,,,10800000.0,7400000.0,14500000.0,21500000.0,27600000.0,6500000.0,12700000.0,18700000.0,28100000.0,5000000.0,9600000.0,12500000.0,23900000.0,,,
ShortTermLeaseCost / USD,2148000.0,2925000.0,636000.0,1584000.0,2148000.0,2925000.0,899000.0,1896000.0,2763000.0,3717000.0,792000.0,1454000.0,2528000.0,3717000.0,1169000.0,3324000.0,6113000.0,3609000.0,2519000.0,4719000.0,7370000.0,8739000.0,1315000.0,2719000.0,4204000.0
StateAndLocalIncomeTaxExpenseBenefitContinuingOperations / USD,,60000.0,,,,-127000.0,,,,126000.0,,,,124000.0,,,,44000.0,,,,183000.0,,,
StockIssued1 / USD,,,,5169000.0,5169000.0,5169000.0,0.0,5169000.0,5169000.0,0.0,20172000.0,51501000.0,51501000.0,5169000.0,,7608000.0,7608000.0,57720000.0,,,,14019000.0,,0.0,0.0
StockIssuedDuringPeriodSharesStockOptionsExercised / shares,10114941.0,2165976.0,2347770.0,5422829.0,7555561.0,10546987.0,1320113.0,2530629.0,4246592.0,8753274.0,1167000.0,1673753.0,2089044.0,2687334.0,1208185.0,2742866.0,5103045.0,6455931.0,1340644.0,2587839.0,3752432.0,5123239.0,1316133.0,2711540.0,3117818.0
StockIssuedDuringPeriodValueAcquisitions / USD,,,,,,,20172000.0,5169000.0,5169000.0,,,51501000.0,51501000.0,,,7608000.0,7608000.0,57720000.0,,,,14019000.0,,53038000.0,53038000.0
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan / USD,,,,6703000.0,6703000.0,13906000.0,,6703000.0,6703000.0,13906000.0,,9794000.0,9794000.0,20278000.0,,13557000.0,13557000.0,20278000.0,,19986000.0,19986000.0,26025000.0,,22507000.0,22507000.0
StockIssuedDuringPeriodValueStockOptionsExercised / USD,3608000.0,449000.0,1308000.0,4470000.0,6576000.0,4557000.0,2813000.0,7235000.0,12391000.0,7173000.0,3290000.0,6217000.0,10676000.0,16009000.0,4218000.0,6416000.0,8253000.0,14941000.0,2076000.0,7517000.0,17390000.0,9970000.0,2173000.0,3899000.0,5155000.0
StockholdersEquity / USD,-75701000.0,-81691000.0,-76041000.0,-76041000.0,-76041000.0,-75701000.0,782341000.0,782341000.0,782341000.0,-76041000.0,957432000.0,957432000.0,957432000.0,782341000.0,1041203000.0,1041203000.0,1041203000.0,957432000.0,1410505000.0,1410505000.0,1410505000.0,1041203000.0,2025354000.0,2025354000.0,2025354000.0
SubleaseIncome / USD,500000.0,100000.0,,,,700000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,0.0,,,
TaxesPayableCurrent / USD,,,,,,8209000.0,,,,12558000.0,,,,17316000.0,,,,25818000.0,,,,30775000.0,,28639000.0,28639000.0
UnbilledReceivablesCurrent / USD,,,14400000.0,14400000.0,14400000.0,14400000.0,20100000.0,20100000.0,20100000.0,20100000.0,44200000.0,44200000.0,44200000.0,44200000.0,60000000.0,60000000.0,60000000.0,60000000.0,61200000.0,61200000.0,61200000.0,61200000.0,77000000.0,77000000.0,77000000.0
UnrecognizedTaxBenefits / USD,,563000.0,,,,563000.0,,,,920000.0,,,,920000.0,,,,532000.0,,,,106000.0,,,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense / USD,,400000.0,,,,400000.0,,,,400000.0,,,,100000.0,,,,100000.0,,,,100000.0,,,
