fact_unit,2019-11-13,2020-02-25,2020-05-12,2020-08-07,2020-11-12,2021-03-01,2021-05-07,2021-08-06,2021-11-05,2022-02-25,2022-05-06,2022-08-08,2022-11-04,2023-02-24,2023-05-05,2023-08-09,2023-11-07,2024-02-23,2024-05-08,2024-08-09,2024-11-08,2025-02-20,2025-05-07,2025-08-08,2025-11-07
FederalIncomeTaxExpenseBenefitContinuingOperations / USD,,41000.0,,,,,,,,0.0,,,,0.0,,,,232000.0,,,,3122000.0,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,857000.0,857000.0,,,,,,2688000.0,3357000.0,4782000.0,4782000.0,4782000.0,4782000.0,4782000.0,11395000.0,11395000.0,11395000.0,11395000.0,18678000.0,18678000.0,18678000.0,18678000.0,10507000.0,10507000.0,10507000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,1027000.0,,1341000.0,4233000.0,5066000.0,6507000.0,5986000.0,7839000.0,7755000.0,8741000.0,5744000.0,5913000.0,5866000.0,6489000.0,2572000.0,2562000.0,2592000.0,2770000.0,743000.0,5811000.0,6128000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,179000.0,,421000.0,542000.0,273000.0,,1188000.0,2213000.0,1278000.0,,4892000.0,4185000.0,2052000.0,,6522000.0,4367000.0,2172000.0,,4214000.0,2716000.0,1306000.0,,1685000.0,3359000.0,1838000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,252000.0,,,,199000.0,227000.0,225000.0,,,,,,,,,,,,,,380000.0,500000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,258000.0,774000.0,253000.0,,66000.0,1387000.0,1688000.0,2987000.0,225000.0,1098000.0,1054000.0,1884000.0,,63000.0,63000.0,531000.0,,,,198000.0,,2422000.0,2761000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,497000.0,1018000.0,774000.0,,819000.0,3711000.0,4544000.0,5985000.0,2985000.0,4838000.0,4755000.0,5740000.0,1886000.0,2066000.0,2044000.0,2597000.0,526000.0,526000.0,526000.0,743000.0,198000.0,5267000.0,5583000.0
FiniteLivedIntangibleAssetsGross / USD,2145000.0,2145000.0,,,,,,14431000.0,16160000.0,20486000.0,20486000.0,20486000.0,20486000.0,20486000.0,27760000.0,27760000.0,27760000.0,27760000.0,28295000.0,28295000.0,28295000.0,28295000.0,14218000.0,14218000.0,14218000.0
FiniteLivedIntangibleAssetsNet / USD,1288000.0,1288000.0,1435000.0,1435000.0,1435000.0,1435000.0,2069000.0,2069000.0,2069000.0,2069000.0,15704000.0,15704000.0,15704000.0,15704000.0,16365000.0,16365000.0,16365000.0,16365000.0,9617000.0,9617000.0,9617000.0,9617000.0,3711000.0,3711000.0,3711000.0
ForeignIncomeTaxExpenseBenefitContinuingOperations / USD,,356000.0,,,,649000.0,,,,608000.0,,,,2201000.0,,,,2047000.0,,,,8785000.0,,,
GainLossOnDispositionOfAssets / USD,1000.0,-4000.0,-4000.0,-4000.0,-442000.0,-9000.0,-2000.0,-8000.0,-4000.0,-708000.0,-3000.0,-156000.0,-258000.0,-10000.0,-823000.0,-1149000.0,-1152000.0,-274000.0,-88000.0,-421000.0,-419000.0,-1662000.0,-43000.0,-343000.0,-352000.0
GeneralAndAdministrativeExpense / USD,12933000.0,11356000.0,7840000.0,13928000.0,23193000.0,18556000.0,14952000.0,28499000.0,44876000.0,35889000.0,21094000.0,42240000.0,65789000.0,62756000.0,26380000.0,60763000.0,100158000.0,94429000.0,42321000.0,84992000.0,136344000.0,139413000.0,45290000.0,92848000.0,145256000.0
Goodwill / USD,7626000.0,6292000.0,9058000.0,9058000.0,9058000.0,9058000.0,17609000.0,17609000.0,17609000.0,17609000.0,292176000.0,292176000.0,292176000.0,292176000.0,348277000.0,348277000.0,348277000.0,348277000.0,352694000.0,352694000.0,352694000.0,352694000.0,360381000.0,360381000.0,360381000.0
GoodwillAcquiredDuringPeriod / USD,,,,7814000.0,7814000.0,7814000.0,31254000.0,241349000.0,238602000.0,275229000.0,,43926000.0,44446000.0,56553000.0,,2029000.0,2029000.0,3540000.0,,,,10210000.0,,164470000.0,163102000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,147000.0,-167000.0,-12000.0,339000.0,737000.0,-384000.0,-276000.0,-476000.0,-662000.0,-144000.0,-1415000.0,-3973000.0,-452000.0,259000.0,-277000.0,-1609000.0,877000.0,-1257000.0,-1830000.0,176000.0,-2523000.0,1357000.0,6131000.0,6560000.0
GoodwillImpairmentLoss / USD,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
GrossProfit / USD,105777000.0,77347000.0,51100000.0,113344000.0,185911000.0,151548000.0,104769000.0,215903000.0,336595000.0,273831000.0,151883000.0,328334000.0,535490000.0,473269000.0,288568000.0,612781000.0,955715000.0,794539000.0,381800000.0,789414000.0,1233631000.0,1328357000.0,501155000.0,1022935000.0,1575195000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,-2498000.0,,,,-11273000.0,,,,-18330000.0,,,,-32033000.0,,,,-29617000.0,,,,-76694000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,-3747000.0,-2113000.0,-9432000.0,-13100000.0,-17228000.0,-10240000.0,6674000.0,7500000.0,-7055000.0,-15976000.0,-12529000.0,-22187000.0,-26954000.0,-22222000.0,10854000.0,10843000.0,-12216000.0,-18422000.0,-20424000.0,-21332000.0,2968000.0,-38070000.0,46185000.0,93978000.0,150114000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,385000.0,,,,1033000.0,,,,2354000.0,,,,9811000.0,,,,11195000.0,,,,38624000.0,,,
IncomeTaxExpenseBenefit / USD,428000.0,457000.0,59000.0,340000.0,373000.0,522000.0,195000.0,737000.0,1332000.0,734000.0,539000.0,243000.0,960000.0,2325000.0,1116000.0,5984000.0,8910000.0,2323000.0,3662000.0,6723000.0,8393000.0,12090000.0,3554000.0,7523000.0,11962000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,-4146000.0,,,,1052000.0,,,,5043000.0,,,,51892000.0,,,,62173000.0,,,,25573000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,-146000.0,,,,191000.0,,,,92000.0,,,,126000.0,,,,424000.0,,,,632000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,-719000.0,,,,-2151000.0,,,,-3355000.0,,,,-4667000.0,,,,-3868000.0,,,,-7995000.0,,,
IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment / USD,,,,,,,,,,,,,,,,,,416000.0,,,,1717000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,,,,,,,,,,,-47032000.0,,,,-57350000.0,,,,-1580000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,-46000.0,,,,-11000.0,,,,0.0,,,,-11000.0,,,,-47000.0,,,,-39000.0,,,
IncomeTaxReconciliationPriorYearIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,0.0,,,
IncomeTaxReconciliationRepatriationOfForeignEarnings / USD,,,,,,296000.0,,,,201000.0,,,,1818000.0,,,,1478000.0,,,,4255000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,60000.0,,,,-100000.0,,,,100000.0,,,,98000.0,,,,18000.0,,,,140000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,,,,,,,,0.0,,,,0.0,,,,9467000.0,,,
