fact_unit,2017-11-06,2018-02-15,2018-05-04,2018-08-03,2018-11-02,2019-02-11,2019-05-03,2019-08-06,2019-10-31,2020-02-14,2020-05-05,2020-07-31,2020-10-30,2021-02-12,2021-05-04,2021-06-03,2021-08-04,2021-11-03,2022-02-11,2022-05-06,2022-08-04,2022-11-08,2023-02-15,2023-05-03,2023-08-03,2023-11-02,2024-02-15,2024-05-01,2024-07-31,2024-11-05,2025-02-14,2025-05-02,2025-08-05,2025-11-06
CommonStockValue / USD,3107000000.0,3107000000.0,23000000.0,23000000.0,23000000.0,23000000.0,24000000.0,8000000.0,8000000.0,8000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0
ComprehensiveIncomeNetOfTax / USD,5203000000.0,7068000000.0,1170000000.0,2929000000.0,3144000000.0,3166000000.0,2565000000.0,2178000000.0,2850000000.0,1967000000.0,545000000.0,2000000.0,-323000000.0,1497000000.0,-1010000000.0,1497000000.0,-3143000000.0,-2616000000.0,-32000000.0,5187000000.0,5802000000.0,6037000000.0,-1491000000.0,227000000.0,389000000.0,-2000000.0,6464000000.0,331000000.0,27000000.0,88000000.0,5036000000.0,5036000000.0,3000000.0,840000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,103000000.0,65000000.0,53000000.0,93000000.0,119000000.0,83000000.0,38000000.0,40000000.0,73000000.0,174000000.0,57000000.0,98000000.0,102000000.0,118000000.0,-2000000.0,118000000.0,8000000.0,19000000.0,112000000.0,-3000000.0,5000000.0,17000000.0,28000000.0,13000000.0,8000000.0,9000000.0,35000000.0,9000000.0,13000000.0,18000000.0,31000000.0,31000000.0,2000000.0,23000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,5306000000.0,7133000000.0,1223000000.0,3022000000.0,3263000000.0,3249000000.0,2603000000.0,2218000000.0,2923000000.0,2141000000.0,602000000.0,100000000.0,-221000000.0,1615000000.0,-1012000000.0,1615000000.0,-3135000000.0,-2597000000.0,80000000.0,5184000000.0,5807000000.0,6054000000.0,-1463000000.0,240000000.0,397000000.0,7000000.0,6499000000.0,340000000.0,40000000.0,106000000.0,5067000000.0,5067000000.0,5000000.0,863000000.0
ContractWithCustomerLiabilityCurrent / USD,,,2131000000.0,2131000000.0,2131000000.0,2131000000.0,2092000000.0,71000000.0,71000000.0,71000000.0,43000000.0,20000000.0,20000000.0,20000000.0,16000000.0,20000000.0,16000000.0,16000000.0,16000000.0,25000000.0,25000000.0,25000000.0,25000000.0,,11000000.0,11000000.0,11000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,1413000000.0,1413000000.0,1413000000.0,1413000000.0,1420000000.0,7000000.0,7000000.0,7000000.0,34000000.0,24000000.0,24000000.0,24000000.0,21000000.0,24000000.0,21000000.0,21000000.0,21000000.0,,,,,,8000000.0,8000000.0,8000000.0,22000000.0,22000000.0,22000000.0,22000000.0,22000000.0,36000000.0,36000000.0
CostOfGoodsAndServicesSold / USD,27066000000.0,37745000000.0,10194000000.0,20955000000.0,33141000000.0,37668000000.0,16315000000.0,7890000000.0,11660000000.0,9558000000.0,3621000000.0,7117000000.0,10648000000.0,15302000000.0,2319000000.0,11123000000.0,4617000000.0,7034000000.0,10026000000.0,1861000000.0,3820000000.0,5852000000.0,7063000000.0,2110000000.0,4259000000.0,6354000000.0,7971000000.0,1983000000.0,4013000000.0,5967000000.0,8402000000.0,8402000000.0,3914000000.0,5107000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,,,-379000000.0,,,,401000000.0,,256000000.0,,,22000000.0,,,,111000000.0,,,,73000000.0,,,,211000000.0,211000000.0,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,,,146000000.0,,,,452000000.0,,332000000.0,,,436000000.0,,,,244000000.0,,,,406000000.0,,,,373000000.0,373000000.0,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,,,,-285000000.0,,,,862000000.0,,584000000.0,,,465000000.0,,,,358000000.0,,,,496000000.0,,,,591000000.0,591000000.0,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,-52000000.0,,,,9000000.0,,-4000000.0,,,7000000.0,,,,3000000.0,,,,17000000.0,,,,7000000.0,7000000.0,,
DebtCurrent / USD,,,,,,,,15000000.0,15000000.0,15000000.0,3830000000.0,3830000000.0,3830000000.0,3830000000.0,1000000.0,3825000000.0,,,1000000.0,150000000.0,,,150000000.0,300000000.0,300000000.0,300000000.0,300000000.0,,,,0.0,0.0,1848000000.0,1848000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,373000000.0,373000000.0,346000000.0,,,346000000.0,,104000000.0,104000000.0,104000000.0,,,,95000000.0,90000000.0,96000000.0,90000000.0,90000000.0,90000000.0,70000000.0,70000000.0,70000000.0,70000000.0,,,,56000000.0,,,,51000000.0,51000000.0,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,,-1385000000.0,,,,-560000000.0,,-470000000.0,,,-499000000.0,,,,-202000000.0,,,,-105000000.0,,,,-191000000.0,-191000000.0,,
