fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
AssetsCurrent / USD,0.0,0.0,0.0,0.0,6757300000.0,,12867500000.0,12867500000.0,12867500000.0,12867500000.0,,10902900000.0,10902900000.0,10902900000.0,10902900000.0,,10635400000.0,10635400000.0,10635400000.0,10635400000.0,,12976100000.0,12976100000.0,12976100000.0,12976100000.0,,9520700000.0,9520700000.0,9520700000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,230300000.0,230300000.0,,2786000000.0,2786000000.0,2786000000.0,2786000000.0,,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,,,,,,,,,,0.0,,,,,0.0,,,,,2700000.0,,,,,800000.0,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,,,,,,,,,,37500000.0,,,,,38100000.0,,,,,38000000.0,,,,,37800000.0,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue / USD,,,,,20900000.0,,,,,19700000.0,,,,,18400000.0,,,,,19600000.0,,,,,20900000.0,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue / USD,,,,,1900000.0,,,,,1200000.0,,,,,1000000.0,,,,,1000000.0,,,,,1100000.0,,,,
AvailableForSaleSecuritiesDebtSecurities / USD,,,,,39100000.0,,,,,39100000.0,,,,,38200000.0,,,,,35300000.0,,,,,37000000.0,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent / USD,,,,,,,,,,39100000.0,,,,,38200000.0,,,,,35300000.0,,,,,37000000.0,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic / USD/shares,,,,,,,,,,,,,,,,,,0.5,0.76,1.57,,,,,1.57,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted / USD/shares,,,,,,,,,,,,,,,,,,0.49,0.75,1.57,,,,,1.57,,,,
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,,,,,,,,,601400000.0,915100000.0,1905700000.0,,,,,1905700000.0,,,,
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,,,,,8315900000.0,12399700000.0,16283400000.0,,,,,16283400000.0,,,,
BusinessCombinationContingentConsiderationLiability / USD,,,,,355300000.0,,223600000.0,223600000.0,223600000.0,250700000.0,,199700000.0,199700000.0,199700000.0,223600000.0,,375000000.0,375000000.0,375000000.0,199700000.0,,215100000.0,215100000.0,215100000.0,375000000.0,,556100000.0,556100000.0,556100000.0
