fact_unit,2015-12-17,2016-03-10,2016-06-08,2016-09-08,2016-12-15,2017-03-09,2017-06-08,2017-09-07,2017-12-15,2018-03-09,2018-06-07,2018-09-04,2018-12-12,2019-03-05,2019-05-31,2019-08-30,2019-12-13,2020-03-09,2020-06-02,2020-09-03,2020-12-10,2021-03-04,2021-06-03,2021-09-03,2021-12-10,2022-03-03,2022-06-03,2022-09-01,2022-12-08,2023-03-07,2023-06-02,2023-09-01,2023-12-22,2024-03-05,2024-06-05,2024-09-05,2024-12-19,2025-03-07,2025-06-04,2025-09-04
AdvertisingExpense / USD,157000000.0,,,,220000000.0,,,,147000000.0,,,,215000000.0,,,,255000000.0,,,,193000000.0,,,,188000000.0,,,,143000000.0,,,,188000000.0,,,,179000000.0,,,
AllocatedShareBasedCompensationExpense / USD,374000000.0,139000000.0,236000000.0,353000000.0,427000000.0,165000000.0,230000000.0,,362000000.0,,,,408000000.0,,,,454000000.0,,,,309000000.0,,,,270000000.0,,,,278000000.0,,,,382000000.0,,,,391000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,251000000.0,93000000.0,158000000.0,237000000.0,286000000.0,115000000.0,163000000.0,,256000000.0,,,,277000000.0,,,,295000000.0,,,,253000000.0,,,,220000000.0,,,,227000000.0,,,,312000000.0,,,,316000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,264000000.0,109000000.0,109000000.0,109000000.0,150000000.0,84000000.0,56000000.0,56000000.0,70000000.0,42000000.0,42000000.0,42000000.0,72000000.0,39000000.0,39000000.0,39000000.0,49000000.0,31000000.0,31000000.0,31000000.0,42000000.0,31000000.0,31000000.0,31000000.0,39000000.0,46000000.0,46000000.0,46000000.0,31000000.0,23000000.0,23000000.0,23000000.0,46000000.0,25000000.0,25000000.0,25000000.0,23000000.0,37000000.0,37000000.0,37000000.0
AmortizationOfIntangibleAssets / USD,1228000000.0,203000000.0,407000000.0,632000000.0,906000000.0,218000000.0,220000000.0,331000000.0,229000000.0,66000000.0,138000000.0,235000000.0,272000000.0,78000000.0,150000000.0,222000000.0,321000000.0,72000000.0,141000000.0,199000000.0,294000000.0,120000000.0,204000000.0,299000000.0,267000000.0,110000000.0,194000000.0,276000000.0,379000000.0,73000000.0,147000000.0,220000000.0,354000000.0,73000000.0,144000000.0,216000000.0,293000000.0,71000000.0,138000000.0,198000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,28000000.0,28000000.0,28000000.0,28000000.0,28000000.0,64000000.0,51000000.0,44000000.0,28000000.0,7000000.0,90000000.0,8000000.0,32000000.0,7000000.0,3000000.0,3000000.0,8000000.0,7000000.0,3000000.0,4000000.0,2000000.0,1000000.0,48000000.0,48000000.0,4000000.0,22000000.0,7000000.0,7000000.0,49000000.0,1000000.0,0.0,0.0,6000000.0,9000000.0,10000000.0,11000000.0,2000000.0,1000000.0,0.0,0.0
Assets / USD,65071000000.0,79916000000.0,79916000000.0,79916000000.0,79916000000.0,79629000000.0,79629000000.0,79629000000.0,79629000000.0,61406000000.0,61406000000.0,61406000000.0,61406000000.0,55493000000.0,55493000000.0,55493000000.0,55493000000.0,51803000000.0,51803000000.0,51803000000.0,51803000000.0,54015000000.0,54015000000.0,54015000000.0,54015000000.0,57699000000.0,57699000000.0,57699000000.0,57699000000.0,57123000000.0,57123000000.0,57123000000.0,57123000000.0,57153000000.0,57153000000.0,57153000000.0,57153000000.0,71262000000.0,71262000000.0,71262000000.0
AssetsCurrent / USD,22031000000.0,29964000000.0,29964000000.0,29964000000.0,29964000000.0,28917000000.0,28917000000.0,28917000000.0,28917000000.0,21444000000.0,21444000000.0,21444000000.0,21444000000.0,17272000000.0,17272000000.0,17272000000.0,17272000000.0,15143000000.0,15143000000.0,15143000000.0,15143000000.0,16556000000.0,16556000000.0,16556000000.0,16556000000.0,18878000000.0,18878000000.0,18878000000.0,18878000000.0,20506000000.0,20506000000.0,20506000000.0,20506000000.0,18948000000.0,18948000000.0,18948000000.0,18948000000.0,33457000000.0,33457000000.0,33457000000.0
AssetsHeldForSaleNotPartOfDisposalGroupCurrent / USD,,,,,,,,,0.0,14000000.0,14000000.0,14000000.0,14000000.0,6000000.0,6000000.0,6000000.0,6000000.0,46000000.0,46000000.0,46000000.0,46000000.0,77000000.0,77000000.0,77000000.0,,,,,,,,,,,,0.0,0.0,1000000.0,1000000.0,1000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,403000000.0,382000000.0,419000000.0,,276000000.0,,,,,228000000.0,152000000.0,,,,144000000.0,143000000.0,139000000.0,133000000.0,97000000.0,103000000.0,142000000.0,131000000.0,129000000.0,152000000.0,128000000.0,136000000.0,143000000.0,138000000.0,149000000.0,133000000.0,139000000.0,117000000.0,125000000.0,117000000.0,110000000.0,111000000.0,119000000.0,,,109000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,459000000.0,441000000.0,476000000.0,,333000000.0,,,,,266000000.0,173000000.0,,,,163000000.0,165000000.0,156000000.0,155000000.0,107000000.0,118000000.0,165000000.0,152000000.0,145000000.0,169000000.0,146000000.0,150000000.0,150000000.0,142000000.0,164000000.0,137000000.0,143000000.0,120000000.0,124000000.0,123000000.0,113000000.0,117000000.0,119000000.0,,,117000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,21000000.0,4000000.0,23000000.0,69000000.0,11000000.0,37000000.0,80000000.0,114000000.0,84000000.0,44000000.0,94000000.0,150000000.0,145000000.0,30000000.0,46000000.0,70000000.0,203000000.0,63000000.0,147000000.0,710000000.0,82000000.0,22000000.0,40000000.0,55000000.0,757000000.0,18000000.0,31000000.0,34000000.0,80000000.0,8000000.0,16000000.0,25000000.0,36000000.0,11000000.0,30000000.0,51000000.0,19000000.0,43000000.0,89000000.0,131000000.0
BusinessExitCosts1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CapitalizedComputerSoftwareGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534000000.0,,,,606000000.0,,,
CapitalizedContractCostAmortization / USD,,,,,,,,,,,,,,10000000.0,22000000.0,34000000.0,,10000000.0,22000000.0,34000000.0,,14000000.0,28000000.0,43000000.0,58000000.0,15000000.0,32000000.0,48000000.0,73000000.0,20000000.0,41000000.0,62000000.0,83000000.0,22000000.0,45000000.0,69000000.0,83000000.0,26000000.0,52000000.0,79000000.0
CapitalizedContractCostNetCurrent / USD,,,,,,,,,,,,,,41000000.0,43000000.0,46000000.0,49000000.0,51000000.0,49000000.0,49000000.0,,54000000.0,54000000.0,54000000.0,54000000.0,64000000.0,64000000.0,64000000.0,64000000.0,76000000.0,76000000.0,76000000.0,76000000.0,86000000.0,86000000.0,86000000.0,86000000.0,88000000.0,88000000.0,88000000.0
CapitalizedContractCostNetNoncurrent / USD,,,,,,,,,,,,,,63000000.0,66000000.0,69000000.0,74000000.0,77000000.0,74000000.0,74000000.0,,76000000.0,76000000.0,76000000.0,76000000.0,95000000.0,95000000.0,95000000.0,95000000.0,124000000.0,124000000.0,124000000.0,124000000.0,138000000.0,138000000.0,138000000.0,138000000.0,136000000.0,136000000.0,136000000.0
CashAndCashEquivalentsAtCarryingValue / USD,2134000000.0,2319000000.0,2319000000.0,2319000000.0,2182000000.0,9842000000.0,9842000000.0,9842000000.0,2319000000.0,12987000000.0,12987000000.0,12987000000.0,9842000000.0,4880000000.0,4880000000.0,4880000000.0,4880000000.0,3753000000.0,3753000000.0,3753000000.0,3753000000.0,4233000000.0,4233000000.0,4233000000.0,4233000000.0,3996000000.0,3996000000.0,3996000000.0,3996000000.0,4163000000.0,4163000000.0,4163000000.0,4163000000.0,4270000000.0,4270000000.0,4270000000.0,4270000000.0,14846000000.0,14846000000.0,14846000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,9592000000.0,9592000000.0,9592000000.0,13442000000.0,5084000000.0,5084000000.0,5084000000.0,9592000000.0,4076000000.0,4076000000.0,4076000000.0,5084000000.0,4621000000.0,4621000000.0,4621000000.0,4076000000.0,4332000000.0,4332000000.0,4332000000.0,4621000000.0,4763000000.0,4763000000.0,4763000000.0,4332000000.0,4581000000.0,4581000000.0,4581000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,-4343000000.0,-3850000000.0,-1179000000.0,-1295000000.0,-1073000000.0,-4508000000.0,-528000000.0,1914000000.0,4861000000.0,-1008000000.0,-148000000.0,135000000.0,1031000000.0,545000000.0,-56000000.0,-784000000.0,117000000.0,-289000000.0,-1919000000.0,-1808000000.0,-1631000000.0,431000000.0,-609000000.0,-1657000000.0,-676000000.0
CashCollateralForBorrowedSecurities / USD,,,,,,,49000000.0,335000000.0,220000000.0,220000000.0,220000000.0,220000000.0,220000000.0,302000000.0,302000000.0,302000000.0,302000000.0,6000000.0,3000000.0,83000000.0,19000000.0,67000000.0,70000000.0,5000000.0,5000000.0,,,,113000000.0,313000000.0,225000000.0,263000000.0,56000000.0,56000000.0,56000000.0,56000000.0,56000000.0,,288000000.0,174000000.0
CommercialPaper / USD,,,,,,,,,,401000000.0,401000000.0,401000000.0,,392000000.0,392000000.0,392000000.0,,698000000.0,698000000.0,698000000.0,,677000000.0,677000000.0,677000000.0,,705000000.0,705000000.0,705000000.0,,542000000.0,542000000.0,542000000.0,,679000000.0,679000000.0,679000000.0,,,,
CommonStockDividendsPerShareDeclared / USD/shares,,0.11,0.17,0.0,0.0,0.11,0.165,0.22,0.0,0.13,0.195,0.26,0.22,0.15,0.2625,0.375,0.26,0.1125,0.225,0.3375,0.4875,0.12,0.24,0.24,0.4575,0.12,0.24,0.36,0.36,0.12,0.24,0.36,0.48,0.12,0.24,0.36,0.48,0.13,0.26,0.39
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0,9600000000.0
CommonStockSharesIssued / shares,,1733000000.0,1724000000.0,1664000000.0,1666000000.0,1666000000.0,1666000000.0,1666000000.0,1666000000.0,1595000000.0,1595000000.0,1595000000.0,1595000000.0,1423000000.0,1423000000.0,1423000000.0,1423000000.0,1294000000.0,1294000000.0,1294000000.0,1294000000.0,1287000000.0,1287000000.0,1287000000.0,1287000000.0,1295000000.0,1295000000.0,1295000000.0,1295000000.0,1281000000.0,1281000000.0,1281000000.0,1281000000.0,1283000000.0,1282630405.0,1282630405.0,1282630405.0,1297258235.0,1297258235.0,1297258235.0
CommonStockSharesOutstanding / shares,,1733000000.0,1724000000.0,1664000000.0,1666000000.0,1666000000.0,1666000000.0,1666000000.0,1666000000.0,1595000000.0,1595000000.0,1595000000.0,1595000000.0,1423000000.0,1423000000.0,1423000000.0,1423000000.0,1294000000.0,1294000000.0,1294000000.0,1294000000.0,1287000000.0,1287000000.0,1287000000.0,1287000000.0,1295000000.0,1295000000.0,1295000000.0,1295000000.0,1281000000.0,1281000000.0,1281000000.0,1281000000.0,1283000000.0,1282630405.0,1282630405.0,1282630405.0,1297258235.0,1297258235.0,1297258235.0
CommonStockValueOutstanding / USD,,17000000.0,17000000.0,0.0,0.0,17000000.0,17000000.0,17000000.0,17000000.0,16000000.0,16000000.0,16000000.0,16000000.0,14000000.0,14000000.0,14000000.0,14000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,127000000.0,2697000000.0,,742000000.0,131000000.0,480000000.0,,1376000000.0,2313000000.0,2840000000.0,1318000000.0,101000000.0,634000000.0,637000000.0,1771000000.0,403000000.0,-343000000.0,-465000000.0,540000000.0,266000000.0,659000000.0,1182000000.0,-491000000.0,550000000.0,869000000.0,1225000000.0,4451000000.0,343000000.0,839000000.0,1332000000.0,685000000.0,363000000.0,727000000.0,1240000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,2155000000.0,571000000.0,757000000.0,1074000000.0,1095000000.0,190000000.0,435000000.0,478000000.0,-306000000.0,,,,1577000000.0,,,,1317000000.0,,,,1767000000.0,,,,556000000.0,,,,-480000000.0,,,,4460000000.0,,,,690000000.0,,,
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,3200000000.0,5800000000.0,5800000000.0,5800000000.0,6000000000.0,6000000000.0,6100000000.0,6000000000.0,6200000000.0,6200000000.0,6200000000.0,6200000000.0,6400000000.0,6400000000.0,6400000000.0,6400000000.0,,,,6900000000.0,,,,6939000000.0,,,
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,3177000000.0,3234000000.0,3234000000.0,3234000000.0,3234000000.0,3430000000.0,3430000000.0,3430000000.0,3430000000.0,3408000000.0,3408000000.0,3408000000.0,3408000000.0,3451000000.0,3451000000.0,3451000000.0,3451000000.0,3658000000.0,3658000000.0,3658000000.0,3658000000.0,3904000000.0,3904000000.0,3904000000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,,,,,,2646000000.0,,,,2751000000.0,,,,2785000000.0,,,,2972000000.0,3000000000.0,3000000000.0,3000000000.0,2955000000.0,3300000000.0,,,3281000000.0,,,
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,3100000000.0,1300000000.0,2100000000.0,2700000000.0,3200000000.0,1200000000.0,2100000000.0,2700000000.0,3200000000.0,1200000000.0,1900000000.0,2600000000.0,3200000000.0,1200000000.0,2100000000.0,2800000000.0,3400000000.0,1300000000.0,2300000000.0,3100000000.0,3500000000.0,1100000000.0,1800000000.0,3000000000.0
ConvertiblePreferredDividendsNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
CostsAndExpenses / USD,54419000000.0,12321000000.0,24442000000.0,37255000000.0,52788000000.0,12340000000.0,16118000000.0,21478000000.0,29131000000.0,6449000000.0,13062000000.0,20362000000.0,26377000000.0,7446000000.0,14548000000.0,21822000000.0,28307000000.0,7097000000.0,13813000000.0,21106000000.0,29115000000.0,6601000000.0,13444000000.0,20248000000.0,27861000000.0,6611000000.0,13033000000.0,19648000000.0,27311000000.0,6513000000.0,13019000000.0,19504000000.0,26652000000.0,7218000000.0,13671000000.0,20202000000.0,27714000000.0,6230000000.0,13009000000.0,20172000000.0
CurrentFederalTaxExpenseBenefit / USD,293000000.0,,,,481000000.0,,,,1640000000.0,,,,940000000.0,,,,560000000.0,,,,-2177000000.0,,,,-763000000.0,,,,-55000000.0,,,,-26000000.0,,,,12000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,698000000.0,,,,375000000.0,,,,313000000.0,,,,874000000.0,,,,64000000.0,,,,419000000.0,,,,246000000.0,,,,284000000.0,,,,-305000000.0,,,,288000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,77000000.0,,,,45000000.0,,,,45000000.0,,,,36000000.0,,,,-107000000.0,,,,52000000.0,,,,-58000000.0,,,,-55000000.0,,,,4000000.0,,,,-43000000.0,,,
DebtAndCapitalLeaseObligations / USD,1400000000.0,15800000000.0,15800000000.0,15800000000.0,15800000000.0,16100000000.0,15700000000.0,15700000000.0,15700000000.0,,,,14000000000.0,,,,12100000000.0,,,,13800000000.0,,,,15900000000.0,,,,13400000000.0,,,,12500000000.0,,,,12400000000.0,,,
DebtCurrent / USD,894000000.0,691000000.0,691000000.0,691000000.0,691000000.0,3530000000.0,3527000000.0,3527000000.0,3525000000.0,3850000000.0,3850000000.0,3850000000.0,3850000000.0,2005000000.0,2005000000.0,2005000000.0,2005000000.0,4425000000.0,4425000000.0,4425000000.0,4425000000.0,3755000000.0,3755000000.0,3755000000.0,3755000000.0,3552000000.0,3552000000.0,3552000000.0,3552000000.0,4612000000.0,4612000000.0,4612000000.0,4612000000.0,4868000000.0,4868000000.0,4868000000.0,4868000000.0,4742000000.0,4742000000.0,4742000000.0
DebtInstrumentFairValue / USD,1400000000.0,15800000000.0,15800000000.0,16400000000.0,16300000000.0,16300000000.0,15800000000.0,15800000000.0,16300000000.0,14600000000.0,14600000000.0,14600000000.0,14600000000.0,12200000000.0,12200000000.0,12200000000.0,12200000000.0,14600000000.0,,,14600000000.0,,,,17100000000.0,,,,14600000000.0,,,,12200000000.0,,,,12200000000.0,,,
DebtInstrumentUnamortizedDiscount / USD,4000000.0,,,,1000000.0,,,,10000000.0,,,,9000000.0,,,,7000000.0,,,10000000.0,9000000.0,,,,7000000.0,,,,5000000.0,,,,4000000.0,,,,53000000.0,,,49000000.0
DebtSecuritiesAvailableForSaleAccumulatedGrossUnrealizedGainLossBeforeTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,8000000.0,8000000.0,8000000.0
DebtWeightedAverageInterestRate / pure,0.028,0.026,0.026,0.026,0.026,0.017,0.017,0.017,0.017,,,,0.032,,,,0.022,,,,0.041,,,,0.02,,,,0.021,,,,0.036,,,,0.048,,,
DeferredCosts / USD,730000000.0,,,,715000000.0,822000000.0,,,366000000.0,,,,830000000.0,,,,829000000.0,,,,864000000.0,,,,1046000000.0,,,,1898000000.0,,,,1287000000.0,,,,1313000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,-267000000.0,,,,-460000000.0,,,,-2610000000.0,,,,-959000000.0,,,,-1366000000.0,,,,150000000.0,,,,1046000000.0,,,,-149000000.0,,,,79000000.0,,,,-98000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,36000000.0,,,,197000000.0,,,,60000000.0,,,,-58000000.0,,,,25000000.0,,,,-188000000.0,,,,101000000.0,,,,-133000000.0,,,,116000000.0,,,,-143000000.0,,,
DeferredGainLossOnDiscontinuationOfInterestRateFairValueHedge / USD,-55000000.0,-55000000.0,-55000000.0,-55000000.0,-55000000.0,103000000.0,103000000.0,103000000.0,103000000.0,,,-142000000.0,-142000000.0,,,,-353000000.0,,,259000000.0,61000000.0,,,,220000000.0,,,,95000000.0,,,,-178000000.0,,,,151000000.0,,,17000000.0
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,2403000000.0,1515000000.0,1515000000.0,1515000000.0,1515000000.0,1778000000.0,1778000000.0,1778000000.0,1778000000.0,2023000000.0,2023000000.0,2023000000.0,2023000000.0,2127000000.0,2127000000.0,2127000000.0,2127000000.0,2264000000.0,2264000000.0,2264000000.0,2264000000.0,2396000000.0,2396000000.0,2396000000.0
DeferredIncomeTaxExpenseBenefit / USD,-248000000.0,-1107000000.0,-950000000.0,-876000000.0,-304000000.0,245000000.0,-31000000.0,-1012000000.0,-2522000000.0,-125000000.0,506000000.0,145000000.0,-1345000000.0,-1335000000.0,-1164000000.0,-1215000000.0,-1122000000.0,370000000.0,344000000.0,885000000.0,2229000000.0,-28000000.0,-103000000.0,-214000000.0,1079000000.0,-71000000.0,-95000000.0,-156000000.0,-294000000.0,37000000.0,-54000000.0,-61000000.0,-167000000.0,20000000.0,69000000.0,-2000000.0,-249000000.0,-22000000.0,0.0,16000000.0
DeferredIncomeTaxLiabilities / USD,4679000000.0,,,,4366000000.0,,,,3947000000.0,,,,4255000000.0,,,,631000000.0,,,,585000000.0,,,,574000000.0,,,,497000000.0,,,,537000000.0,,,,484000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,1485000000.0,311000000.0,311000000.0,311000000.0,311000000.0,290000000.0,290000000.0,290000000.0,290000000.0,494000000.0,494000000.0,494000000.0,494000000.0,320000000.0,320000000.0,320000000.0,320000000.0,326000000.0,326000000.0,326000000.0,326000000.0,373000000.0,373000000.0,373000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,-17000000.0,,,,-42000000.0,,,,-153000000.0,,,,-210000000.0,,,,660000000.0,,,,0.0,,,,-68000000.0,,,,-12000000.0,,,,-28000000.0,,,,-8000000.0,,,
DeferredTaxAssetsDeferredIncome / USD,949000000.0,,,,1152000000.0,,,,670000000.0,,,,757000000.0,,,,518000000.0,,,,531000000.0,,,,565000000.0,,,,517000000.0,,,,601000000.0,,,,658000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,157000000.0,,,,0.0,,,,,,,,0.0,,,,48000000.0,,,,130000000.0,,,,94000000.0,,,,91000000.0,,,,113000000.0,,,,107000000.0,,,
DeferredTaxAssetsGross / USD,10115000000.0,,,,10502000000.0,,,,8752000000.0,,,,11603000000.0,,,,11015000000.0,,,,10014000000.0,,,,9786000000.0,,,,9394000000.0,,,,9161000000.0,,,,7850000000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,44000000.0,,,
DeferredTaxAssetsInventory / USD,93000000.0,,,,97000000.0,,,,84000000.0,,,,79000000.0,,,,77000000.0,,,,59000000.0,,,,75000000.0,,,,79000000.0,,,,87000000.0,,,,90000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,1524000000.0,3884000000.0,3884000000.0,3884000000.0,3884000000.0,4287000000.0,3732000000.0,3732000000.0,2710000000.0,4559000000.0,4559000000.0,4559000000.0,4559000000.0,2175000000.0,2175000000.0,2175000000.0,2175000000.0,1204000000.0,1204000000.0,1204000000.0,1204000000.0,1488000000.0,1488000000.0,1488000000.0,1488000000.0,1529000000.0,1529000000.0,1529000000.0,1529000000.0,1807000000.0,1807000000.0,1807000000.0,1807000000.0,1938000000.0,1938000000.0,1938000000.0,1938000000.0,2023000000.0,2023000000.0,2023000000.0
DeferredTaxAssetsNet / USD,6203000000.0,,,,8250000000.0,,,,6657000000.0,,,,8814000000.0,,,,2806000000.0,,,,1789000000.0,,,,2062000000.0,,,,2026000000.0,,,,2344000000.0,,,,2422000000.0,,,
