fact_unit,2015-03-05,2015-06-04,2015-09-03,2015-12-21,2016-03-04,2016-06-03,2016-09-02,2016-12-19,2017-02-28,2017-06-07,2017-09-06,2017-12-20,2018-03-08,2018-06-05,2018-08-31,2018-12-18,2019-03-05,2019-05-30,2019-06-25,2019-08-30,2019-12-18,2020-03-05,2020-06-02,2020-09-01,2020-12-17,2021-03-03,2021-05-28,2021-08-31,2021-12-17,2022-03-01,2022-06-01,2022-08-30,2022-12-15,2023-03-03,2023-05-31,2023-08-30,2023-12-15,2024-03-05,2024-05-31,2024-08-29,2024-12-17,2025-03-06,2025-06-03,2025-08-29
AdjustmentForAmortization / USD,,,,,,,,,,,,,,,83000000.0,49000000.0,52000000.0,104000000.0,49000000.0,155000000.0,133000000.0,52000000.0,103000000.0,157000000.0,207000000.0,56000000.0,109000000.0,163000000.0,212000000.0,59000000.0,115000000.0,149000000.0,222000000.0,27000000.0,53000000.0,80000000.0,176000000.0,24000000.0,49000000.0,72000000.0,106000000.0,38000000.0,76000000.0,108000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000.0,53000000.0,72000000.0,73000000.0,73000000.0,53000000.0,46000000.0,47000000.0,49000000.0,74000000.0,28000000.0,28000000.0,31000000.0
AdjustmentsToAdditionalPaidInCapitalMarkToMarket / USD,,,,,,,,,,,,,,,,,9000000.0,17000000.0,,42000000.0,,30000000.0,39000000.0,65000000.0,62000000.0,26000000.0,26000000.0,57000000.0,68000000.0,28000000.0,29000000.0,59000000.0,58000000.0,31000000.0,31000000.0,63000000.0,59000000.0,33000000.0,33000000.0,67000000.0,63000000.0,32000000.0,33000000.0,65000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,54000000.0,,,,54000000.0,,,,54000000.0,,,,48000000.0,20000000.0,34000000.0,48000000.0,48000000.0,56000000.0,28000000.0,50000000.0,66000000.0,59000000.0,41000000.0,55000000.0,72000000.0,82000000.0,45000000.0,64000000.0,83000000.0,92000000.0,53000000.0,77000000.0,102000000.0,103000000.0,58000000.0,85000000.0,111000000.0,125000000.0,52000000.0,84000000.0,112000000.0
AdvancesOnInventoryPurchases / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000000.0,199000000.0,199000000.0,199000000.0,199000000.0,210000000.0,210000000.0,210000000.0,210000000.0,200000000.0,200000000.0,200000000.0
AdvertisingExpense / USD,,,,16000000.0,,,,22000000.0,,,,27000000.0,,,,19000000.0,,,19000000.0,,22000000.0,,,,21000000.0,,,,22000000.0,,,,24000000.0,,,,21000000.0,,,,27000000.0,,,
AllocatedShareBasedCompensationExpense / USD,17000000.0,27000000.0,36000000.0,43000000.0,29000000.0,42000000.0,49000000.0,44000000.0,16000000.0,29000000.0,39000000.0,55000000.0,18000000.0,31000000.0,44000000.0,49000000.0,19000000.0,34000000.0,49000000.0,48000000.0,56000000.0,27000000.0,50000000.0,66000000.0,59000000.0,39000000.0,54000000.0,73000000.0,82000000.0,43000000.0,65000000.0,84000000.0,93000000.0,51000000.0,77000000.0,103000000.0,104000000.0,55000000.0,84000000.0,111000000.0,126000000.0,50000000.0,86000000.0,118000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,,0.0,,,,2000000.0,,,,3000000.0,,,3000000.0,,2000000.0,,,,3000000.0,,,,3000000.0,,,,4000000.0,,,,4000000.0,,,,5000000.0,,,
AmortizationOfIntangibleAssets / USD,2000000.0,4000000.0,6000000.0,9000000.0,2000000.0,4000000.0,6000000.0,8000000.0,12000000.0,22000000.0,34000000.0,15000000.0,11000000.0,29000000.0,81000000.0,43000000.0,51000000.0,102000000.0,43000000.0,153000000.0,131000000.0,51000000.0,102000000.0,155000000.0,204000000.0,55000000.0,108000000.0,162000000.0,210000000.0,58000000.0,114000000.0,147000000.0,220000000.0,26000000.0,52000000.0,78000000.0,174000000.0,23000000.0,48000000.0,71000000.0,103000000.0,38000000.0,75000000.0,106000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,46300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,,,,40000000.0,,,,110000000.0,,,,89000000.0,,,
Assets / USD,3050000000.0,3050000000.0,3050000000.0,3050000000.0,3508000000.0,3508000000.0,3508000000.0,3508000000.0,3796000000.0,3796000000.0,3796000000.0,3796000000.0,5933000000.0,5933000000.0,5933000000.0,5933000000.0,5824000000.0,5824000000.0,5933000000.0,5824000000.0,5824000000.0,6623000000.0,6623000000.0,6623000000.0,6623000000.0,7218000000.0,7218000000.0,7218000000.0,7218000000.0,7781000000.0,7781000000.0,7781000000.0,7781000000.0,8098000000.0,8098000000.0,8098000000.0,8098000000.0,8683000000.0,8683000000.0,8683000000.0,8683000000.0,9269000000.0,9269000000.0,9269000000.0
AssetsCurrent / USD,1850000000.0,1850000000.0,1850000000.0,1850000000.0,1579000000.0,1579000000.0,1579000000.0,1579000000.0,1854000000.0,1854000000.0,1854000000.0,1854000000.0,2177000000.0,2177000000.0,2177000000.0,2177000000.0,2378000000.0,2378000000.0,2177000000.0,2378000000.0,2378000000.0,3215000000.0,3215000000.0,3215000000.0,3215000000.0,3374000000.0,3374000000.0,3374000000.0,3374000000.0,3834000000.0,3834000000.0,3834000000.0,3834000000.0,4234000000.0,4234000000.0,4234000000.0,4234000000.0,4809000000.0,4809000000.0,4809000000.0,4809000000.0,4257000000.0,4257000000.0,4257000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,1000000.0,1000000.0,1000000.0,8000000.0,0.0,0.0,2000000.0,1000000.0,2000000.0,7000000.0,11000000.0,16000000.0,6000000.0,27000000.0,39000000.0,18000000.0,19000000.0,36000000.0,18000000.0,42000000.0,57000000.0,2000000.0,2000000.0,5000000.0,49000000.0,2000000.0,4000000.0,12000000.0,9000000.0,3000000.0,6000000.0,8000000.0,13000000.0,3000000.0,5000000.0,7000000.0,9000000.0,2000000.0,5000000.0,11000000.0,9000000.0,17000000.0,36000000.0,59000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,7000000.0,-9000000.0,-13000000.0,-14000000.0,10000000.0,5000000.0,-3000000.0,-3000000.0,,,,,,,,,,,,,10000000.0,14000000.0,13000000.0,17000000.0,27000000.0,14000000.0,34000000.0,19000000.0,23000000.0,22000000.0,24000000.0,23000000.0,23000000.0,31000000.0,15000000.0,14000000.0,17000000.0
CapitalizedContractCostAmortization / USD,,,,,,,,,,,,,,,,,-18.0,-36.0,,-50.0,-64.0,-18000000.0,-36000000.0,-50000000.0,-64000000.0,-16000000.0,33000000.0,50000000.0,64000000.0,18000000.0,38000000.0,58000000.0,83000000.0,22000000.0,45000000.0,64000000.0,77000000.0,19000000.0,37000000.0,50000000.0,84000000.0,16000000.0,30000000.0,43000000.0
CapitalizedContractCostNet / USD,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28000000.0,31000000.0,31000000.0,31000000.0,39000000.0,39000000.0,39000000.0,39000000.0,38000000.0,38000000.0,,38000000.0,,,,43000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,0.0,0.0,0.0,0.0,810000000.0,810000000.0,810000000.0,0.0,483000000.0,483000000.0,483000000.0,810000000.0,783000000.0,783000000.0,783000000.0,483000000.0,980000000.0,784000000.0,483000000.0,913000000.0,913000000.0,1598000000.0,1598000000.0,1598000000.0,1598000000.0,1756000000.0,1756000000.0,1756000000.0,1756000000.0,2052000000.0,2052000000.0,2052000000.0,2052000000.0,2042000000.0,2042000000.0,2042000000.0,2042000000.0,2472000000.0,2472000000.0,2472000000.0,2472000000.0,1796000000.0,1796000000.0,1796000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,820000000.0,820000000.0,,820000000.0,785000000.0,917000000.0,917000000.0,917000000.0,820000000.0,1600000000.0,1600000000.0,1600000000.0,917000000.0,1767000000.0,1767000000.0,1767000000.0,1600000000.0,2068000000.0,2068000000.0,2068000000.0,1767000000.0,2057000000.0,2057000000.0,2057000000.0,2068000000.0,2488000000.0,2488000000.0,2488000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,-34000000.0,,-76000000.0,35000000.0,185000000.0,363000000.0,479000000.0,97000000.0,93000000.0,243000000.0,103000000.0,683000000.0,136000000.0,242000000.0,403000000.0,167000000.0,-76000000.0,-168000000.0,-205000000.0,301000000.0,187000000.0,457000000.0,531000000.0,-11000000.0,-723000000.0,-814000000.0,-839000000.0
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths / USD,,,,,,,,4000000.0,0.0,1000000.0,1000000.0,3000000.0,4000000.0,2000000.0,2000000.0,0.0,2000000.0,-1000000.0,0.0,-2000000.0,2000000.0,1000000.0,-5000000.0,-1000000.0,1000000.0,-1000000.0,-2000000.0,0.0,3000000.0,0.0,-3000000.0,-1000000.0,7000000.0,-2000000.0,-5000000.0,7000000.0,8000000.0,5000000.0,9000000.0,9000000.0,16000000.0,12000000.0,9000000.0,14000000.0
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,,,,167000000.0,,170000000.0,170000000.0,170000000.0,172000000.0,172000000.0,172000000.0,172000000.0,188000000.0,188000000.0,188000000.0,188000000.0,191000000.0,191000000.0,188000000.0,191000000.0,191000000.0,194000000.0,194000000.0,194000000.0,194000000.0,196000000.0,196000000.0,196000000.0,196000000.0,197000000.0,197000000.0,197000000.0,197000000.0,199000000.0,199000000.0,199000000.0,199000000.0,200000000.0,200000000.0,200000000.0,200000000.0,201000000.0,201000000.0,201000000.0
CommonStockValue / USD,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323000000.0,598000000.0,883000000.0,1112000000.0,196000000.0,295000000.0,716000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,461.0,461.0,,461.0,461.0,461000000.0,510000000.0,510000000.0,510000000.0,510000000.0,566000000.0,566000000.0,566000000.0,665000000.0,665000000.0,665000000.0,665000000.0,692000000.0,692000000.0,692000000.0,692000000.0,757000000.0,757000000.0,757000000.0,757000000.0,767000000.0,767000000.0,767000000.0
ContractWithCustomerLiabilityIncreaseDecreaseForContractAcquiredInBusinessCombination / USD,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,10000000.0,10000000.0,0.0,2000000.0,2000000.0,3000000.0,,,,,,4000000.0,4000000.0,4000000.0,15000000.0,19000000.0,19000000.0,19000000.0,,,
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,-124.0,-191.0,,-239.0,-274.0,-124000000.0,-223000000.0,-287000000.0,-336000000.0,132000000.0,266000000.0,338000000.0,-391000000.0,208000000.0,337000000.0,425000000.0,-482000000.0,217000000.0,333000000.0,427000000.0,-490000000.0,224000000.0,370000000.0,475000000.0,-541000000.0,204000000.0,343000000.0,475000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,1294000000.0,412000000.0,863000000.0,1302000000.0,1305000000.0,1492000000.0,428000000.0,870000000.0,1314000000.0,1767000000.0,440000000.0,819000000.0,1224000000.0,1769000000.0,473000000.0,957000000.0,1415000000.0,1688000000.0,446000000.0,938000000.0,1437000000.0,1872000000.0,498000000.0,979000000.0,1465000000.0,1970000000.0,446000000.0,899000000.0,1361000000.0
CostsAndExpenses / USD,580000000.0,1196000000.0,1832000000.0,2392000000.0,614000000.0,1221000000.0,1786000000.0,2464000000.0,623000000.0,1259000000.0,1868000000.0,2425000000.0,564000000.0,1275000000.0,2111000000.0,2512000000.0,854000000.0,1758000000.0,2543000000.0,2645000000.0,3041000000.0,885000000.0,1790000000.0,2680000000.0,4272000000.0,892000000.0,1685000000.0,2514000000.0,3592000000.0,968000000.0,1954000000.0,2916000000.0,3456000000.0,979000000.0,2003000000.0,3022000000.0,3861000000.0,1059000000.0,2095000000.0,3112000000.0,4086000000.0,1038000000.0,2077000000.0,3089000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,10000000.0,,,,-11000000.0,,,,12000000.0,,,,-15000000.0,,,-15000000.0,,21000000.0,,,,131000000.0,,,,10000000.0,,,,16000000.0,,,,71000000.0,,,,28000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,16000000.0,,,,62000000.0,,,,24000000.0,,,,32000000.0,,,32000000.0,,101000000.0,,,,75000000.0,,,,91000000.0,,,,77000000.0,,,,90000000.0,,,,113000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,4000000.0,,,,9000000.0,,,,1000000.0,,,,-1000000.0,,,-1000000.0,,2000000.0,,,,7000000.0,,,,-5000000.0,,,,0.0,,,,8000000.0,,,,13000000.0,,,
DebtCurrent / USD,,,,,,,,,,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,499000000.0,499000000.0,10000000.0,499000000.0,499000000.0,,,,,,,,,,,,,,,,0.0,,,,599000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,12000000.0,,,,25000000.0,,,,-7000000.0,,,,-13000000.0,,,-13000000.0,,-56000000.0,,,,46000000.0,,,,-8000000.0,,,,1000000.0,,,,-10000000.0,,,,-10000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,3000000.0,,,,-4000000.0,,,,-158000000.0,,,,28000000.0,,,28000000.0,,9000000.0,,,,-832000000.0,,,,14000000.0,,,,36000000.0,,,,-30000000.0,,,,19000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,352000000.0,,,,,,,,,,,,,,,755000000.0,755000000.0,755000000.0,740000000.0,740000000.0,740000000.0,740000000.0,711000000.0,711000000.0,711000000.0,711000000.0,667000000.0,667000000.0,667000000.0,667000000.0,671000000.0,671000000.0,671000000.0,671000000.0,378000000.0,378000000.0,378000000.0
DeferredIncomeTaxExpenseBenefit / USD,27000000.0,33000000.0,39000000.0,14000000.0,-1000000.0,13000000.0,15000000.0,23000000.0,4000000.0,3000000.0,5000000.0,-163000000.0,40000000.0,-13000000.0,-43000000.0,17000000.0,-235000000.0,-237000000.0,17000000.0,-227000000.0,-47000000.0,-12000000.0,-2000000.0,14000000.0,-789000000.0,18000000.0,27000000.0,7000000.0,-2000000.0,1000000.0,-18000000.0,-49000000.0,41000000.0,9000000.0,13000000.0,19000000.0,-53000000.0,-1000000.0,-2000000.0,10000000.0,7000000.0,6000000.0,-9000000.0,-21000000.0
DeferredIncomeTaxLiabilities / USD,,,,99000000.0,,,,88000000.0,,,,76000000.0,,,,559000000.0,,,559000000.0,,165000000.0,,,,171000000.0,,,,,,,,250000000.0,,,,222000000.0,,,,222000000.0,,,
DeferredRevenueCurrent / USD,175000000.0,175000000.0,175000000.0,175000000.0,175000000.0,175000000.0,175000000.0,175000000.0,180000000.0,180000000.0,180000000.0,180000000.0,291000000.0,291000000.0,291000000.0,291000000.0,334000000.0,334000000.0,291000000.0,334000000.0,334000000.0,334000000.0,334000000.0,334000000.0,334000000.0,391000000.0,391000000.0,391000000.0,391000000.0,478000000.0,478000000.0,478000000.0,478000000.0,495000000.0,495000000.0,495000000.0,495000000.0,541000000.0,541000000.0,541000000.0,541000000.0,561000000.0,561000000.0,561000000.0
DeferredRevenueNoncurrent / USD,69000000.0,69000000.0,69000000.0,69000000.0,61000000.0,61000000.0,61000000.0,61000000.0,72000000.0,72000000.0,72000000.0,72000000.0,101000000.0,101000000.0,101000000.0,101000000.0,127000000.0,127000000.0,101000000.0,127000000.0,127000000.0,176000000.0,176000000.0,176000000.0,176000000.0,175000000.0,175000000.0,175000000.0,175000000.0,187000000.0,187000000.0,187000000.0,187000000.0,197000000.0,197000000.0,197000000.0,197000000.0,216000000.0,216000000.0,216000000.0,216000000.0,206000000.0,206000000.0,206000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-1000000.0,,,,2000000.0,,,,3000000.0,,,,0.0,,,0.0,,0.0,,,,-3000000.0,,,,-8000000.0,,,,4000000.0,,,,-13000000.0,,,,-2000000.0,,,
DeferredTaxAssetsDeferredIncome / USD,,,,42000000.0,,,,36000000.0,,,,38000000.0,,,,24000000.0,,,24000000.0,,37000000.0,,,,25000000.0,,,,32000000.0,,,,35000000.0,,,,41000000.0,,,,43000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,,,,,131000000.0,,,,88000000.0,,,,55000000.0,,,55000000.0,,664000000.0,,,,630000000.0,,,,597000000.0,,,,559000000.0,,,,522000000.0,,,,482000000.0,,,
DeferredTaxAssetsGross / USD,,,,381000000.0,,,,486000000.0,,,,505000000.0,,,,540000000.0,,,540000000.0,,959000000.0,,,,1118000000.0,,,,1134000000.0,,,,1124000000.0,,,,1054000000.0,,,,1059000000.0,,,
DeferredTaxAssetsHedgingTransactions / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1000000.0,,,,12000000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,45000000.0,,,
DeferredTaxAssetsInventory / USD,,,,20000000.0,,,,12000000.0,,,,14000000.0,,,,16000000.0,,,16000000.0,,14000000.0,,,,10000000.0,,,,10000000.0,,,,18000000.0,,,,25000000.0,,,,28000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,243000000.0,,,,,,,,,,,,,,,,,,,,,,,,,654000000.0,,,,643000000.0,,,,608000000.0,,,,619000000.0,,,
DeferredTaxAssetsNet / USD,,,,342000000.0,,,,440000000.0,,,,467000000.0,,,,477000000.0,,,477000000.0,,880000000.0,,,,878000000.0,,,,896000000.0,,,,893000000.0,,,,830000000.0,,,,841000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,127000000.0,,,,135000000.0,,,,165000000.0,,,,257000000.0,,,257000000.0,,120000000.0,,,,283000000.0,,,,286000000.0,,,,315000000.0,,,,296000000.0,,,,275000000.0,,,
DeferredTaxAssetsOther / USD,,,,3000000.0,,,,11000000.0,,,,10000000.0,,,,10000000.0,,,10000000.0,,11000000.0,,,,14000000.0,,,,8000000.0,,,,15000000.0,,,,11000000.0,,,,15000000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,28000000.0,,,,25000000.0,,,,15000000.0,,,,16000000.0,,,16000000.0,,14000000.0,,,,17000000.0,,,,21000000.0,,,,31000000.0,,,,24000000.0,,,,29000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,26000000.0,,,,27000000.0,,,,25000000.0,,,,29000000.0,,,29000000.0,,27000000.0,,,,29000000.0,,,,28000000.0,,,,39000000.0,,,,35000000.0,,,,33000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits / USD,,,,61000000.0,,,,66000000.0,,,,110000000.0,,,,90000000.0,,,90000000.0,,47000000.0,,,,86000000.0,,,,90000000.0,,,,34000000.0,,,,18000000.0,,,,18000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,15000000.0,,,,23000000.0,,,,23000000.0,,,,26000000.0,,,26000000.0,,14000000.0,,,,15000000.0,,,,16000000.0,,,,17000000.0,,,,21000000.0,,,,22000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves / USD,,,,18000000.0,,,,20000000.0,,,,17000000.0,,,,17000000.0,,,17000000.0,,11000000.0,,,,9000000.0,,,,8000000.0,,,,8000000.0,,,,8000000.0,,,,9000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,39000000.0,,,,46000000.0,,,,38000000.0,,,,63000000.0,,,63000000.0,,79000000.0,,,,240000000.0,,,,238000000.0,,,,231000000.0,,,,224000000.0,,,,218000000.0,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts / USD,,,,0.0,,,,1000000.0,,,,1000000.0,,,,3000000.0,,,3000000.0,,0.0,,,,2000000.0,,,,,,,,0.0,,,,1000000.0,,,,0.0,,,
DeferredTaxLiabilitiesDerivatives / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,,30000000.0,,,,36000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,,,,,,,186000000.0,,,,,158000000.0,,,158000000.0,,66000000.0,,,,38000000.0,,,,38000000.0,,,,41000000.0,,,,28000000.0,,,,31000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000.0,,,,51000000.0,,,,50000000.0,,,,46000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,11000000.0,,,,7000000.0,,,,5000000.0,,,,10000000.0,,,10000000.0,,1000000.0,,,,12000000.0,,,,11000000.0,,,,11000000.0,,,,7000000.0,,,,6000000.0,,,
