fact_unit,2015-08-06,2015-11-05,2016-03-03,2016-05-06,2016-08-04,2016-11-03,2017-02-28,2017-05-08,2017-08-09,2017-11-08,2018-02-27,2018-05-09,2018-08-03,2018-11-07,2019-02-22,2019-05-03,2019-08-02,2019-11-07,2020-02-21,2020-05-07,2020-08-06,2020-11-05,2021-02-19,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-04,2023-02-16,2023-05-05,2023-08-04,2023-11-03,2024-02-29,2024-05-03,2024-08-02,2024-10-31,2025-02-20,2025-05-02,2025-08-08,2025-10-31
AllocatedShareBasedCompensationExpense / USD,,,16400000.0,,,,30100000.0,,,,,,35400000.0,55200000.0,56800000.0,31500000.0,59700000.0,90300000.0,76400000.0,46900000.0,88500000.0,106200000.0,125500000.0,45400000.0,94000000.0,142100000.0,147000000.0,52600000.0,104000000.0,154900000.0,191500000.0,61200000.0,127900000.0,193300000.0,207900000.0,73900000.0,151400000.0,227600000.0,264400000.0,71800000.0,148000000.0,222400000.0
AmortizationOfIntangibleAssets / USD,47900000.0,72300000.0,90400000.0,24100000.0,46800000.0,71400000.0,97200000.0,21900000.0,43700000.0,69400000.0,97500000.0,13900000.0,46700000.0,82900000.0,90200000.0,33200000.0,66000000.0,103300000.0,117000000.0,30800000.0,62000000.0,91000000.0,136700000.0,33200000.0,62300000.0,94300000.0,119500000.0,30400000.0,62100000.0,94700000.0,127100000.0,33200000.0,64900000.0,96700000.0,127900000.0,32700000.0,58800000.0,82800000.0,128900000.0,20500000.0,39700000.0,59300000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,9547000.0,10162000.0,5232000.0,12264000.0,14129000.0,14693000.0,10519000.0,16382000.0,100780000.0,97916000.0,105664000.0,78457000.0,,,98753000.0,,876000.0,792000.0,,2223000.0,1588000.0,1697000.0,982000.0,3130000.0,6961000.0,6904000.0,1784000.0,1127000.0,1296000.0,1181000.0,6449000.0,5016000.0,2531000.0,2803000.0,1425000.0,574000.0,717000.0,783000.0,726000.0,,,
Assets / USD,3264800000.0,3264800000.0,3260700000.0,3498800000.0,3498800000.0,3498800000.0,3498800000.0,3786900000.0,3786900000.0,3786900000.0,3786900000.0,5738300000.0,5738300000.0,5738300000.0,5738300000.0,6083400000.0,6083400000.0,6083400000.0,6083400000.0,6301200000.0,6301200000.0,6301200000.0,6301200000.0,6432900000.0,6432900000.0,6432900000.0,6432900000.0,7417100000.0,7417100000.0,7417100000.0,7417100000.0,6973500000.0,6973500000.0,6973500000.0,6973500000.0,7564900000.0,7564900000.0,7564900000.0,7564900000.0,8235400000.0,8235400000.0,8235400000.0
AssetsCurrent / USD,460900000.0,460900000.0,459400000.0,693900000.0,693900000.0,693900000.0,693900000.0,932800000.0,932800000.0,932800000.0,932800000.0,1059500000.0,1059500000.0,1059500000.0,1059500000.0,1427300000.0,1427300000.0,1427300000.0,1427300000.0,1575300000.0,1575300000.0,1575300000.0,1575300000.0,1291300000.0,1291300000.0,1291300000.0,1291300000.0,1889800000.0,1889800000.0,1889800000.0,1889800000.0,1582600000.0,1582600000.0,1582600000.0,1582600000.0,1255900000.0,1255900000.0,1255900000.0,1255900000.0,1951800000.0,1951800000.0,1951800000.0
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,46900000.0,55600000.0,65900000.0,25000000.0,7700000.0,18300000.0,27200000.0,78200000.0,4400000.0,8600000.0,7200000.0,35100000.0,,,
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,7100000.0,13100000.0,10500000.0,4200000.0,4800000.0,7400000.0,7900000.0,5100000.0,3000000.0,21900000.0,8700000.0,3700000.0,3800000.0,7400000.0,2300000.0,2200000.0,4400000.0,3000000.0,5900000.0,6100000.0,5500000.0,1200000.0,2000000.0,2400000.0,1000000.0,12400000.0,500000.0,,
CapitalizedComputerSoftwareAdditions / USD,,,,,,,,,,,,,,,,,,,13400000.0,2500000.0,5900000.0,8500000.0,13400000.0,,,,15000000.0,,,,23900000.0,,,,17700000.0,,,,17900000.0,,,
CapitalizedContractCostAmortization / USD,,,,,,,,,,,,,264400000.0,407200000.0,493100000.0,145300000.0,294000000.0,445200000.0,554400000.0,150600000.0,302300000.0,456600000.0,597100000.0,158400000.0,320700000.0,481700000.0,614700000.0,160900000.0,328600000.0,500000000.0,644600000.0,174100000.0,351700000.0,532000000.0,675100000.0,185100000.0,377200000.0,571600000.0,717100000.0,193800000.0,389600000.0,589900000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,582700000.0,582700000.0,582700000.0,566100000.0,932400000.0,932400000.0,932400000.0,582700000.0,1062800000.0,1062800000.0,1062800000.0,932400000.0,765200000.0,765200000.0,765200000.0,1062800000.0,1255700000.0,1255700000.0,1255700000.0,765200000.0,774000000.0,774000000.0,774000000.0,1255700000.0,458800000.0,458800000.0,458800000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,128000000.0,227000000.0,268500000.0,16600000.0,157900000.0,266400000.0,34300000.0,349700000.0,-211400000.0,-290100000.0,-441000000.0,130400000.0,527900000.0,610000000.0,378200000.0,-297600000.0,-513000000.0,-485300000.0,-429500000.0,490500000.0,118400000.0,-191400000.0,-444800000.0,-481700000.0,205200000.0,-13900000.0,308300000.0
CommonStockParOrStatedValuePerShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001
CommonStockSharesAuthorized / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000.0,1000000000.0
CommonStockSharesIssued / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141208000.0,141208000.0
CommonStockSharesOutstanding / shares,129003000.0,129003000.0,129003000.0,157481000.0,157481000.0,157481000.0,157481000.0,167112000.0,167112000.0,167112000.0,167112000.0,167999000.0,167999000.0,167999000.0,167999000.0,,,,,,,,,,,,,,,,,,,,,,,,,,141208000.0,141208000.0
CommonStockValueOutstanding / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,-29600000.0,-21600000.0,-117000000.0,-5100000.0,-4100000.0,-10500000.0,-22400000.0,8600000.0,39300000.0,54300000.0,48000000.0,39800000.0,-4100000.0,91200000.0,90700000.0,43900000.0,-652000000.0,-618400000.0,172000000.0,70700000.0,106400000.0,223200000.0,-547900000.0,127100000.0,296000000.0,502900000.0,335700000.0,9800000.0,114500000.0,251800000.0,568900000.0,,572200000.0,717100000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,0.0,0.0,0.0,0.0,-16400000.0,-36600000.0,0.0,3500000.0,7300000.0,8200000.0,-43200000.0,1000000.0,600000.0,1400000.0,8900000.0,400000.0,300000.0,600000.0,2200000.0,300000.0,400000.0,700000.0,1100000.0,300000.0,600000.0,1000000.0,0.0,200000.0,300000.0,600000.0,1100000.0,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,,,-29600000.0,-21600000.0,-117000000.0,-5100000.0,-20500000.0,-47100000.0,-22400000.0,12100000.0,46600000.0,62500000.0,4800000.0,40800000.0,-3500000.0,92600000.0,99600000.0,44300000.0,-651700000.0,-617800000.0,174200000.0,71000000.0,106800000.0,223900000.0,-546800000.0,127400000.0,296600000.0,503900000.0,335700000.0,10000000.0,114800000.0,252400000.0,570000000.0,425100000.0,,
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,1264800000.0,1264800000.0,1264800000.0,1264800000.0,1393700000.0,1393700000.0,1393700000.0,1393700000.0,1544400000.0,1544400000.0,1544400000.0,1544400000.0,1711300000.0,1711300000.0,1711300000.0,1711300000.0,1890100000.0,1890100000.0,1890100000.0,1890100000.0,1954000000.0,1954000000.0,1954000000.0,1954000000.0,2074900000.0,2074900000.0,2074900000.0,2074900000.0,2222300000.0,2222300000.0,2222300000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,,,,,,,596800000.0,596800000.0,596800000.0,596800000.0,623800000.0,623800000.0,623800000.0,623800000.0,654400000.0,654400000.0,654400000.0,654400000.0,725100000.0,725100000.0,725100000.0,725100000.0,743300000.0,743300000.0,743300000.0,743300000.0,770300000.0,770300000.0,770300000.0,770300000.0,802400000.0,802400000.0,802400000.0,802400000.0,883200000.0,883200000.0,883200000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,-457000000.0,869300000.0,1154200000.0,1339800000.0,545300000.0,962000000.0,1277600000.0,1488200000.0,622000000.0,1106000000.0,1477900000.0,1734500000.0,672200000.0,1203500000.0,1606000000.0,1878500000.0,736700000.0,1314000000.0,1751900000.0,2035800000.0,757400000.0,1350300000.0,1789200000.0,2074400000.0,810300000.0,1426400000.0,1885400000.0,2177400000.0,870300000.0,1543800000.0,2048000000.0
CostDepreciationAmortizationAndDepletion / USD,,,,,,,,,,,,,87100000.0,147100000.0,160100000.0,57800000.0,114800000.0,176100000.0,205800000.0,57200000.0,111000000.0,160900000.0,234100000.0,52200000.0,100600000.0,151300000.0,209700000.0,49000000.0,99000000.0,149700000.0,202700000.0,48200000.0,96600000.0,145100000.0,199600000.0,48500000.0,92000000.0,132600000.0,194600000.0,,,
CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization / USD,,,,,,,,,,,,,,,,,436600000.0,663500000.0,775500000.0,236400000.0,491000000.0,756000000.0,893900000.0,277100000.0,566500000.0,856700000.0,1026800000.0,321200000.0,653200000.0,999000000.0,1158600000.0,370200000.0,730700000.0,1105000000.0,1372200000.0,386100000.0,774500000.0,1171400000.0,1484500000.0,414500000.0,822800000.0,1230200000.0
CostsAndExpenses / USD,,,,,,,,,,,,,1035700000.0,1585800000.0,1797800000.0,606400000.0,1214500000.0,1856500000.0,2165000000.0,691200000.0,1409500000.0,2078600000.0,2510500000.0,727600000.0,1511100000.0,2263100000.0,2785500000.0,863100000.0,1706400000.0,2539100000.0,3044500000.0,893100000.0,1784000000.0,2687500000.0,3433600000.0,965200000.0,1893700000.0,2796300000.0,3592500000.0,932600000.0,1848900000.0,2742700000.0
CreditAndDebitCardReceivablesAtCarryingValue / USD,,,11600000.0,,,,12200000.0,,,,15500000.0,,,,26900000.0,,,,26300000.0,,,,25400000.0,,,,24500000.0,,,,24200000.0,,,,30400000.0,,,,41200000.0,,,
CurrentFederalTaxExpenseBenefit / USD,,,100000.0,,,,100000.0,,,,300000.0,,,,300000.0,,,,1400000.0,,,,1300000.0,,,,700000.0,,,,3400000.0,,,,2100000.0,,,,1300000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,1900000.0,,,,3600000.0,,,,2400000.0,,,,3500000.0,,,,9500000.0,,,,10300000.0,,,,7800000.0,,,,19300000.0,,,,22600000.0,,,,16900000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,2000000.0,,,,4000000.0,,,,2800000.0,,,,4100000.0,,,,11500000.0,,,,12300000.0,,,,9100000.0,,,,23800000.0,,,,27600000.0,,,,19100000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,0.0,,,,300000.0,,,,100000.0,,,,300000.0,,,,600000.0,,,,700000.0,,,,600000.0,,,,1100000.0,,,,2900000.0,,,,900000.0,,,
DebtInstrumentCarryingAmount / USD,1469500000.0,1469500000.0,1469500000.0,1083500000.0,1083500000.0,1083500000.0,1083500000.0,1072500000.0,1072500000.0,1072500000.0,1072500000.0,2482300000.0,2482300000.0,2482300000.0,2482300000.0,2457300000.0,2457300000.0,2457300000.0,2457300000.0,2432300000.0,2432300000.0,2432300000.0,2432300000.0,3153600000.0,3153600000.0,3153600000.0,3153600000.0,3921200000.0,3921200000.0,3921200000.0,3921200000.0,3901300000.0,3901300000.0,3901300000.0,3901300000.0,3876100000.0,3876100000.0,3876100000.0,3876100000.0,3853900000.0,3853900000.0,3853900000.0
DebtInstrumentUnamortizedDiscount / USD,50600000.0,50600000.0,50600000.0,36800000.0,36800000.0,36800000.0,36800000.0,30500000.0,30500000.0,30500000.0,30500000.0,33000000.0,33000000.0,33000000.0,33000000.0,27900000.0,27900000.0,27900000.0,27900000.0,13200000.0,13200000.0,13200000.0,13200000.0,,,,39200000.0,,,,38900000.0,,,,70200000.0,,,,59700000.0,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,39200000.0,39200000.0,39200000.0,,38900000.0,38900000.0,38900000.0,,70200000.0,70200000.0,70200000.0,,59700000.0,59700000.0,59700000.0,,58900000.0,58900000.0,58900000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,-2900000.0,,,,-4900000.0,,,,-2400000.0,,,,-3100000.0,,,,-9600000.0,,,,-1400000.0,,,,-4400000.0,,,,-2900000.0,,,,-2300000.0,,,,700000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,200000.0,,,,-200000.0,,,,-200000.0,,,,-300000.0,,,,-20000000.0,,,,-18900000.0,,,,-16300000.0,,,,-20700000.0,,,,-14300000.0,,,,-16700000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400000.0,1020400000.0,1020400000.0,1020400000.0,1020400000.0,1181500000.0,1181500000.0,1181500000.0
DeferredIncomeTaxExpenseBenefit / USD,,,-3100000.0,,,,-6800000.0,,,,-3000000.0,,,,-3700000.0,,,,-30400000.0,,,,-21300000.0,,,,-21100000.0,,,,-25100000.0,,,,-16800000.0,,,,-15500000.0,,,
DeferredIncomeTaxLiabilities / USD,,,13500000.0,,,,8400000.0,,,,8700000.0,,,,155800000.0,,,,133800000.0,,,,135500000.0,,,,114300000.0,,,,92800000.0,,,,69400000.0,6400000.0,6400000.0,6400000.0,46400000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,0.0,0.0,0.0,145500000.0,145500000.0,145500000.0,145500000.0,117200000.0,117200000.0,117200000.0,117200000.0,100900000.0,100900000.0,100900000.0,100900000.0,92000000.0,92000000.0,92000000.0,92000000.0,75300000.0,75300000.0,75300000.0,75300000.0,56200000.0,56200000.0,56200000.0,56200000.0,37800000.0,37800000.0,37800000.0,37800000.0,20200000.0,20200000.0,20200000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,-3500000.0,,,,-6800000.0,,,-2400000.0,-3000000.0,,,-15900000.0,-3800000.0,,,,,,,,,,,,,,,,,,,,-16100000.0,-10000000.0,-12200000.0,-19400000.0,-18400000.0,-259500000.0,-225100000.0,-213700000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,-400000.0,,,,-1700000.0,,,,-400000.0,,,,-300000.0,,,,-800000.0,,,,-1000000.0,,,,-400000.0,,,,-1500000.0,,,,-200000.0,,,,500000.0,,,
DeferredTaxAssetsDeferredIncome / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,
DeferredTaxAssetsInvestmentInSubsidiaries / USD,,,0.0,,,,4700000.0,,,,180600000.0,,,,507300000.0,,,,942500000.0,,,,968000000.0,,,,1099500000.0,,,,900800000.0,,,,800000000.0,697200000.0,697200000.0,697200000.0,697200000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,2400000.0,,,,5400000.0,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,982600000.0,982600000.0,982600000.0,982600000.0,982600000.0,,,
DeferredTaxAssetsNet / USD,,,15900000.0,,,,13800000.0,,,,13700000.0,,,,11400000.0,,,,18300000.0,,,,40200000.0,,,,27500000.0,,,,22800000.0,,,,18700000.0,989000000.0,989000000.0,989000000.0,1029000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,13900000.0,,,,131900000.0,,,,164800000.0,,,,247800000.0,,,,391300000.0,,,,476100000.0,,,,558100000.0,,,,599700000.0,,,,523200000.0,473100000.0,473100000.0,473100000.0,473100000.0,,,
DeferredTaxAssetsOther / USD,,,900000.0,,,,1600000.0,,,,2200000.0,,,,4400000.0,,,,15900000.0,,,,5900000.0,,,,4700000.0,,,,6100000.0,,,,9900000.0,9300000.0,9300000.0,9300000.0,9300000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,300000.0,,,,2500000.0,,,,2700000.0,,,,3000000.0,,,,,,,,3000000.0,,,,77100000.0,,,,101400000.0,,,,134400000.0,167600000.0,167600000.0,167600000.0,167600000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
DeferredTaxAssetsValuationAllowance / USD,,,0.0,,,,135100000.0,,,,361500000.0,,,,788500000.0,,,,1372800000.0,,,,1497000000.0,,,,1761000000.0,,,,1644600000.0,,,,1504800000.0,377500000.0,377500000.0,377500000.0,377500000.0,,,
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
DeferredTaxLiabilitiesDerivatives / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,13500000.0,,,,8400000.0,,,,8700000.0,,,,155800000.0,,,,133800000.0,,,,112800000.0,,,,101800000.0,,,,83700000.0,,,,61300000.0,,,,40000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,22700000.0,,,,22700000.0,,,,12500000.0,,,,9100000.0,,,,8100000.0,6400000.0,6400000.0,6400000.0,6400000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,,6800000.0,,,,7700000.0,,,,8600000.0,,,,8500000.0,,,,9900000.0,,,,13500000.0,,,,14600000.0,,,,14500000.0,,,,15000000.0,,,,15900000.0,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent / pure,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,
DepositsAssetsCurrent / USD,17800000.0,17800000.0,17800000.0,18700000.0,18700000.0,18700000.0,18700000.0,20600000.0,20600000.0,20600000.0,20600000.0,34700000.0,34700000.0,34700000.0,34700000.0,28300000.0,28300000.0,28300000.0,28300000.0,27200000.0,27200000.0,27200000.0,27200000.0,31100000.0,31100000.0,31100000.0,31100000.0,,,,40900000.0,41000000.0,41000000.0,41000000.0,41000000.0,37300000.0,37300000.0,37300000.0,37300000.0,34500000.0,34500000.0,34500000.0
Depreciation / USD,,,50200000.0,,,,55600000.0,,,,61300000.0,,,,69900000.0,,,,88800000.0,,,,97400000.0,,,,86500000.0,,,,73400000.0,,,,68400000.0,,,,61200000.0,,,
DepreciationDepletionAndAmortization / USD,74500000.0,113000000.0,140600000.0,37400000.0,75800000.0,116400000.0,152800000.0,38900000.0,78200000.0,121600000.0,158800000.0,31600000.0,87100000.0,147100000.0,160100000.0,57800000.0,114800000.0,176100000.0,205800000.0,57200000.0,111000000.0,160900000.0,234100000.0,52200000.0,100600000.0,151300000.0,209700000.0,49000000.0,99000000.0,149700000.0,202700000.0,48200000.0,96600000.0,145100000.0,199600000.0,48500000.0,92000000.0,132600000.0,194600000.0,37200000.0,70300000.0,103100000.0
DerivativeAssetsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24700000.0,218500000.0,218500000.0,218500000.0,209600000.0,127200000.0,128600000.0,128600000.0,127200000.0,172700000.0,172700000.0,172700000.0
DerivativeLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46400000.0,46400000.0,46400000.0,,0.0,0.0,0.0
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,16800000.0,16800000.0,,,,
EarningsPerShareBasic / USD/shares,,,,,,-0.82,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,5.22
EarningsPerShareDiluted / USD/shares,,,,,,-0.82,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,5.09
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,1200000.0,-1400000.0,-1500000.0,3600000.0,-900000.0,-700000.0,-2100000.0,-2300000.0,-1500000.0,-900000.0,300000.0,-800000.0,-600000.0,-400000.0,-1000000.0,1800000.0,-800000.0,-2900000.0,-4700000.0,-1300000.0,300000.0,600000.0,0.0,-2700000.0,-700000.0,-600000.0,1100000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,,,,,,,,,,,,,,,-0.419,1.119,,,,,,,,,,,,,,,,,,,,,,,0.002,0.086,0.133
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,,,55300000.0,,,,64700000.0,,74000000.0,74000000.0,74000000.0,93600000.0,92300000.0,92300000.0,92300000.0,105900000.0,105900000.0,105900000.0,105900000.0,116900000.0,116900000.0,116900000.0,117000000.0,114800000.0,114800000.0,114800000.0,114800000.0,124200000.0,124200000.0,124200000.0,124200000.0,116300000.0,116300000.0,116300000.0,116300000.0,143600000.0,143600000.0,143600000.0,143600000.0,146000000.0,146000000.0,146000000.0
EntityCommonStockSharesOutstanding / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140940862.0,140972665.0,140391395.0,141355906.0,142488191.0,138449017.0,135141594.0
