fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
ComprehensiveIncomeNetOfTax / USD,,,,,,-428360000.0,-440566000.0,-392572000.0,-596070000.0,-20214000.0,-189120000.0,-412059000.0,-511000000.0,-50287000.0,-111690000.0,-123835000.0,-466623000.0,-106249000.0
ContractWithCustomerLiability / USD,,,,,,897595000.0,897595000.0,897595000.0,897595000.0,1182680000.0,1182680000.0,1182680000.0,1182680000.0,1545479000.0,1545479000.0,1545479000.0,1545479000.0,2114736000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,1066059000.0,1066059000.0,1066059000.0,1066059000.0,1362736000.0,1362736000.0,1362736000.0,1362736000.0,1806269000.0,1806269000.0,1806269000.0,1806269000.0,2227002000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,,,116621000.0,116621000.0,116621000.0,116621000.0,182743000.0,182743000.0,182743000.0,182743000.0,308467000.0,308467000.0,308467000.0,308467000.0,254252000.0
ContractualObligation / USD,,,,,,,,,1109053000.0,,,,2708073000.0,,,,2380549000.0,
ContractualObligationDueAfterFifthYear / USD,,,,,,,,,837609000.0,,,,803130000.0,,,,1125215000.0,
ContractualObligationDueInFifthYear / USD,,,,,,,,,187790000.0,,,,60295000.0,,,,190431000.0,
ContractualObligationDueInFourthYear / USD,,,,,,,,,454006000.0,,,,198625000.0,,,,127825000.0,
ContractualObligationDueInNextTwelveMonths / USD,,,,,,,,,364326000.0,,,,463303000.0,,,,473895000.0,
ContractualObligationDueInSecondYear / USD,,,,,,,,,406108000.0,,,,384272000.0,,,,543310000.0,
ContractualObligationDueInThirdYear / USD,,,,,,,,,458234000.0,,,,470924000.0,,,,265774000.0,
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,463989000.0,,178029000.0,372565000.0,585990000.0,633765000.0,217624000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,,155000.0,,,,280000.0,,,,4327000.0,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,,,73017000.0,,,,51040000.0,,,,162072000.0,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,,,73539000.0,,,,51890000.0,,,,167444000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,367000.0,,,,570000.0,,,,1045000.0,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,14089000.0,14089000.0,14089000.0,14089000.0,14089000.0,12316000.0
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction / USD,,,,,,,,,,,,,0.0,,,,0.0,
DebtSecuritiesRealizedGainLoss / USD,,,,,,,0.0,0.0,0.0,,-212000.0,-212000.0,0.0,,,,-285000.0,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,-777000.0,,,,-44000.0,,,,1467000.0,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,,,-7145000.0,,,,-1633000.0,,,,7780000.0,
DeferredIncomeTaxAssetsNet / USD,,,,,,10335000.0,10335000.0,10335000.0,10335000.0,9945000.0,9945000.0,9945000.0,9945000.0,3934000.0,3934000.0,3934000.0,3934000.0,3762000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,,,-1614000.0,-2041000.0,-2920000.0,-8975000.0,1522000.0,4813000.0,6308000.0,-3318000.0,5313000.0,-3305000.0,-98000.0,8181000.0,-768000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,,,76404000.0,,,,55003000.0,,,,109524000.0,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,312000.0,312000.0,312000.0,312000.0,10669000.0,10669000.0,10669000.0,10669000.0,20387000.0,20387000.0,20387000.0,20387000.0,23881000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,,,,,,,,,,,,,10613000.0,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,,-1053000.0,,,,-1641000.0,,,,-1066000.0,
DeferredTaxAssetsDeferredIncome / USD,,,,,,,,,0.0,,,,208541000.0,,,,306629000.0,
DeferredTaxAssetsGross / USD,,,,,,,,,3027618000.0,,,,3073359000.0,,,,3361714000.0,
DeferredTaxAssetsInvestments / USD,,,,,,,,,1601047000.0,,,,1690440000.0,,,,1811999000.0,
DeferredTaxAssetsNet / USD,,,,,,,,,86427000.0,,,,54279000.0,,,,93071000.0,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,,,,,,1013750000.0,,,,857944000.0,,,,779554000.0,
DeferredTaxAssetsOther / USD,,,,,,,,,,,,,-1973000.0,,,,717000.0,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,,,,,8531000.0,,,,5528000.0,,,,7748000.0,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,,,,,,154487000.0,,,,183520000.0,,,,252444000.0,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,,,,,,146044000.0,,,,36255000.0,,,,58820000.0,
DeferredTaxAssetsValuationAllowance / USD,,,,,,,,,2800000000.0,,,,2900000000.0,,,,3000000000.0,
DeferredTaxLiabilities / USD,43950000.0,44366000.0,13872000.0,31304000.0,26625000.0,,,,724000.0,,,,724000.0,,,,16453000.0,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,48119000.0,,,,47825000.0,
DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities / USD,,,,,,,,,,,,,11684000.0,,,,1007000.0,
DefinedContributionPlanCostRecognized / USD,,,,,,,,,41500000.0,,,,58700000.0,,,,78200000.0,
