fact_unit,2010-10-01,2011-01-27,2011-04-01,2011-07-01,2011-10-07,2012-01-27,2012-04-02,2012-07-02,2012-09-28,2013-01-25,2013-04-02,2013-06-28,2013-09-27,2014-01-29,2014-03-26,2014-06-27,2014-10-02,2015-01-29,2015-03-31,2015-07-01,2015-10-05,2016-01-28,2016-03-29,2016-07-01,2016-10-04,2017-01-25,2017-03-28,2017-06-30,2017-09-28,2018-01-25,2018-03-27,2018-06-28,2018-09-27,2019-01-25,2019-03-26,2019-06-28,2019-10-01,2020-01-28,2020-03-31,2020-06-25,2020-09-29,2021-01-28,2021-03-30,2021-07-01,2021-09-30,2022-01-27,2022-03-29,2022-06-29,2022-10-06,2023-01-26,2023-03-28,2023-06-29,2023-10-03,2024-01-25,2024-03-26,2024-06-27,2024-10-01,2025-01-23,2025-03-25,2025-06-26,2025-10-07
CommonStockSharesAuthorized / shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640000000.0,,,
ComprehensiveIncomeNetOfTax / USD,,41200000.0,,,,362200000.0,,,,258100000.0,,,,315400000.0,,,,307900000.0,,,,547100000.0,,,,254200000.0,,,,181000000.0,,,,360900000.0,499900000.0,538700000.0,665000000.0,713500000.0,180900000.0,275000000.0,421500000.0,874600000.0,125600000.0,263000000.0,617800000.0,563600000.0,211400000.0,455600000.0,595800000.0,778200000.0,167400000.0,247700000.0,335700000.0,800200000.0,181500000.0,341500000.0,550100000.0,632100000.0,163000000.0,355200000.0,578200000.0
ConstructionInProgressGross / USD,,,,,,39300000.0,,,,45500000.0,,,,51700000.0,,,,59200000.0,,,,75000000.0,,,,72400000.0,,,,117000000.0,,,,99900000.0,,,,105100000.0,,,,85800000.0,,,,125500000.0,,,,211900000.0,,,,238700000.0,,,,223300000.0,,,
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579800000.0,755000000.0,1550900000.0,2346600000.0,2936300000.0,764600000.0,1558000000.0,2347300000.0,3209500000.0,742100000.0,1563700000.0,2403700000.0,3202100000.0,904000000.0,1846100000.0,2795900000.0,3300900000.0,962000000.0,1975800000.0,3004700000.0,3823300000.0,1002600000.0,2046300000.0,3108200000.0,4076000000.0,1003400000.0,2027000000.0,3056900000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,83400000.0,,,,78000000.0,,,,76500000.0,,,,79400000.0,,,,96400000.0,,,,91300000.0,,,,78800000.0,,,,127700000.0,,,,67100000.0,,,,92900000.0,,,,52300000.0,,,,98300000.0,,,,71700000.0,,,,62800000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,14700000.0,,,,18900000.0,,,,17600000.0,,,,26000000.0,,,,42200000.0,,,,37200000.0,,,,42400000.0,,,,50200000.0,,,,53900000.0,,,,78700000.0,,,,73500000.0,,,,73000000.0,,,,71000000.0,,,,69200000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,109000000.0,,,,107500000.0,,,,104600000.0,,,,115500000.0,,,,148900000.0,,,,139800000.0,,,,130300000.0,,,,193000000.0,,,,127200000.0,,,,182600000.0,,,,136500000.0,,,,186100000.0,,,,156700000.0,,,,146800000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,10900000.0,,,,10600000.0,,,,10500000.0,,,,10100000.0,,,,10300000.0,,,,11300000.0,,,,9100000.0,,,,15100000.0,,,,6200000.0,,,,11000000.0,,,,10700000.0,,,,14800000.0,,,,14000000.0,,,,14800000.0,,,
DebtInstrumentUnamortizedDiscount / USD,,,,,,16200000.0,,,,14300000.0,,,,12900000.0,,,,5700000.0,,,,1800000.0,,,,-7500000.0,,,2900000.0,9200000.0,,,,36400000.0,,,,29000000.0,,,,23600000.0,,,,24400000.0,,,,31800000.0,,,,25900000.0,,,,25400000.0,,,
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35400000.0,,,,-3100000.0,,,,16900000.0,,,,-10600000.0,,,,-68200000.0,,,,-74900000.0,,,
