fact_unit,2012-05-09,2012-08-09,2012-11-13,2013-03-11,2013-05-10,2013-08-14,2013-11-08,2014-03-11,2014-05-07,2014-08-11,2014-11-10,2015-03-02,2015-05-07,2015-08-07,2015-11-06,2016-02-23,2016-05-09,2016-08-08,2016-11-09,2017-03-01,2017-05-08,2017-08-08,2017-11-07,2018-02-27,2018-05-10,2018-08-06,2018-11-05,2019-02-26,2019-05-09,2019-08-08,2019-11-07,2020-03-02,2020-05-07,2020-08-06,2020-11-05,2021-02-25,2021-05-06,2021-08-06,2021-11-05,2022-02-25,2022-05-10,2022-08-05,2022-11-04,2023-02-24,2023-05-05,2023-08-03,2023-11-03,2024-02-22,2024-05-09,2024-08-08,2024-11-07,2025-02-28,2025-05-08,2025-08-07,2025-11-06
CostOfRevenue / USD,45505000.0,94321000.0,145948000.0,132528000.0,60175000.0,123978000.0,193077000.0,205336000.0,77937000.0,161484000.0,250023000.0,270361000.0,102454000.0,212556000.0,335065000.0,347650000.0,125887000.0,260143000.0,408622000.0,456530000.0,167381000.0,348163000.0,538960000.0,566913000.0,207730000.0,427862000.0,667231000.0,737186000.0,277634000.0,566809000.0,867890000.0,921352000.0,344689000.0,700604000.0,1078129000.0,1186921000.0,423802000.0,843342000.0,1266730000.0,1488198000.0,519328000.0,1103056000.0,1756430000.0,1732522000.0,780836000.0,1627159000.0,2453955000.0,2483697000.0,855901000.0,1664616000.0,2458881000.0,3286683000.0,834334000.0,1645191000.0,2409183000.0
CurrentFederalTaxExpenseBenefit / USD,,,,2918000.0,,,,4878000.0,,,,6881000.0,,,,6150000.0,,,,7741000.0,,,,19851000.0,,,,13324000.0,,,,65571000.0,,,,10814000.0,,,,16943000.0,,,,19249000.0,,,,22742000.0,,,,20044000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,2573000.0,,,,2483000.0,,,,7969000.0,,,,8275000.0,,,,12504000.0,,,,14528000.0,,,,17243000.0,,,,23617000.0,,,,42580000.0,,,,25680000.0,,,,45042000.0,,,,69162000.0,,,,99847000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,160000.0,,,,389000.0,,,,319000.0,,,,310000.0,,,,338000.0,,,,2563000.0,,,,-63000.0,,,,-204000.0,,,,4123000.0,,,,3610000.0,,,,7022000.0,,,,6735000.0,,,,10116000.0,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-1016000.0,,,,-1629000.0,,,,-625000.0,,,,-668000.0,,,,-3979000.0,,,,-13361000.0,,,,-3581000.0,,,,7235000.0,,,,-37785000.0,,,,-9425000.0,,,,-16235000.0,,,,-40421000.0,,,,-26379000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-1772000.0,,,,2390000.0,,,,-3189000.0,,,,695000.0,,,,751000.0,,,,-76000.0,,,,-35000.0,,,,5416000.0,,,,-6667000.0,,,,2019000.0,,,,-2077000.0,,,,-3902000.0,,,,-12303000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75013000.0,75013000.0,75013000.0,75013000.0,92454000.0,92454000.0,92454000.0,92454000.0,143928000.0,143928000.0,143928000.0,143928000.0,172797000.0,172797000.0,172797000.0,172797000.0,197901000.0,197901000.0,197901000.0,197901000.0,269799000.0,269799000.0,269799000.0
DeferredIncomeTaxExpenseBenefit / USD,-294000.0,71000.0,71000.0,-2704000.0,-23000.0,39000.0,-374000.0,497000.0,268000.0,530000.0,735000.0,-3933000.0,97000.0,195000.0,275000.0,41000.0,95000.0,372000.0,535000.0,-3270000.0,-482000.0,69000.0,-11000.0,-15328000.0,2595000.0,-766000.0,1386000.0,-3304000.0,-23290000.0,-27581000.0,-36372000.0,12561000.0,846000.0,-1193000.0,-3105000.0,-48000000.0,8288000.0,2971000.0,-4546000.0,-7764000.0,6692000.0,1176000.0,-6948000.0,-19994000.0,-10830000.0,-29405000.0,-54851000.0,-46900000.0,823000.0,4603000.0,-11760000.0,-42164000.0,1866000.0,-12011000.0,-24888000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,3902000.0,,,,8877000.0,,,,5339000.0,,,,9124000.0,,,,12884000.0,,,,12535000.0,,,,26233000.0,,,,70832000.0,,,,89262000.0,,,,100755000.0,,,,103721000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8744000.0,92362000.0,92362000.0,92362000.0
DeferredRevenue / USD,,,,,,,,,,,,,,,,,,,,3047000.0,,,,3319000.0,,,,4498000.0,,,,4558000.0,,,,9132000.0,,,,17383000.0,,,,39810000.0,,,,36036000.0,,,,27988000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-76000.0,,,,-72000.0,,,,24000.0,,,,14000.0,,,,-43000.0,,,,-1891000.0,,,,312000.0,,,,-90000.0,,,,-3548000.0,,,,-358000.0,,,,-1682000.0,,,,-2576000.0,,,,-3483000.0,,,
DeferredTaxAssetsGross / USD,,,,,,,,,,,,,,,,,,,,,,,,37151000.0,,,,29979000.0,,,,82757000.0,,,,100595000.0,,,,165456000.0,,,,219413000.0,,,,267512000.0,,,,300501000.0,,,
DeferredTaxAssetsInProcessResearchAndDevelopment / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,36915000.0,,,,77601000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,4240000.0,,,,9504000.0,,,,9323000.0,,,,8424000.0,,,,27392000.0,,,,28027000.0,,,,16171000.0,,,,67033000.0,,,,70485000.0,,,,89139000.0,,,,125613000.0,,,,160029000.0,,,,189158000.0,,,
DeferredTaxAssetsNet / USD,,,,8150000.0,,,,13819000.0,,,,13225000.0,,,,17301000.0,,,,32731000.0,,,,37151000.0,,,,29055000.0,,,,79568000.0,,,,96718000.0,,,,159971000.0,,,,214875000.0,,,,260784000.0,,,,292879000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,18000.0,,,,,,,,0.0,,,,844000.0,,,,5233000.0,,,,5368000.0,,,,5069000.0,,,,4983000.0,,,,5168000.0,,,,6089000.0,,,,,,,,,,,,12037000.0,,,
DeferredTaxAssetsOther / USD,,,,862000.0,,,,1214000.0,,,,680000.0,,,,30000.0,,,,14000.0,,,,17000.0,,,,1415000.0,,,,782000.0,,,,1533000.0,,,,1252000.0,,,,21583000.0,,,,19955000.0,,,,15112000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,771000.0,,,,703000.0,,,,732000.0,,,,181000.0,,,,681000.0,,,,203000.0,,,,170000.0,,,,4531000.0,,,,5329000.0,,,,8164000.0,,,,10561000.0,,,,11587000.0,,,,13359000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,1226000.0,,,,413000.0,,,,407000.0,,,,6994000.0,,,,12484000.0,,,,19701000.0,,,,16197000.0,,,,27558000.0,,,,29596000.0,,,,30112000.0,,,,31959000.0,,,,33078000.0,,,,36488000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities / USD,,,,2412000.0,,,,4042000.0,,,,3488000.0,,,,1282000.0,,,,10729000.0,,,,9172000.0,,,,4392000.0,,,,32067000.0,,,,41457000.0,,,,50639000.0,,,,83416000.0,,,,87816000.0,,,,77757000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,14030000.0,,,,13762000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,489000.0,,,,489000.0,,,,0.0,,,,149000.0,,,,,,,,0.0,,,,924000.0,,,,3189000.0,,,,3877000.0,,,,5485000.0,,,,4538000.0,,,,6728000.0,,,,7622000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,,,,,,,,,,,,,0.0,,,,1598000.0,,,,4969000.0,,,,3077000.0,,,,5582000.0,,,,11364000.0,,,,12018000.0,,,,26124000.0,,,,24523000.0,,,,27914000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50149000.0,,,,51871000.0,,,,42211000.0,,,,39551000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,20000.0,,,,0.0,,,,254000.0,,,,24000.0,,,,912000.0,,,,314000.0,,,,239000.0,,,,933000.0,,,,437000.0,,,,1095000.0,,,,6402000.0,,,,7232000.0,,,,8711000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,774000.0,,,,742000.0,,,,804000.0,,,,800000.0,,,,646000.0,,,,1735000.0,,,,1868000.0,,,,1480000.0,,,,4981000.0,,,,3818000.0,,,,1095000.0,,,,15324000.0,,,,13590000.0,,,
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3900000.0,,,,-6400000.0,,,,-2883000.0,,,,10625000.0,,,,15910000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000.0,,,,1400000.0,,,,4300000.0,,,,5500000.0,,,,8300000.0,,,
DefinedContributionPlanCostRecognized / USD,,,,,,174000.0,286000.0,404000.0,72000.0,174000.0,286000.0,404000.0,,,,549000.0,,,,549000.0,,,,740000.0,,,,,,,,,,,,6500000.0,,,,14800000.0,,,,16000000.0,,,,21300000.0,,,,29000000.0,,,
Depreciation / USD,,,,5243000.0,,,,6759000.0,,,,9858000.0,,,,12335000.0,,,,12134000.0,,,,11979000.0,,,,15217000.0,,,,21000000.0,,,,28500000.0,,,,35400000.0,,,,50500000.0,,,,65500000.0,,,,69000000.0,,,
DepreciationAndAmortization / USD,1690000.0,3649000.0,5732000.0,6242000.0,2211000.0,4634000.0,7674000.0,7538000.0,3617000.0,7471000.0,11377000.0,10882000.0,3689000.0,9140000.0,14650000.0,15120000.0,4200000.0,8103000.0,12496000.0,17483000.0,5102000.0,11225000.0,17150000.0,17395000.0,6672000.0,13692000.0,20866000.0,23387000.0,8176000.0,17138000.0,26457000.0,28562000.0,10200000.0,21228000.0,32355000.0,36640000.0,14940000.0,30166000.0,46095000.0,45317000.0,17807000.0,38261000.0,59804000.0,62874000.0,24259000.0,47250000.0,69126000.0,83395000.0,22782000.0,45550000.0,68642000.0,92272000.0,22146000.0,43267000.0,63003000.0
DerivativeLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248000.0,,,
EarningsPerShareBasic / USD/shares,,,,,0.3,0.6,0.93,0.3,0.28,0.59,0.95,1.27,0.37,0.69,1.09,1.35,0.31,0.7,1.17,1.48,0.48,0.97,1.48,1.73,0.46,1.19,2.0,1.97,1.21,2.15,3.37,1.4,1.12,2.19,3.42,4.48,1.55,2.74,4.34,4.77,1.94,3.97,6.01,5.87,1.58,1.9,4.62,8.52,1.77,3.84,5.52,7.32,2.01,3.72,6.11
