fact_unit,2023-06-02,2023-08-02,2023-11-03,2024-03-01,2024-05-09,2024-08-06,2024-11-07,2025-02-24,2025-05-08,2025-08-07,2025-11-03
AociDerivativeQualifyingAsHedgeExcludedComponentAfterTax / USD,,,,7000000.0,7000000.0,7000000.0,7000000.0,,,,
AssetImpairmentCharges / USD,,,,,0.0,0.0,0.0,12000000.0,68000000.0,578000000.0,578000000.0
Assets / USD,27316000000.0,27316000000.0,27316000000.0,27316000000.0,27851000000.0,27851000000.0,27851000000.0,27851000000.0,25601000000.0,25601000000.0,25601000000.0
AssetsCurrent / USD,5877000000.0,5877000000.0,5877000000.0,5877000000.0,6138000000.0,6138000000.0,6138000000.0,6138000000.0,5525000000.0,5525000000.0,5525000000.0
CashAndCashEquivalentsAtCarryingValue / USD,1231000000.0,1231000000.0,1231000000.0,1231000000.0,1170000000.0,1170000000.0,1170000000.0,1170000000.0,1070000000.0,1070000000.0,1070000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,740000000.0,740000000.0,740000000.0,618000000.0,1231000000.0,1231000000.0,1231000000.0,740000000.0,1382000000.0,1382000000.0,1382000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,89000000.0,98000000.0,57000000.0,122000000.0,8155000000.0,0.0,-169000000.0,491000000.0,-227000000.0,-368000000.0,-325000000.0
CashEquivalentsAtCarryingValue / USD,,,,80000000.0,329000000.0,329000000.0,329000000.0,329000000.0,118000000.0,118000000.0,118000000.0
CommercialPaper / USD,,0.0,0.0,0.0,600000000.0,600000000.0,600000000.0,600000000.0,800000000.0,800000000.0,800000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,,0.4,0.605
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0,12500000000.0
CommonStockSharesIssued / shares,1716160000.0,1914894444.0,1915000000.0,1915407047.0,1915407000.0,1915407000.0,1915407000.0,1915407000.0,1924977000.0,1924977000.0,1924977000.0
CommonStockSharesOutstanding / shares,1716160000.0,1914894444.0,1915000000.0,1716160000.0,1716160000.0,1716160000.0,1716160000.0,1716160000.0,1913768000.0,1913768000.0,1913768000.0
CommonStockValue / USD,,0.0,0.0,0.0,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0
ComprehensiveIncomeNetOfTax / USD,247000000.0,18000000.0,-18000000.0,1180000000.0,685000000.0,925000000.0,1123000000.0,1092000000.0,-2000000.0,-104000000.0,755000000.0
ConcentrationRiskPercentage1 / pure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CostOfGoodsAndServicesSold / USD,1634000000.0,3280000000.0,4944000000.0,6635000000.0,1727000000.0,3513000000.0,5178000000.0,6665000000.0,1652000000.0,3287000000.0,4904000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,8000000.0,,,,75000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,318000000.0,,,,318000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,326000000.0,,,,393000000.0,,,
DebtCurrent / USD,,,,0.0,599000000.0,599000000.0,599000000.0,599000000.0,1552000000.0,1552000000.0,1552000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,3000000.0,3000000.0,64000000.0
DebtLongtermAndShorttermCombinedAmount / USD,,0.0,0.0,0.0,8286000000.0,8286000000.0,8286000000.0,8286000000.0,8607000000.0,8607000000.0,8607000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,580000000.0,,,,228000000.0,,,
DeferredFinanceCostsNet / USD,0.0,0.0,0.0,0.0,72000000.0,72000000.0,72000000.0,72000000.0,64000000.0,64000000.0,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-59000000.0,,,,-48000000.0,,,
DeferredIncomeTaxAssetsNet / USD,147000000.0,147000000.0,147000000.0,147000000.0,158000000.0,158000000.0,158000000.0,158000000.0,184000000.0,184000000.0,184000000.0
DeferredIncomeTaxExpenseBenefit / USD,20000000.0,62000000.0,128000000.0,521000000.0,28000000.0,16000000.0,-128000000.0,180000000.0,-4000000.0,-205000000.0,-245000000.0
DeferredIncomeTaxLiabilities / USD,,,,2779000000.0,,,,2913000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,2428000000.0,2428000000.0,2479000000.0,2479000000.0,2621000000.0,2621000000.0,2621000000.0,2621000000.0,2261000000.0,2261000000.0,2261000000.0
DeferredIncomeTaxesAndOtherTaxLiabilitiesNoncurrent / USD,,,,0.0,141000000.0,141000000.0,141000000.0,141000000.0,143000000.0,143000000.0,143000000.0
DeferredTaxAssetsGross / USD,,,,697000000.0,,,,525000000.0,,,
DeferredTaxAssetsNet / USD,,,,447000000.0,,,,450000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,110000000.0,,,,49000000.0,,,
DeferredTaxAssetsOther / USD,,,,28000000.0,,,,123000000.0,,,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,,,,,2000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,151000000.0,,,,37000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,20000000.0,,,,29000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,75000000.0,,,,57000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,120000000.0,,,,114000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,186000000.0,,,,250000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets / USD,,,,2652000000.0,,,,2752000000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,38000000.0,,,,44000000.0,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings / USD,,,,89000000.0,,,,117000000.0,,,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries / USD,,,,87000000.0,,,,116000000.0,,,
DefinedBenefitPensionPlanCurrentAndNoncurrentLiabilities / USD,,,,216000000.0,,,,342000000.0,,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,,,,,,,747000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax / USD,,,,,,,,217000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax / USD,,,,,,,,-123000000.0,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax / USD,,,,,,,,-6000000.0,,,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,,,,,-30000000.0,,,
DefinedBenefitPlanActuarialGainLoss / USD,,,,,,,,-99000000.0,,,
DefinedBenefitPlanAdministrationExpenses / USD,12000000.0,27000000.0,38000000.0,93000000.0,16000000.0,17000000.0,17000000.0,54000000.0,,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,,,,,,,-4000000.0,,,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,,,,,,,,-294000000.0,,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,,,,,,,53000000.0,,,
DefinedBenefitPlanAssetsTransferredToFromPlan / USD,,,,,,,,552000000.0,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,,,,,,,0.042,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease / pure,,,,,,,,0.027,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate / pure,,,,,,,,0.023,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets / pure,,,,,,,,0.029,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease / pure,,,,,,,,0.025,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostWeightedAverageInterestCreditingRate / pure,,,,,,,,0.031,,,
DefinedBenefitPlanBenefitObligation / USD,,,,,,,,235000000.0,,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,,,,,,,,22000000.0,,,
DefinedBenefitPlanBenefitObligationContributionsByPlanParticipant / USD,,,,,,,,7000000.0,,,
DefinedBenefitPlanContributionsByEmployer / USD,,,,,,,,27000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,,,,,,,,220000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,,,,,,,,50000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,,,,,,,,39000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,,,,,,,,36000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,,,,,,,,34000000.0,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo / USD,,,,,,,,34000000.0,,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,17000000.0,,,,14000000.0,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,,,,1000000.0,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,,,,,19000000.0,,,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation / USD,,,,,,,,-31000000.0,,,
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,,,,,-294000000.0,,,
DefinedBenefitPlanInterestCost / USD,,,,,,,,4000000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,,,,,15000000.0,,,
DefinedBenefitPlanOtherChanges / USD,,,,,,,,9000000.0,,,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,,,,,,,,22000000.0,,,
DefinedBenefitPlanPlanAssetsContributionsByPlanParticipant / USD,,,,,,,,7000000.0,,,
DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss / USD,,,,,,,,18000000.0,,,
DefinedBenefitPlanPlanAssetsTargetAllocationPercentage / pure,,,,1.0,,,,1.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToCurtailments / USD,,,2000000.0,4000000.0,,,2000000.0,4000000.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1 / USD,,,-10000000.0,-14000000.0,,,-10000000.0,-14000000.0,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1 / USD,,,,,,,,0.0,,,
DefinedBenefitPlanServiceCost / USD,,,,,,,,8000000.0,,,
DefinedBenefitPlanWeightedAverageAssetAllocations / pure,,,,1.0,,,,1.0,,,
DefinedContributionPlanCostRecognized / USD,,,,14000000.0,,,,14000000.0,,,
Depreciation / USD,,,213000000.0,317000000.0,71000000.0,139000000.0,211000000.0,296000000.0,75000000.0,144000000.0,238000000.0
DepreciationDepletionAndAmortization / USD,165000000.0,326000000.0,478000000.0,731000000.0,152000000.0,300000000.0,453000000.0,644000000.0,149000000.0,290000000.0,472000000.0
DerivativeInstrumentsInHedgesAssetsAtFairValue / USD,,68000000.0,68000000.0,68000000.0,63000000.0,63000000.0,63000000.0,63000000.0,152000000.0,152000000.0,152000000.0
DerivativeInstrumentsInHedgesLiabilitiesAtFairValue / USD,,54000000.0,54000000.0,54000000.0,75000000.0,75000000.0,75000000.0,75000000.0,77000000.0,77000000.0,77000000.0
DividendsCommonStockCash / USD,,,383000000.0,766000000.0,383000000.0,766000000.0,383000000.0,766000000.0,383000000.0,766000000.0,1159000000.0
EarningsPerShareBasic / USD/shares,0.31,0.66,0.99,1.21,0.27,0.51,0.73,1.2,0.15,0.18,0.38
EarningsPerShareDiluted / USD/shares,0.31,0.66,0.99,1.21,0.27,0.51,0.73,1.2,0.15,0.18,0.38
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,3000000.0,-47000000.0,-81000000.0,-41000000.0,6000000.0,-8000000.0,-20000000.0,-61000000.0,-36000000.0,-42000000.0,-30000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.137,0.184,0.199,0.289,0.23,0.28,0.271,0.217,0.307,0.28,0.311
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.014,,,,0.022,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,-0.021,,,,-0.016,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,-0.006,,,,0.001,,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,,,,,-0.002,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.017,,,,0.031,,,
EmployeeRelatedLiabilitiesCurrent / USD,272000000.0,272000000.0,272000000.0,272000000.0,406000000.0,406000000.0,406000000.0,406000000.0,325000000.0,325000000.0,325000000.0
EmployeeRelatedLiabilitiesCurrentAndNoncurrent / USD,214000000.0,214000000.0,214000000.0,214000000.0,360000000.0,360000000.0,360000000.0,360000000.0,342000000.0,342000000.0,342000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions / USD,,,,17000000.0,,,,4000000.0,,,
EntityCommonStockSharesOutstanding / shares,1914894444.0,1914894444.0,1914995085.0,1914581851.0,1914810796.0,1915167356.0,1917257438.0,1911240720.0,1919909938.0,1919069920.0,1915802170.0
EntityPublicFloat / USD,,,,5300000000.0,,,,34800000000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,56000000.0,56000000.0,56000000.0,66000000.0,71000000.0,71000000.0,71000000.0,71000000.0,,,
FinanceLeaseLiability / USD,,,,,93000000.0,111000000.0,112000000.0,121000000.0,,,
FinanceLeaseLiabilityPaymentsDue / USD,,,,,,,,269000000.0,,,
FinanceLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,,,,248000000.0,,,
FinanceLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,,,,2000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFive / USD,,,,,,,,7000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearFour / USD,,,,,,,,7000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearThree / USD,,,,,,,,4000000.0,,,
FinanceLeaseLiabilityPaymentsDueYearTwo / USD,,,,,,,,1000000.0,,,
FinanceLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,148000000.0,,,
FinanceLeaseRightOfUseAsset / USD,,,,,92000000.0,107000000.0,106000000.0,111000000.0,,,
FinanceLeaseWeightedAverageDiscountRatePercent / pure,,,,,,,,0.05,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,3198000000.0,3198000000.0,3198000000.0,3198000000.0,3518000000.0,3518000000.0,3518000000.0,3518000000.0,3548000000.0,3548000000.0,3548000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,304000000.0,306000000.0,306000000.0,309000000.0,,,,257000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,268000000.0,270000000.0,270000000.0,278000000.0,,,,243000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,272000000.0,274000000.0,274000000.0,278000000.0,,,,252000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,276000000.0,273000000.0,273000000.0,278000000.0,,,,252000000.0,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,280000000.0,282000000.0,279000000.0,287000000.0,,,,257000000.0,,,
FiniteLivedIntangibleAssetsGross / USD,7870000000.0,7870000000.0,7870000000.0,7870000000.0,7889000000.0,7889000000.0,7889000000.0,7889000000.0,7319000000.0,7319000000.0,7319000000.0
FiniteLivedIntangibleAssetsNet / USD,4672000000.0,4672000000.0,4672000000.0,4672000000.0,4371000000.0,4371000000.0,4371000000.0,4371000000.0,3771000000.0,3771000000.0,3771000000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,-16000000.0,,,,-105000000.0,,,
ForeignCurrencyTransactionGainLossRealized / USD,,,,,,-28000000.0,-51000000.0,-42000000.0,4000000.0,4000000.0,3000000.0
GainLossOnInvestments / USD,,,,,-7000000.0,-7000000.0,-7000000.0,1000000.0,-31000000.0,-31000000.0,-31000000.0
GainLossOnSaleOfOtherAssets / USD,-2000000.0,-2000000.0,-1000000.0,-22000000.0,9000000.0,9000000.0,9000000.0,-8000000.0,,,
Goodwill / USD,9185000000.0,9185000000.0,9185000000.0,9810000000.0,9271000000.0,9271000000.0,9271000000.0,9185000000.0,8843000000.0,8843000000.0,8843000000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,49000000.0,-104000000.0,-211000000.0,-664000000.0,-239000000.0,-298000000.0,26000000.0,86000000.0,293000000.0,643000000.0,598000000.0
GoodwillImpairmentLoss / USD,,,,0.0,,,,0.0,,,
GrossProfit / USD,1956000000.0,4114000000.0,6239000000.0,8419000000.0,2125000000.0,4350000000.0,6600000000.0,8285000000.0,2242000000.0,4607000000.0,6889000000.0
ImpairmentOfIntangibleAssetsExcludingGoodwill / USD,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
ImpairmentOfIntangibleAssetsFinitelived / USD,,,,,,479000000.0,479000000.0,479000000.0,,479000000.0,479000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,612000000.0,,,1367000000.0,,,,1238000000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,,1387000000.0,2125000000.0,2925000000.0,609000000.0,1248000000.0,1833000000.0,2637000000.0,427000000.0,492000000.0,1069000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,1558000000.0,,,,1399000000.0,,,
IncomeTaxExpenseBenefit / USD,84000000.0,255000000.0,422000000.0,847000000.0,140000000.0,349000000.0,496000000.0,573000000.0,131000000.0,138000000.0,332000000.0
IncomeTaxesPaid / USD,,,,363000000.0,,,,316000000.0,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities / USD,,,,,-2000000.0,1105000000.0,1008000000.0,35000000.0,-181000000.0,-237000000.0,-573000000.0
IncreaseDecreaseInAccountsReceivable / USD,60000000.0,144000000.0,210000000.0,303000000.0,-23000000.0,55000000.0,97000000.0,142000000.0,124000000.0,233000000.0,343000000.0
IncreaseDecreaseInAccruedTaxesPayable / USD,36000000.0,63000000.0,,-19000000.0,272000000.0,-207000000.0,-53000000.0,-5000000.0,27000000.0,-44000000.0,9000000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,6000000.0,11000000.0,,14000000.0,10000000.0,4000000.0,7000000.0,2000000.0,5000000.0,7000000.0,5000000.0
IncreaseDecreaseInInventories / USD,194000000.0,366000000.0,535000000.0,77000000.0,-17000000.0,-143000000.0,-275000000.0,582000000.0,63000000.0,49000000.0,-13000000.0
IncreaseDecreaseInOtherOperatingAssets / USD,,-68000000.0,-87000000.0,68000000.0,13000000.0,495000000.0,418000000.0,-119000000.0,55000000.0,-35000000.0,-29000000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,23000000.0,22000000.0,29000000.0,-32000000.0,-189000000.0,-251000000.0,-230000000.0,48000000.0,52000000.0,39000000.0,27000000.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,5000000.0,6000000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,13051000000.0,13051000000.0,13051000000.0,13137000000.0,13137000000.0,13137000000.0,13137000000.0,12022000000.0,12022000000.0,12022000000.0
IntangibleAssetsNetExcludingGoodwill / USD,9853000000.0,9853000000.0,9853000000.0,9853000000.0,9619000000.0,9619000000.0,9619000000.0,9619000000.0,8474000000.0,8474000000.0,8474000000.0
InterestExpenseDebt / USD,11000000.0,0.0,0.0,0.0,11000000.0,129000000.0,244000000.0,358000000.0,109000000.0,215000000.0,323000000.0
InterestIncomeDebtSecuritiesOperating / USD,,33000000.0,33000000.0,33000000.0,,33000000.0,33000000.0,33000000.0,,,
InterestIncomeExpenseNonoperatingNet / USD,,,,,,-54000000.0,-154000000.0,0.0,-95000000.0,-187000000.0,-283000000.0
InterestIncomeMoneyMarketDeposits / USD,10000000.0,0.0,0.0,0.0,10000000.0,75000000.0,90000000.0,108000000.0,,,
InterestIncomeOther / USD,,,,,,,,,14000000.0,28000000.0,40000000.0
InterestPaidNet / USD,,,,0.0,,,,0.0,,,
InventoryFinishedGoodsNetOfReserves / USD,1752000000.0,1752000000.0,1752000000.0,1752000000.0,1432000000.0,1432000000.0,1432000000.0,1432000000.0,1216000000.0,1216000000.0,1216000000.0
InventoryNet / USD,2226000000.0,2226000000.0,2226000000.0,2226000000.0,1851000000.0,1851000000.0,1851000000.0,1851000000.0,1591000000.0,1591000000.0,1591000000.0
InventoryRawMaterialsAndSuppliesNetOfReserves / USD,351000000.0,351000000.0,351000000.0,351000000.0,304000000.0,304000000.0,304000000.0,304000000.0,274000000.0,274000000.0,274000000.0
InventoryWorkInProcessNetOfReserves / USD,123000000.0,123000000.0,123000000.0,123000000.0,115000000.0,115000000.0,115000000.0,115000000.0,101000000.0,101000000.0,101000000.0
LesseeFinanceLeaseDiscountRate / pure,,,,,0.0475,0.0475,0.0475,0.0475,,,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,154000000.0,,,,123000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,18000000.0,,,,15000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,49000000.0,,,,41000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,8000000.0,,,,6000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,17000000.0,,,,11000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,26000000.0,,,,20000000.0,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,36000000.0,,,,30000000.0,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,13000000.0,,,,11000000.0,,,
Liabilities / USD,7295000000.0,7295000000.0,7346000000.0,7346000000.0,16640000000.0,16640000000.0,16640000000.0,16640000000.0,15933000000.0,15933000000.0,15933000000.0
LiabilitiesAndStockholdersEquity / USD,27316000000.0,27316000000.0,27316000000.0,27316000000.0,27851000000.0,27851000000.0,27851000000.0,27851000000.0,25601000000.0,25601000000.0,25601000000.0
LiabilitiesCurrent / USD,3926000000.0,3926000000.0,3926000000.0,3926000000.0,5481000000.0,5481000000.0,5481000000.0,5481000000.0,5739000000.0,5739000000.0,5739000000.0
LitigationSettlementExpense / USD,,7000000.0,1000000.0,92000000.0,0.0,20000000.0,20000000.0,-7000000.0,,,
LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities / USD,,,,,7687000000.0,7687000000.0,7687000000.0,7687000000.0,7805000000.0,7805000000.0,7805000000.0
LongTermDebtCurrent / USD,,,,0.0,0.0,0.0,0.0,0.0,750000000.0,750000000.0,750000000.0
LongTermDebtFairValue / USD,8000000000.0,7800000000.0,7400000000.0,8000000000.0,7700000000.0,7600000000.0,8000000000.0,8000000000.0,7500000000.0,7500000000.0,7500000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,5250000000.0,,,,5250000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,0.0,0.0,0.0,0.0,,,,750000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,1000000000.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,0.0,0.0,0.0,0.0,,,,1000000000.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,750000000.0,750000000.0,750000000.0,750000000.0,,,,0.0,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,750000000.0,750000000.0,750000000.0,750000000.0,,,,750000000.0,,,
