fact_unit,2012-05-16,2012-08-03,2012-11-01,2013-02-22,2013-05-02,2013-08-01,2013-10-31,2014-02-21,2014-05-01,2014-07-31,2014-10-30,2015-02-20,2015-05-01,2015-07-31,2015-10-30,2016-02-19,2016-04-29,2016-07-29,2016-10-28,2017-02-17,2017-05-05,2017-08-01,2017-10-27,2018-02-23,2018-04-27,2018-07-27,2018-10-26,2019-02-22,2019-04-30,2019-07-26,2019-10-25,2020-02-21,2020-05-01,2020-07-31,2020-10-30,2021-02-24,2021-04-30,2021-08-03,2021-10-29,2022-02-18,2022-04-29,2022-07-29,2022-11-09,2023-02-22,2023-05-04,2023-08-04,2023-11-03,2024-02-21,2024-04-29,2024-07-31,2024-10-29,2025-02-21,2025-04-25,2025-07-28,2025-10-29
AssetImpairmentCharges / USD,43000000.0,2000000.0,488000000.0,1699000000.0,43000000.0,318000000.0,566000000.0,472000000.0,24000000.0,25000000.0,26000000.0,1158000000.0,1000000.0,4000000.0,16000000.0,29000000.0,,2000000.0,3000000.0,150000000.0,0.0,2000000.0,4000000.0,7000000.0,2000000.0,17000000.0,18000000.0,5000000.0,0.0,6000000.0,7000000.0,24000000.0,1000000.0,3000000.0,856000000.0,8000000.0,3006000000.0,3006000000.0,4146000000.0,861000000.0,198000000.0,198000000.0,1496000000.0,4252000000.0,0.0,2000000.0,2000000.0,1498000000.0,8000000.0,12000000.0,15000000.0,60000000.0,165000000.0,390000000.0,419000000.0
AssetRetirementObligation / USD,,,,332000000.0,,,,378000000.0,,,,314000000.0,,,,309000000.0,,,,279000000.0,,,,251000000.0,,,,244000000.0,,,,268000000.0,,,,261000000.0,,,,280000000.0,,,,309000000.0,,,,395000000.0,,,,565000000.0,,,
AssetRetirementObligationAccretionExpense / USD,,,,-15000000.0,,,,13000000.0,,,,11000000.0,,,,11000000.0,,,,9000000.0,,,,9000000.0,,,,10000000.0,,,,10000000.0,,,,10000000.0,,,,15000000.0,,,,14000000.0,,,,15000000.0,,,,25000000.0,,,
AssetRetirementObligationCashPaidToSettle / USD,,,,-20000000.0,,,,16000000.0,,,,13000000.0,,,,17000000.0,,,,20000000.0,,,,15000000.0,,,,14000000.0,,,,15000000.0,,,,22000000.0,,,,11000000.0,,,,12000000.0,,,,32000000.0,,,,58000000.0,,,
AssetRetirementObligationForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,,-8000000.0,,,,-6000000.0,,,,11000000.0,,,,5000000.0,,,,0.0,,,,-1000000.0,,,,4000000.0,,,,5000000.0,,,,-5000000.0,,,
AssetRetirementObligationLiabilitiesIncurred / USD,,,,3000000.0,,,,3000000.0,,,,3000000.0,,,,2000000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,10000000.0,,,,22000000.0,,,,7000000.0,,,,0.0,,,
AssetRetirementObligationLiabilitiesSettled / USD,,,,2000000.0,,,,53000000.0,,,,20000000.0,,,,1000000.0,,,,2000000.0,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,23000000.0,,,
AssetRetirementObligationPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86000000.0,,,,170000000.0,,,,,,,,234000000.0,,,
AssetRetirementObligationRevisionOfEstimate / USD,,,,52000000.0,,,,-14000000.0,,,,12000000.0,,,,-16000000.0,,,,-7000000.0,,,,10000000.0,,,,17000000.0,,,,3000000.0,,,,31000000.0,,,,14000000.0,,,,66000000.0,,,,17000000.0,,,,23000000.0,,,
Assets / USD,43211000000.0,43211000000.0,43211000000.0,44955000000.0,48073000000.0,48073000000.0,48073000000.0,43211000000.0,49798000000.0,49798000000.0,49798000000.0,48073000000.0,48741000000.0,48741000000.0,48741000000.0,49769000000.0,48580000000.0,48580000000.0,48580000000.0,48692000000.0,51653000000.0,51653000000.0,51653000000.0,48580000000.0,54371000000.0,54371000000.0,54371000000.0,51653000000.0,54302000000.0,54302000000.0,54302000000.0,54371000000.0,58720000000.0,58720000000.0,58720000000.0,54302000000.0,54721000000.0,54721000000.0,54721000000.0,58720000000.0,55594000000.0,55594000000.0,55594000000.0,54721000000.0,76442000000.0,76442000000.0,76442000000.0,55594000000.0,75501000000.0,75501000000.0,75501000000.0,76442000000.0,72582000000.0,72582000000.0,72582000000.0
AssetsCurrent / USD,13948000000.0,13948000000.0,13948000000.0,13948000000.0,17962000000.0,17962000000.0,17962000000.0,17962000000.0,19237000000.0,19237000000.0,19237000000.0,19237000000.0,16696000000.0,16696000000.0,16696000000.0,16692000000.0,12256000000.0,12256000000.0,12256000000.0,12256000000.0,12680000000.0,12680000000.0,12680000000.0,12680000000.0,14390000000.0,14390000000.0,14390000000.0,14390000000.0,13209000000.0,13209000000.0,13209000000.0,13209000000.0,14395000000.0,14395000000.0,14395000000.0,14395000000.0,13276000000.0,13276000000.0,13276000000.0,13276000000.0,14697000000.0,14697000000.0,14697000000.0,14697000000.0,21922000000.0,21922000000.0,21922000000.0,21922000000.0,19941000000.0,19941000000.0,19941000000.0,19941000000.0,17910000000.0,17910000000.0,17910000000.0
AssetsFairValueDisclosure / USD,665000000.0,665000000.0,665000000.0,665000000.0,817000000.0,817000000.0,817000000.0,817000000.0,660000000.0,660000000.0,660000000.0,660000000.0,3943000000.0,3943000000.0,,,,,,,,,,,,,,,,,,1383000000.0,1342000000.0,1342000000.0,1342000000.0,1342000000.0,826000000.0,826000000.0,826000000.0,826000000.0,1538000000.0,1538000000.0,1538000000.0,1538000000.0,2107000000.0,2107000000.0,2107000000.0,2107000000.0,3395000000.0,3395000000.0,3395000000.0,3395000000.0,2473000000.0,2473000000.0,2473000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment / USD,,,,,,,,,,,592000000.0,471000000.0,471000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13030000000.0,,,,13030000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,,3104000000.0,4430000000.0,0.0,3474000000.0,3104000000.0,4430000000.0,0.0,3474000000.0,3474000000.0,3474000000.0,0.0,5400000000.0,5400000000.0,5400000000.0,3474000000.0,5207000000.0,5207000000.0,5207000000.0,5400000000.0,2711000000.0,2711000000.0,2711000000.0,2711000000.0,3119000000.0,3119000000.0,3119000000.0,3119000000.0,3019000000.0,3019000000.0,3019000000.0,3019000000.0,1614000000.0,1614000000.0,1614000000.0,1614000000.0,2514000000.0,2514000000.0,2514000000.0,2514000000.0,3147000000.0,3147000000.0,3147000000.0,3147000000.0,6133000000.0,6133000000.0,6133000000.0,6133000000.0,3323000000.0,3323000000.0,3323000000.0,3323000000.0,1738000000.0,1738000000.0,1738000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,3074000000.0,3074000000.0,5207000000.0,2711000000.0,2711000000.0,2711000000.0,3074000000.0,3119000000.0,3119000000.0,3119000000.0,2711000000.0,3019000000.0,3019000000.0,3019000000.0,3119000000.0,1614000000.0,1614000000.0,1614000000.0,3019000000.0,2514000000.0,2514000000.0,2514000000.0,1614000000.0,3147000000.0,3147000000.0,3147000000.0,2514000000.0,6133000000.0,6133000000.0,6133000000.0,3147000000.0,3323000000.0,2444000000.0,1637000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3323000000.0,3323000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,-842000000.0,-737000000.0,-2133000000.0,-1075000000.0,-550000000.0,-1164000000.0,-363000000.0,-2277000000.0,-1235000000.0,-2195000000.0,408000000.0,-1766000000.0,-1200000000.0,-751000000.0,-100000000.0,-393000000.0,276000000.0,-152000000.0,-1405000000.0,-1163000000.0,-307000000.0,383000000.0,900000000.0,188000000.0,-338000000.0,597000000.0,633000000.0,832000000.0,-3104000000.0,-2594000000.0,2986000000.0,-1753000000.0,-879000000.0,-1686000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,0.2,0.0,0.0,0.625,0.2,0.0,0.3125,0.625,0.9375,0.45,0.39,0.89,1.39,1.3275,0.5,1.06,1.62,1.89,0.56,1.19,1.82,2.18,0.63,1.33,2.03,2.45,0.7,1.5,2.3,2.73,0.8,1.7,2.6,3.1,0.9,1.8,2.7,3.5,0.9,1.8,2.7,3.6,0.92,1.89,2.86,3.62,1.05,2.1,3.15,3.83,1.05,2.2,3.35
CommonStockParOrStatedValuePerShare / USD/shares,,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,2500000000.0,2500000000.0,0.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0,2500000000.0
CommonStockSharesIssued / shares,625272302.0,626923000.0,628400884.0,0.0,631149613.0,631149613.0,631149613.0,631149613.0,631149613.0,631150000.0,631150000.0,631149613.0,634286000.0,634286000.0,634286000.0,631150000.0,637032000.0,637032000.0,637032000.0,634286000.0,639336000.0,639336000.0,639336000.0,637032000.0,641594000.0,641594000.0,641594000.0,639336000.0,643835000.0,643835000.0,643835000.0,641594000.0,645692000.0,645692000.0,645691761.0,643835464.0,647416633.0,647416633.0,647416633.0,645691761.0,648643223.0,648643223.0,648643223.0,647416633.0,650026318.0,650026318.0,650026318.0,648643223.0,652373645.0,652373645.0,652373645.0,650026318.0,654842101.0,654842101.0,654842101.0
CommonStockValue / USD,,6000000.0,6000000.0,0.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0
ComprehensiveIncomeNetOfTax / USD,657000000.0,1680000000.0,2697000000.0,620000000.0,674000000.0,1878000000.0,3706000000.0,4683000000.0,1099000000.0,2113000000.0,2847000000.0,4228000000.0,1612000000.0,2584000000.0,3553000000.0,4077000000.0,824000000.0,2061000000.0,3520000000.0,4194000000.0,381000000.0,782000000.0,1253000000.0,4105000000.0,578000000.0,1271000000.0,2219000000.0,1213000000.0,637000000.0,1800000000.0,3333000000.0,5484000000.0,276000000.0,1642000000.0,2250000000.0,5520000000.0,-2704000000.0,-3002000000.0,-3620000000.0,3069000000.0,-645000000.0,-118000000.0,244000000.0,-3981000000.0,513000000.0,3461000000.0,8591000000.0,1661000000.0,2048000000.0,3846000000.0,5830000000.0,11009000000.0,718000000.0,1736000000.0,2250000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,1000000.0,2000000.0,4000000.0,5000000.0,2000000.0,3000000.0,5000000.0,5000000.0,3000000.0,5000000.0,10000000.0,7000000.0,6000000.0,15000000.0,24000000.0,17000000.0,10000000.0,23000000.0,37000000.0,35000000.0,13000000.0,33000000.0,58000000.0,53000000.0,28000000.0,59000000.0,85000000.0,89000000.0,61000000.0,126000000.0,202000000.0,142000000.0,66000000.0,146000000.0,227000000.0,278000000.0,69000000.0,143000000.0,216000000.0,301000000.0,15000000.0,93000000.0,179000000.0,261000000.0,75000000.0,90000000.0,239000000.0,277000000.0,116000000.0,153000000.0,199000000.0,367000000.0,13000000.0,18000000.0,41000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,658000000.0,1682000000.0,2701000000.0,625000000.0,676000000.0,1881000000.0,3711000000.0,4688000000.0,1102000000.0,2118000000.0,2857000000.0,4235000000.0,1618000000.0,2599000000.0,3577000000.0,4094000000.0,834000000.0,2084000000.0,3557000000.0,4229000000.0,394000000.0,815000000.0,1311000000.0,4158000000.0,606000000.0,1330000000.0,2304000000.0,1302000000.0,698000000.0,1926000000.0,3535000000.0,5626000000.0,342000000.0,1788000000.0,2477000000.0,5798000000.0,-2635000000.0,-2859000000.0,-3404000000.0,3370000000.0,-630000000.0,-25000000.0,423000000.0,-3720000000.0,588000000.0,3551000000.0,8830000000.0,1938000000.0,2164000000.0,3999000000.0,6029000000.0,11376000000.0,731000000.0,1754000000.0,2291000000.0
ContractWithCustomerAssetGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,6200000000.0,208000000.0,208000000.0,208000000.0,248000000.0,248000000.0,248000000.0,248000000.0,336000000.0,336000000.0,336000000.0,336000000.0,404000000.0,404000000.0,404000000.0,404000000.0,466000000.0,466000000.0,466000000.0,466000000.0,505000000.0,505000000.0,505000000.0,505000000.0,537000000.0,537000000.0,537000000.0,537000000.0,643000000.0,643000000.0,643000000.0
ContractWithCustomerLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000000.0,99000000.0,99000000.0,0.0,0.0,0.0,,,,,,,,,90000000.0,90000000.0,156000000.0,156000000.0,156000000.0,156000000.0,187000000.0,187000000.0,187000000.0,187000000.0,232000000.0,232000000.0,232000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,,,,,,,,,,,,,,,,,,,,36032000000.0,55495000000.0,62468000000.0,21138000000.0,46885000000.0,73270000000.0,79409000000.0,21055000000.0,45609000000.0,69415000000.0,97930000000.0,18440000000.0,28048000000.0,42557000000.0,95529000000.0,20065000000.0,45283000000.0,72812000000.0,57707000000.0,33495000000.0,76140000000.0,114786000000.0,102102000000.0,29341000000.0,59912000000.0,94242000000.0,149932000000.0,32386000000.0,67014000000.0,99208000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,335000000.0,,,,713000000.0,,,,1967000000.0,,,,1054000000.0,,,,1661000000.0,,,,1128000000.0,,,,-105000000.0,,,,9000000.0,,,,739000000.0,,,,354000000.0,,,,-1324000000.0,,,,363000000.0,,,,1263000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,180000000.0,,,,126000000.0,,,,160000000.0,,,,98000000.0,,,,22000000.0,,,,-74000000.0,,,,66000000.0,,,,126000000.0,,,,326000000.0,,,,204000000.0,,,,9000000.0,,,,50000000.0,,,,492000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,54000000.0,,,,132000000.0,,,,253000000.0,,,,146000000.0,,,,274000000.0,,,,227000000.0,,,,-24000000.0,,,,61000000.0,,,,255000000.0,,,,61000000.0,,,,-61000000.0,,,,5000000.0,,,,173000000.0,,,
DebtAndCapitalLeaseObligations / USD,,391000000.0,,391000000.0,,,,6974000000.0,,,,6155000000.0,,,,8635000000.0,,,,8887000000.0,,,,10138000000.0,,,,10110000000.0,,,,11160000000.0,,,,11763000000.0,,,,15893000000.0,,14448000000.0,14448000000.0,14448000000.0,,,,17190000000.0,,,,19359000000.0,,,
DebtCurrent / USD,30000000.0,30000000.0,30000000.0,30000000.0,13000000.0,13000000.0,13000000.0,13000000.0,24000000.0,24000000.0,24000000.0,24000000.0,842000000.0,842000000.0,842000000.0,842000000.0,44000000.0,44000000.0,44000000.0,44000000.0,550000000.0,550000000.0,550000000.0,550000000.0,41000000.0,41000000.0,41000000.0,41000000.0,67000000.0,67000000.0,67000000.0,67000000.0,547000000.0,547000000.0,547000000.0,547000000.0,987000000.0,987000000.0,987000000.0,987000000.0,1489000000.0,1489000000.0,1489000000.0,1489000000.0,529000000.0,529000000.0,529000000.0,529000000.0,1482000000.0,1482000000.0,1482000000.0,1482000000.0,1831000000.0,1831000000.0,1831000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,,,,,,,,,,,,,,96000000.0,,,,104000000.0,,,,108000000.0,,,,100000000.0,,,,100000000.0,,,,106000000.0,,109000000.0,109000000.0,109000000.0,,,,245000000.0,,,,167000000.0,,,
DebtLongtermAndShorttermCombinedAmount / USD,,376000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,10026000000.0,,,,11076000000.0,,,,11576000000.0,,,,15716000000.0,,14251000000.0,14251000000.0,14251000000.0,,,,17158000000.0,,,,19208000000.0,,,
DeferredCreditsAndOtherLiabilitiesNoncurrent / USD,466000000.0,466000000.0,466000000.0,466000000.0,315000000.0,315000000.0,315000000.0,315000000.0,598000000.0,598000000.0,598000000.0,598000000.0,289000000.0,289000000.0,289000000.0,289000000.0,277000000.0,277000000.0,277000000.0,277000000.0,263000000.0,263000000.0,263000000.0,263000000.0,234000000.0,234000000.0,234000000.0,234000000.0,355000000.0,355000000.0,355000000.0,355000000.0,1454000000.0,1454000000.0,1454000000.0,1454000000.0,1132000000.0,1132000000.0,1132000000.0,1132000000.0,940000000.0,940000000.0,940000000.0,940000000.0,1299000000.0,1299000000.0,1299000000.0,1299000000.0,1200000000.0,1200000000.0,1200000000.0,1200000000.0,1868000000.0,1868000000.0,1868000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,484000000.0,,,,745000000.0,,,,69000000.0,,,,526000000.0,,,,-378000000.0,,,,444000000.0,,,,645000000.0,,,,-1960000000.0,,,,257000000.0,,,,177000000.0,,,,171000000.0,,,,-85000000.0,,,,1171000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-489000000.0,,,,-9000000.0,,,,45000000.0,,,,-48000000.0,,,,80000000.0,,,,42000000.0,,,,-84000000.0,,,,3000000.0,,,,53000000.0,,,,-50000000.0,,,,67000000.0,,,,-39000000.0,,,,-109000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,59000000.0,385000000.0,573000000.0,-33000000.0,169000000.0,178000000.0,111000000.0,929000000.0,82000000.0,162000000.0,282000000.0,221000000.0,-444000000.0,-455000000.0,-527000000.0,594000000.0,-6000000.0,-81000000.0,-125000000.0,-488000000.0,154000000.0,191000000.0,467000000.0,529000000.0,493000000.0,757000000.0,784000000.0,612000000.0,101000000.0,129000000.0,229000000.0,-1886000000.0,179000000.0,253000000.0,115000000.0,252000000.0,-47000000.0,-21000000.0,2000000.0,183000000.0,-103000000.0,163000000.0,-290000000.0,126000000.0,142000000.0,290000000.0,1146000000.0,-272000000.0,146000000.0,265000000.0,673000000.0,1320000000.0,-55000000.0,-200000000.0,-87000000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,,6314000000.0,,,,6844000000.0,,,,6426000000.0,,,,7089000000.0,,,,7943000000.0,,,,5477000000.0,,,,5797000000.0,,,,6491000000.0,,,,6673000000.0,,,,6436000000.0,,,,7375000000.0,,,,8195000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,5008000000.0,5008000000.0,5008000000.0,5275000000.0,5275000000.0,5275000000.0,5275000000.0,5553000000.0,5553000000.0,5553000000.0,5553000000.0,5644000000.0,5644000000.0,5644000000.0,5644000000.0,5475000000.0,5475000000.0,5475000000.0,5475000000.0,6671000000.0,6671000000.0,6671000000.0,6671000000.0,7424000000.0,7424000000.0,7424000000.0,7424000000.0,7101000000.0,7101000000.0,7101000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,15000000.0,,,,115000000.0,,,,-21000000.0,,,,68000000.0,,,,-5000000.0,,,,-3000000.0,,,,49000000.0,,,,68000000.0,,,,-58000000.0,,,,55000000.0,,,,-112000000.0,,,,-148000000.0,,,,258000000.0,,,
DeferredTaxAssetsGross / USD,,,,862000000.0,,,,1478000000.0,,,,1137000000.0,,,,1136000000.0,,,,1369000000.0,,,,1330000000.0,,,,588000000.0,,,,579000000.0,,,,1008000000.0,,,,1123000000.0,,,,1068000000.0,,,,890000000.0,,,,1016000000.0,,,
DeferredTaxAssetsInventory / USD,,,,78000000.0,,,,92000000.0,,,,51000000.0,,,,,,,,,,,,10000000.0,,,,10000000.0,,,,0.0,,,,28000000.0,,,,,,,,0.0,,,,62000000.0,,,,34000000.0,,,
