fact_unit,2017-05-18,2017-08-04,2017-11-03,2018-02-26,2018-05-04,2018-06-15,2018-08-06,2018-11-02,2019-02-28,2019-05-03,2019-08-02,2019-11-05,2020-02-28,2020-05-05,2020-08-05,2020-11-04,2021-02-26,2021-05-04,2021-08-05,2021-11-05,2022-02-25,2022-05-06,2022-08-05,2022-11-04,2023-03-01,2023-05-09,2023-08-09,2023-11-07,2024-02-29,2024-05-10,2024-08-09,2024-11-08,2025-02-28,2025-05-08,2025-08-08,2025-11-07
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,4000000.0,,8000000.0,13000000.0,,12000000.0,63000000.0,69000000.0,23000000.0,12000000.0,28000000.0,45000000.0,72000000.0,14000000.0,30000000.0,48000000.0,62000000.0,17000000.0,27000000.0,39000000.0,65000000.0,18000000.0,58000000.0,87000000.0,60000000.0,24000000.0,24000000.0,24000000.0,103000000.0,35000000.0,35000000.0,35000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,19000000.0,,,,73000000.0,,,,47000000.0,,,,63000000.0,,,,51000000.0,,,,65000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,,,12000000.0,,,,58000000.0,,,,38000000.0,,,,48000000.0,,,,39000000.0,,,,50000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,14000000.0,14000000.0,14000000.0,14000000.0,10000000.0,19000000.0,19000000.0,19000000.0,14000000.0,42000000.0,42000000.0,42000000.0,19000000.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,45000000.0,65000000.0,65000000.0,65000000.0,45000000.0,61000000.0,61000000.0,61000000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease / USD,,,,,7000000.0,,16000000.0,35000000.0,,11000000.0,22000000.0,41000000.0,43000000.0,15000000.0,29000000.0,56000000.0,56000000.0,26000000.0,45000000.0,85000000.0,82000000.0,28000000.0,55000000.0,86000000.0,110000000.0,29000000.0,65000000.0,136000000.0,110000000.0,35000000.0,69000000.0,131000000.0,179000000.0,36000000.0,72000000.0,132000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,9000000.0,,17000000.0,24000000.0,,11000000.0,22000000.0,30000000.0,39000000.0,15000000.0,31000000.0,43000000.0,51000000.0,28000000.0,49000000.0,69000000.0,65000000.0,30000000.0,49000000.0,72000000.0,107000000.0,25000000.0,58000000.0,90000000.0,110000000.0,47000000.0,81000000.0,110000000.0,159000000.0,36000000.0,74000000.0,105000000.0
AmortizationOfDebtDiscountPremium / USD,,,,,,,,,,,,,,,-2000000.0,2000000.0,,4000000.0,8000000.0,12000000.0,,5000000.0,14000000.0,23000000.0,,6000000.0,13000000.0,20000000.0,,6000000.0,12000000.0,19000000.0,,7000000.0,16000000.0,25000000.0
AmortizationOfFinancingCosts / USD,,,,,,,0.0,2000000.0,,0.0,4000000.0,4000000.0,4000000.0,-2000000.0,,,0.0,,,,9000000.0,,,,18000000.0,,,,30000000.0,,,,28000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,602403.0,,692860.0,490345.0,,2863872.0,18392470.0,5651527.0,3642844.0,6243220.0,7577246.0,7104523.0,14165813.0,10872836.0,12123691.0,12471806.0,2447850.0,15254972.0,15734553.0,15223763.0,12553414.0,9776484.0,8052517.0,8076314.0,14412299.0,3859165.0,1589125.0,1491299.0,8292647.0,7954878.0,5554.0,11210.0
AssetRetirementObligation / USD,1726000000.0,1726000000.0,1726000000.0,,1936000000.0,,1936000000.0,1936000000.0,1726000000.0,1936000000.0,1936000000.0,1936000000.0,1726000000.0,2373000000.0,2373000000.0,2373000000.0,1936000000.0,2238000000.0,2238000000.0,2238000000.0,2373000000.0,2436000000.0,2436000000.0,2436000000.0,2238000000.0,2450000000.0,2450000000.0,2450000000.0,2436000000.0,2437000000.0,2437000000.0,2437000000.0,2437000000.0,2538000000.0,2538000000.0,2538000000.0
AssetRetirementObligationAccretionExpense / USD,14000000.0,29000000.0,41000000.0,,14000000.0,,29000000.0,68000000.0,59000000.0,19000000.0,44000000.0,68000000.0,59000000.0,25000000.0,49000000.0,73000000.0,93000000.0,23000000.0,45000000.0,67000000.0,97000000.0,23000000.0,44000000.0,65000000.0,89000000.0,22000000.0,43000000.0,65000000.0,88000000.0,22000000.0,44000000.0,66000000.0,88000000.0,33000000.0,80000000.0,126000000.0
AssetRetirementObligationCurrent / USD,62000000.0,51000000.0,85000000.0,55000000.0,99000000.0,55000000.0,99000000.0,99000000.0,99000000.0,156000000.0,156000000.0,183000000.0,156000000.0,194000000.0,232000000.0,167000000.0,141000000.0,151000000.0,138000000.0,115000000.0,103000000.0,99000000.0,103000000.0,110000000.0,104000000.0,104000000.0,112000000.0,121000000.0,128000000.0,139000000.0,119000000.0,123000000.0,124000000.0,119000000.0,106000000.0,102000000.0
AssetRetirementObligationLiabilitiesSettled / USD,5000000.0,15000000.0,23000000.0,,16000000.0,,41000000.0,68000000.0,36000000.0,16000000.0,41000000.0,68000000.0,36000000.0,22000000.0,48000000.0,80000000.0,100000000.0,20000000.0,44000000.0,82000000.0,109000000.0,18000000.0,36000000.0,59000000.0,114000000.0,23000000.0,46000000.0,66000000.0,88000000.0,18000000.0,41000000.0,60000000.0,81000000.0,17000000.0,39000000.0,64000000.0
AssetRetirementObligationsNoncurrent / USD,1671000000.0,1671000000.0,1671000000.0,1671000000.0,1837000000.0,1671000000.0,1837000000.0,1837000000.0,1837000000.0,2217000000.0,2217000000.0,2139000000.0,2217000000.0,2176000000.0,2133000000.0,2157000000.0,2097000000.0,2089000000.0,2314000000.0,2353000000.0,2333000000.0,2337000000.0,2346000000.0,2326000000.0,2346000000.0,2347000000.0,2338000000.0,2340000000.0,2309000000.0,2308000000.0,2334000000.0,2350000000.0,2414000000.0,3806000000.0,3847000000.0,3884000000.0
Assets / USD,15167000000.0,15167000000.0,15167000000.0,15167000000.0,14600000000.0,15167000000.0,14600000000.0,14600000000.0,14600000000.0,26024000000.0,26024000000.0,26024000000.0,26024000000.0,26616000000.0,26616000000.0,26616000000.0,26616000000.0,25208000000.0,25208000000.0,25208000000.0,25208000000.0,29683000000.0,29683000000.0,29683000000.0,29683000000.0,32787000000.0,32787000000.0,32787000000.0,32787000000.0,32966000000.0,32966000000.0,32966000000.0,32966000000.0,37770000000.0,37770000000.0,37770000000.0
AssetsCurrent / USD,2473000000.0,2473000000.0,2473000000.0,2473000000.0,2673000000.0,2473000000.0,2673000000.0,2673000000.0,2673000000.0,3435000000.0,3435000000.0,3435000000.0,3435000000.0,4114000000.0,4114000000.0,4114000000.0,4114000000.0,3429000000.0,3429000000.0,3429000000.0,3429000000.0,7883000000.0,7883000000.0,7883000000.0,7883000000.0,11116000000.0,11116000000.0,11116000000.0,11116000000.0,11637000000.0,11637000000.0,11637000000.0,11637000000.0,8119000000.0,8119000000.0,8119000000.0
CashAndCashEquivalentsAtCarryingValue / USD,843000000.0,843000000.0,843000000.0,843000000.0,1487000000.0,843000000.0,1487000000.0,1487000000.0,1487000000.0,636000000.0,636000000.0,636000000.0,636000000.0,300000000.0,300000000.0,300000000.0,300000000.0,406000000.0,406000000.0,406000000.0,406000000.0,1325000000.0,1325000000.0,1325000000.0,1325000000.0,455000000.0,455000000.0,455000000.0,455000000.0,3485000000.0,3485000000.0,3485000000.0,3485000000.0,1188000000.0,1188000000.0,1188000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,1588000000.0,,1588000000.0,1588000000.0,1594000000.0,2046000000.0,2046000000.0,2046000000.0,1588000000.0,693000000.0,693000000.0,693000000.0,2046000000.0,475000000.0,475000000.0,475000000.0,693000000.0,444000000.0,444000000.0,444000000.0,475000000.0,1359000000.0,1359000000.0,1359000000.0,444000000.0,525000000.0,525000000.0,525000000.0,1359000000.0,3539000000.0,3539000000.0,3539000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915000000.0,48000000.0,173000000.0,2700000000.0,-834000000.0,-2423000000.0,-1878000000.0,-2599000000.0
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3494000000.0,-505000000.0,-623000000.0,382000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.135,0.135,0.135,0.125,0.15,0.15,0.15,0.135,0.17,0.17,0.17,0.15,0.1975,0.1975,0.1975,0.724,0.215,0.4325,0.652
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0
CommonStockSharesOutstanding / shares,427580232.0,427580232.0,427580232.0,0.0,427580232.0,0.0,427580232.0,427580232.0,0.0,428398802.0,428398802.0,428398802.0,427580232.0,493215309.0,493215309.0,493215309.0,428398802.0,487698111.0,487698111.0,487698111.0,489305888.0,489305888.0,489305888.0,489305888.0,469072597.0,469072597.0,469072597.0,469072597.0,389754870.0,351457016.0,351457016.0,351457016.0,351457016.0,339754307.0,339754307.0,339754307.0
CommonStockValue / USD,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180000000.0,1680000000.0,,-35000000.0,330000000.0,2219000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,-1000000.0,,53000000.0,155000000.0,104000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,78000000.0,,52000000.0,325000000.0,-157000000.0,-305000000.0,-200000000.0,132000000.0,-277000000.0,225000000.0,579000000.0,680000000.0,-61000000.0,22000000.0,187000000.0,625000000.0,918000000.0,-2038000000.0,-2001000000.0,-1977000000.0,606000000.0,-284000000.0,-1641000000.0,-956000000.0,-1232000000.0,699000000.0,1179000000.0,1679000000.0,-1187000000.0,18000000.0,485000000.0,2323000000.0
ConstructionInProgressExpendituresIncurredButNotYetPaid / USD,,,,,1000000.0,,21000000.0,16000000.0,,26000000.0,13000000.0,58000000.0,12000000.0,45000000.0,41000000.0,,84000000.0,,,,67000000.0,,,,19000000.0,,,,171000000.0,,,,103000000.0,,,
ConstructionInProgressGross / USD,,,,224000000.0,,224000000.0,,,318000000.0,277000000.0,277000000.0,277000000.0,277000000.0,220000000.0,220000000.0,220000000.0,220000000.0,712000000.0,712000000.0,712000000.0,712000000.0,486000000.0,486000000.0,486000000.0,486000000.0,522000000.0,522000000.0,522000000.0,522000000.0,522000000.0,522000000.0,522000000.0,,1060000000.0,1060000000.0,1060000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,,,,,,,,,,72000000.0,,,,-13000000.0,,,,-1000000.0,,,,-5000000.0,,,,1000000.0,,,,2000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,86000000.0,,,,17000000.0,,,,9000000.0,,,,36000000.0,,,,17000000.0,,,,9000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,,,,,,,14000000.0,,,,30000000.0,,,,10000000.0,,,,41000000.0,,,,16000000.0,,,,7000000.0,,,
DebtInstrumentCarryingAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14517000000.0,14517000000.0,14517000000.0,16469000000.0,16469000000.0,16469000000.0
DebtInstrumentRepurchaseAmount / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1335000000.0,1335000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,15000000.0,15000000.0,15000000.0,155000000.0,155000000.0,155000000.0,155000000.0,-55000000.0,-55000000.0,-55000000.0,-55000000.0,-68000000.0,-68000000.0,-68000000.0,-68000000.0,-73000000.0,-73000000.0,-73000000.0,-73000000.0,-72000000.0,-72000000.0,-72000000.0,-72000000.0,-115000000.0,115000000.0,115000000.0,115000000.0,171000000.0,171000000.0,171000000.0
DecommissioningFundInvestments / USD,1012000000.0,1012000000.0,1012000000.0,1012000000.0,1188000000.0,1012000000.0,1188000000.0,1188000000.0,1188000000.0,1170000000.0,1170000000.0,1170000000.0,1170000000.0,1451000000.0,1451000000.0,1451000000.0,1451000000.0,1674000000.0,1674000000.0,1674000000.0,1674000000.0,1960000000.0,1960000000.0,1960000000.0,1960000000.0,1648000000.0,1648000000.0,1648000000.0,1648000000.0,1951000000.0,1951000000.0,1951000000.0,1951000000.0,4440000000.0,4440000000.0,4440000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,417000000.0,,,,-8000000.0,,,,260000000.0,,,,171000000.0,,,,-336000000.0,,,,-304000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,,,,,,,,1066000000.0,1066000000.0,1066000000.0,1066000000.0,838000000.0,838000000.0,838000000.0,838000000.0,1302000000.0,1302000000.0,1302000000.0,1302000000.0,1710000000.0,1710000000.0,1710000000.0,1710000000.0,1223000000.0,1223000000.0,1223000000.0,1223000000.0,9000000.0,9000000.0,9000000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,418000000.0,,,,-62000000.0,,,,281000000.0,,,,230000000.0,,,,-475000000.0,,,,-359000000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,,,,,,,,,,,,,,554000000.0,,,,632000000.0,,,,767000000.0,,,,1033000000.0,,,,1264000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,,,,,,,,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,697000000.0,697000000.0,697000000.0
DeferredIncomeTaxesAndTaxCredits / USD,,,,,42000000.0,,29000000.0,209000000.0,,-83000000.0,-159000000.0,29000000.0,418000000.0,70000000.0,217000000.0,254000000.0,-62000000.0,13000000.0,73000000.0,264000000.0,281000000.0,-524000000.0,-626000000.0,-587000000.0,230000000.0,-84000000.0,-501000000.0,-298000000.0,-475000000.0,181000000.0,290000000.0,437000000.0,-359000000.0,-23000000.0,115000000.0,666000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,,,,,,1000000.0,,,,-54000000.0,,,,21000000.0,,,,59000000.0,,,,-139000000.0,,,,-55000000.0,,,
DeferredTaxAssetsDerivativeInstruments / USD,,,,0.0,,0.0,,,25000000.0,,,,212000000.0,,,,108000000.0,,,,96000000.0,,,,238000000.0,,,,764000000.0,,,,664000000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,29000000.0,,29000000.0,,,81000000.0,,,,184000000.0,,,,214000000.0,,,,293000000.0,,,,346000000.0,,,,456000000.0,,,,380000000.0,,,
DeferredTaxAssetsGross / USD,,,,1122000000.0,,1122000000.0,,,710000000.0,,,,1767000000.0,,,,1728000000.0,,,,1612000000.0,,,,2137000000.0,,,,2805000000.0,,,,2532000000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,,,,710000000.0,,,,1326000000.0,,,,1064000000.0,,,,837000000.0,,,,1302000000.0,,,,1709000000.0,,,,1222000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,8000000.0,,8000000.0,,,0.0,,,,958000000.0,,,,921000000.0,,,,953000000.0,,,,1193000000.0,,,,1182000000.0,,,,1081000000.0,,,
DeferredTaxAssetsOther / USD,,,,6000000.0,,6000000.0,,,8000000.0,,,,40000000.0,,,,43000000.0,,,,47000000.0,,,,148000000.0,,,,49000000.0,,,,33000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,84000000.0,,84000000.0,,,56000000.0,,,,109000000.0,,,,112000000.0,,,,129000000.0,,,,121000000.0,,,,108000000.0,,,,117000000.0,,,
DeferredTaxLiabilities / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688000000.0,,,
DeferredTaxLiabilitiesOtherComprehensiveIncome / USD,,,,3000000.0,,3000000.0,,,6000000.0,,,,,,,,,,,,9000000.0,,,,9000000.0,,,,7000000.0,,,,0.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,,,,,0.0,,,,406000000.0,,,,554000000.0,,,,632000000.0,,,,767000000.0,,,,1033000000.0,,,,1264000000.0,,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,,,,,,0.0,0.0,,31000000.0,31000000.0,31000000.0,,37000000.0,37000000.0,37000000.0,,41000000.0,41000000.0,41000000.0,,42000000.0,42000000.0,42000000.0,,30000000.0,30000000.0,30000000.0,,28000000.0,28000000.0,28000000.0,,14000000.0,14000000.0,14000000.0
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,,,,,,0.0,,,,31000000.0,,,,37000000.0,,,,41000000.0,,,,42000000.0,,,,30000000.0,,,,28000000.0,,,
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,,,,,,,,,,,12000000.0,,,,23000000.0,,,,20000000.0,,,,18000000.0,,,,14000000.0,,,,6000000.0,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,,,,,,,,,,,,19000000.0,,,,24000000.0,,,,27000000.0,,,,34000000.0,,,,34000000.0,,,,33000000.0,,,
DefinedContributionPlanEmployerMatchingContributionPercent / pure,,,,0.06,,0.06,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,,0.06,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,0.2,,,,0.2,,,
Depreciation / USD,,,,,,,,,,68000000.0,360000000.0,701000000.0,236000000.0,335000000.0,647000000.0,973000000.0,1024000000.0,328000000.0,685000000.0,1012000000.0,1300000000.0,355000000.0,749000000.0,1147000000.0,1377000000.0,378000000.0,719000000.0,1057000000.0,1478000000.0,323000000.0,655000000.0,989000000.0,1388000000.0,,,
DepreciationAmortizationAndAccretionNet / USD,,,,,226000000.0,,437000000.0,621000000.0,,180000000.0,619000000.0,1070000000.0,835000000.0,461000000.0,886000000.0,1394000000.0,1533000000.0,489000000.0,1022000000.0,1512000000.0,1876000000.0,511000000.0,969000000.0,1551000000.0,2048000000.0,542000000.0,1054000000.0,1575000000.0,2050000000.0,477000000.0,941000000.0,1442000000.0,2047000000.0,555000000.0,1177000000.0,1891000000.0
DepreciationDepletionAndAmortization / USD,,,,,170000000.0,,341000000.0,519000000.0,216000000.0,153000000.0,542000000.0,967000000.0,699000000.0,405000000.0,790000000.0,1213000000.0,1394000000.0,419000000.0,875000000.0,1284000000.0,1640000000.0,423000000.0,887000000.0,1355000000.0,1737000000.0,430000000.0,824000000.0,1214000000.0,1753000000.0,366000000.0,735000000.0,1109000000.0,1596000000.0,403000000.0,840000000.0,1306000000.0
DerivativeAssetCollateralObligationToReturnCashOffset / USD,193000000.0,193000000.0,193000000.0,193000000.0,113000000.0,193000000.0,113000000.0,113000000.0,113000000.0,619000000.0,619000000.0,619000000.0,619000000.0,1113000000.0,1113000000.0,1113000000.0,1113000000.0,11000000.0,11000000.0,11000000.0,739000000.0,27000000.0,27000000.0,27000000.0,2070000000.0,20000000.0,20000000.0,20000000.0,4544000000.0,26000000.0,26000000.0,26000000.0,,,,
DerivativeAssetFairValueGrossLiability / USD,,,,,,,,,,,,,,,,,,739000000.0,739000000.0,739000000.0,,2070000000.0,2070000000.0,2070000000.0,,4544000000.0,4544000000.0,4544000000.0,,3547000000.0,3547000000.0,3547000000.0,,,,
DerivativeFairValueOfDerivativeAsset / USD,401000000.0,401000000.0,401000000.0,401000000.0,238000000.0,401000000.0,238000000.0,238000000.0,238000000.0,838000000.0,838000000.0,838000000.0,838000000.0,1458000000.0,1458000000.0,1458000000.0,1458000000.0,930000000.0,930000000.0,930000000.0,930000000.0,2758000000.0,2758000000.0,2758000000.0,2758000000.0,5227000000.0,5227000000.0,5227000000.0,5227000000.0,4208000000.0,4208000000.0,4208000000.0,,,,
DerivativeFairValueOfDerivativeLiability / USD,348000000.0,348000000.0,348000000.0,348000000.0,316000000.0,348000000.0,316000000.0,316000000.0,316000000.0,1645000000.0,1645000000.0,1645000000.0,1645000000.0,1914000000.0,1914000000.0,1914000000.0,1914000000.0,1337000000.0,1337000000.0,1337000000.0,1337000000.0,3822000000.0,3822000000.0,3822000000.0,3822000000.0,8323000000.0,8323000000.0,8323000000.0,8323000000.0,6932000000.0,6932000000.0,6932000000.0,,,,
DerivativeFairValueOfDerivativeNet / USD,53000000.0,53000000.0,53000000.0,53000000.0,-78000000.0,53000000.0,-78000000.0,-78000000.0,-78000000.0,-807000000.0,-807000000.0,-807000000.0,-807000000.0,-456000000.0,-456000000.0,-456000000.0,-456000000.0,-407000000.0,-407000000.0,-407000000.0,-407000000.0,-1064000000.0,-1064000000.0,-1064000000.0,-1064000000.0,-3096000000.0,-3096000000.0,-3096000000.0,-3096000000.0,-2724000000.0,-2724000000.0,-2724000000.0,-2724000000.0,-1391000000.0,-1391000000.0,-1391000000.0
