fact_unit,2021-05-14,2021-08-11,2021-11-10,2022-02-25,2022-05-10,2022-08-09,2022-11-03,2023-02-21,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-10-30,2025-02-13,2025-05-08,2025-07-31,2025-10-30
CryptoAssetRealizedAndUnrealizedGainLossNonoperating / USD,,,,,,,,,,,,,,0.0,0.0,0.0,650429000.0,331409000.0,210902000.0
CryptoAssetRealizedAndUnrealizedGainLossOperating / USD,,,,,,,,,,,,,,0.0,0.0,0.0,86358000.0,55342000.0,55484000.0
CryptoAssetRealizedAndUnrealizedGainNonoperating / USD,,,,,,,,,,,,,,409545000.0,311000000.0,799804000.0,,,
CryptoAssetRealizedAndUnrealizedLossNonoperating / USD,,,,,,,,,,,,,,78136000.0,100098000.0,112749000.0,,,
CryptoAssetSale / USD,,,,,,,,,,,,,,64625000.0,68982000.0,,,,
CryptoAssetUnrealizedLossNonoperating / USD,,,,,,,,,,,,,,,194000000.0,,,,
CurrentFederalTaxExpenseBenefit / USD,,,,2053000.0,,,,65269000.0,,,,-51942000.0,,,,1654000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,4277000.0,,,,2977000.0,,,,8642000.0,,,,22763000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,5691000.0,,,,86408000.0,,,,-38844000.0,,,,28402000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,-639000.0,,,,18162000.0,,,,4456000.0,,,,3985000.0,,,
DebtInstrumentCarryingAmount / USD,,,,,,3437500000.0,3437500000.0,3437500000.0,3437500000.0,3437500000.0,3437500000.0,3437500000.0,3010470000.0,3010470000.0,3010470000.0,3010470000.0,4275470000.0,4275470000.0,4275470000.0
DebtInstrumentFairValue / USD,,,,,,,,,,,,,,,,,4210351000.0,4210351000.0,4210351000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,52705000.0,52705000.0,52705000.0,44052000.0,44052000.0,44052000.0,44052000.0,30513000.0,30513000.0,30513000.0,30513000.0,41389000.0,41389000.0,41389000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-15519000.0,,,,1373000.0,,,,-438810000.0,,,,-361056000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,295000.0,,,,-385000.0,,,,-25560000.0,,,,19734000.0,,,
DeferredIncomeTaxAssetsNet / USD,20807000.0,20807000.0,20807000.0,20807000.0,573547000.0,573547000.0,573547000.0,573547000.0,1046791000.0,1046791000.0,1046791000.0,1046791000.0,1272233000.0,1272233000.0,1272233000.0,1272233000.0,941298000.0,941298000.0,941298000.0
DeferredIncomeTaxExpenseBenefit / USD,,,,-20720000.0,,,,474000.0,,,,-558329000.0,214600000.0,84000000.0,61100000.0,-468035000.0,,,
DeferredIncomeTaxLiabilities / USD,,,,43369000.0,,,,60758000.0,,,,19204499000.0,,,,149392000.0,,,
DeferredIncomeTaxesAndTaxCredits / USD,7637000.0,13488000.0,7637000.0,-20903000.0,36000.0,-93328000.0,-572044000.0,474000.0,-183183000.0,-337520000.0,-444225000.0,-558329000.0,-84169000.0,-71435000.0,-50217000.0,-468035000.0,214361000.0,83961000.0,61075000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-5496000.0,,,,-514000.0,,,,-93959000.0,,,,-126713000.0,,,
DeferredTaxAssetsCapitalLossCarryforwards / USD,,,,,,,,,,,,,,,,207563000.0,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets / USD,,,,4563000.0,,,,7339000.0,,,,27022000.0,,,,49255000.0,,,
DeferredTaxAssetsGross / USD,,,,69350000.0,,,,688688000.0,,,,20503548000.0,,,,1523875000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,20807000.0,,,,573547000.0,,,,1046791000.0,,,,1272233000.0,,,
DeferredTaxAssetsNet / USD,,,,64176000.0,,,,634305000.0,,,,20251290000.0,,,,1421625000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,6322000.0,,,,262574000.0,,,,396613000.0,,,,55563000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,4584000.0,,,,285029000.0,,,,301862000.0,,,,351003000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,18726000.0,,,,50292000.0,,,,24527000.0,,,,21284000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,1943000.0,,,,19184000.0,,,,6248000.0,,,,13847000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,5174000.0,,,,54383000.0,177200000.0,177200000.0,177200000.0,5174000.0,8700000.0,,,54383000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,28001000.0,,,,24347000.0,,,,18246000.0,,,,3894000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,0.0,,,,203000.0,,,,21650000.0,,,,17218000.0,,,
DeferredTaxLiabilitiesPrepaidExpenses / USD,,,,3179000.0,,,,3439000.0,,,,5938000.0,,,,10870000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,11391000.0,,,,15937000.0,,,,35893000.0,,,,32246000.0,,,
Depreciation / USD,,,,7200000.0,,,,14300000.0,,,,18400000.0,,,,48000000.0,,,
DepreciationDepletionAndAmortization / USD,6894000.0,14378000.0,22385000.0,16878000.0,10922000.0,23534000.0,40633000.0,30962000.0,31580000.0,73607000.0,113721000.0,63651000.0,41208000.0,78190000.0,110157000.0,154069000.0,29327000.0,63828000.0,94523000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,,,,,,,,,,,,,,,,,13186000.0,-11398000.0,
EarningsPerShareBasic / USD/shares,0.0,0.16,0.61,-0.5,3.8,11.78,13.58,1.58,-1.98,-6.95,-9.37,17.47,-0.34,-0.76,-0.76,-11.81,4.84,4.95,5.23
EarningsPerShareDiluted / USD/shares,0.0,0.15,0.55,-0.5,3.05,9.6,11.19,1.4,-1.98,-6.97,-9.39,14.5,-0.34,-0.76,-0.76,-11.83,4.4,4.49,4.76
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,-10875000.0,-3933000.0,-18118000.0,-170000.0,16231000.0,11015000.0,-1111000.0,-2081000.0,-5507000.0,-119932000.0,-376261000.0,-64883000.0,11377000.0,-4370000.0,-27353000.0,-163257000.0,-21186000.0,-25923000.0,19664000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.084,0.129,0.175,0.3309,0.226,-0.275,-0.303,0.2123,0.295,0.177,0.171,-0.1973,0.524,0.279,0.149,0.1435,0.182,0.12,0.109
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,,,,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.0,,,,0.0,,,,0.0165,,,,-0.0637,,,
EffectiveIncomeTaxRateReconciliationCrossBorderOtherAmount / USD,,,,,,,,,,,,,,,,-1472000.0,,,
EffectiveIncomeTaxRateReconciliationCrossBorderOtherPercent / pure,,,,,,,,,,,,,,,,-0.0005,,,
EffectiveIncomeTaxRateReconciliationFdiiAmount / USD,,,,,,,,,,,,,,,,11592000.0,,,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,,,,,0.015,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,-0.0352,,,,-0.0024,,,,-0.0109,,,,-0.0002,,,
EffectiveIncomeTaxRateReconciliationGiltiPercent / pure,,,,,,,,,,,,0.0,,,,-0.0094,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,,-0.022,,,,0.0099,,,,0.0083,,,,-0.0134,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,-0.0361,,,,-0.0007,,,,0.0089,,,,-0.0016,,,
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes / pure,,,,0.0151,,,,-0.0011,,,,0.0014,,,,-0.0023,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.1058,,,,0.0339,,,,-0.0467,,,,0.0504,,,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,,,,-0.0826,,,,0.0046,,,,0.0307,,,,-0.006,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign / pure,,,,-0.0275,,,,0.0005,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,-0.1563,,,,0.0186,,,,0.096,,,,-0.014,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeAsset / USD,,0.0,0.0,0.0,,,,,,,,,,30577000.0,30577000.0,30966000.0,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability / USD,127100000.0,127100000.0,127100000.0,127100000.0,,,,,,,,,,21913000.0,21913000.0,120624000.0,,,
EmployeeRelatedLiabilitiesCurrent / USD,23403000.0,23403000.0,23403000.0,23403000.0,146313000.0,146313000.0,146313000.0,146313000.0,90257000.0,90257000.0,90257000.0,90257000.0,224237000.0,224237000.0,224237000.0,224237000.0,186151000.0,186151000.0,186151000.0
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,,,,2600000.0,700000.0,700000.0,1500000.0,-3000000.0,1400000.0,71500000.0,97700000.0,3500000.0,14100000.0,29000000.0,44725000.0,118017000.0,11065000.0,23500000.0,34776000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,225500000.0,251500000.0,204900000.0,180900000.0,214800000.0,186200000.0,159700000.0,130200000.0,123000000.0,104800000.0,87300000.0,70100000.0,56000000.0,42800000.0,32400000.0,25600000.0,17300000.0,13700000.0,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,,,,,,,,,,1400000000.0,,,,-246600000.0,,,
EntityPublicFloat / USD,,,,33500000000.0,,,,7300000000.0,,,,12000000000.0,,,,44600000000.0,,,
EquityMethodInvestmentOtherThanTemporaryImpairment / USD,,,,,,0.0,0.0,0.0,0.0,69289000.0,70866000.0,0.0,,,,101445000.0,,,
EquitySecuritiesFvNiAndWithoutReadilyDeterminableFairValue / USD,,,26146000.0,26146000.0,363950000.0,363950000.0,363950000.0,363950000.0,,,,,,,,,,374161000.0,374161000.0
EquitySecuritiesFvNiGainLoss / USD,,,,,,,,,,,,,,,,,,-14663000.0,-15141000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,,,,,,,,,,,,,,,,,,1500000000.0,1000000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,15599000.0,15599000.0,15599000.0,15599000.0,26146000.0,26146000.0,26146000.0,26146000.0,352431000.0,352431000.0,352431000.0,352431000.0,315285000.0,315285000.0,315285000.0,315285000.0,,374200000.0,
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount / USD,1307000.0,1307000.0,1307000.0,1307000.0,1387000.0,2379000.0,3084000.0,8019000.0,879000.0,879000.0,879000.0,900000.0,62000.0,62000.0,62000.0,62000.0,,,
EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount / USD,2900000.0,3700000.0,4600000.0,1600000.0,4600000.0,4600000.0,4600000.0,4600000.0,4900000.0,4900000.0,4900000.0,4900000.0,4900000.0,4900000.0,4913000.0,4913000.0,,,
FinancingReceivableExcludingAccruedInterestBeforeAllowanceForCreditLossCurrent / USD,,,,,,,,,,,,184029000.0,193425000.0,193425000.0,193425000.0,193425000.0,475370000.0,475370000.0,475370000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,29506000.0,29506000.0,29506000.0,29506000.0,73159000.0,73159000.0,73159000.0,73159000.0,176580000.0,176580000.0,176580000.0,176580000.0,,,,236512000.0,,,91257000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,,,,,,,,,,,-198891000.0,-40989000.0,-13878000.0,-10534000.0,-10916000.0,-161749000.0,,,
GainLossOnFairValueHedgesRecognizedInEarnings / USD,,,,,,,,,,,,,,,25793000.0,38277000.0,,,
GainsLossesOnExtinguishmentOfDebt / USD,,,,,,,,,,0.0,0.0,0.0,,,99446000.0,0.0,,,
GeneralAndAdministrativeExpense / USD,58958000.0,110946000.0,182379000.0,231929000.0,121231000.0,369426000.0,612068000.0,279880000.0,413578000.0,883747000.0,1222904000.0,909392000.0,248761000.0,507749000.0,760379000.0,1600586000.0,287236000.0,607351000.0,937738000.0
Goodwill / USD,54696000.0,54696000.0,54696000.0,54696000.0,77212000.0,77212000.0,77212000.0,77212000.0,625758000.0,625758000.0,625758000.0,625758000.0,1139670000.0,1139670000.0,1139670000.0,1073906000.0,1139670000.0,1139670000.0,1139670000.0
GoodwillAcquiredDuringPeriod / USD,22516000.0,22516000.0,22516000.0,22516000.0,548546000.0,548546000.0,548546000.0,548546000.0,454417000.0,454417000.0,454417000.0,454417000.0,,,,65764000.0,,,2864442000.0
HedgedAssetFairValueHedgeCumulativeIncreaseDecrease / USD,113102000.0,113102000.0,113102000.0,113102000.0,-240771000.0,-240771000.0,-240771000.0,-240771000.0,-562000.0,-562000.0,-562000.0,-562000.0,-3900000.0,-3900000.0,-3900000.0,-3900000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,-55383000.0,,,,396709000.0,,,,2977406000.0,,,,-3071951000.0,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,34909000.0,73715000.0,176431000.0,-45416000.0,996666000.0,1865547000.0,2136407000.0,409199000.0,-609445000.0,-1850014000.0,-2493704000.0,3026947000.0,-165676000.0,-244359000.0,-209698000.0,-3064582000.0,1437424000.0,1377187000.0,1445768000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,9967000.0,,,,12490000.0,,,,49541000.0,,,,7369000.0,,,
IncomeTaxExpenseBenefit / USD,2936000.0,9482000.0,30899000.0,-15029000.0,225203000.0,-512265000.0,-647505000.0,86882000.0,-179786000.0,-326701000.0,-425756000.0,-597173000.0,-86780000.0,-68058000.0,-31132000.0,-439633000.0,261179000.0,164792000.0,157878000.0
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance / USD,,,,,,,,,,,,,,,,-7493000.0,,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential / USD,,,,,,,,,,,,,,,,18705000.0,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate / USD,,,,,,,,,,,,,,,,617955000.0,,,
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost / USD,,,,,,,,,,,,,,,,24114000.0,,,
IncomeTaxReconciliationOtherAdjustments / USD,,,,,,,,,,,,,,,,1150000.0,,,
IncomeTaxReconciliationPriorYearIncomeTaxes / USD,,,,,,,,,,,,,,,,-1110000.0,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes / USD,,,,,,,,,,,,,,,,66325000.0,,,
IncomeTaxReconciliationTaxContingencies / USD,,,,,,,,,,,,,,,,3244000.0,,,
IncomeTaxReconciliationTaxCreditsResearch / USD,,,,,,,,,,,,,,,,69603000.0,,,
IncomeTaxesPaidNet / USD,550000.0,2065000.0,21623000.0,2165000.0,0.0,51504000.0,53426000.0,62060000.0,1980000.0,10002000.0,17762000.0,68614000.0,5322000.0,10669000.0,19676000.0,0.0,5528000.0,81552000.0,113107000.0
IncomeTaxesReceivable / USD,,0.0,0.0,0.0,61231000.0,61231000.0,61231000.0,61231000.0,60441000.0,60441000.0,60441000.0,60441000.0,63726000.0,63726000.0,63726000.0,63726000.0,5530000.0,5530000.0,5530000.0
IncomeTaxesReceivableNoncurrent / USD,,,,,,,,,,,,,,0.0,0.0,0.0,60004000.0,60004000.0,60004000.0
IncreaseDecreaseInDepositOtherAssets / USD,,,,,,,,39989000.0,-36785000.0,-36333000.0,-53731000.0,36527000.0,15262000.0,88680000.0,28055000.0,-28952000.0,21260000.0,5012000.0,
IncreaseDecreaseInDeposits / USD,,,,,,,,2710522000.0,-738758000.0,-3421287000.0,-3977293000.0,6691859000.0,528959000.0,-987957000.0,-1349666000.0,-5562558000.0,645938000.0,-357657000.0,-550776000.0
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable / USD,-12726000.0,-5621000.0,43805000.0,-1912000.0,238486000.0,-437287000.0,-95756000.0,86791000.0,3862000.0,4058000.0,4785000.0,-62145000.0,-7608000.0,-7012000.0,-157000.0,1906000.0,41613000.0,-1667000.0,-19341000.0
IncreaseDecreaseInOperatingCapital / USD,,,,,,,,,,,,-141438000.0,-315327000.0,-326844000.0,-514550000.0,1031448000.0,474002000.0,567634000.0,322616000.0
IncreaseDecreaseInOtherOperatingAssets / USD,-10779000.0,-4056000.0,28190000.0,38594000.0,34587000.0,126772000.0,26331000.0,48677000.0,49083000.0,663000.0,104801000.0,20060000.0,14892000.0,-31003000.0,-21244000.0,-19237000.0,3856000.0,2971000.0,40826000.0
IncreaseDecreaseInOtherOperatingLiabilities / USD,208000.0,-11450000.0,-2542000.0,17721000.0,110083000.0,261366000.0,196806000.0,6398000.0,54976000.0,28585000.0,-107553000.0,302396000.0,-77088000.0,-80640000.0,-24527000.0,-92382000.0,-82190000.0,4037000.0,31655000.0
IncreaseDecreaseInReceivables / USD,12783000.0,17947000.0,8859000.0,-30703000.0,11976000.0,-83754000.0,-37244000.0,117167000.0,-8360000.0,-7359000.0,21520000.0,-28511000.0,67126000.0,36579000.0,-81317000.0,141023000.0,108802000.0,69779000.0,
IncrementalCommonSharesAttributableToContingentlyIssuableShares / shares,,,,,,,,,,,,,,,,24000.0,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities / shares,,0.0,0.0,0.0,,863000.0,1883000.0,0.0,,,,2388000.0,0.0,0.0,0.0,0.0,4145000.0,5687000.0,6205000.0
InformationTechnologyAndDataProcessing / USD,25407000.0,48802000.0,85568000.0,82055000.0,234066000.0,569492000.0,766743000.0,135514000.0,277826000.0,445013000.0,546889000.0,1267924000.0,96369000.0,204569000.0,295146000.0,629880000.0,217407000.0,408884000.0,580665000.0
IntangibleAssetsGrossExcludingGoodwill / USD,406425000.0,406425000.0,406425000.0,406425000.0,249848000.0,249848000.0,249848000.0,249848000.0,312009000.0,312009000.0,312009000.0,312009000.0,,,,322934000.0,,,138061000.0
IntangibleAssetsNetExcludingGoodwill / USD,376919000.0,376919000.0,376919000.0,376919000.0,176689000.0,176689000.0,176689000.0,176689000.0,135429000.0,135429000.0,135429000.0,135429000.0,,,,86422000.0,,,46804000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,43208000.0,64029000.0,88901000.0,19071000.0,39578000.0,60108000.0
InterestIncomeOperating / USD,2559000.0,2749000.0,3285000.0,14414000.0,3320000.0,9801000.0,18190000.0,5535000.0,10454000.0,42968000.0,44769000.0,15953000.0,43313000.0,95245000.0,137762000.0,82395000.0,66663000.0,136063000.0,200050000.0
InterestOnConvertibleDebtNetOfTax / USD,,0.0,0.0,0.0,,551000.0,3638000.0,0.0,,,,6208000.0,0.0,0.0,0.0,0.0,2531000.0,6145000.0,9773000.0
InterestPaidNet / USD,,,,0.0,0.0,0.0,0.0,0.0,190000.0,43630000.0,43630000.0,3793000.0,74000.0,38684000.0,42913000.0,82399000.0,,33424000.0,
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,113992000.0,,,,79478000.0,,,,15151000.0,,,,132327000.0,,281202000.0,284437000.0
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,0.0,,,,,,,,,,,,,,182994000.0,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,36268000.0,,,,36259000.0,,,,11235000.0,,,,9885000.0,,17906000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,792000.0,,,,,,,,,,,,,,21070000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,9036000.0,,,,792000.0,,,,,,,,12203000.0,,19107000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,32630000.0,,,,8820000.0,,,,792000.0,,,,13137000.0,,19187000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,35266000.0,,,,33607000.0,,,,3124000.0,,,,14069000.0,,20938000.0,
