fact_unit,2025-03-07,2025-03-17,2025-05-12,2025-08-21,2025-11-07
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings / pure,,,,0.0,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,,,,0.01,
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign / pure,,,,-0.01,
EffectiveIncomeTaxRateReconciliationTaxCreditsResearch / pure,,,,-0.01,
EffectiveIncomeTaxRateReconciliationTaxExemptIncome / pure,,,,0.01,
EffectiveIncomeTaxRateReconciliationTaxSettlementsDomestic / pure,,,,0.0,
EmployeeRelatedLiabilitiesCurrent / USD,195000000.0,195000000.0,195000000.0,195000000.0,173000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized / USD,303000000.0,303000000.0,269000000.0,331000000.0,424000000.0
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,,15000000.0,22000000.0,5000000.0
EntityCommonStockSharesOutstanding / shares,114863251.0,144863251.0,145299218.0,145805548.0,146553179.0
EntityPublicFloat / USD,,,,0.0,
ForeignCurrencyTransactionGainLossUnrealized / USD,-26000000.0,-26000000.0,-12000000.0,37000000.0,8000000.0
GainLossOnSaleOfBusiness / USD,0.0,0.0,0.0,0.0,0.0
GainLossOnSaleOfInvestments / USD,,,1000000.0,3000000.0,
GainLossOnSaleOfOtherAssets / USD,60000000.0,60000000.0,60000000.0,0.0,
Goodwill / USD,7207000000.0,7207000000.0,7207000000.0,7207000000.0,4999000000.0
GoodwillForeignCurrencyTranslationGainLoss / USD,,,2000000.0,4000000.0,-1000000.0
GoodwillImpairmentLoss / USD,0.0,0.0,0.0,671000000.0,0.0
GoodwillWrittenOffRelatedToSaleOfBusinessUnit / USD,382000000.0,382000000.0,382000000.0,382000000.0,
GrossProfit / USD,-27000000.0,-27000000.0,436000000.0,430000000.0,726000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic / USD,,,,251000000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,-754000000.0,-754000000.0,-700000000.0,-2002000000.0,267000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,-2253000000.0,
IncomeLossFromEquityMethodInvestments / USD,-4000000.0,-4000000.0,-11000000.0,45000000.0,-10000000.0
IncomeTaxExpenseBenefit / USD,65000000.0,65000000.0,92000000.0,141000000.0,56000000.0
IncomeTaxesPaidNet / USD,,,0.0,0.0,0.0
IncomeTaxesReceivable / USD,7000000.0,7000000.0,7000000.0,7000000.0,66000000.0
IncomeTaxesReceivableNoncurrent / USD,11000000.0,11000000.0,11000000.0,11000000.0,80000000.0
IncreaseDecreaseInAccountsPayableRelatedParties / USD,-42000000.0,-42000000.0,18000000.0,-23000000.0,39000000.0
IncreaseDecreaseInAccountsPayableTrade / USD,100000000.0,100000000.0,80000000.0,-124000000.0,33000000.0
IncreaseDecreaseInAccountsReceivable / USD,145000000.0,145000000.0,275000000.0,-750000000.0,102000000.0
IncreaseDecreaseInAccruedLiabilities / USD,-90000000.0,-90000000.0,-96000000.0,-104000000.0,-172000000.0
IncreaseDecreaseInEmployeeRelatedLiabilities / USD,7000000.0,7000000.0,43000000.0,-56000000.0,-13000000.0
IncreaseDecreaseInInventories / USD,-657000000.0,-657000000.0,-539000000.0,277000000.0,149000000.0
IncreaseDecreaseInOtherOperatingCapitalNet / USD,38000000.0,38000000.0,42000000.0,-31000000.0,-20000000.0
InterestExpenseNonoperating / USD,22000000.0,22000000.0,31000000.0,31000000.0,2000000.0
InterestPaidNet / USD,6000000.0,6000000.0,10000000.0,7000000.0,98000000.0
InventoryFinishedGoodsNetOfReserves / USD,320000000.0,320000000.0,320000000.0,320000000.0,300000000.0
InventoryNet / USD,1955000000.0,1955000000.0,1955000000.0,1955000000.0,2079000000.0
InventoryRawMaterialsAndSuppliesNetOfReserves / USD,1398000000.0,1398000000.0,1398000000.0,1398000000.0,1517000000.0
InventoryWorkInProcessNetOfReserves / USD,237000000.0,237000000.0,237000000.0,237000000.0,262000000.0
InvestmentIncomeInterest / USD,6000000.0,6000000.0,9000000.0,21000000.0,3000000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,310000000.0,310000000.0,335000000.0,331000000.0,319000000.0
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,183000000.0,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,30000000.0,30000000.0,38000000.0,41000000.0,36000000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,20000000.0,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,20000000.0,20000000.0,24000000.0,24000000.0,20000000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,20000000.0,20000000.0,28000000.0,28000000.0,24000000.0
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,28000000.0,28000000.0,34000000.0,35000000.0,28000000.0
LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear / USD,14000000.0,14000000.0,9000000.0,,29000000.0
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,114000000.0,114000000.0,115000000.0,112000000.0,107000000.0
Liabilities / USD,2424000000.0,2424000000.0,2424000000.0,2424000000.0,3769000000.0
LiabilitiesAndStockholdersEquity / USD,13506000000.0,13506000000.0,13506000000.0,13506000000.0,12985000000.0
LiabilitiesCurrent / USD,2123000000.0,2123000000.0,2123000000.0,2123000000.0,1427000000.0
LongTermDebt / USD,,,1947000000.0,0.0,1849000000.0
LongTermDebtCurrent / USD,,,0.0,0.0,20000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,1800000000.0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,20000000.0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,20000000.0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,20000000.0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,20000000.0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,20000000.0,
LongTermDebtNoncurrent / USD,,,0.0,0.0,1829000000.0
NetCashProvidedByUsedInFinancingActivities / USD,186000000.0,186000000.0,51000000.0,860000000.0,214000000.0
NetCashProvidedByUsedInInvestingActivities / USD,113000000.0,113000000.0,213000000.0,-189000000.0,-19000000.0
NetCashProvidedByUsedInOperatingActivities / USD,-167000000.0,-167000000.0,-179000000.0,-713000000.0,-131000000.0
NetIncomeLoss / USD,-518000000.0,-518000000.0,-518000000.0,-2143000000.0,211000000.0
NonoperatingIncomeExpense / USD,-22000000.0,-22000000.0,-33000000.0,33000000.0,-24000000.0
NumberOfOperatingSegments / segment,1.0,1.0,1.0,1.0,1.0
NumberOfReportableSegments / segment,1.0,1.0,1.0,1.0,1.0
NumberOfReportingUnits / reporting_unit,1.0,1.0,1.0,1.0,1.0
OciBeforeReclassificationsBeforeTaxAttributableToParent / USD,39000000.0,39000000.0,164000000.0,,
OperatingExpenses / USD,705000000.0,705000000.0,1103000000.0,2465000000.0,435000000.0
OperatingIncomeLoss / USD,-732000000.0,-732000000.0,-667000000.0,-2035000000.0,291000000.0
OperatingLeaseCost / USD,13000000.0,13000000.0,20000000.0,21000000.0,7000000.0
OperatingLeaseLiability / USD,182000000.0,182000000.0,182000000.0,182000000.0,219000000.0
OperatingLeaseLiabilityCurrent / USD,11000000.0,11000000.0,11000000.0,11000000.0,26000000.0
OperatingLeaseLiabilityNoncurrent / USD,171000000.0,171000000.0,171000000.0,171000000.0,193000000.0
OperatingLeasePayments / USD,14000000.0,14000000.0,22000000.0,14000000.0,7000000.0
OperatingLeaseRightOfUseAsset / USD,179000000.0,179000000.0,179000000.0,179000000.0,214000000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,0.075,0.075,0.075,0.075,0.075
OtherAssetImpairmentCharges / USD,,,,1000000.0,
OtherAssetsCurrent / USD,221000000.0,221000000.0,221000000.0,221000000.0,392000000.0
OtherAssetsNoncurrent / USD,852000000.0,852000000.0,852000000.0,852000000.0,1489000000.0
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent / USD,33000000.0,33000000.0,-67000000.0,93000000.0,254000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax / USD,-39000000.0,-39000000.0,-39000000.0,99000000.0,166000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax / USD,25000000.0,25000000.0,-46000000.0,128000000.0,211000000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax / USD,,,,-215000000.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax / USD,-16000000.0,-16000000.0,-16000000.0,-35000000.0,43000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,28000000.0,28000000.0,-57000000.0,64000000.0,209000000.0
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1 / USD,5000000.0,5000000.0,-10000000.0,29000000.0,45000000.0
OtherLiabilitiesNoncurrent / USD,286000000.0,286000000.0,286000000.0,286000000.0,496000000.0
OtherNonoperatingIncomeExpense / USD,-6000000.0,-6000000.0,-11000000.0,43000000.0,-25000000.0
OtherOperatingActivitiesCashFlowStatement / USD,41000000.0,41000000.0,96000000.0,114000000.0,6000000.0
PaymentsOfDebtIssuanceCosts / USD,,,0.0,0.0,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,0.0,0.0,0.0
PaymentsToAcquireNotesReceivable / USD,184000000.0,184000000.0,184000000.0,627000000.0,14000000.0
PaymentsToAcquireOtherInvestments / USD,1000000.0,1000000.0,,,
PaymentsToAcquirePropertyPlantAndEquipment / USD,99000000.0,99000000.0,128000000.0,219000000.0,67000000.0
ProceedsFromCollectionOfNotesReceivable / USD,263000000.0,263000000.0,391000000.0,641000000.0,62000000.0
ProceedsFromDivestitureOfBusinesses / USD,0.0,0.0,0.0,0.0,0.0
ProceedsFromInterestReceived / USD,7000000.0,7000000.0,8000000.0,12000000.0,1000000.0
ProceedsFromIssuanceOfDebt / USD,,,0.0,0.0,
ProceedsFromIssuanceOrSaleOfEquity / USD,,,,0.0,
ProceedsFromNotesPayable / USD,0.0,0.0,0.0,54000000.0,
ProceedsFromSaleOfOtherInvestments / USD,1000000.0,1000000.0,0.0,16000000.0,
ProceedsFromSaleOfPropertyPlantAndEquipment / USD,134000000.0,134000000.0,134000000.0,0.0,
PropertyPlantAndEquipmentGross / USD,2994000000.0,2994000000.0,2994000000.0,2994000000.0,2125000000.0
PropertyPlantAndEquipmentNet / USD,791000000.0,791000000.0,791000000.0,791000000.0,619000000.0
PurchaseObligation / USD,2908000000.0,2908000000.0,2781000000.0,2633000000.0,2481000000.0
PurchaseObligationDueAfterFifthYear / USD,,,,90000000.0,
PurchaseObligationDueInFifthYear / USD,,,,570000000.0,
PurchaseObligationDueInFourthYear / USD,570000000.0,570000000.0,570000000.0,570000000.0,570000000.0
PurchaseObligationDueInNextTwelveMonths / USD,496000000.0,496000000.0,372000000.0,250000000.0,583000000.0
PurchaseObligationDueInSecondYear / USD,586000000.0,586000000.0,583000000.0,583000000.0,570000000.0
PurchaseObligationDueInThirdYear / USD,570000000.0,570000000.0,570000000.0,570000000.0,570000000.0
PurchaseObligationFutureMinimumPaymentsRemainderOfFiscalYear / USD,26000000.0,26000000.0,26000000.0,,98000000.0
RepaymentsOfDebt / USD,,,,0.0,0.0
RepaymentsOfNotesPayable / USD,14000000.0,14000000.0,102000000.0,86000000.0,76000000.0
ReportingUnitPercentageOfFairValueInExcessOfCarryingAmount / pure,0.12,0.12,,,
ResearchAndDevelopmentExpense / USD,486000000.0,486000000.0,763000000.0,1167000000.0,283000000.0
RestructuringCharges / USD,-46000000.0,-46000000.0,-44000000.0,69000000.0,2000000.0
RetainedEarningsAccumulatedDeficit / USD,,,0.0,0.0,-1784000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,3198000000.0,3198000000.0,4903000000.0,6086000000.0,1883000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,167000000.0,167000000.0,167000000.0,3000000.0,0.0
SaleAndLeasebackTransactionGainLossNet / USD,60000000.0,60000000.0,60000000.0,60000000.0,
SellingGeneralAndAdministrativeExpense / USD,231000000.0,231000000.0,338000000.0,558000000.0,130000000.0
ShareBasedCompensation / USD,77000000.0,77000000.0,115000000.0,165000000.0,41000000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardPlanModificationIncrementalCompensationCost / USD,,,41000000.0,41000000.0,5000000.0
StandardProductWarrantyAccrual / USD,42000000.0,42000000.0,42000000.0,52000000.0,44000000.0
StandardProductWarrantyAccrualCurrent / USD,27000000.0,27000000.0,27000000.0,27000000.0,22000000.0
StandardProductWarrantyAccrualNoncurrent / USD,21000000.0,21000000.0,21000000.0,21000000.0,22000000.0
StandardProductWarrantyAccrualPayments / USD,17000000.0,17000000.0,25000000.0,26000000.0,8000000.0
StandardProductWarrantyAccrualPreexistingIncreaseDecrease / USD,3000000.0,3000000.0,5000000.0,-14000000.0,4000000.0
StandardProductWarrantyAccrualWarrantiesIssued / USD,15000000.0,15000000.0,21000000.0,30000000.0,14000000.0
StockGrantedDuringPeriodValueSharebasedCompensation / USD,,,-7000000.0,-8000000.0,-15000000.0
StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans / shares,,,,100000.0,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan / USD,,,,5000000.0,
StockIssuedDuringPeriodValueNewIssues / USD,,,0.0,0.0,
StockholdersEquity / USD,11439000000.0,11439000000.0,11439000000.0,12977000000.0,11082000000.0
UnrecognizedTaxBenefits / USD,47000000.0,47000000.0,47000000.0,17000000.0,140000000.0
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions / USD,7000000.0,7000000.0,1000000.0,3000000.0,4000000.0
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities / USD,,,7000000.0,0.0,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued / USD,9000000.0,9000000.0,9000000.0,9000000.0,11000000.0
UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition / USD,,,78000000.0,0.0,
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions / USD,3000000.0,3000000.0,10000000.0,10000000.0,1000000.0
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions / USD,17000000.0,17000000.0,,1000000.0,
WeightedAverageNumberOfDilutedSharesOutstanding / shares,,,145000000.0,145000000.0,145000000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,,,145000000.0,145000000.0,145000000.0
