fact_unit,2022-05-10,2022-08-09,2022-11-08,2023-03-01,2023-05-09,2023-08-07,2023-11-07,2024-02-27,2024-05-07,2024-08-08,2024-11-06,2025-02-24,2025-05-07,2025-08-07,2025-11-10
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,967000000.0,1688000000.0,1349000000.0,846000000.0,10346000000.0,10346000000.0,10346000000.0,-379000000.0,6957000000.0,3656000000.0,3299000000.0,9040000000.0,2025000000.0,292000000.0,-64000000.0
CededPremiumsEarned / USD,,,,112000000.0,,,,112000000.0,,,,112000000.0,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1 / USD/shares,,,,,,,,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights / shares,,,,,,,,12500000.0,12500000.0,12500000.0,12500000.0,12500000.0,12500000.0,12500000.0,12500000.0
CommonStockDividendsPerShareDeclared / USD/shares,0.6,0.6,0.6,0.89,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.43,0.43,0.43
CommonStockParOrStatedValuePerShare / USD/shares,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
CommonStockSharesAuthorized / shares,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0,90000000000.0
CommonStockSharesIssued / shares,570353554.0,571028097.0,572670634.0,570276188.0,570276188.0,570276188.0,570276188.0,570276188.0,567762932.0,567762932.0,567762932.0,567762932.0,565738933.0,565738933.0,565738933.0
CommonStockSharesOutstanding / shares,570353554.0,571028097.0,572670634.0,570276188.0,570276188.0,570276188.0,570276188.0,570276188.0,567762932.0,567762932.0,567762932.0,567762932.0,565738933.0,565738933.0,565738933.0
CommonStockValue / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ComprehensiveIncomeNetOfTax / USD,678000000.0,1336000000.0,1594000000.0,160000000.0,-2716000000.0,-2716000000.0,-2716000000.0,1836000000.0,2183000000.0,2552000000.0,1528000000.0,-9291000000.0,1362000000.0,2035000000.0,5193000000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,826000000.0,1677000000.0,2041000000.0,348000000.0,-603000000.0,-603000000.0,-603000000.0,2399000000.0,577000000.0,834000000.0,635000000.0,-1704000000.0,336000000.0,644000000.0,1976000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,1504000000.0,3013000000.0,3635000000.0,508000000.0,-3319000000.0,-3319000000.0,-3319000000.0,4235000000.0,2760000000.0,3386000000.0,2163000000.0,-10995000000.0,1698000000.0,2679000000.0,7169000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,109700000.0,114000000.0,124000000.0,170000000.0,172000000.0,172000000.0,108000000.0,152000000.0,154000000.0,155000000.0,79000000.0,91000000.0,97000000.0
ConvertiblePreferredStockSharesIssuedUponConversion / shares,,,,,,,,,235.0,235.0,235.0,235.0,235.0,235.0,235.0
CurrentFederalTaxExpenseBenefit / USD,,,,21000000.0,,,,83000000.0,,,,402000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,25000000.0,,,,33000000.0,,,,54000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,51000000.0,,,,119000000.0,,,,515000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,5000000.0,,,,3000000.0,,,,59000000.0,,,
DebtInstrumentFairValue / USD,3499000000.0,3499000000.0,3499000000.0,3499000000.0,5467000000.0,5467000000.0,5467000000.0,5467000000.0,7536000000.0,7536000000.0,7536000000.0,7536000000.0,10151000000.0,10151000000.0,10151000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLoss / USD,311000000.0,311000000.0,311000000.0,311000000.0,311000000.0,311000000.0,311000000.0,311000000.0,459000000.0,459000000.0,459000000.0,459000000.0,591000000.0,591000000.0,591000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLossNotPreviouslyRecorded / USD,179000000.0,222000000.0,237000000.0,270000000.0,179000000.0,222000000.0,237000000.0,270000000.0,26000000.0,38000000.0,111000000.0,155000000.0,14000000.0,91000000.0,111000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLossNotToSellBeforeRecoveryCreditLossPreviouslyRecordedExpenseReversal / USD,6000000.0,112000000.0,-57000000.0,-63000000.0,6000000.0,112000000.0,-57000000.0,-63000000.0,0.0,0.0,-6000000.0,-6000000.0,5000000.0,8000000.0,13000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLossPurchasedWithCreditDeteriorationIncrease / USD,0.0,1000000.0,3000000.0,7000000.0,0.0,1000000.0,3000000.0,7000000.0,28000000.0,39000000.0,40000000.0,53000000.0,,,
DebtSecuritiesAvailableForSaleAllowanceForCreditLossSecuritiesSold / USD,-8000000.0,-17000000.0,52000000.0,60000000.0,8000000.0,17000000.0,52000000.0,60000000.0,10000000.0,14000000.0,25000000.0,55000000.0,12000000.0,19000000.0,37000000.0
DebtSecuritiesAvailableForSaleAllowanceForCreditLossSellBeforeRecovery / USD,,,6000000.0,6000000.0,,,6000000.0,6000000.0,,,,15000000.0,,,
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79813000000.0,79813000000.0,79813000000.0,79813000000.0,62786000000.0,62786000000.0,62786000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13567000000.0,13567000000.0,13567000000.0,13567000000.0,14018000000.0,14018000000.0,14018000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLongerNumberOfPositions / position,0.0,0.0,0.0,0.0,7387.0,7580.0,7841.0,7714.0,7343.0,6930.0,6167.0,6087.0,5728.0,5525.0,5383.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months / USD,92689000000.0,90851000000.0,95941000000.0,98331000000.0,98331000000.0,98331000000.0,98331000000.0,98331000000.0,17675000000.0,17675000000.0,17675000000.0,17675000000.0,41756000000.0,41756000000.0,41756000000.0
DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss / USD,6904000000.0,14844000000.0,21270000000.0,18593000000.0,18593000000.0,18593000000.0,18593000000.0,18593000000.0,801000000.0,801000000.0,801000000.0,801000000.0,1324000000.0,1324000000.0,1324000000.0
DebtSecuritiesAvailableForSaleRealizedGain / USD,103000000.0,320000000.0,404000000.0,1337000000.0,103000000.0,320000000.0,404000000.0,1337000000.0,183000000.0,324000000.0,379000000.0,1337000000.0,67000000.0,192000000.0,936000000.0
DebtSecuritiesAvailableForSaleRealizedGainLoss / USD,-307000000.0,-922000000.0,-1599000000.0,-814000000.0,-307000000.0,-922000000.0,-1599000000.0,-814000000.0,79000000.0,108000000.0,-268000000.0,-814000000.0,-280000000.0,-373000000.0,134000000.0
DebtSecuritiesAvailableForSaleRealizedLoss / USD,410000000.0,1242000000.0,2003000000.0,2151000000.0,410000000.0,1242000000.0,2003000000.0,2151000000.0,104000000.0,216000000.0,647000000.0,2151000000.0,347000000.0,565000000.0,802000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPosition / USD,92689000000.0,90851000000.0,95941000000.0,98331000000.0,98331000000.0,98331000000.0,98331000000.0,98331000000.0,97488000000.0,97488000000.0,97488000000.0,97488000000.0,104542000000.0,104542000000.0,104542000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionAccumulatedLoss / USD,6904000000.0,14844000000.0,21270000000.0,18593000000.0,18593000000.0,18593000000.0,18593000000.0,18593000000.0,14368000000.0,14368000000.0,14368000000.0,14368000000.0,15342000000.0,15342000000.0,15342000000.0
DebtSecuritiesAvailableForSaleUnrealizedLossPositionNumberOfPositions / position,8329.0,8475.0,9160.0,8921.0,8873.0,9345.0,9552.0,8650.0,8612.0,8317.0,7058.0,7745.0,7495.0,6857.0,6278.0
DebtSecuritiesTradingRealizedGainLoss / USD,-221000000.0,-378000000.0,-497000000.0,-432000000.0,-221000000.0,-378000000.0,-497000000.0,-432000000.0,64000000.0,32000000.0,-105000000.0,-432000000.0,-65000000.0,-98000000.0,21000000.0
DebtSecuritiesTradingUnrealizedGainLoss / USD,-189000000.0,-349000000.0,-455000000.0,-415000000.0,-189000000.0,-349000000.0,-455000000.0,-415000000.0,66000000.0,40000000.0,-35000000.0,-414000000.0,-20000000.0,-41000000.0,40000000.0
DeconsolidationGainOrLossAmount / USD,,162000000.0,162000000.0,162000000.0,,162000000.0,162000000.0,162000000.0,,,,162000000.0,,,
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,,,,11000000.0,,,,10000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,9000000.0,,,,423000000.0,,,,-1209000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,0.0,,,,-1000000.0,,,,6000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,,35000000.0,,,,475000000.0,,,,-1254000000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,26000000.0,,,,53000000.0,,,,-51000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax / USD,,,,,,,,,,,,115000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign / USD,,,,,,,,68000000.0,,,,66000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,0.0,,,,105000000.0,,,,33000000.0,,,
DepreciationDepletionAndAmortization / USD,6000000.0,13000000.0,20000000.0,19000000.0,106000000.0,106000000.0,106000000.0,27000000.0,165000000.0,345000000.0,586000000.0,529000000.0,238000000.0,498000000.0,779000000.0
DerivativeCollateralObligationToReturnCash / USD,3105000000.0,1904000000.0,2538000000.0,1952000000.0,1952000000.0,1952000000.0,1952000000.0,1952000000.0,3676000000.0,3676000000.0,3676000000.0,3676000000.0,5922000000.0,5922000000.0,5922000000.0
DerivativeCollateralObligationToReturnSecurities / USD,661000000.0,1204000000.0,1671000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1497000000.0,1497000000.0,1497000000.0,1497000000.0,2209000000.0,2209000000.0,2209000000.0
DerivativeCollateralRightToReclaimCash / USD,164000000.0,304000000.0,598000000.0,478000000.0,478000000.0,478000000.0,478000000.0,478000000.0,848000000.0,848000000.0,848000000.0,848000000.0,1333000000.0,1333000000.0,1333000000.0
DerivativeCollateralRightToReclaimSecurities / USD,661000000.0,1204000000.0,1671000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1477000000.0,1497000000.0,1497000000.0,1497000000.0,1497000000.0,2209000000.0,2209000000.0,2209000000.0
DerivativeFairValueOfDerivativeAsset / USD,3668000000.0,2932000000.0,4065000000.0,3309000000.0,3309000000.0,3309000000.0,3309000000.0,3309000000.0,5298000000.0,5298000000.0,5298000000.0,5298000000.0,8154000000.0,8154000000.0,8154000000.0
DerivativeFairValueOfDerivativeLiability / USD,631000000.0,1223000000.0,2222000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1646000000.0,1995000000.0,1995000000.0,1995000000.0,1995000000.0,3556000000.0,3556000000.0,3556000000.0
DerivativeGainLossOnDerivativeNet / USD,-3041000000.0,-6973000000.0,-8794000000.0,-9173000000.0,-3041000000.0,-6973000000.0,-8794000000.0,-9173000000.0,993000000.0,1414000000.0,-66000000.0,-9173000000.0,1431000000.0,878000000.0,2486000000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,-2086000000.0,-4650000000.0,-5586000000.0,-5830000000.0,-2009000000.0,-4541000000.0,-5751000000.0,-5996000000.0,378000000.0,-26000000.0,-457000000.0,-5996000000.0,201000000.0,-250000000.0,927000000.0
DerivativeLiabilities / USD,7335000000.0,6674000000.0,7138000000.0,7410000000.0,7410000000.0,7410000000.0,7410000000.0,7410000000.0,10990000000.0,10990000000.0,10990000000.0,10990000000.0,14802000000.0,14802000000.0,14802000000.0
DirectPremiumsEarned / USD,,,,11373000000.0,,,,11373000000.0,,,,11373000000.0,,,
DividendsCommonStock / USD,139000000.0,255000000.0,377000000.0,531000000.0,229000000.0,458000000.0,688000000.0,501000000.0,229000000.0,473000000.0,229000000.0,229000000.0,245000000.0,245000000.0,245000000.0
DividendsShareBasedCompensation / USD,5000000.0,9000000.0,13000000.0,19000000.0,12000000.0,24000000.0,35000000.0,17000000.0,12000000.0,24000000.0,36000000.0,46000000.0,14000000.0,30000000.0,45000000.0
EarningsPerShareBasic / USD/shares,2.81,5.51,6.47,0.44,-0.7,-0.7,-0.7,7.32,1.67,2.67,3.77,-3.43,2.31,3.67,4.96
EarningsPerShareBasicDistributed / USD/shares,0.6,1.1,1.6,2.31,0.4,0.8,1.2,2.1,0.4,0.83,1.26,1.6,0.43,0.89,1.35
EarningsPerShareBasicUndistributed / USD/shares,2.21,4.41,4.87,-1.87,-1.1,-4.32,-5.71,5.22,1.27,1.84,2.51,-5.03,1.88,2.78,3.61
EarningsPerShareDiluted / USD/shares,2.81,5.51,6.47,0.44,-0.7,-0.7,-0.7,7.32,1.66,2.67,3.75,-3.43,2.28,3.64,4.94
EarningsPerShareDilutedDistributed / USD/shares,0.6,1.1,1.6,2.31,0.4,0.8,1.2,2.1,0.4,0.83,1.26,1.6,0.43,0.89,1.35
EarningsPerShareDilutedUndistributed / USD/shares,2.21,4.41,4.87,-1.87,-1.1,-4.32,-5.71,5.22,1.26,1.84,2.49,-5.03,1.85,2.75,3.59
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,0.0,0.0,0.0,0.0,-4000000.0,-4000000.0,-4000000.0,0.0,3000000.0,5000000.0,2000000.0,-15000000.0,-2000000.0,-2000000.0,3000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,0.118,0.116,0.12,0.157,0.314,0.191,0.176,0.122,0.141,0.166,0.192,0.174,0.193,0.188,0.175
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,,,,0.21,,,,0.21,,,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.0,,,,0.0,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,0.023,,,,0.003,,,,0.0,,,
EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense / pure,,,,0.122,,,,0.104,,,,0.09,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost / pure,,,,-0.012,,,,0.005,,,,0.001,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,,,0.011,,,,0.0,,,,-0.019,,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,,,0.038,,,,0.008,,,,-0.001,,,
EffectiveIncomeTaxRateReconciliationTaxCredits / pure,,,,,,,,0.0,,,,0.0,,,
EntityCommonStockSharesOutstanding / shares,574458506.0,570990539.0,572283625.0,570652389.0,567403760.0,566809153.0,567555284.0,568161277.0,569003922.0,569534271.0,565816456.0,570480465.0,571494234.0,572026735.0,580422573.0
EntityPublicFloat / USD,,,,20894310263.0,,,,30663494049.0,,,,48057705400.0,,,
EquitySecuritiesFvNiRealizedGainLoss / USD,20000000.0,-251000000.0,-260000000.0,-153000000.0,20000000.0,-251000000.0,-260000000.0,-153000000.0,-18000000.0,-31000000.0,-34000000.0,-153000000.0,39000000.0,27000000.0,65000000.0
EquitySecuritiesFvNiUnrealizedGainLoss / USD,17000000.0,-238000000.0,-237000000.0,-146000000.0,17000000.0,-238000000.0,-237000000.0,-146000000.0,-23000000.0,3000000.0,9000000.0,-146000000.0,38000000.0,24000000.0,58000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueAmount / USD,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,400000000.0,358000000.0,358000000.0,358000000.0,358000000.0,358000000.0,358000000.0,358000000.0
EquitySecuritiesWithoutReadilyDeterminableFairValueImpairmentLossCumulativeAmount / USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0,42000000.0
FairValueOfSecuritiesReceivedAsCollateralThatCanBeResoldOrRepledged / USD,,,,1522000000.0,1522000000.0,1522000000.0,1522000000.0,1522000000.0,453000000.0,453000000.0,453000000.0,453000000.0,,,
FairValueOptionCreditRiskGainsLossesOnAssets / USD,-18000000.0,-52000000.0,-34000000.0,-41000000.0,-18000000.0,-52000000.0,-34000000.0,-41000000.0,-3000000.0,-11000000.0,-31000000.0,-41000000.0,-33000000.0,-30000000.0,-49000000.0
GainLossOnSaleOfMortgageLoans / USD,-796000000.0,-1895000000.0,-3094000000.0,-2974000000.0,-796000000.0,-1895000000.0,-3094000000.0,-2974000000.0,277000000.0,73000000.0,-838000000.0,-2974000000.0,-358000000.0,-265000000.0,874000000.0
Goodwill / USD,4300000000.0,117000000.0,117000000.0,117000000.0,,,,4322000000.0,,,,4329000000.0,,,
GuaranteedInterestContracts / USD,,,,,164303000000.0,164487000000.0,166878000000.0,173616000000.0,181100000000.0,184359000000.0,189065000000.0,173616000000.0,220234000000.0,228389000000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,1722000000.0,3421000000.0,4153000000.0,553000000.0,-1544000000.0,-1544000000.0,-1544000000.0,4861000000.0,1791000000.0,2742000000.0,3625000000.0,-4246000000.0,2187000000.0,3625000000.0,5711000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign / USD,,,,116000000.0,,,,212000000.0,,,,-3359000000.0,,,
IncomeTaxExpenseBenefit / USD,203000000.0,397000000.0,498000000.0,86000000.0,-485000000.0,-485000000.0,-485000000.0,594000000.0,253000000.0,454000000.0,697000000.0,-739000000.0,422000000.0,683000000.0,1000000000.0
IncomeTaxExpenseBenefitIntraperiodTaxAllocation / USD,,,,86000000.0,,,,594000000.0,,,,-2672000000.0,,,
IncomeTaxesPaid / USD,7000000.0,38000000.0,79000000.0,37000000.0,25000000.0,327000000.0,762000000.0,121000000.0,35000000.0,134000000.0,162000000.0,1007000000.0,338000000.0,547000000.0,639000000.0
IncreaseDecreaseInFuturePolicyBenefitReserves / USD,,,,,,29000000.0,38000000.0,50000000.0,0.0,111000000.0,110000000.0,50000000.0,25000000.0,35000000.0,15000000.0
IncreaseDecreaseInInsuranceLiabilities / USD,0.0,0.0,0.0,0.0,-776000000.0,-776000000.0,-776000000.0,0.0,64000000.0,3827000000.0,2917000000.0,3901000000.0,-671000000.0,-1214000000.0,-1135000000.0
IncreaseDecreaseInOtherOperatingCapitalNet / USD,-1327000000.0,-1162000000.0,-2628000000.0,24000000.0,-2189000000.0,-2189000000.0,-2189000000.0,-3050000000.0,852000000.0,886000000.0,1088000000.0,-3381000000.0,39000000.0,478000000.0,1029000000.0
IncreaseDecreaseInTradingSecurities / USD,1618000000.0,2435000000.0,2887000000.0,4991000000.0,6033000000.0,7505000000.0,8403000000.0,4725000000.0,1213000000.0,2959000000.0,4761000000.0,7139000000.0,1521000000.0,3300000000.0,4836000000.0
IncrementalCommonSharesAttributableToCallOptionsAndWarrants / shares,,,,,,,,,0.0,0.0,0.0,0.0,1622201.0,1829010.0,1929163.0
IncrementalCommonSharesAttributableToContingentlyIssuableShares / shares,,,,,,,0.0,0.0,126644.0,,42215.0,0.0,,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock / shares,,,,,,,,0.0,0.0,0.0,,0.0,14524410.0,14526518.0,0.0
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,,0.0,,0.0,0.0,0.0,0.0,960937.0,0.0,1111770.0,1072935.0,1057400.0
InterestCreditedToPolicyholdersAccountBalances / USD,,,,,1074000000.0,2047000000.0,2743000000.0,3442000000.0,724000000.0,1638000000.0,2824000000.0,3442000000.0,1686000000.0,3669000000.0,5961000000.0
InterestExpenseDebt / USD,35000000.0,70000000.0,105000000.0,133000000.0,56000000.0,110000000.0,165000000.0,138000000.0,61000000.0,123000000.0,189000000.0,222000000.0,94000000.0,213000000.0,333000000.0
InterestPaidNet / USD,95000000.0,200000000.0,417000000.0,307000000.0,203000000.0,314000000.0,432000000.0,556000000.0,169000000.0,345000000.0,533000000.0,566000000.0,167000000.0,347000000.0,611000000.0
InvestmentIncomeNet / USD,1504000000.0,1752000000.0,3125000000.0,392000000.0,478000000.0,797000000.0,810000000.0,3699000000.0,474000000.0,639000000.0,958000000.0,1306000000.0,416000000.0,670000000.0,1010000000.0
Liabilities / USD,18538000000.0,18538000000.0,18538000000.0,18538000000.0,241819000000.0,241819000000.0,241819000000.0,241819000000.0,288243000000.0,288243000000.0,288243000000.0,288243000000.0,346915000000.0,346915000000.0,346915000000.0
LiabilitiesAndStockholdersEquity / USD,30502000000.0,30502000000.0,30502000000.0,30502000000.0,257217000000.0,257217000000.0,257217000000.0,257217000000.0,313488000000.0,313488000000.0,313488000000.0,313488000000.0,377895000000.0,377895000000.0,377895000000.0
LiabilityForFuturePolicyBenefitInterestExpense / USD,,,,,229000000.0,483000000.0,802000000.0,1146000000.0,346000000.0,751000000.0,1194000000.0,1146000000.0,465000000.0,924000000.0,1388000000.0
LiabilityForFuturePolicyBenefitRemeasurementGainLoss / USD,,,,,3000000.0,10000000.0,5000000.0,15000000.0,-2000000.0,6000000.0,36000000.0,15000000.0,-12000000.0,-7000000.0,104000000.0
LiabilityForFuturePolicyBenefitRemeasurementGainLossLimitedPaymentContract / USD,,,,,10000000.0,5000000.0,0.0,21000000.0,-4000000.0,-10000000.0,-54000000.0,21000000.0,,-10000000.0,-52000000.0
LiabilityForFuturePolicyBenefits / USD,,,,,39240000000.0,41199000000.0,41285000000.0,42110000000.0,42490000000.0,50284000000.0,46672000000.0,42110000000.0,51672000000.0,50799000000.0,52962000000.0
LongTermDebt / USD,3134000000.0,3134000000.0,3134000000.0,3134000000.0,6472000000.0,6472000000.0,6472000000.0,6472000000.0,8092000000.0,8092000000.0,8092000000.0,8092000000.0,10588000000.0,10588000000.0,10588000000.0
MarketRiskBenefitAfterIncreaseDecreaseFromInstrumentSpecificCreditRisk / USD,,,,,4447000000.0,4447000000.0,4447000000.0,4447000000.0,2763000000.0,2762000000.0,2590000000.0,2489000000.0,3340000000.0,3356000000.0,3373000000.0
MarketRiskBenefitAfterReinsuranceAndCumulativeIncreaseDecreaseFromInstrumentSpecificCreditRiskChange / USD,,,,,,,,,3330000000.0,3338000000.0,4049000000.0,,,,4049000000.0
MarketRiskBenefitAssetAmount / USD,,,,,366000000.0,366000000.0,366000000.0,366000000.0,440000000.0,433000000.0,431000000.0,481000000.0,383000000.0,371000000.0,313000000.0
MarketRiskBenefitLiabilityAmount / USD,,,,,4813000000.0,4813000000.0,4813000000.0,4813000000.0,3203000000.0,3195000000.0,3021000000.0,2970000000.0,3723000000.0,3727000000.0,4402000000.0
MarketRiskBenefitReinsuranceRecoverableAfterAllowance / USD,,,,,,,,,10000000.0,18000000.0,40000000.0,,,,40000000.0
