fact_unit,2011-05-05,2011-08-08,2011-11-03,2012-02-24,2012-05-10,2012-08-07,2012-11-05,2013-02-26,2013-05-07,2013-08-06,2013-11-05,2014-02-24,2014-05-06,2014-07-31,2014-10-30,2015-02-26,2015-04-30,2015-08-10,2015-10-29,2016-02-25,2016-05-03,2016-07-28,2016-11-07,2017-02-23,2017-05-04,2017-08-09,2017-11-02,2018-02-27,2018-05-03,2018-07-26,2018-11-01,2019-02-28,2019-05-02,2019-07-25,2019-10-31,2020-02-27,2020-05-07,2020-06-30,2020-08-05,2020-11-05,2021-03-01,2021-05-06,2021-08-03,2021-11-04,2022-02-23,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-07-27,2023-11-02,2024-02-22,2024-05-02,2024-07-30,2024-11-12,2025-02-21,2025-05-01,2025-08-07,2025-11-04
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529575000.0,1529575000.0,1529575000.0,1304860000.0,1828822000.0,1828822000.0,1828822000.0,1529575000.0,2378203000.0,,2378203000.0,2378203000.0,1828822000.0,2474242000.0,2474242000.0,2474242000.0,2378203000.0,2546439000.0,2546439000.0,2546439000.0,2474242000.0,4887792000.0,4887792000.0,4887792000.0,2546439000.0,5612374000.0,5612374000.0,5620194000.0,4887792000.0,6238956000.0,6238956000.0,6238956000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299247000.0,305989000.0,,-93224000.0,-569409000.0,549381000.0,807469000.0,826123000.0,159249000.0,96039000.0,471018000.0,1501198000.0,2086758000.0,72197000.0,987227000.0,978364000.0,68399000.0,2341353000.0,1385078000.0,1524268000.0,335168000.0,732402000.0,270393000.0,170584000.0,-738153000.0
CommonStockParOrStatedValuePerShare / USD/shares,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,,0.01,,,
CommonStockSharesAuthorized / shares,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,,450000000.0,,,
CommonStockSharesIssued / shares,,,,175418857.0,,,,189536279.0,,,,190853380.0,,,,199974160.0,,,,201601859.0,,,,202891231.0,,,,204475849.0,,,,208483993.0,,,,210734762.0,,,,,214117644.0,,,,218423061.0,,,,225082603.0,,,,231671647.0,,,,233711176.0,,,
CommonStockSharesOutstanding / shares,,,,175418857.0,,,,189536279.0,,,,190853380.0,,,,199566136.0,,,,201193835.0,,,,202483207.0,,,,204067825.0,,,,208075969.0,,,,210326738.0,,,,,213709620.0,,,,218015037.0,,,,224674579.0,,,,231263623.0,,,,233303152.0,,,
CommonStockValue / USD,1724000.0,1724000.0,1724000.0,1724000.0,1868000.0,1868000.0,1868000.0,1868000.0,1877000.0,1877000.0,1877000.0,1877000.0,1978000.0,1978000.0,1978000.0,1978000.0,2004000.0,2004000.0,2004000.0,2004000.0,2020000.0,2020000.0,2020000.0,2020000.0,2034000.0,2034000.0,2034000.0,2034000.0,2069000.0,2069000.0,2069000.0,2069000.0,2091000.0,2091000.0,2091000.0,2091000.0,2113000.0,,2113000.0,2113000.0,2113000.0,2145000.0,2145000.0,2145000.0,2145000.0,2220000.0,2220000.0,2220000.0,2220000.0,2285000.0,2285000.0,2285000.0,2285000.0,2298000.0,2298000.0,2298000.0,2298000.0,2313000.0,2313000.0,2313000.0
ComprehensiveIncomeNetOfTax / USD,-166449000.0,-220077000.0,-111403000.0,-50951000.0,-3013000.0,19281000.0,33681000.0,-254833000.0,-43832000.0,-70411000.0,16428000.0,-97146000.0,-97418000.0,-46145000.0,38327000.0,-137776000.0,-22585000.0,9684000.0,60442000.0,-34825000.0,-102747000.0,-61144000.0,21602000.0,-158447000.0,-45766000.0,-31524000.0,71686000.0,-74155000.0,-21517000.0,89058000.0,243719000.0,-62108000.0,-17644000.0,18158000.0,181760000.0,62150000.0,-55333000.0,,47351000.0,194020000.0,23560000.0,-298397000.0,-850393000.0,-1357707000.0,69407000.0,-303400000.0,-487681000.0,-449968000.0,-1755831000.0,13441000.0,156011000.0,493101000.0,-621859000.0,69482000.0,439842000.0,892145000.0,329164000.0,-46107000.0,93289000.0,493239000.0
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest / USD,-738000.0,830000.0,11648000.0,10445000.0,-5882000.0,-2525000.0,8784000.0,20354000.0,-1078000.0,-3210000.0,7018000.0,12613000.0,-948000.0,-63000.0,6581000.0,1330000.0,2351000.0,5239000.0,15903000.0,7363000.0,-8247000.0,-3091000.0,12242000.0,-13643000.0,-11436000.0,-12716000.0,8966000.0,16739000.0,-14777000.0,-15700000.0,-3323000.0,17355000.0,-7122000.0,6875000.0,17389000.0,13789000.0,-2797000.0,,9968000.0,25015000.0,30091000.0,-26138000.0,-69205000.0,-82761000.0,48323000.0,-15529000.0,-30324000.0,9665000.0,-103255000.0,1226000.0,41803000.0,77804000.0,42118000.0,47361000.0,85016000.0,139405000.0,108143000.0,11770000.0,90028000.0,153906000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,-167187000.0,-219247000.0,-99755000.0,-40506000.0,-8895000.0,16756000.0,42465000.0,-234479000.0,-44910000.0,-73621000.0,23446000.0,-84533000.0,-98366000.0,-46208000.0,44908000.0,-136446000.0,-20234000.0,14923000.0,76345000.0,-27462000.0,-110994000.0,-64235000.0,33844000.0,-172090000.0,-57202000.0,-44240000.0,80652000.0,-57416000.0,-36294000.0,73358000.0,240396000.0,-44753000.0,-24766000.0,25033000.0,199149000.0,75939000.0,-58130000.0,,57319000.0,219035000.0,53651000.0,-324535000.0,-919598000.0,-1440468000.0,117730000.0,-318929000.0,-518005000.0,-440303000.0,-1859086000.0,14667000.0,197814000.0,570905000.0,-579741000.0,116843000.0,524858000.0,1031550000.0,437307000.0,-34337000.0,183317000.0,647145000.0
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangeDueToNetIncomeAttributableToParentAndEffectsOfChangesNet / USD,,-155000000.0,-102812000.0,-60179000.0,20224000.0,49234000.0,101220000.0,-224817000.0,,,,2574000.0,,,,-163184000.0,,,,-61110000.0,,,,-106351000.0,,,,-27164000.0,,,,-44745000.0,,,,-9631000.0,,,,,53449000.0,,,,46011000.0,,,,-1717866000.0,,,,-651303000.0,,,,201839000.0,,,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet / USD,,0.0,1181000.0,0.0,68684000.0,84437000.0,84711000.0,3573000.0,,,,,,,,43000.0,,,,-17732000.0,,,,-15544000.0,,,,5344000.0,,,,-47687000.0,,,,-3616000.0,,,,,-6800000.0,,,,-23878000.0,,,,6669000.0,,,,-399000.0,,,,-64601000.0,,,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesPurchaseOfInterestByParent / USD,,,,0.0,68684000.0,-84437000.0,-84711000.0,-3573000.0,,,,85590000.0,,,,-43000.0,,,,17732000.0,,,,3796000.0,,,,6555000.0,,,,49111000.0,,,,3616000.0,,,,,8210000.0,,,,23878000.0,,,,-14336000.0,,,,110000.0,,,,64601000.0,,,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesSaleOfInterestByParent / USD,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,-11748000.0,,,,11899000.0,,,,1424000.0,,,,0.0,,,,,1410000.0,,,,0.0,,,,-7667000.0,,,,-289000.0,,,,0.0,,,
ConstructionInProgressGross / USD,24528000.0,24528000.0,24528000.0,24528000.0,60652000.0,60652000.0,60652000.0,60652000.0,56822000.0,56822000.0,56822000.0,56822000.0,52883000.0,52883000.0,52883000.0,52883000.0,78111000.0,78111000.0,78111000.0,78111000.0,47684000.0,47684000.0,47684000.0,47684000.0,125430000.0,125430000.0,125430000.0,125430000.0,133906000.0,133906000.0,133906000.0,133906000.0,160028000.0,160028000.0,160028000.0,160028000.0,176275000.0,,176275000.0,176275000.0,176275000.0,151830000.0,151830000.0,151830000.0,151830000.0,173865000.0,173865000.0,173865000.0,173865000.0,244618000.0,244618000.0,244618000.0,244618000.0,317028000.0,317028000.0,317028000.0,317028000.0,386880000.0,386880000.0,386880000.0
ContractWithCustomerLiabilityCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3721092000.0,3721092000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905279000.0,318853000.0,,900089000.0,1175092000.0,1207322000.0,292532000.0,309177000.0,327058000.0,321617000.0,47828000.0,74719000.0,420872000.0,633809000.0,335828000.0,1480755000.0,2384392000.0,2595324000.0,766660000.0,2019210000.0,2888270000.0,3026619000.0,758446000.0,2054825000.0,3144459000.0
ContractualObligation / USD,,,,,,,,,,,,,,,,1392307000.0,,,,1229668000.0,,,,1049893000.0,,,,1372401000.0,,,,2051065000.0,,,,2285441000.0,,,,,2407265000.0,,,,2707762000.0,,3900000000.0,3900000000.0,4855725000.0,,,,4963368000.0,,,,4889625000.0,,,
ContractualObligationDueAfterFifthYear / USD,,,,,,,,,,,,,,,,10118000.0,,,,6121000.0,,,,9636000.0,,,,96985000.0,,,,93918000.0,,,,120008000.0,,,,,150174000.0,,,,209815000.0,,,,620740000.0,,,,503900000.0,,,,481198000.0,,,
ContractualObligationDueInFifthYear / USD,,,,,,,,,,,,,,,,34079000.0,,,,3588000.0,,,,6619000.0,,,,27204000.0,,,,74879000.0,,,,56361000.0,,,,,51139000.0,,,,101749000.0,,,,375191000.0,,,,355079000.0,,,,149307000.0,,,
ContractualObligationDueInFourthYear / USD,,,,,,,,,,,,,,,,43261000.0,,,,88573000.0,,,,30791000.0,,,,39076000.0,,,,160643000.0,,,,153129000.0,,,,,77315000.0,,,,117467000.0,,,,350935000.0,,,,253528000.0,,,,398417000.0,,,
ContractualObligationDueInNextTwelveMonths / USD,,,,,,,,,,,,,,,,877072000.0,,,,860672000.0,,,,740202000.0,,,,897266000.0,,,,1190326000.0,,,,1191773000.0,,,,,1456136000.0,,,,1672720000.0,,,,1942398000.0,,,,2327189000.0,,,,2641395000.0,,,
ContractualObligationDueInSecondYear / USD,,,,,,,,,,,,,,,,237016000.0,,,,207597000.0,,,,146409000.0,,,,235324000.0,,,,286483000.0,,,,473417000.0,,,,,481238000.0,,,,410929000.0,,,,879378000.0,,,,798680000.0,,,,907072000.0,,,
ContractualObligationDueInThirdYear / USD,,,,,,,,,,,,,,,,190761000.0,,,,63117000.0,,,,116236000.0,,,,76546000.0,,,,244816000.0,,,,290753000.0,,,,,191263000.0,,,,195082000.0,,,,687083000.0,,,,724992000.0,,,,312236000.0,,,
CurrentFederalTaxExpenseBenefit / USD,,,,184000.0,,,,5907000.0,,,,-23340000.0,,,,2235000.0,,,,1238000.0,,,,17000.0,,,,543000.0,,,,564000.0,,,,-702000.0,,,,,-55000.0,,,,0.0,,,,0.0,,,,0.0,,,,658000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,13397000.0,,,,29150000.0,,,,38328000.0,,,,34541000.0,,,,41664000.0,,,,12727000.0,,,,23811000.0,,,,29902000.0,,,,50970000.0,,,,,40239000.0,,,,61834000.0,,,,7978000.0,,,,8713000.0,,,,103320000.0,,,
